Quarter,Time,Down,ToGo,Location,TEN,HOU,Detail,EPB,EPA,week,year,game_id
1.0,4:47,3.0,3.0,TEN 43,0.0,3.0,Tyjae Spears right guard for 2 yards (tackle by Blake Cashman and Desmond King),1.03,-0.39,17.0,2023,248
1.0,4:24,4.0,1.0,TEN 45,0.0,3.0,Will Levis pass complete short right to DeAndre Hopkins for 12 yards (tackle by Jalen Pitre),-0.39,2.72,17.0,2023,248
1.0,3:43,1.0,10.0,HOU 43,0.0,3.0,Will Levis pass incomplete short left intended for Tyjae Spears (defended by Christian Harris),2.72,2.18,17.0,2023,248
1.0,3:34,2.0,10.0,HOU 43,0.0,3.0,Tyjae Spears right guard for -5 yards (tackle by Kurt Hinish and Myjai Sanders),2.18,0.83,17.0,2023,248
1.0,2:54,3.0,15.0,HOU 48,0.0,3.0,Will Levis pass incomplete deep right intended for Chris Moore,0.83,0.07,17.0,2023,248
1.0,2:47,4.0,15.0,HOU 48,0.0,3.0,"Ty Zentner punts 42 yards, fair catch by Robert Woods at HOU-6",0.07,0.38,17.0,2023,248
1.0,2:40,1.0,10.0,HOU 6,0.0,3.0,Devin Singletary up the middle for 2 yards (tackle by Rashad Weaver and Otis Reese),-0.38,-0.63,17.0,2023,248
1.0,2:03,2.0,8.0,HOU 8,0.0,3.0,C.J. Stroud pass complete short right to Devin Singletary for 3 yards (tackle by Elijah Molden),-0.63,-0.84,17.0,2023,248
1.0,1:24,3.0,5.0,HOU 11,0.0,3.0,C.J. Stroud pass incomplete short right intended for Dalton Schultz (defended by Sean Murphy-Bunting),-0.84,-2.49,17.0,2023,248
1.0,1:19,4.0,5.0,HOU 11,0.0,3.0,"Cameron Johnston punts, returned by Mason Kinsey for no gain (tackle by Kris Boyd). Penalty on Caleb Murphy: Running Into the Kicker, 5 yards (accepted) (no play)",-2.49,-0.14,17.0,2023,248
1.0,1:09,1.0,10.0,HOU 16,0.0,3.0,Dameon Pierce right end for 4 yards (tackle by Otis Reese),-0.14,0.01,17.0,2023,248
1.0,0:33,2.0,6.0,HOU 20,0.0,3.0,C.J. Stroud pass complete short right to Dalton Schultz for 7 yards (tackle by Otis Reese),0.01,0.74,17.0,2023,248
2.0,15:00,1.0,10.0,HOU 27,0.0,3.0,C.J. Stroud pass complete short middle to Dameon Pierce for 5 yards (tackle by Otis Reese and Azeez Al-Shaair),0.74,0.87,17.0,2023,248
2.0,14:19,2.0,5.0,HOU 32,0.0,3.0,Devin Singletary left end for 24 yards (tackle by Elijah Molden),0.87,2.65,17.0,2023,248
2.0,13:39,1.0,10.0,TEN 44,0.0,3.0,Nico Collins left end for 7 yards (tackle by Harold Landry and Otis Reese),2.65,3.06,17.0,2023,248
2.0,12:56,2.0,3.0,TEN 37,0.0,3.0,C.J. Stroud pass complete short left to Nico Collins for 10 yards (tackle by K'Von Wallace),3.06,3.78,17.0,2023,248
2.0,12:16,1.0,10.0,TEN 27,0.0,3.0,Devin Singletary up the middle for 2 yards (tackle by TK McLendon and Otis Reese),3.78,3.5,17.0,2023,248
2.0,11:36,2.0,8.0,TEN 25,0.0,3.0,C.J. Stroud pass complete short right to Devin Singletary for no gain (tackle by Roger McCreary),3.5,2.81,17.0,2023,248
2.0,10:57,3.0,8.0,TEN 25,0.0,3.0,C.J. Stroud pass complete short right to Nico Collins for 13 yards (tackle by K'Von Wallace),2.81,4.78,17.0,2023,248
2.0,10:14,1.0,10.0,TEN 12,0.0,9.0,"C.J. Stroud pass complete short left to Brevin Jordan for 12 yards, touchdown",4.78,7.0,17.0,2023,248
2.0,10:10,,,TEN 15,0.0,10.0,Ka'imi Fairbairn kicks extra point good,0.0,0.0,17.0,2023,248
2.0,10:10,,,HOU 35,0.0,10.0,"Ka'imi Fairbairn kicks off 65 yards, touchback.",0.0,0.61,17.0,2023,248
2.0,10:10,1.0,10.0,TEN 25,0.0,16.0,"Will Levis sacked by Jerry Hughes for -10 yards. Will Levis fumbles (forced by Jerry Hughes), recovered by Sheldon Rankins at TEN-13 and returned for 13 yards, touchdown",0.61,-7.0,17.0,2023,248
2.0,10:02,,,TEN 15,0.0,17.0,Ka'imi Fairbairn kicks extra point good,0.0,0.0,17.0,2023,248
2.0,10:02,,,HOU 35,0.0,17.0,"Ka'imi Fairbairn kicks off 65 yards, touchback.",0.0,0.61,17.0,2023,248
2.0,10:02,1.0,10.0,TEN 25,0.0,17.0,Derrick Henry right tackle for no gain (tackle by Derek Barnett),0.61,0.06,17.0,2023,248
2.0,9:22,2.0,10.0,TEN 25,0.0,17.0,Ryan Tannehill pass complete short right to DeAndre Hopkins for 4 yards (tackle by Blake Cashman and Derek Stingley),0.06,-0.1,17.0,2023,248
2.0,8:37,3.0,6.0,TEN 29,0.0,17.0,"Ryan Tannehill pass complete short left to DeAndre Hopkins for no gain. Penalty on DeAndre Hopkins: Illegal Shift, 5 yards (accepted) (no play)",-0.1,-0.76,17.0,2023,248
2.0,8:08,3.0,11.0,TEN 24,0.0,17.0,Ryan Tannehill pass complete short left to Chigoziem Okonkwo for 5 yards (tackle by Blake Cashman and Desmond King),-0.76,-1.44,17.0,2023,248
2.0,7:27,4.0,6.0,TEN 29,0.0,17.0,"Ty Zentner punts 46 yards, returned by Desmond King for 11 yards (tackle by Anthony Kendall)",-1.44,-1.33,17.0,2023,248
2.0,7:15,1.0,10.0,HOU 36,0.0,17.0,C.J. Stroud pass complete deep right to Nico Collins for 21 yards,1.33,2.72,17.0,2023,248
2.0,6:45,1.0,10.0,TEN 43,0.0,17.0,Dameon Pierce right tackle for 5 yards (tackle by Garret Wallow and Harold Landry),2.72,2.85,17.0,2023,248
2.0,6:27,2.0,5.0,TEN 38,0.0,17.0,C.J. Stroud pass complete short left to Nico Collins for 14 yards (tackle by Roger McCreary),2.85,3.97,17.0,2023,248
2.0,5:50,1.0,10.0,TEN 24,0.0,17.0,Dameon Pierce right tackle for no gain (tackle by Azeez Al-Shaair),3.97,3.43,17.0,2023,248
2.0,5:03,2.0,10.0,TEN 24,0.0,17.0,C.J. Stroud pass incomplete deep right intended for Xavier Hutchinson,3.43,2.74,17.0,2023,248
2.0,4:58,3.0,10.0,TEN 24,0.0,17.0,C.J. Stroud scrambles right end for 4 yards (tackle by K'Von Wallace),2.74,2.15,17.0,2023,248
2.0,4:21,4.0,6.0,TEN 20,0.0,20.0,Ka'imi Fairbairn 38 yard field goal good,2.15,3.0,17.0,2023,248
2.0,4:17,,,HOU 35,0.0,20.0,"Ka'imi Fairbairn kicks off 65 yards, touchback.",0.0,0.61,17.0,2023,248
2.0,4:17,1.0,10.0,TEN 25,0.0,20.0,Tyjae Spears left tackle for -1 yards (tackle by Christian Harris),0.61,-0.07,17.0,2023,248
2.0,3:35,2.0,11.0,TEN 24,0.0,20.0,Ryan Tannehill pass complete short left to Tyjae Spears for 9 yards (tackle by Jalen Pitre),-0.07,0.43,17.0,2023,248
2.0,2:55,3.0,2.0,TEN 33,0.0,20.0,Derrick Henry right tackle for -2 yards (tackle by Derek Stingley and Khalil Davis),0.43,-1.31,17.0,2023,248
2.0,2:14,4.0,4.0,TEN 31,0.0,20.0,"Ty Zentner punts 57 yards, returned by Desmond King for 19 yards (tackle by Otis Reese)",-1.31,-1.0,17.0,2023,248
2.0,2:01,1.0,10.0,HOU 31,0.0,20.0,C.J. Stroud pass complete short left to Nico Collins for -2 yards (tackle by Roger McCreary and Azeez Al-Shaair),1.0,0.19,17.0,2023,248
2.0,1:57,2.0,12.0,HOU 29,0.0,20.0,C.J. Stroud pass complete short middle to Robert Woods for 11 yards (tackle by K'Von Wallace),0.19,0.96,17.0,2023,248
2.0,1:26,3.0,1.0,HOU 40,0.0,20.0,Devin Singletary up the middle for -3 yards (tackle by Harold Landry),0.96,-0.91,17.0,2023,248
2.0,1:22,,,,,,Timeout #2 by Tennessee Titans,,,17.0,2023,248
2.0,1:22,4.0,4.0,HOU 37,0.0,20.0,"Cameron Johnston punts 54 yards, returned by Mason Kinsey for 13 yards (tackle by DeAndre Houston-Carson and Jon Weeks)",-0.91,-0.41,17.0,2023,248
2.0,1:11,1.0,10.0,TEN 22,0.0,20.0,Ryan Tannehill pass complete deep middle to Chris Moore for 32 yards (tackle by Jalen Pitre),0.41,2.52,17.0,2023,248
2.0,0:48,1.0,10.0,HOU 46,0.0,20.0,Ryan Tannehill pass complete short left to Tyjae Spears for 10 yards (tackle by DeAndre Houston-Carson),2.52,3.18,17.0,2023,248
2.0,0:43,1.0,10.0,HOU 36,0.0,20.0,Ryan Tannehill sacked by Will Anderson for -9 yards,3.18,1.42,17.0,2023,248
2.0,0:38,,,,,,Timeout #3 by Tennessee Titans,,,17.0,2023,248
2.0,0:38,2.0,19.0,HOU 45,0.0,20.0,Ryan Tannehill sacked by Will Anderson for -8 yards,1.42,-0.29,17.0,2023,248
2.0,0:06,3.0,27.0,TEN 47,0.0,20.0,Ryan Tannehill pass complete deep left to DeAndre Hopkins for 18 yards,-0.29,0.97,17.0,2023,248
2.0,0:01,4.0,9.0,HOU 35,3.0,20.0,Nick Folk 53 yard field goal good,0.97,3.0,17.0,2023,248
3.0,15:00,,,TEN 35,3.0,20.0,"Ty Zentner kicks off 66 yards, returned by Dameon Pierce for 21 yards (tackle by Caleb Murphy and Terrell Edmunds)",0.0,0.28,17.0,2023,248
3.0,14:54,1.0,10.0,HOU 20,3.0,20.0,C.J. Stroud pass complete short left to Brevin Jordan for 7 yards (tackle by Roger McCreary),0.28,0.68,17.0,2023,248
3.0,14:18,2.0,3.0,HOU 27,3.0,20.0,Devin Singletary up the middle for 5 yards (tackle by Keondre Coburn and Elijah Molden),0.68,1.07,17.0,2023,248
3.0,13:40,1.0,10.0,HOU 32,3.0,20.0,C.J. Stroud pass complete deep left to Robert Woods for 18 yards,1.07,2.26,17.0,2023,248
3.0,13:03,1.0,10.0,TEN 50,3.0,20.0,C.J. Stroud pass complete short right to John Metchie for 8 yards (tackle by Eric Garror),2.26,2.79,17.0,2023,248
3.0,12:26,2.0,2.0,TEN 42,3.0,20.0,Devin Singletary left tackle for 3 yards (tackle by K'Von Wallace and Otis Reese),2.79,2.98,17.0,2023,248
3.0,11:46,1.0,10.0,TEN 39,3.0,20.0,C.J. Stroud pass incomplete short middle intended for Dalton Schultz,2.98,2.44,17.0,2023,248
3.0,11:39,2.0,10.0,TEN 39,3.0,20.0,C.J. Stroud pass complete short right to Nico Collins for 15 yards. Nico Collins fumbles (forced by Elijah Molden). Nico Collins fumbles out of bounds,2.44,3.97,17.0,2023,248
3.0,11:02,1.0,10.0,TEN 24,3.0,20.0,C.J. Stroud pass complete short right to Robert Woods for 11 yards (tackle by Sean Murphy-Bunting and Otis Reese),3.97,4.71,17.0,2023,248
3.0,10:28,1.0,10.0,TEN 13,3.0,20.0,John Metchie left end for 4 yards (tackle by K'Von Wallace),4.71,4.77,17.0,2023,248
3.0,9:50,2.0,6.0,TEN 9,3.0,20.0,C.J. Stroud pass incomplete short left intended for John Metchie,4.77,3.88,17.0,2023,248
3.0,9:43,3.0,6.0,TEN 9,3.0,20.0,C.J. Stroud pass incomplete short right intended for Nico Collins,3.88,2.85,17.0,2023,248
3.0,9:39,4.0,6.0,TEN 9,3.0,23.0,Ka'imi Fairbairn 27 yard field goal good,2.85,3.0,17.0,2023,248
3.0,9:35,,,HOU 35,3.0,23.0,"Ka'imi Fairbairn kicks off 65 yards, touchback.",0.0,0.61,17.0,2023,248
3.0,9:35,1.0,10.0,TEN 25,3.0,23.0,Derrick Henry up the middle for 7 yards (tackle by Khalil Davis and Christian Harris),0.61,1.01,17.0,2023,248
3.0,9:01,2.0,3.0,TEN 32,3.0,23.0,Derrick Henry right end for 16 yards (tackle by Derek Stingley),1.01,2.13,17.0,2023,248
3.0,8:25,1.0,10.0,TEN 48,3.0,23.0,Ryan Tannehill pass complete short left to Treylon Burks for 4 yards (tackle by Steven Nelson),2.13,2.12,17.0,2023,248
3.0,7:49,2.0,6.0,HOU 48,3.0,23.0,Tyjae Spears left tackle for -1 yards (tackle by Sheldon Rankins and Christian Harris),2.12,1.29,17.0,2023,248
3.0,7:11,3.0,7.0,HOU 49,3.0,23.0,Ryan Tannehill pass complete short middle to Tyjae Spears for 5 yards (tackle by DeAndre Houston-Carson and Desmond King),1.29,0.33,17.0,2023,248
3.0,6:25,4.0,2.0,HOU 44,3.0,23.0,Ryan Tannehill pass complete short right to Treylon Burks for 7 yards (tackle by Desmond King),0.33,3.12,17.0,2023,248
3.0,5:50,1.0,10.0,HOU 37,3.0,23.0,Derrick Henry right tackle for 3 yards (tackle by Desmond King and Denzel Perryman),3.12,2.98,17.0,2023,248
3.0,5:11,2.0,7.0,HOU 34,3.0,23.0,Ryan Tannehill pass incomplete short right intended for Derrick Henry (defended by Kurt Hinish),2.98,2.28,17.0,2023,248
3.0,5:03,3.0,7.0,HOU 34,3.0,23.0,Ryan Tannehill pass complete short middle to DeAndre Hopkins for 16 yards (tackle by Blake Cashman and Jalen Pitre),2.28,4.37,17.0,2023,248
3.0,4:23,1.0,10.0,HOU 18,3.0,23.0,Ryan Tannehill pass complete short left to DeAndre Hopkins for 14 yards (tackle by Jalen Pitre and Khalil Davis),4.37,6.28,17.0,2023,248
3.0,3:41,1.0,4.0,HOU 4,3.0,23.0,Derrick Henry up the middle for no gain (tackle by Jalen Pitre and Desmond King),6.28,5.34,17.0,2023,248
3.0,2:58,2.0,4.0,HOU 4,3.0,23.0,Ryan Tannehill pass incomplete short middle,5.34,4.49,17.0,2023,248
3.0,2:51,3.0,4.0,HOU 4,3.0,23.0,Ryan Tannehill sacked by Sheldon Rankins for -8 yards,4.49,2.63,17.0,2023,248
3.0,2:41,4.0,12.0,HOU 12,3.0,23.0,"Penalty on Desmond King: Unnecessary Roughness / Defense, 6 yards (accepted) (no play)",2.63,5.83,17.0,2023,248
3.0,2:41,1.0,6.0,HOU 6,3.0,23.0,Derrick Henry up the middle for 2 yards (tackle by Derek Barnett and Blake Cashman),5.83,5.34,17.0,2023,248
3.0,2:00,2.0,4.0,HOU 4,3.0,23.0,"Penalty on TEN: Offensive Too Many Men on Field, 5 yards (accepted) (no play)",5.34,4.38,17.0,2023,248
3.0,1:36,2.0,9.0,HOU 9,3.0,23.0,Ryan Tannehill pass complete short right to Kevin Rader for 6 yards (tackle by Desmond King and Blake Cashman),4.38,4.72,17.0,2023,248
3.0,1:06,3.0,3.0,HOU 3,3.0,23.0,Ryan Tannehill pass incomplete short right intended for Tyjae Spears,4.72,3.04,17.0,2023,248
3.0,1:01,4.0,3.0,HOU 3,3.0,23.0,Ryan Tannehill pass incomplete short right intended for Chigoziem Okonkwo (defended by Christian Harris),3.04,0.38,17.0,2023,248
3.0,0:58,1.0,10.0,HOU 4,3.0,23.0,Devin Singletary left tackle for 4 yards (tackle by Denico Autry),-0.38,-0.49,17.0,2023,248
3.0,0:25,2.0,6.0,HOU 8,3.0,23.0,C.J. Stroud pass complete short right to Dalton Schultz for 12 yards (tackle by K'Von Wallace and Azeez Al-Shaair),-0.49,0.28,17.0,2023,248
4.0,15:00,1.0,10.0,HOU 20,3.0,23.0,Devin Singletary right tackle for 7 yards (tackle by Elijah Molden),0.28,0.68,17.0,2023,248
4.0,14:27,2.0,3.0,HOU 27,3.0,23.0,C.J. Stroud pass complete short left to Eric Saubert for 2 yards (tackle by TK McLendon and K'Von Wallace),0.68,0.23,17.0,2023,248
4.0,13:47,3.0,1.0,HOU 29,3.0,23.0,Devin Singletary left end for 2 yards (tackle by Garret Wallow),0.23,1.0,17.0,2023,248
4.0,13:17,1.0,10.0,HOU 31,3.0,23.0,Devin Singletary left tackle for 9 yards (tackle by Eric Garror),1.0,1.68,17.0,2023,248
4.0,12:37,2.0,1.0,HOU 40,3.0,23.0,Devin Singletary up the middle for 5 yards (tackle by Roger McCreary),1.68,1.93,17.0,2023,248
4.0,12:00,1.0,10.0,HOU 45,3.0,23.0,C.J. Stroud pass incomplete short right intended for John Metchie,1.93,1.38,17.0,2023,248
4.0,11:50,2.0,10.0,HOU 45,3.0,23.0,C.J. Stroud sacked by Harold Landry for -12 yards,1.38,-0.89,17.0,2023,248
4.0,11:06,3.0,22.0,HOU 33,3.0,23.0,C.J. Stroud pass complete short right to Xavier Hutchinson for 8 yards,-0.89,-0.65,17.0,2023,248
4.0,10:27,4.0,14.0,HOU 41,3.0,23.0,"Cameron Johnston punts 49 yards, fair catch by Mason Kinsey at TEN-10",-0.65,0.38,17.0,2023,248
4.0,10:21,1.0,10.0,TEN 10,3.0,23.0,Derrick Henry up the middle for 2 yards (tackle by Derek Barnett and Teair Tart),-0.38,-0.63,17.0,2023,248
4.0,9:51,2.0,8.0,TEN 12,3.0,23.0,Ryan Tannehill pass complete short middle to Chigoziem Okonkwo for 21 yards (tackle by Jalen Pitre and Kareem Jackson),-0.63,1.14,17.0,2023,248
4.0,9:27,1.0,10.0,TEN 33,3.0,23.0,Ryan Tannehill pass complete short right to Chigoziem Okonkwo for 8 yards (tackle by Derek Stingley),1.14,1.67,17.0,2023,248
4.0,9:02,2.0,2.0,TEN 41,3.0,23.0,Derrick Henry left guard for 1 yard (tackle by Kurt Hinish and Derek Barnett),1.67,1.09,17.0,2023,248
4.0,8:23,3.0,1.0,TEN 42,3.0,23.0,Tyjae Spears right guard for no gain (tackle by Christian Harris and Denzel Perryman),1.09,-0.59,17.0,2023,248
4.0,7:44,4.0,1.0,TEN 42,3.0,23.0,Ryan Tannehill sacked by Derek Barnett for -7 yards,-0.59,-3.25,17.0,2023,248
4.0,7:36,1.0,10.0,TEN 35,3.0,23.0,Dameon Pierce left end for -1 yards (tackle by Roger McCreary and Azeez Al-Shaair),3.25,2.57,17.0,2023,248
4.0,6:57,2.0,11.0,TEN 36,3.0,23.0,Dameon Pierce right tackle for 3 yards (tackle by Keondre Coburn),2.57,2.28,17.0,2023,248
4.0,6:18,3.0,8.0,TEN 33,3.0,23.0,Dare Ogunbowale left end for no gain (tackle by Elijah Molden),2.28,1.15,17.0,2023,248
4.0,5:37,4.0,8.0,TEN 33,3.0,26.0,Ka'imi Fairbairn 51 yard field goal good,1.15,3.0,17.0,2023,248
4.0,5:33,,,HOU 35,3.0,26.0,"Ka'imi Fairbairn kicks off 65 yards, touchback.",0.0,0.61,17.0,2023,248
4.0,5:33,1.0,10.0,TEN 25,3.0,26.0,Ryan Tannehill sacked by and Derek Barnett for -8 yards and Kurt Hinish for -8 yards,0.61,-1.15,17.0,2023,248
4.0,4:51,2.0,18.0,TEN 17,3.0,26.0,Ryan Tannehill pass complete short left to DeAndre Hopkins for 4 yards (tackle by Desmond King),-1.15,-1.15,17.0,2023,248
4.0,4:45,3.0,14.0,TEN 21,3.0,26.0,Ryan Tannehill pass complete short right to Tyjae Spears for 5 yards (tackle by Christian Harris and Derek Stingley),-1.15,-1.63,17.0,2023,248
4.0,4:06,4.0,9.0,TEN 26,3.0,26.0,Ty Zentner punts 64 yards downed by Mike Brown,-1.63,0.38,17.0,2023,248
4.0,3:51,1.0,10.0,HOU 10,3.0,26.0,Dameon Pierce right tackle for 1 yard (tackle by Elijah Molden),-0.38,-0.71,17.0,2023,248
4.0,3:09,2.0,9.0,HOU 11,3.0,26.0,Dameon Pierce up the middle for -1 yards (tackle by Harold Landry and Keondre Coburn),-0.71,-1.42,17.0,2023,248
4.0,2:29,3.0,10.0,HOU 10,3.0,26.0,Dameon Pierce up the middle for 5 yards (tackle by Azeez Al-Shaair and Jaleel Johnson),-1.42,-2.44,17.0,2023,248
4.0,2:00,4.0,5.0,HOU 15,3.0,26.0,"Cameron Johnston punts 52 yards, returned by Mason Kinsey for 9 yards (tackle by DeAndre Houston-Carson and Dare Ogunbowale)",-2.44,-1.73,17.0,2023,248
4.0,1:50,1.0,10.0,TEN 42,3.0,26.0,Jonathan Ward left end for 3 yards (tackle by Khalil Davis),1.73,1.59,17.0,2023,248
4.0,1:06,2.0,7.0,TEN 45,3.0,26.0,Jonathan Ward right guard for 8 yards (tackle by Jake Hansen and Neville Hewitt),1.59,2.46,17.0,2023,248
4.0,0:22,1.0,10.0,HOU 47,3.0,26.0,Jonathan Ward right tackle for no gain (tackle by Jake Hansen),2.46,1.91,17.0,2023,248
