Quarter,Time,Down,ToGo,Location,NWE,NYG,Detail,EPB,EPA,week,year,game_id
2.0,3:00,1.0,10.0,NWE 12,0.0,0.0,Saquon Barkley left end for -2 yards (tackle by Christian Barmore),4.78,3.79,12.0,2023,174
2.0,2:19,2.0,12.0,NWE 14,0.0,0.0,Tommy DeVito pass complete short right to Wan'Dale Robinson for 2 yards (tackle by Jonathan Jones),3.79,3.12,12.0,2023,174
2.0,2:00,3.0,10.0,NWE 12,0.0,6.0,"Tommy DeVito pass complete short left to Isaiah Hodgins for 12 yards, touchdown",3.12,7.0,12.0,2023,174
2.0,1:53,,,NWE 15,0.0,7.0,Randy Bullock kicks extra point good,0.0,0.0,12.0,2023,174
2.0,1:53,,,NYG 35,0.0,7.0,"Randy Bullock kicks off 67 yards, returned by Ty Montgomery for 22 yards (tackle by Carter Coughlin)",0.0,0.28,12.0,2023,174
2.0,1:48,1.0,10.0,NWE 20,0.0,7.0,Mac Jones pass incomplete deep right intended for Kayshon Boutte,0.28,-0.27,12.0,2023,174
2.0,1:42,2.0,10.0,NWE 20,0.0,7.0,Rhamondre Stevenson up the middle for 3 yards (tackle by Rakeem Nunez-Roches),-0.27,-0.56,12.0,2023,174
2.0,1:37,,,,,,Timeout #1 by New York Giants,,,12.0,2023,174
2.0,1:37,,,,,,Timeout #2 by New England Patriots,,,12.0,2023,174
2.0,1:37,3.0,7.0,NWE 23,0.0,7.0,"Mac Jones sacked by and Kayvon Thibodeaux for no gain and Jihad Ward for no gain. Mac Jones fumbles (forced by Kayvon Thibodeaux), recovered by Cole Strange at NE-23 (tackle by Kayvon Thibodeaux) (tackle by Kayvon Thibodeaux)",-0.56,-1.83,12.0,2023,174
2.0,1:28,,,,,,Timeout #2 by New York Giants,,,12.0,2023,174
2.0,1:28,4.0,7.0,NWE 23,0.0,7.0,"Bryce Baringer punts 54 yards, fair catch by Gunner Olszewski at NYG-23",-1.83,-0.48,12.0,2023,174
2.0,1:21,1.0,10.0,NYG 23,0.0,7.0,Tommy DeVito pass complete short left to Wan'Dale Robinson for 11 yards (tackle by J.C. Jackson),0.48,1.2,12.0,2023,174
2.0,1:17,1.0,10.0,NYG 34,0.0,7.0,Tommy DeVito sacked by Christian Barmore for no gain,1.2,0.66,12.0,2023,174
2.0,0:56,2.0,10.0,NYG 34,0.0,7.0,Tommy DeVito pass complete short right to Darius Slayton for 7 yards (tackle by Jonathan Jones),0.66,0.89,12.0,2023,174
2.0,0:48,3.0,3.0,NYG 41,0.0,7.0,"Tommy DeVito sacked by Ja'Whaun Bentley for no gain. Penalty on Ben Bredeson: Illegal Use of Hands / Offense, 5 yards (declined)",0.89,-0.65,12.0,2023,174
2.0,0:41,4.0,3.0,NYG 41,0.0,7.0,"Jamie Gillan punts 50 yards, returned by Demario Douglas for no gain",-0.65,0.38,12.0,2023,174
2.0,0:34,1.0,10.0,NWE 9,0.0,7.0,Ezekiel Elliott up the middle for no gain (tackle by Bobby Okereke),-0.38,-0.78,12.0,2023,174
3.0,15:00,,,NYG 35,0.0,7.0,"Randy Bullock kicks off 61 yards, out of bounds",0.0,1.6,12.0,2023,174
3.0,15:00,1.0,10.0,NWE 40,0.0,7.0,Rhamondre Stevenson up the middle for 13 yards (tackle by Xavier McKinney and Jihad Ward),1.6,2.46,12.0,2023,174
3.0,14:18,1.0,10.0,NYG 47,0.0,7.0,Bailey Zappe pass complete short left to Demario Douglas for 2 yards (tackle by Jihad Ward),2.46,2.18,12.0,2023,174
3.0,13:50,2.0,8.0,NYG 45,0.0,7.0,Bailey Zappe pass complete short left to Rhamondre Stevenson for -5 yards (tackle by Micah McFadden),2.18,0.83,12.0,2023,174
3.0,13:11,3.0,13.0,NYG 50,0.0,7.0,Bailey Zappe pass complete short right to Demario Douglas for 12 yards (tackle by Jason Pinnock and Isaiah Simmons),0.83,0.72,12.0,2023,174
3.0,12:24,4.0,1.0,NYG 38,0.0,7.0,Rhamondre Stevenson up the middle for 3 yards (tackle by A'Shawn Robinson),0.72,3.25,12.0,2023,174
3.0,11:45,1.0,10.0,NYG 35,0.0,7.0,Bailey Zappe pass complete short right to JuJu Smith-Schuster for 5 yards (tackle by Adoree' Jackson),3.25,3.38,12.0,2023,174
3.0,11:04,2.0,5.0,NYG 30,0.0,7.0,Ezekiel Elliott up the middle for -1 yards (tackle by Kayvon Thibodeaux),3.38,2.54,12.0,2023,174
3.0,10:18,3.0,6.0,NYG 31,0.0,7.0,Bailey Zappe pass complete short right to Demario Douglas for 9 yards (tackle by Adoree' Jackson and Xavier McKinney),2.54,4.11,12.0,2023,174
3.0,9:35,1.0,10.0,NYG 22,0.0,7.0,Rhamondre Stevenson up the middle for no gain (tackle by Bobby Okereke),4.11,3.56,12.0,2023,174
3.0,8:50,2.0,10.0,NYG 22,0.0,7.0,Bailey Zappe pass complete short left to Tyquan Thornton for 15 yards (tackle by Xavier McKinney),3.56,5.6,12.0,2023,174
3.0,8:06,1.0,7.0,NYG 7,6.0,7.0,"Rhamondre Stevenson right guard for 7 yards, touchdown",5.6,7.0,12.0,2023,174
3.0,8:02,,,NYG 15,7.0,7.0,Chad Ryland kicks extra point good,0.0,0.0,12.0,2023,174
3.0,8:02,,,NWE 35,7.0,7.0,"Chad Ryland kicks off 65 yards, touchback.",0.0,0.61,12.0,2023,174
3.0,8:02,1.0,10.0,NYG 25,7.0,7.0,Saquon Barkley right guard for 1 yard (tackle by Davon Godchaux),0.61,0.2,12.0,2023,174
3.0,7:23,2.0,9.0,NYG 26,7.0,7.0,Tommy DeVito sacked by Anfernee Jennings for -7 yards,0.2,-1.51,12.0,2023,174
3.0,6:41,3.0,16.0,NYG 19,7.0,7.0,Tommy DeVito pass complete deep right to Jalin Hyatt for 41 yards (tackle by J.C. Jackson),-1.51,2.92,12.0,2023,174
3.0,5:45,1.0,10.0,NWE 40,7.0,7.0,Tommy DeVito left end for -1 yards (tackle by Myles Bryant),2.92,2.24,12.0,2023,174
3.0,4:59,2.0,11.0,NWE 41,7.0,7.0,Tommy DeVito sacked by Keion White for -9 yards,2.24,0.37,12.0,2023,174
3.0,4:16,3.0,20.0,NWE 50,7.0,7.0,Tommy DeVito pass complete short right to Daniel Bellinger for 8 yards (tackle by Keion White),0.37,0.46,12.0,2023,174
3.0,3:29,4.0,12.0,NWE 42,7.0,7.0,"Jamie Gillan punts 32 yards, fair catch by Demario Douglas at NE-10",0.46,0.38,12.0,2023,174
3.0,3:21,1.0,10.0,NWE 10,7.0,7.0,Ezekiel Elliott up the middle for 7 yards (tackle by Micah McFadden),-0.38,-0.09,12.0,2023,174
3.0,2:51,2.0,3.0,NWE 17,7.0,7.0,Ezekiel Elliott up the middle for 13 yards (tackle by Micah McFadden),-0.09,0.94,12.0,2023,174
3.0,2:17,1.0,10.0,NWE 30,7.0,7.0,Ezekiel Elliott right guard for 2 yards (tackle by A'Shawn Robinson and Xavier McKinney),0.94,0.66,12.0,2023,174
3.0,1:40,2.0,8.0,NWE 32,7.0,7.0,Bailey Zappe pass incomplete short left intended for Ty Montgomery,0.66,-0.03,12.0,2023,174
3.0,1:34,3.0,8.0,NWE 32,7.0,7.0,"Bailey Zappe pass complete short right to Rhamondre Stevenson for 8 yards (tackle by Xavier McKinney and Jihad Ward) NYG challenged the short of the line to gain ruling, and the original play was overturned. Bailey Zappe pass complete short right to Rhamondre Stevenson for 7 yards and Xavier McKinney and Jihad Ward)",-0.03,-0.78,12.0,2023,174
3.0,0:59,,,,,,Timeout #1 by New England Patriots,,,12.0,2023,174
3.0,0:59,4.0,1.0,NWE 39,7.0,7.0,"Bryce Baringer punts 42 yards, fair catch by Gunner Olszewski at NYG-19",-0.78,-0.15,12.0,2023,174
3.0,0:52,1.0,10.0,NYG 19,7.0,7.0,"Tommy DeVito scrambles left tackle for 3 yards. Tommy DeVito fumbles (forced by Ja'Whaun Bentley), recovered by Tommy DeVito at NYG-19 (tackle by Ja'Whaun Bentley)",0.15,0.07,12.0,2023,174
3.0,0:17,2.0,7.0,NYG 22,7.0,7.0,"Saquon Barkley right end for no gain (tackle by Shaun Wade and Anfernee Jennings). Penalty on Daniel Bellinger: Offensive Holding, 10 yards (accepted) (no play)",0.07,-1.29,12.0,2023,174
4.0,15:00,2.0,17.0,NYG 12,7.0,7.0,"Tommy DeVito pass incomplete deep right intended for Darius Slayton (defended by Myles Bryant). Penalty on Justin Pugh: Illegal Use of Hands / Offense, 5 yards (declined)",-1.29,-2.24,12.0,2023,174
4.0,14:51,3.0,17.0,NYG 12,7.0,7.0,Tommy DeVito pass complete short right to Matt Breida for 10 yards (tackle by Jalen Mills),-2.24,-1.9,12.0,2023,174
4.0,14:16,4.0,7.0,NYG 22,7.0,7.0,"Jamie Gillan punts 53 yards, returned by Demario Douglas for 2 yards. Demario Douglas fumbles, ball out of bounds at NE-24 (forced by Cam Brown). Demario Douglas fumbles out of bounds",-1.9,-0.54,12.0,2023,174
4.0,14:02,1.0,10.0,NWE 24,7.0,7.0,Rhamondre Stevenson up the middle for 9 yards (tackle by Xavier McKinney and Jason Pinnock),0.54,1.21,12.0,2023,174
4.0,13:23,2.0,1.0,NWE 33,7.0,7.0,Rhamondre Stevenson left tackle for 2 yards (tackle by D.J. Davidson and Azeez Ojulari),1.21,1.27,12.0,2023,174
4.0,12:42,1.0,10.0,NWE 35,7.0,7.0,Bailey Zappe pass short left intended for JuJu Smith-Schuster is intercepted by Xavier McKinney at 50 and returned for 18 yards (tackle by Tyquan Thornton),1.27,-3.45,12.0,2023,174
4.0,12:31,1.0,10.0,NWE 32,7.0,7.0,Saquon Barkley left guard for 3 yards (tackle by Anfernee Jennings and Davon Godchaux),3.45,3.31,12.0,2023,174
4.0,11:55,2.0,7.0,NWE 29,7.0,7.0,Tommy DeVito pass complete short right to Saquon Barkley for 6 yards (tackle by J.C. Jackson),3.31,3.4,12.0,2023,174
4.0,11:14,3.0,1.0,NWE 23,7.0,7.0,Matt Breida left end for 6 yards (tackle by Keion White),3.4,4.44,12.0,2023,174
4.0,10:30,1.0,10.0,NWE 17,7.0,7.0,"Matt Breida right end for no gain (tackle by Jahlani Tavai and Ja'Whaun Bentley). Penalty on Isaiah Hodgins: Offensive Holding, 10 yards (accepted) (no play)",4.44,3.78,12.0,2023,174
4.0,10:08,1.0,20.0,NWE 27,7.0,7.0,Saquon Barkley up the middle for -1 yards (tackle by Jahlani Tavai),3.78,2.41,12.0,2023,174
4.0,9:33,2.0,21.0,NWE 28,7.0,7.0,Tommy DeVito pass complete short left to Sterling Shepard for 6 yards (tackle by J.C. Jackson),2.41,2.54,12.0,2023,174
4.0,8:56,3.0,15.0,NWE 22,7.0,7.0,Tommy DeVito pass complete short right to Parris Campbell for -2 yards (tackle by Myles Bryant),2.54,1.87,12.0,2023,174
4.0,8:13,4.0,17.0,NWE 24,7.0,10.0,Randy Bullock 42 yard field goal good,1.87,3.0,12.0,2023,174
4.0,8:10,,,NYG 35,7.0,10.0,"Randy Bullock kicks off 65 yards, touchback.",0.0,0.61,12.0,2023,174
4.0,8:10,1.0,10.0,NWE 25,7.0,10.0,Ezekiel Elliott up the middle for 9 yards (tackle by Adoree' Jackson),0.61,1.28,12.0,2023,174
4.0,7:31,2.0,1.0,NWE 34,7.0,10.0,Ezekiel Elliott left tackle for 2 yards (tackle by A'Shawn Robinson and Bobby Okereke),1.28,1.33,12.0,2023,174
4.0,6:54,1.0,10.0,NWE 36,7.0,10.0,Rhamondre Stevenson right guard for -1 yards (tackle by Jason Pinnock),1.33,0.66,12.0,2023,174
4.0,6:19,2.0,11.0,NWE 35,7.0,10.0,Bailey Zappe pass incomplete short left intended for Tyquan Thornton (defended by Benton Whitley),0.66,-0.03,12.0,2023,174
4.0,6:15,3.0,11.0,NWE 35,7.0,10.0,Bailey Zappe sacked by Jihad Ward for -7 yards,-0.03,-1.5,12.0,2023,174
4.0,5:40,4.0,18.0,NWE 28,7.0,10.0,Bryce Baringer punts 50 yards out of bounds,-1.5,-0.41,12.0,2023,174
4.0,5:31,1.0,10.0,NYG 22,7.0,10.0,Saquon Barkley left tackle for 3 yards (tackle by Jahlani Tavai and Ja'Whaun Bentley),0.41,0.27,12.0,2023,174
4.0,4:45,2.0,7.0,NYG 25,7.0,10.0,Tommy DeVito pass complete short right to Jalin Hyatt for 5 yards (tackle by Jonathan Jones),0.27,0.23,12.0,2023,174
4.0,4:05,3.0,2.0,NYG 30,7.0,10.0,Tommy DeVito sacked by and Deatrich Wise for -6 yards and Anfernee Jennings for -6 yards,0.23,-1.77,12.0,2023,174
4.0,3:27,4.0,8.0,NYG 24,7.0,10.0,"Jamie Gillan punts 38 yards, returned by Myles Bryant for 12 yards (tackle by Casey Kreiter and Nick McCloud)",-1.77,-2.26,12.0,2023,174
4.0,3:15,1.0,10.0,NWE 50,7.0,10.0,Rhamondre Stevenson right guard for 6 yards (tackle by A'Shawn Robinson),2.26,2.52,12.0,2023,174
4.0,2:44,2.0,4.0,NYG 44,7.0,10.0,Rhamondre Stevenson right tackle for no gain (tackle by Bobby Okereke),2.52,1.82,12.0,2023,174
4.0,2:02,3.0,4.0,NYG 44,7.0,10.0,Bailey Zappe pass incomplete short left intended for Tyquan Thornton (defended by Bobby Okereke),1.82,0.33,12.0,2023,174
4.0,1:58,4.0,4.0,NYG 44,7.0,10.0,Bailey Zappe pass complete short left to JuJu Smith-Schuster for 5 yards (tackle by Adoree' Jackson),0.33,2.98,12.0,2023,174
4.0,1:53,1.0,10.0,NYG 39,7.0,10.0,Bailey Zappe pass complete short right to Tyquan Thornton for 4 yards,2.98,2.98,12.0,2023,174
4.0,1:48,2.0,6.0,NYG 35,7.0,10.0,Rhamondre Stevenson right tackle for 13 yards (tackle by Micah McFadden and Cordale Flott),2.98,4.11,12.0,2023,174
4.0,1:13,1.0,10.0,NYG 22,7.0,10.0,Rhamondre Stevenson right guard for 2 yards (tackle by Kayvon Thibodeaux),4.11,3.83,12.0,2023,174
4.0,0:39,2.0,8.0,NYG 20,7.0,10.0,Bailey Zappe pass incomplete short left intended for JuJu Smith-Schuster,3.83,3.14,12.0,2023,174
4.0,0:31,3.0,8.0,NYG 20,7.0,10.0,Tyquan Thornton right end for 3 yards (tackle by Isaiah Simmons),3.14,2.36,12.0,2023,174
4.0,0:06,,,,,,Timeout #2 by New England Patriots,,,12.0,2023,174
4.0,0:06,,,,,,Timeout #1 by New York Giants,,,12.0,2023,174
4.0,0:06,4.0,5.0,NYG 17,7.0,10.0,Chad Ryland 35 yard field goal no good,2.36,-0.61,12.0,2023,174
4.0,0:03,1.0,10.0,NYG 25,7.0,10.0,"Penalty on Xavier McKinney: Unsportsmanlike Conduct / Defense, 12 yards (accepted) (no play)",0.61,-0.32,12.0,2023,174
4.0,0:03,1.0,10.0,NYG 13,7.0,10.0,Tommy DeVito kneels for -1 yards,-0.32,-0.85,12.0,2023,174
