Quarter,Time,Down,ToGo,Location,JAX,HOU,Detail,EPB,EPA,week,year,game_id
2.0,9:44,1.0,1.0,HOU 1,9.0,0.0,"Trevor Lawrence up the middle for 1 yard, touchdown",6.97,7.0,12.0,2023,173
2.0,9:43,,,HOU 15,10.0,0.0,Brandon McManus kicks extra point good,0.0,0.0,12.0,2023,173
2.0,9:43,,,JAX 35,10.0,0.0,"Brandon McManus kicks off 65 yards, touchback.",0.0,0.61,12.0,2023,173
2.0,9:43,1.0,10.0,HOU 25,10.0,0.0,C.J. Stroud pass complete deep right to Robert Woods for 26 yards (tackle by Andre Cisco),0.61,2.32,12.0,2023,173
2.0,9:03,1.0,10.0,JAX 49,10.0,0.0,C.J. Stroud scrambles left end for 8 yards (tackle by Josh Allen),2.32,2.86,12.0,2023,173
2.0,8:18,2.0,2.0,JAX 41,10.0,0.0,C.J. Stroud pass complete short left to Devin Singletary for 33 yards (tackle by Foyesade Oluokun and Montaric Brown),2.86,5.37,12.0,2023,173
2.0,7:29,1.0,8.0,JAX 8,10.0,0.0,Devin Singletary up the middle for 1 yard (tackle by Adam Gotsis and Angelo Blackson),5.37,4.76,12.0,2023,173
2.0,6:49,2.0,7.0,JAX 7,10.0,6.0,"C.J. Stroud pass complete short middle to Tank Dell for 7 yards, touchdown",4.76,7.0,12.0,2023,173
2.0,6:37,,,JAX 15,10.0,7.0,Matt Ammendola kicks extra point good,0.0,0.0,12.0,2023,173
2.0,6:37,,,HOU 35,10.0,7.0,"Matt Ammendola kicks off 65 yards, touchback.",0.0,0.61,12.0,2023,173
2.0,6:37,1.0,10.0,JAX 25,10.0,7.0,"Penalty on Walker Little: False Start, 5 yards (accepted) (no play)",0.61,0.28,12.0,2023,173
2.0,6:37,1.0,15.0,JAX 20,10.0,7.0,Trevor Lawrence pass complete short right to Luke Farrell for 42 yards (tackle by Derek Stingley and DeAndre Houston-Carson),0.28,3.05,12.0,2023,173
2.0,5:52,1.0,10.0,HOU 38,10.0,7.0,D'Ernest Johnson right end for 4 yards (tackle by Derek Stingley),3.05,3.05,12.0,2023,173
2.0,5:13,2.0,6.0,HOU 34,10.0,7.0,D'Ernest Johnson up the middle for 1 yard (tackle by Christian Harris),3.05,2.48,12.0,2023,173
2.0,4:34,3.0,5.0,HOU 33,10.0,7.0,Trevor Lawrence pass complete short left to Christian Kirk for 8 yards (tackle by Blake Cashman),2.48,3.91,12.0,2023,173
2.0,4:01,1.0,10.0,HOU 25,10.0,7.0,Travis Etienne right end for -6 yards (tackle by Will Anderson),3.91,2.55,12.0,2023,173
2.0,3:17,2.0,16.0,HOU 31,10.0,7.0,Travis Etienne right guard for 1 yard (tackle by Jalen Pitre),2.55,2.01,12.0,2023,173
2.0,2:33,,,,,,Timeout #1 by Jacksonville Jaguars,,,12.0,2023,173
2.0,2:33,3.0,15.0,HOU 30,10.0,7.0,Trevor Lawrence pass incomplete deep left intended for Calvin Ridley,2.01,1.41,12.0,2023,173
2.0,2:28,4.0,15.0,HOU 30,13.0,7.0,Brandon McManus 48 yard field goal good,1.41,3.0,12.0,2023,173
2.0,2:24,,,JAX 35,13.0,7.0,"Brandon McManus kicks off 65 yards, touchback.",0.0,0.61,12.0,2023,173
2.0,2:24,1.0,10.0,HOU 25,13.0,7.0,Dameon Pierce left guard for 4 yards (tackle by Foyesade Oluokun and Travon Walker),0.61,0.6,12.0,2023,173
2.0,2:00,2.0,6.0,HOU 29,13.0,7.0,C.J. Stroud pass complete short middle to Devin Singletary for 10 yards (tackle by Foyesade Oluokun and Rayshawn Jenkins),0.6,1.53,12.0,2023,173
2.0,1:30,1.0,10.0,HOU 39,13.0,7.0,C.J. Stroud pass complete short right to Devin Singletary for -1 yards (tackle by Devin Lloyd),1.53,0.85,12.0,2023,173
2.0,1:24,2.0,11.0,HOU 38,13.0,7.0,C.J. Stroud pass complete deep right to Tank Dell for 17 yards (tackle by Montaric Brown),0.85,2.59,12.0,2023,173
2.0,1:00,1.0,10.0,JAX 45,13.0,7.0,C.J. Stroud pass complete short right to Dalton Schultz for 2 yards (tackle by Devin Lloyd),2.59,2.31,12.0,2023,173
2.0,0:49,2.0,8.0,JAX 43,13.0,7.0,C.J. Stroud scrambles right end for 11 yards (tackle by Foyesade Oluokun),2.31,3.45,12.0,2023,173
2.0,0:42,1.0,10.0,JAX 32,13.0,7.0,C.J. Stroud pass complete short middle to Tank Dell for 1 yard (tackle by Montaric Brown),3.45,3.04,12.0,2023,173
2.0,0:36,,,,,,Timeout #1 by Houston Texans,,,12.0,2023,173
2.0,0:36,2.0,9.0,JAX 31,13.0,7.0,C.J. Stroud pass incomplete short right intended for Nico Collins,3.04,2.34,12.0,2023,173
2.0,0:31,,,,,,Timeout #2 by Houston Texans,,,12.0,2023,173
2.0,0:31,3.0,9.0,JAX 31,13.0,7.0,"C.J. Stroud pass incomplete deep left intended for Tank Dell Replay Assistant challenged the pass completion ruling, and the play was upheld.",2.34,1.32,12.0,2023,173
2.0,0:25,4.0,9.0,JAX 31,13.0,7.0,Matt Ammendola 50 yard field goal no good,1.32,-1.6,12.0,2023,173
2.0,0:20,1.0,10.0,JAX 40,13.0,7.0,Trevor Lawrence pass complete short left to Luke Farrell for 7 yards (tackle by Tavierre Thomas),1.6,2.0,12.0,2023,173
2.0,0:14,,,,,,Timeout #2 by Jacksonville Jaguars,,,12.0,2023,173
2.0,0:14,2.0,3.0,JAX 47,13.0,7.0,Trevor Lawrence pass incomplete short left intended for Zay Jones (defended by Steven Nelson),2.0,1.29,12.0,2023,173
2.0,0:10,3.0,3.0,JAX 47,13.0,7.0,"Penalty on Anton Harrison: False Start, 5 yards (accepted) (no play)",1.29,0.63,12.0,2023,173
2.0,0:10,3.0,8.0,JAX 42,13.0,7.0,Trevor Lawrence pass complete deep left to Christian Kirk for 57 yards (tackle by Tavierre Thomas),0.63,6.97,12.0,2023,173
2.0,0:01,,,,,,Timeout #3 by Jacksonville Jaguars,,,12.0,2023,173
2.0,0:01,1.0,1.0,HOU 1,13.0,7.0,Travis Etienne right end for no gain (tackle by Desmond King and Blake Cashman),6.97,5.91,12.0,2023,173
3.0,15:00,,,HOU 35,13.0,7.0,"Matt Ammendola kicks off 69 yards, returned by D'Ernest Johnson for 20 yards (tackle by Neville Hewitt)",0.0,-0.14,12.0,2023,173
3.0,14:55,1.0,10.0,JAX 16,13.0,7.0,Trevor Lawrence pass incomplete short left,-0.14,-0.66,12.0,2023,173
3.0,14:49,2.0,10.0,JAX 16,13.0,7.0,Trevor Lawrence pass incomplete short left intended for Travis Etienne,-0.66,-1.32,12.0,2023,173
3.0,14:45,3.0,10.0,JAX 16,13.0,7.0,Trevor Lawrence pass complete short right to Calvin Ridley for 11 yards (tackle by Derek Stingley),-1.32,0.74,12.0,2023,173
3.0,14:16,1.0,10.0,JAX 27,13.0,7.0,"Travis Etienne up the middle for no gain (tackle by Kerry Hyder and Christian Harris). Penalty on Walker Little: Illegal Formation, 5 yards (accepted) (no play)",0.74,0.41,12.0,2023,173
3.0,13:54,1.0,15.0,JAX 22,13.0,7.0,D'Ernest Johnson left guard for 7 yards (tackle by Jerry Hughes and Christian Harris),0.41,0.47,12.0,2023,173
3.0,13:13,2.0,8.0,JAX 29,13.0,7.0,Trevor Lawrence pass complete short left to Calvin Ridley for 14 yards (tackle by Steven Nelson),0.47,1.8,12.0,2023,173
3.0,12:41,1.0,10.0,JAX 43,13.0,7.0,Travis Etienne left end for 9 yards (tackle by Steven Nelson),1.8,2.47,12.0,2023,173
3.0,11:57,2.0,1.0,HOU 48,13.0,7.0,Trevor Lawrence pass short right intended for Evan Engram is intercepted by Derek Stingley at HOU-40 and returned for 14 yards (tackle by Luke Fortner),2.47,-2.52,12.0,2023,173
3.0,11:49,1.0,10.0,JAX 46,13.0,7.0,C.J. Stroud pass complete short left to Devin Singletary for 6 yards (tackle by Folorunso Fatukasi),2.52,2.79,12.0,2023,173
3.0,11:28,2.0,4.0,JAX 40,13.0,7.0,C.J. Stroud pass complete short middle to Nico Collins for 3 yards (tackle by Foyesade Oluokun),2.79,2.48,12.0,2023,173
3.0,10:47,3.0,1.0,JAX 37,13.0,7.0,C.J. Stroud pass complete short right to Nico Collins for 22 yards (tackle by Montaric Brown),2.48,4.58,12.0,2023,173
3.0,10:05,,,,,,Timeout #1 by Houston Texans,,,12.0,2023,173
3.0,10:05,1.0,10.0,JAX 15,13.0,7.0,Devin Singletary left tackle for 14 yards (tackle by Foyesade Oluokun),4.58,6.97,12.0,2023,173
3.0,9:27,1.0,1.0,JAX 1,13.0,7.0,Devin Singletary right tackle for -2 yards (tackle by Folorunso Fatukasi),6.97,5.53,12.0,2023,173
3.0,8:51,2.0,3.0,JAX 3,13.0,7.0,Devin Singletary right tackle for 2 yards (tackle by Andre Cisco and Adam Gotsis),5.53,5.17,12.0,2023,173
3.0,8:16,3.0,1.0,JAX 1,13.0,13.0,"C.J. Stroud right end for 1 yard, touchdown",5.17,7.0,12.0,2023,173
3.0,8:10,,,JAX 15,13.0,14.0,Matt Ammendola kicks extra point good,0.0,0.0,12.0,2023,173
3.0,8:10,,,HOU 35,13.0,14.0,"Matt Ammendola kicks off 65 yards, touchback.",0.0,0.61,12.0,2023,173
3.0,8:10,1.0,10.0,JAX 25,13.0,14.0,Trevor Lawrence pass complete deep right to Calvin Ridley for 45 yards (tackle by Steven Nelson),0.61,3.58,12.0,2023,173
3.0,7:33,1.0,10.0,HOU 30,13.0,14.0,Travis Etienne up the middle for no gain (tackle by Kurt Hinish and Jalen Pitre),3.58,3.03,12.0,2023,173
3.0,6:54,2.0,10.0,HOU 30,13.0,14.0,Trevor Lawrence pass complete short left to Evan Engram for 7 yards (tackle by Jalen Pitre),3.03,3.27,12.0,2023,173
3.0,6:14,3.0,3.0,HOU 23,13.0,14.0,"Trevor Lawrence pass incomplete deep right intended for Evan Engram. Penalty on Tavierre Thomas: Defensive Pass Interference, 15 yards (accepted) (no play)",3.27,5.37,12.0,2023,173
3.0,6:10,1.0,8.0,HOU 8,13.0,14.0,Travis Etienne left tackle for 3 yards (tackle by Henry To'oTo'o and Jalen Pitre),5.37,5.15,12.0,2023,173
3.0,5:29,2.0,5.0,HOU 5,13.0,14.0,Trevor Lawrence pass incomplete short middle intended for Evan Engram,5.15,4.26,12.0,2023,173
3.0,5:24,3.0,5.0,HOU 5,13.0,14.0,"Trevor Lawrence pass incomplete short right intended for Christian Kirk. Penalty on Tavierre Thomas: Defensive Pass Interference, 4 yards (accepted) (no play)",4.26,6.97,12.0,2023,173
3.0,5:19,1.0,1.0,HOU 1,13.0,14.0,Travis Etienne up the middle for no gain (tackle by Blake Cashman),6.97,5.91,12.0,2023,173
3.0,4:39,2.0,1.0,HOU 1,13.0,14.0,Trevor Lawrence pass incomplete short right intended for Luke Farrell (defended by DeAndre Houston-Carson),5.91,5.17,12.0,2023,173
3.0,4:34,3.0,1.0,HOU 1,19.0,14.0,"Trevor Lawrence pass complete short middle to Calvin Ridley for 1 yard, touchdown",5.17,7.0,12.0,2023,173
3.0,4:29,,,HOU 2,21.0,14.0,Two Point Attempt: Trevor Lawrence pass complete to to Calvin Ridley for no gain,1.0,1.0,12.0,2023,173
3.0,4:29,,,JAX 35,21.0,14.0,"Brandon McManus kicks off 65 yards, touchback.",0.0,0.61,12.0,2023,173
3.0,4:29,1.0,10.0,HOU 25,21.0,14.0,C.J. Stroud pass complete deep middle to Nico Collins for 24 yards (tackle by Andre Cisco and Rayshawn Jenkins),0.61,2.19,12.0,2023,173
3.0,3:52,1.0,10.0,HOU 49,21.0,14.0,Dameon Pierce left guard for 4 yards (tackle by Rayshawn Jenkins),2.19,2.19,12.0,2023,173
3.0,3:19,2.0,6.0,JAX 47,21.0,14.0,C.J. Stroud pass incomplete short right intended for John Metchie,2.19,1.49,12.0,2023,173
3.0,3:14,3.0,6.0,JAX 47,21.0,14.0,C.J. Stroud sacked by Josh Allen for -12 yards,1.49,-0.65,12.0,2023,173
3.0,2:41,4.0,18.0,HOU 41,21.0,14.0,"Cameron Johnston punts 48 yards, fair catch by Parker Washington at JAC-11",-0.65,0.37,12.0,2023,173
3.0,2:33,1.0,10.0,JAX 11,21.0,14.0,Travis Etienne left end for -1 yards (tackle by Christian Harris),-0.37,-0.85,12.0,2023,173
3.0,1:54,2.0,11.0,JAX 10,21.0,14.0,Trevor Lawrence pass complete short middle to Travis Etienne for 4 yards (tackle by Blake Cashman),-0.85,-1.07,12.0,2023,173
3.0,1:13,3.0,7.0,JAX 14,21.0,14.0,"Trevor Lawrence pass incomplete short left intended for Calvin Ridley. Penalty on Steven Nelson: Defensive Holding, 5 yards (accepted) (no play)",-1.07,0.15,12.0,2023,173
3.0,1:08,1.0,10.0,JAX 19,21.0,14.0,Trevor Lawrence pass complete short left to Travis Etienne for 12 yards (tackle by Kerry Hyder),0.15,1.0,12.0,2023,173
3.0,0:29,1.0,10.0,JAX 31,21.0,14.0,Trevor Lawrence pass complete deep right to Calvin Ridley for 18 yards (tackle by Jalen Pitre),1.0,2.19,12.0,2023,173
4.0,15:00,1.0,10.0,JAX 49,21.0,14.0,Trevor Lawrence pass complete short right to Evan Engram for 8 yards (tackle by Blake Cashman),2.19,2.73,12.0,2023,173
4.0,14:27,2.0,2.0,HOU 43,21.0,14.0,D'Ernest Johnson right end for 4 yards (tackle by Christian Harris),2.73,2.98,12.0,2023,173
4.0,13:51,1.0,10.0,HOU 39,21.0,14.0,"D'Ernest Johnson left tackle for no gain (tackle by Tavierre Thomas and Blake Cashman). Penalty on Walker Little: Offensive Holding, 10 yards (accepted) (no play)",2.98,2.32,12.0,2023,173
4.0,13:27,1.0,20.0,HOU 49,21.0,14.0,Trevor Lawrence pass complete short left to Luke Farrell for 6 yards (tackle by Tavierre Thomas and Maliek Collins),2.32,1.9,12.0,2023,173
4.0,12:47,2.0,14.0,HOU 43,21.0,14.0,Trevor Lawrence pass complete short middle to Evan Engram for 7 yards (tackle by Tavierre Thomas and Christian Harris),1.9,2.15,12.0,2023,173
4.0,12:15,3.0,7.0,HOU 36,21.0,14.0,Trevor Lawrence pass complete short right to Evan Engram for 6 yards (tackle by Jalen Pitre and Christian Harris),2.15,1.52,12.0,2023,173
4.0,11:38,4.0,1.0,HOU 30,21.0,14.0,Trevor Lawrence up the middle for no gain (tackle by Cory Littleton) (no play),1.52,0.97,12.0,2023,173
4.0,11:25,4.0,6.0,HOU 35,24.0,14.0,Brandon McManus 53 yard field goal good,0.97,3.0,12.0,2023,173
4.0,11:20,,,JAX 35,24.0,14.0,"Brandon McManus kicks off 65 yards, touchback.",0.0,0.61,12.0,2023,173
4.0,11:20,1.0,10.0,HOU 25,24.0,14.0,Tank Dell right end for 12 yards (tackle by Rayshawn Jenkins),0.61,1.4,12.0,2023,173
4.0,10:44,1.0,10.0,HOU 37,24.0,14.0,C.J. Stroud pass complete short left to John Metchie for 6 yards (tackle by Josh Allen),1.4,1.67,12.0,2023,173
4.0,10:11,2.0,4.0,HOU 43,24.0,14.0,Devin Singletary left end for 3 yards (tackle by Foyesade Oluokun),1.67,1.36,12.0,2023,173
4.0,9:29,3.0,1.0,HOU 46,24.0,14.0,C.J. Stroud pass incomplete deep right intended for Nico Collins,1.36,-0.32,12.0,2023,173
4.0,9:22,4.0,1.0,HOU 46,24.0,14.0,C.J. Stroud pass incomplete deep left intended for Dalton Schultz,-0.32,-2.52,12.0,2023,173
4.0,9:15,1.0,10.0,HOU 46,24.0,14.0,Travis Etienne left end for 9 yards (tackle by Henry To'oTo'o),2.52,3.19,12.0,2023,173
4.0,8:39,2.0,1.0,HOU 37,24.0,14.0,Travis Etienne left guard for 3 yards (tackle by Will Anderson and Khalil Davis),3.19,3.31,12.0,2023,173
4.0,8:01,1.0,10.0,HOU 34,24.0,14.0,Trevor Lawrence pass incomplete deep right intended for Christian Kirk,3.31,2.77,12.0,2023,173
4.0,7:55,2.0,10.0,HOU 34,24.0,14.0,D'Ernest Johnson right guard for -3 yards (tackle by Kerry Hyder),2.77,1.69,12.0,2023,173
4.0,7:15,3.0,13.0,HOU 37,24.0,14.0,Trevor Lawrence pass incomplete short left intended for D'Ernest Johnson,1.69,0.79,12.0,2023,173
4.0,7:10,4.0,13.0,HOU 37,24.0,14.0,Brandon McManus 55 yard field goal no good,0.79,-1.93,12.0,2023,173
4.0,7:05,1.0,10.0,HOU 45,24.0,14.0,C.J. Stroud pass incomplete short right intended for Robert Woods (defended by Rayshawn Jenkins),1.93,1.38,12.0,2023,173
4.0,6:57,2.0,10.0,HOU 45,24.0,14.0,C.J. Stroud pass complete deep middle to Xavier Hutchinson for 34 yards (tackle by Rayshawn Jenkins),1.38,4.17,12.0,2023,173
4.0,6:31,1.0,10.0,JAX 21,24.0,14.0,C.J. Stroud pass complete short right to Dameon Pierce for 4 yards (tackle by Devin Lloyd),4.17,4.2,12.0,2023,173
4.0,5:48,2.0,6.0,JAX 17,24.0,14.0,C.J. Stroud pass complete short left to Devin Singletary for no gain (tackle by Tre Herndon),4.2,3.46,12.0,2023,173
4.0,5:22,3.0,6.0,JAX 17,24.0,20.0,"C.J. Stroud pass complete short middle to Nico Collins for 17 yards, touchdown",3.46,7.0,12.0,2023,173
4.0,5:15,,,JAX 15,24.0,21.0,Matt Ammendola kicks extra point good,0.0,0.0,12.0,2023,173
4.0,5:15,,,HOU 35,24.0,21.0,"Matt Ammendola kicks off 65 yards, touchback.",0.0,0.61,12.0,2023,173
4.0,5:15,1.0,10.0,JAX 25,24.0,21.0,Trevor Lawrence pass complete short right to Christian Kirk for 6 yards (tackle by Christian Harris),0.61,0.87,12.0,2023,173
4.0,4:44,2.0,4.0,JAX 31,24.0,21.0,Travis Etienne left guard for 20 yards (tackle by Steven Nelson),0.87,2.32,12.0,2023,173
4.0,3:59,1.0,10.0,HOU 49,24.0,21.0,Travis Etienne left end for 3 yards (tackle by Christian Harris),2.32,2.19,12.0,2023,173
4.0,3:17,2.0,7.0,HOU 46,24.0,21.0,Trevor Lawrence pass incomplete short right intended for Luke Farrell (defended by Steven Nelson),2.19,1.49,12.0,2023,173
4.0,3:13,,,,,,Timeout #1 by Jacksonville Jaguars,,,12.0,2023,173
4.0,3:13,3.0,7.0,HOU 46,24.0,21.0,Trevor Lawrence pass incomplete deep right intended for Zay Jones (defended by Derek Stingley),1.49,0.2,12.0,2023,173
4.0,3:07,,,,,,Timeout #2 by Houston Texans,,,12.0,2023,173
4.0,3:07,4.0,7.0,HOU 46,24.0,21.0,"Logan Cooke punts 35 yards, fair catch by Steven Sims at HOU-11",0.2,0.37,12.0,2023,173
4.0,3:01,1.0,10.0,HOU 11,24.0,21.0,"C.J. Stroud scrambles left end for 16 yards (tackle by Foyesade Oluokun). Penalty on Tre Herndon: Defensive Holding, 5 yards (accepted)",-0.37,1.07,12.0,2023,173
4.0,2:54,1.0,10.0,HOU 32,24.0,21.0,C.J. Stroud pass incomplete short right intended for Brevin Jordan (defended by Jeremiah Ledbetter),1.07,0.53,12.0,2023,173
4.0,2:50,2.0,10.0,HOU 32,24.0,21.0,C.J. Stroud pass complete short right to Devin Singletary for 6 yards (tackle by Devin Lloyd),0.53,0.63,12.0,2023,173
4.0,2:28,3.0,4.0,HOU 38,24.0,21.0,C.J. Stroud pass complete short right to Brevin Jordan for 9 yards (tackle by Rayshawn Jenkins),0.63,2.06,12.0,2023,173
4.0,2:24,1.0,10.0,HOU 47,24.0,21.0,C.J. Stroud sacked by Josh Allen for -15 yards,2.06,-0.51,12.0,2023,173
4.0,2:00,2.0,25.0,HOU 32,24.0,21.0,C.J. Stroud pass complete deep right to Nico Collins for 17 yards (tackle by Tre Herndon),-0.51,1.09,12.0,2023,173
