Quarter,Time,Down,ToGo,Location,TAM,IND,Detail,EPB,EPA,week,year,game_id
1.0,5:35,2.0,2.0,TAM 42,3.0,0.0,Gardner Minshew pass complete short left to Alec Pierce for 5 yards (tackle by Antoine Winfield),2.79,3.12,12.0,2023,172
1.0,5:07,1.0,10.0,TAM 37,3.0,0.0,Gardner Minshew pass complete short middle to Michael Pittman for 9 yards (tackle by Zyon McCollum),3.12,3.79,12.0,2023,172
1.0,4:36,2.0,1.0,TAM 28,3.0,0.0,Jonathan Taylor right tackle for 9 yards (tackle by Antoine Winfield and Ryan Neal),3.79,4.31,12.0,2023,172
1.0,3:54,1.0,10.0,TAM 19,3.0,0.0,Gardner Minshew pass incomplete short left intended for Will Mallory,4.31,3.75,12.0,2023,172
1.0,3:49,2.0,10.0,TAM 19,3.0,0.0,Gardner Minshew pass incomplete short right intended for Michael Pittman (defended by Carlton Davis),3.75,3.03,12.0,2023,172
1.0,3:44,3.0,10.0,TAM 19,3.0,0.0,Gardner Minshew sacked by Joe Tryon-Shoyinka for -9 yards,3.03,1.59,12.0,2023,172
1.0,3:05,4.0,19.0,TAM 28,3.0,3.0,Matt Gay 46 yard field goal good,1.59,3.0,12.0,2023,172
1.0,3:01,,,IND 35,3.0,3.0,"Matt Gay kicks off 65 yards, touchback.",0.0,0.61,12.0,2023,172
1.0,3:01,1.0,10.0,TAM 25,3.0,3.0,Baker Mayfield pass complete short left to Cade Otton for 6 yards (tackle by Jaylon Jones),0.61,0.87,12.0,2023,172
1.0,2:24,2.0,4.0,TAM 31,3.0,3.0,"Chase Edmonds right tackle for no gain (tackle by Eric Johnson). Penalty on Adetomiwa Adebawore: Defensive Offside, 5 yards (accepted) (no play)",0.87,1.33,12.0,2023,172
1.0,1:56,1.0,10.0,TAM 36,3.0,3.0,Baker Mayfield pass short middle intended for Mike Evans is intercepted by Ronnie Harrison at 50 and returned for 9 yards (tackle by Chase Edmonds),1.33,-2.85,12.0,2023,172
1.0,1:49,1.0,10.0,TAM 41,3.0,3.0,Isaiah McKenzie left end for 3 yards (tackle by Zyon McCollum),2.85,2.71,12.0,2023,172
1.0,1:11,2.0,7.0,TAM 38,3.0,3.0,Gardner Minshew pass complete short middle to Michael Pittman for 17 yards (tackle by Antoine Winfield and Carlton Davis),2.71,4.17,12.0,2023,172
1.0,0:45,1.0,10.0,TAM 21,3.0,3.0,Jonathan Taylor up the middle for 17 yards (tackle by Antoine Winfield),4.17,6.28,12.0,2023,172
1.0,0:16,1.0,4.0,TAM 4,3.0,9.0,"Jonathan Taylor left tackle for 4 yards, touchdown",6.28,7.0,12.0,2023,172
1.0,0:11,,,TAM 15,3.0,10.0,Matt Gay kicks extra point good,0.0,0.0,12.0,2023,172
1.0,0:11,,,IND 35,3.0,10.0,"Matt Gay kicks off 65 yards, touchback.",0.0,0.61,12.0,2023,172
1.0,0:11,1.0,10.0,TAM 25,3.0,10.0,Rachaad White up the middle for -2 yards (tackle by DeForest Buckner),0.61,-0.21,12.0,2023,172
2.0,15:00,2.0,12.0,TAM 23,3.0,10.0,Baker Mayfield pass incomplete short right intended for Chris Godwin (defended by Tyquan Lewis),-0.21,-0.89,12.0,2023,172
2.0,14:55,3.0,12.0,TAM 23,3.0,10.0,Baker Mayfield sacked by Samson Ebukam for -9 yards,-0.89,-2.47,12.0,2023,172
2.0,14:05,4.0,21.0,TAM 14,3.0,10.0,"Jake Camarda punts 61 yards, returned by Isaiah McKenzie for 13 yards (tackle by Ko Kieft)",-2.47,-1.47,12.0,2023,172
2.0,13:51,1.0,10.0,IND 38,3.0,10.0,Gardner Minshew pass incomplete short middle intended for Kylen Granson (defended by Logan Hall),1.47,0.92,12.0,2023,172
2.0,13:48,2.0,10.0,IND 38,3.0,10.0,Gardner Minshew pass incomplete short left intended for Josh Downs (defended by Calijah Kancey),0.92,0.23,12.0,2023,172
2.0,13:42,3.0,10.0,IND 38,3.0,10.0,Gardner Minshew pass complete short right to Alec Pierce for 9 yards (tackle by Carlton Davis),0.23,-0.26,12.0,2023,172
2.0,12:51,,,,,,Timeout #1 by Indianapolis Colts,,,12.0,2023,172
2.0,12:51,4.0,1.0,IND 47,3.0,10.0,Gardner Minshew pass complete short left to Michael Pittman for 24 yards (tackle by Antoine Winfield),-0.26,3.64,12.0,2023,172
2.0,12:14,1.0,10.0,TAM 29,3.0,10.0,Zack Moss left end for 2 yards (tackle by Shaquil Barrett and Devin White),3.64,3.37,12.0,2023,172
2.0,11:33,2.0,8.0,TAM 27,3.0,10.0,Gardner Minshew pass complete short left to Michael Pittman for 12 yards (tackle by Zyon McCollum),3.37,4.58,12.0,2023,172
2.0,11:01,1.0,10.0,TAM 15,3.0,10.0,Gardner Minshew pass complete short right to Josh Downs for 13 yards (tackle by Christian Izien and Antoine Winfield),4.58,6.74,12.0,2023,172
2.0,10:29,1.0,2.0,TAM 2,3.0,10.0,Gardner Minshew pass incomplete short right intended for Josh Downs,6.74,5.72,12.0,2023,172
2.0,10:25,2.0,2.0,TAM 2,3.0,10.0,Jonathan Taylor up the middle for no gain (tackle by Devin White),5.72,4.95,12.0,2023,172
2.0,9:42,3.0,2.0,TAM 2,3.0,16.0,"Gardner Minshew scrambles right end for 2 yards, touchdown",4.95,7.0,12.0,2023,172
2.0,9:36,,,TAM 15,3.0,17.0,Matt Gay kicks extra point good,0.0,0.0,12.0,2023,172
2.0,9:36,,,IND 35,3.0,17.0,"Matt Gay kicks off 65 yards, touchback.",0.0,0.61,12.0,2023,172
2.0,9:36,1.0,10.0,TAM 25,3.0,17.0,"Baker Mayfield aborted snap, recovered by Rachaad White at TB-20",0.61,-0.81,12.0,2023,172
2.0,8:55,2.0,16.0,TAM 19,3.0,17.0,Baker Mayfield pass complete short right to Rachaad White for 6 yards (tackle by E.J. Speed),-0.81,-0.62,12.0,2023,172
2.0,8:15,3.0,10.0,TAM 25,3.0,17.0,Baker Mayfield pass complete short left to Rachaad White for 4 yards (tackle by Kenny Moore),-0.62,-1.44,12.0,2023,172
2.0,7:34,4.0,6.0,TAM 29,3.0,17.0,Jake Camarda punts 63 yards downed by K.J. Britt,-1.44,0.38,12.0,2023,172
2.0,7:22,1.0,10.0,IND 8,3.0,17.0,Gardner Minshew pass incomplete short middle intended for Michael Pittman,-0.38,-0.78,12.0,2023,172
2.0,7:19,2.0,10.0,IND 8,3.0,17.0,Zack Moss up the middle for 6 yards (tackle by Devin White),-0.78,-0.72,12.0,2023,172
2.0,6:37,3.0,4.0,IND 14,3.0,17.0,Gardner Minshew pass short right intended for Josh Downs is intercepted by Carlton Davis at IND-19 and returned for 3 yards (tackle by Josh Downs),-0.72,-4.51,12.0,2023,172
2.0,6:33,1.0,10.0,IND 16,3.0,17.0,Rachaad White right guard for 3 yards (tackle by Samson Ebukam),4.51,4.39,12.0,2023,172
2.0,5:54,2.0,7.0,IND 13,3.0,17.0,Baker Mayfield pass complete short right to Payne Durham for 12 yards (tackle by Julian Blackmon),4.39,6.97,12.0,2023,172
2.0,5:12,1.0,1.0,IND 1,9.0,17.0,"Baker Mayfield pass complete short left to Mike Evans for 1 yard, touchdown. Penalty on Eric Johnson: Defensive Offside, 5 yards (declined)",6.97,7.0,12.0,2023,172
2.0,5:08,,,IND 15,10.0,17.0,Chase McLaughlin kicks extra point good,0.0,0.0,12.0,2023,172
2.0,5:08,,,TAM 35,10.0,17.0,"Jake Camarda kicks off 65 yards, touchback.",0.0,0.61,12.0,2023,172
2.0,5:08,1.0,10.0,IND 25,10.0,17.0,Gardner Minshew pass incomplete short left intended for Michael Pittman (defended by SirVocea Dennis),0.61,0.06,12.0,2023,172
2.0,4:58,2.0,10.0,IND 25,10.0,17.0,Gardner Minshew pass incomplete short left intended for Josh Downs,0.06,-0.62,12.0,2023,172
2.0,4:54,3.0,10.0,IND 25,10.0,17.0,Gardner Minshew pass incomplete deep middle intended for Alec Pierce (defended by Antoine Winfield),-0.62,-1.7,12.0,2023,172
2.0,4:48,4.0,10.0,IND 25,10.0,17.0,"Rigoberto Sanchez punts 53 yards, fair catch by Deven Thompkins at TB-22",-1.7,-0.41,12.0,2023,172
2.0,4:40,1.0,10.0,TAM 22,10.0,17.0,Rachaad White up the middle for 13 yards (tackle by Julian Blackmon),0.41,1.27,12.0,2023,172
2.0,3:55,1.0,10.0,TAM 35,10.0,17.0,Chase Edmonds up the middle for 11 yards (tackle by Darrell Baker and Zaire Franklin),1.27,1.99,12.0,2023,172
2.0,3:07,1.0,10.0,TAM 46,10.0,17.0,"Baker Mayfield pass incomplete deep left intended for Chris Godwin. Penalty on Kenny Moore: Roughing the Passer, 15 yards (accepted) (no play)",1.99,2.98,12.0,2023,172
2.0,3:05,1.0,10.0,IND 39,10.0,17.0,Rachaad White left guard for 1 yard (tackle by DeForest Buckner and Zaire Franklin),2.98,2.58,12.0,2023,172
2.0,2:27,2.0,9.0,IND 38,10.0,17.0,Rachaad White right guard for 5 yards (tackle by E.J. Speed),2.58,2.54,12.0,2023,172
2.0,2:00,3.0,4.0,IND 33,10.0,17.0,"Rachaad White up the middle for no gain (tackle by Zaire Franklin). Penalty on Aaron Stinnie: Offensive Holding, 10 yards (accepted) (no play)",2.54,1.22,12.0,2023,172
2.0,1:55,3.0,14.0,IND 43,10.0,17.0,Baker Mayfield pass incomplete short left intended for Chris Godwin,1.22,0.4,12.0,2023,172
2.0,1:52,4.0,14.0,IND 43,10.0,17.0,"Jake Camarda punts 43 yards, touchback.",0.4,-0.28,12.0,2023,172
2.0,1:44,1.0,10.0,IND 20,10.0,17.0,Zack Moss up the middle for 16 yards (tackle by Carlton Davis and Christian Izien),0.28,1.33,12.0,2023,172
2.0,1:15,1.0,10.0,IND 36,10.0,17.0,Zack Moss left guard for 2 yards (tackle by Shaquil Barrett and Calijah Kancey),1.33,1.06,12.0,2023,172
2.0,0:48,2.0,8.0,IND 38,10.0,17.0,Gardner Minshew pass complete short right to Zack Moss for 9 yards (tackle by Christian Izien and Devin White),1.06,2.06,12.0,2023,172
2.0,0:25,1.0,10.0,IND 47,10.0,17.0,Gardner Minshew pass incomplete short right intended for Zack Moss,2.06,1.52,12.0,2023,172
2.0,0:22,2.0,10.0,IND 47,10.0,17.0,Gardner Minshew pass incomplete short left,1.52,0.83,12.0,2023,172
2.0,0:14,3.0,10.0,IND 47,10.0,17.0,Gardner Minshew pass complete short right to Josh Downs for 7 yards (tackle by Dee Delaney),0.83,0.2,12.0,2023,172
2.0,0:07,,,,,,Timeout #2 by Indianapolis Colts,,,12.0,2023,172
2.0,0:07,4.0,3.0,TAM 46,10.0,17.0,Gardner Minshew pass complete short right to Michael Pittman for 6 yards (tackle by Carlton Davis),0.2,2.92,12.0,2023,172
2.0,0:02,,,,,,Timeout #3 by Indianapolis Colts,,,12.0,2023,172
2.0,0:02,1.0,10.0,TAM 40,10.0,17.0,Matt Gay 58 yard field goal no good,2.92,2.06,12.0,2023,172
3.0,15:00,,,TAM 35,10.0,17.0,"Jake Camarda kicks off 65 yards, touchback.",0.0,0.61,12.0,2023,172
3.0,15:00,1.0,10.0,IND 25,10.0,17.0,Jonathan Taylor left guard for -2 yards (tackle by Calijah Kancey),0.61,-0.21,12.0,2023,172
3.0,14:19,2.0,12.0,IND 23,10.0,17.0,Gardner Minshew pass complete short right to Josh Downs for 6 yards (tackle by Carlton Davis),-0.21,-0.1,12.0,2023,172
3.0,13:32,3.0,6.0,IND 29,10.0,17.0,Gardner Minshew pass complete short middle to Will Mallory for 12 yards (tackle by Shaquil Barrett),-0.1,1.66,12.0,2023,172
3.0,13:06,1.0,10.0,IND 41,10.0,17.0,Gardner Minshew pass complete short left to Will Mallory for 17 yards (tackle by Dee Delaney),1.66,2.79,12.0,2023,172
3.0,12:31,1.0,10.0,TAM 42,10.0,17.0,Jonathan Taylor right end for 11 yards (tackle by Christian Izien),2.79,3.51,12.0,2023,172
3.0,12:06,1.0,10.0,TAM 31,10.0,17.0,Gardner Minshew pass complete short right to Michael Pittman for 3 yards (tackle by Carlton Davis),3.51,3.37,12.0,2023,172
3.0,11:29,2.0,7.0,TAM 28,10.0,17.0,Zack Moss right tackle for 8 yards (tackle by Carlton Davis),3.37,4.24,12.0,2023,172
3.0,10:51,1.0,10.0,TAM 20,10.0,17.0,Zack Moss up the middle for 2 yards (tackle by SirVocea Dennis),4.24,3.96,12.0,2023,172
3.0,10:13,2.0,8.0,TAM 18,10.0,17.0,Gardner Minshew pass incomplete deep left intended for Alec Pierce,3.96,3.22,12.0,2023,172
3.0,10:09,3.0,8.0,TAM 18,10.0,17.0,Gardner Minshew pass incomplete short middle intended for Josh Downs,3.22,2.25,12.0,2023,172
3.0,10:05,4.0,8.0,TAM 18,10.0,20.0,Matt Gay 36 yard field goal good,2.25,3.0,12.0,2023,172
3.0,10:01,,,IND 35,10.0,20.0,"Matt Gay kicks off 63 yards,",0.0,0.61,12.0,2023,172
3.0,10:01,1.0,10.0,TAM 25,10.0,20.0,Baker Mayfield pass complete short right to Chris Godwin for 21 yards (tackle by E.J. Speed),0.61,1.99,12.0,2023,172
3.0,9:22,1.0,10.0,TAM 46,10.0,20.0,Rachaad White left guard for 3 yards (tackle by DeForest Buckner and Kwity Paye),1.99,1.86,12.0,2023,172
3.0,8:40,2.0,7.0,TAM 49,10.0,20.0,Rachaad White up the middle for 11 yards (tackle by Julian Blackmon),1.86,2.92,12.0,2023,172
3.0,7:58,1.0,10.0,IND 40,10.0,20.0,Baker Mayfield sacked by and Adetomiwa Adebawore for -7 yards and Tyquan Lewis for -7 yards,2.92,1.43,12.0,2023,172
3.0,7:11,2.0,17.0,IND 47,10.0,20.0,Baker Mayfield pass incomplete short left intended for Trey Palmer,1.43,0.76,12.0,2023,172
3.0,7:09,3.0,17.0,IND 47,10.0,20.0,Baker Mayfield pass complete short middle to Trey Palmer for 6 yards (tackle by Nick Cross),0.76,0.53,12.0,2023,172
3.0,6:15,4.0,11.0,IND 41,10.0,20.0,"Jake Camarda punts 41 yards, touchback.",0.53,-0.28,12.0,2023,172
3.0,6:09,1.0,10.0,IND 20,10.0,20.0,Jonathan Taylor up the middle for 4 yards (tackle by Anthony Nelson and Joe Tryon-Shoyinka),0.28,0.27,12.0,2023,172
3.0,5:28,2.0,6.0,IND 24,10.0,20.0,Gardner Minshew pass complete short right to Josh Downs for 8 yards (tackle by Antoine Winfield),0.27,1.07,12.0,2023,172
3.0,4:58,1.0,10.0,IND 32,10.0,20.0,Zack Moss left end for 13 yards (tackle by Zyon McCollum),1.07,1.93,12.0,2023,172
3.0,4:31,1.0,10.0,IND 45,10.0,20.0,Zack Moss up the middle for 6 yards (tackle by SirVocea Dennis and Zyon McCollum),1.93,2.19,12.0,2023,172
3.0,3:56,2.0,4.0,TAM 49,10.0,20.0,Jonathan Taylor right tackle for 5 yards (tackle by William Gholston and SirVocea Dennis),2.19,2.65,12.0,2023,172
3.0,3:17,1.0,10.0,TAM 44,10.0,20.0,Jonathan Taylor left end for -1 yards (tackle by Zyon McCollum and YaYa Diaby),2.65,1.98,12.0,2023,172
3.0,2:34,2.0,11.0,TAM 45,10.0,20.0,Gardner Minshew pass complete short middle to Alec Pierce for 5 yards (tackle by Zyon McCollum),1.98,1.95,12.0,2023,172
3.0,1:54,3.0,6.0,TAM 40,10.0,20.0,"Gardner Minshew aborted snap, recovered by Gardner Minshew at TB-45 and returned for 5 yards Gardner Minshew pass incomplete short left intended for Josh Downs",1.95,0.59,12.0,2023,172
3.0,1:50,4.0,6.0,TAM 40,10.0,20.0,Gardner Minshew pass incomplete short right intended for Josh Downs (defended by Dee Delaney),0.59,-1.6,12.0,2023,172
3.0,1:46,1.0,10.0,TAM 40,10.0,20.0,Rachaad White left tackle for 2 yards (tackle by Isaiah Land and Taven Bryan),1.6,1.32,12.0,2023,172
3.0,1:03,2.0,8.0,TAM 42,10.0,20.0,Baker Mayfield sacked by Isaiah Land for no gain,1.32,0.63,12.0,2023,172
3.0,0:24,3.0,8.0,TAM 42,10.0,20.0,Baker Mayfield scrambles for 14 yards (tackle by Julian Blackmon),0.63,2.65,12.0,2023,172
4.0,15:00,1.0,10.0,IND 44,10.0,20.0,Baker Mayfield pass complete short left to Trey Palmer for no gain (tackle by Jaylon Jones),2.65,2.11,12.0,2023,172
4.0,14:16,2.0,10.0,IND 44,10.0,20.0,Baker Mayfield pass incomplete short left intended for Mike Evans,2.11,1.42,12.0,2023,172
4.0,14:10,3.0,10.0,IND 44,10.0,20.0,Baker Mayfield pass incomplete short left intended for Chris Godwin (defended by Julian Blackmon),1.42,0.33,12.0,2023,172
4.0,14:06,4.0,10.0,IND 44,10.0,20.0,Baker Mayfield pass complete deep right to Chris Godwin for 19 yards (tackle by Darrell Baker),0.33,3.91,12.0,2023,172
4.0,13:33,1.0,10.0,IND 25,10.0,20.0,Rachaad White right tackle for 2 yards (tackle by DeForest Buckner),3.91,3.63,12.0,2023,172
4.0,12:55,2.0,8.0,IND 23,16.0,20.0,"Baker Mayfield pass complete deep left to Mike Evans for 23 yards, touchdown",3.63,7.0,12.0,2023,172
4.0,12:50,,,IND 15,17.0,20.0,Chase McLaughlin kicks extra point good,0.0,0.0,12.0,2023,172
4.0,12:50,,,TAM 35,17.0,20.0,"Jake Camarda kicks off 65 yards, touchback.",0.0,0.61,12.0,2023,172
4.0,12:50,1.0,10.0,IND 25,17.0,20.0,Gardner Minshew pass complete short right to Michael Pittman for 1 yard (tackle by Carlton Davis),0.61,0.2,12.0,2023,172
4.0,11:53,2.0,9.0,IND 26,17.0,20.0,Gardner Minshew pass complete short middle to Michael Pittman for 16 yards (tackle by Zyon McCollum and Antoine Winfield),0.2,1.73,12.0,2023,172
4.0,11:30,1.0,10.0,IND 42,17.0,20.0,"Zack Moss right end for no gain (tackle by Carlton Davis). Penalty on Michael Pittman: Offensive Holding, 10 yards (accepted) (no play)",1.73,1.07,12.0,2023,172
4.0,11:10,1.0,20.0,IND 32,17.0,20.0,Gardner Minshew pass complete short right to Zack Moss for 6 yards (tackle by SirVocea Dennis),1.07,0.65,12.0,2023,172
4.0,10:34,2.0,14.0,IND 38,17.0,20.0,Gardner Minshew pass complete short right to Michael Pittman for 8 yards (tackle by Carlton Davis),0.65,1.03,12.0,2023,172
4.0,9:49,3.0,6.0,IND 46,17.0,20.0,Gardner Minshew scrambles right end for 5 yards (tackle by Christian Izien),1.03,0.0,12.0,2023,172
4.0,9:13,4.0,1.0,TAM 49,17.0,20.0,Gardner Minshew pass complete short middle to Mo Alie-Cox for 30 yards (tackle by SirVocea Dennis),0.0,4.31,12.0,2023,172
4.0,8:58,1.0,10.0,TAM 19,17.0,20.0,Jonathan Taylor left guard for 8 yards (tackle by Anthony Nelson and Devin White),4.31,5.14,12.0,2023,172
4.0,8:03,2.0,2.0,TAM 11,17.0,20.0,Jonathan Taylor up the middle for 10 yards (tackle by Antoine Winfield),5.14,6.97,12.0,2023,172
4.0,7:33,1.0,1.0,TAM 1,17.0,26.0,"Jonathan Taylor up the middle for 1 yard, touchdown",6.97,7.0,12.0,2023,172
4.0,7:30,,,TAM 15,17.0,27.0,Matt Gay kicks extra point good,0.0,0.0,12.0,2023,172
4.0,7:30,,,IND 35,17.0,27.0,"Matt Gay kicks off 65 yards, touchback.",0.0,0.61,12.0,2023,172
4.0,7:30,1.0,10.0,TAM 25,17.0,27.0,Baker Mayfield pass incomplete short right intended for Chase Edmonds (defended by DeForest Buckner),0.61,0.06,12.0,2023,172
4.0,7:25,2.0,10.0,TAM 25,17.0,27.0,Baker Mayfield pass complete short left to Mike Evans for 8 yards (tackle by Kenny Moore and Jaylon Jones),0.06,0.43,12.0,2023,172
4.0,6:57,3.0,2.0,TAM 33,17.0,27.0,Rachaad White right end for 38 yards (tackle by Rodney Thomas),0.43,3.64,12.0,2023,172
4.0,6:27,1.0,10.0,IND 29,17.0,27.0,Baker Mayfield pass complete short left to Cade Otton for 8 yards (tackle by Zaire Franklin),3.64,4.18,12.0,2023,172
4.0,5:53,2.0,2.0,IND 21,17.0,27.0,Baker Mayfield pass complete short left to Mike Evans for 15 yards,4.18,5.83,12.0,2023,172
4.0,5:33,1.0,6.0,IND 6,17.0,27.0,Baker Mayfield sacked by and Tyquan Lewis for -6 yards and Dayo Odeyingbo for -6 yards,5.83,3.86,12.0,2023,172
4.0,5:01,2.0,12.0,IND 12,17.0,27.0,Baker Mayfield pass complete short right to Cade Otton for 7 yards (tackle by E.J. Speed),3.86,4.26,12.0,2023,172
4.0,4:56,3.0,5.0,IND 5,17.0,27.0,Baker Mayfield sacked by Kwity Paye for -1 yards,4.26,2.99,12.0,2023,172
4.0,4:13,4.0,6.0,IND 6,20.0,27.0,Chase McLaughlin 24 yard field goal good,2.99,3.0,12.0,2023,172
4.0,4:10,,,TAM 35,20.0,27.0,"Jake Camarda kicks off 65 yards, touchback.",0.0,0.61,12.0,2023,172
4.0,4:10,1.0,10.0,IND 25,20.0,27.0,"Jonathan Taylor right tackle for no gain (tackle by SirVocea Dennis). Penalty on Bernhard Raimann: Offensive Holding, 10 yards (accepted) (no play)",0.61,-0.41,12.0,2023,172
4.0,4:05,1.0,20.0,IND 15,20.0,27.0,Gardner Minshew pass incomplete deep left intended for Josh Downs,-0.41,-1.43,12.0,2023,172
4.0,4:00,2.0,20.0,IND 15,20.0,27.0,Gardner Minshew sacked by Calijah Kancey for -3 yards,-1.43,-2.94,12.0,2023,172
4.0,3:18,3.0,23.0,IND 12,20.0,27.0,Jonathan Taylor up the middle for 12 yards (tackle by Antoine Winfield),-2.94,-1.77,12.0,2023,172
4.0,2:32,4.0,11.0,IND 24,20.0,27.0,Rigoberto Sanchez punts 41 yards downed by Trevor Denbow,-1.77,-1.27,12.0,2023,172
4.0,2:21,1.0,10.0,TAM 35,20.0,27.0,Baker Mayfield pass complete short middle to Trey Palmer for 7 yards (tackle by Julian Blackmon),1.27,1.67,12.0,2023,172
4.0,2:02,2.0,3.0,TAM 42,20.0,27.0,Baker Mayfield pass complete short left to Chris Godwin for no gain (tackle by Kenny Moore) (no play),1.67,0.99,12.0,2023,172
4.0,1:57,2.0,8.0,TAM 37,20.0,27.0,Rachaad White right end for 4 yards (tackle by Zaire Franklin and E.J. Speed),0.99,0.83,12.0,2023,172
4.0,1:35,3.0,4.0,TAM 41,20.0,27.0,"Baker Mayfield sacked by Samson Ebukam for -3 yards. Baker Mayfield fumbles (forced by Samson Ebukam), recovered by Dayo Odeyingbo at TB-38 (tackle by Samson Ebukam)",0.83,-3.05,12.0,2023,172
4.0,1:29,1.0,10.0,TAM 38,20.0,27.0,Jonathan Taylor up the middle for 5 yards (tackle by Ryan Neal and Shaquil Barrett),3.05,3.18,12.0,2023,172
4.0,1:24,,,,,,Timeout #1 by Tampa Bay Buccaneers,,,12.0,2023,172
4.0,1:24,2.0,5.0,TAM 33,20.0,27.0,Jonathan Taylor right end for 8 yards (tackle by Carlton Davis),3.18,3.91,12.0,2023,172
4.0,0:36,1.0,10.0,TAM 25,20.0,27.0,Gardner Minshew kneels for -1 yards,3.91,3.23,12.0,2023,172
