Quarter,Time,Down,ToGo,Location,CAR,TEN,Detail,EPB,EPA,week,year,game_id
2.0,2:27,,,TEN 35,3.0,14.0,"Nick Folk kicks off 63 yards, returned by D'Shawn Jamison for 18 yards (tackle by Joseph Jones and Colton Dowell)",0.0,0.28,12.0,2023,170
2.0,2:21,1.0,10.0,CAR 20,3.0,14.0,Bryce Young pass complete short left to Chuba Hubbard for no gain (tackle by K'Von Wallace),0.28,-0.27,12.0,2023,170
2.0,2:02,2.0,10.0,CAR 20,3.0,14.0,Bryce Young pass complete short left to Jonathan Mingo for 6 yards (tackle by Elijah Molden),-0.27,-0.16,12.0,2023,170
2.0,1:58,3.0,4.0,CAR 26,3.0,14.0,Bryce Young pass incomplete short left,-0.16,-1.63,12.0,2023,170
2.0,1:46,4.0,4.0,CAR 26,3.0,14.0,Johnny Hekker punts 41 yards out of bounds,-1.63,-1.14,12.0,2023,170
2.0,1:39,1.0,10.0,TEN 33,3.0,14.0,Tyjae Spears right end for 8 yards (tackle by Troy Hill),1.14,1.67,12.0,2023,170
2.0,1:33,2.0,2.0,TEN 41,3.0,14.0,Tyjae Spears up the middle for -2 yards (tackle by Marquis Haynes),1.67,0.7,12.0,2023,170
2.0,1:04,3.0,4.0,TEN 39,3.0,14.0,Will Levis pass incomplete short right intended for Tyjae Spears (defended by Xavier Woods),0.7,-0.78,12.0,2023,170
2.0,1:00,,,,,,Timeout #3 by Tennessee Titans,,,12.0,2023,170
2.0,1:00,4.0,4.0,TEN 39,3.0,14.0,"Ryan Stonehouse punts 54 yards, returned by Ihmir Smith-Marsette for 3 yards (tackle by Colton Dowell)",-0.78,0.38,12.0,2023,170
2.0,0:50,1.0,10.0,CAR 10,3.0,14.0,Bryce Young pass complete short right to Jonathan Mingo for 8 yards (tackle by Sean Murphy-Bunting),-0.38,0.07,12.0,2023,170
2.0,0:43,,,,,,Timeout #1 by Carolina Panthers,,,12.0,2023,170
2.0,0:43,2.0,2.0,CAR 18,3.0,14.0,Bryce Young pass incomplete short right,0.07,-0.48,12.0,2023,170
2.0,0:38,3.0,2.0,CAR 18,3.0,14.0,Bryce Young pass incomplete short middle intended for DJ Chark (defended by Roger McCreary),-0.48,-2.24,12.0,2023,170
2.0,0:34,4.0,2.0,CAR 18,3.0,14.0,"Johnny Hekker punts 44 yards, fair catch by Eric Garror at TEN-38",-2.24,-1.47,12.0,2023,170
2.0,0:28,1.0,10.0,TEN 38,3.0,14.0,Will Levis pass incomplete short middle intended for Chigoziem Okonkwo (defended by Troy Hill),1.47,0.92,12.0,2023,170
2.0,0:21,2.0,10.0,TEN 38,3.0,14.0,"Will Levis pass complete short right to Chigoziem Okonkwo for 9 yards (tackle by Troy Hill). Penalty on Troy Hill: Defensive Holding, 5 yards (declined)",0.92,1.42,12.0,2023,170
2.0,0:14,,,,,,Timeout #2 by Carolina Panthers,,,12.0,2023,170
2.0,0:14,3.0,1.0,TEN 47,3.0,14.0,Will Levis pass complete deep middle to Nick Westbrook-Ikhine for 18 yards (tackle by Jammie Robinson),1.42,3.25,12.0,2023,170
2.0,0:05,1.0,10.0,CAR 35,3.0,14.0,Will Levis spiked the ball,3.25,2.7,12.0,2023,170
2.0,0:03,,,,,,Timeout #3 by Carolina Panthers,,,12.0,2023,170
2.0,0:03,2.0,10.0,CAR 35,3.0,17.0,Nick Folk 53 yard field goal good,2.7,3.0,12.0,2023,170
3.0,15:00,,,TEN 35,3.0,17.0,"Nick Folk kicks off 63 yards, returned by Laviska Shenault for 31 yards (tackle by K'Von Wallace and Chigoziem Okonkwo)",0.0,1.14,12.0,2023,170
3.0,14:53,1.0,10.0,CAR 33,3.0,17.0,Miles Sanders up the middle for 4 yards (tackle by Arden Key and Monty Rice),1.14,1.13,12.0,2023,170
3.0,14:13,2.0,6.0,CAR 37,3.0,17.0,Miles Sanders up the middle for -2 yards (tackle by Jeffery Simmons),1.13,0.17,12.0,2023,170
3.0,13:30,3.0,8.0,CAR 35,3.0,17.0,"Bryce Young pass incomplete short left intended for DJ Chark. Penalty on Sean Murphy-Bunting: Defensive Holding, 5 yards (accepted) (no play)",0.17,1.6,12.0,2023,170
3.0,13:27,1.0,10.0,CAR 40,3.0,17.0,Bryce Young pass complete short left to Ian Thomas for 9 yards (tackle by K'Von Wallace),1.6,2.27,12.0,2023,170
3.0,12:48,2.0,1.0,CAR 49,3.0,17.0,Miles Sanders up the middle for -3 yards (tackle by Jeffery Simmons),2.27,1.16,12.0,2023,170
3.0,12:07,3.0,4.0,CAR 46,3.0,17.0,Bryce Young scrambles right end for 6 yards (tackle by Elijah Molden),1.16,2.39,12.0,2023,170
3.0,11:29,1.0,10.0,TEN 48,3.0,17.0,Chuba Hubbard right guard for -4 yards (tackle by Rashad Weaver),2.39,1.31,12.0,2023,170
3.0,10:56,2.0,14.0,CAR 48,3.0,17.0,"Bryce Young pass incomplete short right intended for Jonathan Mingo. Penalty on Sean Murphy-Bunting: Defensive Pass Interference, 14 yards (accepted) (no play)",1.31,3.05,12.0,2023,170
3.0,10:52,1.0,10.0,TEN 38,3.0,17.0,Bryce Young pass complete short middle to Chuba Hubbard for 25 yards (tackle by Azeez Al-Shaair),3.05,4.71,12.0,2023,170
3.0,10:10,1.0,10.0,TEN 13,3.0,17.0,Bryce Young scrambles left end for 6 yards (tackle by Amani Hooker),4.71,5.15,12.0,2023,170
3.0,9:29,2.0,4.0,TEN 7,3.0,17.0,Chuba Hubbard left tackle for 3 yards (tackle by K'Von Wallace),5.15,5.01,12.0,2023,170
3.0,8:50,3.0,1.0,TEN 4,3.0,17.0,Chuba Hubbard up the middle for -1 yards (tackle by Teair Tart),5.01,3.03,12.0,2023,170
3.0,8:09,4.0,2.0,TEN 5,9.0,17.0,"Chuba Hubbard up the middle for 5 yards, touchdown",3.03,7.0,12.0,2023,170
3.0,8:06,,,TEN 15,10.0,17.0,Eddy Pineiro kicks extra point good,0.0,0.0,12.0,2023,170
3.0,8:06,,,CAR 35,10.0,17.0,"Eddy Pineiro kicks off 65 yards, returned by Chris Moore for 21 yards (tackle by Amare Barno and Tae Davis)",0.0,0.34,12.0,2023,170
3.0,8:00,1.0,10.0,TEN 21,10.0,17.0,Derrick Henry left end for 15 yards (tackle by David Long),0.34,1.33,12.0,2023,170
3.0,7:12,1.0,10.0,TEN 36,10.0,17.0,Will Levis pass complete short middle to Chigoziem Okonkwo for 6 yards (tackle by David Long and Frankie Luvu),1.33,1.6,12.0,2023,170
3.0,6:32,2.0,4.0,TEN 42,10.0,17.0,Chris Moore left end for 1 yard (tackle by D'Shawn Jamison),1.6,1.03,12.0,2023,170
3.0,5:51,3.0,3.0,TEN 43,10.0,17.0,"Penalty on Jaelyn Duncan: False Start, 5 yards (accepted) (no play)",1.03,0.37,12.0,2023,170
3.0,5:34,3.0,8.0,TEN 38,10.0,17.0,Will Levis pass incomplete deep left intended for Chris Moore,0.37,-0.85,12.0,2023,170
3.0,5:29,4.0,8.0,TEN 38,10.0,17.0,"Ryan Stonehouse punts 56 yards, returned by Ihmir Smith-Marsette for 6 yards (tackle by Anthony Kendall and Amani Hooker)",-0.85,0.35,12.0,2023,170
3.0,5:20,1.0,10.0,CAR 12,10.0,17.0,Bryce Young pass complete short right to Laviska Shenault for 8 yards (tackle by Roger McCreary),-0.35,0.29,12.0,2023,170
3.0,4:44,2.0,2.0,CAR 20,10.0,17.0,Miles Sanders right tackle for 6 yards (tackle by K'Von Wallace and Amani Hooker),0.29,0.67,12.0,2023,170
3.0,4:07,1.0,10.0,CAR 26,10.0,17.0,Bryce Young sacked by Jeffery Simmons for -7 yards,0.67,-0.87,12.0,2023,170
3.0,3:46,2.0,17.0,CAR 19,10.0,17.0,Bryce Young pass complete short right to Tommy Tremble for 7 yards (tackle by K'Von Wallace),-0.87,-0.56,12.0,2023,170
3.0,3:06,3.0,10.0,CAR 26,10.0,17.0,Bryce Young pass complete short middle to Chuba Hubbard for 10 yards (tackle by Amani Hooker and K'Von Wallace),-0.56,1.33,12.0,2023,170
3.0,2:24,1.0,10.0,CAR 36,10.0,17.0,Chuba Hubbard left end for 15 yards (tackle by Monty Rice),1.33,2.32,12.0,2023,170
3.0,1:50,1.0,10.0,TEN 49,10.0,17.0,Chuba Hubbard up the middle for no gain (tackle by Monty Rice and Rashad Weaver),2.32,1.78,12.0,2023,170
3.0,1:15,2.0,10.0,TEN 49,10.0,17.0,Bryce Young pass incomplete short left,1.78,1.09,12.0,2023,170
3.0,1:10,3.0,10.0,TEN 49,10.0,17.0,Bryce Young sacked by Denico Autry for -9 yards,1.09,-0.59,12.0,2023,170
3.0,0:32,4.0,19.0,CAR 42,10.0,17.0,"Johnny Hekker punts 58 yards, touchback.",-0.59,-0.28,12.0,2023,170
3.0,0:24,1.0,10.0,TEN 20,10.0,17.0,Will Levis pass complete deep left to DeAndre Hopkins for 19 yards (tackle by Xavier Woods),0.28,1.53,12.0,2023,170
4.0,15:00,1.0,10.0,TEN 39,10.0,17.0,Will Levis pass incomplete deep left intended for DeAndre Hopkins,1.53,0.99,12.0,2023,170
4.0,14:54,2.0,10.0,TEN 39,10.0,17.0,Derrick Henry right end for 6 yards (tackle by David Long and Derrick Brown),0.99,1.09,12.0,2023,170
4.0,14:10,3.0,4.0,TEN 45,10.0,17.0,Will Levis pass incomplete short left intended for DeAndre Hopkins (defended by Deion Jones),1.09,-0.39,12.0,2023,170
4.0,14:07,4.0,4.0,TEN 45,10.0,17.0,"Ryan Stonehouse punts 44 yards, fair catch by Ihmir Smith-Marsette at CAR-11",-0.39,0.37,12.0,2023,170
4.0,14:00,1.0,10.0,CAR 11,10.0,17.0,Chuba Hubbard right guard for 1 yard (tackle by Azeez Al-Shaair and Ross Blacklock),-0.37,-0.71,12.0,2023,170
4.0,13:21,2.0,9.0,CAR 12,10.0,17.0,Miles Sanders up the middle for 15 yards (tackle by Amani Hooker),-0.71,0.74,12.0,2023,170
4.0,13:07,1.0,10.0,CAR 27,10.0,17.0,"Bryce Young pass incomplete short middle intended for Jonathan Mingo. Penalty on Kristian Fulton: Illegal Contact, 5 yards (accepted) (no play)",0.74,1.07,12.0,2023,170
4.0,13:02,1.0,10.0,CAR 32,10.0,17.0,Miles Sanders right guard for 4 yards (tackle by Rashad Weaver),1.07,1.07,12.0,2023,170
4.0,12:24,2.0,6.0,CAR 36,10.0,17.0,"Bryce Young scrambles right tackle for no gain (tackle by Azeez Al-Shaair). Penalty on Taylor Moton: Offensive Holding, 10 yards (accepted) (no play)",1.07,-0.28,12.0,2023,170
4.0,11:58,2.0,16.0,CAR 26,10.0,17.0,Bryce Young pass incomplete short right,-0.28,-0.96,12.0,2023,170
4.0,11:45,3.0,16.0,CAR 26,10.0,17.0,Bryce Young pass incomplete short middle intended for Adam Thielen,-0.96,-1.63,12.0,2023,170
4.0,11:42,4.0,16.0,CAR 26,10.0,17.0,"Johnny Hekker punts 53 yards, returned by Eric Garror for 5 yards (tackle by D'Shawn Jamison)",-1.63,-0.67,12.0,2023,170
4.0,11:33,1.0,10.0,TEN 26,10.0,17.0,Will Levis pass complete deep right to Chris Moore for 22 yards (tackle by Alex Cook and Donte Jackson),0.67,2.13,12.0,2023,170
4.0,10:58,1.0,10.0,TEN 48,10.0,17.0,Derrick Henry left guard for 5 yards (tackle by Shy Tuttle),2.13,2.26,12.0,2023,170
4.0,10:18,2.0,5.0,CAR 47,10.0,17.0,Will Levis pass incomplete short left intended for Derrick Henry (defended by Brian Burns),2.26,1.55,12.0,2023,170
4.0,10:13,3.0,5.0,CAR 47,10.0,17.0,Will Levis pass incomplete deep left intended for Kyle Philips,1.55,0.13,12.0,2023,170
4.0,10:08,4.0,5.0,CAR 47,10.0,17.0,"Ryan Stonehouse punts 38 yards, fair catch by Ihmir Smith-Marsette at CAR-9",0.13,0.38,12.0,2023,170
4.0,10:01,1.0,10.0,CAR 9,10.0,17.0,Chuba Hubbard left tackle for 3 yards (tackle by Azeez Al-Shaair),-0.38,-0.56,12.0,2023,170
4.0,9:29,2.0,7.0,CAR 12,10.0,17.0,Chuba Hubbard left guard for 3 yards (tackle by Amani Hooker),-0.56,-0.72,12.0,2023,170
4.0,8:50,3.0,4.0,CAR 15,10.0,17.0,Bryce Young pass complete deep left to Jonathan Mingo for 24 yards (tackle by Amani Hooker),-0.72,1.53,12.0,2023,170
4.0,8:20,1.0,10.0,CAR 39,10.0,17.0,"Bryce Young scrambles up the middle for no gain (tackle by Roger McCreary). Penalty on Brett Toth: Offensive Holding, 10 yards (accepted) (no play)",1.53,0.87,12.0,2023,170
4.0,8:04,1.0,20.0,CAR 29,10.0,17.0,Bryce Young pass complete deep right to DJ Chark for 19 yards (tackle by Sean Murphy-Bunting),0.87,2.2,12.0,2023,170
4.0,7:31,2.0,1.0,CAR 48,10.0,17.0,Miles Sanders left guard for 4 yards (tackle by Kyle Peko),2.2,2.39,12.0,2023,170
4.0,6:59,1.0,10.0,TEN 48,10.0,17.0,Bryce Young pass incomplete short right,2.39,1.85,12.0,2023,170
4.0,6:55,2.0,10.0,TEN 48,10.0,17.0,Miles Sanders right end for -4 yards (tackle by Roger McCreary),1.85,0.63,12.0,2023,170
4.0,6:10,3.0,14.0,CAR 48,10.0,17.0,Bryce Young pass incomplete deep left,0.63,-0.19,12.0,2023,170
4.0,6:02,4.0,14.0,CAR 48,10.0,17.0,Johnny Hekker punts 36 yards downed by Tae Davis,-0.19,0.14,12.0,2023,170
4.0,5:54,1.0,10.0,TEN 16,10.0,17.0,Derrick Henry up the middle for 1 yard (tackle by Shy Tuttle and Chris Wormley),-0.14,-0.51,12.0,2023,170
4.0,5:12,2.0,9.0,TEN 17,10.0,17.0,Will Levis pass complete short right to Nick Westbrook-Ikhine for 9 yards,-0.51,0.67,12.0,2023,170
4.0,4:55,1.0,10.0,TEN 26,10.0,17.0,Derrick Henry up the middle for 2 yards (tackle by Brian Burns and Amare Barno),0.67,0.4,12.0,2023,170
4.0,4:11,2.0,8.0,TEN 28,10.0,17.0,Derrick Henry right end for 18 yards (tackle by Derrick Brown and David Long),0.4,1.99,12.0,2023,170
4.0,3:23,1.0,10.0,TEN 46,10.0,17.0,Derrick Henry up the middle for 2 yards (tackle by Derrick Brown and Brian Burns),1.99,1.72,12.0,2023,170
4.0,3:17,,,,,,Timeout #1 by Carolina Panthers,,,12.0,2023,170
4.0,3:17,2.0,8.0,TEN 48,10.0,17.0,Derrick Henry right guard for 3 yards (tackle by Kamu Grugier-Hill and Amare Barno),1.72,1.42,12.0,2023,170
4.0,3:11,,,,,,Timeout #2 by Carolina Panthers,,,12.0,2023,170
4.0,3:11,3.0,5.0,CAR 49,10.0,17.0,"Penalty on Daniel Brunskill: False Start, 5 yards (accepted) (no play)",1.42,0.76,12.0,2023,170
4.0,3:11,3.0,10.0,TEN 46,10.0,17.0,Will Levis pass complete short left to Tyjae Spears for 1 yard (tackle by Frankie Luvu),0.76,-0.26,12.0,2023,170
4.0,3:06,,,,,,Timeout #3 by Carolina Panthers,,,12.0,2023,170
4.0,3:06,4.0,9.0,TEN 47,10.0,17.0,"Ryan Stonehouse punts 53 yards, touchback.",-0.26,-0.28,12.0,2023,170
4.0,2:57,1.0,10.0,CAR 20,10.0,17.0,Bryce Young pass complete short right to Chuba Hubbard for 3 yards (tackle by K'Von Wallace),0.28,0.14,12.0,2023,170
4.0,2:52,2.0,7.0,CAR 23,10.0,17.0,Bryce Young sacked by Denico Autry for -8 yards,0.14,-1.86,12.0,2023,170
4.0,2:20,3.0,15.0,CAR 15,10.0,17.0,Bryce Young pass complete short middle to Chuba Hubbard for 9 yards (tackle by Azeez Al-Shaair and Roger McCreary),-1.86,-1.77,12.0,2023,170
4.0,2:00,4.0,6.0,CAR 24,10.0,17.0,Bryce Young pass complete short middle to DJ Chark for no gain (tackle by Amani Hooker),-1.77,-3.97,12.0,2023,170
4.0,1:55,1.0,10.0,CAR 24,10.0,17.0,Will Levis kneels for -1 yards,3.97,3.3,12.0,2023,170
4.0,1:13,2.0,11.0,CAR 25,10.0,17.0,Will Levis kneels for -1 yards,3.3,2.48,12.0,2023,170
4.0,0:35,3.0,12.0,CAR 26,10.0,17.0,Will Levis kneels for -1 yards,2.48,1.67,12.0,2023,170
