Quarter,Time,Down,ToGo,Location,BUF,PHI,Detail,EPB,EPA,week,year,game_id
2,13:27,3.0,10.0,PHI 44,0.0,7.0,Josh Allen scrambles right end for 11 yards (tackle by Zach Cunningham),1.42,3.38,12.0,2023,178
2,12:50,1.0,10.0,PHI 33,0.0,7.0,Latavius Murray right guard for no gain (tackle by Nicholas Morrow and Jordan Davis),3.38,2.84,12.0,2023,178
2,12:10,2.0,10.0,PHI 33,0.0,7.0,Josh Allen pass incomplete short left intended for Khalil Shakir,2.84,2.15,12.0,2023,178
2,12:06,3.0,10.0,PHI 33,0.0,7.0,Josh Allen pass complete short right to Dalton Kincaid for 3 yards (tackle by Kevin Byard),2.15,1.41,12.0,2023,178
2,11:27,4.0,7.0,PHI 30,3.0,7.0,Tyler Bass 48 yard field goal good,1.41,3.0,12.0,2023,178
2,11:23,,,BUF 35,3.0,7.0,"Tyler Bass kicks off 59 yards,",0.0,0.61,12.0,2023,178
2,11:23,1.0,10.0,PHI 25,3.0,7.0,Jalen Hurts pass incomplete short left intended for Julio Jones,0.61,0.06,12.0,2023,178
2,11:17,2.0,10.0,PHI 25,3.0,7.0,Jalen Hurts pass short right (defended by Leonard Floyd) intended for Jack Stoll is intercepted by Terrel Bernard at PHI-31 and returned for 2 yards (tackle by DeVonta Smith),0.06,-3.64,12.0,2023,178
2,11:10,1.0,10.0,PHI 29,3.0,7.0,"Ty Johnson for no gain. Penalty on Connor McGovern: Offensive Holding, 10 yards (accepted) (no play)",3.64,2.98,12.0,2023,178
2,10:55,1.0,20.0,PHI 39,3.0,7.0,Josh Allen pass complete short left to James Cook for 4 yards (tackle by Reed Blankenship),2.98,2.29,12.0,2023,178
2,10:06,2.0,16.0,PHI 35,3.0,7.0,Josh Allen pass complete short middle to James Cook for 7 yards (tackle by Bradley Roby),2.29,2.54,12.0,2023,178
2,9:26,3.0,9.0,PHI 28,3.0,7.0,Josh Allen pass complete deep right to Gabriel Davis for 19 yards (tackle by James Bradberry),2.54,5.14,12.0,2023,178
2,8:40,1.0,9.0,PHI 9,9.0,7.0,"Josh Allen up the middle for 9 yards, touchdown",5.14,7.0,12.0,2023,178
2,8:34,,,PHI 15,10.0,7.0,Tyler Bass kicks extra point good,0.0,0.0,12.0,2023,178
2,8:34,,,BUF 35,10.0,7.0,"Tyler Bass kicks off 65 yards, touchback.",0.0,0.61,12.0,2023,178
2,8:34,1.0,10.0,PHI 25,10.0,7.0,Boston Scott left guard for 10 yards (tackle by Tyrel Dodson),0.61,1.27,12.0,2023,178
2,7:50,1.0,10.0,PHI 35,10.0,7.0,Jalen Hurts pass incomplete short left intended for Boston Scott,1.27,0.72,12.0,2023,178
2,7:44,2.0,10.0,PHI 35,10.0,7.0,Boston Scott left end for 4 yards (tackle by Terrel Bernard),0.72,0.56,12.0,2023,178
2,7:06,3.0,6.0,PHI 39,10.0,7.0,Jalen Hurts pass incomplete short right intended for Kenneth Gainwell,0.56,-0.78,12.0,2023,178
2,6:45,4.0,6.0,PHI 39,10.0,7.0,"Braden Mann punts 51 yards, returned by Khalil Shakir for no gain (tackle by Sydney Brown). Penalty on Baylon Spector: Offensive Holding, 5 yards (accepted)",-0.78,0.38,12.0,2023,178
2,6:45,1.0,10.0,BUF 5,10.0,7.0,James Cook right guard for -3 yards (tackle by Nicholas Morrow and Jalen Carter),-0.38,-1.0,12.0,2023,178
2,6:21,2.0,13.0,BUF 2,10.0,7.0,Josh Allen pass complete short middle to Latavius Murray for 6 yards (tackle by Nicholas Morrow),-1.0,-1.07,12.0,2023,178
2,5:42,3.0,7.0,BUF 8,10.0,7.0,Josh Allen pass complete deep left to Khalil Shakir for 31 yards (tackle by Reed Blankenship),-1.07,1.53,12.0,2023,178
2,5:23,1.0,10.0,BUF 39,10.0,7.0,James Cook up the middle for 2 yards (tackle by Zach Cunningham and Kevin Byard),1.53,1.26,12.0,2023,178
2,4:41,2.0,8.0,BUF 41,10.0,7.0,Josh Allen pass incomplete deep left intended for Dalton Kincaid,1.26,0.56,12.0,2023,178
2,4:33,3.0,8.0,BUF 41,10.0,7.0,Josh Allen pass incomplete deep middle intended for Trent Sherfield (defended by Darius Slay),0.56,-0.65,12.0,2023,178
2,4:27,4.0,9.0,BUF 41,10.0,7.0,"Sam Martin punts 40 yards, fair catch by Britain Covey at PHI-19",-0.65,-0.15,12.0,2023,178
2,4:20,1.0,10.0,PHI 19,10.0,7.0,D'Andre Swift right tackle for 1 yard (tackle by Gregory Rousseau and Tyrel Dodson),0.15,-0.2,12.0,2023,178
2,3:41,2.0,9.0,PHI 20,10.0,7.0,Jalen Hurts right end for -1 yards (tackle by Gregory Rousseau),-0.2,-1.07,12.0,2023,178
2,2:59,3.0,10.0,PHI 19,10.0,7.0,Jalen Hurts pass complete short right to A.J. Brown for 5 yards (tackle by Jordan Poyer and Terrel Bernard),-1.07,-1.77,12.0,2023,178
2,2:22,4.0,5.0,PHI 24,10.0,7.0,"Braden Mann punts 53 yards, returned by Khalil Shakir for 10 yards (tackle by Christian Elliss)",-1.77,-1.14,12.0,2023,178
2,2:10,1.0,10.0,BUF 33,10.0,7.0,Josh Allen pass incomplete short middle intended for Gabriel Davis (defended by James Bradberry),1.14,0.59,12.0,2023,178
2,2:05,2.0,10.0,BUF 33,10.0,7.0,Josh Allen pass complete short left to Stefon Diggs for 5 yards (tackle by James Bradberry),0.59,0.56,12.0,2023,178
2,1:58,3.0,5.0,BUF 38,10.0,7.0,Josh Allen pass complete deep right to Stefon Diggs for 22 yards (tackle by Reed Blankenship),0.56,2.92,12.0,2023,178
2,1:51,1.0,10.0,PHI 40,10.0,7.0,Josh Allen pass complete short right to Dalton Kincaid for 8 yards (tackle by Kevin Byard),2.92,3.45,12.0,2023,178
2,1:47,2.0,2.0,PHI 32,10.0,7.0,Josh Allen pass complete deep right to Gabriel Davis for 25 yards (tackle by Kevin Byard),3.45,5.6,12.0,2023,178
2,1:39,,,,,,Timeout #1 by Buffalo Bills,,,12.0,2023,178
2,1:39,1.0,7.0,PHI 7,10.0,7.0,James Cook right end for 4 yards (tackle by Zach Cunningham),5.6,5.53,12.0,2023,178
2,1:33,,,,,,Timeout #1 by Philadelphia Eagles,,,12.0,2023,178
2,1:33,2.0,3.0,PHI 3,10.0,7.0,"Josh Allen pass incomplete short right. Penalty on Josh Allen: Intentional Grounding, 13 yards (accepted)",5.53,2.85,12.0,2023,178
2,1:30,3.0,16.0,PHI 16,10.0,7.0,Josh Allen pass incomplete deep left intended for Trent Sherfield,2.85,2.38,12.0,2023,178
2,1:27,4.0,16.0,PHI 16,10.0,7.0,Tyler Bass 34 yard field goal no good blocked by Jalen Carter,2.38,-0.54,12.0,2023,178
2,1:24,1.0,10.0,PHI 24,10.0,7.0,Jalen Hurts pass complete short left to A.J. Brown for 9 yards (tackle by Rasul Douglas),0.54,1.21,12.0,2023,178
2,1:16,2.0,1.0,PHI 33,10.0,7.0,Jalen Hurts scrambles right end for 6 yards (tackle by Taron Johnson),1.21,1.53,12.0,2023,178
2,1:08,1.0,10.0,PHI 39,10.0,7.0,"Jalen Hurts aborted snap, recovered by Gregory Rousseau at PHI-36",1.53,-3.18,12.0,2023,178
2,1:04,1.0,10.0,PHI 36,10.0,7.0,Josh Allen pass incomplete short middle intended for Latavius Murray,3.18,2.64,12.0,2023,178
2,1:01,2.0,10.0,PHI 36,10.0,7.0,Josh Allen scrambles up the middle for 19 yards (tackle by Brandon Graham),2.64,4.44,12.0,2023,178
2,0:47,,,,,,Timeout #2 by Buffalo Bills,,,12.0,2023,178
2,0:47,1.0,10.0,PHI 17,10.0,7.0,"Josh Allen pass complete to Latavius Murray for no gain. Penalty on Dion Dawkins: Offensive Holding, 10 yards (accepted) (no play)",4.44,3.78,12.0,2023,178
2,0:43,1.0,20.0,PHI 27,10.0,7.0,Josh Allen pass complete short middle to Dalton Kincaid for 14 yards (tackle by Zach Cunningham),3.78,4.5,12.0,2023,178
2,0:28,2.0,6.0,PHI 13,10.0,7.0,Josh Allen pass incomplete short right intended for Gabriel Davis,4.5,3.68,12.0,2023,178
2,0:21,3.0,6.0,PHI 13,16.0,7.0,"Josh Allen pass complete short left to Stefon Diggs for 13 yards, touchdown",3.68,7.0,12.0,2023,178
2,0:12,,,PHI 15,17.0,7.0,Tyler Bass kicks extra point good,0.0,0.0,12.0,2023,178
2,0:12,,,BUF 35,17.0,7.0,"Tyler Bass kicks off 65 yards, touchback.",0.0,0.61,12.0,2023,178
2,0:12,1.0,10.0,PHI 25,17.0,7.0,Jalen Hurts kneels for -1 yards,0.61,-0.07,12.0,2023,178
3,15:00,,,BUF 35,17.0,7.0,"Tyler Bass kicks off 56 yards,",0.0,0.61,12.0,2023,178
3,15:00,1.0,10.0,PHI 25,17.0,7.0,Jalen Hurts sacked by Tim Settle for -4 yards,0.61,-0.48,12.0,2023,178
3,14:22,2.0,14.0,PHI 21,17.0,7.0,Jalen Hurts pass incomplete short left intended for A.J. Brown,-0.48,-1.15,12.0,2023,178
3,14:17,3.0,14.0,PHI 21,17.0,7.0,Jalen Hurts pass complete short right to Julio Jones for no gain (tackle by Taron Johnson),-1.15,-1.96,12.0,2023,178
3,13:38,4.0,14.0,PHI 21,17.0,7.0,"Braden Mann punts 58 yards, recovered by Khalil Shakir at BUF-22 (tackle by Josh Jobe)",-1.96,-1.0,12.0,2023,178
3,13:29,1.0,10.0,BUF 31,17.0,7.0,Josh Allen pass complete deep right to Gabriel Davis for 23 yards (tackle by Reed Blankenship),1.0,2.52,12.0,2023,178
3,12:47,1.0,10.0,PHI 46,17.0,7.0,James Cook for no gain (tackle by Nicholas Morrow and Zach Cunningham),2.52,1.98,12.0,2023,178
3,12:07,2.0,10.0,PHI 46,17.0,7.0,Josh Allen pass complete short left to Khalil Shakir for 6 yards (tackle by Bradley Roby),1.98,2.08,12.0,2023,178
3,11:19,3.0,4.0,PHI 40,17.0,7.0,Josh Allen pass complete short right to Khalil Shakir for 10 yards (tackle by James Bradberry),2.08,3.58,12.0,2023,178
3,10:50,1.0,10.0,PHI 30,17.0,7.0,Josh Allen pass incomplete short middle intended for Latavius Murray (defended by Nicholas Morrow),3.58,3.03,12.0,2023,178
3,10:45,2.0,10.0,PHI 30,17.0,7.0,Josh Allen pass incomplete short right intended for Gabriel Davis,3.03,2.34,12.0,2023,178
3,10:42,3.0,10.0,PHI 30,17.0,7.0,Josh Allen pass incomplete deep left intended for Gabriel Davis (defended by Eli Ricks),2.34,1.41,12.0,2023,178
3,10:36,4.0,10.0,PHI 30,17.0,7.0,Tyler Bass 48 yard field goal no good,1.41,-1.47,12.0,2023,178
3,10:32,1.0,10.0,PHI 38,17.0,7.0,D'Andre Swift left end for 36 yards (tackle by Micah Hyde),1.47,3.84,12.0,2023,178
3,10:02,1.0,10.0,BUF 26,17.0,7.0,D'Andre Swift left guard for 2 yards (tackle by Ed Oliver),3.84,3.57,12.0,2023,178
3,9:24,2.0,8.0,BUF 24,17.0,7.0,D'Andre Swift left end for 6 yards (tackle by Tyrel Dodson),3.57,3.75,12.0,2023,178
3,8:43,3.0,2.0,BUF 18,17.0,7.0,Jalen Hurts pass complete short right to Jack Stoll for 14 yards (tackle by Micah Hyde),3.75,6.28,12.0,2023,178
3,8:03,1.0,4.0,BUF 4,17.0,7.0,D'Andre Swift right end for 1 yard (tackle by Rasul Douglas),6.28,5.53,12.0,2023,178
3,7:17,2.0,3.0,BUF 3,17.0,13.0,"Jalen Hurts pass complete short right to A.J. Brown for 3 yards, touchdown",5.53,7.0,12.0,2023,178
3,7:13,,,BUF 15,17.0,14.0,Jake Elliott kicks extra point good,0.0,0.0,12.0,2023,178
3,7:13,,,PHI 35,17.0,14.0,"Jake Elliott kicks off 60 yards, returned by Andy Isabella for 25 yards (tackle by Reed Blankenship)",0.0,0.94,12.0,2023,178
3,7:08,1.0,10.0,BUF 30,17.0,14.0,James Cook right guard for 4 yards (tackle by Christian Elliss),0.94,0.93,12.0,2023,178
3,6:31,2.0,6.0,BUF 34,17.0,14.0,James Cook up the middle for 2 yards (tackle by Jalen Carter),0.93,0.5,12.0,2023,178
3,5:47,3.0,4.0,BUF 36,17.0,14.0,Josh Allen scrambles up the middle for 7 yards (tackle by Nicholas Morrow),0.5,1.8,12.0,2023,178
3,5:08,1.0,10.0,BUF 43,17.0,14.0,Josh Allen pass complete short left to James Cook for 29 yards (tackle by Darius Slay),1.8,3.71,12.0,2023,178
3,4:27,1.0,10.0,PHI 28,17.0,14.0,James Cook right guard for 4 yards (tackle by Marlon Tuipulotu and Reed Blankenship),3.71,3.71,12.0,2023,178
3,3:48,2.0,6.0,PHI 24,17.0,14.0,Ty Johnson right guard for 9 yards (tackle by Kevin Byard),3.71,4.58,12.0,2023,178
3,3:11,1.0,10.0,PHI 15,17.0,14.0,Ty Johnson up the middle for 4 yards (tackle by Josh Sweat),4.58,4.64,12.0,2023,178
3,2:27,2.0,6.0,PHI 11,17.0,14.0,Ty Johnson up the middle for -5 yards (tackle by Christian Elliss),4.64,3.04,12.0,2023,178
3,1:48,3.0,11.0,PHI 16,23.0,14.0,"Josh Allen scrambles right end for 16 yards, touchdown",3.04,7.0,12.0,2023,178
3,1:40,,,PHI 15,24.0,14.0,Tyler Bass kicks extra point good,0.0,0.0,12.0,2023,178
3,1:40,,,BUF 35,24.0,14.0,"Tyler Bass kicks off 63 yards,",0.0,0.61,12.0,2023,178
3,1:40,1.0,10.0,PHI 25,24.0,14.0,D'Andre Swift left end for 4 yards (tackle by Rasul Douglas),0.61,0.6,12.0,2023,178
3,1:06,2.0,6.0,PHI 29,24.0,14.0,Jalen Hurts pass complete deep middle to DeVonta Smith for 33 yards (tackle by Micah Hyde),0.6,3.05,12.0,2023,178
3,0:31,1.0,10.0,BUF 38,24.0,14.0,D'Andre Swift left end for 5 yards (tackle by Jordan Poyer),3.05,3.11,12.0,2023,178
3,0:05,2.0,6.0,BUF 33,24.0,14.0,D'Andre Swift left guard for 1 yard (tackle by Jordan Phillips),3.11,2.61,12.0,2023,178
4,15:00,3.0,4.0,BUF 32,24.0,14.0,Jalen Hurts scrambles left end for 12 yards (tackle by Rasul Douglas),2.61,4.24,12.0,2023,178
4,14:24,1.0,10.0,BUF 20,24.0,14.0,D'Andre Swift left end for 5 yards (tackle by Ed Oliver),4.24,4.45,12.0,2023,178
4,13:42,2.0,5.0,BUF 15,24.0,20.0,"Jalen Hurts pass complete short right to DeVonta Smith for 15 yards, touchdown",4.45,7.0,12.0,2023,178
4,13:37,,,BUF 15,24.0,21.0,Jake Elliott kicks extra point good,0.0,0.0,12.0,2023,178
4,13:37,,,PHI 35,24.0,21.0,"Jake Elliott kicks off 65 yards, touchback.",0.0,0.61,12.0,2023,178
4,13:37,1.0,10.0,BUF 25,24.0,21.0,Ty Johnson left end for 2 yards (tackle by Nicholas Morrow),0.61,0.33,12.0,2023,178
4,12:55,2.0,8.0,BUF 27,24.0,21.0,Josh Allen pass short left intended for Stefon Diggs is intercepted by James Bradberry at BUF-29 and returned for 5 yards (tackle by Connor McGovern),0.33,-3.97,12.0,2023,178
4,12:46,1.0,10.0,BUF 24,24.0,21.0,D'Andre Swift right end for -4 yards (tackle by Gregory Rousseau),3.97,2.89,12.0,2023,178
4,12:03,2.0,14.0,BUF 28,24.0,21.0,Jalen Hurts up the middle for -1 yards (tackle by Gregory Rousseau),2.89,2.08,12.0,2023,178
4,11:18,3.0,15.0,BUF 29,24.0,27.0,"Jalen Hurts pass complete deep left to Olamide Zaccheaus for 29 yards, touchdown",2.08,7.0,12.0,2023,178
4,11:07,,,BUF 15,24.0,28.0,Jake Elliott kicks extra point good,0.0,0.0,12.0,2023,178
4,11:07,,,PHI 35,24.0,28.0,"Penalty on Jordan Poyer: Defensive Offside, 5 yards (accepted) (no play)",0.0,0.0,12.0,2023,178
4,11:07,,,PHI 40,24.0,28.0,"Jake Elliott kicks off 60 yards, touchback.",0.0,0.61,12.0,2023,178
4,11:07,1.0,10.0,BUF 25,24.0,28.0,Josh Allen pass complete short middle to Gabriel Davis for 18 yards (tackle by Kevin Byard and Nicholas Morrow),0.61,1.8,12.0,2023,178
4,10:30,1.0,10.0,BUF 43,24.0,28.0,James Cook right guard for -4 yards (tackle by Jalen Carter),1.8,0.71,12.0,2023,178
4,9:51,2.0,14.0,BUF 39,24.0,28.0,Josh Allen pass incomplete deep right intended for Stefon Diggs,0.71,0.04,12.0,2023,178
4,9:44,3.0,14.0,BUF 39,24.0,28.0,Josh Allen sacked by Brandon Graham for -7 yards,0.04,-1.24,12.0,2023,178
4,9:01,4.0,20.0,BUF 32,24.0,28.0,"Sam Martin punts 54 yards, returned by Britain Covey for 18 yards (tackle by Damar Hamlin)",-1.24,-1.07,12.0,2023,178
4,8:50,1.0,10.0,PHI 32,24.0,28.0,D'Andre Swift right guard for 1 yard (tackle by Jordan Poyer and Leonard Floyd),1.07,0.66,12.0,2023,178
4,8:08,2.0,9.0,PHI 33,24.0,28.0,Jalen Hurts scrambles right end for 2 yards (tackle by Taron Johnson),0.66,0.23,12.0,2023,178
4,7:20,3.0,7.0,PHI 35,24.0,28.0,Jalen Hurts pass incomplete deep right intended for DeVonta Smith,0.23,-1.04,12.0,2023,178
4,7:15,4.0,7.0,PHI 35,24.0,28.0,"Braden Mann punts 48 yards, returned by Khalil Shakir for 9 yards (tackle by Patrick Johnson)",-1.04,-0.67,12.0,2023,178
4,7:06,1.0,10.0,BUF 26,24.0,28.0,James Cook up the middle for 11 yards (tackle by Reed Blankenship),0.67,1.4,12.0,2023,178
4,6:29,1.0,10.0,BUF 37,24.0,28.0,James Cook left end for 11 yards (tackle by Christian Elliss),1.4,2.13,12.0,2023,178
4,5:48,1.0,10.0,BUF 48,24.0,28.0,Latavius Murray up the middle for 13 yards (tackle by Kevin Byard and Haason Reddick),2.13,2.98,12.0,2023,178
4,5:10,1.0,10.0,PHI 39,24.0,28.0,Latavius Murray right guard for 6 yards (tackle by Kevin Byard and Christian Elliss),2.98,3.25,12.0,2023,178
4,4:30,2.0,4.0,PHI 33,24.0,28.0,Latavius Murray right guard for no gain (tackle by Marlon Tuipulotu),3.25,2.54,12.0,2023,178
4,3:54,3.0,4.0,PHI 33,24.0,28.0,Josh Allen pass complete short left to Latavius Murray for 6 yards (tackle by Reed Blankenship),2.54,3.78,12.0,2023,178
4,3:14,1.0,10.0,PHI 27,24.0,28.0,Josh Allen pass complete short left to Stefon Diggs for 14 yards (tackle by Kevin Byard),3.78,4.71,12.0,2023,178
4,2:39,1.0,10.0,PHI 13,24.0,28.0,Ty Johnson for 4 yards (tackle by Christian Elliss),4.71,4.77,12.0,2023,178
4,2:00,2.0,6.0,PHI 9,24.0,28.0,James Cook for 2 yards (tackle by Josh Sweat),4.77,4.33,12.0,2023,178
4,1:55,,,,,,Timeout #1 by Philadelphia Eagles,,,12.0,2023,178
4,1:55,3.0,4.0,PHI 7,30.0,28.0,"Josh Allen pass complete short right to Gabriel Davis for 7 yards, touchdown",4.33,7.0,12.0,2023,178
4,1:52,,,PHI 15,31.0,28.0,Tyler Bass kicks extra point good,0.0,0.0,12.0,2023,178
4,1:52,,,BUF 35,31.0,28.0,"Tyler Bass kicks off 65 yards, touchback.",0.0,0.61,12.0,2023,178
4,1:52,1.0,10.0,PHI 25,31.0,28.0,Jalen Hurts pass complete short left to A.J. Brown for 9 yards (tackle by Rasul Douglas),0.61,1.28,12.0,2023,178
4,1:26,2.0,1.0,PHI 34,31.0,28.0,Jalen Hurts pass complete short left to Kenneth Gainwell for 4 yards (tackle by Terrel Bernard),1.28,1.47,12.0,2023,178
4,1:21,1.0,10.0,PHI 38,31.0,28.0,Jalen Hurts pass complete short left to A.J. Brown for 11 yards (tackle by Jordan Poyer),1.47,2.19,12.0,2023,178
4,1:02,1.0,10.0,PHI 49,31.0,28.0,Jalen Hurts pass complete short left to Kenneth Gainwell for 6 yards (tackle by Cameron Lewis),2.19,2.46,12.0,2023,178
4,0:58,2.0,4.0,BUF 45,31.0,28.0,Jalen Hurts pass complete short left to DeVonta Smith for 11 yards (tackle by A.J. Epenesa),2.46,3.31,12.0,2023,178
