Quarter,Time,Down,ToGo,Location,GNB,DET,Detail,EPB,EPA,week,year,game_id
1.0,7:16,1.0,10.0,GNB 45,7.0,6.0,AJ Dillon right end for 2 yards (tackle by Jack Campbell),1.93,1.65,12.0,2023,165
1.0,6:40,2.0,8.0,GNB 47,7.0,6.0,Jordan Love pass incomplete short left,1.65,0.96,12.0,2023,165
1.0,6:33,3.0,8.0,GNB 47,7.0,6.0,Jordan Love pass complete short left to Christian Watson for 9 yards (tackle by Jerry Jacobs),0.96,2.65,12.0,2023,165
1.0,6:02,1.0,10.0,DET 44,7.0,6.0,Jordan Love pass complete short right to AJ Dillon for 11 yards (tackle by Derrick Barnes),2.65,3.38,12.0,2023,165
1.0,5:21,1.0,10.0,DET 33,7.0,6.0,Jayden Reed left end for 15 yards (tackle by Alex Anzalone),3.38,4.37,12.0,2023,165
1.0,4:34,1.0,10.0,DET 18,7.0,6.0,Jordan Love pass complete short right to Christian Watson for 8 yards (tackle by Jack Campbell and Brian Branch),4.37,5.23,12.0,2023,165
1.0,3:52,2.0,2.0,DET 10,7.0,6.0,AJ Dillon right tackle for 1 yard (tackle by John Cominsky and Derrick Barnes),5.23,4.74,12.0,2023,165
1.0,3:13,3.0,1.0,DET 9,13.0,6.0,"Jordan Love pass complete short right to Tucker Kraft for 9 yards, touchdown",4.74,7.0,12.0,2023,165
1.0,3:08,,,DET 15,14.0,6.0,Anders Carlson kicks extra point good,0.0,0.0,12.0,2023,165
1.0,3:08,,,GNB 35,14.0,6.0,"Anders Carlson kicks off 65 yards, touchback.",0.0,0.61,12.0,2023,165
1.0,3:08,1.0,10.0,DET 25,14.0,6.0,Jared Goff scrambles up the middle for 3 yards (tackle by Isaiah McDuffie and Preston Smith),0.61,0.47,12.0,2023,165
1.0,2:41,2.0,7.0,DET 28,14.0,6.0,"Jahmyr Gibbs left tackle for no gain (tackle by Rashan Gary). Penalty on Donovan Peoples-Jones: Offensive Offside, 5 yards (accepted) (no play)",0.47,-0.21,12.0,2023,165
1.0,2:23,2.0,12.0,DET 23,20.0,6.0,"Jared Goff sacked by Rashan Gary for no gain. Jared Goff fumbles (forced by Rashan Gary), recovered by Jonathan Owens at DET-27 and returned for 27 yards, touchdown Replay Assistant challenged the fumble ruling, and the play was upheld.",-0.21,-7.0,12.0,2023,165
1.0,2:12,,,DET 15,20.0,6.0,Anders Carlson kicks extra point no good,0.0,-1.0,12.0,2023,165
1.0,2:12,,,GNB 35,20.0,6.0,"Anders Carlson kicks off 65 yards, returned by Khalil Dorsey for 16 yards (tackle by Benny Sapp)",0.0,-0.14,12.0,2023,165
1.0,2:09,1.0,10.0,DET 16,20.0,6.0,Jahmyr Gibbs left tackle for 5 yards (tackle by Quay Walker and Kenny Clark),-0.14,0.15,12.0,2023,165
1.0,1:38,2.0,5.0,DET 21,20.0,6.0,Jared Goff pass incomplete short left intended for Jahmyr Gibbs,0.15,-0.7,12.0,2023,165
1.0,1:30,3.0,5.0,DET 21,20.0,6.0,"Jared Goff scrambles up the middle for 2 yards. Jared Goff fumbles (forced by Karl Brooks), recovered by Karl Brooks at DET-23 (tackle by Karl Brooks)",-0.7,-4.04,12.0,2023,165
1.0,1:20,1.0,10.0,DET 23,20.0,6.0,Jayden Reed left tackle for 1 yard (tackle by Josh Paschal and Alim McNeill),4.04,3.63,12.0,2023,165
1.0,0:53,2.0,9.0,DET 22,20.0,6.0,Jordan Love scrambles right end for 2 yards (tackle by Levi Onwuzurike),3.63,3.2,12.0,2023,165
1.0,0:07,,,,,,Timeout #1 by Green Bay Packers,,,12.0,2023,165
1.0,0:07,3.0,7.0,DET 20,20.0,6.0,Jordan Love pass complete short left to Tucker Kraft for 6 yards (tackle by Derrick Barnes),3.2,2.66,12.0,2023,165
2.0,15:00,4.0,1.0,DET 14,20.0,6.0,AJ Dillon up the middle for no gain (tackle by Derrick Barnes and Brian Branch),2.66,0.28,12.0,2023,165
2.0,14:55,1.0,10.0,DET 14,20.0,6.0,David Montgomery up the middle for 4 yards (tackle by Kingsley Enagbare and Jonathan Owens),-0.28,-0.21,12.0,2023,165
2.0,14:19,2.0,6.0,DET 18,20.0,6.0,David Montgomery up the middle for 5 yards (tackle by Lukas Van Ness and Corey Ballentine),-0.21,-0.32,12.0,2023,165
2.0,13:39,3.0,1.0,DET 23,20.0,6.0,David Montgomery up the middle for 2 yards (tackle by Kenny Clark and Isaiah McDuffie),-0.32,0.61,12.0,2023,165
2.0,12:57,1.0,10.0,DET 25,20.0,6.0,David Montgomery up the middle for 9 yards (tackle by Jonathan Owens),0.61,1.28,12.0,2023,165
2.0,12:39,2.0,1.0,DET 34,20.0,6.0,Jared Goff pass complete short left to Malcolm Rodriguez for 6 yards (tackle by Corey Ballentine),1.28,1.6,12.0,2023,165
2.0,12:02,1.0,10.0,DET 40,20.0,6.0,Jared Goff pass complete short left to Amon-Ra St. Brown for 6 yards (tackle by Corey Ballentine),1.6,1.86,12.0,2023,165
2.0,11:28,2.0,4.0,DET 46,20.0,6.0,David Montgomery up the middle for 2 yards (tackle by Quay Walker and Rashan Gary),1.86,1.42,12.0,2023,165
2.0,10:49,3.0,2.0,DET 48,20.0,6.0,Jared Goff pass incomplete short middle intended for Sam LaPorta,1.42,-0.19,12.0,2023,165
2.0,10:44,4.0,2.0,DET 48,20.0,6.0,"Jack Fox punts 38 yards, fair catch by Jayden Reed at GB-14",-0.19,0.28,12.0,2023,165
2.0,10:38,1.0,10.0,GNB 14,20.0,6.0,Jordan Love pass complete short left to AJ Dillon for 22 yards (tackle by Kerby Joseph),-0.28,1.33,12.0,2023,165
2.0,9:54,1.0,10.0,GNB 36,20.0,6.0,"Penalty on Quinton Bohanna: Encroachment, 5 yards (accepted) (no play)",1.33,2.06,12.0,2023,165
2.0,9:37,1.0,5.0,GNB 41,20.0,6.0,AJ Dillon up the middle for 2 yards (tackle by Brian Branch and Alex Anzalone),2.06,1.74,12.0,2023,165
2.0,8:55,2.0,3.0,GNB 43,20.0,6.0,Jordan Love pass complete short left to Romeo Doubs for 7 yards (tackle by Jerry Jacobs),1.74,2.26,12.0,2023,165
2.0,8:20,1.0,10.0,DET 50,20.0,6.0,Patrick Taylor up the middle for 5 yards (tackle by Tracy Walker),2.26,2.39,12.0,2023,165
2.0,7:42,2.0,5.0,DET 45,20.0,6.0,Jordan Love pass complete deep middle to Romeo Doubs for 16 yards (tackle by Jerry Jacobs),2.39,3.64,12.0,2023,165
2.0,6:55,1.0,10.0,DET 29,20.0,6.0,Patrick Taylor right end for 5 yards (tackle by Cameron Sutton and Brian Branch),3.64,3.78,12.0,2023,165
2.0,6:08,2.0,5.0,DET 24,20.0,6.0,Jordan Love pass incomplete short left intended for Jayden Reed,3.78,3.07,12.0,2023,165
2.0,6:05,3.0,5.0,DET 24,20.0,6.0,Jordan Love pass incomplete deep left intended for Christian Watson,3.07,1.92,12.0,2023,165
2.0,6:00,4.0,5.0,DET 24,23.0,6.0,Anders Carlson 43 yard field goal good,1.92,3.0,12.0,2023,165
2.0,5:56,,,GNB 35,23.0,6.0,"Anders Carlson kicks off 61 yards, returned by Khalil Dorsey for 23 yards (tackle by Eric Wilson)",0.0,0.74,12.0,2023,165
2.0,5:51,1.0,10.0,DET 27,23.0,6.0,Jared Goff sacked by Rashan Gary for no gain,0.74,0.2,12.0,2023,165
2.0,5:16,2.0,10.0,DET 27,23.0,6.0,Jared Goff pass incomplete short left,0.2,-0.49,12.0,2023,165
2.0,5:12,3.0,10.0,DET 27,23.0,6.0,"Jared Goff pass incomplete short right intended for Sam LaPorta. Penalty on Isaiah McDuffie: Illegal Contact, 4 yards (accepted) (no play)",-0.49,1.0,12.0,2023,165
2.0,5:07,1.0,10.0,DET 31,23.0,6.0,Jahmyr Gibbs left tackle for 6 yards (tackle by Rashan Gary),1.0,1.27,12.0,2023,165
2.0,4:33,2.0,4.0,DET 37,23.0,6.0,Jahmyr Gibbs left tackle for 2 yards (tackle by Devonte Wyatt),1.27,0.83,12.0,2023,165
2.0,3:56,3.0,2.0,DET 39,23.0,6.0,Jared Goff pass complete short right to Kalif Raymond for 20 yards (tackle by Isaiah McDuffie and Jonathan Owens),0.83,2.85,12.0,2023,165
2.0,3:27,1.0,10.0,GNB 41,23.0,6.0,"Jared Goff pass incomplete short right. Penalty on Jared Goff: Intentional Grounding, 11 yards (accepted)",2.85,0.82,12.0,2023,165
2.0,3:21,2.0,21.0,DET 48,23.0,6.0,Jared Goff pass complete short right to Brock Wright for 9 yards (tackle by Carrington Valentine),0.82,1.35,12.0,2023,165
2.0,2:44,3.0,12.0,GNB 43,23.0,6.0,Jared Goff pass complete short left to Amon-Ra St. Brown for 8 yards (tackle by Anthony Johnson),1.35,0.98,12.0,2023,165
2.0,2:05,4.0,4.0,GNB 35,23.0,6.0,Jared Goff pass incomplete short middle intended for Josh Reynolds (defended by Preston Smith),0.98,-1.27,12.0,2023,165
2.0,1:58,1.0,10.0,GNB 35,23.0,6.0,Jordan Love pass complete short left to Jayden Reed for -1 yards (tackle by Kerby Joseph and Brian Branch),1.27,0.59,12.0,2023,165
2.0,1:22,2.0,11.0,GNB 34,23.0,6.0,AJ Dillon right tackle for 17 yards (tackle by Tracy Walker),0.59,2.32,12.0,2023,165
2.0,0:58,1.0,10.0,DET 49,23.0,6.0,Jordan Love pass incomplete short left intended for Jayden Reed (defended by Brian Branch),2.32,1.78,12.0,2023,165
2.0,0:52,2.0,10.0,DET 49,23.0,6.0,Jordan Love pass complete short right to Patrick Taylor for 4 yards (tackle by Alex Anzalone),1.78,1.62,12.0,2023,165
2.0,0:47,3.0,6.0,DET 45,23.0,6.0,Jordan Love pass incomplete short right intended for Jayden Reed,1.62,0.27,12.0,2023,165
2.0,0:41,4.0,6.0,DET 45,23.0,6.0,"Penalty on GNB: Delay of Game, 5 yards (accepted) (no play)",0.27,-0.06,12.0,2023,165
2.0,0:41,4.0,11.0,DET 50,23.0,6.0,"Daniel Whelan punts 34 yards, fair catch by Kalif Raymond at DET-16",-0.06,0.14,12.0,2023,165
2.0,0:35,1.0,10.0,DET 16,23.0,6.0,Jared Goff pass incomplete short middle intended for Sam LaPorta,-0.14,-0.66,12.0,2023,165
2.0,0:30,2.0,10.0,DET 16,23.0,6.0,Jared Goff pass incomplete deep right intended for Amon-Ra St. Brown,-0.66,-1.32,12.0,2023,165
2.0,0:27,3.0,10.0,DET 16,23.0,6.0,Jared Goff pass complete short right to Sam LaPorta for no gain (no play),-1.32,-2.01,12.0,2023,165
2.0,0:20,3.0,15.0,DET 11,23.0,6.0,"Jared Goff pass incomplete deep left intended for Jameson Williams. Penalty on Kayode Awosika: Ineligible Downfield Pass, 5 yards (declined)",-2.01,-2.49,12.0,2023,165
2.0,0:13,4.0,15.0,DET 11,23.0,6.0,"Jack Fox punts 45 yards, fair catch by Keisean Nixon at GB-44",-2.49,-1.86,12.0,2023,165
2.0,0:05,1.0,10.0,GNB 44,23.0,6.0,Jordan Love pass complete short right to Jayden Reed for 11 yards (tackle by Kerby Joseph),1.86,2.59,12.0,2023,165
2.0,0:01,,,,,,Timeout #2 by Green Bay Packers,,,12.0,2023,165
2.0,0:01,1.0,10.0,DET 45,23.0,6.0,"Anders Carlson 63 yard field goal no good, returned by Kalif Raymond for no gain (tackle by Tedarrell Slaton)",2.59,2.39,12.0,2023,165
3.0,15:00,,,GNB 35,23.0,6.0,"Anders Carlson kicks off 67 yards, returned by Khalil Dorsey for 30 yards (tackle by Patrick Taylor)",0.0,0.81,12.0,2023,165
3.0,14:50,1.0,10.0,DET 28,23.0,6.0,Jahmyr Gibbs left end for 23 yards (tackle by Anthony Johnson),0.81,2.32,12.0,2023,165
3.0,14:24,1.0,10.0,GNB 49,23.0,6.0,Jared Goff pass complete deep left to Amon-Ra St. Brown for 28 yards (tackle by Corey Ballentine),2.32,4.17,12.0,2023,165
3.0,13:44,1.0,10.0,GNB 21,23.0,6.0,Jahmyr Gibbs up the middle for 1 yard (tackle by Rashan Gary and Jonathan Owens),4.17,3.76,12.0,2023,165
3.0,13:06,2.0,9.0,GNB 20,23.0,6.0,Jared Goff pass complete short middle to Josh Reynolds for 3 yards (tackle by Corey Ballentine),3.76,3.46,12.0,2023,165
3.0,12:26,3.0,6.0,GNB 17,23.0,6.0,"David Montgomery right end for 15 yards, touchdown. Penalty on Kalif Raymond: Offensive Holding, 10 yards (accepted)",3.46,4.49,12.0,2023,165
3.0,12:26,3.0,1.0,GNB 12,23.0,6.0,David Montgomery up the middle for 6 yards (tackle by Anthony Johnson),4.49,5.83,12.0,2023,165
3.0,11:52,1.0,6.0,GNB 6,23.0,12.0,"David Montgomery left tackle for 6 yards, touchdown",5.83,7.0,12.0,2023,165
3.0,11:46,,,GNB 2,23.0,14.0,"Two Point Attempt: David Montgomery rushes, conversion succeeds.",1.0,1.0,12.0,2023,165
3.0,11:46,,,DET 35,23.0,14.0,"Penalty on Lukas Van Ness: Unnecessary Roughness / Defense, 15 yards (accepted) (no play)",0.0,0.0,12.0,2023,165
3.0,11:46,,,DET 50,23.0,14.0,"Jack Fox kicks off 50 yards, touchback.",0.0,0.61,12.0,2023,165
3.0,11:46,1.0,10.0,GNB 25,23.0,14.0,Jordan Love pass complete short middle to AJ Dillon for 5 yards (tackle by Jack Campbell),0.61,0.74,12.0,2023,165
3.0,11:09,2.0,5.0,GNB 30,23.0,14.0,AJ Dillon up the middle for 3 yards (tackle by Alex Anzalone),0.74,0.43,12.0,2023,165
3.0,10:27,3.0,2.0,GNB 33,23.0,14.0,Jordan Love pass complete short middle to Jayden Reed for 14 yards (tackle by Kerby Joseph),0.43,2.06,12.0,2023,165
3.0,9:42,1.0,10.0,GNB 47,23.0,14.0,"Penalty on Jon Runyan: False Start, 5 yards (accepted) (no play)",2.06,1.73,12.0,2023,165
3.0,9:24,1.0,15.0,GNB 42,23.0,14.0,Jordan Love pass complete short left to Malik Heath for 12 yards (tackle by Jerry Jacobs),1.73,2.46,12.0,2023,165
3.0,8:37,2.0,3.0,DET 46,23.0,14.0,AJ Dillon left tackle for -1 yards (tackle by Jerry Jacobs and Alex Anzalone),2.46,1.62,12.0,2023,165
3.0,7:54,3.0,4.0,DET 47,23.0,14.0,Jordan Love pass incomplete short left intended for Romeo Doubs,1.62,0.13,12.0,2023,165
3.0,7:49,4.0,4.0,DET 47,23.0,14.0,Daniel Whelan punts 46 yards downed by Zayne Anderson,0.13,0.38,12.0,2023,165
3.0,7:41,1.0,10.0,DET 3,23.0,14.0,David Montgomery up the middle for 6 yards (tackle by Tedarrell Slaton and Isaiah McDuffie),-0.38,-0.34,12.0,2023,165
3.0,7:10,2.0,4.0,DET 9,23.0,14.0,Jared Goff pass complete short left to Amon-Ra St. Brown for 8 yards (tackle by Carrington Valentine),-0.34,-0.06,12.0,2023,165
3.0,6:18,1.0,10.0,DET 17,23.0,14.0,Jared Goff pass incomplete short right intended for David Montgomery,-0.06,-0.58,12.0,2023,165
3.0,6:10,2.0,10.0,DET 17,23.0,14.0,Jared Goff pass complete short right to Amon-Ra St. Brown for 6 yards (tackle by Keisean Nixon),-0.58,-0.49,12.0,2023,165
3.0,5:38,3.0,4.0,DET 23,23.0,14.0,Jared Goff pass incomplete deep left intended for Amon-Ra St. Brown,-0.49,-1.83,12.0,2023,165
3.0,5:32,4.0,4.0,DET 23,23.0,14.0,Jalen Reeves-Maybin right tackle for no gain (tackle by Lukas Van Ness and Karl Brooks),-1.83,-4.04,12.0,2023,165
3.0,5:27,1.0,10.0,DET 23,23.0,14.0,AJ Dillon up the middle for 3 yards (tackle by Quinton Bohanna and Alim McNeill),4.04,3.9,12.0,2023,165
3.0,4:49,2.0,7.0,DET 20,23.0,14.0,"Jordan Love scrambles left end for no gain (tackle by Jack Campbell). Penalty on Elgton Jenkins: Offensive Holding, 10 yards (accepted) (no play)",3.9,2.55,12.0,2023,165
3.0,4:21,2.0,17.0,DET 30,23.0,14.0,Jordan Love pass complete short middle to Romeo Doubs for 14 yards (tackle by Jerry Jacobs),2.55,3.85,12.0,2023,165
3.0,3:36,3.0,3.0,DET 16,29.0,14.0,"Jordan Love pass complete deep left to Christian Watson for 16 yards, touchdown",3.85,7.0,12.0,2023,165
3.0,3:30,,,DET 2,29.0,14.0,"Two Point Attempt: Romeo Doubs pass incomplete, sacked by Romeo Doubs sacked by",1.0,-1.0,12.0,2023,165
3.0,3:30,,,GNB 35,29.0,14.0,"Anders Carlson kicks off 65 yards, touchback.",0.0,0.61,12.0,2023,165
3.0,3:30,1.0,10.0,DET 25,29.0,14.0,Jared Goff pass complete short left to Kalif Raymond for 15 yards (tackle by Anthony Johnson),0.61,1.6,12.0,2023,165
3.0,2:59,1.0,10.0,DET 40,29.0,14.0,Jahmyr Gibbs left tackle for 3 yards (tackle by Preston Smith and Rashan Gary),1.6,1.46,12.0,2023,165
3.0,2:26,2.0,7.0,DET 43,29.0,14.0,Jahmyr Gibbs left tackle for 2 yards (tackle by Tedarrell Slaton and Preston Smith),1.46,1.03,12.0,2023,165
3.0,1:53,3.0,5.0,DET 45,29.0,14.0,Jared Goff pass complete short right to Kalif Raymond for 8 yards (tackle by Isaiah McDuffie),1.03,2.46,12.0,2023,165
3.0,1:18,1.0,10.0,GNB 47,29.0,14.0,Jahmyr Gibbs up the middle for 3 yards (tackle by Jonathan Owens),2.46,2.32,12.0,2023,165
3.0,0:44,2.0,7.0,GNB 44,29.0,14.0,Kalif Raymond left end for 6 yards (tackle by Jonathan Owens),2.32,2.41,12.0,2023,165
3.0,0:06,3.0,1.0,GNB 38,29.0,14.0,Jahmyr Gibbs left end for 4 yards (tackle by Carrington Valentine),2.41,3.31,12.0,2023,165
4.0,15:00,1.0,10.0,GNB 34,29.0,14.0,Jared Goff pass complete short left to Sam LaPorta for -2 yards (tackle by Lukas Van Ness),3.31,2.5,12.0,2023,165
4.0,14:26,2.0,12.0,GNB 36,29.0,14.0,Jared Goff pass incomplete short middle intended for Jahmyr Gibbs (defended by Anthony Johnson),2.5,1.82,12.0,2023,165
4.0,14:18,3.0,12.0,GNB 36,29.0,14.0,Jared Goff pass complete short left to Jahmyr Gibbs for 5 yards (tackle by Isaiah McDuffie),1.82,1.32,12.0,2023,165
4.0,13:38,4.0,7.0,GNB 31,29.0,14.0,"Jared Goff sacked by Rashan Gary for -8 yards. Jared Goff fumbles (forced by Rashan Gary), recovered by Rashan Gary at GB-39 (tackle by Rashan Gary)",1.32,-1.53,12.0,2023,165
4.0,13:32,1.0,10.0,GNB 39,29.0,14.0,Jordan Love pass incomplete short right intended for Ben Sims,1.53,0.99,12.0,2023,165
4.0,13:27,2.0,10.0,GNB 39,29.0,14.0,Jordan Love pass complete short middle to Malik Heath for 13 yards (tackle by Brian Branch),0.99,2.39,12.0,2023,165
4.0,12:46,1.0,10.0,DET 48,29.0,14.0,Jordan Love pass incomplete short right,2.39,1.85,12.0,2023,165
4.0,12:41,2.0,10.0,DET 48,29.0,14.0,Jordan Love pass complete short left to Malik Heath for 5 yards (tackle by Jerry Jacobs),1.85,1.82,12.0,2023,165
4.0,12:05,3.0,5.0,DET 43,29.0,14.0,Jordan Love pass incomplete deep right intended for Jayden Reed,1.82,0.4,12.0,2023,165
4.0,11:59,4.0,5.0,DET 43,29.0,14.0,"Penalty on GNB: Delay of Game, 5 yards (accepted) (no play)",0.4,0.07,12.0,2023,165
4.0,11:59,4.0,10.0,DET 48,29.0,14.0,"Daniel Whelan punts 39 yards, fair catch by Kalif Raymond at DET-9",0.07,0.38,12.0,2023,165
4.0,11:52,1.0,10.0,DET 9,29.0,14.0,Jared Goff scrambles left tackle for 4 yards (tackle by Quay Walker),-0.38,-0.48,12.0,2023,165
4.0,11:13,2.0,6.0,DET 13,29.0,14.0,David Montgomery up the middle for 6 yards (tackle by Quay Walker),-0.48,0.15,12.0,2023,165
4.0,10:26,1.0,10.0,DET 19,29.0,14.0,David Montgomery up the middle for 4 yards (tackle by Isaiah McDuffie),0.15,0.21,12.0,2023,165
4.0,9:52,2.0,6.0,DET 23,29.0,14.0,Jared Goff pass complete short right to Jameson Williams for 38 yards (tackle by Jonathan Owens and Keisean Nixon),0.21,2.98,12.0,2023,165
4.0,9:10,1.0,10.0,GNB 39,29.0,14.0,Jared Goff pass incomplete short right intended for Jahmyr Gibbs,2.98,2.44,12.0,2023,165
4.0,9:02,2.0,10.0,GNB 39,29.0,14.0,Jared Goff pass complete deep middle to Kalif Raymond for 24 yards (tackle by Anthony Johnson),2.44,4.58,12.0,2023,165
4.0,8:35,1.0,10.0,GNB 15,29.0,14.0,Jahmyr Gibbs up the middle for 2 yards (tackle by Jonathan Owens),4.58,4.28,12.0,2023,165
4.0,7:59,2.0,8.0,GNB 13,29.0,14.0,Jahmyr Gibbs right end for 3 yards (tackle by Keisean Nixon),4.28,4.0,12.0,2023,165
4.0,7:31,3.0,5.0,GNB 10,29.0,14.0,Jared Goff pass complete short right to Amon-Ra St. Brown for -2 yards (tackle by Jonathan Owens),4.0,2.63,12.0,2023,165
4.0,6:54,4.0,7.0,GNB 12,29.0,14.0,Jared Goff pass incomplete short right intended for Sam LaPorta,2.63,0.35,12.0,2023,165
4.0,6:46,1.0,10.0,GNB 12,29.0,14.0,AJ Dillon up the middle for 8 yards (tackle by Brian Branch and Derrick Barnes),-0.35,0.29,12.0,2023,165
4.0,6:03,2.0,2.0,GNB 20,29.0,14.0,AJ Dillon left tackle for 1 yard (tackle by Brian Branch),0.29,-0.37,12.0,2023,165
4.0,5:19,3.0,1.0,GNB 21,29.0,14.0,Jordan Love left end for 37 yards (tackle by Tracy Walker),-0.37,2.79,12.0,2023,165
4.0,4:30,1.0,10.0,DET 42,29.0,14.0,AJ Dillon left tackle for -1 yards (tackle by Aidan Hutchinson),2.79,2.11,12.0,2023,165
4.0,3:47,2.0,11.0,DET 43,29.0,14.0,Patrick Taylor up the middle for 1 yard (tackle by Alim McNeill and Derrick Barnes),2.11,1.55,12.0,2023,165
4.0,2:59,,,,,,Timeout #1 by Green Bay Packers,,,12.0,2023,165
4.0,2:59,3.0,10.0,DET 42,29.0,14.0,Jordan Love pass incomplete deep middle intended for Christian Watson,1.55,0.46,12.0,2023,165
4.0,2:53,4.0,10.0,DET 42,29.0,14.0,"Daniel Whelan punts 33 yards, fair catch by Kalif Raymond at DET-9",0.46,0.38,12.0,2023,165
4.0,2:46,1.0,10.0,DET 9,29.0,14.0,Jared Goff pass complete short middle to Amon-Ra St. Brown for 15 yards (tackle by Corey Ballentine),-0.38,0.54,12.0,2023,165
4.0,2:40,1.0,10.0,DET 24,29.0,14.0,Jared Goff pass complete short left to Sam LaPorta for 6 yards (tackle by Jonathan Owens),0.54,0.81,12.0,2023,165
4.0,2:34,2.0,4.0,DET 30,29.0,14.0,Jared Goff pass incomplete short right intended for Josh Reynolds,0.81,0.1,12.0,2023,165
4.0,2:31,3.0,4.0,DET 30,29.0,14.0,Jared Goff pass complete short middle to Jahmyr Gibbs for 3 yards (tackle by Keisean Nixon),0.1,-1.18,12.0,2023,165
4.0,2:10,4.0,1.0,DET 33,29.0,14.0,Jared Goff pass complete short middle to Jahmyr Gibbs for 7 yards (tackle by Quay Walker and Isaiah McDuffie),-1.18,1.6,12.0,2023,165
4.0,2:00,1.0,10.0,DET 40,29.0,14.0,Jared Goff pass complete short left to Sam LaPorta for 5 yards (tackle by Quay Walker),1.6,1.73,12.0,2023,165
4.0,1:39,2.0,5.0,DET 45,29.0,14.0,Jared Goff pass complete short middle to Jahmyr Gibbs for 4 yards (tackle by Isaiah McDuffie),1.73,1.55,12.0,2023,165
4.0,1:14,3.0,1.0,DET 49,29.0,14.0,Jared Goff pass complete short right to Amon-Ra St. Brown for 3 yards (tackle by Carrington Valentine),1.55,2.39,12.0,2023,165
4.0,1:10,1.0,10.0,GNB 48,29.0,14.0,Jared Goff pass incomplete short right intended for Jahmyr Gibbs,2.39,1.85,12.0,2023,165
4.0,1:05,2.0,10.0,GNB 48,29.0,14.0,"Jared Goff pass incomplete short left intended for Jameson Williams. Penalty on Frank Ragnow: Offensive Holding, 10 yards (accepted) (no play)",1.85,0.5,12.0,2023,165
4.0,1:00,2.0,20.0,DET 42,29.0,14.0,Jared Goff pass complete short left to Amon-Ra St. Brown for 23 yards (tackle by Anthony Johnson),0.5,3.25,12.0,2023,165
