Quarter,Time,Down,ToGo,Location,CLE,DEN,Detail,EPB,EPA,week,year,game_id
2.0,3:53,1.0,25.0,DEN 28,3.0,14.0,Russell Wilson pass incomplete deep right intended for Courtland Sutton,0.81,-0.77,12.0,2023,175
2.0,3:46,2.0,25.0,DEN 28,3.0,14.0,Russell Wilson pass incomplete short left intended for Javonte Williams (defended by Myles Garrett),-0.77,-1.42,12.0,2023,175
2.0,3:42,3.0,25.0,DEN 28,3.0,14.0,Russell Wilson pass complete short right to Samaje Perine for 11 yards (tackle by Greg Newsome),-1.42,-0.78,12.0,2023,175
2.0,3:14,4.0,14.0,DEN 39,3.0,14.0,"Riley Dixon punts 43 yards, returned by James Proche for 9 yards (tackle by Riley Moss and Mitchell Fraboni)",-0.78,-0.74,12.0,2023,175
2.0,3:04,1.0,10.0,CLE 27,3.0,14.0,Dorian Thompson-Robinson pass complete short left to Cedric Tillman for 18 yards (tackle by Ja'Quan McMillian),0.74,1.93,12.0,2023,175
2.0,2:45,1.0,10.0,CLE 45,3.0,14.0,Dorian Thompson-Robinson pass incomplete short left intended for Jerome Ford,1.93,1.38,12.0,2023,175
2.0,2:35,2.0,10.0,CLE 45,3.0,14.0,Jerome Ford right end for 3 yards (tackle by Jonathon Cooper),1.38,1.09,12.0,2023,175
2.0,2:00,3.0,7.0,CLE 48,3.0,14.0,Dorian Thompson-Robinson scrambles right end for 6 yards (tackle by Alex Singleton and D.J. Jones),1.09,0.2,12.0,2023,175
2.0,1:19,4.0,1.0,DEN 46,3.0,14.0,Kareem Hunt right tackle for 3 yards (tackle by Tyler Lancaster),0.2,2.72,12.0,2023,175
2.0,1:14,,,,,,Timeout #1 by Cleveland Browns,,,12.0,2023,175
2.0,1:14,1.0,10.0,DEN 43,3.0,14.0,Dorian Thompson-Robinson pass complete short right to Jerome Ford for 11 yards (tackle by Patrick Surtain),2.72,3.45,12.0,2023,175
2.0,1:06,1.0,10.0,DEN 32,3.0,14.0,Dorian Thompson-Robinson pass complete short middle to Cedric Tillman for 23 yards (tackle by Justin Simmons),3.45,5.14,12.0,2023,175
2.0,0:39,1.0,9.0,DEN 9,3.0,14.0,Dorian Thompson-Robinson left end for 3 yards (tackle by Baron Browning),5.14,4.95,12.0,2023,175
2.0,0:34,2.0,6.0,DEN 6,3.0,14.0,Dorian Thompson-Robinson pass incomplete short middle intended for David Bell (defended by Mike Purcell),4.95,4.04,12.0,2023,175
2.0,0:30,3.0,6.0,DEN 6,3.0,14.0,Dorian Thompson-Robinson pass incomplete short right intended for Elijah Moore,4.04,2.99,12.0,2023,175
2.0,0:25,4.0,6.0,DEN 6,6.0,14.0,Dustin Hopkins 24 yard field goal good,2.99,3.0,12.0,2023,175
2.0,0:22,,,CLE 35,6.0,14.0,"Dustin Hopkins kicks off 65 yards, touchback.",0.0,0.61,12.0,2023,175
2.0,0:22,1.0,10.0,DEN 25,6.0,14.0,Russell Wilson kneels for -1 yards,0.61,-0.07,12.0,2023,175
3.0,15:00,,,CLE 35,6.0,14.0,"Dustin Hopkins kicks off 65 yards, touchback.",0.0,0.61,12.0,2023,175
3.0,15:00,1.0,10.0,DEN 25,6.0,14.0,Russell Wilson pass complete short left to Javonte Williams for 2 yards (tackle by Tony Fields),0.61,0.33,12.0,2023,175
3.0,14:35,2.0,8.0,DEN 27,6.0,14.0,Russell Wilson pass complete short right to Jerry Jeudy for 7 yards (tackle by Martin Emerson),0.33,0.56,12.0,2023,175
3.0,13:54,3.0,1.0,DEN 34,6.0,14.0,Javonte Williams right end for -3 yards (tackle by Jeremiah Owusu-Koramoah and Alex Wright),0.56,-1.31,12.0,2023,175
3.0,13:14,4.0,4.0,DEN 31,6.0,14.0,Riley Dixon punts 48 yards downed by Delarrin Turner-Yell,-1.31,-0.34,12.0,2023,175
3.0,13:06,1.0,10.0,CLE 21,6.0,14.0,Dorian Thompson-Robinson pass incomplete short right intended for Amari Cooper,0.34,-0.2,12.0,2023,175
3.0,13:03,2.0,10.0,CLE 21,6.0,14.0,Jerome Ford left tackle for 2 yards (tackle by Alex Singleton and P.J. Locke),-0.2,-0.63,12.0,2023,175
3.0,12:21,3.0,8.0,CLE 23,6.0,14.0,Dorian Thompson-Robinson pass complete short right to Amari Cooper for 11 yards,-0.63,1.2,12.0,2023,175
3.0,11:55,1.0,10.0,CLE 34,6.0,14.0,Jerome Ford left tackle for 13 yards (tackle by P.J. Locke),1.2,2.06,12.0,2023,175
3.0,11:15,1.0,10.0,CLE 47,6.0,14.0,Dorian Thompson-Robinson pass complete short right to David Njoku for 16 yards (tackle by Fabian Moreau),2.06,3.12,12.0,2023,175
3.0,10:34,1.0,10.0,DEN 37,6.0,14.0,Jerome Ford left guard for 6 yards (tackle by Ja'Quan McMillian and Alex Singleton),3.12,3.31,12.0,2023,175
3.0,9:54,2.0,5.0,DEN 31,6.0,14.0,Dorian Thompson-Robinson pass complete deep right to David Njoku for 17 yards (tackle by Justin Simmons),3.31,4.65,12.0,2023,175
3.0,9:09,1.0,10.0,DEN 14,6.0,14.0,Dorian Thompson-Robinson pass incomplete short right,4.65,4.0,12.0,2023,175
3.0,9:00,2.0,10.0,DEN 14,6.0,14.0,Jerome Ford left guard for 3 yards (tackle by Jonathon Cooper and Justin Simmons),4.0,3.62,12.0,2023,175
3.0,8:20,3.0,7.0,DEN 11,6.0,14.0,"Dorian Thompson-Robinson pass incomplete short middle intended for David Njoku. Penalty on P.J. Locke: Personal Foul / Defense, 6 yards (accepted) (no play)",3.62,6.06,12.0,2023,175
3.0,8:15,1.0,5.0,DEN 5,6.0,14.0,Kareem Hunt right tackle for 1 yard (tackle by Jonathon Cooper and Alex Singleton),6.06,5.34,12.0,2023,175
3.0,7:34,2.0,4.0,DEN 4,6.0,14.0,Dorian Thompson-Robinson pass incomplete short middle intended for David Njoku (defended by Alex Singleton),5.34,4.49,12.0,2023,175
3.0,7:30,3.0,4.0,DEN 4,6.0,14.0,Kareem Hunt right end for 2 yards (tackle by Jonathon Cooper and Patrick Surtain),4.49,3.25,12.0,2023,175
3.0,6:44,4.0,2.0,DEN 2,12.0,14.0,"Dorian Thompson-Robinson pass complete short right to Harrison Bryant for 2 yards, touchdown",3.25,7.0,12.0,2023,175
3.0,6:42,,,DEN 2,12.0,14.0,Two Point Attempt: Dorian Thompson-Robinson pass incomplete,1.0,-1.0,12.0,2023,175
3.0,6:42,,,CLE 35,12.0,14.0,"Dustin Hopkins kicks off 65 yards, touchback.",0.0,0.61,12.0,2023,175
3.0,6:42,1.0,10.0,DEN 25,12.0,14.0,"Javonte Williams right guard for no gain (tackle by Jeremiah Owusu-Koramoah). Penalty on Shelby Harris: Defensive Holding, 5 yards (accepted) (no play)",0.61,0.94,12.0,2023,175
3.0,6:30,1.0,10.0,DEN 30,12.0,14.0,Russell Wilson pass complete short middle to Javonte Williams for 4 yards (tackle by Jeremiah Owusu-Koramoah),0.94,0.93,12.0,2023,175
3.0,5:48,2.0,6.0,DEN 34,12.0,14.0,Russell Wilson pass complete short left to Lil'Jordan Humphrey for 13 yards (tackle by Jeremiah Owusu-Koramoah),0.93,2.06,12.0,2023,175
3.0,5:11,1.0,10.0,DEN 47,12.0,14.0,Javonte Williams right tackle for 15 yards (tackle by Juan Thornhill),2.06,3.05,12.0,2023,175
3.0,4:29,1.0,10.0,CLE 38,12.0,14.0,Samaje Perine up the middle for 7 yards (tackle by Sione Takitaki and Matthew Adams),3.05,3.45,12.0,2023,175
3.0,3:46,2.0,3.0,CLE 31,12.0,14.0,Samaje Perine right end for 24 yards (tackle by Tony Fields and Greg Newsome),3.45,5.6,12.0,2023,175
3.0,3:01,1.0,7.0,CLE 7,12.0,14.0,Russell Wilson pass incomplete short right intended for Jerry Jeudy,5.6,4.76,12.0,2023,175
3.0,2:48,2.0,7.0,CLE 7,12.0,14.0,Javonte Williams left guard for 5 yards (tackle by Grant Delpit),4.76,4.95,12.0,2023,175
3.0,2:09,3.0,2.0,CLE 2,12.0,14.0,Samaje Perine up the middle for -3 yards (tackle by Ogbonnia Okoronkwo and Jeremiah Owusu-Koramoah),4.95,3.01,12.0,2023,175
3.0,1:29,4.0,5.0,CLE 5,12.0,17.0,Wil Lutz 23 yard field goal good,3.01,3.0,12.0,2023,175
3.0,1:25,,,DEN 35,12.0,17.0,"Wil Lutz kicks off 65 yards, touchback.",0.0,0.61,12.0,2023,175
3.0,1:25,1.0,10.0,CLE 25,12.0,17.0,Dorian Thompson-Robinson pass incomplete short middle intended for David Njoku,0.61,0.06,12.0,2023,175
3.0,1:20,2.0,10.0,CLE 25,12.0,17.0,Dorian Thompson-Robinson pass complete short left to David Njoku for 3 yards (tackle by P.J. Locke),0.06,-0.23,12.0,2023,175
3.0,0:38,3.0,7.0,CLE 28,12.0,17.0,"Penalty on James Hudson: False Start, 5 yards (accepted) (no play)",-0.23,-0.89,12.0,2023,175
3.0,0:11,3.0,12.0,CLE 23,12.0,17.0,"Dorian Thompson-Robinson pass incomplete short right intended for David Njoku. Penalty on Baron Browning: Roughing the Passer, 15 yards (accepted) (no play)",-0.89,1.47,12.0,2023,175
3.0,0:11,1.0,10.0,CLE 38,12.0,17.0,Kareem Hunt right guard for 3 yards (tackle by Josey Jewell and Baron Browning),1.47,1.33,12.0,2023,175
4.0,15:00,2.0,7.0,CLE 41,12.0,17.0,"Elijah Moore aborted snap, recovered by D.J. Jones at CLE-31 and returned for 11 yards",1.33,-4.24,12.0,2023,175
4.0,14:54,1.0,10.0,CLE 20,12.0,17.0,Marvin Mims right end for 11 yards (tackle by Greg Newsome),4.24,5.14,12.0,2023,175
4.0,14:22,1.0,9.0,CLE 9,12.0,17.0,Javonte Williams right end for 1 yard (tackle by Jeremiah Owusu-Koramoah and Mike Ford),5.14,4.57,12.0,2023,175
4.0,13:45,2.0,8.0,CLE 8,12.0,17.0,Russell Wilson pass incomplete short right intended for Courtland Sutton,4.57,3.58,12.0,2023,175
4.0,13:37,3.0,8.0,CLE 8,12.0,23.0,"Russell Wilson pass incomplete intended for Adam Trautman DEN challenged the pass completion ruling, and the original play was overturned. Russell Wilson pass complete short right to Adam Trautman for 8 yards, touchdown",3.58,7.0,12.0,2023,175
4.0,13:29,,,CLE 15,12.0,24.0,Wil Lutz kicks extra point good,0.0,0.0,12.0,2023,175
4.0,13:29,,,DEN 35,12.0,24.0,"Wil Lutz kicks off 65 yards, touchback.",0.0,0.61,12.0,2023,175
4.0,13:29,1.0,10.0,CLE 25,12.0,24.0,Jerome Ford right guard for 4 yards (tackle by Ja'Quan McMillian and Fabian Moreau),0.61,0.6,12.0,2023,175
4.0,12:53,2.0,6.0,CLE 29,12.0,24.0,"Penalty on Geron Christian: False Start, 5 yards (accepted) (no play)",0.6,-0.07,12.0,2023,175
4.0,12:53,2.0,11.0,CLE 24,12.0,24.0,P.J. Walker sacked by Nik Bonitto for -4 yards,-0.07,-1.29,12.0,2023,175
4.0,12:13,3.0,15.0,CLE 20,12.0,24.0,P.J. Walker pass incomplete short right intended for Cedric Tillman (defended by Nik Bonitto),-1.29,-2.03,12.0,2023,175
4.0,12:06,4.0,15.0,CLE 20,12.0,24.0,"Corey Bojorquez punts 46 yards, returned by Marvin Mims for 2 yards (tackle by A.J. Green)",-2.03,-1.33,12.0,2023,175
4.0,11:57,1.0,10.0,DEN 36,12.0,24.0,Javonte Williams right guard for -2 yards (tackle by Grant Delpit),1.33,0.52,12.0,2023,175
4.0,11:14,2.0,12.0,DEN 34,12.0,24.0,"Javonte Williams right tackle for 1 yard (tackle by Ogbonnia Okoronkwo and Alex Wright) Penalty on DEN: Illegal Shift, 5 yards (declined)",0.52,-0.03,12.0,2023,175
4.0,10:49,3.0,11.0,DEN 35,12.0,24.0,Russell Wilson pass complete short middle to Jerry Jeudy for 4 yards (tackle by Sione Takitaki),-0.03,-0.78,12.0,2023,175
4.0,10:14,4.0,7.0,DEN 39,12.0,24.0,"Penalty on Tremon Smith: False Start, 5 yards (accepted) (no play)",-0.78,-1.11,12.0,2023,175
4.0,10:14,4.0,12.0,DEN 34,12.0,24.0,"Riley Dixon punts 43 yards, fair catch by James Proche at CLE-23",-1.11,-0.48,12.0,2023,175
4.0,10:07,1.0,10.0,CLE 23,12.0,24.0,"P.J. Walker pass complete short right to Jerome Ford for 7 yards (tackle by Jonathon Cooper). Penalty on Jonathon Cooper: Personal Foul / Defense, 15 yards (accepted)",0.48,1.93,12.0,2023,175
4.0,9:56,1.0,10.0,CLE 45,12.0,24.0,P.J. Walker pass complete deep left to Elijah Moore for 26 yards,1.93,3.64,12.0,2023,175
4.0,9:22,1.0,10.0,DEN 29,12.0,24.0,P.J. Walker pass incomplete deep right intended for Elijah Moore,3.64,3.1,12.0,2023,175
4.0,9:16,2.0,10.0,DEN 29,12.0,24.0,P.J. Walker pass complete short left to Jerome Ford for -4 yards (tackle by Jonathan Harris),3.1,1.88,12.0,2023,175
4.0,8:33,3.0,14.0,DEN 33,12.0,24.0,"P.J. Walker pass incomplete short left intended for Amari Cooper. Penalty on Wyatt Teller: Offensive Holding, 10 yards (declined)",1.88,1.15,12.0,2023,175
4.0,8:28,4.0,14.0,DEN 33,12.0,24.0,"P.J. Walker sacked by P.J. Locke for -9 yards. P.J. Walker fumbles (forced by P.J. Locke), recovered by Alex Singleton at DEN-42",1.15,-1.73,12.0,2023,175
4.0,8:24,1.0,10.0,DEN 42,12.0,24.0,Javonte Williams right guard for 3 yards (tackle by Sione Takitaki and Jeremiah Owusu-Koramoah),1.73,1.59,12.0,2023,175
4.0,7:45,2.0,7.0,DEN 45,12.0,24.0,Javonte Williams right guard for 6 yards (tackle by Tony Fields),1.59,1.69,12.0,2023,175
4.0,7:03,3.0,1.0,CLE 49,12.0,24.0,Russell Wilson pass complete deep left to Courtland Sutton for 25 yards (tackle by Greg Newsome),1.69,3.97,12.0,2023,175
4.0,6:19,1.0,10.0,CLE 24,12.0,24.0,Javonte Williams right tackle for 2 yards (tackle by Greg Newsome),3.97,3.7,12.0,2023,175
4.0,5:46,2.0,8.0,CLE 22,12.0,24.0,Russell Wilson pass complete short right to Courtland Sutton for 5 yards,3.7,3.75,12.0,2023,175
4.0,5:11,3.0,3.0,CLE 17,12.0,24.0,Javonte Williams right tackle for 1 yard (tackle by Greg Newsome and Jeremiah Owusu-Koramoah),3.75,2.5,12.0,2023,175
4.0,4:23,,,,,,Timeout #1 by Denver Broncos,,,12.0,2023,175
4.0,4:23,4.0,2.0,CLE 16,12.0,27.0,Wil Lutz 34 yard field goal good,2.5,3.0,12.0,2023,175
4.0,4:19,,,DEN 35,12.0,27.0,"Wil Lutz kicks off 65 yards, touchback.",0.0,0.61,12.0,2023,175
4.0,4:19,1.0,10.0,CLE 25,12.0,27.0,P.J. Walker pass complete short right to Elijah Moore for 9 yards (tackle by Patrick Surtain),0.61,1.28,12.0,2023,175
4.0,4:15,2.0,1.0,CLE 34,12.0,27.0,P.J. Walker pass complete short left to David Njoku for 6 yards (tackle by Ja'Quan McMillian),1.28,1.6,12.0,2023,175
4.0,4:09,1.0,10.0,CLE 40,12.0,27.0,P.J. Walker pass incomplete short right intended for Elijah Moore,1.6,1.05,12.0,2023,175
4.0,4:04,2.0,10.0,CLE 40,12.0,27.0,"P.J. Walker sacked by Josey Jewell for -10 yards. P.J. Walker fumbles (forced by Josey Jewell), recovered by Dawand Jones at CLE-30",1.05,-0.96,12.0,2023,175
4.0,3:24,3.0,20.0,CLE 30,12.0,27.0,P.J. Walker pass complete short right to David Njoku for 12 yards (tackle by Alex Singleton),-0.96,-0.59,12.0,2023,175
4.0,2:55,4.0,8.0,CLE 42,12.0,27.0,P.J. Walker pass incomplete short middle intended for Jerome Ford,-0.59,-2.85,12.0,2023,175
4.0,2:53,1.0,10.0,CLE 41,12.0,27.0,Javonte Williams left tackle for no gain (tackle by Maurice Hurst and Shelby Harris),2.85,2.31,12.0,2023,175
4.0,2:48,,,,,,Timeout #1 by Cleveland Browns,,,12.0,2023,175
