Quarter,Time,Down,ToGo,Location,TAM,NYG,Detail,EPB,EPA,week,year,game_id
1.0,7:28,1.0,10.0,NYG 15,0.0,0.0,Baker Mayfield pass complete short right to Bucky Irving for 14 yards (tackle by Tyler Nubin and Jason Pinnock),4.58,6.97,12.0,2024,172
1.0,6:39,1.0,1.0,NYG 1,6.0,0.0,"Sean Tucker left guard for 1 yard, touchdown",6.97,7.0,12.0,2024,172
1.0,6:37,,,NYG 15,7.0,0.0,Chase McLaughlin kicks extra point good,0.0,0.0,12.0,2024,172
1.0,6:37,,,TAM 35,7.0,0.0,"Trenton Gill kicks off 65 yards, touchback.",0.0,0.94,12.0,2024,172
1.0,6:37,1.0,10.0,NYG 30,7.0,0.0,Tyrone Tracy right guard for 16 yards (tackle by Jordan Whitehead),0.94,1.99,12.0,2024,172
1.0,5:57,1.0,10.0,NYG 46,7.0,0.0,Tyrone Tracy left guard for 1 yard (tackle by Joe Tryon-Shoyinka),1.99,1.59,12.0,2024,172
1.0,5:14,2.0,9.0,NYG 47,7.0,0.0,Tommy DeVito up the middle for 1 yard (tackle by Vita Vea),1.59,1.03,12.0,2024,172
1.0,4:35,3.0,8.0,NYG 48,7.0,0.0,Tommy DeVito sacked by Calijah Kancey for -7 yards,1.03,-0.65,12.0,2024,172
1.0,3:50,4.0,15.0,NYG 41,7.0,0.0,"Jamie Gillan punts 43 yards, fair catch by Trey Palmer at TB-16",-0.65,0.14,12.0,2024,172
1.0,3:41,1.0,10.0,TAM 16,7.0,0.0,Baker Mayfield pass complete short right to Mike Evans for 13 yards (tackle by Deonte Banks),-0.14,0.87,12.0,2024,172
1.0,3:11,1.0,10.0,TAM 29,7.0,0.0,Bucky Irving right tackle for 4 yards (tackle by Bobby Okereke and Cordale Flott),0.87,0.87,12.0,2024,172
1.0,2:34,2.0,6.0,TAM 33,7.0,0.0,Baker Mayfield pass complete short right to Bucky Irving for no gain (tackle by Micah McFadden),0.87,0.17,12.0,2024,172
1.0,1:54,3.0,6.0,TAM 33,7.0,0.0,Baker Mayfield pass incomplete short right intended for Mike Evans (defended by Tyler Nubin),0.17,-1.18,12.0,2024,172
1.0,1:41,4.0,6.0,TAM 33,7.0,0.0,"Trenton Gill punts 47 yards, returned by Ihmir Smith-Marsette for 8 yards (tackle by Tavierre Thomas and Anthony Nelson)",-1.18,-0.81,12.0,2024,172
1.0,1:31,1.0,10.0,NYG 28,7.0,0.0,Tommy DeVito pass incomplete short right intended for Theo Johnson (defended by Lavonte David),0.81,0.26,12.0,2024,172
1.0,1:27,2.0,10.0,NYG 28,7.0,0.0,Tyrone Tracy left guard for 4 yards (tackle by K.J. Britt and Lavonte David),0.26,0.1,12.0,2024,172
1.0,0:53,3.0,6.0,NYG 32,7.0,0.0,Tommy DeVito pass complete short right to Wan'Dale Robinson for 5 yards (tackle by Zyon McCollum),0.1,-0.91,12.0,2024,172
1.0,0:09,4.0,1.0,NYG 37,7.0,0.0,Wan'Dale Robinson left end for no gain (tackle by YaYa Diaby and Lavonte David),-0.91,-3.12,12.0,2024,172
1.0,0:01,1.0,10.0,NYG 37,7.0,0.0,Bucky Irving right tackle for 2 yards (tackle by Armon Watts and Kayvon Thibodeaux),3.12,2.84,12.0,2024,172
2.0,15:00,2.0,8.0,NYG 35,7.0,0.0,Baker Mayfield pass complete deep middle to Mike Evans for 26 yards (tackle by Deonte Banks),2.84,5.14,12.0,2024,172
2.0,14:16,1.0,9.0,NYG 9,7.0,0.0,Bucky Irving right tackle for no gain (tackle by Micah McFadden),5.14,4.38,12.0,2024,172
2.0,13:39,2.0,9.0,NYG 9,7.0,0.0,Baker Mayfield pass complete short right to Bucky Irving for 8 yards (tackle by Tyler Nubin and Bobby Okereke),4.38,5.17,12.0,2024,172
2.0,13:00,3.0,1.0,NYG 1,7.0,0.0,"Sean Tucker left tackle for -1 yards. Sean Tucker fumbles (forced by Bobby Okereke), recovered by Baker Mayfield at NYG-4 (tackle by Armon Watts)",5.17,3.03,12.0,2024,172
2.0,12:06,4.0,4.0,NYG 4,10.0,0.0,Chase McLaughlin 23 yard field goal good,3.03,3.0,12.0,2024,172
2.0,12:03,,,TAM 35,10.0,0.0,"Trenton Gill kicks off 65 yards, touchback.",0.0,0.94,12.0,2024,172
2.0,12:03,1.0,10.0,NYG 30,10.0,0.0,Tommy DeVito sacked by Anthony Nelson for -6 yards,0.94,-0.42,12.0,2024,172
2.0,11:22,2.0,16.0,NYG 24,10.0,0.0,Tommy DeVito pass complete short left to Eric Gray for 3 yards (tackle by Christian Izien),-0.42,-0.69,12.0,2024,172
2.0,10:46,3.0,13.0,NYG 27,10.0,0.0,Tommy DeVito scrambles left end for 2 yards (tackle by Calijah Kancey),-0.69,-1.44,12.0,2024,172
2.0,10:11,4.0,11.0,NYG 29,10.0,0.0,Jamie Gillan punts 53 yards out of bounds,-1.44,-0.04,12.0,2024,172
2.0,10:04,1.0,10.0,TAM 18,10.0,0.0,Baker Mayfield pass complete deep left to Payne Durham for 26 yards (tackle by Darius Muasau),0.04,1.86,12.0,2024,172
2.0,9:40,1.0,10.0,TAM 44,10.0,0.0,Bucky Irving left tackle for 8 yards (tackle by Bobby Okereke),1.86,2.4,12.0,2024,172
2.0,9:06,2.0,2.0,NYG 48,10.0,0.0,"Penalty on Ben Bredeson: False Start, 5 yards (accepted) (no play)",2.4,1.72,12.0,2024,172
2.0,8:57,2.0,7.0,TAM 47,10.0,0.0,Bucky Irving left guard for 3 yards (tackle by Andru Phillips and Tyler Nubin),1.72,1.42,12.0,2024,172
2.0,8:18,3.0,4.0,TAM 50,10.0,0.0,"Baker Mayfield left tackle for 9 yards. Baker Mayfield fumbles, ball out of bounds at NYG-41 (forced by Isaiah Simmons). Baker Mayfield fumbles out of bounds",1.42,2.85,12.0,2024,172
2.0,7:59,1.0,10.0,NYG 41,10.0,0.0,Baker Mayfield pass complete deep left to Cade Otton for 30 yards (tackle by Tyler Nubin),2.85,4.84,12.0,2024,172
2.0,7:13,1.0,10.0,NYG 11,10.0,0.0,Baker Mayfield pass complete short left to Mike Evans for 5 yards (tackle by Deonte Banks and Tyler Nubin),4.84,5.08,12.0,2024,172
2.0,6:26,2.0,5.0,NYG 6,16.0,0.0,"Bucky Irving up the middle for 6 yards, touchdown",5.08,7.0,12.0,2024,172
2.0,6:23,,,NYG 15,17.0,0.0,Chase McLaughlin kicks extra point good,0.0,0.0,12.0,2024,172
2.0,6:23,,,TAM 35,17.0,0.0,"Trenton Gill kicks off 65 yards, touchback.",0.0,0.94,12.0,2024,172
2.0,6:23,1.0,10.0,NYG 30,17.0,0.0,Tyrone Tracy right guard for 1 yard (tackle by YaYa Diaby),0.94,0.53,12.0,2024,172
2.0,5:48,2.0,9.0,NYG 31,17.0,0.0,Tyrone Tracy left tackle for 9 yards (tackle by Jordan Whitehead),0.53,1.6,12.0,2024,172
2.0,5:18,1.0,10.0,NYG 40,17.0,0.0,Tommy DeVito pass complete short left to Theo Johnson for 23 yards (tackle by Jordan Whitehead),1.6,3.12,12.0,2024,172
2.0,4:39,1.0,10.0,TAM 37,17.0,0.0,Devin Singletary left tackle for 2 yards (tackle by William Gholston),3.12,2.84,12.0,2024,172
2.0,3:56,2.0,8.0,TAM 35,17.0,0.0,Tommy DeVito sacked by Vita Vea for -8 yards,2.84,1.09,12.0,2024,172
2.0,3:08,3.0,16.0,TAM 43,17.0,0.0,Tommy DeVito pass incomplete short right,1.09,0.4,12.0,2024,172
2.0,3:04,4.0,16.0,TAM 43,17.0,0.0,"Jamie Gillan punts 29 yards, fair catch by Trey Palmer at TB-14",0.4,0.28,12.0,2024,172
2.0,2:57,1.0,10.0,TAM 14,17.0,0.0,Baker Mayfield pass complete short right to Bucky Irving for 32 yards (tackle by Andru Phillips),-0.28,1.99,12.0,2024,172
2.0,2:08,1.0,10.0,TAM 46,17.0,0.0,Baker Mayfield pass complete short middle to Sean Tucker for 7 yards (tackle by Bobby Okereke and Andru Phillips),1.99,2.4,12.0,2024,172
2.0,2:00,2.0,3.0,NYG 47,17.0,0.0,Baker Mayfield pass incomplete deep right intended for Jalen McMillan,2.4,1.69,12.0,2024,172
2.0,1:54,3.0,3.0,NYG 47,17.0,0.0,Baker Mayfield pass complete deep left to Trey Palmer for 18 yards (tackle by Tyler Nubin),1.69,3.64,12.0,2024,172
2.0,1:48,,,,,,Timeout #1 by New York Giants,,,12.0,2024,172
2.0,1:48,1.0,10.0,NYG 29,17.0,0.0,Rachaad White left tackle for 1 yard (tackle by Micah McFadden),3.64,3.24,12.0,2024,172
2.0,1:06,2.0,9.0,NYG 28,17.0,0.0,Baker Mayfield pass complete short middle to Sterling Shepard for 3 yards (tackle by Tyler Nubin),3.24,2.94,12.0,2024,172
2.0,1:00,,,,,,Timeout #2 by New York Giants,,,12.0,2024,172
2.0,1:00,3.0,6.0,NYG 25,17.0,0.0,"Baker Mayfield pass incomplete short right intended for Mike Evans (defended by Bobby Okereke). Penalty on Deonte Banks: Illegal Contact, 5 yards (accepted) (no play)",2.94,4.24,12.0,2024,172
2.0,0:54,1.0,10.0,NYG 20,17.0,0.0,Baker Mayfield pass complete short right to Rachaad White for 10 yards (tackle by Micah McFadden and Bobby Okereke),4.24,4.91,12.0,2024,172
2.0,0:25,1.0,10.0,NYG 10,17.0,0.0,Baker Mayfield pass incomplete short right intended for Sterling Shepard (defended by Deonte Banks),4.91,4.19,12.0,2024,172
2.0,0:20,2.0,10.0,NYG 10,23.0,0.0,"Baker Mayfield scrambles up the middle for 10 yards, touchdown",4.19,7.0,12.0,2024,172
2.0,0:12,,,NYG 15,23.0,0.0,Chase McLaughlin kicks extra point no good,0.0,-1.0,12.0,2024,172
2.0,0:12,,,TAM 35,23.0,0.0,"Trenton Gill kicks off 65 yards, touchback.",0.0,0.94,12.0,2024,172
2.0,0:12,1.0,10.0,NYG 30,23.0,0.0,Tommy DeVito kneels for -1 yards,0.94,0.26,12.0,2024,172
3.0,15:00,,,TAM 35,23.0,0.0,"Trenton Gill kicks off 65 yards, touchback.",0.0,0.94,12.0,2024,172
3.0,15:00,1.0,10.0,NYG 30,23.0,0.0,Tommy DeVito pass complete deep right to Malik Nabers for 21 yards (tackle by Antoine Winfield),0.94,2.32,12.0,2024,172
3.0,14:21,1.0,10.0,TAM 49,23.0,0.0,Tommy DeVito pass complete short left to Malik Nabers for 8 yards (tackle by Antoine Winfield and Zyon McCollum),2.32,2.86,12.0,2024,172
3.0,13:43,2.0,2.0,TAM 41,23.0,0.0,"Tommy DeVito pass complete short left to Malik Nabers for 13 yards. Malik Nabers fumbles, ball out of bounds at TB-28. Malik Nabers fumbles out of bounds (forced by Jamel Dean) TAM challenged the illegal forward pass ruling, and the play was upheld.",2.86,3.71,12.0,2024,172
3.0,13:37,1.0,10.0,TAM 28,23.0,0.0,Tyrone Tracy right tackle for no gain (tackle by K.J. Britt and Anthony Nelson),3.71,3.17,12.0,2024,172
3.0,12:59,2.0,10.0,TAM 28,23.0,0.0,Tommy DeVito pass complete short right to Wan'Dale Robinson for 12 yards (tackle by Zyon McCollum and Antoine Winfield),3.17,4.51,12.0,2024,172
3.0,12:19,1.0,10.0,TAM 16,23.0,0.0,Tommy DeVito pass incomplete short right intended for Malik Nabers,4.51,3.9,12.0,2024,172
3.0,12:15,2.0,10.0,TAM 16,23.0,0.0,Tyrone Tracy right guard for 8 yards (tackle by Antoine Winfield and K.J. Britt),3.9,4.62,12.0,2024,172
3.0,11:40,3.0,2.0,TAM 8,23.0,0.0,Tyrone Tracy left tackle for 3 yards (tackle by YaYa Diaby),4.62,6.06,12.0,2024,172
3.0,11:06,1.0,5.0,TAM 5,23.0,0.0,"Tyrone Tracy left end for no gain. Tyrone Tracy fumbles (tackle by K.J. Britt), recovered by Calijah Kancey at TB-5",6.06,0.38,12.0,2024,172
3.0,10:55,1.0,10.0,TAM 5,23.0,0.0,Bucky Irving up the middle for 2 yards (tackle by Tyler Nubin and Rakeem Nunez-Roches),-0.38,-0.63,12.0,2024,172
3.0,10:13,2.0,8.0,TAM 7,23.0,0.0,Baker Mayfield pass incomplete short right intended for Sterling Shepard,-0.63,-1.19,12.0,2024,172
3.0,10:09,3.0,8.0,TAM 7,23.0,0.0,Baker Mayfield scrambles right tackle for 10 yards (tackle by Tyler Nubin),-1.19,-0.06,12.0,2024,172
3.0,9:29,1.0,10.0,TAM 17,23.0,0.0,Bucky Irving right tackle for -1 yards (tackle by Brian Burns),-0.06,-0.73,12.0,2024,172
3.0,8:47,2.0,11.0,TAM 16,23.0,0.0,Baker Mayfield pass complete short right to Sterling Shepard for 5 yards (tackle by Andru Phillips),-0.73,-0.75,12.0,2024,172
3.0,8:04,3.0,6.0,TAM 21,23.0,0.0,"Baker Mayfield pass complete short right to Cade Otton for no gain (tackle by Tyler Nubin). Penalty on Sterling Shepard: Illegal Motion, 5 yards (accepted) (no play)",-0.75,-1.41,12.0,2024,172
3.0,7:30,3.0,11.0,TAM 16,23.0,0.0,Baker Mayfield pass complete short middle to Ryan Miller for 14 yards (tackle by Tyler Nubin),-1.41,0.94,12.0,2024,172
3.0,6:49,1.0,10.0,TAM 30,23.0,0.0,Bucky Irving left end for 2 yards (tackle by Rakeem Nunez-Roches and Micah McFadden),0.94,0.66,12.0,2024,172
3.0,6:04,2.0,8.0,TAM 32,23.0,0.0,Baker Mayfield pass complete deep left to Rakim Jarrett for 30 yards,0.66,3.05,12.0,2024,172
3.0,5:24,1.0,10.0,NYG 38,23.0,0.0,Baker Mayfield pass complete short left to Mike Evans for 15 yards (tackle by Deonte Banks),3.05,4.04,12.0,2024,172
3.0,4:43,1.0,10.0,NYG 23,23.0,0.0,Baker Mayfield pass complete short left to Sterling Shepard for no gain (tackle by D.J. Davidson),4.04,3.5,12.0,2024,172
3.0,4:00,2.0,10.0,NYG 23,23.0,0.0,Baker Mayfield pass incomplete short right intended for Cade Otton,3.5,2.81,12.0,2024,172
3.0,3:54,3.0,10.0,NYG 23,23.0,0.0,"Baker Mayfield pass incomplete deep right intended for Mike Evans. Penalty on Adoree' Jackson: Defensive Pass Interference, 22 yards (accepted) (no play)",2.81,6.97,12.0,2024,172
3.0,3:49,1.0,1.0,NYG 1,29.0,0.0,"Rachaad White right end for 1 yard, touchdown",6.97,7.0,12.0,2024,172
3.0,3:45,,,NYG 15,30.0,0.0,Chase McLaughlin kicks extra point good,0.0,0.0,12.0,2024,172
3.0,3:45,,,TAM 35,30.0,0.0,"Trenton Gill kicks off 66 yards, returned by Ihmir Smith-Marsette for 33 yards (tackle by J.J. Russell and Josh Hayes)",0.0,1.07,12.0,2024,172
3.0,3:38,1.0,10.0,NYG 32,30.0,0.0,Tommy DeVito pass incomplete deep middle intended for Malik Nabers (defended by Antoine Winfield),1.07,0.53,12.0,2024,172
3.0,3:33,,,,,,Timeout #1 by New York Giants,,,12.0,2024,172
3.0,3:33,2.0,10.0,NYG 32,30.0,0.0,Tommy DeVito pass complete short right to Wan'Dale Robinson for 7 yards (tackle by Lavonte David),0.53,0.76,12.0,2024,172
3.0,2:54,3.0,3.0,NYG 39,30.0,0.0,Tommy DeVito pass complete short right to Malik Nabers for 11 yards (tackle by Zyon McCollum),0.76,2.26,12.0,2024,172
3.0,2:13,1.0,10.0,NYG 50,30.0,0.0,Tommy DeVito pass complete short left to Malik Nabers for 4 yards (tackle by Christian Izien and Jamel Dean),2.26,2.25,12.0,2024,172
3.0,1:27,2.0,6.0,TAM 46,30.0,0.0,Tommy DeVito pass complete short right to Devin Singletary for -3 yards (tackle by Anthony Nelson),2.25,1.16,12.0,2024,172
3.0,0:41,3.0,9.0,TAM 49,30.0,0.0,Tommy DeVito pass complete short left to Theo Johnson for 9 yards (tackle by Christian Izien),1.16,2.92,12.0,2024,172
3.0,0:14,1.0,10.0,TAM 40,30.0,0.0,"Tommy DeVito pass complete short middle to Wan'Dale Robinson for no gain (tackle by K.J. Britt). Penalty on Theo Johnson: Offensive Pass Interference, 10 yards (accepted) (no play)",2.92,2.26,12.0,2024,172
4.0,15:00,1.0,20.0,TAM 50,30.0,0.0,Tommy DeVito pass complete short right to Eric Gray for 4 yards (tackle by Lavonte David),2.26,1.56,12.0,2024,172
4.0,14:29,2.0,16.0,TAM 46,30.0,0.0,Tommy DeVito scrambles right guard for 6 yards (tackle by Chris Braswell),1.56,1.68,12.0,2024,172
4.0,13:57,3.0,10.0,TAM 40,30.0,0.0,Tommy DeVito pass complete short left to Wan'Dale Robinson for 16 yards (tackle by Mike Edwards and Anthony Nelson),1.68,3.97,12.0,2024,172
4.0,13:25,1.0,10.0,TAM 24,30.0,0.0,Tommy DeVito pass complete short middle to Malik Nabers for 7 yards (tackle by Christian Izien and Antoine Winfield),3.97,4.46,12.0,2024,172
4.0,12:46,2.0,3.0,TAM 17,30.0,0.0,Eric Gray up the middle for -1 yards (tackle by Jordan Whitehead),4.46,3.57,12.0,2024,172
4.0,12:18,3.0,4.0,TAM 18,30.0,0.0,Tommy DeVito scrambles up the middle for 17 yards (tackle by Jordan Whitehead),3.57,6.97,12.0,2024,172
4.0,11:30,1.0,1.0,TAM 1,30.0,6.0,"Devin Singletary up the middle for 1 yard, touchdown",6.97,7.0,12.0,2024,172
4.0,11:28,,,TAM 15,30.0,7.0,Graham Gano kicks extra point good,0.0,0.0,12.0,2024,172
4.0,11:28,,,NYG 35,30.0,7.0,"Graham Gano kicks off 69 yards, recovered by Sean Tucker in end zone (tackle by Isaiah Simmons)",0.0,-0.38,12.0,2024,172
4.0,11:25,1.0,10.0,TAM 2,30.0,7.0,Bucky Irving left guard for 3 yards (tackle by Tyler Nubin and Patrick Johnson),-0.38,-0.56,12.0,2024,172
4.0,10:48,2.0,7.0,TAM 5,30.0,7.0,Bucky Irving left end for 56 yards (tackle by Jason Pinnock),-0.56,2.98,12.0,2024,172
4.0,9:56,1.0,10.0,NYG 39,30.0,7.0,Rachaad White up the middle for 9 yards (tackle by Rakeem Nunez-Roches and Bobby Okereke),2.98,3.66,12.0,2024,172
4.0,9:12,2.0,1.0,NYG 30,30.0,7.0,"Baker Mayfield aborted snap, recovered by D.J. Davidson at NYG-35",3.66,-1.27,12.0,2024,172
4.0,9:03,1.0,10.0,NYG 35,30.0,7.0,Tommy DeVito scrambles right end for 6 yards (tackle by Zyon McCollum),1.27,1.53,12.0,2024,172
4.0,8:32,2.0,4.0,NYG 41,30.0,7.0,Tommy DeVito pass complete short left to Theo Johnson for 7 yards (tackle by Christian Izien),1.53,2.13,12.0,2024,172
4.0,8:09,1.0,10.0,NYG 48,30.0,7.0,Tommy DeVito left tackle for 1 yard (tackle by K.J. Britt),2.13,1.72,12.0,2024,172
4.0,7:41,2.0,9.0,NYG 49,30.0,7.0,Tommy DeVito pass incomplete short middle intended for Malik Nabers (defended by Mike Edwards),1.72,1.02,12.0,2024,172
4.0,7:35,3.0,9.0,NYG 49,30.0,7.0,Tommy DeVito pass incomplete short right intended for Theo Johnson,1.02,-0.13,12.0,2024,172
4.0,7:30,4.0,9.0,NYG 49,30.0,7.0,Tommy DeVito pass incomplete short middle intended for Theo Johnson,-0.13,-2.32,12.0,2024,172
4.0,7:25,1.0,10.0,NYG 49,30.0,7.0,"Bucky Irving left end for 3 yards. Bucky Irving fumbles (tackle by Andru Phillips, recovered by Bucky Irving at NYG-46",2.32,2.19,12.0,2024,172
4.0,6:43,2.0,7.0,NYG 46,30.0,7.0,Rachaad White up the middle for 3 yards (tackle by D.J. Davidson),2.19,1.88,12.0,2024,172
4.0,6:02,3.0,4.0,NYG 43,30.0,7.0,Rachaad White left tackle for no gain (tackle by Dexter Lawrence and Patrick Johnson),1.88,0.4,12.0,2024,172
4.0,5:18,4.0,4.0,NYG 43,30.0,7.0,"Trenton Gill punts 33 yards, fair catch by Ihmir Smith-Marsette at NYG-10",0.4,0.38,12.0,2024,172
4.0,5:12,1.0,10.0,NYG 10,30.0,7.0,"Penalty on Jon Runyan: False Start, 5 yards (accepted) (no play)",-0.38,-0.57,12.0,2024,172
4.0,5:12,1.0,15.0,NYG 5,30.0,7.0,Tommy DeVito pass incomplete deep right,-0.57,-1.15,12.0,2024,172
4.0,5:00,2.0,15.0,NYG 5,30.0,7.0,"Tommy DeVito pass incomplete deep left intended for Jalin Hyatt. Penalty on Calijah Kancey: Defensive Offside, 5 yards (accepted) (no play)",-1.15,-0.78,12.0,2024,172
4.0,5:00,2.0,10.0,NYG 10,30.0,7.0,Drew Lock pass complete short right to Tyrone Tracy for 3 yards (tackle by Zyon McCollum and Christian Izien),-0.78,-1.07,12.0,2024,172
4.0,4:20,3.0,7.0,NYG 13,30.0,7.0,Tommy DeVito sacked by Antoine Winfield for -2 yards,-1.07,-2.49,12.0,2024,172
4.0,3:36,4.0,9.0,NYG 11,30.0,7.0,"Jamie Gillan punts 43 yards, returned by Trey Palmer for 15 yards (tackle by Daniel Bellinger)",-2.49,-2.98,12.0,2024,172
4.0,3:25,1.0,10.0,NYG 39,30.0,7.0,Rachaad White right tackle for 3 yards (tackle by Micah McFadden),2.98,2.85,12.0,2024,172
4.0,2:42,2.0,7.0,NYG 36,30.0,7.0,Rachaad White left tackle for 5 yards (tackle by Brian Burns and Micah McFadden),2.85,2.81,12.0,2024,172
4.0,2:00,3.0,2.0,NYG 31,30.0,7.0,Rachaad White up the middle for 1 yard (tackle by Rakeem Nunez-Roches and Darius Muasau),2.81,1.52,12.0,2024,172
4.0,1:16,4.0,1.0,NYG 30,30.0,7.0,Rachaad White left guard for no gain (tackle by Brian Burns and Micah McFadden),1.52,-0.94,12.0,2024,172
4.0,1:11,1.0,10.0,NYG 30,30.0,7.0,Tommy DeVito pass complete short left to Wan'Dale Robinson for 7 yards (tackle by Christian Izien),0.94,1.34,12.0,2024,172
4.0,0:48,2.0,3.0,NYG 37,30.0,7.0,Tommy DeVito pass complete short middle to Devin Singletary for 10 yards (tackle by J.J. Russell and Christian Izien),1.34,2.06,12.0,2024,172
4.0,0:43,,,,,,Timeout #2 by New York Giants,,,12.0,2024,172
4.0,0:43,1.0,10.0,NYG 47,30.0,7.0,Tommy DeVito pass complete short middle to Tyrone Tracy for 10 yards (tackle by Christian Izien),2.06,2.72,12.0,2024,172
4.0,0:23,1.0,10.0,TAM 43,30.0,7.0,Tommy DeVito pass complete short middle to Tyrone Tracy for 11 yards (tackle by Christian Izien and J.J. Russell),2.72,3.45,12.0,2024,172
4.0,0:16,,,,,,Timeout #3 by New York Giants,,,12.0,2024,172
4.0,0:16,1.0,10.0,TAM 32,30.0,7.0,Tommy DeVito pass complete short right to Tyrone Tracy for 4 yards (tackle by Zyon McCollum),3.45,3.44,12.0,2024,172
4.0,0:11,2.0,6.0,TAM 28,30.0,7.0,"Tommy DeVito pass incomplete short left intended for Tyrone Tracy (defended by Anthony Nelson). Penalty on Chris Braswell: Roughing the Passer, 14 yards (accepted) (no play)",3.44,4.65,12.0,2024,172
4.0,0:08,1.0,10.0,TAM 14,30.0,7.0,Tommy DeVito pass incomplete short left intended for Darius Slayton,4.65,4.0,12.0,2024,172
4.0,0:04,2.0,10.0,TAM 14,30.0,7.0,Tommy DeVito pass incomplete short left intended for Darius Slayton,4.0,3.11,12.0,2024,172
