Quarter,Time,Down,ToGo,Location,DET,IND,Detail,EPB,EPA,week,year,game_id
1.0,3:11,1.0,21.0,IND 10,0.0,3.0,Jonathan Taylor right end for 2 yards (tackle by Za'Darius Smith),-0.8,-1.44,12.0,2024,173
1.0,2:16,2.0,19.0,IND 12,0.0,3.0,Anthony Richardson pass incomplete deep middle intended for Josh Downs,-1.44,-2.47,12.0,2024,173
1.0,2:12,3.0,19.0,IND 12,0.0,3.0,Jonathan Taylor up the middle for 2 yards (tackle by Jack Campbell and Trevor Nowaske),-2.47,-2.47,12.0,2024,173
1.0,1:34,4.0,17.0,IND 14,0.0,3.0,"Rigoberto Sanchez punts 62 yards, returned by Kalif Raymond for 16 yards (tackle by Ashton Dulin)",-2.47,-1.6,12.0,2024,173
1.0,1:19,1.0,10.0,DET 40,0.0,3.0,Jahmyr Gibbs left end for no gain (tackle by Zaire Franklin),1.6,1.05,12.0,2024,173
1.0,0:38,2.0,10.0,DET 40,0.0,3.0,Jared Goff pass complete short middle to Tim Patrick for 27 yards (tackle by Zaire Franklin),1.05,3.38,12.0,2024,173
2.0,15:00,1.0,10.0,IND 33,0.0,3.0,Jared Goff pass incomplete deep left intended for Sam LaPorta,3.38,2.84,12.0,2024,173
2.0,14:54,2.0,10.0,IND 33,0.0,3.0,Jahmyr Gibbs right tackle for 2 yards (tackle by DeForest Buckner and Grover Stewart),2.84,2.41,12.0,2024,173
2.0,14:18,3.0,8.0,IND 31,0.0,3.0,Jahmyr Gibbs up the middle for 17 yards (tackle by Nick Cross and Samuel Womack),2.41,4.65,12.0,2024,173
2.0,13:36,1.0,10.0,IND 14,0.0,3.0,Jahmyr Gibbs up the middle for 3 yards (tackle by Grover Stewart and Nick Cross),4.65,4.52,12.0,2024,173
2.0,13:01,2.0,7.0,IND 11,0.0,3.0,Jared Goff pass complete short right to Amon-Ra St. Brown for 8 yards (tackle by E.J. Speed),4.52,6.51,12.0,2024,173
2.0,12:35,1.0,3.0,IND 3,0.0,3.0,"Jahmyr Gibbs right tackle for no gain (tackle by Samuel Womack and Grover Stewart). Penalty on Jaylon Jones: Unnecessary Roughness / Defense, 2 yards (accepted)",6.51,6.97,12.0,2024,173
2.0,12:11,1.0,1.0,IND 1,6.0,3.0,"Jahmyr Gibbs left end for 1 yard, touchdown",6.97,7.0,12.0,2024,173
2.0,12:07,,,IND 15,7.0,3.0,Jake Bates kicks extra point good,0.0,0.0,12.0,2024,173
2.0,12:07,,,DET 35,7.0,3.0,"Jake Bates kicks off 66 yards, returned by Tyler Goodson for 25 yards (tackle by Zeke Turner)",0.0,0.54,12.0,2024,173
2.0,12:02,1.0,10.0,IND 24,7.0,3.0,Jonathan Taylor up the middle for 4 yards (tackle by Ben Niemann and Jack Campbell),0.54,0.54,12.0,2024,173
2.0,11:28,2.0,6.0,IND 28,7.0,3.0,Anthony Richardson left tackle for 3 yards (tackle by Malcolm Rodriguez),0.54,0.23,12.0,2024,173
2.0,10:47,3.0,3.0,IND 31,7.0,3.0,Anthony Richardson pass complete short left to Adonai Mitchell for 10 yards (tackle by Kindle Vildor),0.23,1.66,12.0,2024,173
2.0,10:23,1.0,10.0,IND 41,7.0,3.0,Anthony Richardson pass complete short left to Michael Pittman for 9 yards (tackle by Jack Campbell and Kindle Vildor),1.66,2.34,12.0,2024,173
2.0,9:49,2.0,1.0,IND 50,7.0,3.0,Anthony Richardson pass complete deep left to Alec Pierce for 39 yards (tackle by Kindle Vildor),2.34,4.84,12.0,2024,173
2.0,9:01,1.0,10.0,DET 11,7.0,3.0,Jonathan Taylor up the middle for no gain (tackle by Malcolm Rodriguez),4.84,4.14,12.0,2024,173
2.0,8:26,2.0,10.0,DET 11,7.0,3.0,Anthony Richardson pass incomplete short middle intended for Andrew Ogletree,4.14,3.13,12.0,2024,173
2.0,8:23,3.0,10.0,DET 11,7.0,3.0,Anthony Richardson pass incomplete short left intended for Josh Downs,3.13,2.7,12.0,2024,173
2.0,8:19,4.0,10.0,DET 11,7.0,6.0,Matt Gay 29 yard field goal good,2.7,3.0,12.0,2024,173
2.0,8:16,,,IND 35,7.0,6.0,"Matt Gay kicks off 65 yards, touchback.",0.0,0.94,12.0,2024,173
2.0,8:16,1.0,10.0,DET 30,7.0,6.0,David Montgomery right guard for 8 yards (tackle by E.J. Speed),0.94,1.47,12.0,2024,173
2.0,7:45,2.0,2.0,DET 38,7.0,6.0,Jared Goff pass complete short middle to Tim Patrick for 10 yards (tackle by Samuel Womack and Zaire Franklin),1.47,2.13,12.0,2024,173
2.0,7:05,1.0,10.0,DET 48,7.0,6.0,Jared Goff pass complete short right to Brock Wright for 8 yards (tackle by Zaire Franklin),2.13,2.66,12.0,2024,173
2.0,6:27,2.0,2.0,IND 44,7.0,6.0,Jared Goff pass complete short right to Jameson Williams for 21 yards (tackle by E.J. Speed and Nick Cross),2.66,4.04,12.0,2024,173
2.0,5:42,1.0,10.0,IND 23,7.0,6.0,David Montgomery right guard for 3 yards (tackle by DeForest Buckner and Grover Stewart),4.04,3.9,12.0,2024,173
2.0,5:05,2.0,7.0,IND 20,7.0,6.0,Jahmyr Gibbs left tackle for 1 yard (tackle by Kwity Paye),3.9,3.34,12.0,2024,173
2.0,4:24,3.0,6.0,IND 19,7.0,6.0,David Montgomery right tackle for 13 yards (tackle by Nick Cross),3.34,5.83,12.0,2024,173
2.0,3:45,1.0,6.0,IND 6,7.0,6.0,Jared Goff pass incomplete short left intended for Sam LaPorta,5.83,4.95,12.0,2024,173
2.0,3:40,2.0,6.0,IND 6,13.0,6.0,"David Montgomery left tackle for 6 yards, touchdown",4.95,7.0,12.0,2024,173
2.0,3:34,,,IND 15,14.0,6.0,Jake Bates kicks extra point good,0.0,0.0,12.0,2024,173
2.0,3:34,,,DET 35,14.0,6.0,"Jake Bates kicks off 65 yards, touchback.",0.0,0.94,12.0,2024,173
2.0,3:34,1.0,10.0,IND 30,14.0,6.0,"Jonathan Taylor left tackle for no gain (tackle by Kerby Joseph). Penalty on Dalton Tucker: Offensive Holding, 10 yards (accepted) (no play)",0.94,0.28,12.0,2024,173
2.0,3:10,1.0,20.0,IND 20,14.0,6.0,Anthony Richardson pass complete short right to Michael Pittman for 30 yards (tackle by Carlton Davis and Jack Campbell),0.28,2.26,12.0,2024,173
2.0,2:24,1.0,10.0,DET 50,14.0,6.0,Jonathan Taylor left end for no gain (tackle by Josh Paschal),2.26,1.71,12.0,2024,173
2.0,2:00,2.0,10.0,DET 50,14.0,6.0,Anthony Richardson pass incomplete deep right intended for Alec Pierce,1.71,1.03,12.0,2024,173
2.0,1:55,3.0,10.0,DET 50,14.0,6.0,Anthony Richardson pass incomplete short left intended for Adonai Mitchell,1.03,-0.06,12.0,2024,173
2.0,1:52,4.0,10.0,DET 50,14.0,6.0,"Rigoberto Sanchez punts 40 yards, fair catch by Kalif Raymond at DET-10",-0.06,0.38,12.0,2024,173
2.0,1:45,1.0,10.0,DET 10,14.0,6.0,Jared Goff pass complete short middle to Jameson Williams for 8 yards (tackle by E.J. Speed),-0.38,0.07,12.0,2024,173
2.0,1:16,2.0,2.0,DET 18,14.0,6.0,Jahmyr Gibbs up the middle for 6 yards (tackle by Nick Cross and Kenny Moore),0.07,0.54,12.0,2024,173
2.0,0:55,1.0,10.0,DET 24,14.0,6.0,Jared Goff sacked by Zaire Franklin for -1 yards,0.54,-0.14,12.0,2024,173
2.0,0:46,,,,,,Timeout #1 by Detroit Lions,,,12.0,2024,173
2.0,0:46,2.0,11.0,DET 23,14.0,6.0,Jared Goff pass complete short middle to Sam LaPorta for 5 yards (tackle by E.J. Speed),-0.14,-0.16,12.0,2024,173
2.0,0:25,3.0,6.0,DET 28,14.0,6.0,Jared Goff pass incomplete deep right intended for Kalif Raymond (defended by Samuel Womack),-0.16,-1.5,12.0,2024,173
2.0,0:20,4.0,6.0,DET 28,14.0,6.0,"Penalty on Emmanuel Moseley: False Start, 5 yards (accepted) (no play)",-1.5,-1.83,12.0,2024,173
2.0,0:20,4.0,11.0,DET 23,14.0,6.0,"Jack Fox punts 58 yards, fair catch by Josh Downs at IND-19",-1.83,-0.15,12.0,2024,173
2.0,0:12,1.0,10.0,IND 19,14.0,6.0,Anthony Richardson kneels for -2 yards,0.15,-0.72,12.0,2024,173
3.0,15:00,,,IND 35,14.0,6.0,"Matt Gay kicks off 65 yards, touchback.",0.0,0.94,12.0,2024,173
3.0,15:00,1.0,10.0,DET 30,14.0,6.0,Jahmyr Gibbs left end for -2 yards (tackle by Dayo Odeyingbo and Grant Stuard),0.94,0.12,12.0,2024,173
3.0,14:24,2.0,12.0,DET 28,14.0,6.0,Jahmyr Gibbs left tackle for 5 yards (tackle by Kwity Paye),0.12,0.1,12.0,2024,173
3.0,13:46,3.0,7.0,DET 33,14.0,6.0,Jared Goff pass complete short right to Jahmyr Gibbs for 8 yards (tackle by Julian Blackmon),0.1,1.66,12.0,2024,173
3.0,13:10,1.0,10.0,DET 41,14.0,6.0,Jared Goff pass complete short middle to David Montgomery for 16 yards (tackle by Nick Cross and Zaire Franklin),1.66,2.72,12.0,2024,173
3.0,12:30,1.0,10.0,IND 43,14.0,6.0,Jared Goff pass complete short left to David Montgomery for 6 yards (tackle by Zaire Franklin),2.72,2.99,12.0,2024,173
3.0,11:53,2.0,4.0,IND 37,14.0,6.0,Jared Goff pass incomplete deep left intended for Jameson Williams (defended by Julian Blackmon),2.99,2.28,12.0,2024,173
3.0,11:47,3.0,4.0,IND 37,14.0,6.0,"Jared Goff pass complete short middle to Tim Patrick for 14 yards (tackle by Julian Blackmon). Penalty on Raekwon Davis: Illegal Use of Hands / Defense, 5 yards (declined)",2.28,4.04,12.0,2024,173
3.0,11:19,1.0,10.0,IND 23,14.0,6.0,Jared Goff pass complete short right to Amon-Ra St. Brown for 8 yards (tackle by Laiatu Latu),4.04,4.75,12.0,2024,173
3.0,10:42,2.0,2.0,IND 15,14.0,6.0,Jared Goff pass incomplete short right intended for Sam LaPorta,4.75,4.05,12.0,2024,173
3.0,10:37,3.0,2.0,IND 15,14.0,6.0,Jared Goff scrambles up the middle for 1 yard (tackle by Zaire Franklin),4.05,2.66,12.0,2024,173
3.0,9:58,4.0,1.0,IND 14,14.0,6.0,David Montgomery up the middle for -2 yards (tackle by Dayo Odeyingbo and Grant Stuard),2.66,0.14,12.0,2024,173
3.0,9:53,1.0,10.0,IND 16,14.0,6.0,"Anthony Richardson pass complete short middle to Josh Downs for no gain (tackle by David Long). Penalty on Quenton Nelson: Illegal Use of Hands / Offense, 8 yards (accepted) (no play)",-0.14,-0.68,12.0,2024,173
3.0,9:41,1.0,18.0,IND 8,14.0,6.0,Anthony Richardson pass complete short middle to Michael Pittman for 24 yards (tackle by Kerby Joseph),-0.68,1.07,12.0,2024,173
3.0,9:08,1.0,10.0,IND 32,14.0,6.0,Anthony Richardson pass incomplete short left intended for Kylen Granson,1.07,0.53,12.0,2024,173
3.0,9:05,2.0,10.0,IND 32,14.0,6.0,"Anthony Richardson pass complete deep right to Josh Downs for no gain (tackle by Kerby Joseph). Penalty on Alec Pierce: Offensive Pass Interference, 10 yards (accepted) (no play)",0.53,-0.82,12.0,2024,173
3.0,8:43,2.0,20.0,IND 22,14.0,6.0,Anthony Richardson pass incomplete short right intended for Josh Downs,-0.82,-1.48,12.0,2024,173
3.0,8:37,3.0,20.0,IND 22,14.0,6.0,Jonathan Taylor up the middle for 14 yards (tackle by Kerby Joseph and Brian Branch),-1.48,-0.98,12.0,2024,173
3.0,7:54,4.0,6.0,IND 36,14.0,6.0,"Rigoberto Sanchez punts 57 yards, returned by Kalif Raymond for 14 yards (tackle by Tyler Goodson)",-0.98,-0.34,12.0,2024,173
3.0,7:41,1.0,10.0,DET 21,14.0,6.0,Jared Goff pass complete short left to Jameson Williams for 15 yards (tackle by Nick Cross),0.34,1.33,12.0,2024,173
3.0,7:00,1.0,10.0,DET 36,14.0,6.0,Jared Goff pass complete short left to Amon-Ra St. Brown for 12 yards,1.33,2.13,12.0,2024,173
3.0,6:21,1.0,10.0,DET 48,14.0,6.0,"Jared Goff sacked by Laiatu Latu for -6 yards. Jared Goff fumbles (forced by Laiatu Latu), recovered by David Montgomery at DET-45",2.13,1.18,12.0,2024,173
3.0,5:53,2.0,13.0,DET 45,14.0,6.0,Jared Goff pass complete short right to Jahmyr Gibbs for 4 yards (tackle by Nick Cross),1.18,1.02,12.0,2024,173
3.0,5:17,3.0,9.0,DET 49,14.0,6.0,Jared Goff pass complete short left to Amon-Ra St. Brown for 12 yards (tackle by E.J. Speed and Julian Blackmon),1.02,2.98,12.0,2024,173
3.0,4:37,1.0,10.0,IND 39,14.0,6.0,Jared Goff pass complete short right to David Montgomery for 14 yards (tackle by Laiatu Latu and Grant Stuard),2.98,3.91,12.0,2024,173
3.0,3:54,1.0,10.0,IND 25,14.0,6.0,Jahmyr Gibbs up the middle for 16 yards (tackle by Nick Cross and Julian Blackmon),3.91,5.14,12.0,2024,173
3.0,3:15,1.0,9.0,IND 9,14.0,6.0,Jared Goff pass incomplete short right,5.14,4.38,12.0,2024,173
3.0,3:10,2.0,9.0,IND 9,14.0,6.0,Jared Goff pass complete short left to Tim Patrick for 4 yards (tackle by Jaylon Jones and E.J. Speed),4.38,4.26,12.0,2024,173
3.0,2:24,3.0,5.0,IND 5,20.0,6.0,"Jahmyr Gibbs right tackle for 5 yards, touchdown",4.26,7.0,12.0,2024,173
3.0,2:19,,,IND 15,20.0,6.0,"Penalty on Jahmyr Gibbs: Taunting / Offense, 15 yards (accepted)",0.0,0.0,12.0,2024,173
3.0,2:19,,,IND 30,21.0,6.0,Jake Bates kicks extra point good,0.0,0.0,12.0,2024,173
3.0,2:19,,,DET 35,21.0,6.0,"Jake Bates kicks off 65 yards, touchback.",0.0,0.94,12.0,2024,173
3.0,2:19,1.0,10.0,IND 30,21.0,6.0,Anthony Richardson left end for 17 yards (tackle by Malcolm Rodriguez),0.94,2.06,12.0,2024,173
3.0,1:33,1.0,10.0,IND 47,21.0,6.0,"Jonathan Taylor for -7 yards. Jonathan Taylor fumbles, recovered by Anthony Richardson at IND-39 Anthony Richardson pass incomplete deep middle intended for Michael Pittman (defended by Jack Campbell)",2.06,1.52,12.0,2024,173
3.0,1:27,2.0,10.0,IND 47,21.0,6.0,Anthony Richardson pass incomplete short middle intended for Kylen Granson,1.52,0.83,12.0,2024,173
3.0,1:23,3.0,10.0,IND 47,21.0,6.0,"Anthony Richardson up the middle for -4 yards. Anthony Richardson fumbles (forced by Alim McNeill), recovered by Anthony Richardson at IND-49",0.83,-0.13,12.0,2024,173
3.0,0:40,4.0,8.0,IND 49,21.0,6.0,"Anthony Richardson pass complete deep right to Josh Downs for no gain (tackle by Amik Robertson). Penalty on Braden Smith: Offensive Holding, 10 yards (accepted) (no play)",-0.13,-0.78,12.0,2024,173
3.0,0:19,4.0,18.0,IND 39,21.0,6.0,"Rigoberto Sanchez punts 49 yards, fair catch by Amon-Ra St. Brown at DET-12",-0.78,0.35,12.0,2024,173
3.0,0:12,1.0,10.0,DET 12,21.0,6.0,Jahmyr Gibbs left tackle for 1 yard (tackle by E.J. Speed and DeForest Buckner),-0.35,-0.7,12.0,2024,173
4.0,15:00,2.0,9.0,DET 13,21.0,6.0,Jared Goff pass complete short right to Brock Wright for 16 yards (tackle by Zaire Franklin and Nick Cross),-0.7,0.87,12.0,2024,173
4.0,14:19,1.0,10.0,DET 29,21.0,6.0,Jahmyr Gibbs left tackle for 2 yards (tackle by DeForest Buckner and Jaylon Jones),0.87,0.6,12.0,2024,173
4.0,13:43,2.0,8.0,DET 31,21.0,6.0,Jared Goff pass incomplete short right,0.6,-0.1,12.0,2024,173
4.0,13:37,3.0,8.0,DET 31,21.0,6.0,Jared Goff pass incomplete short middle intended for Jameson Williams,-0.1,-1.31,12.0,2024,173
4.0,13:34,4.0,8.0,DET 31,21.0,6.0,"Jack Fox punts 60 yards, returned by Josh Downs for 6 yards (tackle by Jack Campbell). Penalty on Ronnie Harrison: Running Into the Kicker, 5 yards (declined)",-1.31,0.22,12.0,2024,173
4.0,13:21,1.0,10.0,IND 15,21.0,6.0,"Penalty on Quenton Nelson: False Start, 5 yards (accepted) (no play)",-0.22,-0.57,12.0,2024,173
4.0,13:21,1.0,15.0,IND 10,21.0,6.0,Anthony Richardson pass incomplete deep left intended for Ashton Dulin,-0.57,-1.15,12.0,2024,173
4.0,13:16,2.0,15.0,IND 10,21.0,6.0,Anthony Richardson pass incomplete short right,-1.15,-2.01,12.0,2024,173
4.0,13:10,3.0,15.0,IND 10,21.0,6.0,Anthony Richardson pass incomplete deep middle intended for Alec Pierce (defended by Jack Campbell),-2.01,-2.49,12.0,2024,173
4.0,13:04,4.0,15.0,IND 10,21.0,6.0,"Rigoberto Sanchez punts 52 yards, returned by Amon-Ra St. Brown for 7 yards (tackle by Luke Rhodes)",-2.49,-1.93,12.0,2024,173
4.0,12:53,1.0,10.0,DET 45,21.0,6.0,Jared Goff pass complete short right to Jahmyr Gibbs for -3 yards (tackle by Nick Cross),1.93,0.98,12.0,2024,173
4.0,12:17,2.0,13.0,DET 42,21.0,6.0,Jahmyr Gibbs right tackle for 5 yards (tackle by Nick Cross and Taven Bryan),0.98,0.96,12.0,2024,173
4.0,11:35,3.0,8.0,DET 47,21.0,6.0,Jared Goff pass incomplete short right,0.96,-0.26,12.0,2024,173
4.0,11:29,4.0,8.0,DET 47,21.0,6.0,"Jack Fox punts 40 yards, fair catch by Josh Downs at IND-13",-0.26,0.32,12.0,2024,173
4.0,11:22,1.0,10.0,IND 13,21.0,6.0,Anthony Richardson pass complete short middle to Josh Downs for 7 yards (tackle by Malcolm Rodriguez),-0.32,0.22,12.0,2024,173
4.0,11:05,2.0,3.0,IND 20,21.0,6.0,Anthony Richardson right guard for -1 yards (tackle by D.J. Reader),0.22,-0.71,12.0,2024,173
4.0,10:24,3.0,4.0,IND 19,21.0,6.0,"Anthony Richardson pass incomplete deep right. Penalty on Anthony Richardson: Intentional Grounding, 9 yards (accepted)",-0.71,-2.49,12.0,2024,173
4.0,10:18,4.0,13.0,IND 10,21.0,6.0,"Rigoberto Sanchez punts 57 yards, returned by Amon-Ra St. Brown for 8 yards (tackle by Cameron McGrone). Penalty on Kylen Granson: Ineligible Downfield Kick, 5 yards (accepted)",-2.49,-1.99,12.0,2024,173
4.0,10:08,1.0,10.0,DET 46,21.0,6.0,"Penalty on Jahmyr Gibbs: False Start, 5 yards (accepted) (no play)",1.99,1.66,12.0,2024,173
4.0,10:08,1.0,15.0,DET 41,21.0,6.0,Jahmyr Gibbs left guard for 6 yards (tackle by E.J. Speed),1.66,1.59,12.0,2024,173
4.0,9:24,2.0,9.0,DET 47,21.0,6.0,Jared Goff pass complete short right to Amon-Ra St. Brown for 7 yards (tackle by Samuel Womack and Nick Cross),1.59,1.82,12.0,2024,173
4.0,8:39,3.0,2.0,IND 46,21.0,6.0,Jahmyr Gibbs up the middle for 3 yards (tackle by Laiatu Latu and Dayo Odeyingbo),1.82,2.72,12.0,2024,173
4.0,7:54,1.0,10.0,IND 43,21.0,6.0,Jared Goff pass incomplete deep left intended for Amon-Ra St. Brown,2.72,2.18,12.0,2024,173
4.0,7:49,2.0,10.0,IND 43,21.0,6.0,Jahmyr Gibbs left end for -4 yards (tackle by Nick Cross),2.18,0.96,12.0,2024,173
4.0,7:07,3.0,14.0,IND 47,21.0,6.0,Jared Goff pass complete short right to Sam LaPorta for 9 yards (tackle by Zaire Franklin),0.96,0.72,12.0,2024,173
4.0,6:25,4.0,5.0,IND 38,24.0,6.0,Jake Bates 56 yard field goal good,0.72,3.0,12.0,2024,173
4.0,6:21,,,DET 35,24.0,6.0,"Jake Bates kicks off 65 yards, touchback.",0.0,0.94,12.0,2024,173
4.0,6:21,1.0,10.0,IND 30,24.0,6.0,Anthony Richardson scrambles left end for 3 yards (tackle by Malcolm Rodriguez),0.94,0.8,12.0,2024,173
4.0,5:59,2.0,7.0,IND 33,24.0,6.0,"Anthony Richardson pass complete deep left to Michael Pittman for 22 yards (tackle by Brian Branch). Penalty on Brian Branch: Personal Foul / Defense, 15 yards (accepted)",0.8,3.58,12.0,2024,173
4.0,5:42,1.0,10.0,DET 30,24.0,6.0,Anthony Richardson pass incomplete deep left intended for Josh Downs,3.58,3.03,12.0,2024,173
4.0,5:37,2.0,10.0,DET 30,24.0,6.0,Anthony Richardson pass incomplete short right,3.03,2.34,12.0,2024,173
4.0,5:29,3.0,10.0,DET 30,24.0,6.0,Anthony Richardson up the middle for 4 yards (tackle by Jack Campbell),2.34,1.76,12.0,2024,173
4.0,4:48,4.0,6.0,DET 26,24.0,6.0,Anthony Richardson pass complete short right to Michael Pittman for 2 yards (tackle by Amik Robertson),1.76,-0.54,12.0,2024,173
4.0,4:42,1.0,10.0,DET 24,24.0,6.0,Jahmyr Gibbs up the middle for 3 yards (tackle by Taven Bryan and Grover Stewart),0.54,0.4,12.0,2024,173
4.0,3:55,2.0,7.0,DET 27,24.0,6.0,"Penalty on Graham Glasgow: False Start, 5 yards (accepted) (no play)",0.4,-0.27,12.0,2024,173
4.0,3:55,2.0,12.0,DET 22,24.0,6.0,Jared Goff pass complete deep left to Jameson Williams for 16 yards (tackle by Jaylon Jones),-0.27,1.47,12.0,2024,173
4.0,3:11,1.0,10.0,DET 38,24.0,6.0,Jahmyr Gibbs up the middle for 15 yards (tackle by Samuel Womack),1.47,2.46,12.0,2024,173
4.0,2:22,1.0,10.0,IND 47,24.0,6.0,Jahmyr Gibbs up the middle for 5 yards (tackle by Kwity Paye),2.46,2.59,12.0,2024,173
4.0,2:00,2.0,5.0,IND 42,24.0,6.0,Jameson Williams right end for 4 yards (tackle by Kenny Moore and Zaire Franklin),2.59,2.41,12.0,2024,173
4.0,1:16,3.0,1.0,IND 38,24.0,6.0,Craig Reynolds up the middle for 6 yards (tackle by Kenny Moore),2.41,3.45,12.0,2024,173
4.0,0:38,1.0,10.0,IND 32,24.0,6.0,Jared Goff kneels for -1 yards,3.45,2.77,12.0,2024,173
