Quarter,Time,Down,ToGo,Location,DEN,LVR,Detail,EPB,EPA,week,year,game_id
2.0,0:02,3.0,5.0,DEN 16,9.0,13.0,Daniel Carlson 34 yard field goal good,3.63,3.0,12.0,2024,175
3.0,15:00,,,LVR 35,9.0,13.0,"Daniel Carlson kicks off 65 yards, touchback.",0.0,0.94,12.0,2024,175
3.0,15:00,1.0,10.0,DEN 30,9.0,13.0,Jaleel McLaughlin right tackle for -4 yards (tackle by John Jenkins),0.94,-0.15,12.0,2024,175
3.0,14:20,2.0,14.0,DEN 26,9.0,13.0,Bo Nix pass complete short right to Courtland Sutton for 6 yards (tackle by Jack Jones),-0.15,-0.03,12.0,2024,175
3.0,13:40,3.0,8.0,DEN 32,9.0,13.0,Bo Nix pass incomplete short left intended for Marvin Mims (defended by Charles Snowden),-0.03,-1.24,12.0,2024,175
3.0,13:33,4.0,8.0,DEN 32,9.0,13.0,"Riley Dixon punts 52 yards, returned by DJ Turner for 6 yards (tackle by Nate Adkins)",-1.24,-0.41,12.0,2024,175
3.0,13:22,1.0,10.0,LVR 22,9.0,13.0,Ameer Abdullah left end for 3 yards (tackle by P.J. Locke),0.41,0.27,12.0,2024,175
3.0,12:55,2.0,7.0,LVR 25,9.0,13.0,Gardner Minshew pass complete short middle to Jakobi Meyers for 13 yards (tackle by P.J. Locke),0.27,1.47,12.0,2024,175
3.0,12:30,1.0,10.0,LVR 38,9.0,13.0,Gardner Minshew sacked by Malcolm Roach for -4 yards,1.47,0.38,12.0,2024,175
3.0,11:45,2.0,14.0,LVR 34,9.0,13.0,Gardner Minshew pass deep right intended for Jakobi Meyers is intercepted by Brandon Jones at DEN-45 and returned for 37 yards (tackle by Tre Tucker),0.38,-4.37,12.0,2024,175
3.0,11:33,1.0,10.0,LVR 18,9.0,13.0,Javonte Williams left guard for no gain (tackle by Tyree Wilson),4.37,3.8,12.0,2024,175
3.0,10:53,2.0,10.0,LVR 18,15.0,13.0,"Bo Nix pass complete deep right to Courtland Sutton for 18 yards, touchdown",3.8,7.0,12.0,2024,175
3.0,10:49,,,LVR 15,16.0,13.0,Wil Lutz kicks extra point good,0.0,0.0,12.0,2024,175
3.0,10:49,,,DEN 35,16.0,13.0,"Wil Lutz kicks off 65 yards, touchback.",0.0,0.94,12.0,2024,175
3.0,10:49,1.0,10.0,LVR 30,16.0,13.0,Gardner Minshew pass complete short right to Jakobi Meyers for 6 yards (tackle by Levi Wallace and Jonathon Cooper),0.94,1.2,12.0,2024,175
3.0,10:14,2.0,4.0,LVR 36,16.0,13.0,Sincere McCormick up the middle for 19 yards (tackle by P.J. Locke and Patrick Surtain),1.2,2.59,12.0,2024,175
3.0,9:31,1.0,10.0,DEN 45,16.0,13.0,Sincere McCormick up the middle for -3 yards (tackle by Nik Bonitto),2.59,1.64,12.0,2024,175
3.0,8:49,2.0,13.0,DEN 48,16.0,13.0,Gardner Minshew pass complete short right to Ameer Abdullah for 5 yards (tackle by Levi Wallace and Jordan Jackson),1.64,1.62,12.0,2024,175
3.0,8:06,3.0,8.0,DEN 43,16.0,13.0,Gardner Minshew pass incomplete short middle intended for Brock Bowers (defended by Brandon Jones),1.62,0.4,12.0,2024,175
3.0,8:00,4.0,8.0,DEN 43,16.0,13.0,AJ Cole punts 42 yards downed by DJ Turner,0.4,0.38,12.0,2024,175
3.0,7:52,1.0,10.0,DEN 1,16.0,13.0,Bo Nix pass complete short right to Courtland Sutton for 8 yards (tackle by Jack Jones),-0.38,-0.2,12.0,2024,175
3.0,7:16,2.0,2.0,DEN 9,16.0,13.0,Jaleel McLaughlin up the middle for 1 yard (tackle by Tre'von Moehrig),-0.2,-0.37,12.0,2024,175
3.0,6:57,3.0,1.0,DEN 10,16.0,13.0,Bo Nix pass complete short right to Courtland Sutton for 19 yards (tackle by Isaiah Pola-Mao),-0.37,0.87,12.0,2024,175
3.0,6:30,1.0,10.0,DEN 29,16.0,13.0,Bo Nix pass complete short left to Lil'Jordan Humphrey for 2 yards (tackle by Decamerion Richardson),0.87,0.6,12.0,2024,175
3.0,6:04,2.0,8.0,DEN 31,16.0,13.0,Jaleel McLaughlin up the middle for 3 yards (tackle by Janarius Robinson and Darnay Holmes),0.6,0.3,12.0,2024,175
3.0,5:24,3.0,5.0,DEN 34,16.0,13.0,Bo Nix pass complete short left to Courtland Sutton for 9 yards (tackle by Decamerion Richardson),0.3,1.8,12.0,2024,175
3.0,4:44,1.0,10.0,DEN 43,16.0,13.0,Javonte Williams left guard for 1 yard (tackle by Divine Deablo),1.8,1.39,12.0,2024,175
3.0,4:04,2.0,9.0,DEN 44,16.0,13.0,Bo Nix pass complete short right to Lil'Jordan Humphrey for 2 yards (tackle by Maxx Crosby),1.39,0.96,12.0,2024,175
3.0,3:19,3.0,7.0,DEN 46,16.0,13.0,Bo Nix pass incomplete deep right,0.96,-0.32,12.0,2024,175
3.0,3:10,4.0,7.0,DEN 46,16.0,13.0,Riley Dixon punts 43 yards,-0.32,0.37,12.0,2024,175
3.0,3:02,1.0,10.0,LVR 11,16.0,13.0,Gardner Minshew scrambles right end for 5 yards (tackle by D.J. Jones),-0.37,-0.3,12.0,2024,175
3.0,2:30,2.0,5.0,LVR 16,16.0,13.0,Sincere McCormick up the middle for 1 yard (tackle by D.J. Jones and Dondrea Tillman),-0.3,-0.72,12.0,2024,175
3.0,1:46,3.0,4.0,LVR 17,16.0,13.0,Gardner Minshew pass incomplete short right intended for DJ Turner,-0.72,-2.32,12.0,2024,175
3.0,1:38,4.0,4.0,LVR 17,16.0,13.0,"AJ Cole punts 57 yards, returned by Marvin Mims for 22 yards (tackle by Tommy Eichenberg)",-2.32,-2.13,12.0,2024,175
3.0,1:27,1.0,10.0,DEN 48,16.0,13.0,Bo Nix pass incomplete short left intended for Marvin Mims,2.13,1.58,12.0,2024,175
3.0,1:23,2.0,10.0,DEN 48,16.0,13.0,"Bo Nix pass incomplete short middle intended for Devaughn Vele (defended by Darnay Holmes). Penalty on Luke Wattenberg: Ineligible Downfield Pass, 5 yards (declined)",1.58,0.89,12.0,2024,175
3.0,1:18,3.0,10.0,DEN 48,16.0,13.0,Bo Nix pass complete deep left to Courtland Sutton for 18 yards (tackle by Decamerion Richardson),0.89,3.31,12.0,2024,175
3.0,0:32,1.0,10.0,LVR 34,16.0,13.0,Marvin Mims left end for 3 yards (tackle by Tre'von Moehrig),3.31,3.18,12.0,2024,175
4.0,15:00,2.0,7.0,LVR 31,16.0,13.0,Bo Nix pass complete short left to Javonte Williams for 5 yards (tackle by Tre'von Moehrig),3.18,3.14,12.0,2024,175
4.0,14:11,,,,,,Timeout #1 by Denver Broncos,,,12.0,2024,175
4.0,14:11,3.0,2.0,LVR 26,16.0,13.0,Bo Nix pass complete short right to Devaughn Vele for 5 yards,3.14,4.17,12.0,2024,175
4.0,13:35,1.0,10.0,LVR 21,16.0,13.0,Javonte Williams left tackle for -2 yards (tackle by Maxx Crosby),4.17,3.36,12.0,2024,175
4.0,12:59,2.0,12.0,LVR 23,16.0,13.0,Bo Nix pass complete short right to Marvin Mims for -3 yards (tackle by Maxx Crosby),3.36,2.28,12.0,2024,175
4.0,12:15,3.0,15.0,LVR 26,16.0,13.0,Bo Nix pass incomplete short left intended for Jaleel McLaughlin (defended by Tre'von Moehrig),2.28,1.74,12.0,2024,175
4.0,12:10,4.0,15.0,LVR 26,19.0,13.0,Wil Lutz 45 yard field goal good,1.74,3.0,12.0,2024,175
4.0,12:05,,,DEN 35,19.0,13.0,"Wil Lutz kicks off 65 yards, touchback.",0.0,0.94,12.0,2024,175
4.0,12:05,1.0,10.0,LVR 30,19.0,13.0,Gardner Minshew pass complete short left to Tre Tucker for 10 yards (tackle by Ja'Quan McMillian),0.94,1.6,12.0,2024,175
4.0,11:27,1.0,10.0,LVR 40,19.0,13.0,Ameer Abdullah up the middle for 3 yards (tackle by Cody Barton),1.6,1.46,12.0,2024,175
4.0,10:47,2.0,7.0,LVR 43,19.0,13.0,Gardner Minshew pass incomplete short right,1.46,0.76,12.0,2024,175
4.0,10:41,3.0,7.0,LVR 43,19.0,13.0,"Gardner Minshew pass incomplete deep right intended for Jakobi Meyers. Penalty on Ja'Quan McMillian: Defensive Pass Interference, 22 yards (accepted) (no play)",0.76,3.25,12.0,2024,175
4.0,10:34,1.0,10.0,DEN 35,19.0,13.0,Gardner Minshew sacked by and Eyioma Uwazurike for -3 yards and D.J. Jones for -3 yards,3.25,2.3,12.0,2024,175
4.0,9:51,2.0,13.0,DEN 38,19.0,13.0,"Gardner Minshew pass incomplete short right intended for Ameer Abdullah. Penalty on Jakobi Meyers: Offensive Pass Interference, 10 yards (accepted) (no play)",2.3,0.95,12.0,2024,175
4.0,9:51,2.0,23.0,DEN 48,19.0,13.0,Gardner Minshew pass incomplete short left intended for Brock Bowers,0.95,0.3,12.0,2024,175
4.0,9:46,3.0,23.0,DEN 48,19.0,13.0,Gardner Minshew pass complete short middle to Brock Bowers for 13 yards (tackle by Brandon Jones),0.3,0.97,12.0,2024,175
4.0,9:04,4.0,10.0,DEN 35,19.0,16.0,Daniel Carlson 53 yard field goal good,0.97,3.0,12.0,2024,175
4.0,8:59,,,LVR 35,19.0,16.0,"Daniel Carlson kicks off 65 yards, touchback.",0.0,0.94,12.0,2024,175
4.0,8:59,1.0,10.0,DEN 30,19.0,16.0,Jaleel McLaughlin left end for 8 yards (tackle by Decamerion Richardson and Thomas Harper),0.94,1.47,12.0,2024,175
4.0,8:30,2.0,2.0,DEN 38,19.0,16.0,Jaleel McLaughlin left guard for 7 yards (tackle by John Jenkins and Robert Spillane),1.47,1.93,12.0,2024,175
4.0,7:44,,,,,,Timeout #2 by Denver Broncos,,,12.0,2024,175
4.0,7:44,1.0,10.0,DEN 45,19.0,16.0,Bo Nix pass complete short right to Devaughn Vele for 11 yards (tackle by Jack Jones),1.93,2.65,12.0,2024,175
4.0,7:04,1.0,10.0,LVR 44,19.0,16.0,Bo Nix pass complete short left to Troy Franklin for 5 yards (tackle by Darnay Holmes and Decamerion Richardson),2.65,2.78,12.0,2024,175
4.0,6:24,2.0,5.0,LVR 39,19.0,16.0,Bo Nix pass incomplete short left intended for Devaughn Vele,2.78,2.08,12.0,2024,175
4.0,6:19,3.0,5.0,LVR 39,19.0,16.0,Bo Nix pass complete short left to Marvin Mims for 37 yards (tackle by Isaiah Pola-Mao),2.08,6.74,12.0,2024,175
4.0,5:34,,,,,,Timeout #3 by Denver Broncos,,,12.0,2024,175
4.0,5:34,1.0,2.0,LVR 2,25.0,16.0,"Bo Nix pass complete short middle to Courtland Sutton for 2 yards, touchdown",6.74,7.0,12.0,2024,175
4.0,5:30,,,LVR 15,26.0,16.0,Wil Lutz kicks extra point good,0.0,0.0,12.0,2024,175
4.0,5:30,,,DEN 35,26.0,16.0,"Wil Lutz kicks off 65 yards, touchback.",0.0,0.94,12.0,2024,175
4.0,5:30,1.0,10.0,LVR 30,26.0,16.0,Gardner Minshew pass complete short right to Jakobi Meyers for 6 yards (tackle by Ja'Quan McMillian),0.94,1.2,12.0,2024,175
4.0,5:09,2.0,4.0,LVR 36,26.0,16.0,Gardner Minshew pass complete short right to Jakobi Meyers for 7 yards (tackle by Patrick Surtain),1.2,1.8,12.0,2024,175
4.0,4:51,1.0,10.0,LVR 43,26.0,16.0,Gardner Minshew pass complete short right to Brock Bowers for 9 yards,1.8,2.47,12.0,2024,175
4.0,4:45,2.0,1.0,DEN 48,26.0,16.0,Gardner Minshew pass complete short left to DJ Turner for 4 yards (tackle by Patrick Surtain),2.47,2.65,12.0,2024,175
4.0,4:31,1.0,10.0,DEN 44,26.0,16.0,Gardner Minshew pass incomplete short left intended for Jakobi Meyers (defended by D.J. Jones),2.65,2.11,12.0,2024,175
4.0,4:25,2.0,10.0,DEN 44,26.0,16.0,"Gardner Minshew pass complete deep middle to Jakobi Meyers for 25 yards (tackle by Levi Wallace). Penalty on Justin Strnad: Illegal Use of Hands / Defense, 5 yards (declined)",2.11,4.31,12.0,2024,175
4.0,4:17,1.0,10.0,DEN 19,26.0,16.0,Gardner Minshew pass complete short middle to Jakobi Meyers for 15 yards (tackle by Ja'Quan McMillian),4.31,6.28,12.0,2024,175
4.0,3:54,1.0,4.0,DEN 4,26.0,16.0,Gardner Minshew pass incomplete short right,6.28,5.34,12.0,2024,175
4.0,3:48,2.0,4.0,DEN 4,26.0,16.0,Gardner Minshew pass incomplete short right intended for Brock Bowers (defended by Patrick Surtain),5.34,4.49,12.0,2024,175
4.0,3:45,3.0,4.0,DEN 4,26.0,16.0,Gardner Minshew pass incomplete short middle intended for Brock Bowers (defended by Justin Strnad),4.49,3.03,12.0,2024,175
4.0,3:41,4.0,4.0,DEN 4,26.0,19.0,Daniel Carlson 22 yard field goal good,3.03,3.0,12.0,2024,175
4.0,3:38,,,LVR 35,26.0,19.0,"Daniel Carlson kicks off 65 yards, touchback.",0.0,0.94,12.0,2024,175
4.0,3:38,1.0,10.0,DEN 30,26.0,19.0,Bo Nix pass incomplete deep left intended for Devaughn Vele (defended by Decamerion Richardson),0.94,0.39,12.0,2024,175
4.0,3:33,2.0,10.0,DEN 30,26.0,19.0,Bo Nix pass incomplete short right intended for Courtland Sutton,0.39,-0.3,12.0,2024,175
4.0,3:28,3.0,10.0,DEN 30,26.0,19.0,Bo Nix pass incomplete short right intended for Courtland Sutton (defended by Isaiah Pola-Mao),-0.3,-1.37,12.0,2024,175
