Quarter,Time,Down,ToGo,Location,PHI,LAR,Detail,EPB,EPA,week,year,game_id
2.0,11:48,4.0,4.0,LAR 27,3.0,7.0,"Ethan Evans punts 37 yards, fair catch by Britain Covey at PHI-36",-1.57,-1.33,12.0,2024,178
2.0,11:40,1.0,10.0,PHI 36,3.0,7.0,Saquon Barkley right end for 4 yards (tackle by Quentin Lake),1.33,1.33,12.0,2024,178
2.0,11:06,2.0,6.0,PHI 40,3.0,7.0,Saquon Barkley right guard for 3 yards (tackle by Jared Verse and Quentin Lake),1.33,1.03,12.0,2024,178
2.0,10:27,3.0,3.0,PHI 43,3.0,7.0,Jalen Hurts scrambles left end for 11 yards (tackle by Quentin Lake),1.03,2.52,12.0,2024,178
2.0,10:00,1.0,10.0,LAR 46,3.0,7.0,Kenneth Gainwell right guard for 3 yards (tackle by Braden Fiske and Kobie Turner),2.52,2.38,12.0,2024,178
2.0,9:21,2.0,7.0,LAR 43,3.0,7.0,Kenneth Gainwell up the middle for 3 yards (tackle by Kobie Turner),2.38,2.08,12.0,2024,178
2.0,8:50,3.0,4.0,LAR 40,3.0,7.0,Jalen Hurts pass complete short right to A.J. Brown for 27 yards (tackle by Kamren Curl),2.08,4.71,12.0,2024,178
2.0,8:01,1.0,10.0,LAR 13,3.0,7.0,"Jalen Hurts pass complete short left to Jahan Dotson for no gain (tackle by Christian Rozeboom). Penalty on Landon Dickerson: Ineligible Downfield Pass, 5 yards (accepted) (no play)",4.71,4.29,12.0,2024,178
2.0,7:25,1.0,15.0,LAR 18,3.0,7.0,"Jalen Hurts pass incomplete deep right intended for Dallas Goedert. Penalty on Jahan Dotson: Offensive Offside, 5 yards (declined)",4.29,3.4,12.0,2024,178
2.0,7:25,2.0,15.0,LAR 18,3.0,7.0,Jalen Hurts pass complete short right to Saquon Barkley for -1 yards (tackle by Braden Fiske),3.4,2.67,12.0,2024,178
2.0,6:52,3.0,16.0,LAR 19,3.0,7.0,"Jalen Hurts scrambles left end for 6 yards (tackle by Cobie Durant). Penalty on Dallas Goedert: Illegal Motion, 5 yards (declined)",2.67,2.57,12.0,2024,178
2.0,6:20,4.0,10.0,LAR 13,6.0,7.0,Jake Elliott 31 yard field goal good,2.57,3.0,12.0,2024,178
2.0,6:17,,,PHI 35,6.0,7.0,"Braden Mann kicks off 65 yards, touchback.",0.0,0.94,12.0,2024,178
2.0,6:17,1.0,10.0,LAR 30,6.0,7.0,Kyren Williams left end for no gain (tackle by Nakobe Dean),0.94,0.39,12.0,2024,178
2.0,5:37,2.0,10.0,LAR 30,6.0,7.0,Kyren Williams right tackle for 1 yard (tackle by Moro Ojomo),0.39,-0.16,12.0,2024,178
2.0,4:57,3.0,9.0,LAR 31,6.0,7.0,Matthew Stafford sacked by Brandon Graham for -9 yards,-0.16,-1.9,12.0,2024,178
2.0,4:24,4.0,18.0,LAR 22,6.0,7.0,"Ethan Evans punts 48 yards, returned by Britain Covey for 8 yards (tackle by Jordan Whittington)",-1.9,-1.47,12.0,2024,178
2.0,4:13,1.0,10.0,PHI 38,6.0,7.0,Saquon Barkley left tackle for 9 yards (tackle by Cobie Durant and Kamren Kinchens),1.47,2.14,12.0,2024,178
2.0,3:42,2.0,1.0,PHI 47,6.0,7.0,Jalen Hurts pass complete short right to Jahan Dotson for 4 yards (tackle by Omar Speights),2.14,2.32,12.0,2024,178
2.0,3:11,1.0,10.0,LAR 49,6.0,7.0,Saquon Barkley right guard for 8 yards (tackle by Omar Speights),2.32,2.86,12.0,2024,178
2.0,2:46,2.0,2.0,LAR 41,6.0,7.0,Saquon Barkley right tackle for 11 yards (tackle by Jared Verse),2.86,3.58,12.0,2024,178
