Quarter,Time,Down,ToGo,Location,SFO,GNB,Detail,EPB,EPA,week,year,game_id
1.0,3:38,3.0,1.0,GNB 28,0.0,7.0,Josh Jacobs right tackle for 3 yards (tackle by Deommodore Lenoir and Sam Okuayinonu),0.1,1.0,12.0,2024,177
1.0,2:59,1.0,10.0,GNB 31,0.0,7.0,Josh Jacobs left end for 8 yards (tackle by Ji'Ayir Brown),1.0,1.54,12.0,2024,177
1.0,2:31,2.0,2.0,GNB 39,0.0,7.0,Emanuel Wilson right guard for 9 yards (tackle by Malik Mustapha),1.54,2.13,12.0,2024,177
1.0,1:47,1.0,10.0,GNB 48,0.0,7.0,Emanuel Wilson right end for 19 yards (tackle by Malik Mustapha),2.13,3.38,12.0,2024,177
1.0,1:08,1.0,10.0,SFO 33,0.0,7.0,Josh Jacobs up the middle for 1 yard (tackle by Leonard Floyd),3.38,2.97,12.0,2024,177
1.0,0:24,2.0,9.0,SFO 32,0.0,7.0,Jordan Love pass incomplete short right intended for Josh Jacobs,2.97,2.28,12.0,2024,177
1.0,0:19,3.0,9.0,SFO 32,0.0,7.0,Jordan Love pass incomplete short middle,2.28,1.24,12.0,2024,177
1.0,0:16,4.0,9.0,SFO 32,0.0,10.0,Brandon McManus 51 yard field goal good,1.24,3.0,12.0,2024,177
1.0,0:11,,,GNB 35,0.0,10.0,"Brandon McManus kicks off 65 yards, touchback.",0.0,0.94,12.0,2024,177
1.0,0:11,1.0,10.0,SFO 30,0.0,10.0,"Christian McCaffrey right end for no gain (tackle by Quay Walker). Penalty on Dominick Puni: Offensive Holding, 10 yards (accepted) (no play)",0.94,0.28,12.0,2024,177
2.0,15:00,1.0,20.0,SFO 20,0.0,10.0,Brandon Allen pass complete short middle to Christian McCaffrey for 5 yards (tackle by Quay Walker),0.28,-0.28,12.0,2024,177
2.0,14:20,2.0,15.0,SFO 25,0.0,10.0,Brandon Allen pass incomplete short middle intended for Deebo Samuel (defended by Quay Walker),-0.28,-0.96,12.0,2024,177
2.0,14:16,3.0,15.0,SFO 25,0.0,10.0,Brandon Allen pass complete short left to George Kittle for 8 yards (tackle by Javon Bullard),-0.96,-1.18,12.0,2024,177
2.0,13:40,4.0,7.0,SFO 33,0.0,10.0,"Pat O'Donnell punts 45 yards, returned by Jayden Reed for 7 yards (tackle by Demetrius Flannigan-Fowles)",-1.18,-0.87,12.0,2024,177
2.0,13:29,1.0,10.0,GNB 29,0.0,10.0,Bo Melton right end for 5 yards (tackle by De'Vondre Campbell),0.87,1.0,12.0,2024,177
2.0,12:56,2.0,5.0,GNB 34,0.0,10.0,Josh Jacobs right guard for -1 yards (tackle by Malik Mustapha),1.0,0.17,12.0,2024,177
2.0,12:20,3.0,6.0,GNB 33,0.0,10.0,"Penalty on Sean Rhyan: False Start, 5 yards (accepted) (no play)",0.17,-0.49,12.0,2024,177
2.0,12:11,3.0,11.0,GNB 28,0.0,10.0,Jordan Love pass complete deep middle to Romeo Doubs for 29 yards (tackle by Isaac Yiadom),-0.49,2.72,12.0,2024,177
2.0,11:26,1.0,10.0,SFO 43,0.0,10.0,Jordan Love pass incomplete deep left intended for Romeo Doubs,2.72,2.18,12.0,2024,177
2.0,11:19,2.0,10.0,SFO 43,0.0,10.0,Josh Jacobs up the middle for 5 yards (tackle by Isaac Yiadom and Malik Mustapha),2.18,2.15,12.0,2024,177
2.0,10:34,,,,,,Timeout #1 by Green Bay Packers,,,12.0,2024,177
2.0,10:34,3.0,5.0,SFO 38,0.0,10.0,Jordan Love pass complete short middle to Romeo Doubs for 10 yards (tackle by Isaac Yiadom),2.15,3.71,12.0,2024,177
2.0,9:53,1.0,10.0,SFO 28,0.0,10.0,Josh Jacobs up the middle for 1 yard (tackle by Fred Warner),3.71,3.3,12.0,2024,177
2.0,9:14,2.0,9.0,SFO 27,0.0,10.0,Josh Jacobs right end for -1 yards (tackle by Deommodore Lenoir and Sam Okuayinonu),3.3,2.48,12.0,2024,177
2.0,8:33,,,,,,Timeout #1 by San Francisco 49ers,,,12.0,2024,177
2.0,8:33,3.0,10.0,SFO 28,0.0,10.0,Jordan Love pass complete short middle to Romeo Doubs for 15 yards (tackle by Renardo Green),2.48,4.71,12.0,2024,177
2.0,7:53,1.0,10.0,SFO 13,0.0,10.0,Josh Jacobs left tackle for 3 yards (tackle by Leonard Floyd),4.71,4.58,12.0,2024,177
2.0,7:25,2.0,7.0,SFO 10,0.0,10.0,"Jordan Love pass short right is intercepted by Malik Mustapha in end zone and returned for no gain. Penalty on Fred Warner: Defensive Too Many Men on Field, 5 yards (offset) . Penalty on Jayden Reed: Illegal Shift, 5 yards (offset) . Penalty on Fred Warner: Defensive Too Many Men on Field, 5 yards (offset) . Penalty on Jayden Reed: Illegal Shift, 5 yards (offset) (no play)",4.58,4.58,12.0,2024,177
2.0,7:15,2.0,7.0,SFO 10,0.0,10.0,"Penalty on Fred Warner: Defensive Too Many Men on Field, 5 yards (accepted) (no play)",4.58,5.54,12.0,2024,177
2.0,7:15,2.0,2.0,SFO 5,0.0,10.0,Josh Jacobs left guard for 4 yards (tackle by Maliek Collins and Fred Warner),5.54,6.97,12.0,2024,177
2.0,6:37,1.0,1.0,SFO 1,0.0,16.0,"Josh Jacobs left guard for 1 yard, touchdown",6.97,7.0,12.0,2024,177
2.0,6:33,,,SFO 15,0.0,17.0,Brandon McManus kicks extra point good,0.0,0.0,12.0,2024,177
2.0,6:33,,,GNB 35,0.0,17.0,"Brandon McManus kicks off 54 yards, returned by Isaac Guerendo for 22 yards. Isaac Guerendo fumbles (forced by Corey Ballentine), recovered by Chris Conley at SF-35",0.0,1.27,12.0,2024,177
2.0,6:28,1.0,10.0,SFO 35,0.0,17.0,Brandon Allen pass complete short left to Kyle Juszczyk for 14 yards (tackle by Carrington Valentine),1.27,2.19,12.0,2024,177
2.0,5:49,1.0,10.0,SFO 49,0.0,17.0,Brandon Allen pass incomplete short left,2.19,1.65,12.0,2024,177
2.0,5:43,2.0,10.0,SFO 49,0.0,17.0,Brandon Allen pass complete short right to Jauan Jennings for 8 yards (tackle by Keisean Nixon and Javon Bullard),1.65,2.01,12.0,2024,177
2.0,5:07,3.0,2.0,GNB 43,0.0,17.0,"Penalty on Jake Brendel: False Start, 5 yards (accepted) (no play)",2.01,1.36,12.0,2024,177
2.0,4:49,3.0,7.0,GNB 48,0.0,17.0,Brandon Allen pass complete short right to Christian McCaffrey for 9 yards,1.36,2.98,12.0,2024,177
2.0,4:20,1.0,10.0,GNB 39,0.0,17.0,Brandon Allen pass complete short right to Deebo Samuel for 21 yards (tackle by Javon Bullard),2.98,4.37,12.0,2024,177
2.0,3:34,1.0,10.0,GNB 18,0.0,17.0,Christian McCaffrey left end for 2 yards (tackle by Isaiah McDuffie and Kenny Clark),4.37,4.09,12.0,2024,177
2.0,2:50,2.0,8.0,GNB 16,0.0,17.0,Brandon Allen pass complete short right to Jauan Jennings for 7 yards (tackle by Keisean Nixon and Eric Wilson),4.09,4.74,12.0,2024,177
2.0,2:12,3.0,1.0,GNB 9,0.0,17.0,"Penalty on Dominick Puni: False Start, 5 yards (accepted) (no play)",4.74,3.63,12.0,2024,177
2.0,2:00,3.0,6.0,GNB 14,0.0,17.0,"Brandon Allen pass complete short right to George Kittle for 10 yards (tackle by Xavier McKinney). Penalty on Kingsley Enagbare: Defensive Offside, 5 yards (declined)",3.63,6.28,12.0,2024,177
2.0,1:55,1.0,4.0,GNB 4,0.0,17.0,Christian McCaffrey right tackle for 1 yard (tackle by Rashan Gary and Evan Williams),6.28,5.53,12.0,2024,177
2.0,1:10,2.0,3.0,GNB 3,0.0,17.0,Brandon Allen pass incomplete short right,5.53,4.72,12.0,2024,177
2.0,1:05,3.0,3.0,GNB 3,6.0,17.0,"Brandon Allen pass complete short middle to George Kittle for 3 yards, touchdown",4.72,7.0,12.0,2024,177
2.0,1:02,,,GNB 15,7.0,17.0,Jake Moody kicks extra point good,0.0,0.0,12.0,2024,177
2.0,1:02,,,SFO 35,7.0,17.0,"Jake Moody kicks off 65 yards, touchback.",0.0,0.94,12.0,2024,177
2.0,1:02,1.0,10.0,GNB 30,7.0,17.0,Josh Jacobs right tackle for 8 yards (tackle by Fred Warner and Renardo Green),0.94,1.47,12.0,2024,177
2.0,0:44,2.0,2.0,GNB 38,7.0,17.0,Josh Jacobs up the middle for 13 yards (tackle by Renardo Green),1.47,2.32,12.0,2024,177
2.0,0:36,1.0,10.0,SFO 49,7.0,17.0,Jordan Love pass incomplete deep left intended for Christian Watson,2.32,1.78,12.0,2024,177
2.0,0:30,2.0,10.0,SFO 49,7.0,17.0,Jordan Love pass incomplete deep right intended for Bo Melton (defended by Renardo Green),1.78,1.09,12.0,2024,177
2.0,0:23,3.0,10.0,SFO 49,7.0,17.0,Jordan Love pass incomplete deep right intended for Christian Watson,1.09,0.0,12.0,2024,177
2.0,0:15,4.0,10.0,SFO 49,7.0,17.0,"Daniel Whelan punts 37 yards, returned by Ricky Pearsall for 13 yards (tackle by Arron Mosby)",0.0,-0.61,12.0,2024,177
2.0,0:06,1.0,10.0,SFO 25,7.0,17.0,Brandon Allen kneels for -1 yards,0.61,-0.07,12.0,2024,177
3.0,15:00,,,GNB 35,7.0,17.0,"Brandon McManus kicks off 60 yards, returned by Deebo Samuel for 26 yards (tackle by Ty'Ron Hopper). Penalty on Eric Saubert: Offensive Holding, 10 yards (accepted)",0.0,0.34,12.0,2024,177
3.0,14:48,1.0,10.0,SFO 21,7.0,17.0,"Christian McCaffrey left end for no gain (tackle by Ty'Ron Hopper and Quay Walker). Penalty on Lukas Van Ness: Defensive Offside, 5 yards (accepted) (no play)",0.34,1.07,12.0,2024,177
3.0,14:24,1.0,5.0,SFO 26,7.0,17.0,Christian McCaffrey left guard for 7 yards (tackle by Eric Wilson),1.07,1.14,12.0,2024,177
3.0,13:46,1.0,10.0,SFO 33,7.0,17.0,Christian McCaffrey left end for 4 yards (tackle by Quay Walker),1.14,1.13,12.0,2024,177
3.0,13:05,2.0,6.0,SFO 37,7.0,17.0,Jordan Mason left tackle for 16 yards (tackle by Evan Williams),1.13,2.46,12.0,2024,177
3.0,12:22,1.0,10.0,GNB 47,7.0,17.0,Brandon Allen pass incomplete deep middle intended for Jauan Jennings,2.46,1.91,12.0,2024,177
3.0,12:17,2.0,10.0,GNB 47,7.0,17.0,Brandon Allen pass complete short right to Jauan Jennings for 2 yards (tackle by Javon Bullard),1.91,1.49,12.0,2024,177
3.0,11:34,3.0,8.0,GNB 45,7.0,17.0,Brandon Allen scrambles left end for 6 yards (tackle by Xavier McKinney),1.49,0.66,12.0,2024,177
3.0,10:51,4.0,2.0,GNB 39,7.0,17.0,Brandon Allen pass incomplete short left intended for Christian McCaffrey (defended by Xavier McKinney),0.66,-1.6,12.0,2024,177
3.0,10:47,1.0,10.0,GNB 40,7.0,17.0,Josh Jacobs left tackle for 3 yards (tackle by Evan Anderson and De'Vondre Campbell),1.6,1.46,12.0,2024,177
3.0,10:13,2.0,7.0,GNB 43,7.0,17.0,Jordan Love pass incomplete short right intended for Romeo Doubs,1.46,0.76,12.0,2024,177
3.0,10:10,3.0,7.0,GNB 43,7.0,17.0,Jordan Love sacked by Leonard Floyd for -3 yards,0.76,-0.72,12.0,2024,177
3.0,9:32,4.0,10.0,GNB 40,7.0,17.0,"Daniel Whelan punts 48 yards, returned by Ricky Pearsall for 8 yards (tackle by Lukas Van Ness). Penalty on George Odum: Offensive Holding, 10 yards (accepted)",-0.72,0.38,12.0,2024,177
3.0,9:19,1.0,10.0,SFO 10,7.0,17.0,Christian McCaffrey up the middle for 9 yards (tackle by Quay Walker),-0.38,0.24,12.0,2024,177
3.0,8:42,2.0,1.0,SFO 19,7.0,17.0,Christian McCaffrey up the middle for 3 yards (tackle by Colby Wooden),0.24,0.41,12.0,2024,177
3.0,8:05,1.0,10.0,SFO 22,7.0,17.0,Brandon Allen pass complete deep middle to George Kittle for 31 yards (tackle by Javon Bullard),0.41,2.46,12.0,2024,177
3.0,7:22,1.0,10.0,GNB 47,7.0,17.0,Christian McCaffrey left end for 2 yards (tackle by Tedarrell Slaton),2.46,2.18,12.0,2024,177
3.0,6:44,2.0,8.0,GNB 45,7.0,17.0,Christian McCaffrey left end for no gain (tackle by Quay Walker and Tedarrell Slaton),2.18,1.49,12.0,2024,177
3.0,6:00,3.0,8.0,GNB 45,7.0,17.0,Brandon Allen pass deep middle intended for Deebo Samuel is intercepted by Xavier McKinney at GB-26 and returned for 48 yards (tackle by Brandon Allen),1.49,-3.84,12.0,2024,177
3.0,5:49,1.0,10.0,SFO 26,7.0,17.0,Christian Watson right end for 4 yards (tackle by Fred Warner),3.84,3.84,12.0,2024,177
3.0,5:15,2.0,6.0,SFO 22,7.0,17.0,Josh Jacobs up the middle for 4 yards (tackle by Yetur Gross-Matos),3.84,3.75,12.0,2024,177
3.0,4:37,3.0,2.0,SFO 18,7.0,17.0,"Jordan Love pass incomplete deep right intended for Romeo Doubs. Penalty on Renardo Green: Defensive Pass Interference, 17 yards (accepted) (no play)",3.75,6.97,12.0,2024,177
3.0,4:32,1.0,1.0,SFO 1,7.0,23.0,"Josh Jacobs left tackle for 1 yard, touchdown",6.97,7.0,12.0,2024,177
3.0,4:28,,,SFO 15,7.0,24.0,Brandon McManus kicks extra point good,0.0,0.0,12.0,2024,177
3.0,4:28,,,GNB 35,7.0,24.0,"Brandon McManus kicks off 65 yards, returned by Deebo Samuel for 26 yards (tackle by Carrington Valentine and Evan Williams)",0.0,0.67,12.0,2024,177
3.0,4:22,1.0,10.0,SFO 26,7.0,24.0,Brandon Allen pass complete short left to Jauan Jennings for 20 yards (tackle by Eric Stokes),0.67,1.99,12.0,2024,177
3.0,3:44,1.0,10.0,SFO 46,7.0,24.0,Brandon Allen pass complete deep left to George Kittle for 21 yards (tackle by Xavier McKinney),1.99,3.38,12.0,2024,177
3.0,3:01,1.0,10.0,GNB 33,7.0,24.0,Christian McCaffrey left tackle for 3 yards (tackle by Isaiah McDuffie and Kingsley Enagbare),3.38,3.24,12.0,2024,177
3.0,2:26,2.0,7.0,GNB 30,7.0,24.0,Brandon Allen pass incomplete short right intended for Jauan Jennings,3.24,2.54,12.0,2024,177
3.0,2:20,3.0,7.0,GNB 30,7.0,24.0,Brandon Allen pass incomplete short middle intended for Eric Saubert,2.54,1.41,12.0,2024,177
3.0,2:17,4.0,7.0,GNB 30,10.0,24.0,Jake Moody 48 yard field goal good,1.41,3.0,12.0,2024,177
3.0,2:12,,,SFO 35,10.0,24.0,"Jake Moody kicks off 65 yards, touchback.",0.0,0.94,12.0,2024,177
3.0,2:12,1.0,10.0,GNB 30,10.0,24.0,Jordan Love pass incomplete deep middle intended for Christian Watson (defended by Ji'Ayir Brown),0.94,0.39,12.0,2024,177
3.0,2:07,2.0,10.0,GNB 30,10.0,24.0,"Emanuel Wilson up the middle for no gain (tackle by Malik Mustapha). Penalty on Chris Brooks: Tripping / Offense, 15 yards (accepted) (no play)",0.39,-1.78,12.0,2024,177
3.0,1:43,2.0,25.0,GNB 15,10.0,24.0,Jordan Love pass incomplete deep right intended for Dontayvion Wicks,-1.78,-2.84,12.0,2024,177
3.0,1:35,3.0,25.0,GNB 15,10.0,24.0,Jordan Love pass complete short left to Chris Brooks for 15 yards (tackle by De'Vondre Campbell),-2.84,-1.37,12.0,2024,177
3.0,0:54,4.0,10.0,GNB 30,10.0,24.0,"Daniel Whelan punts 59 yards, returned by Ricky Pearsall for 20 yards (tackle by Isaiah McDuffie). Penalty on Nick McCloud: Offensive Holding, 10 yards (accepted)",-1.37,-0.34,12.0,2024,177
3.0,0:41,1.0,10.0,SFO 21,10.0,24.0,Brandon Allen pass incomplete deep middle intended for Chris Conley,0.34,-0.2,12.0,2024,177
3.0,0:36,2.0,10.0,SFO 21,10.0,24.0,Christian McCaffrey right end for -1 yards (tackle by Quay Walker),-0.2,-1.02,12.0,2024,177
4.0,15:00,3.0,11.0,SFO 20,10.0,24.0,Brandon Allen pass incomplete short right,-1.02,-2.03,12.0,2024,177
4.0,14:56,4.0,11.0,SFO 20,10.0,24.0,"Pat O'Donnell punts 56 yards, returned by Jayden Reed for 13 yards (tackle by Jalen Graham)",-2.03,-1.4,12.0,2024,177
4.0,14:45,1.0,10.0,GNB 37,10.0,24.0,Josh Jacobs right guard for 5 yards (tackle by Dee Winters and Isaac Yiadom),1.4,1.53,12.0,2024,177
4.0,14:04,2.0,5.0,GNB 42,10.0,24.0,Josh Jacobs left end for 1 yard (tackle by Evan Anderson),1.53,0.96,12.0,2024,177
4.0,13:18,3.0,4.0,GNB 43,10.0,24.0,Jordan Love sacked by Leonard Floyd for -4 yards,0.96,-0.78,12.0,2024,177
4.0,12:42,4.0,8.0,GNB 39,10.0,24.0,"Daniel Whelan punts 51 yards, fair catch by Ricky Pearsall at SF-10",-0.78,0.38,12.0,2024,177
4.0,12:37,1.0,10.0,SFO 10,10.0,24.0,"Penalty on Kenny Clark: Neutral Zone Infraction, 5 yards (accepted) (no play)",-0.38,0.08,12.0,2024,177
4.0,12:37,1.0,5.0,SFO 15,10.0,24.0,"Brandon Allen sacked by Lukas Van Ness for no gain. Brandon Allen fumbles (forced by Lukas Van Ness), recovered by Kenny Clark at SF-16",0.08,-4.51,12.0,2024,177
4.0,12:30,1.0,10.0,SFO 16,10.0,24.0,Jordan Love pass complete short left to Tucker Kraft for 15 yards (tackle by De'Vondre Campbell and Malik Mustapha),4.51,6.97,12.0,2024,177
4.0,11:49,1.0,1.0,SFO 1,10.0,24.0,Josh Jacobs right tackle for no gain (tackle by Isaac Yiadom),6.97,5.91,12.0,2024,177
4.0,11:03,,,,,,Timeout #1 by Green Bay Packers,,,12.0,2024,177
4.0,11:03,2.0,1.0,SFO 1,10.0,30.0,"Josh Jacobs left guard for 1 yard, touchdown",5.91,7.0,12.0,2024,177
4.0,10:59,,,SFO 15,10.0,31.0,Brandon McManus kicks extra point good,0.0,0.0,12.0,2024,177
4.0,10:59,,,GNB 35,10.0,31.0,"Brandon McManus kicks off 65 yards, touchback.",0.0,0.94,12.0,2024,177
4.0,10:59,1.0,10.0,SFO 30,10.0,31.0,"Brandon Allen pass complete short left to Christian McCaffrey for 23 yards. Christian McCaffrey fumbles (tackle by Javon Bullard), recovered by Karl Brooks at GB-44",0.94,-1.86,12.0,2024,177
4.0,10:51,1.0,10.0,GNB 44,10.0,31.0,Emanuel Wilson right end for -1 yards (tackle by Sam Okuayinonu),1.86,1.18,12.0,2024,177
4.0,10:06,2.0,11.0,GNB 43,10.0,31.0,Jordan Love pass complete short middle to Dontayvion Wicks for 25 yards (tackle by De'Vondre Campbell and Malik Mustapha),1.18,3.45,12.0,2024,177
4.0,9:19,1.0,10.0,SFO 32,10.0,31.0,Chris Brooks up the middle for 2 yards (tackle by Yetur Gross-Matos and De'Vondre Campbell),3.45,3.17,12.0,2024,177
4.0,8:38,2.0,8.0,SFO 30,10.0,31.0,Jordan Love pass complete short middle to Malik Heath for 12 yards (tackle by Isaac Yiadom),3.17,4.37,12.0,2024,177
4.0,7:53,1.0,10.0,SFO 18,10.0,31.0,Chris Brooks right guard for 3 yards (tackle by Robert Beal),4.37,4.25,12.0,2024,177
4.0,7:11,2.0,7.0,SFO 15,10.0,31.0,Chris Brooks up the middle for 5 yards (tackle by Maliek Collins),4.25,4.51,12.0,2024,177
4.0,6:27,3.0,2.0,SFO 10,10.0,31.0,Chris Brooks left end for 1 yard (tackle by Deommodore Lenoir),4.51,2.98,12.0,2024,177
4.0,5:40,4.0,1.0,SFO 9,10.0,31.0,Jordan Love up the middle for 2 yards (tackle by Yetur Gross-Matos),2.98,5.6,12.0,2024,177
4.0,4:55,1.0,7.0,SFO 7,10.0,31.0,Emanuel Wilson left guard for 4 yards (tackle by Rock Ya-Sin),5.6,5.53,12.0,2024,177
4.0,4:18,2.0,3.0,SFO 3,10.0,37.0,"Jordan Love pass complete short left to Malik Heath for 3 yards, touchdown",5.53,7.0,12.0,2024,177
4.0,4:14,,,SFO 15,10.0,38.0,Brandon McManus kicks extra point good,0.0,0.0,12.0,2024,177
4.0,4:14,,,GNB 35,10.0,38.0,"Brandon McManus kicks off 65 yards, touchback.",0.0,0.94,12.0,2024,177
4.0,4:14,1.0,10.0,SFO 30,10.0,38.0,Brandon Allen pass incomplete short right intended for Jordan Mason,0.94,0.39,12.0,2024,177
4.0,4:09,2.0,10.0,SFO 30,10.0,38.0,Brandon Allen pass incomplete short left intended for Deebo Samuel,0.39,-0.3,12.0,2024,177
4.0,4:04,3.0,10.0,SFO 30,10.0,38.0,Brandon Allen pass complete short right to Jordan Mason for 5 yards (tackle by Javon Bullard),-0.3,-1.04,12.0,2024,177
4.0,3:24,4.0,5.0,SFO 35,10.0,38.0,Brandon Allen pass complete short left to Jauan Jennings for 3 yards (tackle by Evan Williams),-1.04,-3.05,12.0,2024,177
4.0,3:19,1.0,10.0,SFO 38,10.0,38.0,Emanuel Wilson up the middle for 1 yard (tackle by Evan Anderson),3.05,2.64,12.0,2024,177
4.0,2:38,2.0,9.0,SFO 37,10.0,38.0,Emanuel Wilson up the middle for 7 yards (tackle by Malik Mustapha and Isaac Yiadom),2.64,2.87,12.0,2024,177
4.0,2:00,3.0,2.0,SFO 30,10.0,38.0,Emanuel Wilson up the middle for no gain (tackle by Robert Beal),2.87,1.5,12.0,2024,177
4.0,1:19,4.0,2.0,SFO 30,10.0,38.0,Emanuel Wilson right guard for 1 yard (tackle by Evan Anderson and Fred Warner),1.5,-0.87,12.0,2024,177
4.0,1:13,1.0,10.0,SFO 29,10.0,38.0,Jordan Mason left guard for no gain (tackle by Karl Brooks and Eric Wilson),0.87,0.33,12.0,2024,177
4.0,0:31,2.0,10.0,SFO 29,10.0,38.0,"Jordan Mason up the middle for -8 yards. Jordan Mason fumbles (tackle by Colby Wooden), recovered by Ben Bartch at SF-21",0.33,-1.42,12.0,2024,177
