Quarter,Time,Down,ToGo,Location,IND,CIN,Detail,EPB,EPA,week,year,game_id
1.0,8:49,4.0,2.0,IND 45,0.0,0.0,"Rigoberto Sanchez punts 47 yards, fair catch by Charlie Jones at CIN-8",-0.39,0.38,14.0,2023,198
1.0,8:42,1.0,10.0,CIN 8,0.0,0.0,Jake Browning pass complete short middle to Tyler Boyd for 17 yards (tackle by Darrell Baker),-0.38,0.61,14.0,2023,198
1.0,8:00,1.0,10.0,CIN 25,0.0,0.0,Joe Mixon right guard for 7 yards (tackle by Julian Blackmon),0.61,1.01,14.0,2023,198
1.0,7:17,2.0,3.0,CIN 32,0.0,0.0,Jake Browning pass complete short middle to Ja'Marr Chase for 14 yards (tackle by Jaylon Jones),1.01,1.99,14.0,2023,198
1.0,6:42,1.0,10.0,CIN 46,0.0,6.0,"Jake Browning pass complete short right to Chase Brown for 54 yards, touchdown",1.99,7.0,14.0,2023,198
1.0,6:31,,,IND 15,0.0,7.0,Evan McPherson kicks extra point good,0.0,0.0,14.0,2023,198
1.0,6:31,,,CIN 35,0.0,7.0,"Evan McPherson kicks off 65 yards, touchback.",0.0,0.61,14.0,2023,198
1.0,6:31,1.0,10.0,IND 25,0.0,7.0,Gardner Minshew pass complete short right to Michael Pittman for 13 yards (tackle by Daxton Hill and Logan Wilson),0.61,1.47,14.0,2023,198
1.0,5:51,1.0,10.0,IND 38,0.0,7.0,Gardner Minshew pass complete short left to Will Mallory for 11 yards (tackle by Daxton Hill and Germaine Pratt),1.47,2.19,14.0,2023,198
1.0,5:26,1.0,10.0,IND 49,0.0,7.0,Zack Moss right tackle for 12 yards (tackle by Daxton Hill and Germaine Pratt),2.19,2.98,14.0,2023,198
1.0,5:02,1.0,10.0,CIN 39,0.0,7.0,Gardner Minshew sacked by and Cameron Sample for no gain and Germaine Pratt for no gain,2.98,2.44,14.0,2023,198
1.0,4:20,2.0,10.0,CIN 39,0.0,7.0,Gardner Minshew pass complete short left to Alec Pierce for 10 yards (tackle by DJ Turner),2.44,3.64,14.0,2023,198
1.0,3:56,1.0,10.0,CIN 29,0.0,7.0,"Zack Moss for no gain. Penalty on Myles Murphy: Defensive Offside, 5 yards (accepted) (no play)",3.64,4.37,14.0,2023,198
1.0,3:35,1.0,5.0,CIN 24,0.0,7.0,Gardner Minshew pass complete short left to Michael Pittman for 6 yards (tackle by Germaine Pratt),4.37,4.37,14.0,2023,198
1.0,2:57,1.0,10.0,CIN 18,0.0,7.0,Zack Moss left tackle for -1 yards (tackle by Germaine Pratt and Sam Hubbard),4.37,3.67,14.0,2023,198
1.0,2:22,2.0,11.0,CIN 19,0.0,7.0,"Penalty on Bernhard Raimann: False Start, 5 yards (accepted) (no play)",3.67,3.02,14.0,2023,198
1.0,2:04,2.0,16.0,CIN 24,0.0,7.0,Gardner Minshew pass incomplete deep right intended for Kylen Granson (defended by Logan Wilson),3.02,2.34,14.0,2023,198
1.0,1:59,3.0,16.0,CIN 24,0.0,7.0,Gardner Minshew pass complete short left to Zack Moss for 4 yards (tackle by Akeem Davis-Gaither and Germaine Pratt),2.34,2.12,14.0,2023,198
1.0,1:19,4.0,12.0,CIN 20,0.0,7.0,Matt Gay 38 yard field goal no good,2.12,-0.81,14.0,2023,198
1.0,1:15,1.0,10.0,CIN 28,0.0,7.0,Joe Mixon right guard for 3 yards (tackle by Ronnie Harrison),0.81,0.67,14.0,2023,198
1.0,0:38,2.0,7.0,CIN 31,0.0,7.0,Chase Brown right guard for 5 yards (tackle by Kwity Paye and DeForest Buckner),0.67,0.63,14.0,2023,198
2.0,15:00,3.0,2.0,CIN 36,0.0,7.0,Jake Browning pass complete short right to Drew Sample for 3 yards (tackle by Zaire Franklin and Jaylon Jones),0.63,1.53,14.0,2023,198
2.0,14:21,1.0,10.0,CIN 39,0.0,7.0,Jake Browning pass complete short right to Joe Mixon for 45 yards (tackle by Rodney Thomas),1.53,4.51,14.0,2023,198
2.0,13:35,1.0,10.0,IND 16,0.0,7.0,Jake Browning pass incomplete deep left intended for Ja'Marr Chase (defended by Darrell Baker),4.51,3.9,14.0,2023,198
2.0,13:28,2.0,10.0,IND 16,0.0,7.0,Jake Browning pass incomplete short left intended for Tyler Boyd (defended by DeForest Buckner),3.9,3.08,14.0,2023,198
2.0,13:24,3.0,10.0,IND 16,0.0,7.0,Jake Browning pass complete short right to Drew Sample for 1 yard (tackle by Jaylon Jones),3.08,2.44,14.0,2023,198
2.0,12:39,4.0,9.0,IND 15,0.0,7.0,"Evan McPherson yard field goal good. Penalty on Taven Bryan: Unsportsmanlike Conduct / Defense, 8 yards (accepted) (no play)",2.44,5.6,14.0,2023,198
2.0,12:35,1.0,7.0,IND 7,0.0,7.0,Joe Mixon right guard for 2 yards (tackle by Julian Blackmon),5.6,5.15,14.0,2023,198
2.0,11:44,2.0,5.0,IND 5,0.0,7.0,"Jake Browning sacked by. Penalty on Jaylon Jones: Defensive Holding, 3 yards (accepted) (no play)",5.15,6.74,14.0,2023,198
2.0,11:26,1.0,2.0,IND 2,0.0,7.0,Joe Mixon up the middle for 1 yard (tackle by Julian Blackmon and Zaire Franklin),6.74,5.91,14.0,2023,198
2.0,11:06,,,,,,Timeout #1 by Indianapolis Colts,,,14.0,2023,198
2.0,11:06,2.0,1.0,IND 1,0.0,7.0,Joe Mixon for no gain (tackle by Samson Ebukam and DeForest Buckner),5.91,5.17,14.0,2023,198
2.0,10:22,3.0,1.0,IND 1,0.0,13.0,"Joe Mixon left guard for 1 yard, touchdown",5.17,7.0,14.0,2023,198
2.0,10:18,,,IND 15,0.0,14.0,Evan McPherson kicks extra point good,0.0,0.0,14.0,2023,198
2.0,10:18,,,CIN 35,0.0,14.0,"Evan McPherson kicks off 61 yards, returned by Isaiah McKenzie for 17 yards (tackle by Chase Brown and Markus Bailey)",0.0,0.34,14.0,2023,198
2.0,10:14,1.0,10.0,IND 21,0.0,14.0,Zack Moss left guard for 1 yard (tackle by B.J. Hill),0.34,-0.07,14.0,2023,198
2.0,9:36,2.0,9.0,IND 22,0.0,14.0,"Penalty on Will Fries: False Start, 5 yards (accepted) (no play)",-0.07,-0.86,14.0,2023,198
2.0,9:26,2.0,14.0,IND 17,0.0,14.0,Gardner Minshew pass incomplete short left intended for Zack Moss,-0.86,-1.59,14.0,2023,198
2.0,9:21,3.0,14.0,IND 17,0.0,14.0,Gardner Minshew pass complete short right to Kylen Granson for 9 yards (tackle by Chidobe Awuzie and Germaine Pratt),-1.59,-1.63,14.0,2023,198
2.0,9:21,4.0,5.0,IND 26,0.0,14.0,"Penalty on Trey Hendrickson: Roughing the Passer, 15 yards (accepted) (no play)",-1.63,1.66,14.0,2023,198
2.0,8:59,1.0,10.0,IND 41,0.0,14.0,Gardner Minshew pass complete short left to Will Mallory for 16 yards (tackle by Logan Wilson),1.66,2.72,14.0,2023,198
2.0,8:17,1.0,10.0,CIN 43,0.0,14.0,Gardner Minshew pass incomplete deep left intended for Alec Pierce (defended by DJ Ivey),2.72,2.18,14.0,2023,198
2.0,8:08,2.0,10.0,CIN 43,0.0,14.0,Zack Moss left tackle for -1 yards (tackle by Josh Tupou),2.18,1.36,14.0,2023,198
2.0,7:29,3.0,11.0,CIN 44,0.0,14.0,Gardner Minshew pass complete short right to Alec Pierce for 12 yards (tackle by Mike Hilton),1.36,3.45,14.0,2023,198
2.0,7:06,1.0,10.0,CIN 32,0.0,14.0,Gardner Minshew pass incomplete short right intended for Andrew Ogletree,3.45,2.9,14.0,2023,198
2.0,7:02,2.0,10.0,CIN 32,0.0,14.0,Gardner Minshew pass complete short left to Michael Pittman for 4 yards (tackle by DJ Ivey and Logan Wilson),2.9,2.74,14.0,2023,198
2.0,6:20,3.0,6.0,CIN 28,0.0,14.0,Gardner Minshew scrambles right end for 6 yards (tackle by Germaine Pratt and Logan Wilson),2.74,4.11,14.0,2023,198
2.0,5:31,1.0,10.0,CIN 22,0.0,14.0,Zack Moss right guard for 7 yards (tackle by Jordan Battle and Chidobe Awuzie),4.11,4.65,14.0,2023,198
2.0,5:08,2.0,3.0,CIN 15,0.0,14.0,Zack Moss left guard for 2 yards (tackle by Sam Hubbard),4.65,4.39,14.0,2023,198
2.0,4:31,3.0,1.0,CIN 13,0.0,14.0,Zack Moss right guard for 2 yards (tackle by D.J. Reader),4.39,4.84,14.0,2023,198
2.0,3:47,1.0,10.0,CIN 11,0.0,14.0,Zack Moss left guard for 6 yards (tackle by Akeem Davis-Gaither and Logan Wilson),4.84,5.28,14.0,2023,198
2.0,3:09,2.0,4.0,CIN 5,0.0,14.0,Zack Moss left tackle for 3 yards (tackle by Chidobe Awuzie),5.28,5.12,14.0,2023,198
2.0,2:29,,,,,,Timeout #2 by Indianapolis Colts,,,14.0,2023,198
2.0,2:29,3.0,1.0,CIN 2,0.0,14.0,Zack Moss left guard for no gain (tackle by Josh Tupou and Logan Wilson),5.12,3.25,14.0,2023,198
2.0,2:00,4.0,1.0,CIN 2,6.0,14.0,"Gardner Minshew pass complete short right to Mo Alie-Cox for 2 yards, touchdown",3.25,7.0,14.0,2023,198
2.0,1:56,,,CIN 15,6.0,14.0,Matt Gay kicks extra point no good,0.0,-1.0,14.0,2023,198
2.0,1:56,,,IND 35,6.0,14.0,"Matt Gay kicks off 65 yards, touchback.",0.0,0.61,14.0,2023,198
2.0,1:56,1.0,10.0,CIN 25,6.0,14.0,Joe Mixon up the middle for 6 yards (tackle by Zaire Franklin),0.61,0.87,14.0,2023,198
2.0,1:40,2.0,4.0,CIN 31,12.0,14.0,"Jake Browning pass short right intended for Tanner Hudson is intercepted by Ronnie Harrison at CIN-36 and returned for 36 yards, touchdown",0.87,-7.0,14.0,2023,198
2.0,1:31,,,CIN 2,14.0,14.0,Two Point Attempt: Gardner Minshew pass complete to to Michael Pittman for no gain,1.0,1.0,14.0,2023,198
2.0,1:31,,,IND 35,14.0,14.0,"Matt Gay kicks off 65 yards, touchback.",0.0,0.61,14.0,2023,198
2.0,1:31,1.0,10.0,CIN 25,14.0,14.0,Jake Browning pass incomplete short right intended for Tee Higgins,0.61,0.06,14.0,2023,198
2.0,1:28,2.0,10.0,CIN 25,14.0,14.0,"Jake Browning pass incomplete intended for Ja'Marr Chase. Penalty on Jaylon Jones: Defensive Pass Interference, 15 yards (accepted) (no play)",0.06,1.6,14.0,2023,198
2.0,1:24,1.0,10.0,CIN 40,14.0,14.0,Jake Browning pass incomplete short left intended for Joe Mixon (defended by Kenny Moore),1.6,1.05,14.0,2023,198
2.0,1:19,2.0,10.0,CIN 40,14.0,14.0,Jake Browning pass complete short right to Joe Mixon for -3 yards (tackle by Kwity Paye and Zaire Franklin),1.05,-0.03,14.0,2023,198
2.0,1:08,,,,,,Timeout #3 by Indianapolis Colts,,,14.0,2023,198
2.0,1:08,3.0,13.0,CIN 37,14.0,14.0,Chase Brown right guard for 8 yards (tackle by DeForest Buckner),-0.03,-0.39,14.0,2023,198
2.0,0:26,,,,,,Timeout #1 by Cincinnati Bengals,,,14.0,2023,198
2.0,0:25,4.0,5.0,CIN 45,14.0,14.0,"Penalty on Mitchell Wilcox: False Start, 5 yards (accepted) (no play)",-0.39,-0.72,14.0,2023,198
2.0,0:24,4.0,10.0,CIN 40,14.0,14.0,Brad Robbins punts 19 yards,-0.72,-1.66,14.0,2023,198
2.0,0:11,1.0,10.0,IND 41,14.0,14.0,Gardner Minshew pass incomplete short right,1.66,1.12,14.0,2023,198
2.0,0:05,2.0,10.0,IND 41,14.0,14.0,Gardner Minshew kneels for -1 yards,1.12,0.3,14.0,2023,198
3.0,15:00,,,IND 35,14.0,14.0,"Matt Gay kicks off 65 yards, touchback.",0.0,0.61,14.0,2023,198
3.0,15:00,1.0,10.0,CIN 25,14.0,14.0,Chase Brown left end for 4 yards (tackle by Grover Stewart),0.61,0.6,14.0,2023,198
3.0,14:24,2.0,6.0,CIN 29,14.0,14.0,Jake Browning pass complete short middle to Tee Higgins for 26 yards (tackle by Darrell Baker),0.6,2.59,14.0,2023,198
3.0,13:45,1.0,10.0,IND 45,14.0,14.0,Jake Browning pass complete short right to Ja'Marr Chase for 14 yards (tackle by Jaylon Jones),2.59,3.51,14.0,2023,198
3.0,13:07,1.0,10.0,IND 31,14.0,14.0,Joe Mixon left guard for 18 yards (tackle by Darrell Baker),3.51,4.71,14.0,2023,198
3.0,12:23,1.0,10.0,IND 13,14.0,14.0,Jake Browning scrambles for 2 yards (tackle by Ronnie Harrison),4.71,4.39,14.0,2023,198
3.0,11:44,2.0,8.0,IND 11,14.0,20.0,"Jake Browning pass complete short left to Tanner Hudson for 11 yards, touchdown",4.39,7.0,14.0,2023,198
3.0,11:38,,,IND 15,14.0,21.0,Evan McPherson kicks extra point good,0.0,0.0,14.0,2023,198
3.0,11:38,,,CIN 35,14.0,21.0,"Evan McPherson kicks off 65 yards, touchback.",0.0,0.61,14.0,2023,198
3.0,11:38,1.0,10.0,IND 25,14.0,21.0,Gardner Minshew pass complete short left to Tyler Goodson for -2 yards (tackle by Mike Hilton),0.61,-0.21,14.0,2023,198
3.0,10:58,2.0,12.0,IND 23,14.0,21.0,Gardner Minshew pass complete short left to Zack Moss for 15 yards (tackle by B.J. Hill),-0.21,1.47,14.0,2023,198
3.0,10:29,1.0,10.0,IND 38,14.0,21.0,Zack Moss left guard for no gain (tackle by Sam Hubbard),1.47,0.92,14.0,2023,198
3.0,9:48,2.0,10.0,IND 38,14.0,21.0,Gardner Minshew pass incomplete short middle intended for Michael Pittman,0.92,0.23,14.0,2023,198
3.0,9:45,3.0,10.0,IND 38,14.0,21.0,Gardner Minshew pass incomplete short left intended for Michael Pittman (defended by Chidobe Awuzie),0.23,-0.85,14.0,2023,198
3.0,9:41,4.0,10.0,IND 38,14.0,21.0,"Rigoberto Sanchez punts 39 yards, returned by Charlie Jones for 6 yards (tackle by Trevor Denbow)",-0.85,-0.87,14.0,2023,198
3.0,9:32,1.0,10.0,CIN 29,14.0,21.0,Jake Browning pass complete short middle to Ja'Marr Chase for 1 yard (tackle by Adetomiwa Adebawore),0.87,0.46,14.0,2023,198
3.0,8:56,2.0,9.0,CIN 30,14.0,21.0,Jake Browning pass complete deep left to Tee Higgins for 46 yards (tackle by Darrell Baker),0.46,3.97,14.0,2023,198
3.0,8:15,1.0,10.0,IND 24,14.0,21.0,Jake Browning pass complete short right to Mitchell Wilcox for no gain (tackle by Kenny Moore and Zaire Franklin),3.97,3.43,14.0,2023,198
3.0,7:36,2.0,10.0,IND 24,14.0,21.0,Joe Mixon right guard for 1 yard (tackle by Nick Cross and Darrell Baker),3.43,2.87,14.0,2023,198
3.0,6:54,3.0,9.0,IND 23,14.0,21.0,Jake Browning pass complete short left to Tanner Hudson for 10 yards (tackle by Julian Blackmon),2.87,4.71,14.0,2023,198
3.0,6:10,1.0,10.0,IND 13,14.0,21.0,Joe Mixon left guard for 7 yards (tackle by DeForest Buckner and Julian Blackmon),4.71,5.34,14.0,2023,198
3.0,5:30,2.0,3.0,IND 6,14.0,21.0,"Chase Brown right guard for -4 yards (tackle by Zaire Franklin). Penalty on Andrei Iosivas: Defensive Illegal Blindside Block, 15 yards (declined)",5.34,3.65,14.0,2023,198
3.0,5:06,3.0,7.0,IND 10,14.0,21.0,Jake Browning pass complete short right to Tyler Boyd for 6 yards (tackle by Darrell Baker and Nick Cross),3.65,3.04,14.0,2023,198
3.0,4:20,4.0,1.0,IND 4,14.0,21.0,Joe Mixon for 3 yards (tackle by Nick Cross and Zaire Franklin),3.04,6.97,14.0,2023,198
3.0,3:55,1.0,1.0,IND 1,14.0,21.0,Penalty on Zaire Franklin: Neutral Zone Infraction (accepted) (no play),6.97,6.97,14.0,2023,198
3.0,3:40,1.0,1.0,IND 1,14.0,21.0,Joe Mixon for no gain (tackle by Zaire Franklin and Julian Blackmon),6.97,5.91,14.0,2023,198
3.0,3:01,2.0,1.0,IND 1,14.0,27.0,"Jake Browning left tackle for 1 yard, touchdown",5.91,7.0,14.0,2023,198
3.0,2:59,,,IND 15,14.0,28.0,Evan McPherson kicks extra point good,0.0,0.0,14.0,2023,198
3.0,2:59,,,CIN 35,14.0,28.0,"Evan McPherson kicks off 65 yards, touchback.",0.0,0.61,14.0,2023,198
3.0,2:59,1.0,10.0,IND 25,14.0,28.0,Zack Moss right guard for no gain (tackle by Mike Hilton and D.J. Reader),0.61,0.06,14.0,2023,198
3.0,2:19,2.0,10.0,IND 25,14.0,28.0,Gardner Minshew pass complete short left to Zack Moss for 4 yards (tackle by Logan Wilson and Germaine Pratt),0.06,-0.1,14.0,2023,198
3.0,1:31,3.0,6.0,IND 29,14.0,28.0,Gardner Minshew pass incomplete short left intended for Michael Pittman (defended by Chidobe Awuzie),-0.1,-1.44,14.0,2023,198
3.0,1:24,4.0,6.0,IND 29,14.0,28.0,"Rigoberto Sanchez punts 53 yards, returned by Charlie Jones for 5 yards (tackle by Grant Stuard)",-1.44,-0.48,14.0,2023,198
3.0,1:14,1.0,10.0,CIN 23,14.0,28.0,Chase Brown right guard for 4 yards (tackle by Grover Stewart),0.48,0.47,14.0,2023,198
3.0,0:40,2.0,6.0,CIN 27,14.0,28.0,Jake Browning pass complete short right to Chase Brown for 25 yards (tackle by Ronnie Harrison),0.47,2.39,14.0,2023,198
4.0,15:00,1.0,10.0,IND 48,14.0,28.0,Jake Browning pass incomplete short left intended for Tee Higgins,2.39,1.85,14.0,2023,198
4.0,14:55,2.0,10.0,IND 48,14.0,28.0,Jake Browning scrambles left end for 4 yards (tackle by Zaire Franklin),1.85,1.62,14.0,2023,198
4.0,14:24,3.0,7.0,IND 44,14.0,28.0,A.J. McCarron pass complete short right to Trayveon Williams for -1 yards (tackle by Kenny Moore),1.62,0.27,14.0,2023,198
4.0,13:37,4.0,7.0,IND 45,14.0,28.0,"Brad Robbins punts 33 yards, recovered by DJ Ivey at IND-12",0.27,4.78,14.0,2023,198
4.0,13:32,1.0,10.0,IND 12,14.0,28.0,Chase Brown right end for -8 yards (tackle by Tyquan Lewis),4.78,3.14,14.0,2023,198
4.0,12:49,2.0,18.0,IND 20,14.0,28.0,Chase Brown right guard for 10 yards (tackle by Julian Blackmon),3.14,3.48,14.0,2023,198
4.0,12:06,3.0,8.0,IND 10,14.0,28.0,"A.J. McCarron pass complete to Tee Higgins for no gain, touchdown. Penalty on Tee Higgins: Offensive Pass Interference, 10 yards (accepted) (no play)",3.48,2.48,14.0,2023,198
4.0,12:01,3.0,18.0,IND 20,14.0,28.0,Chase Brown right guard for 6 yards (tackle by Zaire Franklin),2.48,2.51,14.0,2023,198
4.0,11:18,4.0,12.0,IND 14,14.0,31.0,Evan McPherson 32 yard field goal good,2.51,3.0,14.0,2023,198
4.0,11:14,,,CIN 35,14.0,31.0,"Evan McPherson kicks off 64 yards,",0.0,0.61,14.0,2023,198
4.0,11:14,1.0,10.0,IND 25,14.0,31.0,Gardner Minshew pass complete short right to Josh Downs for 12 yards (tackle by Joseph Ossai),0.61,1.4,14.0,2023,198
4.0,10:52,1.0,10.0,IND 37,14.0,31.0,Gardner Minshew pass complete short middle to Kylen Granson for 8 yards (tackle by Daxton Hill),1.4,1.94,14.0,2023,198
4.0,10:22,2.0,2.0,IND 45,14.0,31.0,Gardner Minshew pass complete deep left to Michael Pittman for 31 yards (tackle by Germaine Pratt),1.94,3.97,14.0,2023,198
4.0,10:02,1.0,10.0,CIN 24,14.0,31.0,Gardner Minshew pass complete short left to Michael Pittman for 14 yards (tackle by DJ Turner),3.97,4.91,14.0,2023,198
4.0,9:37,1.0,10.0,CIN 10,14.0,31.0,"Zack Moss for no gain, touchdown. Penalty on Quenton Nelson: Offensive Holding, 10 yards (accepted) (no play)",4.91,4.24,14.0,2023,198
4.0,9:33,1.0,20.0,CIN 20,14.0,31.0,Gardner Minshew pass incomplete short left intended for Zack Moss,4.24,3.0,14.0,2023,198
4.0,9:29,2.0,20.0,CIN 20,14.0,31.0,"Penalty on Kylen Granson: False Start, 5 yards (accepted) (no play)",3.0,2.33,14.0,2023,198
4.0,9:29,2.0,25.0,CIN 25,14.0,31.0,"Gardner Minshew pass short middle (defended by Trey Hendrickson) intended for Zack Moss is intercepted by B.J. Hill at CIN-31 and returned for no gain. Penalty on Bernhard Raimann: Offensive Holding, 10 yards (declined)",2.33,-1.0,14.0,2023,198
4.0,9:23,1.0,10.0,CIN 31,14.0,31.0,Joe Mixon left guard for 4 yards (tackle by Grover Stewart and Zaire Franklin),1.0,1.0,14.0,2023,198
4.0,8:37,2.0,6.0,CIN 35,14.0,31.0,"Penalty on CIN: Delay of Game, 5 yards (accepted) (no play)",1.0,0.32,14.0,2023,198
4.0,8:37,2.0,11.0,CIN 30,14.0,31.0,Joe Mixon right guard for 3 yards (tackle by Darrell Baker and Grover Stewart),0.32,0.04,14.0,2023,198
4.0,7:57,3.0,8.0,CIN 33,14.0,31.0,Jake Browning pass complete short right to Chase Brown for 1 yard (tackle by Samson Ebukam),0.04,-1.11,14.0,2023,198
4.0,7:47,,,,,,Timeout #1 by Indianapolis Colts,,,14.0,2023,198
4.0,7:47,4.0,7.0,CIN 34,14.0,31.0,Brad Robbins punts 43 yards downed by Mitchell Wilcox,-1.11,-0.48,14.0,2023,198
4.0,7:36,1.0,10.0,IND 23,14.0,31.0,Gardner Minshew pass complete short middle to Will Mallory for 9 yards (tackle by Logan Wilson),0.48,1.15,14.0,2023,198
4.0,7:16,2.0,1.0,IND 32,14.0,31.0,Gardner Minshew pass complete short right to Zack Moss for 5 yards (tackle by Mike Hilton),1.15,1.4,14.0,2023,198
4.0,6:53,1.0,10.0,IND 37,14.0,31.0,Gardner Minshew pass complete short right to Michael Pittman for 10 yards (tackle by DJ Turner),1.4,2.06,14.0,2023,198
4.0,6:23,1.0,10.0,IND 47,14.0,31.0,"Gardner Minshew pass incomplete. Penalty on Bernhard Raimann: Tripping / Offense, 15 yards (accepted) (no play)",2.06,1.07,14.0,2023,198
4.0,6:19,1.0,25.0,IND 32,14.0,31.0,Gardner Minshew pass complete short middle to Will Mallory for 8 yards (tackle by Logan Wilson),1.07,0.57,14.0,2023,198
4.0,6:00,2.0,17.0,IND 40,14.0,31.0,Gardner Minshew pass incomplete short middle intended for Zack Moss,0.57,-0.1,14.0,2023,198
4.0,5:57,3.0,17.0,IND 40,14.0,31.0,Gardner Minshew pass complete short right to Will Mallory for 2 yards (tackle by Mike Hilton),-0.1,-0.59,14.0,2023,198
4.0,5:17,,,,,,Timeout #1 by Cincinnati Bengals,,,14.0,2023,198
4.0,5:17,4.0,15.0,IND 42,14.0,31.0,Gardner Minshew sacked by Trey Hendrickson for -7 yards,-0.59,-3.25,14.0,2023,198
4.0,5:11,1.0,10.0,IND 35,14.0,31.0,Joe Mixon right guard for 5 yards (tackle by Zaire Franklin),3.25,3.38,14.0,2023,198
4.0,4:28,2.0,5.0,IND 30,14.0,31.0,Joe Mixon left guard for 8 yards (tackle by Cameron McGrone and Zaire Franklin),3.38,4.11,14.0,2023,198
4.0,3:41,1.0,10.0,IND 22,14.0,31.0,Joe Mixon up the middle for -1 yards (tackle by Jaylon Jones and Nick Cross),4.11,3.43,14.0,2023,198
4.0,2:56,2.0,11.0,IND 23,14.0,31.0,Joe Mixon for 3 yards (tackle by Grover Stewart and DeForest Buckner),3.43,3.14,14.0,2023,198
4.0,2:09,,,,,,Timeout #2 by Cincinnati Bengals,,,14.0,2023,198
4.0,2:09,3.0,8.0,IND 20,14.0,31.0,Joe Mixon left guard for 3 yards (tackle by DeForest Buckner),3.14,2.36,14.0,2023,198
4.0,2:00,4.0,5.0,IND 17,14.0,34.0,Evan McPherson 35 yard field goal good,2.36,3.0,14.0,2023,198
4.0,1:55,,,CIN 35,14.0,34.0,"Evan McPherson kicks off 65 yards, touchback.",0.0,0.61,14.0,2023,198
4.0,1:55,1.0,10.0,IND 25,14.0,34.0,Trey Sermon up the middle for 2 yards (tackle by Jordan Battle),0.61,0.33,14.0,2023,198
4.0,1:14,2.0,8.0,IND 27,14.0,34.0,Trey Sermon left tackle for 8 yards (tackle by Daxton Hill and Markus Bailey),0.33,1.27,14.0,2023,198
4.0,0:32,1.0,10.0,IND 35,14.0,34.0,Trey Sermon left tackle for 3 yards (tackle by Cameron Sample),1.27,1.13,14.0,2023,198
