Quarter,Time,Down,ToGo,Location,DEN,LAC,Detail,EPB,EPA,week,year,game_id
2.0,10:46,1.0,10.0,DEN 34,7.0,0.0,Jaleel McLaughlin left tackle for 9 yards (tackle by Scott Matlock),1.2,1.87,14.0,2023,205
2.0,10:10,2.0,1.0,DEN 43,7.0,0.0,Michael Burton right guard for 2 yards (tackle by Kenneth Murray and Eric Kendricks),1.87,1.93,14.0,2023,205
2.0,9:30,1.0,10.0,DEN 45,7.0,0.0,Russell Wilson pass incomplete deep right intended for Jerry Jeudy,1.93,1.38,14.0,2023,205
2.0,9:21,2.0,10.0,DEN 45,7.0,0.0,Javonte Williams right guard for 4 yards (tackle by Khalil Mack),1.38,1.22,14.0,2023,205
2.0,8:57,,,,,,Timeout #1 by Denver Broncos,,,14.0,2023,205
2.0,8:57,3.0,6.0,DEN 49,7.0,0.0,Russell Wilson sacked by Eric Kendricks for -8 yards,1.22,-0.65,14.0,2023,205
2.0,8:18,4.0,14.0,DEN 41,7.0,0.0,"Riley Dixon punts 41 yards, fair catch by Derius Davis at LAC-18",-0.65,-0.04,14.0,2023,205
2.0,8:10,1.0,10.0,LAC 18,7.0,0.0,Isaiah Spiller right guard for 6 yards (tackle by Josey Jewell and Justin Simmons),0.04,0.41,14.0,2023,205
2.0,7:36,2.0,4.0,LAC 24,7.0,0.0,Justin Herbert pass complete short middle to Jalen Guyton for 8 yards (tackle by Alex Singleton),0.41,1.07,14.0,2023,205
2.0,7:06,1.0,10.0,LAC 32,7.0,0.0,Isaiah Spiller up the middle for -1 yards (tackle by Baron Browning and Justin Simmons),1.07,0.39,14.0,2023,205
2.0,6:26,2.0,11.0,LAC 31,7.0,0.0,Justin Herbert pass complete short middle to Austin Ekeler for 18 yards (tackle by Alex Singleton),0.39,2.19,14.0,2023,205
2.0,6:02,1.0,10.0,LAC 49,7.0,0.0,Justin Herbert pass complete short right to Gerald Everett for 3 yards (tackle by Matt Henningsen and Alex Singleton),2.19,2.05,14.0,2023,205
2.0,5:20,2.0,7.0,DEN 48,7.0,0.0,Justin Herbert pass complete short middle to Donald Parham for 11 yards (tackle by Patrick Surtain),2.05,3.12,14.0,2023,205
2.0,4:53,1.0,10.0,DEN 37,7.0,0.0,Keenan Allen pass incomplete deep right intended for Alex Erickson,3.12,2.57,14.0,2023,205
2.0,4:46,2.0,10.0,DEN 37,7.0,0.0,Justin Herbert sacked by Josey Jewell for -6 yards,2.57,1.09,14.0,2023,205
2.0,4:06,3.0,16.0,DEN 43,7.0,0.0,Justin Herbert pass complete short right to Austin Ekeler for 14 yards (tackle by Jonathon Cooper and Riley Moss),1.09,1.6,14.0,2023,205
2.0,3:18,4.0,2.0,DEN 29,7.0,0.0,"Justin Herbert pass incomplete deep right intended for Alex Erickson Penalty on LAC: Illegal Shift, 5 yards (declined)",1.6,-0.94,14.0,2023,205
2.0,3:11,1.0,10.0,DEN 30,7.0,0.0,Russell Wilson pass incomplete deep right intended for Jerry Jeudy (defended by Asante Samuel),0.94,0.39,14.0,2023,205
2.0,3:04,2.0,10.0,DEN 30,7.0,0.0,"Russell Wilson pass complete short left to Adam Trautman for no gain. Penalty on Courtland Sutton: Offensive Pass Interference, 10 yards (accepted) (no play)",0.39,-0.96,14.0,2023,205
2.0,2:41,2.0,20.0,DEN 20,7.0,0.0,Russell Wilson pass incomplete short left intended for Javonte Williams,-0.96,-1.62,14.0,2023,205
2.0,2:38,3.0,20.0,DEN 20,7.0,0.0,Russell Wilson pass complete short right to Samaje Perine for 7 yards (tackle by Kenneth Murray),-1.62,-1.57,14.0,2023,205
2.0,2:00,4.0,13.0,DEN 27,7.0,0.0,"Riley Dixon punts 49 yards, fair catch by Derius Davis at LAC-24",-1.57,-0.54,14.0,2023,205
2.0,1:52,1.0,10.0,LAC 24,7.0,0.0,Easton Stick pass complete short left to Keenan Allen for 3 yards (tackle by Patrick Surtain),0.54,0.4,14.0,2023,205
2.0,1:48,2.0,7.0,LAC 27,7.0,0.0,Easton Stick pass incomplete short right intended for Gerald Everett (defended by Ja'Quan McMillian),0.4,-0.3,14.0,2023,205
2.0,1:44,3.0,7.0,LAC 27,7.0,0.0,"Easton Stick sacked by Ja'Quan McMillian for no gain. Easton Stick fumbles (forced by Ja'Quan McMillian), recovered by Ja'Quan McMillian at LAC-17, touchdown Replay Assistant challenged the fumble ruling, and the original play was overturned. Easton Stick pass incomplete short left intended for Alex Erickson (defended by Ja'Quan McMillian)",-0.3,-1.57,14.0,2023,205
2.0,1:41,4.0,7.0,LAC 27,7.0,0.0,"JK Scott punts 56 yards, returned by Marvin Mims for 13 yards (tackle by Blake Lynch)",-1.57,-0.94,14.0,2023,205
2.0,1:28,1.0,10.0,DEN 30,7.0,0.0,Russell Wilson pass complete short left to Samaje Perine for 3 yards (tackle by Alohi Gilman),0.94,0.8,14.0,2023,205
2.0,1:24,2.0,7.0,DEN 33,7.0,0.0,Russell Wilson pass complete short left to Samaje Perine for 8 yards (tackle by Kenneth Murray),0.8,1.66,14.0,2023,205
2.0,1:04,1.0,10.0,DEN 41,7.0,0.0,Russell Wilson pass complete short middle to Samaje Perine for 9 yards (tackle by Kenneth Murray),1.66,2.34,14.0,2023,205
2.0,0:42,2.0,1.0,LAC 50,7.0,0.0,Russell Wilson pass incomplete deep right intended for Jerry Jeudy,2.34,1.62,14.0,2023,205
2.0,0:35,3.0,1.0,LAC 50,7.0,0.0,Samaje Perine up the middle for 5 yards (tackle by Derwin James and Sebastian Joseph-Day),1.62,2.59,14.0,2023,205
2.0,0:31,,,,,,Timeout #2 by Denver Broncos,,,14.0,2023,205
2.0,0:31,1.0,10.0,LAC 45,7.0,0.0,Russell Wilson pass complete deep right to Lucas Krull for 35 yards (tackle by Alohi Gilman),2.59,4.91,14.0,2023,205
2.0,0:23,1.0,10.0,LAC 10,7.0,0.0,"Penalty on Alohi Gilman: Face Mask (15 Yards), 5 yards (accepted) (no play)",4.91,6.06,14.0,2023,205
2.0,0:23,1.0,5.0,LAC 5,7.0,0.0,Russell Wilson pass incomplete short right,6.06,5.15,14.0,2023,205
2.0,0:13,2.0,5.0,LAC 5,7.0,0.0,"Russell Wilson pass complete to Jerry Jeudy for no gain, touchdown Replay Assistant challenged the pass completion ruling, and the original play was overturned. Russell Wilson pass incomplete short left intended for Jerry Jeudy",5.15,4.26,14.0,2023,205
2.0,0:12,3.0,5.0,LAC 5,7.0,0.0,Russell Wilson pass incomplete short right intended for Adam Trautman (defended by Derwin James),4.26,3.01,14.0,2023,205
2.0,0:08,4.0,5.0,LAC 5,10.0,0.0,Wil Lutz 23 yard field goal good,3.01,3.0,14.0,2023,205
2.0,0:05,,,DEN 35,10.0,0.0,"Wil Lutz kicks off 69 yards, returned by Derius Davis for 24 yards (tackle by Jaleel McLaughlin)",0.0,1.27,14.0,2023,205
3.0,15:00,,,LAC 35,10.0,0.0,"Cameron Dicker kicks off 65 yards, touchback.",0.0,0.61,14.0,2023,205
3.0,15:00,1.0,10.0,DEN 25,10.0,0.0,Russell Wilson pass complete short left to Marvin Mims for 3 yards (tackle by Austin Johnson and Alohi Gilman),0.61,0.47,14.0,2023,205
3.0,14:24,2.0,7.0,DEN 28,10.0,0.0,Jaleel McLaughlin up the middle for 6 yards (tackle by Derwin James and Tuli Tuipulotu),0.47,0.56,14.0,2023,205
3.0,13:41,3.0,1.0,DEN 34,10.0,0.0,Russell Wilson up the middle for no gain (tackle by Tuli Tuipulotu),0.56,-1.11,14.0,2023,205
3.0,12:52,4.0,1.0,DEN 34,10.0,0.0,"Penalty on DEN: Delay of Game, 4 yards (accepted) (no play)",-1.11,-1.37,14.0,2023,205
3.0,12:43,4.0,5.0,DEN 30,10.0,0.0,"Riley Dixon punts 48 yards, fair catch by Derius Davis at LAC-22",-1.37,-0.41,14.0,2023,205
3.0,12:38,1.0,10.0,LAC 22,10.0,0.0,Austin Ekeler up the middle for 9 yards (tackle by Alex Singleton and Josey Jewell),0.41,1.08,14.0,2023,205
3.0,12:04,2.0,1.0,LAC 31,10.0,0.0,Austin Ekeler right guard for 6 yards (tackle by Justin Simmons and Fabian Moreau),1.08,1.4,14.0,2023,205
3.0,11:28,1.0,10.0,LAC 37,10.0,0.0,Austin Ekeler right guard for 3 yards (tackle by Jonathon Cooper and Josey Jewell),1.4,1.26,14.0,2023,205
3.0,10:52,2.0,7.0,LAC 40,10.0,0.0,Easton Stick pass complete short left to Keenan Allen for 11 yards (tackle by Fabian Moreau),1.26,2.32,14.0,2023,205
3.0,10:15,1.0,10.0,DEN 49,10.0,0.0,Isaiah Spiller left tackle for 4 yards (tackle by D.J. Jones and Josey Jewell),2.32,2.32,14.0,2023,205
3.0,9:37,2.0,6.0,DEN 45,10.0,0.0,Isaiah Spiller right end for 5 yards (tackle by Drew Sanders),2.32,2.28,14.0,2023,205
3.0,8:56,3.0,1.0,DEN 40,10.0,0.0,Isaiah Spiller right end for no gain (tackle by Josey Jewell),2.28,0.59,14.0,2023,205
3.0,8:11,,,,,,Timeout #1 by Los Angeles Chargers,,,14.0,2023,205
3.0,8:11,4.0,1.0,DEN 40,10.0,0.0,Joshua Kelley left tackle for no gain (tackle by Josey Jewell and Alex Singleton),0.59,-1.6,14.0,2023,205
3.0,8:07,1.0,10.0,DEN 40,10.0,0.0,Javonte Williams right end for -1 yards (tackle by Nick Williams),1.6,0.92,14.0,2023,205
3.0,7:24,2.0,11.0,DEN 39,10.0,0.0,Russell Wilson pass complete short left to Jerry Jeudy for 9 yards (tackle by Derwin James and Jaylinn Hawkins),0.92,1.42,14.0,2023,205
3.0,6:42,3.0,2.0,DEN 48,10.0,0.0,Russell Wilson pass complete short right to Javonte Williams for 6 yards (tackle by Derwin James),1.42,2.52,14.0,2023,205
3.0,6:05,1.0,10.0,LAC 46,16.0,0.0,"Russell Wilson pass complete deep right to Courtland Sutton for 46 yards, touchdown. Penalty on Michael Davis: Defensive Pass Interference, 15 yards (declined)",2.52,7.0,14.0,2023,205
3.0,5:55,,,LAC 15,17.0,0.0,Wil Lutz kicks extra point good,0.0,0.0,14.0,2023,205
3.0,5:55,,,DEN 35,17.0,0.0,"Wil Lutz kicks off 65 yards, touchback.",0.0,0.61,14.0,2023,205
3.0,5:55,1.0,10.0,LAC 25,17.0,0.0,Easton Stick pass incomplete short right intended for Keenan Allen (defended by Fabian Moreau),0.61,0.06,14.0,2023,205
3.0,5:48,2.0,10.0,LAC 25,17.0,0.0,Austin Ekeler right guard for 6 yards (tackle by Alex Singleton and P.J. Locke),0.06,0.17,14.0,2023,205
3.0,5:15,3.0,4.0,LAC 31,17.0,0.0,Easton Stick pass incomplete short right intended for Alex Erickson,0.17,-1.31,14.0,2023,205
3.0,5:08,4.0,4.0,LAC 31,17.0,0.0,"JK Scott punts 53 yards, returned by Marvin Mims for 12 yards (tackle by Nick Niemann and Daiyan Henley)",-1.31,-0.81,14.0,2023,205
3.0,4:57,1.0,10.0,DEN 28,17.0,0.0,Javonte Williams left tackle for no gain (tackle by Kenneth Murray),0.81,0.26,14.0,2023,205
3.0,4:10,2.0,10.0,DEN 28,17.0,0.0,Russell Wilson pass complete short right to Jaleel McLaughlin for 7 yards (tackle by Kenneth Murray),0.26,0.5,14.0,2023,205
3.0,3:50,3.0,3.0,DEN 35,17.0,0.0,"Jaleel McLaughlin left guard for 3 yards (tackle by Tuli Tuipulotu) LAC challenged the first down ruling, and the play was upheld.",0.5,1.47,14.0,2023,205
3.0,3:08,1.0,10.0,DEN 38,17.0,0.0,Javonte Williams for -5 yards (tackle by Alohi Gilman and Asante Samuel),1.47,0.25,14.0,2023,205
3.0,2:32,2.0,15.0,DEN 33,17.0,0.0,Russell Wilson pass incomplete short left,0.25,-0.43,14.0,2023,205
3.0,2:25,3.0,15.0,DEN 33,17.0,0.0,Russell Wilson pass complete short left to Lil'Jordan Humphrey for 12 yards (tackle by Morgan Fox),-0.43,-0.39,14.0,2023,205
3.0,1:43,4.0,3.0,DEN 45,17.0,0.0,"Riley Dixon punts 46 yards, fair catch by Derius Davis at LAC-9",-0.39,0.38,14.0,2023,205
3.0,1:36,1.0,10.0,LAC 9,17.0,0.0,Easton Stick pass complete short left to Austin Ekeler for 6 yards (tackle by Alex Singleton),-0.38,-0.28,14.0,2023,205
3.0,1:12,2.0,4.0,LAC 15,17.0,0.0,Easton Stick pass complete short middle to Austin Ekeler for 9 yards (tackle by Josey Jewell),-0.28,0.54,14.0,2023,205
3.0,0:47,1.0,10.0,LAC 24,17.0,0.0,Easton Stick pass complete short middle to Keenan Allen for 13 yards (tackle by Alex Singleton),0.54,1.4,14.0,2023,205
3.0,0:25,1.0,10.0,LAC 37,17.0,0.0,Easton Stick pass incomplete short left intended for Alex Erickson,1.4,0.86,14.0,2023,205
3.0,0:23,2.0,10.0,LAC 37,17.0,0.0,Easton Stick pass complete short right to Gerald Everett for 6 yards (tackle by Patrick Surtain),0.86,0.96,14.0,2023,205
4.0,15:00,3.0,4.0,LAC 43,17.0,0.0,Easton Stick pass incomplete short middle intended for Gerald Everett (defended by Alex Singleton),0.96,-0.52,14.0,2023,205
4.0,14:56,4.0,4.0,LAC 43,17.0,0.0,Easton Stick pass complete short right to Keenan Allen for 6 yards (tackle by Patrick Surtain),-0.52,2.19,14.0,2023,205
4.0,14:34,1.0,10.0,LAC 49,17.0,0.0,Easton Stick pass incomplete short right intended for Austin Ekeler,2.19,1.65,14.0,2023,205
4.0,14:32,2.0,10.0,LAC 49,17.0,0.0,Easton Stick pass complete short right to Austin Ekeler for 2 yards (tackle by Justin Simmons),1.65,1.22,14.0,2023,205
4.0,14:09,3.0,8.0,DEN 49,17.0,0.0,Easton Stick pass incomplete short right intended for Donald Parham (defended by Justin Simmons),1.22,0.0,14.0,2023,205
4.0,14:03,4.0,8.0,DEN 49,17.0,0.0,Easton Stick pass incomplete short right intended for Keenan Allen (defended by P.J. Locke),0.0,-2.19,14.0,2023,205
4.0,13:55,1.0,10.0,DEN 49,17.0,0.0,Javonte Williams left end for 3 yards (tackle by Michael Davis and Derwin James),2.19,2.05,14.0,2023,205
4.0,13:13,2.0,7.0,LAC 48,17.0,0.0,Javonte Williams right guard for 3 yards (tackle by Sebastian Joseph-Day),2.05,1.75,14.0,2023,205
4.0,12:33,3.0,4.0,LAC 45,17.0,0.0,Russell Wilson pass incomplete short right intended for Courtland Sutton (defended by Khalil Mack),1.75,0.27,14.0,2023,205
4.0,12:28,4.0,4.0,LAC 45,17.0,0.0,"Riley Dixon punts 39 yards, fair catch by Derius Davis at LAC-6",0.27,0.38,14.0,2023,205
4.0,12:21,1.0,10.0,LAC 6,17.0,0.0,Austin Ekeler left guard for 9 yards (tackle by Ja'Quan McMillian and Drew Sanders),-0.38,-0.07,14.0,2023,205
4.0,11:50,2.0,1.0,LAC 15,17.0,0.0,Easton Stick pass complete deep left to Quentin Johnston for 57 yards (tackle by Fabian Moreau),-0.07,3.71,14.0,2023,205
4.0,11:10,1.0,10.0,DEN 28,17.0,0.0,Easton Stick pass complete short left to Quentin Johnston for 22 yards (tackle by Patrick Surtain and P.J. Locke),3.71,5.83,14.0,2023,205
4.0,10:53,1.0,6.0,DEN 6,17.0,0.0,"Easton Stick pass incomplete short right intended for Keenan Allen. Penalty on Fabian Moreau: Defensive Holding, 3 yards (accepted) (no play)",5.83,6.51,14.0,2023,205
4.0,10:44,1.0,3.0,DEN 3,17.0,0.0,Easton Stick pass incomplete short left intended for Austin Ekeler,6.51,5.53,14.0,2023,205
4.0,10:40,2.0,3.0,DEN 3,17.0,6.0,"Austin Ekeler up the middle for 3 yards, touchdown",5.53,7.0,14.0,2023,205
4.0,10:37,,,DEN 15,17.0,7.0,Cameron Dicker kicks extra point good,0.0,0.0,14.0,2023,205
4.0,10:37,,,LAC 35,17.0,7.0,"Cameron Dicker kicks off 65 yards, touchback.",0.0,0.61,14.0,2023,205
4.0,10:37,1.0,10.0,DEN 25,17.0,7.0,Javonte Williams up the middle for 20 yards (tackle by Alohi Gilman),0.61,1.93,14.0,2023,205
4.0,9:56,1.0,10.0,DEN 45,17.0,7.0,Russell Wilson pass incomplete short right,1.93,1.38,14.0,2023,205
4.0,9:49,2.0,10.0,DEN 45,17.0,7.0,Jaleel McLaughlin right end for 2 yards (tackle by Tuli Tuipulotu and Kenneth Murray),1.38,0.96,14.0,2023,205
4.0,9:05,3.0,8.0,DEN 47,17.0,7.0,Russell Wilson pass complete short right to Adam Trautman for 9 yards (tackle by Justin Hollins),0.96,2.65,14.0,2023,205
4.0,8:30,1.0,10.0,LAC 44,17.0,7.0,Samaje Perine right guard for 3 yards (tackle by Kenneth Murray and Austin Johnson),2.65,2.52,14.0,2023,205
4.0,7:50,2.0,7.0,LAC 41,17.0,7.0,Russell Wilson pass complete short right to Michael Burton for 1 yard (tackle by Michael Davis and Kenneth Murray),2.52,1.95,14.0,2023,205
4.0,7:04,3.0,6.0,LAC 40,17.0,7.0,Russell Wilson scrambles up the middle for 7 yards (tackle by Derwin James),1.95,3.38,14.0,2023,205
4.0,6:21,1.0,10.0,LAC 33,17.0,7.0,Javonte Williams right tackle for 3 yards (tackle by Derwin James and Eric Kendricks),3.38,3.24,14.0,2023,205
4.0,5:38,2.0,7.0,LAC 30,17.0,7.0,Javonte Williams right guard for 2 yards (tackle by Khalil Mack and Scott Matlock),3.24,2.81,14.0,2023,205
4.0,4:55,,,,,,Timeout #1 by Denver Broncos,,,14.0,2023,205
4.0,4:55,3.0,5.0,LAC 28,17.0,7.0,Russell Wilson pass complete short right to Samaje Perine for 9 yards (tackle by Derwin James),2.81,4.31,14.0,2023,205
4.0,4:08,1.0,10.0,LAC 19,17.0,7.0,Javonte Williams right end for 5 yards (tackle by Justin Hollins and Derwin James),4.31,4.53,14.0,2023,205
4.0,3:23,2.0,5.0,LAC 14,17.0,7.0,Javonte Williams up the middle for 4 yards (tackle by Kenneth Murray),4.53,4.69,14.0,2023,205
4.0,3:16,,,,,,Timeout #3 by Los Angeles Chargers,,,14.0,2023,205
4.0,3:16,3.0,1.0,LAC 10,23.0,7.0,"Russell Wilson pass complete short left to Adam Trautman for 10 yards, touchdown",4.69,7.0,14.0,2023,205
4.0,3:11,,,LAC 15,24.0,7.0,Wil Lutz kicks extra point good,0.0,0.0,14.0,2023,205
4.0,3:11,,,DEN 35,24.0,7.0,"Wil Lutz kicks off 69 yards, returned by Derius Davis for 20 yards (tackle by Delarrin Turner-Yell)",0.0,-0.14,14.0,2023,205
4.0,3:06,1.0,10.0,LAC 16,24.0,7.0,Easton Stick pass complete deep left to Keenan Allen for 22 yards (tackle by Ja'Quan McMillian),-0.14,1.47,14.0,2023,205
4.0,3:00,1.0,10.0,LAC 38,24.0,7.0,Easton Stick pass complete short middle to Keenan Allen for 13 yards (tackle by Baron Browning),1.47,2.32,14.0,2023,205
4.0,2:30,1.0,10.0,DEN 49,24.0,7.0,Easton Stick pass complete short right to Gerald Everett for 9 yards (tackle by Baron Browning),2.32,3.0,14.0,2023,205
4.0,2:25,2.0,1.0,DEN 40,24.0,7.0,"Easton Stick sacked by Justin Simmons for -15 yards. Easton Stick fumbles (forced by Justin Simmons), recovered by Austin Ekeler at LAC-45 and returned for -1 yards (tackle by Ja'Quan McMillian)",3.0,0.17,14.0,2023,205
4.0,2:00,3.0,17.0,LAC 44,24.0,7.0,Easton Stick pass incomplete deep right intended for Keenan Allen,0.17,-0.46,14.0,2023,205
4.0,1:52,4.0,17.0,LAC 44,24.0,7.0,"Penalty on LAC: Delay of Game, 5 yards (accepted) (no play)",-0.46,-0.78,14.0,2023,205
4.0,1:52,4.0,22.0,LAC 39,24.0,7.0,"Easton Stick sacked by P.J. Locke for -16 yards. Easton Stick fumbles (forced by P.J. Locke), recovered by Josey Jewell at LAC-23 and returned for 10 yards (tackle by Austin Ekeler)",-0.78,-4.71,14.0,2023,205
4.0,1:44,1.0,10.0,LAC 13,24.0,7.0,Russell Wilson kneels for -2 yards,4.71,3.76,14.0,2023,205
