Quarter,Time,Down,ToGo,Location,LAR,BAL,Detail,EPB,EPA,week,year,game_id
1,5:42,3.0,9.0,BAL 9,0.0,0.0,Matthew Stafford pass incomplete short left intended for Cooper Kupp,3.36,2.83,14.0,2023,201
1,5:37,4.0,9.0,BAL 9,3.0,0.0,Lucas Havrisik 27 yard field goal good,2.83,3.0,14.0,2023,201
1,5:35,,,LAR 35,3.0,0.0,"Ethan Evans kicks off 65 yards, touchback.",0.0,0.61,14.0,2023,201
1,5:35,1.0,10.0,BAL 25,3.0,0.0,Lamar Jackson pass incomplete deep right intended for Zay Flowers,0.61,0.06,14.0,2023,201
1,5:27,2.0,10.0,BAL 25,3.0,0.0,Lamar Jackson pass complete deep left to Odell Beckham for 20 yards (tackle by Derion Kendrick),0.06,1.93,14.0,2023,201
1,4:47,1.0,10.0,BAL 45,3.0,0.0,Lamar Jackson pass incomplete deep middle intended for Rashod Bateman,1.93,1.38,14.0,2023,201
1,4:38,2.0,10.0,BAL 45,3.0,0.0,Lamar Jackson sacked by Ernest Jones for no gain,1.38,0.7,14.0,2023,201
1,4:10,3.0,10.0,BAL 45,3.0,0.0,Lamar Jackson pass incomplete short right intended for Keaton Mitchell,0.7,-0.39,14.0,2023,201
1,4:07,4.0,10.0,BAL 45,3.0,0.0,"Jordan Stout punts 47 yards, fair catch by Austin Trammell at LA-8",-0.39,0.38,14.0,2023,201
1,4:00,1.0,10.0,LAR 8,3.0,0.0,Matthew Stafford pass complete short middle to Puka Nacua for 17 yards (tackle by Marcus Williams and Kyle Hamilton),-0.38,0.61,14.0,2023,201
1,3:38,1.0,10.0,LAR 25,3.0,0.0,Matthew Stafford pass incomplete short right intended for Puka Nacua,0.61,0.06,14.0,2023,201
1,3:30,2.0,10.0,LAR 25,3.0,0.0,Matthew Stafford pass complete short middle to Puka Nacua for 4 yards (tackle by Kyle Hamilton),0.06,-0.1,14.0,2023,201
1,2:42,3.0,6.0,LAR 29,3.0,0.0,Matthew Stafford sacked by Justin Madubuike for -8 yards,-0.1,-1.96,14.0,2023,201
1,2:05,4.0,14.0,LAR 21,3.0,0.0,"Ethan Evans punts 59 yards, returned by Devin Duvernay for 14 yards (tackle by Ben Skowronek)",-1.96,-1.2,14.0,2023,201
1,1:54,1.0,10.0,BAL 34,3.0,0.0,Keaton Mitchell right end for 6 yards (tackle by Michael Hoecht and Ernest Jones),1.2,1.47,14.0,2023,201
1,1:14,2.0,4.0,BAL 40,3.0,0.0,Keaton Mitchell right guard for 6 yards (tackle by Bobby Brown),1.47,1.99,14.0,2023,201
1,0:34,1.0,10.0,BAL 46,3.0,6.0,"Lamar Jackson pass complete deep left to Isaiah Likely for 54 yards, touchdown",1.99,7.0,14.0,2023,201
1,0:25,,,LAR 15,3.0,7.0,Justin Tucker kicks extra point good,0.0,0.0,14.0,2023,201
1,0:25,,,BAL 35,3.0,7.0,"Justin Tucker kicks off 65 yards, touchback.",0.0,0.61,14.0,2023,201
1,0:25,1.0,10.0,LAR 25,3.0,7.0,Royce Freeman left tackle for 3 yards (tackle by Justin Madubuike and Tavius Robinson),0.61,0.47,14.0,2023,201
2,15:00,2.0,7.0,LAR 28,3.0,7.0,Kyren Williams right end for 5 yards (tackle by Justin Madubuike and Patrick Queen),0.47,0.43,14.0,2023,201
2,14:18,3.0,2.0,LAR 33,3.0,7.0,"Matthew Stafford pass complete deep right to Demarcus Robinson for 22 yards (tackle by Marcus Williams). Penalty on Marcus Williams: Unnecessary Roughness / Defense, 15 yards (accepted)",0.43,3.58,14.0,2023,201
2,13:55,1.0,10.0,BAL 30,3.0,7.0,Matthew Stafford pass complete short right to Cooper Kupp for 27 yards (tackle by Brandon Stephens),3.58,6.51,14.0,2023,201
2,13:12,,,,,,Timeout #1 by Los Angeles Rams,,,14.0,2023,201
2,13:12,1.0,3.0,BAL 3,3.0,7.0,Kyren Williams up the middle for 2 yards (tackle by Justin Madubuike and Roquan Smith),6.51,5.91,14.0,2023,201
2,12:29,2.0,1.0,BAL 1,3.0,7.0,"Penalty on Coleman Shelton: False Start, 5 yards (accepted) (no play)",5.91,4.95,14.0,2023,201
2,12:10,2.0,6.0,BAL 6,3.0,7.0,Matthew Stafford pass incomplete short left intended for Cooper Kupp,4.95,4.04,14.0,2023,201
2,12:06,3.0,6.0,BAL 6,9.0,7.0,"Matthew Stafford pass complete short left to Cooper Kupp for 6 yards, touchdown",4.04,7.0,14.0,2023,201
2,12:01,,,BAL 15,10.0,7.0,Lucas Havrisik kicks extra point good,0.0,0.0,14.0,2023,201
2,12:01,,,LAR 35,10.0,7.0,"Ethan Evans kicks off 65 yards, touchback.",0.0,0.61,14.0,2023,201
2,12:01,1.0,10.0,BAL 25,10.0,7.0,Lamar Jackson scrambles left end for 11 yards (tackle by Ernest Jones),0.61,1.33,14.0,2023,201
2,11:20,1.0,10.0,BAL 36,10.0,7.0,Lamar Jackson left end for 3 yards (tackle by John Johnson),1.33,1.2,14.0,2023,201
2,10:45,2.0,7.0,BAL 39,10.0,7.0,Lamar Jackson pass incomplete short middle intended for Odell Beckham,1.2,0.5,14.0,2023,201
2,10:41,3.0,7.0,BAL 39,10.0,7.0,Lamar Jackson pass complete short left to Zay Flowers for 15 yards (tackle by John Johnson),0.5,2.52,14.0,2023,201
2,9:48,1.0,10.0,LAR 46,10.0,13.0,"Lamar Jackson pass complete deep left to Odell Beckham for 46 yards, touchdown",2.52,7.0,14.0,2023,201
2,9:40,,,LAR 15,10.0,14.0,Justin Tucker kicks extra point good,0.0,0.0,14.0,2023,201
2,9:40,,,BAL 35,10.0,14.0,"Justin Tucker kicks off 65 yards, touchback.",0.0,0.61,14.0,2023,201
2,9:40,1.0,10.0,LAR 25,10.0,14.0,Royce Freeman left end for 3 yards (tackle by Brent Urban and Roquan Smith),0.61,0.47,14.0,2023,201
2,9:00,2.0,7.0,LAR 28,10.0,14.0,Matthew Stafford pass complete short right to Cooper Kupp for 4 yards (tackle by Geno Stone),0.47,0.3,14.0,2023,201
2,8:14,3.0,3.0,LAR 32,10.0,14.0,Matthew Stafford pass complete short left to Cooper Kupp for -2 yards (tackle by Kyle Van Noy and Kyle Hamilton),0.3,-1.37,14.0,2023,201
2,7:32,4.0,5.0,LAR 30,10.0,14.0,"Ethan Evans punts 49 yards, returned by Devin Duvernay for 14 yards (tackle by Royce Freeman). Penalty on Tylan Wallace: Defensive Offside, 5 yards (accepted) (no play)",-1.37,1.27,14.0,2023,201
2,7:20,1.0,10.0,LAR 35,10.0,14.0,Kyren Williams left guard for 6 yards (tackle by Justin Madubuike),1.27,1.53,14.0,2023,201
2,6:38,2.0,4.0,LAR 41,10.0,14.0,Matthew Stafford pass incomplete deep left intended for Demarcus Robinson,1.53,0.83,14.0,2023,201
2,6:32,3.0,4.0,LAR 41,10.0,14.0,Matthew Stafford pass complete short middle to Puka Nacua for 34 yards (tackle by Marcus Williams),0.83,3.91,14.0,2023,201
2,5:59,1.0,10.0,BAL 25,10.0,14.0,Matthew Stafford pass incomplete deep left intended for Tutu Atwell (defended by Marcus Williams),3.91,3.36,14.0,2023,201
2,5:53,2.0,10.0,BAL 25,10.0,14.0,"Matthew Stafford pass incomplete deep left intended for Puka Nacua. Penalty on Kyle Hamilton: Defensive Pass Interference, 15 yards (accepted) (no play)",3.36,4.91,14.0,2023,201
2,5:47,1.0,10.0,BAL 10,10.0,14.0,Kyren Williams right guard for 3 yards (tackle by Jadeveon Clowney and Travis Jones),4.91,4.76,14.0,2023,201
2,5:06,2.0,7.0,BAL 7,16.0,14.0,"Matthew Stafford pass complete short right to Davis Allen for 7 yards, touchdown",4.76,7.0,14.0,2023,201
2,5:00,,,BAL 15,16.0,14.0,"Penalty on Roquan Smith: Face Mask (15 Yards), 8 yards (accepted) (no play)",0.0,0.0,14.0,2023,201
2,5:00,,,BAL 7,17.0,14.0,Lucas Havrisik kicks extra point good,0.0,0.0,14.0,2023,201
2,5:00,,,LAR 35,17.0,14.0,"Ethan Evans kicks off 65 yards, touchback.",0.0,0.61,14.0,2023,201
2,5:00,1.0,10.0,BAL 25,17.0,14.0,"Penalty on John Simpson: False Start, 5 yards (accepted) (no play)",0.61,0.28,14.0,2023,201
2,5:00,1.0,15.0,BAL 20,17.0,14.0,Lamar Jackson pass deep left intended for Rashod Bateman is intercepted by Ahkello Witherspoon at LA-32 and returned for 17 yards (tackle by Charlie Kolar),0.28,-2.19,14.0,2023,201
2,4:46,1.0,10.0,LAR 49,17.0,14.0,Kyren Williams right end for 8 yards (tackle by Kyle Hamilton),2.19,2.73,14.0,2023,201
2,4:01,2.0,2.0,BAL 43,17.0,14.0,Kyren Williams left guard for 1 yard (tackle by Odafe Oweh and Justin Madubuike),2.73,2.15,14.0,2023,201
2,3:17,3.0,1.0,BAL 42,17.0,14.0,"Matthew Stafford pass complete short right to Cooper Kupp for no gain (tackle by Geno Stone). Penalty on Kyren Williams: Offensive Low Block, 14 yards (accepted) (no play)",2.15,0.3,14.0,2023,201
2,2:56,3.0,15.0,LAR 44,17.0,14.0,Matthew Stafford pass complete short middle to Davis Allen for 18 yards (tackle by Marlon Humphrey),0.3,3.05,14.0,2023,201
2,2:12,1.0,10.0,BAL 38,17.0,14.0,Matthew Stafford pass complete short left to Cooper Kupp for 2 yards (tackle by Patrick Queen),3.05,2.78,14.0,2023,201
2,2:00,2.0,8.0,BAL 36,17.0,14.0,Kyren Williams up the middle for 3 yards (tackle by Patrick Queen and Jadeveon Clowney),2.78,2.48,14.0,2023,201
2,1:55,,,,,,Timeout #1 by Baltimore Ravens,,,14.0,2023,201
2,1:55,3.0,5.0,BAL 33,17.0,14.0,Matthew Stafford pass incomplete deep left intended for Demarcus Robinson,2.48,1.17,14.0,2023,201
2,1:50,4.0,5.0,BAL 33,20.0,14.0,Lucas Havrisik 51 yard field goal good,1.17,3.0,14.0,2023,201
2,1:45,,,LAR 35,20.0,14.0,"Ethan Evans kicks off 65 yards, touchback.",0.0,0.61,14.0,2023,201
2,1:45,1.0,10.0,BAL 25,20.0,14.0,Lamar Jackson pass incomplete short right intended for Odell Beckham (defended by Ernest Jones),0.61,0.06,14.0,2023,201
2,1:41,2.0,10.0,BAL 25,20.0,14.0,Lamar Jackson pass complete short middle to Nelson Agholor for 12 yards (tackle by John Johnson),0.06,1.4,14.0,2023,201
2,1:35,1.0,10.0,BAL 37,20.0,14.0,Lamar Jackson pass complete short right to Nelson Agholor for 8 yards (tackle by Jordan Fuller),1.4,1.94,14.0,2023,201
2,1:30,2.0,2.0,BAL 45,20.0,14.0,Lamar Jackson scrambles left end for 6 yards (tackle by Cobie Durant),1.94,2.32,14.0,2023,201
2,1:23,1.0,10.0,LAR 49,20.0,14.0,Lamar Jackson pass complete short left to Isaiah Likely for 7 yards (tackle by Ahkello Witherspoon),2.32,2.73,14.0,2023,201
2,1:16,2.0,3.0,LAR 42,20.0,14.0,Lamar Jackson pass complete short left to Rashod Bateman for 14 yards,2.73,3.71,14.0,2023,201
2,1:12,1.0,10.0,LAR 28,20.0,14.0,Lamar Jackson pass incomplete short left intended for Zay Flowers,3.71,3.17,14.0,2023,201
2,1:05,,,,,,Timeout #2 by Los Angeles Rams,,,14.0,2023,201
2,1:05,2.0,10.0,LAR 28,20.0,14.0,Lamar Jackson pass complete short middle to Rashod Bateman for 10 yards (tackle by Russ Yeast),3.17,4.37,14.0,2023,201
2,0:46,1.0,10.0,LAR 18,20.0,14.0,Lamar Jackson pass incomplete short right,4.37,3.8,14.0,2023,201
2,0:40,2.0,10.0,LAR 18,20.0,14.0,Lamar Jackson pass complete short right to Nelson Agholor for 1 yard (tackle by Christian Rozeboom and Michael Hoecht),3.8,3.17,14.0,2023,201
2,0:19,3.0,9.0,LAR 17,20.0,14.0,Lamar Jackson pass complete short left to Isaiah Likely for 4 yards (tackle by John Johnson),3.17,2.62,14.0,2023,201
2,0:12,,,,,,Timeout #2 by Baltimore Ravens,,,14.0,2023,201
2,0:12,4.0,5.0,LAR 13,20.0,17.0,Justin Tucker 31 yard field goal good,2.62,3.0,14.0,2023,201
2,0:09,,,BAL 35,20.0,17.0,"Justin Tucker kicks off 65 yards, touchback.",0.0,0.61,14.0,2023,201
2,0:09,1.0,10.0,LAR 25,20.0,17.0,Matthew Stafford kneels for -1 yards,0.61,-0.07,14.0,2023,201
3,15:00,,,BAL 35,20.0,17.0,"Justin Tucker kicks off 65 yards, touchback.",0.0,0.61,14.0,2023,201
3,15:00,1.0,10.0,LAR 25,20.0,17.0,Matthew Stafford pass complete short right to Kyren Williams for -2 yards (tackle by Brandon Stephens),0.61,-0.21,14.0,2023,201
3,14:29,2.0,12.0,LAR 23,20.0,17.0,Matthew Stafford pass incomplete deep right intended for Demarcus Robinson,-0.21,-0.89,14.0,2023,201
3,14:23,3.0,12.0,LAR 23,20.0,17.0,"Penalty on Kevin Dotson: False Start, 5 yards (accepted) (no play)",-0.89,-1.72,14.0,2023,201
3,14:23,3.0,17.0,LAR 18,20.0,17.0,Kyren Williams up the middle for 11 yards (tackle by Kyle Hamilton),-1.72,-1.44,14.0,2023,201
3,13:45,4.0,6.0,LAR 29,20.0,17.0,"Ethan Evans punts 58 yards, returned by Tylan Wallace for 10 yards (tackle by Tre'Vius Tomlinson)",-1.44,-0.48,14.0,2023,201
3,13:34,1.0,10.0,BAL 23,20.0,17.0,Gus Edwards up the middle for 3 yards (tackle by Jordan Fuller),0.48,0.34,14.0,2023,201
3,12:54,2.0,7.0,BAL 26,20.0,17.0,Keaton Mitchell left end for 27 yards (tackle by Jordan Fuller),0.34,2.46,14.0,2023,201
3,12:13,1.0,10.0,LAR 47,20.0,17.0,Lamar Jackson pass incomplete deep right intended for Zay Flowers,2.46,1.91,14.0,2023,201
3,12:05,2.0,10.0,LAR 47,20.0,17.0,(tackle by Ernest Jones),1.91,3.18,14.0,2023,201
3,11:24,1.0,10.0,LAR 36,20.0,17.0,Gus Edwards right guard for 5 yards (tackle by Ernest Jones),3.18,3.31,14.0,2023,201
3,10:52,2.0,5.0,LAR 31,20.0,17.0,Keaton Mitchell left tackle for 3 yards (tackle by Nick Hampton and Kobie Turner),3.31,3.01,14.0,2023,201
3,10:11,3.0,2.0,LAR 28,20.0,17.0,Lamar Jackson pass incomplete short middle intended for Odell Beckham (defended by Aaron Donald),3.01,1.7,14.0,2023,201
3,10:07,4.0,2.0,LAR 28,20.0,20.0,Justin Tucker 47 yard field goal good,1.7,3.0,14.0,2023,201
3,10:02,,,BAL 35,20.0,20.0,"Justin Tucker kicks off 65 yards, touchback.",0.0,0.61,14.0,2023,201
3,10:02,1.0,10.0,LAR 25,20.0,20.0,Kyren Williams right tackle for -2 yards (tackle by Kyle Hamilton),0.61,-0.21,14.0,2023,201
3,9:33,2.0,12.0,LAR 23,20.0,20.0,Matthew Stafford sacked by Travis Jones for -4 yards,-0.21,-1.29,14.0,2023,201
3,9:01,3.0,15.0,LAR 20,20.0,20.0,"Matthew Stafford pass incomplete deep right intended for Puka Nacua. Penalty on Marlon Humphrey: Defensive Pass Interference, 16 yards (accepted) (no play)",-1.29,1.27,14.0,2023,201
3,8:55,1.0,10.0,LAR 35,20.0,20.0,Kyren Williams right end for 2 yards (tackle by Patrick Queen),1.27,0.99,14.0,2023,201
3,8:10,2.0,8.0,LAR 37,20.0,20.0,Kyren Williams left end for -3 yards (tackle by Roquan Smith),0.99,-0.1,14.0,2023,201
3,7:24,3.0,11.0,LAR 34,20.0,20.0,Matthew Stafford pass complete short right to Kyren Williams for 9 yards (tackle by Brandon Stephens and Roquan Smith),-0.1,-0.52,14.0,2023,201
3,6:44,4.0,2.0,LAR 43,20.0,20.0,"Ethan Evans punts 47 yards, fair catch by Tylan Wallace at BAL-10",-0.52,0.38,14.0,2023,201
3,6:39,1.0,10.0,BAL 10,20.0,20.0,Lamar Jackson up the middle for 5 yards (tackle by Jordan Fuller),-0.38,-0.35,14.0,2023,201
3,6:01,2.0,5.0,BAL 15,20.0,20.0,Lamar Jackson pass incomplete short left intended for Isaiah Likely,-0.35,-0.84,14.0,2023,201
3,5:58,3.0,5.0,BAL 15,22.0,20.0,"Tyler Linderbaum for no gain. Tyler Linderbaum fumbles out of bounds. Penalty on Lamar Jackson: Illegal Kick/Kicking Loose Ball / Offense, 10 yards (declined)",-0.84,-2.0,14.0,2023,201
3,5:54,,,BAL 20,22.0,20.0,"Jordan Stout kicks off 73 yards, returned by Austin Trammell for 22 yards (tackle by Daryl Worley and Del'Shawn Phillips)",0.0,0.87,14.0,2023,201
3,5:52,1.0,10.0,LAR 29,22.0,20.0,Matthew Stafford pass incomplete short left,0.87,0.33,14.0,2023,201
3,5:46,2.0,10.0,LAR 29,22.0,20.0,Matthew Stafford pass complete short left to Puka Nacua for 6 yards (tackle by Marcus Williams),0.33,0.43,14.0,2023,201
3,5:05,3.0,4.0,LAR 35,22.0,20.0,Matthew Stafford pass complete deep right to Cooper Kupp for 32 yards (tackle by Marcus Williams),0.43,3.38,14.0,2023,201
3,4:15,1.0,10.0,BAL 33,22.0,20.0,Kyren Williams left guard for 4 yards (tackle by Kyle Van Noy and Patrick Queen),3.38,3.38,14.0,2023,201
3,3:35,2.0,6.0,BAL 29,22.0,20.0,Kyren Williams right end for -1 yards (tackle by Roquan Smith),3.38,2.54,14.0,2023,201
3,3:07,3.0,7.0,BAL 30,22.0,20.0,Matthew Stafford pass complete short right to Kyren Williams for -8 yards (tackle by Kyle Van Noy),2.54,0.72,14.0,2023,201
3,2:19,4.0,15.0,BAL 38,22.0,20.0,"Penalty on LAR: Delay of Game, 5 yards (accepted) (no play)",0.72,0.4,14.0,2023,201
3,2:19,4.0,20.0,BAL 43,22.0,20.0,"Ethan Evans punts 43 yards, touchback.",0.4,-0.28,14.0,2023,201
3,2:05,1.0,10.0,BAL 20,22.0,20.0,Lamar Jackson scrambles up the middle for 16 yards (tackle by Ernest Jones),0.28,1.33,14.0,2023,201
3,1:22,1.0,10.0,BAL 36,22.0,20.0,Keaton Mitchell right tackle for 5 yards (tackle by Ernest Jones),1.33,1.47,14.0,2023,201
3,0:45,2.0,5.0,BAL 41,22.0,20.0,Lamar Jackson pass incomplete short right,1.47,0.76,14.0,2023,201
3,0:39,3.0,5.0,BAL 41,22.0,20.0,Lamar Jackson pass complete short middle to Zay Flowers for 6 yards (tackle by Jordan Fuller),0.76,2.06,14.0,2023,201
4,15:00,1.0,10.0,BAL 47,22.0,20.0,Lamar Jackson pass incomplete deep left intended for Odell Beckham,2.06,1.52,14.0,2023,201
4,14:53,2.0,10.0,BAL 47,22.0,20.0,Lamar Jackson pass complete short left to Isaiah Likely for 11 yards (tackle by Russ Yeast),1.52,2.79,14.0,2023,201
4,14:10,1.0,10.0,LAR 42,22.0,20.0,Gus Edwards left tackle for 2 yards (tackle by Ernest Jones and Jonah Williams),2.79,2.51,14.0,2023,201
4,13:34,2.0,8.0,LAR 40,22.0,20.0,Lamar Jackson pass complete deep right to Odell Beckham for 17 yards (tackle by Russ Yeast),2.51,4.04,14.0,2023,201
4,12:53,1.0,10.0,LAR 23,22.0,20.0,Keaton Mitchell left end for 3 yards (tackle by Troy Reeder and Ernest Jones),4.04,3.9,14.0,2023,201
4,12:13,2.0,7.0,LAR 20,22.0,20.0,Lamar Jackson pass incomplete short middle intended for Zay Flowers,3.9,3.2,14.0,2023,201
4,12:08,3.0,7.0,LAR 20,22.0,20.0,Lamar Jackson scrambles right end for 5 yards (tackle by Michael Hoecht),3.2,2.57,14.0,2023,201
4,11:21,4.0,2.0,LAR 15,22.0,23.0,Justin Tucker 33 yard field goal good,2.57,3.0,14.0,2023,201
4,11:17,,,BAL 35,22.0,23.0,"Justin Tucker kicks off 65 yards, touchback.",0.0,0.61,14.0,2023,201
4,11:17,1.0,10.0,LAR 25,22.0,23.0,Matthew Stafford pass incomplete deep middle intended for Puka Nacua (defended by Kyle Van Noy),0.61,0.06,14.0,2023,201
4,11:12,2.0,10.0,LAR 25,22.0,23.0,Kyren Williams right guard for 2 yards (tackle by Michael Pierce),0.06,-0.36,14.0,2023,201
4,10:40,3.0,8.0,LAR 27,22.0,23.0,Matthew Stafford pass incomplete deep middle intended for Demarcus Robinson,-0.36,-1.57,14.0,2023,201
4,10:35,4.0,8.0,LAR 27,22.0,23.0,"Ethan Evans punts 54 yards, returned by Tylan Wallace for 9 yards (tackle by Ben Skowronek)",-1.57,-0.81,14.0,2023,201
4,10:24,1.0,10.0,BAL 28,22.0,23.0,Gus Edwards up the middle for 1 yard (tackle by Bobby Brown),0.81,0.4,14.0,2023,201
4,9:50,2.0,9.0,BAL 29,22.0,23.0,Lamar Jackson scrambles up the middle for 5 yards (tackle by Jonah Williams),0.4,0.37,14.0,2023,201
4,9:01,3.0,4.0,BAL 34,22.0,23.0,Lamar Jackson pass complete short right to Zay Flowers for 3 yards (tackle by Derion Kendrick),0.37,-0.91,14.0,2023,201
4,8:10,4.0,1.0,BAL 37,22.0,23.0,"Jordan Stout punts 48 yards, recovered by Austin Trammell at LA-15",-0.91,0.22,14.0,2023,201
4,8:01,1.0,10.0,LAR 15,22.0,23.0,Kyren Williams left end for 7 yards (tackle by Roquan Smith),-0.22,0.35,14.0,2023,201
4,7:22,2.0,3.0,LAR 22,22.0,23.0,Kyren Williams up the middle for 14 yards (tackle by Geno Stone),0.35,1.33,14.0,2023,201
4,6:38,1.0,10.0,LAR 36,22.0,23.0,Matthew Stafford pass complete deep middle to Davis Allen for 21 yards (tackle by Geno Stone),1.33,2.72,14.0,2023,201
4,5:58,1.0,10.0,BAL 43,22.0,23.0,Matthew Stafford pass complete deep right to Puka Nacua for 23 yards (tackle by Brandon Stephens),2.72,4.24,14.0,2023,201
4,5:39,1.0,10.0,BAL 20,22.0,23.0,Kyren Williams left tackle for 3 yards (tackle by Arthur Maulet),4.24,4.12,14.0,2023,201
4,5:00,2.0,7.0,BAL 17,22.0,23.0,Matthew Stafford pass complete short left to Cooper Kupp for 12 yards (tackle by Brandon Stephens),4.12,6.06,14.0,2023,201
4,4:52,1.0,5.0,BAL 5,22.0,23.0,Matthew Stafford pass incomplete short middle,6.06,5.15,14.0,2023,201
4,4:47,2.0,5.0,BAL 5,28.0,23.0,"Matthew Stafford pass complete short right to Demarcus Robinson for 5 yards, touchdown",5.15,7.0,14.0,2023,201
4,4:41,,,,,,Timeout #1 by Baltimore Ravens,,,14.0,2023,201
4,4:41,,,BAL 2,28.0,23.0,Two Point Attempt: Matthew Stafford pass incomplete intended for intended for Cooper Kupp,1.0,-1.0,14.0,2023,201
4,4:41,,,LAR 35,28.0,23.0,"Ethan Evans kicks off 65 yards, touchback.",0.0,0.61,14.0,2023,201
4,4:41,1.0,10.0,BAL 25,28.0,23.0,Lamar Jackson pass incomplete short right intended for Justice Hill,0.61,0.06,14.0,2023,201
4,4:35,2.0,10.0,BAL 25,28.0,23.0,Lamar Jackson pass complete short left to Justice Hill for 12 yards (tackle by Ahkello Witherspoon),0.06,1.4,14.0,2023,201
4,4:28,1.0,10.0,BAL 37,28.0,23.0,Lamar Jackson scrambles left end for 9 yards (tackle by John Johnson and Michael Hoecht),1.4,2.07,14.0,2023,201
4,4:14,2.0,1.0,BAL 46,28.0,23.0,Lamar Jackson pass complete short middle to Zay Flowers for 4 yards (tackle by John Johnson),2.07,2.26,14.0,2023,201
4,3:46,1.0,10.0,BAL 50,28.0,23.0,Lamar Jackson pass complete short left to Zay Flowers for 11 yards (tackle by John Johnson),2.26,2.98,14.0,2023,201
4,3:29,1.0,10.0,LAR 39,28.0,23.0,Lamar Jackson pass incomplete short right,2.98,2.44,14.0,2023,201
4,3:20,2.0,10.0,LAR 39,28.0,23.0,Lamar Jackson pass complete short middle to Odell Beckham for 14 yards (tackle by Derion Kendrick),2.44,3.91,14.0,2023,201
4,2:57,1.0,10.0,LAR 25,28.0,23.0,Lamar Jackson pass incomplete deep right intended for Odell Beckham,3.91,3.36,14.0,2023,201
4,2:50,2.0,10.0,LAR 25,28.0,23.0,Lamar Jackson pass complete short left to Nelson Agholor for 6 yards (tackle by Ahkello Witherspoon),3.36,3.49,14.0,2023,201
4,2:44,3.0,4.0,LAR 19,28.0,23.0,Lamar Jackson pass complete short right to Nelson Agholor for 5 yards (tackle by Michael Hoecht and Cobie Durant),3.49,4.65,14.0,2023,201
4,2:00,1.0,10.0,LAR 14,28.0,23.0,Keaton Mitchell left end for -1 yards (tackle by Christian Rozeboom),4.65,3.85,14.0,2023,201
4,1:52,,,,,,Timeout #1 by Los Angeles Rams,,,14.0,2023,201
