Quarter,Time,Down,ToGo,Location,HOU,NYJ,Detail,EPB,EPA,week,year,game_id
2.0,13:57,3.0,21.0,HOU 22,0.0,0.0,"C.J. Stroud pass incomplete intended for Noah Brown. Penalty on Sauce Gardner: Illegal Contact, 5 yards (accepted) (no play)",-1.55,0.74,14.0,2023,200
2.0,13:25,1.0,10.0,HOU 27,0.0,0.0,Dameon Pierce up the middle for no gain (tackle by Quinton Jefferson),0.74,0.2,14.0,2023,200
2.0,12:48,2.0,10.0,HOU 27,0.0,0.0,"Penalty on Shaq Mason: False Start, 5 yards (accepted) (no play)",0.2,-0.48,14.0,2023,200
2.0,12:47,2.0,15.0,HOU 22,0.0,0.0,Dameon Pierce right guard for 3 yards (tackle by Jermaine Johnson and Quinnen Williams),-0.48,-0.76,14.0,2023,200
2.0,11:58,3.0,12.0,HOU 25,0.0,0.0,C.J. Stroud pass incomplete deep left intended for Noah Brown,-0.76,-1.7,14.0,2023,200
2.0,11:51,4.0,12.0,HOU 25,0.0,0.0,"Cameron Johnston punts 51 yards, returned by Xavier Gipson for no gain (tackle by D'Angelo Ross)",-1.7,-0.54,14.0,2023,200
2.0,11:43,1.0,10.0,NYJ 24,0.0,0.0,Dalvin Cook left tackle for no gain (tackle by Jonathan Greenard),0.54,0.0,14.0,2023,200
2.0,11:09,2.0,10.0,NYJ 24,0.0,0.0,Dalvin Cook right guard for 3 yards (tackle by Khalil Davis),0.0,-0.3,14.0,2023,200
2.0,10:24,3.0,7.0,NYJ 27,0.0,0.0,Zach Wilson pass complete short right to Tyler Conklin for 6 yards (tackle by Christian Harris),-0.3,-1.18,14.0,2023,200
2.0,9:43,4.0,1.0,NYJ 33,0.0,0.0,Garrett Wilson left end for 3 yards (tackle by Steven Nelson and Jimmie Ward),-1.18,1.33,14.0,2023,200
2.0,9:03,1.0,10.0,NYJ 36,0.0,0.0,Zach Wilson pass complete short right to Breece Hall for 25 yards (tackle by Jimmie Ward),1.33,2.98,14.0,2023,200
2.0,8:17,1.0,10.0,HOU 39,0.0,0.0,Breece Hall left end for -5 yards (tackle by Denzel Perryman),2.98,1.77,14.0,2023,200
2.0,7:34,2.0,15.0,HOU 44,0.0,0.0,Zach Wilson pass incomplete short right intended for Breece Hall (defended by Denzel Perryman),1.77,1.09,14.0,2023,200
2.0,7:28,3.0,15.0,HOU 44,0.0,0.0,"Zach Wilson pass complete short middle to Breece Hall for 1 yard (tackle by Maliek Collins and Christian Harris). Penalty on Joe Tippmann: Ineligible Downfield Pass, 5 yards (declined)",1.09,0.4,14.0,2023,200
2.0,7:13,4.0,14.0,HOU 43,0.0,0.0,Thomas Morstead punts 41 yards downed by Justin Hardee,0.4,0.38,14.0,2023,200
2.0,7:05,1.0,10.0,HOU 2,0.0,0.0,Devin Singletary left guard for 2 yards (tackle by Jermaine Johnson and C.J. Mosley),-0.38,-0.63,14.0,2023,200
2.0,6:26,2.0,8.0,HOU 4,0.0,0.0,Devin Singletary up the middle for 5 yards (tackle by D.J. Reed),-0.63,-0.6,14.0,2023,200
2.0,5:46,3.0,3.0,HOU 9,0.0,0.0,C.J. Stroud pass incomplete short right intended for Noah Brown,-0.6,-2.49,14.0,2023,200
2.0,5:40,4.0,3.0,HOU 9,0.0,0.0,"Cameron Johnston punts 46 yards, fair catch by Xavier Gipson at NYJ-45",-2.49,-1.93,14.0,2023,200
2.0,5:34,1.0,10.0,NYJ 45,0.0,0.0,Breece Hall left end for 2 yards (tackle by Christian Harris),1.93,1.65,14.0,2023,200
2.0,4:57,2.0,8.0,NYJ 47,0.0,0.0,Zach Wilson pass incomplete short left intended for Tyler Conklin (defended by Jonathan Greenard),1.65,0.96,14.0,2023,200
2.0,4:53,3.0,8.0,NYJ 47,0.0,0.0,Zach Wilson pass incomplete deep right intended for Garrett Wilson,0.96,-0.26,14.0,2023,200
2.0,4:47,4.0,8.0,NYJ 47,0.0,0.0,"Penalty on Samuel Eguavoen: False Start, 5 yards (accepted) (no play)",-0.26,-0.59,14.0,2023,200
2.0,4:47,4.0,13.0,NYJ 42,0.0,0.0,"Thomas Morstead punts 54 yards, recovered by Adrian Amos at HOU-5",-0.59,0.38,14.0,2023,200
2.0,4:36,1.0,10.0,HOU 5,0.0,0.0,Devin Singletary up the middle for 5 yards (tackle by Sauce Gardner and Tony Adams),-0.38,-0.42,14.0,2023,200
2.0,3:57,2.0,5.0,HOU 10,0.0,0.0,"C.J. Stroud pass incomplete short left. Penalty on Michael Deiter: Offensive Holding, 5 yards (accepted) (no play)",-0.42,-0.78,14.0,2023,200
2.0,3:51,2.0,10.0,HOU 5,0.0,0.0,Devin Singletary up the middle for 1 yard (tackle by Quinton Jefferson and Quincy Williams),-0.78,-1.3,14.0,2023,200
2.0,3:06,3.0,9.0,HOU 6,0.0,0.0,C.J. Stroud pass incomplete short left intended for Robert Woods,-1.3,-2.49,14.0,2023,200
2.0,3:00,4.0,9.0,HOU 6,0.0,0.0,"Cameron Johnston punts 51 yards, returned by Xavier Gipson for 3 yards (tackle by Tavierre Thomas and D'Angelo Ross)",-2.49,-1.99,14.0,2023,200
2.0,2:50,1.0,10.0,NYJ 46,0.0,0.0,Dalvin Cook up the middle for 1 yard (tackle by Denzel Perryman and Jonathan Greenard),1.99,1.59,14.0,2023,200
2.0,2:07,2.0,9.0,NYJ 47,0.0,0.0,Zach Wilson pass incomplete short middle intended for Tyler Conklin,1.59,0.89,14.0,2023,200
2.0,1:59,3.0,9.0,NYJ 47,0.0,0.0,Zach Wilson pass incomplete short left intended for Garrett Wilson (defended by Denzel Perryman),0.89,-0.26,14.0,2023,200
2.0,1:59,4.0,9.0,NYJ 47,0.0,0.0,"Thomas Morstead punts 45 yards, fair catch by Desmond King at HOU-8",-0.26,0.38,14.0,2023,200
2.0,1:52,1.0,10.0,HOU 8,0.0,0.0,Devin Singletary up the middle for 17 yards (tackle by Sauce Gardner and Jordan Whitehead),-0.38,0.61,14.0,2023,200
2.0,1:20,1.0,10.0,HOU 25,0.0,0.0,C.J. Stroud pass complete short right to Brevin Jordan for 6 yards (tackle by Ashtyn Davis),0.61,0.87,14.0,2023,200
2.0,1:13,2.0,4.0,HOU 31,0.0,0.0,Devin Singletary up the middle for 9 yards (tackle by Tony Adams and Bryce Huff),0.87,1.6,14.0,2023,200
2.0,0:53,1.0,10.0,HOU 40,0.0,0.0,C.J. Stroud sacked by Solomon Thomas for -9 yards,1.6,-0.16,14.0,2023,200
2.0,0:15,,,,,,Timeout #1 by Houston Texans,,,14.0,2023,200
2.0,0:15,2.0,19.0,HOU 31,0.0,0.0,C.J. Stroud pass incomplete short middle intended for Robert Woods (defended by Michael Carter),-0.16,-0.82,14.0,2023,200
2.0,0:13,3.0,19.0,HOU 31,0.0,0.0,Devin Singletary up the middle for 2 yards (tackle by Quincy Williams and C.J. Mosley),-0.82,-1.18,14.0,2023,200
2.0,0:12,,,,,,Timeout #2 by New York Jets,,,14.0,2023,200
2.0,0:12,4.0,17.0,HOU 33,0.0,0.0,"Cameron Johnston punts 47 yards Penalty on NYJ: Illegal Formation, 5 yards (declined)",-1.18,-0.28,14.0,2023,200
2.0,0:02,1.0,10.0,NYJ 20,0.0,0.0,Zach Wilson kneels for -1 yards,0.28,-0.46,14.0,2023,200
3.0,15:00,,,HOU 35,0.0,0.0,"Matt Ammendola kicks off 65 yards, touchback.",0.0,0.61,14.0,2023,200
3.0,15:00,1.0,10.0,NYJ 25,0.0,0.0,Zach Wilson pass complete short right to Jeremy Ruckert for 7 yards (tackle by Jimmie Ward),0.61,1.01,14.0,2023,200
3.0,14:25,2.0,3.0,NYJ 32,0.0,0.0,Zach Wilson pass complete short left to Garrett Wilson for 14 yards (tackle by Steven Nelson),1.01,1.99,14.0,2023,200
3.0,13:51,1.0,10.0,NYJ 46,0.0,0.0,Zach Wilson pass complete deep right to Garrett Wilson for 16 yards (tackle by Derek Stingley),1.99,3.05,14.0,2023,200
3.0,13:07,1.0,10.0,HOU 38,0.0,0.0,"Penalty on Garrett Wilson: False Start, 5 yards (accepted) (no play)",3.05,2.72,14.0,2023,200
3.0,12:44,1.0,15.0,HOU 43,0.0,0.0,Zach Wilson scrambles left end for 3 yards (tackle by Desmond King),2.72,2.24,14.0,2023,200
3.0,12:01,2.0,12.0,HOU 40,0.0,0.0,Zach Wilson pass incomplete short middle intended for Garrett Wilson,2.24,1.55,14.0,2023,200
3.0,11:56,3.0,12.0,HOU 40,0.0,0.0,Zach Wilson pass complete deep middle to Garrett Wilson for 25 yards (tackle by Jalen Pitre),1.55,4.58,14.0,2023,200
3.0,11:11,1.0,10.0,HOU 15,0.0,6.0,"Zach Wilson pass complete short right to Randall Cobb for 15 yards, touchdown",4.58,7.0,14.0,2023,200
3.0,11:05,,,HOU 15,0.0,7.0,Greg Zuerlein kicks extra point good,0.0,0.0,14.0,2023,200
3.0,11:05,,,NYJ 35,0.0,7.0,"Greg Zuerlein kicks off 65 yards, touchback.",0.0,0.61,14.0,2023,200
3.0,11:05,1.0,10.0,HOU 25,0.0,7.0,C.J. Stroud pass incomplete short right intended for Xavier Hutchinson (defended by D.J. Reed),0.61,0.06,14.0,2023,200
3.0,10:58,2.0,10.0,HOU 25,0.0,7.0,Dameon Pierce up the middle for 2 yards (tackle by Quinton Jefferson and Jordan Whitehead),0.06,-0.36,14.0,2023,200
3.0,10:18,3.0,8.0,HOU 27,0.0,7.0,C.J. Stroud sacked by Quinnen Williams for -6 yards,-0.36,-1.96,14.0,2023,200
3.0,9:40,4.0,14.0,HOU 21,0.0,7.0,"Cameron Johnston punts 48 yards, fair catch by Xavier Gipson at NYJ-31",-1.96,-1.0,14.0,2023,200
3.0,9:33,1.0,10.0,NYJ 31,0.0,7.0,Zach Wilson pass complete short right to Dalvin Cook for -5 yards (tackle by Sheldon Rankins),1.0,-0.22,14.0,2023,200
3.0,8:50,2.0,15.0,NYJ 26,0.0,7.0,Zach Wilson pass complete short right to Jeremy Ruckert for 11 yards (tackle by Derek Stingley),-0.22,0.56,14.0,2023,200
3.0,8:01,,,,,,Timeout #1 by New York Jets,,,14.0,2023,200
3.0,8:01,3.0,4.0,NYJ 37,0.0,7.0,"Penalty on Chris Glaser: False Start, 5 yards (accepted) (no play)",0.56,-0.1,14.0,2023,200
3.0,8:01,3.0,9.0,NYJ 32,0.0,7.0,Zach Wilson pass complete deep right to Tyler Conklin for 24 yards (tackle by Jimmie Ward),-0.1,2.65,14.0,2023,200
3.0,7:22,1.0,10.0,HOU 44,0.0,7.0,Breece Hall left tackle for no gain (tackle by Khalil Davis),2.65,2.11,14.0,2023,200
3.0,6:42,2.0,10.0,HOU 44,0.0,7.0,"Zach Wilson pass incomplete deep left. Penalty on Will Anderson: Roughing the Passer, 15 yards (accepted) (no play)",2.11,3.64,14.0,2023,200
3.0,6:35,1.0,10.0,HOU 29,0.0,7.0,Israel Abanikanda up the middle for 3 yards (tackle by Jonathan Greenard),3.64,3.51,14.0,2023,200
3.0,5:56,2.0,7.0,HOU 26,0.0,7.0,Zach Wilson pass complete short left to Garrett Wilson for 6 yards (tackle by Steven Nelson),3.51,3.6,14.0,2023,200
3.0,5:19,3.0,1.0,HOU 20,0.0,7.0,Zach Wilson pass complete short middle to Garrett Wilson for 11 yards (tackle by Jalen Pitre),3.6,5.14,14.0,2023,200
3.0,4:37,1.0,9.0,HOU 9,0.0,13.0,"Xavier Gipson right end for 9 yards, touchdown",5.14,7.0,14.0,2023,200
3.0,4:31,,,HOU 15,0.0,14.0,Greg Zuerlein kicks extra point good,0.0,0.0,14.0,2023,200
3.0,4:31,,,NYJ 35,0.0,14.0,"Greg Zuerlein kicks off 65 yards, touchback.",0.0,0.61,14.0,2023,200
3.0,4:31,1.0,10.0,HOU 25,0.0,14.0,Dameon Pierce right end for 4 yards (tackle by Jordan Whitehead),0.61,0.6,14.0,2023,200
3.0,3:53,2.0,6.0,HOU 29,0.0,14.0,C.J. Stroud pass incomplete short right intended for John Metchie (defended by Sauce Gardner),0.6,-0.1,14.0,2023,200
3.0,3:48,3.0,6.0,HOU 29,0.0,14.0,C.J. Stroud pass incomplete short right intended for John Metchie (defended by Tony Adams),-0.1,-1.44,14.0,2023,200
3.0,3:42,4.0,6.0,HOU 29,0.0,14.0,"Cameron Johnston punts 52 yards, fair catch by Xavier Gipson at NYJ-19",-1.44,-0.15,14.0,2023,200
3.0,3:35,1.0,10.0,NYJ 19,0.0,14.0,Breece Hall left tackle for 4 yards (tackle by Christian Harris),0.15,0.21,14.0,2023,200
3.0,2:56,2.0,6.0,NYJ 23,0.0,14.0,Zach Wilson pass complete short left to Tyler Conklin for 7 yards (tackle by Jalen Pitre),0.21,0.94,14.0,2023,200
3.0,2:14,1.0,10.0,NYJ 30,0.0,14.0,Zach Wilson pass complete short right to Breece Hall for 10 yards (tackle by Jalen Pitre),0.94,1.6,14.0,2023,200
3.0,1:34,1.0,10.0,NYJ 40,0.0,14.0,"Zach Wilson scrambles left tackle for 10 yards. Zach Wilson fumbles (forced by Christian Harris), recovered by Khalil Davis at HOU-43",1.6,-1.8,14.0,2023,200
3.0,1:20,1.0,10.0,HOU 43,0.0,14.0,C.J. Stroud pass complete short right to Andrew Beck for 26 yards (tackle by Tony Adams),1.8,3.51,14.0,2023,200
3.0,0:44,1.0,10.0,NYJ 31,0.0,14.0,C.J. Stroud pass complete short left to Brevin Jordan for 23 yards (tackle by Ashtyn Davis),3.51,5.37,14.0,2023,200
3.0,0:08,1.0,8.0,NYJ 8,0.0,14.0,C.J. Stroud pass incomplete short right intended for Devin Singletary (defended by Jermaine Johnson),5.37,4.57,14.0,2023,200
3.0,0:05,2.0,8.0,NYJ 8,0.0,14.0,"C.J. Stroud pass incomplete short left intended for Noah Brown. Penalty on Tony Adams: Defensive Pass Interference, 7 yards (accepted) . Penalty on Quinnen Williams: Roughing the Passer, 15 yards (declined) (no play)",4.57,6.97,14.0,2023,200
3.0,0:00,1.0,1.0,NYJ 1,6.0,14.0,"Devin Singletary for 1 yard, touchdown",6.97,7.0,14.0,2023,200
3.0,0:00,,,NYJ 15,6.0,14.0,Matt Ammendola kicks extra point no good,0.0,-1.0,14.0,2023,200
4.0,15:00,,,HOU 35,6.0,14.0,"Matt Ammendola kicks off 65 yards, touchback.",0.0,0.61,14.0,2023,200
4.0,15:00,1.0,10.0,NYJ 25,6.0,14.0,Dalvin Cook right tackle for 5 yards (tackle by Jake Hansen),0.61,0.74,14.0,2023,200
4.0,14:25,2.0,5.0,NYJ 30,6.0,14.0,Dalvin Cook up the middle for 2 yards (tackle by Jonathan Greenard),0.74,0.3,14.0,2023,200
4.0,13:42,3.0,3.0,NYJ 32,6.0,14.0,Zach Wilson pass complete short right to Breece Hall for 6 yards (tackle by Christian Harris),0.3,1.47,14.0,2023,200
4.0,13:09,1.0,10.0,NYJ 38,6.0,14.0,Zach Wilson pass complete short left to Breece Hall for 27 yards (tackle by Jimmie Ward),1.47,3.25,14.0,2023,200
4.0,12:25,1.0,10.0,HOU 35,6.0,14.0,Breece Hall right tackle for 15 yards (tackle by Derek Stingley),3.25,4.24,14.0,2023,200
4.0,11:42,1.0,10.0,HOU 20,6.0,14.0,Zach Wilson sacked by Jonathan Greenard for -9 yards,4.24,2.48,14.0,2023,200
4.0,11:00,2.0,19.0,HOU 29,6.0,14.0,Zach Wilson pass complete short right to Jeremy Ruckert for 19 yards (tackle by Jalen Pitre and Denzel Perryman),2.48,4.91,14.0,2023,200
4.0,10:19,1.0,10.0,HOU 10,6.0,14.0,Zach Wilson pass complete short right to Garrett Wilson for 7 yards (tackle by Jalen Pitre),4.91,5.53,14.0,2023,200
4.0,9:39,2.0,3.0,HOU 3,6.0,14.0,Zach Wilson pass incomplete short left,5.53,4.72,14.0,2023,200
4.0,9:32,3.0,3.0,HOU 3,6.0,20.0,"Zach Wilson pass complete short left to Breece Hall for 3 yards, touchdown",4.72,7.0,14.0,2023,200
4.0,9:27,,,HOU 15,6.0,21.0,Greg Zuerlein kicks extra point good,0.0,0.0,14.0,2023,200
4.0,9:27,,,NYJ 35,6.0,21.0,"Greg Zuerlein kicks off 65 yards, touchback.",0.0,0.61,14.0,2023,200
4.0,9:27,1.0,10.0,HOU 25,6.0,21.0,Devin Singletary right guard for no gain (tackle by Jalyn Holmes and Quincy Williams),0.61,0.06,14.0,2023,200
4.0,8:49,2.0,10.0,HOU 25,6.0,21.0,C.J. Stroud pass complete short left to Xavier Hutchinson for 8 yards (tackle by D.J. Reed),0.06,0.43,14.0,2023,200
4.0,8:23,3.0,2.0,HOU 33,6.0,21.0,C.J. Stroud pass incomplete short right intended for Noah Brown (defended by Sauce Gardner),0.43,-1.18,14.0,2023,200
4.0,8:16,4.0,2.0,HOU 33,6.0,21.0,C.J. Stroud pass incomplete deep middle intended for Noah Brown,-1.18,-3.45,14.0,2023,200
4.0,8:11,1.0,10.0,HOU 32,6.0,21.0,Zach Wilson sacked by Jonathan Greenard for -7 yards,3.45,1.96,14.0,2023,200
4.0,7:31,2.0,17.0,HOU 39,6.0,21.0,Zach Wilson pass complete short left to Garrett Wilson for 6 yards,1.96,2.08,14.0,2023,200
4.0,7:00,3.0,11.0,HOU 33,6.0,21.0,Zach Wilson pass incomplete deep left intended for Garrett Wilson,2.08,1.15,14.0,2023,200
4.0,6:56,4.0,11.0,HOU 33,6.0,24.0,Greg Zuerlein 51 yard field goal good,1.15,3.0,14.0,2023,200
4.0,6:51,,,NYJ 35,6.0,24.0,"Greg Zuerlein kicks off 65 yards, touchback.",0.0,0.61,14.0,2023,200
4.0,6:51,1.0,10.0,HOU 25,6.0,24.0,C.J. Stroud pass incomplete deep left intended for Devin Singletary,0.61,0.06,14.0,2023,200
4.0,6:43,2.0,10.0,HOU 25,6.0,24.0,C.J. Stroud pass complete short right to John Metchie for 6 yards (tackle by D.J. Reed),0.06,0.17,14.0,2023,200
4.0,6:22,3.0,4.0,HOU 31,6.0,24.0,Davis Mills pass incomplete deep left intended for John Metchie,0.17,-1.31,14.0,2023,200
4.0,6:17,4.0,4.0,HOU 31,6.0,24.0,Davis Mills pass incomplete short left intended for Noah Brown (defended by D.J. Reed),-1.31,-3.58,14.0,2023,200
4.0,6:13,1.0,10.0,HOU 30,6.0,24.0,Breece Hall up the middle for 1 yard (tackle by Jimmie Ward and Maliek Collins),3.58,3.17,14.0,2023,200
4.0,5:30,2.0,9.0,HOU 29,6.0,24.0,"Breece Hall for 1 yard (tackle by Christian Harris). Penalty on Allen Lazard: Offensive Holding, 10 yards (accepted)",3.17,1.95,14.0,2023,200
4.0,5:24,2.0,18.0,HOU 38,6.0,24.0,Zach Wilson sacked by Maliek Collins for -7 yards,1.95,0.37,14.0,2023,200
4.0,4:42,3.0,25.0,HOU 45,6.0,24.0,Breece Hall left tackle for 9 yards (tackle by Jalen Pitre and Denzel Perryman),0.37,0.79,14.0,2023,200
4.0,4:34,,,,,,Timeout #1 by Houston Texans,,,14.0,2023,200
4.0,4:34,4.0,17.0,HOU 37,6.0,27.0,Greg Zuerlein 55 yard field goal good,0.79,3.0,14.0,2023,200
4.0,4:30,,,NYJ 35,6.0,27.0,"Greg Zuerlein kicks off 65 yards, touchback.",0.0,0.61,14.0,2023,200
4.0,4:30,1.0,10.0,HOU 25,6.0,27.0,Davis Mills pass incomplete short left intended for Dare Ogunbowale (defended by Quincy Williams),0.61,0.06,14.0,2023,200
4.0,4:25,2.0,10.0,HOU 25,6.0,27.0,Davis Mills pass complete short right to Dare Ogunbowale for 4 yards (tackle by Quincy Williams),0.06,-0.1,14.0,2023,200
4.0,4:04,3.0,6.0,HOU 29,6.0,27.0,Davis Mills sacked by Will McDonald for -3 yards,-0.1,-1.63,14.0,2023,200
4.0,3:23,4.0,9.0,HOU 26,6.0,27.0,Davis Mills pass incomplete short left intended for John Metchie (defended by D.J. Reed),-1.63,-3.91,14.0,2023,200
4.0,3:18,1.0,10.0,HOU 25,6.0,27.0,Nick Bawden right guard for 3 yards (tackle by Derek Stingley),3.91,3.77,14.0,2023,200
4.0,2:36,2.0,7.0,HOU 22,6.0,27.0,Israel Abanikanda left end for -3 yards (tackle by Derek Barnett),3.77,2.74,14.0,2023,200
4.0,2:00,3.0,9.0,HOU 25,6.0,27.0,Israel Abanikanda up the middle for -1 yards (tackle by Derek Barnett),2.74,1.74,14.0,2023,200
4.0,1:12,4.0,10.0,HOU 26,6.0,30.0,Greg Zuerlein 44 yard field goal good,1.74,3.0,14.0,2023,200
4.0,1:08,,,NYJ 35,6.0,30.0,"Greg Zuerlein kicks off 65 yards, touchback.",0.0,0.61,14.0,2023,200
4.0,1:08,1.0,10.0,HOU 25,6.0,30.0,"Penalty on Solomon Thomas: Encroachment, 5 yards (accepted) (no play)",0.61,1.34,14.0,2023,200
4.0,1:08,1.0,5.0,HOU 30,6.0,30.0,Dare Ogunbowale up the middle for 4 yards (tackle by Samuel Eguavoen),1.34,1.28,14.0,2023,200
4.0,0:34,2.0,1.0,HOU 34,6.0,30.0,Dare Ogunbowale up the middle for 3 yards (tackle by Micheal Clemons and Jamien Sherwood),1.28,1.4,14.0,2023,200
