Quarter,Time,Down,ToGo,Location,DET,CHI,Detail,EPB,EPA,week,year,game_id
2.0,5:21,4.0,18.0,CHI 15,6.0,10.0,"Trenton Gill punts 38 yards, fair catch by Kalif Raymond at DET-47",-2.44,-2.06,14.0,2023,197
2.0,5:15,1.0,10.0,DET 47,6.0,10.0,"Jahmyr Gibbs right tackle for 4 yards. Jahmyr Gibbs fumbles, ball out of bounds at CHI-49 (forced by Jaquan Brisker). Jahmyr Gibbs fumbles out of bounds",2.06,2.06,14.0,2023,197
2.0,4:41,2.0,6.0,CHI 49,6.0,10.0,Jared Goff pass complete short right to Brock Wright for 4 yards (tackle by Tyrique Stevenson),2.06,1.88,14.0,2023,197
2.0,3:54,3.0,2.0,CHI 45,6.0,10.0,Jared Goff pass complete short middle to Sam LaPorta for 10 yards (tackle by Tyrique Stevenson),1.88,3.25,14.0,2023,197
2.0,3:13,1.0,10.0,CHI 35,6.0,10.0,Jahmyr Gibbs left tackle for 4 yards (tackle by Montez Sweat),3.25,3.24,14.0,2023,197
2.0,2:33,2.0,6.0,CHI 31,6.0,10.0,David Montgomery right tackle for 3 yards (tackle by Jaquan Brisker and Yannick Ngakoue),3.24,2.94,14.0,2023,197
2.0,2:00,3.0,3.0,CHI 28,6.0,10.0,Jahmyr Gibbs left tackle for 3 yards (tackle by Jaylon Johnson and Tremaine Edmunds),2.94,3.91,14.0,2023,197
2.0,1:53,,,,,,Timeout #2 by Chicago Bears,,,14.0,2023,197
2.0,1:53,1.0,10.0,CHI 25,6.0,10.0,Sam LaPorta right guard for 4 yards (tackle by Jaquan Brisker),3.91,3.9,14.0,2023,197
2.0,1:15,2.0,6.0,CHI 21,6.0,10.0,Jahmyr Gibbs left end for 2 yards (tackle by Tremaine Edmunds),3.9,3.49,14.0,2023,197
2.0,1:10,,,,,,Timeout #3 by Chicago Bears,,,14.0,2023,197
2.0,1:10,3.0,4.0,CHI 19,6.0,10.0,Jared Goff pass complete short right to Jahmyr Gibbs for 6 yards (tackle by Montez Sweat and Justin Jones),3.49,4.71,14.0,2023,197
2.0,0:45,1.0,10.0,CHI 13,6.0,10.0,Jared Goff pass complete short right to Kalif Raymond for 5 yards (tackle by Jaquan Brisker),4.71,4.96,14.0,2023,197
2.0,0:30,,,,,,Timeout #1 by Detroit Lions,,,14.0,2023,197
2.0,0:30,2.0,5.0,CHI 8,12.0,10.0,"Jared Goff pass complete short middle to Josh Reynolds for 8 yards, touchdown",4.96,7.0,14.0,2023,197
2.0,0:26,,,CHI 15,13.0,10.0,Riley Patterson kicks extra point good,0.0,0.0,14.0,2023,197
2.0,0:26,,,DET 35,13.0,10.0,"Jack Fox kicks off 65 yards, touchback.",0.0,0.61,14.0,2023,197
2.0,0:26,1.0,10.0,CHI 25,13.0,10.0,Justin Fields pass incomplete deep left intended for Darnell Mooney (defended by Jerry Jacobs),0.61,0.06,14.0,2023,197
2.0,0:20,2.0,10.0,CHI 25,13.0,10.0,Justin Fields sacked by John Cominsky for -7 yards,0.06,-1.72,14.0,2023,197
3.0,15:00,,,CHI 35,13.0,10.0,"Cairo Santos kicks off 65 yards, touchback.",0.0,0.61,14.0,2023,197
3.0,15:00,1.0,10.0,DET 25,13.0,10.0,Jared Goff pass incomplete short right intended for Kalif Raymond (defended by Tyrique Stevenson),0.61,0.06,14.0,2023,197
3.0,14:54,2.0,10.0,DET 25,13.0,10.0,David Montgomery left guard for 4 yards (tackle by Tremaine Edmunds),0.06,-0.1,14.0,2023,197
3.0,14:15,3.0,6.0,DET 29,13.0,10.0,Jared Goff pass incomplete deep left intended for Jameson Williams,-0.1,-1.44,14.0,2023,197
3.0,14:10,4.0,6.0,DET 29,13.0,10.0,"Jack Fox punts 58 yards, returned by Trent Taylor for 15 yards (tackle by Jack Campbell and Khalil Dorsey)",-1.44,-0.81,14.0,2023,197
3.0,13:58,1.0,10.0,CHI 28,13.0,10.0,D.J. Moore left end for 4 yards (tackle by Jack Campbell),0.81,0.8,14.0,2023,197
3.0,13:21,2.0,6.0,CHI 32,13.0,10.0,Justin Fields pass complete deep middle to Darnell Mooney for 16 yards (tackle by Jack Campbell),0.8,2.13,14.0,2023,197
3.0,12:42,1.0,10.0,CHI 48,13.0,10.0,Khalil Herbert left end for 4 yards (tackle by Alex Anzalone),2.13,2.12,14.0,2023,197
3.0,12:01,2.0,6.0,DET 48,13.0,10.0,Justin Fields pass complete short middle to Velus Jones for 11 yards (tackle by Ifeatu Melifonwu),2.12,3.12,14.0,2023,197
3.0,11:26,1.0,10.0,DET 37,13.0,10.0,Justin Fields pass incomplete short left intended for Darnell Mooney,3.12,2.57,14.0,2023,197
3.0,11:20,2.0,10.0,DET 37,13.0,10.0,Justin Fields pass complete short right to D.J. Moore for 2 yards (tackle by Alex Anzalone),2.57,2.15,14.0,2023,197
3.0,10:38,3.0,8.0,DET 35,13.0,10.0,Justin Fields pass complete short left to D.J. Moore for 13 yards,2.15,4.11,14.0,2023,197
3.0,10:18,1.0,10.0,DET 22,13.0,10.0,"Justin Fields pass incomplete short middle intended for Velus Jones. Penalty on Jerry Jacobs: Defensive Pass Interference, 4 yards (accepted) (no play)",4.11,4.37,14.0,2023,197
3.0,10:17,1.0,10.0,DET 18,13.0,10.0,Justin Fields pass complete short right to Tyler Scott for 11 yards (tackle by Cameron Sutton and Brian Branch),4.37,5.6,14.0,2023,197
3.0,9:32,1.0,7.0,DET 7,13.0,10.0,Khalil Herbert left tackle for no gain (tackle by Derrick Barnes),5.6,4.76,14.0,2023,197
3.0,8:54,2.0,7.0,DET 7,13.0,10.0,Justin Fields pass incomplete short right intended for D.J. Moore (defended by Kerby Joseph),4.76,3.81,14.0,2023,197
3.0,8:49,3.0,7.0,DET 7,13.0,10.0,Justin Fields pass incomplete short middle,3.81,2.97,14.0,2023,197
3.0,8:42,4.0,7.0,DET 7,13.0,13.0,Cairo Santos 25 yard field goal good,2.97,3.0,14.0,2023,197
3.0,8:38,,,CHI 35,13.0,13.0,"Cairo Santos kicks off 65 yards, touchback.",0.0,0.61,14.0,2023,197
3.0,8:38,1.0,10.0,DET 25,13.0,13.0,"Penalty on Penei Sewell: False Start, 5 yards (accepted) (no play)",0.61,0.28,14.0,2023,197
3.0,8:38,1.0,15.0,DET 20,13.0,13.0,Jared Goff pass incomplete short left intended for Josh Reynolds (defended by Jaquan Brisker),0.28,-0.61,14.0,2023,197
3.0,8:34,2.0,15.0,DET 20,13.0,13.0,Jared Goff pass incomplete short middle intended for Amon-Ra St. Brown,-0.61,-1.29,14.0,2023,197
3.0,8:31,3.0,15.0,DET 20,13.0,13.0,Jared Goff pass complete short middle to Jahmyr Gibbs for 12 yards (tackle by Jaquan Brisker and Kyler Gordon),-1.29,-1.24,14.0,2023,197
3.0,7:50,4.0,3.0,DET 32,13.0,13.0,"Jack Fox punts 51 yards, returned by Trent Taylor for 31 yards (tackle by Jack Fox)",-1.24,-2.13,14.0,2023,197
3.0,7:36,1.0,10.0,CHI 48,13.0,13.0,"Justin Fields pass complete deep middle to Cole Kmet for no gain (tackle by Cameron Sutton). Penalty on Lucas Patrick: Offensive Holding, 10 yards (accepted) (no play)",2.13,1.47,14.0,2023,197
3.0,7:05,1.0,20.0,CHI 38,13.0,13.0,Justin Fields pass complete short left to Cole Kmet for 5 yards (tackle by Kindle Vildor),1.47,0.91,14.0,2023,197
3.0,6:25,2.0,15.0,CHI 43,13.0,13.0,Justin Fields pass complete short middle to Cole Kmet for 6 yards (tackle by Brian Branch and Jack Campbell),0.91,1.02,14.0,2023,197
3.0,5:41,3.0,9.0,CHI 49,13.0,13.0,Justin Fields pass incomplete short middle intended for D.J. Moore (defended by Jalen Reeves-Maybin),1.02,-0.13,14.0,2023,197
3.0,5:36,4.0,9.0,CHI 49,13.0,13.0,"Trenton Gill punts 38 yards, returned by Kalif Raymond for 4 yards (tackle by Josh Blackwell)",-0.13,0.06,14.0,2023,197
3.0,5:29,1.0,10.0,DET 17,13.0,13.0,Jahmyr Gibbs right tackle for no gain (tackle by Zacch Pickens),-0.06,-0.58,14.0,2023,197
3.0,4:57,2.0,10.0,DET 17,13.0,13.0,Jahmyr Gibbs left tackle for -1 yards (tackle by T.J. Edwards),-0.58,-1.41,14.0,2023,197
3.0,4:18,3.0,11.0,DET 16,13.0,13.0,Jared Goff pass incomplete short middle intended for Sam LaPorta,-1.41,-2.39,14.0,2023,197
3.0,4:15,4.0,11.0,DET 16,13.0,13.0,"Jack Fox punts 43 yards, returned by Trent Taylor for 9 yards (tackle by Brock Wright)",-2.39,-2.26,14.0,2023,197
3.0,4:06,1.0,10.0,DET 50,13.0,13.0,D'Onta Foreman left guard for 7 yards (tackle by Alex Anzalone and Derrick Barnes),2.26,2.66,14.0,2023,197
3.0,3:31,2.0,3.0,DET 43,13.0,13.0,Justin Fields pass incomplete short right intended for D.J. Moore,2.66,1.95,14.0,2023,197
3.0,3:26,3.0,3.0,DET 43,13.0,13.0,"Justin Fields pass complete short left to Cole Kmet for 8 yards (tackle by Alex Anzalone) DET challenged the pass completion ruling, and the play was upheld.",1.95,3.25,14.0,2023,197
3.0,3:03,1.0,10.0,DET 35,13.0,13.0,Justin Fields pass complete short left to Khari Blasingame for -3 yards,3.25,2.3,14.0,2023,197
3.0,2:26,2.0,13.0,DET 38,13.0,13.0,Justin Fields left tackle for no gain (tackle by Derrick Barnes),2.3,1.62,14.0,2023,197
3.0,1:46,3.0,13.0,DET 38,13.0,13.0,Justin Fields pass incomplete short right,1.62,0.72,14.0,2023,197
3.0,1:42,4.0,13.0,DET 38,13.0,19.0,"Justin Fields pass complete deep left to D.J. Moore for 38 yards, touchdown. Penalty on Aidan Hutchinson: Defensive Offside, 5 yards (declined)",0.72,7.0,14.0,2023,197
3.0,1:36,,,CHI 35,13.0,19.0,"Cairo Santos kicks extra point blocked blocked by Romeo Okwara, recovered by Benito Jones",0.0,-1.0,14.0,2023,197
3.0,1:36,,,CHI 35,13.0,19.0,"Cairo Santos kicks off 64 yards, returned by Craig Reynolds for 22 yards (tackle by Travis Homer)",0.0,0.48,14.0,2023,197
3.0,1:31,1.0,10.0,DET 23,13.0,19.0,Jahmyr Gibbs right end for 6 yards (tackle by Tyrique Stevenson),0.48,0.74,14.0,2023,197
3.0,1:02,2.0,4.0,DET 29,13.0,19.0,"Jared Goff aborted snap, recovered by T.J. Edwards at DET-29",0.74,-3.64,14.0,2023,197
3.0,1:00,1.0,10.0,DET 29,13.0,19.0,Justin Fields pass complete short left to Marcedes Lewis for 4 yards (tackle by Isaiah Buggs and Derrick Barnes),3.64,3.64,14.0,2023,197
3.0,0:15,2.0,6.0,DET 25,13.0,19.0,Justin Fields pass complete short right to D'Onta Foreman for 16 yards (tackle by Cameron Sutton),3.64,4.65,14.0,2023,197
4.0,15:00,1.0,10.0,DET 14,13.0,19.0,Justin Fields pass incomplete short left intended for Cole Kmet,4.65,4.38,14.0,2023,197
4.0,14:55,2.0,9.0,DET 9,13.0,19.0,Justin Fields pass complete short left to D.J. Moore for -2 yards (tackle by Kindle Vildor),4.38,3.12,14.0,2023,197
4.0,14:19,3.0,11.0,DET 11,13.0,25.0,"Justin Fields scrambles right end for 11 yards, touchdown",3.12,7.0,14.0,2023,197
4.0,14:12,,,DET 2,13.0,25.0,Two Point Attempt: Justin Fields pass incomplete,1.0,-1.0,14.0,2023,197
4.0,14:12,,,CHI 35,13.0,25.0,"Cairo Santos kicks off 65 yards, touchback.",0.0,0.61,14.0,2023,197
4.0,14:12,1.0,10.0,DET 25,13.0,25.0,Jared Goff pass complete short left to Brock Wright for 2 yards (tackle by Jaquan Brisker),0.61,0.33,14.0,2023,197
4.0,13:43,2.0,8.0,DET 27,13.0,25.0,Jared Goff pass complete short right to Jahmyr Gibbs for -2 yards (tackle by Tremaine Edmunds),0.33,-0.62,14.0,2023,197
4.0,13:02,3.0,10.0,DET 25,13.0,25.0,Jared Goff pass complete short right to Josh Reynolds for 9 yards (tackle by Jaquan Brisker),-0.62,-1.11,14.0,2023,197
4.0,12:18,4.0,1.0,DET 34,13.0,25.0,Jahmyr Gibbs right tackle for -4 yards (tackle by Jack Sanborn and Tyrique Stevenson),-1.11,-3.58,14.0,2023,197
4.0,12:13,1.0,10.0,DET 30,13.0,25.0,D'Onta Foreman left guard for 4 yards (tackle by Alex Anzalone),3.58,3.57,14.0,2023,197
4.0,11:36,2.0,6.0,DET 26,13.0,25.0,Justin Fields pass incomplete short right intended for Darnell Mooney,3.57,2.87,14.0,2023,197
4.0,11:33,3.0,6.0,DET 26,13.0,25.0,Justin Fields pass complete short middle to D.J. Moore for 8 yards (tackle by Kindle Vildor),2.87,4.37,14.0,2023,197
4.0,10:53,1.0,10.0,DET 18,13.0,25.0,Justin Fields left end for -1 yards (tackle by Benito Jones),4.37,3.67,14.0,2023,197
4.0,10:09,2.0,11.0,DET 19,13.0,25.0,Justin Fields pass complete short left to D.J. Moore for 9 yards (tackle by Kerby Joseph),3.67,4.51,14.0,2023,197
4.0,9:26,3.0,2.0,DET 10,13.0,25.0,Justin Fields pass incomplete short right intended for Darnell Mooney,4.51,2.89,14.0,2023,197
4.0,9:23,4.0,2.0,DET 10,13.0,28.0,Cairo Santos 28 yard field goal good,2.89,3.0,14.0,2023,197
4.0,9:20,,,CHI 35,13.0,28.0,"Cairo Santos kicks off 65 yards, touchback.",0.0,0.61,14.0,2023,197
4.0,9:20,1.0,10.0,DET 25,13.0,28.0,Jared Goff pass complete short left to David Montgomery for 5 yards (tackle by Terell Smith),0.61,0.74,14.0,2023,197
4.0,8:49,2.0,5.0,DET 30,13.0,28.0,David Montgomery left tackle for 13 yards (tackle by Jaquan Brisker),0.74,1.8,14.0,2023,197
4.0,8:17,1.0,10.0,DET 43,13.0,28.0,David Montgomery right guard for 5 yards (tackle by Justin Jones and Zacch Pickens),1.8,1.93,14.0,2023,197
4.0,7:45,2.0,5.0,DET 48,13.0,28.0,David Montgomery left guard for 11 yards (tackle by Eddie Jackson),1.93,2.85,14.0,2023,197
4.0,7:11,1.0,10.0,CHI 41,13.0,28.0,Jared Goff pass incomplete short left intended for Sam LaPorta (defended by Montez Sweat),2.85,2.31,14.0,2023,197
4.0,7:09,2.0,10.0,CHI 41,13.0,28.0,Jared Goff pass incomplete short middle intended for Amon-Ra St. Brown,2.31,1.62,14.0,2023,197
4.0,7:04,3.0,10.0,CHI 41,13.0,28.0,Jared Goff pass complete short left to David Montgomery for 10 yards (tackle by Jaquan Brisker),1.62,3.51,14.0,2023,197
4.0,6:37,1.0,10.0,CHI 31,13.0,28.0,Jared Goff pass complete short middle to Kalif Raymond for 5 yards (tackle by Jaquan Brisker),3.51,3.64,14.0,2023,197
4.0,6:12,2.0,5.0,CHI 26,13.0,28.0,"Penalty on Kayode Awosika: False Start, 5 yards (accepted) (no play)",3.64,2.97,14.0,2023,197
4.0,6:12,2.0,10.0,CHI 31,13.0,28.0,Jared Goff pass incomplete short middle intended for Amon-Ra St. Brown (defended by Jaquan Brisker),2.97,2.28,14.0,2023,197
4.0,6:07,3.0,10.0,CHI 31,13.0,28.0,Jared Goff sacked by and Gervon Dexter for -7 yards and Montez Sweat for -7 yards,2.28,0.72,14.0,2023,197
4.0,5:21,4.0,17.0,CHI 38,13.0,28.0,Jared Goff pass incomplete deep middle intended for Amon-Ra St. Brown,0.72,-1.47,14.0,2023,197
4.0,5:16,1.0,10.0,CHI 38,13.0,28.0,D'Onta Foreman right guard for 2 yards (tackle by Jack Campbell and Isaiah Buggs),1.47,1.19,14.0,2023,197
4.0,4:37,2.0,8.0,CHI 40,13.0,28.0,Justin Fields pass incomplete deep middle intended for D.J. Moore,1.19,0.5,14.0,2023,197
4.0,4:31,3.0,8.0,CHI 40,13.0,28.0,"Justin Fields scrambles right end for no gain (tackle by Alex Anzalone). Penalty on Darnell Wright: Offensive Holding, 10 yards (accepted) (no play)",0.5,-0.82,14.0,2023,197
4.0,4:24,3.0,18.0,CHI 30,13.0,28.0,Roschon Johnson right guard for 6 yards (tackle by Alex Anzalone and John Cominsky),-0.82,-0.98,14.0,2023,197
4.0,3:42,4.0,12.0,CHI 36,13.0,28.0,"Trenton Gill punts 53 yards, returned by Kalif Raymond for 14 yards (tackle by Dylan Cole and Noah Sewell)",-0.98,-0.61,14.0,2023,197
4.0,3:32,1.0,10.0,DET 25,13.0,28.0,Jared Goff pass complete deep left to Josh Reynolds for 27 yards (tackle by Eddie Jackson and Jaquan Brisker),0.61,2.39,14.0,2023,197
4.0,3:08,1.0,10.0,CHI 48,13.0,28.0,Jared Goff sacked by and Montez Sweat for -10 yards and Justin Jones for -10 yards,2.39,0.5,14.0,2023,197
4.0,2:56,,,,,,Timeout #2 by Detroit Lions,,,14.0,2023,197
4.0,2:56,2.0,20.0,DET 42,13.0,28.0,Jared Goff pass incomplete short left intended for Sam LaPorta,0.5,-0.16,14.0,2023,197
4.0,2:51,3.0,20.0,DET 42,13.0,28.0,Jared Goff sacked by Justin Jones for -9 yards,-0.16,-1.18,14.0,2023,197
4.0,2:44,,,,,,Timeout #3 by Detroit Lions,,,14.0,2023,197
4.0,2:44,4.0,29.0,DET 33,13.0,28.0,"Jared Goff pass incomplete deep left. Penalty on Rasheem Green: Defensive Offside, 5 yards (accepted) (no play)",-1.18,-0.85,14.0,2023,197
4.0,2:39,4.0,24.0,DET 38,13.0,28.0,Jared Goff pass deep middle intended for Jameson Williams is intercepted by Tremaine Edmunds at CHI-32 and returned for 6 yards,-0.85,-1.47,14.0,2023,197
4.0,2:31,1.0,10.0,CHI 38,13.0,28.0,D'Onta Foreman left tackle for 5 yards (tackle by Jack Campbell and John Cominsky),1.47,1.6,14.0,2023,197
