Quarter,Time,Down,ToGo,Location,JAX,CLE,Detail,EPB,EPA,week,year,game_id
1.0,6:34,1.0,10.0,CLE 45,0.0,7.0,Trevor Lawrence pass incomplete deep right intended for Calvin Ridley,2.59,2.04,14.0,2023,199
1.0,6:28,2.0,10.0,CLE 45,0.0,7.0,"Penalty on Ezra Cleveland: False Start, 5 yards (accepted) (no play)",2.04,1.37,14.0,2023,199
1.0,6:28,2.0,15.0,CLE 50,0.0,7.0,Trevor Lawrence pass complete short right to D'Ernest Johnson for 6 yards (tackle by Maurice Hurst),1.37,1.49,14.0,2023,199
1.0,5:45,3.0,9.0,CLE 44,0.0,7.0,Trevor Lawrence pass incomplete deep left intended for Zay Jones (defended by Martin Emerson),1.49,0.33,14.0,2023,199
1.0,5:38,4.0,9.0,CLE 44,0.0,7.0,"Logan Cooke punts 34 yards, fair catch by James Proche at CLE-10",0.33,0.38,14.0,2023,199
1.0,5:32,1.0,10.0,CLE 10,0.0,7.0,Joe Flacco pass incomplete short right,-0.38,-0.78,14.0,2023,199
1.0,5:29,2.0,10.0,CLE 10,0.0,7.0,Pierre Strong right guard for no gain (tackle by Josh Allen),-0.78,-1.42,14.0,2023,199
1.0,4:38,3.0,10.0,CLE 10,0.0,7.0,Joe Flacco pass incomplete deep right intended for Amari Cooper,-1.42,-2.49,14.0,2023,199
1.0,4:33,4.0,10.0,CLE 10,0.0,7.0,"Corey Bojorquez punts 72 yards, returned by Parker Washington for no gain (tackle by Pierre Strong)",-2.49,-0.04,14.0,2023,199
1.0,4:20,1.0,10.0,JAX 18,0.0,7.0,Trevor Lawrence pass complete short right to Evan Engram for 2 yards (tackle by Grant Delpit),0.04,-0.13,14.0,2023,199
1.0,3:40,2.0,8.0,JAX 20,0.0,7.0,Trevor Lawrence pass incomplete short right intended for Calvin Ridley (defended by Greg Newsome),-0.13,-0.91,14.0,2023,199
1.0,3:38,3.0,8.0,JAX 20,0.0,7.0,Trevor Lawrence pass complete short left to Zay Jones for 2 yards (tackle by Martin Emerson),-0.91,-1.9,14.0,2023,199
1.0,3:01,4.0,6.0,JAX 22,0.0,7.0,"Logan Cooke punts 50 yards, fair catch by James Proche at CLE-28",-1.9,-0.81,14.0,2023,199
1.0,2:55,1.0,10.0,CLE 28,0.0,7.0,Jerome Ford left guard for 1 yard (tackle by Devin Lloyd and Jeremiah Ledbetter),0.81,0.4,14.0,2023,199
1.0,2:18,2.0,9.0,CLE 29,0.0,7.0,Joe Flacco pass incomplete deep left intended for Amari Cooper (defended by Montaric Brown),0.4,-0.3,14.0,2023,199
1.0,2:14,3.0,9.0,CLE 29,0.0,7.0,Joe Flacco pass incomplete short right intended for David Njoku,-0.3,-1.44,14.0,2023,199
1.0,2:11,4.0,9.0,CLE 29,0.0,7.0,"Corey Bojorquez punts 59 yards, returned by Parker Washington for 20 yards (tackle by Jordan Kunaszyk). Penalty on Elijah Cooks: Illegal Block Above the Waist, 10 yards (accepted)",-1.44,-0.41,14.0,2023,199
1.0,1:56,1.0,10.0,JAX 22,0.0,7.0,Travis Etienne left guard for 1 yard (tackle by Jeremiah Owusu-Koramoah),0.41,0.0,14.0,2023,199
1.0,1:16,2.0,9.0,JAX 23,0.0,7.0,Trevor Lawrence pass complete short left to Evan Engram for 11 yards (tackle by Alex Wright),0.0,1.2,14.0,2023,199
1.0,0:44,1.0,10.0,JAX 34,0.0,7.0,"Penalty on Maurice Hurst: Neutral Zone Infraction, 5 yards (accepted) (no play)",1.2,1.93,14.0,2023,199
1.0,0:28,1.0,5.0,JAX 39,0.0,7.0,Trevor Lawrence pass incomplete deep left intended for Zay Jones,1.93,1.33,14.0,2023,199
1.0,0:23,2.0,5.0,JAX 39,0.0,7.0,Trevor Lawrence pass incomplete deep right,1.33,0.63,14.0,2023,199
1.0,0:16,3.0,5.0,JAX 39,0.0,7.0,"Penalty on JAX: Delay of Game, 5 yards (accepted) (no play)",0.63,-0.03,14.0,2023,199
1.0,0:16,3.0,10.0,JAX 34,0.0,7.0,Trevor Lawrence pass incomplete short left intended for Calvin Ridley,-0.03,-1.11,14.0,2023,199
1.0,0:11,4.0,10.0,JAX 34,0.0,7.0,"Logan Cooke punts 38 yards, fair catch by James Proche at CLE-28",-1.11,-0.81,14.0,2023,199
1.0,0:05,1.0,10.0,CLE 28,0.0,7.0,Joe Flacco pass complete short right to Amari Cooper for 17 yards (tackle by Montaric Brown),0.81,1.93,14.0,2023,199
2.0,15:00,1.0,10.0,CLE 45,0.0,7.0,Joe Flacco pass complete deep middle to Elijah Moore for 20 yards (tackle by Rayshawn Jenkins),1.93,3.25,14.0,2023,199
2.0,14:26,1.0,10.0,JAX 35,0.0,7.0,Jerome Ford left tackle for 5 yards (tackle by Foyesade Oluokun),3.25,3.38,14.0,2023,199
2.0,13:46,2.0,5.0,JAX 30,0.0,13.0,"Joe Flacco pass complete short right to David Njoku for 30 yards, touchdown",3.38,7.0,14.0,2023,199
2.0,13:40,,,JAX 15,0.0,14.0,Dustin Hopkins kicks extra point good,0.0,0.0,14.0,2023,199
2.0,13:40,,,CLE 35,0.0,14.0,"Dustin Hopkins kicks off 63 yards, returned by D'Ernest Johnson for 20 yards (tackle by Matthew Adams)",0.0,0.41,14.0,2023,199
2.0,13:36,1.0,10.0,JAX 22,0.0,14.0,Trevor Lawrence pass deep left intended for Zay Jones is intercepted by Martin Emerson at CLE-25 and returned for no gain (tackle by Zay Jones),0.41,-0.61,14.0,2023,199
2.0,13:27,1.0,10.0,CLE 25,0.0,14.0,Joe Flacco pass complete short right to Amari Cooper for 6 yards (tackle by Montaric Brown),0.61,0.87,14.0,2023,199
2.0,12:51,2.0,4.0,CLE 31,0.0,14.0,Jerome Ford right tackle for 26 yards (tackle by Andre Cisco),0.87,2.72,14.0,2023,199
2.0,12:12,1.0,10.0,JAX 43,0.0,14.0,Kareem Hunt right guard for no gain (tackle by Angelo Blackson and Devin Lloyd),2.72,2.18,14.0,2023,199
2.0,11:29,2.0,10.0,JAX 43,0.0,14.0,Kareem Hunt right guard for 6 yards (tackle by Devin Lloyd and Rayshawn Jenkins),2.18,2.28,14.0,2023,199
2.0,10:48,3.0,4.0,JAX 37,0.0,14.0,Joe Flacco pass short left intended for Cedric Tillman is intercepted by Darious Williams at JAC-31 and returned for 11 yards (tackle by David Njoku),2.28,-1.73,14.0,2023,199
2.0,10:41,1.0,10.0,JAX 42,0.0,14.0,Travis Etienne left guard for 9 yards (tackle by Ronnie Hickman),1.73,2.4,14.0,2023,199
2.0,10:03,2.0,1.0,CLE 49,0.0,14.0,Travis Etienne left guard for -1 yards (tackle by Myles Garrett and Anthony Walker),2.4,1.55,14.0,2023,199
2.0,9:39,3.0,2.0,CLE 50,0.0,14.0,Trevor Lawrence pass complete short middle to Zay Jones for 12 yards (tackle by Anthony Walker),1.55,3.05,14.0,2023,199
2.0,9:06,1.0,10.0,CLE 38,0.0,14.0,Travis Etienne left guard for 4 yards (tackle by Tony Fields and Anthony Walker),3.05,3.05,14.0,2023,199
2.0,8:30,2.0,6.0,CLE 34,0.0,14.0,D'Ernest Johnson left guard for 2 yards (tackle by Shelby Harris),3.05,2.61,14.0,2023,199
2.0,7:50,3.0,4.0,CLE 32,0.0,14.0,Trevor Lawrence sacked by Grant Delpit for -13 yards,2.61,0.27,14.0,2023,199
2.0,7:09,4.0,17.0,CLE 45,0.0,14.0,Logan Cooke punts 40 yards out of bounds,0.27,0.38,14.0,2023,199
2.0,7:03,1.0,10.0,CLE 5,0.0,14.0,"Joe Flacco pass complete short right to Amari Cooper for 17 yards. Amari Cooper fumbles (forced by Andrew Wingard), recovered by Devin Lloyd at CLE-25 and returned for 13 yards (tackle by Joel Bitonio)",-0.38,-4.78,14.0,2023,199
2.0,6:53,1.0,10.0,CLE 12,0.0,14.0,Travis Etienne right tackle for 2 yards (tackle by Greg Newsome),4.78,4.45,14.0,2023,199
2.0,6:18,2.0,8.0,CLE 10,6.0,14.0,"Trevor Lawrence pass complete short right to Evan Engram for 10 yards, touchdown",4.45,7.0,14.0,2023,199
2.0,6:14,,,CLE 15,7.0,14.0,Brandon McManus kicks extra point good,0.0,0.0,14.0,2023,199
2.0,6:14,,,JAX 35,7.0,14.0,"Brandon McManus kicks off 65 yards, touchback.",0.0,0.61,14.0,2023,199
2.0,6:14,1.0,10.0,CLE 25,7.0,14.0,"Penalty on James Hudson: False Start, 5 yards (accepted) (no play)",0.61,0.28,14.0,2023,199
2.0,6:14,1.0,15.0,CLE 20,7.0,14.0,Joe Flacco pass complete short right to Amari Cooper for 13 yards,0.28,1.14,14.0,2023,199
2.0,5:46,2.0,2.0,CLE 33,7.0,14.0,Joe Flacco pass complete to David Njoku for no gain (tackle by Foyesade Oluokun) (no play),1.14,0.47,14.0,2023,199
2.0,5:25,2.0,7.0,CLE 28,7.0,14.0,Joe Flacco pass complete short left to Amari Cooper for 5 yards (tackle by Montaric Brown),0.47,0.43,14.0,2023,199
2.0,4:45,3.0,2.0,CLE 33,7.0,14.0,"Kareem Hunt for no gain (tackle by Montaric Brown). Penalty on Geron Christian: Offensive Holding, 10 yards (accepted) (no play)",0.43,-0.89,14.0,2023,199
2.0,4:20,3.0,12.0,CLE 23,7.0,14.0,Joe Flacco pass incomplete deep right intended for Amari Cooper,-0.89,-1.83,14.0,2023,199
2.0,4:14,4.0,12.0,CLE 23,7.0,14.0,"Corey Bojorquez punts 59 yards, returned by Parker Washington for 26 yards (tackle by Sione Takitaki)",-1.83,-1.86,14.0,2023,199
2.0,4:01,1.0,10.0,JAX 44,7.0,14.0,Travis Etienne right guard for 3 yards (tackle by Jordan Elliott),1.86,1.72,14.0,2023,199
2.0,3:24,2.0,7.0,JAX 47,7.0,14.0,Trevor Lawrence pass complete short right to Zay Jones for 4 yards (tackle by Greg Newsome),1.72,1.55,14.0,2023,199
2.0,2:43,3.0,3.0,CLE 49,7.0,14.0,Trevor Lawrence pass complete short left to Zay Jones for 5 yards (tackle by Cameron Mitchell),1.55,2.65,14.0,2023,199
2.0,2:19,1.0,10.0,CLE 44,7.0,14.0,Travis Etienne left tackle for 2 yards (tackle by Jeremiah Owusu-Koramoah),2.65,2.38,14.0,2023,199
2.0,2:00,2.0,8.0,CLE 42,7.0,14.0,"Penalty on Blake Hance: False Start, 5 yards (accepted) (no play)",2.38,1.71,14.0,2023,199
2.0,2:00,2.0,13.0,CLE 47,7.0,14.0,Trevor Lawrence pass complete deep left to Evan Engram for 23 yards (tackle by Grant Delpit),1.71,3.97,14.0,2023,199
2.0,1:55,,,,,,Timeout #1 by Jacksonville Jaguars,,,14.0,2023,199
2.0,1:55,1.0,10.0,CLE 24,7.0,14.0,Trevor Lawrence pass deep left intended for Calvin Ridley is intercepted by Martin Emerson at CLE-8 and returned for 11 yards (tackle by Evan Engram),3.97,-0.15,14.0,2023,199
2.0,1:47,1.0,10.0,CLE 19,7.0,14.0,Joe Flacco pass complete short right to Jerome Ford for 2 yards (tackle by Montaric Brown),0.15,-0.06,14.0,2023,199
2.0,1:42,2.0,8.0,CLE 21,7.0,14.0,Joe Flacco pass complete short right to David Njoku for 15 yards (tackle by Devin Lloyd),-0.06,1.33,14.0,2023,199
2.0,1:35,1.0,10.0,CLE 36,7.0,14.0,Joe Flacco pass incomplete short left intended for David Njoku,1.33,0.79,14.0,2023,199
2.0,1:31,2.0,10.0,CLE 36,7.0,14.0,"Penalty on James Hudson: False Start, 5 yards (accepted) (no play)",0.79,0.12,14.0,2023,199
2.0,1:31,2.0,15.0,CLE 31,7.0,14.0,Jerome Ford right guard for 4 yards (tackle by Josh Allen),0.12,-0.03,14.0,2023,199
2.0,1:28,,,,,,Timeout #2 by Jacksonville Jaguars,,,14.0,2023,199
2.0,1:28,3.0,11.0,CLE 35,7.0,14.0,Joe Flacco pass complete short right to David Njoku for 2 yards (tackle by Rayshawn Jenkins),-0.03,-0.91,14.0,2023,199
2.0,1:20,,,,,,Timeout #3 by Jacksonville Jaguars,,,14.0,2023,199
2.0,1:20,4.0,9.0,CLE 37,7.0,14.0,"Corey Bojorquez punts 51 yards, returned by Parker Washington for 11 yards (tackle by Charley Hughlett and Sione Takitaki)",-0.91,-0.48,14.0,2023,199
2.0,1:07,1.0,10.0,JAX 23,7.0,14.0,Trevor Lawrence pass incomplete deep right intended for Calvin Ridley,0.48,-0.07,14.0,2023,199
2.0,1:02,2.0,10.0,JAX 23,7.0,14.0,Trevor Lawrence pass incomplete short left intended for Zay Jones (defended by Greg Newsome),-0.07,-0.76,14.0,2023,199
2.0,0:58,3.0,10.0,JAX 23,7.0,14.0,Trevor Lawrence pass incomplete short right intended for Parker Washington (defended by Za'Darius Smith),-0.76,-1.83,14.0,2023,199
2.0,0:54,4.0,10.0,JAX 23,7.0,14.0,"Logan Cooke punts 52 yards, fair catch by James Proche at CLE-25",-1.83,-0.61,14.0,2023,199
2.0,0:47,1.0,10.0,CLE 25,7.0,14.0,Joe Flacco pass incomplete deep left intended for Elijah Moore (defended by Darious Williams),0.61,0.06,14.0,2023,199
2.0,0:38,2.0,10.0,CLE 25,7.0,14.0,Joe Flacco pass complete short left to David Njoku for 11 yards (tackle by Darious Williams),0.06,1.33,14.0,2023,199
2.0,0:31,1.0,10.0,CLE 36,7.0,14.0,Joe Flacco pass incomplete short left intended for Jerome Ford (defended by Tyler Lacy),1.33,0.79,14.0,2023,199
2.0,0:25,2.0,10.0,CLE 36,7.0,14.0,Joe Flacco pass complete short right to Elijah Moore for 9 yards (tackle by Darious Williams and Gregory Junior),0.79,1.29,14.0,2023,199
2.0,0:19,,,,,,Timeout #1 by Cleveland Browns,,,14.0,2023,199
2.0,0:19,3.0,1.0,CLE 45,7.0,14.0,Joe Flacco pass incomplete short middle intended for David Bell,1.29,-0.39,14.0,2023,199
2.0,0:15,4.0,1.0,CLE 45,7.0,14.0,Corey Bojorquez punts 34 yards downed by D'Anthony Bell,-0.39,-0.34,14.0,2023,199
2.0,0:05,1.0,10.0,JAX 21,7.0,14.0,Trevor Lawrence kneels for -1 yards,0.34,-0.34,14.0,2023,199
3.0,15:00,,,CLE 35,7.0,14.0,"Dustin Hopkins kicks off 65 yards, touchback.",0.0,0.61,14.0,2023,199
3.0,15:00,1.0,10.0,JAX 25,7.0,14.0,Travis Etienne up the middle for -6 yards (tackle by Shelby Harris and Grant Delpit),0.61,-0.81,14.0,2023,199
3.0,14:20,2.0,16.0,JAX 19,7.0,14.0,Trevor Lawrence pass incomplete deep right intended for Zay Jones,-0.81,-1.51,14.0,2023,199
3.0,14:16,3.0,16.0,JAX 19,7.0,14.0,"Penalty on Luke Fortner: False Start, 5 yards (accepted) (no play)",-1.51,-2.55,14.0,2023,199
3.0,14:16,3.0,21.0,JAX 14,7.0,14.0,"Trevor Lawrence pass complete short left to Parker Washington for 8 yards. Parker Washington fumbles (forced by Anthony Walker), recovered by Anthony Walker at JAC-22",-2.55,-4.11,14.0,2023,199
3.0,14:04,1.0,10.0,JAX 22,7.0,14.0,Kareem Hunt left tackle for no gain (tackle by Foyesade Oluokun),4.11,3.56,14.0,2023,199
3.0,13:27,2.0,10.0,JAX 22,7.0,14.0,Joe Flacco pass complete short middle to Cedric Tillman for 9 yards (tackle by Andre Cisco and Foyesade Oluokun),3.56,4.39,14.0,2023,199
3.0,12:37,3.0,1.0,JAX 13,7.0,14.0,Kareem Hunt right guard for no gain (tackle by Jeremiah Ledbetter and Devin Lloyd),4.39,2.72,14.0,2023,199
3.0,11:49,4.0,1.0,JAX 13,7.0,14.0,Joe Flacco up the middle for 2 yards (tackle by Adam Gotsis),2.72,4.84,14.0,2023,199
3.0,11:09,1.0,10.0,JAX 11,7.0,14.0,Joe Flacco pass complete short right to Kareem Hunt for 3 yards (tackle by Travon Walker),4.84,4.7,14.0,2023,199
3.0,10:32,2.0,7.0,JAX 8,7.0,14.0,Kareem Hunt left guard for 4 yards (tackle by Foyesade Oluokun),4.7,4.67,14.0,2023,199
3.0,9:46,3.0,3.0,JAX 4,7.0,20.0,"Kareem Hunt left guard for 4 yards, touchdown",4.67,7.0,14.0,2023,199
3.0,9:39,,,JAX 15,7.0,21.0,Dustin Hopkins kicks extra point good,0.0,0.0,14.0,2023,199
3.0,9:39,,,CLE 35,7.0,21.0,"Dustin Hopkins kicks off 65 yards, touchback.",0.0,0.61,14.0,2023,199
3.0,9:39,1.0,10.0,JAX 25,7.0,21.0,Trevor Lawrence pass complete short right to Travis Etienne for -2 yards (tackle by Jeremiah Owusu-Koramoah),0.61,-0.21,14.0,2023,199
3.0,9:06,2.0,12.0,JAX 23,7.0,21.0,Trevor Lawrence sacked by Maurice Hurst for -8 yards,-0.21,-2.35,14.0,2023,199
3.0,8:25,3.0,20.0,JAX 15,7.0,21.0,Trevor Lawrence pass complete short right to D'Ernest Johnson for 10 yards (tackle by Greg Newsome),-2.35,-1.7,14.0,2023,199
3.0,7:49,4.0,10.0,JAX 25,7.0,21.0,"Logan Cooke punts 50 yards, returned by James Proche for 8 yards (tackle by Ross Matiscik)",-1.7,-1.14,14.0,2023,199
3.0,7:38,1.0,10.0,CLE 33,7.0,21.0,Joe Flacco pass incomplete short right,1.14,0.59,14.0,2023,199
3.0,7:34,2.0,10.0,CLE 33,7.0,21.0,"Joe Flacco sacked by Antonio Johnson for -4 yards. Joe Flacco fumbles (forced by Antonio Johnson), recovered by Jeremiah Ledbetter at CLE-25 (tackle by Joel Bitonio)",0.59,-3.91,14.0,2023,199
3.0,7:26,1.0,10.0,CLE 25,7.0,21.0,Trevor Lawrence pass complete short middle to Evan Engram for 10 yards (tackle by Sione Takitaki and Cameron Mitchell),3.91,4.58,14.0,2023,199
3.0,6:55,1.0,10.0,CLE 15,7.0,21.0,Travis Etienne left tackle for -2 yards (tackle by Maurice Hurst),4.58,3.68,14.0,2023,199
3.0,6:16,2.0,12.0,CLE 17,7.0,21.0,Trevor Lawrence pass incomplete deep left intended for Calvin Ridley,3.68,2.98,14.0,2023,199
3.0,6:11,3.0,12.0,CLE 17,7.0,21.0,Trevor Lawrence pass complete short left to Calvin Ridley for 16 yards (tackle by Martin Emerson),2.98,6.97,14.0,2023,199
3.0,5:36,1.0,1.0,CLE 1,7.0,21.0,Travis Etienne right guard for no gain (tackle by Dalvin Tomlinson and Sione Takitaki),6.97,5.91,14.0,2023,199
3.0,5:02,2.0,1.0,CLE 1,13.0,21.0,"Travis Etienne for no gain Replay Assistant challenged the runner was down by contact ruling, and the original play was overturned. Travis Etienne for 1 yard, touchdown",5.91,7.0,14.0,2023,199
3.0,4:59,,,CLE 15,14.0,21.0,Brandon McManus kicks extra point good,0.0,0.0,14.0,2023,199
3.0,4:59,,,JAX 35,14.0,21.0,"Brandon McManus kicks off 65 yards, touchback.",0.0,0.61,14.0,2023,199
3.0,4:59,1.0,10.0,CLE 25,14.0,21.0,Jerome Ford left tackle for no gain (tackle by Josh Allen),0.61,0.06,14.0,2023,199
3.0,4:17,2.0,10.0,CLE 25,14.0,21.0,Joe Flacco pass complete short right to Jordan Akins for 3 yards (tackle by Rayshawn Jenkins),0.06,-0.23,14.0,2023,199
3.0,3:31,3.0,7.0,CLE 28,14.0,21.0,Joe Flacco pass complete short right to Elijah Moore for 13 yards (tackle by Montaric Brown),-0.23,1.66,14.0,2023,199
3.0,2:59,1.0,10.0,CLE 41,14.0,21.0,Joe Flacco pass complete short right to Amari Cooper for 10 yards (tackle by Andre Cisco),1.66,2.32,14.0,2023,199
3.0,2:18,1.0,10.0,JAX 49,14.0,21.0,Joe Flacco pass complete short left to Jerome Ford for 6 yards (tackle by Devin Lloyd),2.32,2.59,14.0,2023,199
3.0,1:38,2.0,4.0,JAX 43,14.0,21.0,Jerome Ford left tackle for -1 yards (tackle by Josh Allen),2.59,1.75,14.0,2023,199
3.0,0:52,3.0,5.0,JAX 44,14.0,21.0,Joe Flacco pass incomplete short right intended for Amari Cooper (defended by Antonio Johnson),1.75,0.33,14.0,2023,199
3.0,0:49,4.0,5.0,JAX 44,14.0,21.0,"Corey Bojorquez punts 38 yards, fair catch by Parker Washington at JAC-6",0.33,0.38,14.0,2023,199
3.0,0:42,1.0,10.0,JAX 6,14.0,21.0,Trevor Lawrence sacked by Ogbonnia Okoronkwo for no gain,-0.38,-0.78,14.0,2023,199
4.0,15:00,2.0,10.0,JAX 6,14.0,21.0,Trevor Lawrence pass complete short right to Evan Engram for 9 yards (tackle by Jeremiah Owusu-Koramoah),-0.78,-0.37,14.0,2023,199
4.0,14:17,3.0,1.0,JAX 15,14.0,21.0,Trevor Lawrence pass deep right intended for Calvin Ridley is intercepted by Greg Newsome at JAC-48 and returned for no gain (tackle by Calvin Ridley),-0.37,-2.39,14.0,2023,199
4.0,14:10,1.0,10.0,JAX 48,14.0,21.0,Joe Flacco pass complete short left to Amari Cooper for 9 yards (tackle by Rayshawn Jenkins),2.39,3.06,14.0,2023,199
4.0,13:29,2.0,1.0,JAX 39,14.0,21.0,Jerome Ford left tackle for -2 yards (tackle by Foyesade Oluokun and Devin Lloyd),3.06,2.08,14.0,2023,199
4.0,12:46,3.0,3.0,JAX 41,14.0,21.0,Joe Flacco pass incomplete deep right intended for Amari Cooper,2.08,0.53,14.0,2023,199
4.0,12:42,4.0,3.0,JAX 41,14.0,27.0,"Joe Flacco pass complete short middle to David Bell for 41 yards, touchdown",0.53,7.0,14.0,2023,199
4.0,12:34,,,JAX 15,14.0,28.0,Dustin Hopkins kicks extra point good,0.0,0.0,14.0,2023,199
4.0,12:34,,,CLE 35,14.0,28.0,"Dustin Hopkins kicks off 65 yards, touchback.",0.0,0.61,14.0,2023,199
4.0,12:34,1.0,10.0,JAX 25,14.0,28.0,"Trevor Lawrence pass complete short right to Zay Jones for 6 yards (tackle by Mike Ford). Penalty on Mike Ford: Unnecessary Roughness / Defense, 15 yards (accepted)",0.61,1.99,14.0,2023,199
4.0,12:05,1.0,10.0,JAX 46,14.0,28.0,Trevor Lawrence pass incomplete short right intended for D'Ernest Johnson,1.99,1.45,14.0,2023,199
4.0,12:01,2.0,10.0,JAX 46,14.0,28.0,D'Ernest Johnson right guard for 6 yards (tackle by Jeremiah Owusu-Koramoah),1.45,1.55,14.0,2023,199
4.0,11:24,3.0,4.0,CLE 48,14.0,28.0,Trevor Lawrence pass complete short middle to Calvin Ridley for 9 yards (tackle by Jeremiah Owusu-Koramoah),1.55,2.98,14.0,2023,199
4.0,10:47,1.0,10.0,CLE 39,14.0,28.0,D'Ernest Johnson left tackle for 4 yards (tackle by Grant Delpit),2.98,2.98,14.0,2023,199
4.0,10:08,2.0,6.0,CLE 35,14.0,28.0,Trevor Lawrence pass complete short right to Calvin Ridley for 12 yards (tackle by Greg Newsome),2.98,4.04,14.0,2023,199
4.0,9:34,1.0,10.0,CLE 23,14.0,28.0,Trevor Lawrence pass incomplete short right intended for Zay Jones,4.04,3.5,14.0,2023,199
4.0,9:30,2.0,10.0,CLE 23,14.0,28.0,Trevor Lawrence pass complete short right to Evan Engram for 4 yards (tackle by D'Anthony Bell),3.5,3.34,14.0,2023,199
4.0,8:57,3.0,6.0,CLE 19,20.0,28.0,"Trevor Lawrence pass complete deep left to Parker Washington for 19 yards, touchdown",3.34,7.0,14.0,2023,199
4.0,8:52,,,CLE 15,20.0,28.0,"Penalty on JAX: Delay of Game, 5 yards (accepted) (no play)",0.0,0.0,14.0,2023,199
4.0,8:52,,,CLE 20,21.0,28.0,Brandon McManus kicks extra point good,0.0,0.0,14.0,2023,199
4.0,8:52,,,JAX 35,21.0,28.0,"Brandon McManus kicks off 65 yards, returned by Pierre Strong for 29 yards (tackle by Daniel Thomas)",0.0,0.87,14.0,2023,199
4.0,8:46,1.0,10.0,CLE 29,21.0,28.0,Joe Flacco pass incomplete deep middle intended for Elijah Moore,0.87,0.33,14.0,2023,199
4.0,8:40,2.0,10.0,CLE 29,21.0,28.0,Kareem Hunt left tackle for 9 yards (tackle by Devin Lloyd and Andrew Wingard),0.33,0.83,14.0,2023,199
4.0,7:55,3.0,1.0,CLE 38,21.0,28.0,Dorian Thompson-Robinson left tackle for 5 yards (tackle by Devin Lloyd),0.83,1.8,14.0,2023,199
