Quarter,Time,Down,ToGo,Location,GNB,NYG,Detail,EPB,EPA,week,year,game_id
4.0,5:41,3.0,10.0,NYG 30,13.0,21.0,Jordan Love pass incomplete deep left intended for Samori Toure (defended by Deonte Banks),2.34,1.41,14.0,2023,207
4.0,5:35,4.0,10.0,NYG 30,16.0,21.0,Anders Carlson 48 yard field goal good,1.41,3.0,14.0,2023,207
4.0,5:30,,,GNB 35,16.0,21.0,"Anders Carlson kicks off 65 yards, touchback.",0.0,0.61,14.0,2023,207
4.0,5:30,1.0,10.0,NYG 25,16.0,21.0,Saquon Barkley right guard for 6 yards (tackle by Isaiah McDuffie),0.61,0.87,14.0,2023,207
4.0,4:47,2.0,4.0,NYG 31,16.0,21.0,Saquon Barkley left guard for 17 yards (tackle by Darnell Savage),0.87,2.13,14.0,2023,207
4.0,4:01,1.0,10.0,NYG 48,16.0,21.0,"Saquon Barkley right tackle for 34 yards. Saquon Barkley fumbles, recovered by Carrington Valentine at GB-14 and returned for 50 yards (tackle by Daniel Bellinger)",2.13,-3.18,14.0,2023,207
4.0,3:34,1.0,10.0,NYG 36,16.0,21.0,AJ Dillon right guard for 8 yards (tackle by Micah McFadden),3.18,3.72,14.0,2023,207
4.0,3:21,2.0,2.0,NYG 28,16.0,21.0,AJ Dillon right guard for 1 yard (tackle by A'Shawn Robinson and Xavier McKinney),3.72,3.14,14.0,2023,207
4.0,2:40,3.0,1.0,NYG 27,16.0,21.0,AJ Dillon up the middle for 5 yards (tackle by Kayvon Thibodeaux and Xavier McKinney),3.14,4.11,14.0,2023,207
4.0,2:16,1.0,10.0,NYG 22,16.0,21.0,Jordan Love pass complete short left to Romeo Doubs for 6 yards (tackle by Deonte Banks),4.11,4.46,14.0,2023,207
4.0,2:00,2.0,4.0,NYG 16,16.0,21.0,Jordan Love pass incomplete deep right intended for Romeo Doubs (defended by Adoree' Jackson),4.46,3.74,14.0,2023,207
4.0,1:55,3.0,4.0,NYG 16,16.0,21.0,Jordan Love pass complete short left to Jayden Reed for 8 yards (tackle by Deonte Banks),3.74,5.37,14.0,2023,207
4.0,1:50,1.0,8.0,NYG 8,16.0,21.0,Jordan Love scrambles up the middle for 2 yards (tackle by Dexter Lawrence and A'Shawn Robinson),5.37,4.95,14.0,2023,207
4.0,1:42,,,,,,Timeout #1 by New York Giants,,,14.0,2023,207
4.0,1:42,2.0,6.0,NYG 6,16.0,21.0,"Jordan Love pass incomplete short middle intended for Malik Heath (defended by Jason Pinnock) Replay Assistant challenged the pass completion ruling, and the play was upheld.",4.95,4.04,14.0,2023,207
4.0,1:36,3.0,6.0,NYG 6,22.0,21.0,"Jordan Love pass complete short left to Malik Heath for 6 yards, touchdown",4.04,7.0,14.0,2023,207
4.0,1:33,,,NYG 2,22.0,21.0,"Two Point Attempt: Jayden Reed rushes, conversion fails.",1.0,-1.0,14.0,2023,207
4.0,1:33,,,GNB 35,22.0,21.0,"Anders Carlson kicks off 65 yards, touchback.",0.0,0.61,14.0,2023,207
4.0,1:33,1.0,10.0,NYG 25,22.0,21.0,Tommy DeVito pass complete short right to Wan'Dale Robinson for 5 yards (tackle by Darnell Savage),0.61,0.74,14.0,2023,207
4.0,1:14,2.0,5.0,NYG 30,22.0,21.0,Tommy DeVito pass complete short middle to Saquon Barkley for 7 yards (tackle by Isaiah McDuffie),0.74,1.4,14.0,2023,207
4.0,0:55,1.0,10.0,NYG 37,22.0,21.0,Tommy DeVito pass complete short right to Darius Slayton for 9 yards (tackle by Carrington Valentine),1.4,2.07,14.0,2023,207
4.0,0:49,2.0,1.0,NYG 46,22.0,21.0,Tommy DeVito pass complete short right to Wan'Dale Robinson for 32 yards (tackle by Keisean Nixon),2.07,4.11,14.0,2023,207
4.0,0:42,1.0,10.0,GNB 22,22.0,21.0,Saquon Barkley up the middle for 4 yards (tackle by Colby Wooden),4.11,4.13,14.0,2023,207
4.0,0:38,,,,,,Timeout #2 by Green Bay Packers,,,14.0,2023,207
4.0,0:38,2.0,6.0,GNB 18,22.0,21.0,Saquon Barkley up the middle for -3 yards (tackle by Devonte Wyatt),4.13,3.01,14.0,2023,207
4.0,0:32,,,,,,Timeout #3 by Green Bay Packers,,,14.0,2023,207
4.0,0:32,3.0,9.0,GNB 21,22.0,21.0,Saquon Barkley right guard for 3 yards (tackle by Tedarrell Slaton and De'Vondre Campbell),3.01,2.27,14.0,2023,207
4.0,0:02,,,,,,Timeout #2 by New York Giants,,,14.0,2023,207
4.0,0:02,4.0,6.0,GNB 18,22.0,24.0,Randy Bullock 37 yard field goal good,2.27,3.0,14.0,2023,207
