Quarter,Time,Down,ToGo,Location,IND,NYJ,Detail,EPB,EPA,week,year,game_id
3.0,14:22,2.0,6.0,IND 44,13.0,7.0,"Anthony Richardson sacked by Javon Kinlaw for -15 yards. Anthony Richardson fumbles (forced by Javon Kinlaw), recovered by Javon Kinlaw at IND-29 and returned for 4 yards (tackle by Anthony Richardson)",1.59,-3.91,11.0,2024,160
3.0,14:09,1.0,10.0,IND 25,13.0,7.0,Breece Hall left end for 7 yards (tackle by Zaire Franklin),3.91,4.37,11.0,2024,160
3.0,13:30,2.0,3.0,IND 18,13.0,13.0,"Breece Hall right end for 18 yards, touchdown",4.37,7.0,11.0,2024,160
3.0,13:22,,,IND 15,13.0,14.0,Anders Carlson kicks extra point good,0.0,0.0,11.0,2024,160
3.0,13:22,,,NYJ 35,13.0,14.0,"Anders Carlson kicks off 62 yards, returned by Tyler Goodson for 18 yards (tackle by Marcelino McCrary-Ball)",0.0,0.34,11.0,2024,160
3.0,13:17,1.0,10.0,IND 21,13.0,14.0,Jonathan Taylor left end for -3 yards (tackle by Isaiah Oliver),0.34,-0.7,11.0,2024,160
3.0,12:39,2.0,13.0,IND 18,13.0,14.0,Anthony Richardson pass incomplete short left intended for Adonai Mitchell (defended by Leonard Taylor),-0.7,-1.41,11.0,2024,160
3.0,12:35,3.0,13.0,IND 18,13.0,14.0,Anthony Richardson pass complete short middle to Josh Downs for 15 yards (tackle by Jamien Sherwood),-1.41,1.14,11.0,2024,160
3.0,12:00,1.0,10.0,IND 33,13.0,14.0,Jonathan Taylor left tackle for -3 yards (tackle by Quinnen Williams),1.14,0.19,11.0,2024,160
3.0,11:24,2.0,13.0,IND 30,13.0,14.0,"Penalty on Braden Smith: False Start, 5 yards (accepted) (no play)",0.19,-0.49,11.0,2024,160
3.0,11:07,2.0,18.0,IND 25,13.0,14.0,Jonathan Taylor up the middle for 9 yards (tackle by Eric Watts),-0.49,0.04,11.0,2024,160
3.0,10:27,3.0,9.0,IND 34,13.0,14.0,Anthony Richardson pass complete short right to Josh Downs for 11 yards (tackle by Michael Carter),0.04,1.93,11.0,2024,160
3.0,9:56,1.0,10.0,IND 45,13.0,14.0,Anthony Richardson pass complete deep right to Alec Pierce for 16 yards (tackle by D.J. Reed),1.93,2.98,11.0,2024,160
3.0,9:15,1.0,10.0,NYJ 39,13.0,14.0,Anthony Richardson pass incomplete short right intended for Michael Pittman,2.98,2.44,11.0,2024,160
3.0,9:05,2.0,10.0,NYJ 39,13.0,14.0,Jonathan Taylor right guard for 1 yard (tackle by Quincy Williams),2.44,1.88,11.0,2024,160
3.0,8:25,3.0,9.0,NYJ 38,13.0,14.0,Jonathan Taylor up the middle for no gain (tackle by Micheal Clemons),1.88,0.72,11.0,2024,160
3.0,7:45,4.0,9.0,NYJ 38,16.0,14.0,Matt Gay 56 yard field goal good,0.72,3.0,11.0,2024,160
3.0,7:41,,,IND 35,16.0,14.0,"Matt Gay kicks off 65 yards, touchback.",0.0,0.94,11.0,2024,160
3.0,7:41,1.0,10.0,NYJ 30,16.0,14.0,Breece Hall left guard for 5 yards (tackle by DeForest Buckner and Laiatu Latu),0.94,1.07,11.0,2024,160
3.0,7:01,2.0,5.0,NYJ 35,16.0,14.0,Aaron Rodgers pass complete short middle to Breece Hall for no gain (tackle by Zaire Franklin),1.07,0.37,11.0,2024,160
