Quarter,Time,Down,ToGo,Location,LVR,MIA,Detail,EPB,EPA,week,year,game_id
1.0,3:02,1.0,10.0,MIA 25,0.0,7.0,Zamir White left guard for 1 yard (tackle by Jordan Poyer and Anthony Walker),3.91,3.5,11.0,2024,157
1.0,2:22,2.0,9.0,MIA 24,0.0,7.0,Gardner Minshew pass complete short middle to Brock Bowers for 14 yards (tackle by Anthony Walker),3.5,4.91,11.0,2024,157
1.0,1:39,1.0,10.0,MIA 10,0.0,7.0,Gardner Minshew pass incomplete short right,4.91,4.19,11.0,2024,157
1.0,1:32,2.0,10.0,MIA 10,0.0,7.0,Gardner Minshew sacked by Zach Sieler for -7 yards,4.19,2.74,11.0,2024,157
1.0,0:52,3.0,17.0,MIA 17,0.0,7.0,Alexander Mattison left guard for 8 yards (tackle by Anthony Walker),2.74,2.83,11.0,2024,157
1.0,0:11,4.0,9.0,MIA 9,3.0,7.0,Daniel Carlson 27 yard field goal good,2.83,3.0,11.0,2024,157
1.0,0:08,,,LVR 35,3.0,7.0,"Daniel Carlson kicks off 59 yards, returned by Jaylen Wright for 29 yards (tackle by Tommy Eichenberg and DJ Turner)",0.0,1.27,11.0,2024,157
2.0,15:00,1.0,10.0,MIA 35,3.0,7.0,De'Von Achane up the middle for no gain (tackle by Maxx Crosby),1.27,0.72,11.0,2024,157
2.0,14:24,2.0,10.0,MIA 35,3.0,7.0,De'Von Achane left guard for 9 yards (tackle by Robert Spillane),0.72,1.22,11.0,2024,157
2.0,13:44,3.0,1.0,MIA 44,3.0,7.0,De'Von Achane up the middle for 3 yards (tackle by Maxx Crosby),1.22,2.06,11.0,2024,157
2.0,13:05,1.0,10.0,MIA 47,3.0,7.0,Tua Tagovailoa pass complete short middle to Odell Beckham for 8 yards (tackle by Amari Burney),2.06,2.6,11.0,2024,157
2.0,12:26,2.0,2.0,LVR 45,3.0,7.0,Tua Tagovailoa pass incomplete short left intended for Jaylen Waddle,2.6,1.88,11.0,2024,157
2.0,12:22,3.0,2.0,LVR 45,3.0,7.0,Tua Tagovailoa pass incomplete short left intended for Odell Beckham,1.88,0.27,11.0,2024,157
2.0,12:19,,,,,,Timeout #1 by Las Vegas Raiders,,,11.0,2024,157
2.0,12:19,4.0,2.0,LVR 45,3.0,7.0,Tua Tagovailoa pass complete short middle to Tyreek Hill for 5 yards (tackle by Jack Jones),0.27,2.92,11.0,2024,157
2.0,11:45,1.0,10.0,LVR 40,3.0,7.0,Jaylen Wright up the middle for no gain (tackle by Charles Snowden and Jonah Laulu),2.92,2.37,11.0,2024,157
2.0,11:02,2.0,10.0,LVR 40,3.0,7.0,Tua Tagovailoa pass complete deep left to Jaylen Waddle for 24 yards (tackle by Isaiah Pola-Mao),2.37,4.51,11.0,2024,157
2.0,10:18,1.0,10.0,LVR 16,3.0,7.0,Jaylen Wright up the middle for 5 yards (tackle by Darnay Holmes),4.51,4.76,11.0,2024,157
2.0,9:40,2.0,5.0,LVR 11,3.0,7.0,De'Von Achane right tackle for no gain (tackle by Jack Jones),4.76,3.94,11.0,2024,157
2.0,8:59,3.0,5.0,LVR 11,3.0,7.0,Tua Tagovailoa pass complete short right to Odell Beckham for 5 yards (tackle by Darnay Holmes),3.94,5.83,11.0,2024,157
2.0,8:19,1.0,6.0,LVR 6,3.0,7.0,Raheem Mostert up the middle for 1 yard (tackle by Adam Butler and Maxx Crosby),5.83,5.15,11.0,2024,157
2.0,7:42,2.0,5.0,LVR 5,3.0,7.0,Tua Tagovailoa pass incomplete short right intended for Odell Beckham,5.15,4.26,11.0,2024,157
2.0,7:33,3.0,5.0,LVR 5,3.0,7.0,Tua Tagovailoa sacked by Adam Butler for -8 yards,4.26,2.57,11.0,2024,157
2.0,6:50,4.0,13.0,LVR 13,3.0,10.0,Jason Sanders 31 yard field goal good,2.57,3.0,11.0,2024,157
2.0,6:46,,,MIA 35,3.0,10.0,"Jason Sanders kicks off 65 yards, touchback.",0.0,0.94,11.0,2024,157
2.0,6:46,1.0,10.0,LVR 30,3.0,10.0,Gardner Minshew scrambles left guard for 1 yard (tackle by Kader Kohou),0.94,0.53,11.0,2024,157
2.0,6:03,2.0,9.0,LVR 31,3.0,10.0,Gardner Minshew pass complete short middle to Brock Bowers for 12 yards (tackle by Jalen Ramsey),0.53,1.8,11.0,2024,157
2.0,5:32,1.0,10.0,LVR 43,3.0,10.0,Gardner Minshew pass complete short middle to Brock Bowers for 14 yards (tackle by Anthony Walker and Jordan Poyer),1.8,2.72,11.0,2024,157
2.0,4:56,1.0,10.0,MIA 43,3.0,10.0,Brock Bowers right end for -3 yards (tackle by Jordyn Brooks),2.72,1.77,11.0,2024,157
2.0,4:15,2.0,13.0,MIA 46,3.0,10.0,Gardner Minshew pass complete short middle to Jakobi Meyers for 6 yards (tackle by Anthony Walker),1.77,1.88,11.0,2024,157
2.0,3:31,3.0,7.0,MIA 40,3.0,10.0,Gardner Minshew pass complete short middle to Jakobi Meyers for 11 yards (tackle by Jalen Ramsey),1.88,3.64,11.0,2024,157
2.0,2:53,1.0,10.0,MIA 29,3.0,10.0,Zamir White right tackle for 1 yard (tackle by Chop Robinson and Storm Duck),3.64,3.24,11.0,2024,157
2.0,2:11,2.0,9.0,MIA 28,3.0,10.0,Gardner Minshew pass incomplete short right,3.24,2.54,11.0,2024,157
2.0,2:05,3.0,9.0,MIA 28,3.0,10.0,Gardner Minshew pass complete short left to Brock Bowers for 10 yards (tackle by Jevon Holland),2.54,4.37,11.0,2024,157
2.0,1:59,1.0,10.0,MIA 18,3.0,10.0,Alexander Mattison right guard for 4 yards (tackle by Anthony Walker and Benito Jones),4.37,4.43,11.0,2024,157
2.0,1:54,,,,,,Timeout #1 by Miami Dolphins,,,11.0,2024,157
2.0,1:54,2.0,6.0,MIA 14,3.0,10.0,Gardner Minshew pass incomplete short left intended for Michael Mayer,4.43,3.63,11.0,2024,157
2.0,1:49,3.0,6.0,MIA 14,3.0,10.0,"Gardner Minshew scrambles right end for 5 yards (tackle by Jevon Holland) Replay Assistant challenged the short of the line to gain ruling, and the original play was overturned. Gardner Minshew scrambles right end for 6 yards (tackle by Jevon Holland)",3.63,5.37,11.0,2024,157
2.0,1:42,1.0,8.0,MIA 8,3.0,10.0,Alexander Mattison right tackle for no gain (tackle by Zach Sieler and Calais Campbell),5.37,4.57,11.0,2024,157
2.0,1:39,,,,,,Timeout #2 by Miami Dolphins,,,11.0,2024,157
2.0,1:39,2.0,8.0,MIA 8,3.0,10.0,Gardner Minshew sacked by Emmanuel Ogbah for -1 yards,4.57,3.36,11.0,2024,157
2.0,1:32,,,,,,Timeout #3 by Miami Dolphins,,,11.0,2024,157
2.0,1:32,3.0,9.0,MIA 9,3.0,10.0,Gardner Minshew pass complete short right to Michael Mayer for 5 yards (tackle by Zach Sieler),3.36,3.03,11.0,2024,157
2.0,0:48,4.0,4.0,MIA 4,6.0,10.0,Daniel Carlson 22 yard field goal good,3.03,3.0,11.0,2024,157
2.0,0:45,,,LVR 35,6.0,10.0,"Daniel Carlson kicks off 63 yards, returned by Raheem Mostert for 23 yards (tackle by Amari Gainer)",0.0,0.61,11.0,2024,157
2.0,0:41,1.0,10.0,MIA 25,6.0,10.0,Tua Tagovailoa pass complete short right to Tyreek Hill for 2 yards (tackle by Jack Jones),0.61,0.33,11.0,2024,157
2.0,0:18,2.0,8.0,MIA 27,6.0,10.0,Tua Tagovailoa pass complete short right to Jonnu Smith for 8 yards (tackle by Tre'von Moehrig),0.33,1.27,11.0,2024,157
2.0,0:03,1.0,10.0,MIA 35,6.0,10.0,Tua Tagovailoa spiked the ball,1.27,0.72,11.0,2024,157
2.0,0:02,,,,,,Timeout #2 by Las Vegas Raiders,,,11.0,2024,157
2.0,0:02,2.0,10.0,MIA 35,6.0,10.0,Tua Tagovailoa pass complete short middle to Jonnu Smith for 15 yards (tackle by Thomas Harper and Darnay Holmes),0.72,2.26,11.0,2024,157
3.0,15:00,,,MIA 35,6.0,10.0,"Jason Sanders kicks off 66 yards, returned by DJ Turner for 31 yards (tackle by Siran Neal)",0.0,0.94,11.0,2024,157
3.0,14:54,1.0,10.0,LVR 30,6.0,10.0,Zamir White right guard for 3 yards (tackle by Jordyn Brooks and Jordan Poyer),0.94,0.8,11.0,2024,157
3.0,14:14,2.0,7.0,LVR 33,6.0,10.0,Gardner Minshew pass complete short middle to DJ Turner for 8 yards (tackle by Kader Kohou),0.8,1.66,11.0,2024,157
3.0,13:36,1.0,10.0,LVR 41,6.0,10.0,Gardner Minshew pass complete short left to Brock Bowers for 5 yards (tackle by Jordyn Brooks),1.66,1.8,11.0,2024,157
3.0,13:00,2.0,5.0,LVR 46,6.0,10.0,Gardner Minshew sacked by Calais Campbell for -6 yards,1.8,0.3,11.0,2024,157
3.0,12:16,3.0,11.0,LVR 40,6.0,10.0,Gardner Minshew pass incomplete short left intended for Brock Bowers,0.3,-0.72,11.0,2024,157
3.0,12:11,4.0,11.0,LVR 40,6.0,10.0,"AJ Cole punts 54 yards, returned by Malik Washington for no gain (tackle by DJ Turner). Penalty on Quinton Bell: Defensive Holding, 3 yards (accepted)",-0.72,0.38,11.0,2024,157
3.0,12:00,1.0,10.0,MIA 3,6.0,10.0,De'Von Achane up the middle for 8 yards (tackle by Decamerion Richardson and Robert Spillane),-0.38,-0.2,11.0,2024,157
3.0,11:22,2.0,2.0,MIA 11,6.0,10.0,De'Von Achane left end for -2 yards (tackle by K'Lavon Chaisson),-0.2,-0.72,11.0,2024,157
3.0,10:40,3.0,4.0,MIA 9,6.0,10.0,Tua Tagovailoa pass complete short right to Tyreek Hill for 6 yards (tackle by Jack Jones and Charles Snowden),-0.72,-0.22,11.0,2024,157
3.0,9:57,1.0,10.0,MIA 15,6.0,10.0,Tua Tagovailoa pass complete short left to De'Von Achane for 6 yards (tackle by Decamerion Richardson and Darnay Holmes),-0.22,0.21,11.0,2024,157
3.0,9:13,2.0,4.0,MIA 21,6.0,10.0,De'Von Achane right end for 7 yards (tackle by Tre'von Moehrig),0.21,0.81,11.0,2024,157
3.0,8:35,1.0,10.0,MIA 28,6.0,10.0,Malik Washington right end for 7 yards (tackle by Robert Spillane),0.81,1.21,11.0,2024,157
3.0,7:56,2.0,3.0,MIA 35,6.0,10.0,Tua Tagovailoa pass complete short right to Jonnu Smith for 7 yards (tackle by Robert Spillane),1.21,1.73,11.0,2024,157
3.0,7:14,1.0,10.0,MIA 42,6.0,10.0,Tua Tagovailoa pass complete short right to Jaylen Waddle for 13 yards (tackle by Jack Jones),1.73,2.59,11.0,2024,157
3.0,6:37,1.0,10.0,LVR 45,6.0,10.0,Tua Tagovailoa pass incomplete deep right intended for Julian Hill,2.59,2.04,11.0,2024,157
3.0,6:29,2.0,10.0,LVR 45,6.0,10.0,Tua Tagovailoa pass complete short middle to Julian Hill for 11 yards (tackle by Matthew Butler and Darnay Holmes),2.04,3.31,11.0,2024,157
3.0,5:59,1.0,10.0,LVR 34,6.0,10.0,De'Von Achane right tackle for 30 yards (tackle by Decamerion Richardson),3.31,6.28,11.0,2024,157
3.0,5:26,1.0,4.0,LVR 4,6.0,10.0,"Jaylen Wright right tackle for no gain (tackle by Divine Deablo). Penalty on Aaron Brewer: Offensive Holding, 10 yards (offset) . Penalty on Divine Deablo: Face Mask (15 Yards), 15 yards (offset) (no play)",6.28,6.28,11.0,2024,157
3.0,5:00,1.0,4.0,LVR 4,6.0,10.0,Raheem Mostert right end for -4 yards (tackle by Jack Jones),6.28,4.57,11.0,2024,157
3.0,4:25,2.0,8.0,LVR 8,6.0,10.0,Tua Tagovailoa pass incomplete short right intended for Tyreek Hill (defended by Tre'von Moehrig),4.57,3.58,11.0,2024,157
3.0,4:21,3.0,8.0,LVR 8,6.0,16.0,"Tua Tagovailoa pass complete short left to Tyreek Hill for 8 yards, touchdown",3.58,7.0,11.0,2024,157
3.0,4:13,,,LVR 15,6.0,17.0,Jason Sanders kicks extra point good,0.0,0.0,11.0,2024,157
3.0,4:13,,,MIA 35,6.0,17.0,"Jason Sanders kicks off 65 yards, touchback.",0.0,0.94,11.0,2024,157
3.0,4:13,1.0,10.0,LVR 30,6.0,17.0,"Penalty on Jordan Meredith: False Start, 5 yards (accepted) (no play)",0.94,0.61,11.0,2024,157
3.0,4:13,1.0,15.0,LVR 25,6.0,17.0,Gardner Minshew pass complete short middle to Brock Bowers for 7 yards (tackle by Kader Kohou),0.61,0.66,11.0,2024,157
3.0,3:42,2.0,8.0,LVR 32,6.0,17.0,Gardner Minshew pass incomplete short right intended for Jakobi Meyers (defended by Jalen Ramsey),0.66,-0.03,11.0,2024,157
3.0,3:39,3.0,8.0,LVR 32,6.0,17.0,Gardner Minshew pass complete short right to Alexander Mattison for 7 yards (tackle by Anthony Walker and Jordan Poyer),-0.03,-0.78,11.0,2024,157
3.0,3:21,4.0,1.0,LVR 39,6.0,17.0,Alexander Mattison up the middle for 6 yards (tackle by Kader Kohou),-0.78,1.93,11.0,2024,157
3.0,2:45,1.0,10.0,LVR 45,6.0,17.0,Gardner Minshew pass complete short right to Alexander Mattison for 31 yards (tackle by Quinton Bell and Jordyn Brooks),1.93,3.97,11.0,2024,157
3.0,2:14,1.0,10.0,MIA 24,6.0,17.0,Alexander Mattison right tackle for 1 yard (tackle by Quinton Bell),3.97,3.57,11.0,2024,157
3.0,1:34,2.0,9.0,MIA 23,6.0,17.0,Gardner Minshew pass incomplete short right,3.57,2.87,11.0,2024,157
3.0,1:27,3.0,9.0,MIA 23,12.0,17.0,"Gardner Minshew pass complete short right to Brock Bowers for 23 yards, touchdown",2.87,7.0,11.0,2024,157
3.0,1:21,,,MIA 2,12.0,17.0,"Two Point Attempt: Alexander Mattison rushes, conversion fails.",1.0,-1.0,11.0,2024,157
3.0,1:21,,,LVR 35,12.0,17.0,"Daniel Carlson kicks off 25 yards,. Penalty on Daniel Carlson: Kickoff Short of Landing Zone (accepted)",0.0,1.6,11.0,2024,157
3.0,1:21,1.0,10.0,MIA 40,12.0,17.0,Tua Tagovailoa pass incomplete short right intended for Jonnu Smith (defended by Charles Snowden),1.6,1.05,11.0,2024,157
3.0,1:18,2.0,10.0,MIA 40,12.0,17.0,Jaylen Wright left guard for 2 yards (tackle by Robert Spillane),1.05,0.63,11.0,2024,157
3.0,0:36,3.0,8.0,MIA 42,12.0,17.0,Tua Tagovailoa pass complete deep right to Tyreek Hill for 18 yards (tackle by Darnay Holmes),0.63,2.92,11.0,2024,157
3.0,0:01,1.0,10.0,LVR 40,12.0,17.0,"Penalty on Maxx Crosby: Neutral Zone Infraction, 5 yards (accepted) (no play)",2.92,3.65,11.0,2024,157
4.0,15:00,1.0,5.0,LVR 35,12.0,17.0,"Tua Tagovailoa pass complete short right to De'Von Achane for no gain (tackle by Robert Spillane and Jonah Laulu). Penalty on Aaron Brewer: Offensive Holding, 10 yards (accepted) (no play)",3.65,2.59,11.0,2024,157
4.0,14:33,1.0,15.0,LVR 45,12.0,17.0,Tua Tagovailoa pass complete short right to Jaylen Wright for 2 yards (tackle by Jack Jones),2.59,1.97,11.0,2024,157
4.0,13:51,2.0,13.0,LVR 43,12.0,17.0,Tua Tagovailoa pass complete short left to Malik Washington for 9 yards (tackle by Robert Spillane and Tre'von Moehrig),1.97,2.48,11.0,2024,157
4.0,13:13,3.0,4.0,LVR 34,12.0,17.0,Tua Tagovailoa pass complete short left to Jonnu Smith for 13 yards (tackle by Decamerion Richardson),2.48,4.17,11.0,2024,157
4.0,12:29,1.0,10.0,LVR 21,12.0,17.0,Jaylen Wright right end for -2 yards (tackle by Darnay Holmes and Adam Butler),4.17,3.36,11.0,2024,157
4.0,11:49,2.0,12.0,LVR 23,12.0,17.0,Tua Tagovailoa pass complete short right to Julian Hill for 17 yards (tackle by Amari Burney),3.36,5.83,11.0,2024,157
4.0,11:23,1.0,6.0,LVR 6,12.0,17.0,Tua Tagovailoa pass complete short left to Malik Washington for 4 yards (tackle by Tre'von Moehrig and Robert Spillane),5.83,5.72,11.0,2024,157
4.0,10:41,2.0,2.0,LVR 2,12.0,23.0,"De'Von Achane left end for 2 yards, touchdown",5.72,7.0,11.0,2024,157
4.0,10:37,,,LVR 15,12.0,24.0,Jason Sanders kicks extra point good,0.0,0.0,11.0,2024,157
4.0,10:37,,,MIA 35,12.0,24.0,"Jason Sanders kicks off 65 yards, touchback.",0.0,0.94,11.0,2024,157
4.0,10:37,1.0,10.0,LVR 30,12.0,24.0,Gardner Minshew pass complete short left to Jakobi Meyers for 4 yards (tackle by Jordyn Brooks),0.94,0.93,11.0,2024,157
4.0,10:01,2.0,6.0,LVR 34,12.0,24.0,"Gardner Minshew pass complete short right to Jakobi Meyers for no gain (tackle by Da'Shawn Hand). Penalty on Tre Tucker: Offensive Pass Interference, 10 yards (accepted) (no play)",0.93,-0.42,11.0,2024,157
4.0,9:30,2.0,16.0,LVR 24,12.0,24.0,Gardner Minshew pass complete short middle to Alexander Mattison for 12 yards (tackle by Anthony Walker and Jordyn Brooks),-0.42,0.5,11.0,2024,157
4.0,8:46,3.0,4.0,LVR 36,12.0,24.0,"Gardner Minshew pass complete short right to Brock Bowers for 6 yards (tackle by Jalen Ramsey). Penalty on Emmanuel Ogbah: Defensive Offside, 5 yards (declined)",0.5,1.73,11.0,2024,157
4.0,8:25,1.0,10.0,LVR 42,12.0,24.0,Gardner Minshew pass incomplete short right intended for Brock Bowers (defended by Quinton Bell),1.73,1.19,11.0,2024,157
4.0,8:21,2.0,10.0,LVR 42,12.0,24.0,Gardner Minshew pass complete short left to Jakobi Meyers for 7 yards (tackle by Kader Kohou),1.19,1.42,11.0,2024,157
4.0,7:37,3.0,3.0,LVR 49,12.0,24.0,Gardner Minshew pass incomplete short right,1.42,-0.13,11.0,2024,157
4.0,7:29,4.0,3.0,LVR 49,12.0,24.0,Gardner Minshew pass complete short left to Brock Bowers for 7 yards (tackle by Jordan Poyer and Jordyn Brooks),-0.13,2.65,11.0,2024,157
4.0,7:06,1.0,10.0,MIA 44,12.0,24.0,Ameer Abdullah left tackle for 1 yard (tackle by Quinton Bell),2.65,2.25,11.0,2024,157
4.0,6:26,2.0,9.0,MIA 43,12.0,24.0,Gardner Minshew pass complete deep left to Tre Tucker for 22 yards (tackle by Jordan Poyer),2.25,4.17,11.0,2024,157
4.0,5:50,1.0,10.0,MIA 21,12.0,24.0,Gardner Minshew pass complete short left to Ameer Abdullah for 5 yards (tackle by Jordyn Brooks),4.17,4.37,11.0,2024,157
4.0,5:17,2.0,5.0,MIA 16,12.0,24.0,Gardner Minshew pass complete short middle to Brock Bowers for 6 yards (tackle by Jordyn Brooks),4.37,4.91,11.0,2024,157
4.0,4:40,1.0,10.0,MIA 10,12.0,24.0,Gardner Minshew pass incomplete short right intended for Ramel Keyton,4.91,4.19,11.0,2024,157
4.0,4:33,2.0,10.0,MIA 10,12.0,24.0,Gardner Minshew pass incomplete short right intended for Brock Bowers,4.19,3.13,11.0,2024,157
4.0,4:30,3.0,10.0,MIA 10,18.0,24.0,"Gardner Minshew pass complete short right to Ameer Abdullah for 10 yards, touchdown",3.13,7.0,11.0,2024,157
4.0,4:23,,,MIA 15,19.0,24.0,Daniel Carlson kicks extra point good,0.0,0.0,11.0,2024,157
4.0,4:23,,,LVR 35,19.0,24.0,"Daniel Carlson kicks off 65 yards, touchback.",0.0,0.94,11.0,2024,157
4.0,4:23,1.0,10.0,MIA 30,19.0,24.0,De'Von Achane up the middle for 7 yards (tackle by Divine Deablo and John Jenkins),0.94,1.34,11.0,2024,157
4.0,3:37,2.0,3.0,MIA 37,19.0,24.0,De'Von Achane left tackle for -2 yards (tackle by Adam Butler),1.34,0.37,11.0,2024,157
4.0,3:35,,,,,,Timeout #1 by Las Vegas Raiders,,,11.0,2024,157
4.0,3:35,3.0,5.0,MIA 35,19.0,24.0,"Tua Tagovailoa pass incomplete short left intended for Jaylen Waddle. Penalty on Darnay Holmes: Defensive Pass Interference, 9 yards (accepted) (no play)",0.37,1.86,11.0,2024,157
4.0,3:32,1.0,10.0,MIA 44,19.0,24.0,De'Von Achane right end for -1 yards (tackle by Jonah Laulu),1.86,1.18,11.0,2024,157
4.0,3:28,,,,,,Timeout #2 by Las Vegas Raiders,,,11.0,2024,157
4.0,3:28,2.0,11.0,MIA 43,19.0,30.0,"Tua Tagovailoa pass complete deep middle to Jonnu Smith for 57 yards, touchdown",1.18,7.0,11.0,2024,157
4.0,3:19,,,LVR 15,19.0,31.0,Jason Sanders kicks extra point good,0.0,0.0,11.0,2024,157
4.0,3:19,,,MIA 35,19.0,31.0,"Jason Sanders kicks off 65 yards, touchback.",0.0,0.94,11.0,2024,157
4.0,3:19,1.0,10.0,LVR 30,19.0,31.0,Gardner Minshew pass short right intended for Jakobi Meyers is intercepted by Jalen Ramsey at LV-38 and returned for 7 yards (tackle by Jakobi Meyers),0.94,-3.51,11.0,2024,157
4.0,3:12,1.0,10.0,LVR 31,19.0,31.0,Jaylen Wright up the middle for -1 yards (tackle by John Jenkins),3.51,2.83,11.0,2024,157
4.0,3:08,,,,,,Timeout #3 by Las Vegas Raiders,,,11.0,2024,157
4.0,3:08,2.0,11.0,LVR 32,19.0,31.0,De'Von Achane up the middle for 1 yard (tackle by Robert Spillane and Maxx Crosby),2.83,2.28,11.0,2024,157
4.0,2:25,3.0,10.0,LVR 31,19.0,31.0,Tua Tagovailoa pass complete short right to Durham Smythe for 3 yards (tackle by Tre'von Moehrig and Robert Spillane),2.28,1.5,11.0,2024,157
4.0,2:00,4.0,8.0,LVR 29,19.0,34.0,Jason Sanders 46 yard field goal good,1.5,3.0,11.0,2024,157
4.0,1:55,,,MIA 35,19.0,34.0,"Jason Sanders kicks off 65 yards, touchback.",0.0,0.94,11.0,2024,157
4.0,1:55,1.0,10.0,LVR 30,19.0,34.0,Gardner Minshew pass complete short left to DJ Turner for 12 yards (tackle by Storm Duck),0.94,1.73,11.0,2024,157
4.0,1:34,1.0,10.0,LVR 42,19.0,34.0,Gardner Minshew pass complete short right to Tre Tucker for 2 yards (tackle by Storm Duck),1.73,1.46,11.0,2024,157
4.0,1:12,2.0,8.0,LVR 44,19.0,34.0,Gardner Minshew pass complete short right to Brock Bowers for 12 yards (tackle by Storm Duck and Jordyn Brooks),1.46,2.65,11.0,2024,157
4.0,1:06,1.0,10.0,MIA 44,19.0,34.0,Gardner Minshew pass complete short left to DJ Turner for 9 yards (tackle by Anthony Walker),2.65,3.33,11.0,2024,157
4.0,0:45,2.0,1.0,MIA 35,19.0,34.0,Gardner Minshew pass incomplete short left intended for Tre Tucker,3.33,2.61,11.0,2024,157
4.0,0:42,3.0,1.0,MIA 35,19.0,34.0,"Gardner Minshew pass complete short right to Ameer Abdullah for 1 yard (tackle by Jalen Ramsey) Replay Assistant challenged the first down ruling, and the play was upheld.",2.61,3.31,11.0,2024,157
4.0,0:13,1.0,10.0,MIA 34,19.0,34.0,Gardner Minshew pass complete short right to Brock Bowers for 6 yards (tackle by Jordyn Brooks),3.31,3.58,11.0,2024,157
