Quarter,Time,Down,ToGo,Location,SEA,SFO,Detail,EPB,EPA,week,year,game_id
3.0,12:29,1.0,10.0,SEA 16,6.0,7.0,"Brock Purdy scrambles left end for 8 yards (tackle by Julian Love). Penalty on Aaron Banks: Offensive Holding, 10 yards (accepted) (no play)",4.51,3.84,11.0,2024,162
3.0,12:09,1.0,20.0,SEA 26,6.0,7.0,Brock Purdy left end for no gain (tackle by Tyrice Knight) (no play),3.84,3.51,11.0,2024,162
3.0,11:41,1.0,25.0,SEA 31,6.0,7.0,Brock Purdy pass complete short right to Christian McCaffrey for 6 yards (tackle by Julian Love),3.51,2.74,11.0,2024,162
3.0,10:56,2.0,19.0,SEA 25,6.0,7.0,Brock Purdy scrambles up the middle for 4 yards (tackle by Ernest Jones),2.74,2.61,11.0,2024,162
3.0,10:09,3.0,15.0,SEA 21,6.0,7.0,Brock Purdy pass complete short middle to Christian McCaffrey for 6 yards (tackle by Riq Woolen),2.61,2.44,11.0,2024,162
3.0,9:29,4.0,9.0,SEA 15,6.0,10.0,Jake Moody 33 yard field goal good,2.44,3.0,11.0,2024,162
3.0,9:26,,,SFO 35,6.0,10.0,"Jake Moody kicks off 65 yards, touchback.",0.0,0.94,11.0,2024,162
3.0,9:26,1.0,10.0,SEA 30,6.0,10.0,Geno Smith sacked by Nick Bosa for -7 yards,0.94,-0.55,11.0,2024,162
3.0,8:47,2.0,17.0,SEA 23,6.0,10.0,Kenneth Walker left guard for 5 yards (tackle by De'Vondre Campbell and Kalia Davis),-0.55,-0.56,11.0,2024,162
3.0,8:08,3.0,12.0,SEA 28,6.0,10.0,Geno Smith pass complete deep left to D.K. Metcalf for 26 yards,-0.56,2.52,11.0,2024,162
3.0,7:28,1.0,10.0,SFO 46,6.0,10.0,Geno Smith pass complete short middle to AJ Barner for 6 yards (tackle by Maliek Collins and De'Vondre Campbell),2.52,2.79,11.0,2024,162
3.0,6:40,2.0,4.0,SFO 40,6.0,10.0,Geno Smith pass incomplete deep right intended for Tyler Lockett,2.79,2.08,11.0,2024,162
3.0,6:35,3.0,4.0,SFO 40,6.0,10.0,Geno Smith pass complete short right to Jaxon Smith-Njigba for 9 yards (tackle by Deommodore Lenoir),2.08,3.51,11.0,2024,162
3.0,5:59,1.0,10.0,SFO 31,6.0,10.0,Geno Smith pass complete short middle to D.K. Metcalf for 5 yards (tackle by Fred Warner),3.51,3.64,11.0,2024,162
3.0,5:20,2.0,5.0,SFO 26,6.0,10.0,Kenneth Walker left end for 5 yards (tackle by Ji'Ayir Brown),3.64,4.17,11.0,2024,162
3.0,4:37,1.0,10.0,SFO 21,6.0,10.0,Geno Smith pass complete short middle to Jaxon Smith-Njigba for 17 yards (tackle by Isaac Yiadom),4.17,6.28,11.0,2024,162
3.0,4:03,1.0,4.0,SFO 4,6.0,10.0,Kenneth Walker up the middle for 3 yards (tackle by Malik Mustapha),6.28,5.91,11.0,2024,162
3.0,3:29,2.0,1.0,SFO 1,12.0,10.0,"Kenneth Walker left guard for 1 yard, touchdown",5.91,7.0,11.0,2024,162
3.0,3:25,,,SFO 15,13.0,10.0,Jason Myers kicks extra point good,0.0,0.0,11.0,2024,162
3.0,3:25,,,SEA 35,13.0,10.0,"Jason Myers kicks off 65 yards, touchback.",0.0,0.94,11.0,2024,162
3.0,3:25,1.0,10.0,SFO 30,13.0,10.0,Christian McCaffrey left guard for 3 yards (tackle by Johnathan Hankins and Ernest Jones),0.94,0.8,11.0,2024,162
3.0,2:40,2.0,7.0,SFO 33,13.0,10.0,Brock Purdy pass complete short middle to Jauan Jennings for 12 yards (tackle by Riq Woolen and Tyrice Knight),0.8,1.93,11.0,2024,162
3.0,1:59,1.0,10.0,SFO 45,13.0,10.0,Brock Purdy pass complete short middle to Christian McCaffrey for 10 yards (tackle by Ernest Jones and Boye Mafe),1.93,2.59,11.0,2024,162
3.0,1:17,1.0,10.0,SEA 45,13.0,10.0,Christian McCaffrey left tackle for 1 yard (tackle by Ernest Jones),2.59,2.18,11.0,2024,162
3.0,0:40,2.0,9.0,SEA 44,13.0,10.0,Brock Purdy scrambles up the middle for 4 yards (tackle by Tyrice Knight),2.18,2.01,11.0,2024,162
4.0,15:00,3.0,5.0,SEA 40,13.0,10.0,Christian McCaffrey up the middle for 7 yards (tackle by Ty Okada),2.01,3.38,11.0,2024,162
4.0,14:26,1.0,10.0,SEA 33,13.0,10.0,Brock Purdy pass incomplete short right intended for Jauan Jennings (defended by Devon Witherspoon),3.38,2.84,11.0,2024,162
4.0,14:21,2.0,10.0,SEA 33,13.0,10.0,Deebo Samuel left end for -1 yards (tackle by Julian Love),2.84,2.01,11.0,2024,162
4.0,13:42,3.0,11.0,SEA 34,13.0,10.0,Brock Purdy pass complete short right to Jauan Jennings for 14 yards (tackle by Ty Okada and Devon Witherspoon),2.01,4.24,11.0,2024,162
4.0,12:57,1.0,10.0,SEA 20,13.0,10.0,Christian McCaffrey left end for 1 yard (tackle by Devon Witherspoon and Tyrice Knight),4.24,3.82,11.0,2024,162
4.0,12:15,2.0,9.0,SEA 19,13.0,10.0,Christian McCaffrey right end for 8 yards (tackle by Devon Witherspoon and Tyrice Knight),3.82,4.59,11.0,2024,162
4.0,11:32,3.0,1.0,SEA 11,13.0,10.0,"Christian McCaffrey left guard for no gain (tackle by Coby Bryant). Penalty on Jake Brendel: Offensive Holding, 10 yards (accepted) (no play)",4.59,2.87,11.0,2024,162
4.0,11:05,3.0,11.0,SEA 21,13.0,10.0,Brock Purdy pass complete short left to Jauan Jennings for 13 yards (tackle by Julian Love and Riq Woolen),2.87,5.37,11.0,2024,162
4.0,10:17,1.0,8.0,SEA 8,13.0,10.0,Brock Purdy pass complete short left to Christian McCaffrey for 5 yards (tackle by Ernest Jones),5.37,5.53,11.0,2024,162
4.0,9:38,2.0,3.0,SEA 3,13.0,16.0,"Brock Purdy pass complete short left to Jauan Jennings for 3 yards, touchdown",5.53,7.0,11.0,2024,162
4.0,9:33,,,SEA 15,13.0,17.0,Jake Moody kicks extra point good,0.0,0.0,11.0,2024,162
4.0,9:33,,,SFO 35,13.0,17.0,"Jake Moody kicks off 65 yards, touchback.",0.0,0.94,11.0,2024,162
4.0,9:33,1.0,10.0,SEA 30,13.0,17.0,Kenneth Walker left guard for 3 yards (tackle by De'Vondre Campbell and Malik Mustapha),0.94,0.8,11.0,2024,162
4.0,8:57,2.0,7.0,SEA 33,13.0,17.0,Jaxon Smith-Njigba right end for 8 yards (tackle by De'Vondre Campbell),0.8,1.66,11.0,2024,162
4.0,8:17,1.0,10.0,SEA 41,13.0,17.0,Kenneth Walker left end for no gain (tackle by Deommodore Lenoir),1.66,1.12,11.0,2024,162
4.0,7:42,2.0,10.0,SEA 41,13.0,17.0,Geno Smith pass complete short right to D.K. Metcalf for 5 yards (tackle by Renardo Green),1.12,1.09,11.0,2024,162
4.0,7:00,3.0,5.0,SEA 46,13.0,17.0,Kenneth Walker up the middle for 4 yards (tackle by Sam Okuayinonu and Fred Warner),1.09,-0.06,11.0,2024,162
4.0,6:23,4.0,1.0,SEA 50,13.0,17.0,Kenneth Walker left tackle for 4 yards (tackle by Malik Mustapha and Isaac Yiadom),-0.06,2.52,11.0,2024,162
4.0,5:45,1.0,10.0,SFO 46,13.0,17.0,Zach Charbonnet up the middle for 1 yard (tackle by Leonard Floyd),2.52,2.11,11.0,2024,162
4.0,5:05,2.0,9.0,SFO 45,13.0,17.0,"Geno Smith pass complete short right to Jaxon Smith-Njigba for 8 yards SFO challenged the pass completion ruling, and the play was upheld.",2.11,2.48,11.0,2024,162
4.0,4:55,3.0,1.0,SFO 37,13.0,17.0,Geno Smith up the middle for no gain (tackle by Maliek Collins),2.48,0.79,11.0,2024,162
4.0,4:01,4.0,1.0,SFO 37,13.0,17.0,Zach Charbonnet left guard for no gain (tackle by Ji'Ayir Brown and Dee Winters),0.79,-1.4,11.0,2024,162
4.0,3:56,1.0,10.0,SFO 37,13.0,17.0,Christian McCaffrey left guard for 11 yards (tackle by Tyrice Knight),1.4,2.13,11.0,2024,162
4.0,3:12,1.0,10.0,SFO 48,13.0,17.0,"Christian McCaffrey right guard for 1 yard (tackle by Ernest Jones). Penalty on Johnathan Hankins: Defensive Holding, 5 yards (accepted)",2.13,2.52,11.0,2024,162
4.0,3:06,1.0,10.0,SEA 46,13.0,17.0,Christian McCaffrey left end for -1 yards (tackle by Coby Bryant),2.52,1.84,11.0,2024,162
4.0,3:02,,,,,,Timeout #1 by Seattle Seahawks,,,11.0,2024,162
4.0,3:02,2.0,11.0,SEA 47,13.0,17.0,Brock Purdy pass incomplete short middle intended for Deebo Samuel,1.84,1.16,11.0,2024,162
4.0,2:58,3.0,11.0,SEA 47,13.0,17.0,Brock Purdy pass complete short right to Jauan Jennings for 5 yards (tackle by Coby Bryant),1.16,0.46,11.0,2024,162
4.0,2:45,,,,,,Timeout #2 by Seattle Seahawks,,,11.0,2024,162
4.0,2:45,4.0,6.0,SEA 42,13.0,17.0,"Pat O'Donnell punts 42 yards, touchback.",0.46,-0.28,11.0,2024,162
4.0,2:38,1.0,10.0,SEA 20,13.0,17.0,"Geno Smith pass complete short right to D.K. Metcalf for 11 yards (tackle by Renardo Green) SFO challenged the pass completion ruling, and the play was upheld.",0.28,1.0,11.0,2024,162
4.0,2:33,1.0,10.0,SEA 31,13.0,17.0,Geno Smith pass complete short right to Kenneth Walker for 5 yards (tackle by Renardo Green),1.0,1.14,11.0,2024,162
4.0,2:27,2.0,5.0,SEA 36,13.0,17.0,Geno Smith pass complete short right to Kenneth Walker for no gain (tackle by De'Vondre Campbell),1.14,0.43,11.0,2024,162
4.0,2:06,3.0,5.0,SEA 36,13.0,17.0,Geno Smith pass complete short middle to Jaxon Smith-Njigba for 8 yards (tackle by Deommodore Lenoir),0.43,1.86,11.0,2024,162
4.0,2:00,1.0,10.0,SEA 44,13.0,17.0,Geno Smith pass complete short right to Jaxon Smith-Njigba for 7 yards (tackle by Deommodore Lenoir),1.86,2.26,11.0,2024,162
4.0,1:40,2.0,3.0,SFO 49,13.0,17.0,Geno Smith pass incomplete short left intended for D.K. Metcalf,2.26,1.55,11.0,2024,162
4.0,1:36,3.0,3.0,SFO 49,13.0,17.0,Geno Smith pass complete short middle to Jaxon Smith-Njigba for 15 yards (tackle by Ji'Ayir Brown),1.55,3.31,11.0,2024,162
4.0,1:13,1.0,10.0,SFO 34,13.0,17.0,Geno Smith sacked by Leonard Floyd for -3 yards,3.31,2.37,11.0,2024,162
4.0,0:46,2.0,13.0,SFO 37,13.0,17.0,Geno Smith scrambles right end for 16 yards (tackle by Renardo Green),2.37,4.17,11.0,2024,162
4.0,0:39,,,,,,Timeout #3 by Seattle Seahawks,,,11.0,2024,162
4.0,0:39,1.0,10.0,SFO 21,13.0,17.0,Geno Smith pass complete short left to Jaxon Smith-Njigba for 8 yards (tackle by Isaac Yiadom),4.17,4.95,11.0,2024,162
4.0,0:18,2.0,2.0,SFO 13,19.0,17.0,"Geno Smith scrambles left end for 13 yards, touchdown",4.95,7.0,11.0,2024,162
4.0,0:12,,,SFO 15,20.0,17.0,Jason Myers kicks extra point good,0.0,0.0,11.0,2024,162
4.0,0:12,,,SEA 35,20.0,17.0,"Jason Myers kicks off 65 yards, touchback.",0.0,0.94,11.0,2024,162
4.0,0:12,1.0,10.0,SFO 30,20.0,17.0,Brock Purdy pass complete short middle to Deebo Samuel for 2 yards (tackle by Devon Witherspoon),0.94,0.66,11.0,2024,162
4.0,0:07,,,,,,Timeout #3 by San Francisco 49ers,,,11.0,2024,162
4.0,0:07,2.0,8.0,SFO 32,20.0,17.0,"Brock Purdy pass complete short middle to Deebo Samuel for 4 yards, lateral to Colton McKivitz for 1 yard. Colton McKivitz fumbles (forced by Leonard Williams), recovered by Derick Hall at SF-37. Penalty on Eric Saubert: Offensive Pass Interference (accepted) (no play)",0.66,-0.03,11.0,2024,162
