Quarter,Time,Down,ToGo,Location,ATL,DEN,Detail,EPB,EPA,week,year,game_id
1.0,0:14,4.0,10.0,DEN 30,3.0,7.0,"Riley Dixon punts 51 yards, returned by Avery Williams for 12 yards (tackle by Mitchell Fraboni and JL Skinner). Penalty on DeAngelo Malone: Unnecessary Roughness / Offense, 15 yards (accepted)",-1.37,0.14,11.0,2024,163
2.0,15:00,1.0,10.0,ATL 16,3.0,7.0,Kirk Cousins pass incomplete deep left intended for Darnell Mooney (defended by Riley Moss),-0.14,-0.66,11.0,2024,163
2.0,14:56,2.0,10.0,ATL 16,3.0,7.0,Kirk Cousins pass incomplete short right intended for Drake London,-0.66,-1.32,11.0,2024,163
2.0,14:52,3.0,10.0,ATL 16,3.0,7.0,Kirk Cousins pass complete short right to Bijan Robinson for 15 yards (tackle by Cody Barton),-1.32,1.0,11.0,2024,163
2.0,14:16,1.0,10.0,ATL 31,3.0,7.0,"Kirk Cousins aborted snap, recovered by Kirk Cousins at ATL-22 and returned for -7 yards (tackle by Nik Bonitto)",1.0,-0.49,11.0,2024,163
2.0,13:43,2.0,17.0,ATL 24,3.0,7.0,Kirk Cousins sacked by Malcolm Roach for -7 yards,-0.49,-2.44,11.0,2024,163
2.0,13:13,3.0,24.0,ATL 17,3.0,7.0,Bijan Robinson up the middle for 7 yards (tackle by Jonathon Cooper),-2.44,-1.77,11.0,2024,163
2.0,12:37,4.0,17.0,ATL 24,3.0,7.0,"Bradley Pinion punts 59 yards, returned by Marvin Mims for 6 yards (tackle by Avery Williams)",-1.77,-0.48,11.0,2024,163
2.0,12:23,1.0,10.0,DEN 23,3.0,7.0,Jaleel McLaughlin left guard for 3 yards (tackle by Jessie Bates),0.48,0.34,11.0,2024,163
2.0,11:48,2.0,7.0,DEN 26,3.0,7.0,Bo Nix pass complete short middle to Javonte Williams for 7 yards (tackle by Kaden Elliss and Nathan Landman),0.34,1.14,11.0,2024,163
2.0,11:03,1.0,10.0,DEN 33,3.0,7.0,Bo Nix pass complete short right to Lil'Jordan Humphrey for 2 yards (tackle by Arnold Ebiketie),1.14,0.86,11.0,2024,163
2.0,10:22,2.0,8.0,DEN 35,3.0,7.0,Javonte Williams right guard for 3 yards (tackle by Nathan Landman),0.86,0.56,11.0,2024,163
2.0,9:43,3.0,5.0,DEN 38,3.0,7.0,"Penalty on Quinn Meinerz: False Start, 5 yards (accepted) (no play)",0.56,-0.1,11.0,2024,163
2.0,9:22,3.0,10.0,DEN 33,3.0,7.0,Bo Nix pass complete short left to Marvin Mims for 37 yards (tackle by Jessie Bates),-0.1,3.58,11.0,2024,163
2.0,8:38,1.0,10.0,ATL 30,3.0,7.0,Marvin Mims left end for -5 yards (tackle by Zach Harrison),3.58,2.36,11.0,2024,163
2.0,7:58,2.0,15.0,ATL 35,3.0,7.0,Bo Nix pass complete short left to Javonte Williams for 15 yards (tackle by Justin Simmons and AJ Terrell),2.36,4.24,11.0,2024,163
2.0,7:12,1.0,10.0,ATL 20,3.0,7.0,Bo Nix pass complete short middle to Courtland Sutton for 6 yards (tackle by Kaden Elliss),4.24,4.64,11.0,2024,163
2.0,6:25,2.0,4.0,ATL 14,3.0,13.0,"Javonte Williams left tackle for 14 yards, touchdown",4.64,7.0,11.0,2024,163
2.0,6:16,,,ATL 15,3.0,14.0,Wil Lutz kicks extra point good,0.0,0.0,11.0,2024,163
2.0,6:16,,,DEN 35,3.0,14.0,"Wil Lutz kicks off 65 yards, touchback.",0.0,0.94,11.0,2024,163
2.0,6:16,1.0,10.0,ATL 30,3.0,14.0,Bijan Robinson right end for 1 yard (tackle by D.J. Jones),0.94,0.53,11.0,2024,163
2.0,5:36,2.0,9.0,ATL 31,3.0,14.0,Kirk Cousins pass complete short left to Darnell Mooney for 8 yards (tackle by Ja'Quan McMillian),0.53,0.89,11.0,2024,163
2.0,4:56,3.0,1.0,ATL 39,3.0,14.0,Bijan Robinson up the middle for no gain (tackle by Dondrea Tillman),0.89,-0.78,11.0,2024,163
2.0,4:31,4.0,1.0,ATL 39,3.0,14.0,Kirk Cousins pass complete deep right to Drake London for 26 yards (tackle by Ja'Quan McMillian),-0.78,3.25,11.0,2024,163
2.0,3:42,1.0,10.0,DEN 35,3.0,14.0,Bijan Robinson left tackle for 3 yards (tackle by Cody Barton and Nik Bonitto),3.25,3.11,11.0,2024,163
2.0,3:06,2.0,7.0,DEN 32,3.0,14.0,Kirk Cousins pass incomplete short right intended for Drake London,3.11,2.41,11.0,2024,163
2.0,2:57,3.0,7.0,DEN 32,3.0,14.0,Kirk Cousins pass incomplete short right intended for Kyle Pitts (defended by Ja'Quan McMillian),2.41,1.24,11.0,2024,163
2.0,2:53,4.0,7.0,DEN 32,6.0,14.0,Younghoe Koo 51 yard field goal good,1.24,3.0,11.0,2024,163
2.0,2:48,,,ATL 35,6.0,14.0,"Bradley Pinion kicks off 65 yards, touchback.",0.0,0.94,11.0,2024,163
2.0,2:48,1.0,10.0,DEN 30,6.0,14.0,Bo Nix scrambles right guard for 3 yards (tackle by Kaden Elliss),0.94,0.8,11.0,2024,163
2.0,2:04,2.0,7.0,DEN 33,6.0,14.0,Bo Nix pass complete deep middle to Devaughn Vele for 33 yards (tackle by Justin Simmons),0.8,3.31,11.0,2024,163
2.0,1:57,1.0,10.0,ATL 34,6.0,14.0,Bo Nix pass incomplete short right,3.31,2.77,11.0,2024,163
2.0,1:51,2.0,10.0,ATL 34,6.0,14.0,Bo Nix pass complete short right to Courtland Sutton for 8 yards (tackle by Richie Grant),2.77,3.14,11.0,2024,163
2.0,1:42,,,,,,Timeout #1 by Atlanta Falcons,,,11.0,2024,163
2.0,1:42,3.0,2.0,ATL 26,6.0,14.0,Bo Nix pass complete short right to Courtland Sutton for 7 yards (tackle by Jessie Bates and AJ Terrell),3.14,4.31,11.0,2024,163
2.0,1:34,,,,,,Timeout #1 by Denver Broncos,,,11.0,2024,163
2.0,1:34,1.0,10.0,ATL 19,6.0,14.0,Bo Nix pass complete short left to Troy Franklin for 8 yards (tackle by Nathan Landman),4.31,5.14,11.0,2024,163
2.0,1:24,,,,,,Timeout #2 by Atlanta Falcons,,,11.0,2024,163
2.0,1:24,2.0,2.0,ATL 11,6.0,14.0,Javonte Williams up the middle for 4 yards (tackle by Richie Grant and Lorenzo Carter),5.14,5.6,11.0,2024,163
2.0,0:47,1.0,7.0,ATL 7,6.0,14.0,Bo Nix sacked by Matt Judon for -12 yards,5.6,3.07,11.0,2024,163
2.0,0:41,,,,,,Timeout #3 by Atlanta Falcons,,,11.0,2024,163
2.0,0:41,2.0,19.0,ATL 19,6.0,14.0,Bo Nix pass complete short middle to Courtland Sutton for 7 yards (tackle by Kaden Elliss),3.07,3.1,11.0,2024,163
2.0,0:30,,,,,,Timeout #2 by Denver Broncos,,,11.0,2024,163
2.0,0:30,3.0,12.0,ATL 12,6.0,20.0,"Bo Nix pass complete short right to Marvin Mims for 12 yards, touchdown",3.1,7.0,11.0,2024,163
2.0,0:25,,,ATL 15,6.0,21.0,Wil Lutz kicks extra point good,0.0,0.0,11.0,2024,163
2.0,0:25,,,DEN 35,6.0,21.0,"Wil Lutz kicks off 65 yards, touchback.",0.0,0.94,11.0,2024,163
2.0,0:25,1.0,10.0,ATL 30,6.0,21.0,Kirk Cousins pass complete deep left to Darnell Mooney for 19 yards (tackle by Riley Moss),0.94,2.19,11.0,2024,163
2.0,0:11,1.0,10.0,ATL 49,6.0,21.0,Kirk Cousins spiked the ball,2.19,1.65,11.0,2024,163
2.0,0:10,,,,,,Timeout #3 by Denver Broncos,,,11.0,2024,163
2.0,0:10,2.0,10.0,ATL 49,6.0,21.0,Kirk Cousins pass complete deep right to Drake London for 19 yards (tackle by Riley Moss),1.65,3.45,11.0,2024,163
3.0,15:00,,,DEN 35,6.0,21.0,"Wil Lutz kicks off 65 yards, touchback.",0.0,0.94,11.0,2024,163
3.0,15:00,1.0,10.0,ATL 30,6.0,21.0,Bijan Robinson up the middle for no gain (tackle by John Franklin-Myers and D.J. Jones),0.94,0.39,11.0,2024,163
3.0,14:42,2.0,10.0,ATL 30,6.0,21.0,Kirk Cousins pass incomplete short left intended for Darnell Mooney (defended by Riley Moss),0.39,-0.3,11.0,2024,163
3.0,14:35,3.0,10.0,ATL 30,6.0,21.0,Kirk Cousins pass complete short right to Ray-Ray McCloud for 3 yards (tackle by Ja'Quan McMillian),-0.3,-1.18,11.0,2024,163
3.0,13:51,4.0,7.0,ATL 33,6.0,21.0,"Bradley Pinion punts 49 yards, returned by Marvin Mims for 37 yards (tackle by Kaden Elliss)",-1.18,-2.59,11.0,2024,163
3.0,13:38,1.0,10.0,ATL 45,6.0,21.0,Marvin Mims right end for 3 yards (tackle by Matt Judon),2.59,2.45,11.0,2024,163
3.0,13:09,2.0,7.0,ATL 42,6.0,21.0,Javonte Williams right guard for 4 yards (tackle by Justin Simmons),2.45,2.28,11.0,2024,163
3.0,12:23,3.0,3.0,ATL 38,6.0,21.0,Bo Nix pass incomplete short middle intended for Adam Trautman (defended by Jessie Bates),2.28,0.72,11.0,2024,163
3.0,12:12,,,,,,Timeout #1 by Denver Broncos,,,11.0,2024,163
3.0,12:12,4.0,3.0,ATL 38,6.0,21.0,"Bo Nix pass incomplete short middle intended for Lil'Jordan Humphrey (defended by Jessie Bates) Replay Assistant challenged the fumble ruling, and the original play was overturned. Bo Nix pass complete short middle to Lil'Jordan Humphrey for 8 yards. Lil'Jordan Humphrey fumbles (tackle by Natrone Brooks, recovered by Lil'Jordan Humphrey at ATL-30",0.72,3.58,11.0,2024,163
3.0,12:06,1.0,10.0,ATL 30,6.0,21.0,Javonte Williams right guard for 12 yards (tackle by Kaden Elliss),3.58,4.37,11.0,2024,163
3.0,11:37,1.0,10.0,ATL 18,6.0,21.0,Bo Nix right end for 2 yards (tackle by Jessie Bates and Nathan Landman),4.37,4.09,11.0,2024,163
3.0,10:41,2.0,8.0,ATL 16,6.0,21.0,Bo Nix pass incomplete deep right intended for Courtland Sutton,4.09,3.3,11.0,2024,163
3.0,10:33,3.0,8.0,ATL 16,6.0,21.0,Bo Nix pass complete short left to Devaughn Vele for 11 yards (tackle by Justin Simmons),3.3,6.06,11.0,2024,163
3.0,9:54,1.0,5.0,ATL 5,6.0,21.0,Bo Nix pass complete short right to Michael Burton for -2 yards (tackle by Kaden Elliss),6.06,4.76,11.0,2024,163
3.0,9:09,2.0,7.0,ATL 7,6.0,27.0,"Bo Nix pass complete short right to Troy Franklin for 7 yards, touchdown",4.76,7.0,11.0,2024,163
3.0,9:05,,,ATL 15,6.0,28.0,Wil Lutz kicks extra point good,0.0,0.0,11.0,2024,163
3.0,9:05,,,DEN 35,6.0,28.0,"Wil Lutz kicks off 65 yards, touchback.",0.0,0.94,11.0,2024,163
3.0,9:05,1.0,10.0,ATL 30,6.0,28.0,Kirk Cousins pass complete short right to Kyle Pitts for 9 yards (tackle by Devon Key),0.94,1.61,11.0,2024,163
3.0,8:43,2.0,1.0,ATL 39,6.0,28.0,Kirk Cousins pass incomplete deep right intended for Kyle Pitts,1.61,0.89,11.0,2024,163
3.0,8:36,3.0,1.0,ATL 39,6.0,28.0,Kirk Cousins pass complete short left to KhaDarel Hodge for 18 yards (tackle by Ja'Quan McMillian and Nik Bonitto),0.89,2.72,11.0,2024,163
3.0,8:05,1.0,10.0,DEN 43,6.0,28.0,Kirk Cousins pass short left intended for Drake London is intercepted by Cody Barton at DEN-31 and returned for 15 yards (tackle by Drake London),2.72,-1.99,11.0,2024,163
3.0,7:56,1.0,10.0,DEN 46,6.0,28.0,Bo Nix pass incomplete short left intended for Devaughn Vele (defended by Natrone Brooks),1.99,1.45,11.0,2024,163
3.0,7:54,2.0,10.0,DEN 46,6.0,28.0,"Bo Nix pass complete short right to Audric Estime for 9 yards (tackle by Jessie Bates) DEN challenged the first down ruling, and the original play was overturned. Bo Nix pass complete short right to Audric Estime for 11 yards (tackle by Jessie Bates)",1.45,2.72,11.0,2024,163
3.0,7:40,1.0,10.0,ATL 43,6.0,28.0,"Bo Nix pass complete short left to Audric Estime for no gain (tackle by Nathan Landman). Penalty on Garett Bolles: Unnecessary Roughness / Offense, 15 yards (accepted) (no play)",2.72,1.73,11.0,2024,163
3.0,7:09,1.0,25.0,DEN 42,6.0,28.0,Audric Estime left guard for 4 yards (tackle by David Onyemata and Grady Jarrett),1.73,0.69,11.0,2024,163
3.0,6:46,2.0,21.0,DEN 46,6.0,28.0,Bo Nix pass complete short middle to Courtland Sutton for 11 yards (tackle by Jessie Bates),0.69,1.49,11.0,2024,163
3.0,6:21,3.0,10.0,ATL 43,6.0,28.0,Bo Nix pass complete short left to Audric Estime for no gain (tackle by Nathan Landman),1.49,0.4,11.0,2024,163
3.0,5:44,4.0,10.0,ATL 43,6.0,28.0,Riley Dixon punts 37 yards downed by Tremon Smith,0.4,0.38,11.0,2024,163
3.0,5:35,1.0,10.0,ATL 6,6.0,28.0,Bijan Robinson left guard for 5 yards (tackle by Devon Key and Malcolm Roach),-0.38,-0.42,11.0,2024,163
3.0,5:09,2.0,5.0,ATL 11,6.0,28.0,Kirk Cousins pass incomplete short middle intended for Drake London (defended by Patrick Surtain),-0.42,-0.84,11.0,2024,163
3.0,5:03,3.0,5.0,ATL 11,6.0,28.0,"Kirk Cousins pass complete short left to Kyle Pitts for no gain (tackle by Patrick Surtain). Penalty on Patrick Surtain: Face Mask (15 Yards), 15 yards (accepted) (no play)",-0.84,0.67,11.0,2024,163
3.0,4:51,1.0,10.0,ATL 26,6.0,28.0,Bijan Robinson left end for 1 yard (tackle by Dondrea Tillman and Zach Allen),0.67,0.27,11.0,2024,163
3.0,4:11,2.0,9.0,ATL 27,6.0,28.0,"Penalty on Kaleb McGary: False Start, 5 yards (accepted) (no play)",0.27,-0.41,11.0,2024,163
3.0,3:55,2.0,14.0,ATL 22,6.0,28.0,Kirk Cousins pass complete short right to Ray-Ray McCloud for 7 yards (tackle by Cody Barton),-0.41,-0.16,11.0,2024,163
3.0,3:25,3.0,7.0,ATL 29,6.0,28.0,Kirk Cousins sacked by Jonah Elliss for -7 yards,-0.16,-1.9,11.0,2024,163
3.0,2:51,4.0,14.0,ATL 22,6.0,28.0,Bradley Pinion punts 46 yards out of bounds,-1.9,-1.07,11.0,2024,163
3.0,2:45,1.0,10.0,DEN 32,6.0,28.0,Jaleel McLaughlin left tackle for 4 yards (tackle by David Onyemata),1.07,1.07,11.0,2024,163
3.0,2:13,2.0,6.0,DEN 36,6.0,28.0,Bo Nix pass complete deep right to Courtland Sutton for 23 yards (tackle by AJ Terrell),1.07,2.85,11.0,2024,163
3.0,1:25,1.0,10.0,ATL 41,6.0,28.0,Audric Estime left guard for 5 yards (tackle by Kaden Elliss and David Onyemata),2.85,2.98,11.0,2024,163
3.0,0:53,2.0,5.0,ATL 36,6.0,28.0,Marvin Mims right end for 6 yards (tackle by Clark Phillips),2.98,3.58,11.0,2024,163
4.0,15:00,1.0,10.0,ATL 30,6.0,28.0,Bo Nix pass complete short left to Javonte Williams for 4 yards (tackle by Nathan Landman),3.58,3.57,11.0,2024,163
4.0,14:18,2.0,6.0,ATL 26,6.0,28.0,Audric Estime up the middle for -2 yards (tackle by Justin Simmons and Zach Harrison),3.57,2.61,11.0,2024,163
4.0,14:00,3.0,8.0,ATL 28,6.0,28.0,Bo Nix pass complete short right to Lil'Jordan Humphrey for 1 yard (tackle by Matt Judon),2.61,1.67,11.0,2024,163
4.0,13:12,4.0,7.0,ATL 27,6.0,31.0,Wil Lutz 45 yard field goal good,1.67,3.0,11.0,2024,163
4.0,13:08,,,DEN 35,6.0,31.0,"Wil Lutz kicks off 65 yards, touchback.",0.0,0.94,11.0,2024,163
4.0,13:08,1.0,10.0,ATL 30,6.0,31.0,"Penalty on Jake Matthews: False Start, 5 yards (accepted) (no play)",0.94,0.61,11.0,2024,163
4.0,13:08,1.0,15.0,ATL 25,6.0,31.0,Kirk Cousins pass complete short right to Ray-Ray McCloud for 5 yards (tackle by Ja'Quan McMillian),0.61,0.39,11.0,2024,163
4.0,12:39,2.0,10.0,ATL 30,6.0,31.0,Kirk Cousins pass complete short left to Bijan Robinson for -1 yards (tackle by Zach Allen),0.39,-0.43,11.0,2024,163
4.0,12:04,3.0,11.0,ATL 29,6.0,31.0,Kirk Cousins sacked by Nik Bonitto for -7 yards,-0.43,-1.9,11.0,2024,163
4.0,11:27,4.0,18.0,ATL 22,6.0,31.0,"Bradley Pinion punts 51 yards, returned by Marvin Mims for 14 yards (tackle by Lorenzo Carter and DeAngelo Malone)",-1.9,-1.66,11.0,2024,163
4.0,11:15,1.0,10.0,DEN 41,6.0,31.0,Javonte Williams up the middle for 6 yards (tackle by Jessie Bates),1.66,1.93,11.0,2024,163
4.0,10:41,2.0,4.0,DEN 47,6.0,31.0,Jaleel McLaughlin left guard for 8 yards (tackle by Lorenzo Carter),1.93,2.59,11.0,2024,163
4.0,9:59,1.0,10.0,ATL 45,6.0,31.0,Jaleel McLaughlin right end for 4 yards (tackle by Lorenzo Carter and Clark Phillips),2.59,2.58,11.0,2024,163
4.0,9:12,2.0,6.0,ATL 41,6.0,37.0,"Bo Nix pass complete short left to Lil'Jordan Humphrey for 41 yards, touchdown",2.58,7.0,11.0,2024,163
4.0,9:03,,,ATL 15,6.0,38.0,Wil Lutz kicks extra point good,0.0,0.0,11.0,2024,163
4.0,9:03,,,DEN 35,6.0,38.0,"Wil Lutz kicks off 65 yards, touchback.",0.0,0.94,11.0,2024,163
4.0,9:03,,,,,,Timeout #2 by Denver Broncos,,,11.0,2024,163
4.0,9:03,1.0,10.0,ATL 30,6.0,38.0,Michael Penix pass complete deep middle to Ray-Ray McCloud for 20 yards (tackle by Riley Moss),0.94,2.26,11.0,2024,163
4.0,8:42,1.0,10.0,DEN 50,6.0,38.0,Michael Penix pass incomplete deep left intended for Casey Washington,2.26,1.71,11.0,2024,163
4.0,8:29,2.0,10.0,DEN 50,6.0,38.0,Jase McClellan right tackle for 8 yards (tackle by Zach Cunningham and Ja'Quan McMillian),1.71,2.08,11.0,2024,163
4.0,8:03,3.0,2.0,DEN 42,6.0,38.0,Jase McClellan right tackle for no gain (tackle by Riley Moss),2.08,0.46,11.0,2024,163
4.0,7:21,4.0,2.0,DEN 42,6.0,38.0,Michael Penix pass complete short right to KhaDarel Hodge for 4 yards (tackle by Riley Moss and Zach Cunningham),0.46,3.05,11.0,2024,163
4.0,6:43,1.0,10.0,DEN 38,6.0,38.0,Michael Penix sacked by Nik Bonitto for no gain,3.05,2.51,11.0,2024,163
4.0,5:56,2.0,10.0,DEN 38,6.0,38.0,Jase McClellan right end for -8 yards (tackle by John Franklin-Myers),2.51,0.76,11.0,2024,163
4.0,5:19,3.0,18.0,DEN 46,6.0,38.0,"Michael Penix pass incomplete short left. Penalty on Matthew Bergeron: Ineligible Downfield Pass, 5 yards (declined)",0.76,0.2,11.0,2024,163
4.0,5:03,4.0,18.0,DEN 46,6.0,38.0,Bradley Pinion punts 42 yards downed by Liam McCullough,0.2,0.38,11.0,2024,163
4.0,4:53,1.0,10.0,DEN 4,6.0,38.0,Audric Estime left guard for 5 yards (tackle by Brandon Dorlus and AJ Terrell),-0.38,-0.42,11.0,2024,163
4.0,4:21,2.0,5.0,DEN 9,6.0,38.0,Audric Estime right end for 4 yards (tackle by AJ Terrell),-0.42,-0.37,11.0,2024,163
4.0,4:06,3.0,1.0,DEN 13,6.0,38.0,Michael Burton up the middle for no gain (tackle by Khalid Kareem and Brandon Dorlus),-0.37,-2.49,11.0,2024,163
4.0,3:16,4.0,1.0,DEN 13,6.0,38.0,"Riley Dixon punts 47 yards, returned by Avery Williams for 10 yards (tackle by Devon Key)",-2.49,-2.26,11.0,2024,163
4.0,3:03,1.0,10.0,DEN 50,6.0,38.0,Jase McClellan left tackle for 3 yards (tackle by Zach Cunningham),2.26,2.12,11.0,2024,163
4.0,2:29,2.0,7.0,DEN 47,6.0,38.0,Jase McClellan right end for 6 yards (tackle by JL Skinner and Dondrea Tillman),2.12,2.21,11.0,2024,163
4.0,2:00,3.0,1.0,DEN 41,6.0,38.0,Jase McClellan left guard for 3 yards (tackle by Levelle Bailey and Keidron Smith),2.21,3.05,11.0,2024,163
4.0,1:27,1.0,10.0,DEN 38,6.0,38.0,Jase McClellan up the middle for 4 yards (tackle by Levelle Bailey),3.05,3.05,11.0,2024,163
4.0,0:45,2.0,6.0,DEN 34,6.0,38.0,Jase McClellan right guard for -1 yards (tackle by Malcolm Roach and Levi Wallace),3.05,2.21,11.0,2024,163
