Quarter,Time,Down,ToGo,Location,CIN,LAC,Detail,EPB,EPA,week,year,game_id
1.0,8:09,3.0,1.0,LAC 4,0.0,0.0,Chase Brown up the middle for 1 yard (tackle by Derwin James and Denzel Perryman),5.01,6.51,11.0,2024,165
1.0,7:40,1.0,3.0,LAC 3,0.0,0.0,Joe Burrow pass incomplete short right intended for Ja'Marr Chase (defended by Cam Hart),6.51,5.53,11.0,2024,165
1.0,7:30,2.0,3.0,LAC 3,0.0,0.0,"Joe Burrow pass incomplete short left intended for Andrei Iosivas. Penalty on Tanner Hudson: Illegal Shift, 5 yards (accepted) (no play)",5.53,4.57,11.0,2024,165
1.0,7:24,2.0,8.0,LAC 8,0.0,0.0,"Joe Burrow pass incomplete short middle. Penalty on Joe Burrow: Intentional Grounding, 10 yards (accepted)",4.57,2.63,11.0,2024,165
1.0,7:15,3.0,18.0,LAC 18,0.0,0.0,Joe Burrow pass complete short middle to Ja'Marr Chase for 10 yards (tackle by Derwin James and Elijah Molden),2.63,2.95,11.0,2024,165
1.0,6:31,4.0,8.0,LAC 8,3.0,0.0,Evan McPherson 26 yard field goal good,2.95,3.0,11.0,2024,165
1.0,6:27,,,CIN 35,3.0,0.0,"Evan McPherson kicks off 65 yards, touchback.",0.0,0.94,11.0,2024,165
1.0,6:27,1.0,10.0,LAC 30,3.0,0.0,Justin Herbert sacked by and Cam Taylor-Britt for -5 yards and Trey Hendrickson for -5 yards,0.94,-0.28,11.0,2024,165
1.0,5:48,2.0,15.0,LAC 25,3.0,0.0,Justin Herbert scrambles up the middle for 20 yards (tackle by Geno Stone),-0.28,1.93,11.0,2024,165
1.0,5:00,1.0,10.0,LAC 45,3.0,0.0,Justin Herbert pass complete short left to Tucker Fisk for 6 yards (tackle by Logan Wilson),1.93,2.19,11.0,2024,165
1.0,4:19,2.0,4.0,CIN 49,3.0,0.0,"Justin Herbert pass complete deep right to Ladd McConkey for 20 yards (tackle by Geno Stone). Penalty on Cam Taylor-Britt: Defensive Holding, 5 yards (declined)",2.19,3.64,11.0,2024,165
1.0,3:39,1.0,10.0,CIN 29,3.0,6.0,"Justin Herbert pass complete deep right to Will Dissly for 29 yards, touchdown",3.64,7.0,11.0,2024,165
1.0,3:34,,,CIN 15,3.0,7.0,Cameron Dicker kicks extra point good,0.0,0.0,11.0,2024,165
1.0,3:34,,,LAC 35,3.0,7.0,"Cameron Dicker kicks off 60 yards, returned by Khalil Herbert for 29 yards (tackle by Nick Niemann and Caleb Murphy)",0.0,1.2,11.0,2024,165
1.0,3:28,1.0,10.0,CIN 34,3.0,7.0,Chase Brown right guard for 2 yards (tackle by Scott Matlock and Denzel Perryman),1.2,0.93,11.0,2024,165
1.0,2:53,2.0,8.0,CIN 36,3.0,7.0,Joe Burrow pass complete short middle to Tee Higgins for 20 yards (tackle by Ja'Sir Taylor and Alohi Gilman),0.93,2.65,11.0,2024,165
1.0,2:13,1.0,10.0,LAC 44,3.0,7.0,Joe Burrow sacked by and Tuli Tuipulotu for -4 yards and Derwin James for -4 yards,2.65,1.57,11.0,2024,165
1.0,1:33,2.0,14.0,LAC 48,3.0,7.0,Joe Burrow pass complete short right to Tanner Hudson for 4 yards (tackle by Derwin James),1.57,1.42,11.0,2024,165
1.0,0:52,3.0,10.0,LAC 44,3.0,7.0,Joe Burrow pass complete short right to Tanner Hudson for 9 yards (tackle by Cam Hart and Alohi Gilman),1.42,1.0,11.0,2024,165
1.0,0:03,,,,,,Timeout #1 by Cincinnati Bengals,,,11.0,2024,165
1.0,0:03,,,,,,Timeout #2 by Los Angeles Chargers,,,11.0,2024,165
1.0,0:03,4.0,1.0,LAC 35,3.0,7.0,"Joe Burrow pass complete short left to Tee Higgins for no gain. Tee Higgins fumbles (forced by Denzel Perryman), recovered by Alohi Gilman at LAC-26, touchdown Replay Assistant challenged the runner was down by contact ruling, and the original play was overturned. Joe Burrow pass complete short left to Tee Higgins for 8 yards (tackle by Tarheeb Still)",1.0,3.78,11.0,2024,165
2.0,15:00,1.0,10.0,LAC 27,3.0,7.0,Chase Brown right tackle for 2 yards (tackle by Bud Dupree and Daiyan Henley),3.78,3.5,11.0,2024,165
2.0,14:25,2.0,8.0,LAC 25,3.0,7.0,"Joe Burrow pass incomplete short middle intended for Trenton Irwin. Penalty on Kristian Fulton: Defensive Pass Interference, 8 yards (accepted) (no play)",3.5,4.44,11.0,2024,165
2.0,14:16,1.0,10.0,LAC 17,3.0,7.0,Chase Brown right tackle for 2 yards (tackle by Daiyan Henley and Teair Tart),4.44,4.15,11.0,2024,165
2.0,13:36,2.0,8.0,LAC 15,3.0,7.0,Joe Burrow pass complete short right to Tee Higgins for 6 yards (tackle by Cam Hart),4.15,4.57,11.0,2024,165
2.0,13:00,3.0,2.0,LAC 9,3.0,7.0,Joe Burrow pass incomplete short middle intended for Jermaine Burton,4.57,2.95,11.0,2024,165
2.0,12:57,4.0,2.0,LAC 9,6.0,7.0,Evan McPherson 27 yard field goal good,2.95,3.0,11.0,2024,165
2.0,12:54,,,CIN 35,6.0,7.0,"Evan McPherson kicks off 68 yards, returned by Derius Davis for 32 yards (tackle by Josh Newton)",0.0,0.87,11.0,2024,165
2.0,12:49,1.0,10.0,LAC 29,6.0,7.0,Justin Herbert pass complete deep left to Quentin Johnston for 22 yards (tackle by DJ Turner),0.87,2.32,11.0,2024,165
2.0,12:20,1.0,10.0,CIN 49,6.0,7.0,Justin Herbert pass complete short left to Will Dissly for 20 yards (tackle by Germaine Pratt),2.32,3.64,11.0,2024,165
2.0,11:44,1.0,10.0,CIN 29,6.0,7.0,J.K. Dobbins left guard for 3 yards (tackle by Vonn Bell),3.64,3.51,11.0,2024,165
2.0,11:09,2.0,7.0,CIN 26,6.0,13.0,"Justin Herbert pass complete deep left to Quentin Johnston for 26 yards, touchdown",3.51,7.0,11.0,2024,165
2.0,11:02,,,CIN 15,6.0,14.0,Cameron Dicker kicks extra point good,0.0,0.0,11.0,2024,165
2.0,11:02,,,LAC 35,6.0,14.0,"Cameron Dicker kicks off 65 yards, touchback.",0.0,0.94,11.0,2024,165
2.0,11:02,1.0,10.0,CIN 30,6.0,14.0,Joe Burrow pass incomplete deep right intended for Mike Gesicki,0.94,0.39,11.0,2024,165
2.0,10:57,2.0,10.0,CIN 30,6.0,14.0,Joe Burrow pass complete short right to Andrei Iosivas for 6 yards (tackle by Tarheeb Still and Daiyan Henley),0.39,0.5,11.0,2024,165
2.0,10:17,3.0,4.0,CIN 36,6.0,14.0,Joe Burrow sacked by Tuli Tuipulotu for -3 yards,0.5,-1.18,11.0,2024,165
2.0,9:39,4.0,7.0,CIN 33,6.0,14.0,Ryan Rehkow punts 33 yards downed by Trayveon Williams,-1.18,-1.2,11.0,2024,165
2.0,9:28,1.0,10.0,LAC 34,6.0,14.0,Gus Edwards left tackle for 5 yards (tackle by Germaine Pratt and Jordan Battle),1.2,1.33,11.0,2024,165
2.0,8:52,2.0,5.0,LAC 39,6.0,14.0,Justin Herbert scrambles up the middle for 30 yards (tackle by Jordan Battle),1.33,3.51,11.0,2024,165
2.0,8:18,1.0,10.0,CIN 31,6.0,14.0,Justin Herbert pass complete short right to Derius Davis for 14 yards (tackle by Logan Wilson),3.51,4.44,11.0,2024,165
2.0,7:39,1.0,10.0,CIN 17,6.0,14.0,Gus Edwards up the middle for 9 yards (tackle by Geno Stone),4.44,5.48,11.0,2024,165
2.0,6:57,2.0,1.0,CIN 8,6.0,14.0,Gus Edwards up the middle for 4 yards (tackle by Mike Hilton and Logan Wilson),5.48,6.28,11.0,2024,165
2.0,6:10,1.0,4.0,CIN 4,6.0,14.0,"Justin Herbert pass incomplete short left intended for Josh Palmer. Penalty on B.J. Hill: Unnecessary Roughness / Defense, 2 yards (accepted) (no play)",6.28,6.74,11.0,2024,165
2.0,6:04,1.0,2.0,CIN 2,6.0,14.0,Justin Herbert pass incomplete short middle intended for Tucker Fisk,6.74,5.72,11.0,2024,165
2.0,5:59,2.0,2.0,CIN 2,6.0,14.0,Hassan Haskins right guard for 1 yard (tackle by Jay Tufele and Germaine Pratt),5.72,5.17,11.0,2024,165
2.0,5:21,3.0,1.0,CIN 1,6.0,14.0,Hassan Haskins right tackle for no gain (tackle by Akeem Davis-Gaither),5.17,3.55,11.0,2024,165
2.0,4:38,,,,,,Timeout #3 by Los Angeles Chargers,,,11.0,2024,165
2.0,4:38,4.0,1.0,CIN 1,6.0,20.0,"J.K. Dobbins right guard for 1 yard, touchdown",3.55,7.0,11.0,2024,165
2.0,4:35,,,CIN 15,6.0,21.0,Cameron Dicker kicks extra point good,0.0,0.0,11.0,2024,165
2.0,4:35,,,LAC 35,6.0,21.0,"Cameron Dicker kicks off 65 yards, touchback.",0.0,0.94,11.0,2024,165
2.0,4:35,1.0,10.0,CIN 30,6.0,21.0,Chase Brown up the middle for 5 yards (tackle by Otito Ogbonnia),0.94,1.07,11.0,2024,165
2.0,4:09,2.0,5.0,CIN 35,6.0,21.0,Joe Burrow pass complete short left to Ja'Marr Chase for 2 yards (tackle by Denzel Perryman),1.07,0.63,11.0,2024,165
2.0,3:25,3.0,3.0,CIN 37,6.0,21.0,Joe Burrow sacked by Poona Ford for -7 yards,0.63,-1.37,11.0,2024,165
2.0,2:44,4.0,10.0,CIN 30,6.0,21.0,"Ryan Rehkow punts 52 yards, returned by Derius Davis for 3 yards (tackle by Tycen Anderson)",-1.37,-0.34,11.0,2024,165
2.0,2:33,1.0,10.0,LAC 21,6.0,21.0,J.K. Dobbins left guard for 3 yards (tackle by Trey Hendrickson),0.34,0.21,11.0,2024,165
2.0,2:01,2.0,7.0,LAC 24,6.0,21.0,Justin Herbert pass complete short right to Ladd McConkey for 11 yards (tackle by Geno Stone),0.21,1.27,11.0,2024,165
2.0,1:56,1.0,10.0,LAC 35,6.0,21.0,Justin Herbert pass complete short right to Josh Palmer for 11 yards (tackle by Josh Newton),1.27,1.99,11.0,2024,165
2.0,1:51,1.0,10.0,LAC 46,6.0,21.0,Justin Herbert pass incomplete short right,1.99,1.45,11.0,2024,165
2.0,1:46,2.0,10.0,LAC 46,6.0,21.0,J.K. Dobbins right guard for 2 yards (tackle by Germaine Pratt),1.45,1.03,11.0,2024,165
2.0,1:04,3.0,8.0,LAC 48,6.0,21.0,Justin Herbert scrambles left end for 9 yards (tackle by Geno Stone),1.03,2.72,11.0,2024,165
2.0,0:57,1.0,10.0,CIN 43,6.0,21.0,Justin Herbert right guard for -1 yards (tackle by Mike Hilton and Joseph Ossai),2.72,2.04,11.0,2024,165
2.0,0:33,2.0,11.0,CIN 44,6.0,21.0,"Justin Herbert pass incomplete short left intended for Ladd McConkey. Penalty on Trey Hendrickson: Roughing the Passer, 15 yards (accepted) (no play)",2.04,3.64,11.0,2024,165
2.0,0:28,1.0,10.0,CIN 29,6.0,21.0,Justin Herbert pass complete deep right to Will Dissly for 24 yards (tackle by Josh Newton and Geno Stone),3.64,6.06,11.0,2024,165
2.0,0:14,1.0,5.0,CIN 5,6.0,21.0,Justin Herbert spiked the ball,6.06,5.15,11.0,2024,165
2.0,0:13,2.0,5.0,CIN 5,6.0,21.0,Justin Herbert pass incomplete short right,5.15,4.26,11.0,2024,165
2.0,0:08,3.0,5.0,CIN 5,6.0,21.0,"Justin Herbert pass incomplete short right intended for Josh Palmer. Penalty on Josh Newton: Defensive Pass Interference, 4 yards (accepted) (no play)",4.26,6.97,11.0,2024,165
2.0,0:04,1.0,1.0,CIN 1,6.0,24.0,Cameron Dicker 19 yard field goal good,6.97,3.0,11.0,2024,165
3.0,15:00,,,CIN 35,6.0,24.0,"Evan McPherson kicks off 65 yards, touchback.",0.0,0.94,11.0,2024,165
3.0,15:00,1.0,10.0,LAC 30,6.0,24.0,Justin Herbert pass complete short right to J.K. Dobbins for 3 yards (tackle by Germaine Pratt),0.94,0.8,11.0,2024,165
3.0,14:23,2.0,7.0,LAC 33,6.0,24.0,Justin Herbert pass incomplete short left intended for Will Dissly (defended by Trey Hendrickson),0.8,0.1,11.0,2024,165
3.0,14:18,3.0,7.0,LAC 33,6.0,24.0,Justin Herbert pass incomplete deep right intended for Quentin Johnston (defended by Josh Newton),0.1,-1.18,11.0,2024,165
3.0,14:14,4.0,7.0,LAC 33,6.0,24.0,"JK Scott punts 58 yards, returned by Trenton Irwin for 17 yards (tackle by Shaquille Quarterman)",-1.18,-0.67,11.0,2024,165
3.0,14:01,1.0,10.0,CIN 26,6.0,24.0,Joe Burrow pass incomplete short left intended for Ja'Marr Chase,0.67,0.13,11.0,2024,165
3.0,13:57,2.0,10.0,CIN 26,6.0,24.0,Joe Burrow pass incomplete short left,0.13,-0.56,11.0,2024,165
3.0,13:54,3.0,10.0,CIN 26,6.0,24.0,Joe Burrow pass incomplete short left intended for Mike Gesicki,-0.56,-1.63,11.0,2024,165
3.0,13:49,4.0,10.0,CIN 26,6.0,24.0,"Ryan Rehkow punts, returned by Derius Davis for no gain. Penalty on Akeem Davis-Gaither: Ineligible Downfield Kick, 5 yards (accepted) (no play)",-1.63,-1.96,11.0,2024,165
3.0,13:36,4.0,15.0,CIN 21,6.0,24.0,"Ryan Rehkow punts 63 yards, returned by Derius Davis for 25 yards (tackle by Tanner Hudson)",-1.96,-1.66,11.0,2024,165
3.0,13:23,1.0,10.0,LAC 41,6.0,24.0,Gus Edwards right tackle for 1 yard (tackle by B.J. Hill and Joseph Ossai),1.66,1.26,11.0,2024,165
3.0,12:47,2.0,9.0,LAC 42,6.0,24.0,Justin Herbert pass incomplete short middle intended for Quentin Johnston,1.26,0.56,11.0,2024,165
3.0,12:43,3.0,9.0,LAC 42,6.0,24.0,Justin Herbert pass complete short middle to Ladd McConkey for 19 yards (tackle by Logan Wilson),0.56,2.98,11.0,2024,165
3.0,12:06,1.0,10.0,CIN 39,6.0,24.0,J.K. Dobbins up the middle for -3 yards (tackle by Mike Hilton and Germaine Pratt),2.98,2.04,11.0,2024,165
3.0,11:24,2.0,13.0,CIN 42,6.0,24.0,Justin Herbert pass complete short right to Will Dissly for 7 yards (tackle by Geno Stone),2.04,2.28,11.0,2024,165
3.0,10:40,3.0,6.0,CIN 35,6.0,24.0,Justin Herbert pass incomplete deep left intended for Quentin Johnston (defended by DJ Turner),2.28,0.97,11.0,2024,165
3.0,10:34,4.0,6.0,CIN 35,6.0,27.0,Cameron Dicker 53 yard field goal good,0.97,3.0,11.0,2024,165
3.0,10:29,,,LAC 35,6.0,27.0,"Cameron Dicker kicks off 65 yards, touchback.",0.0,0.94,11.0,2024,165
3.0,10:29,1.0,10.0,CIN 30,6.0,27.0,Chase Brown right tackle for 4 yards (tackle by Derwin James),0.94,0.93,11.0,2024,165
3.0,9:51,2.0,6.0,CIN 34,6.0,27.0,Joe Burrow pass incomplete deep right intended for Jermaine Burton,0.93,0.23,11.0,2024,165
3.0,9:45,3.0,6.0,CIN 34,6.0,27.0,"Joe Burrow pass complete short left to Tee Higgins for 23 yards (tackle by Kristian Fulton). Penalty on Kristian Fulton: Illegal Contact, 5 yards (declined)",0.23,2.72,11.0,2024,165
3.0,9:35,1.0,10.0,LAC 43,6.0,27.0,Chase Brown up the middle for 27 yards (tackle by Alohi Gilman),2.72,4.51,11.0,2024,165
3.0,8:59,1.0,10.0,LAC 16,6.0,27.0,Joe Burrow pass incomplete deep middle intended for Tee Higgins (defended by Kristian Fulton),4.51,3.9,11.0,2024,165
3.0,8:54,2.0,10.0,LAC 16,6.0,27.0,Joe Burrow pass complete short left to Tee Higgins for 9 yards (tackle by Cam Hart),3.9,4.85,11.0,2024,165
3.0,8:16,3.0,1.0,LAC 7,6.0,27.0,Chase Brown up the middle for 2 yards (tackle by Daiyan Henley),4.85,6.06,11.0,2024,165
3.0,7:37,1.0,5.0,LAC 5,6.0,27.0,"Joe Burrow pass incomplete short left intended for Tee Higgins (defended by Cam Hart). Penalty on Cam Hart: Defensive Holding, 3 yards (accepted) (no play)",6.06,6.74,11.0,2024,165
3.0,7:34,1.0,2.0,LAC 2,6.0,27.0,Chase Brown up the middle for -3 yards (tackle by Teair Tart),6.74,5.15,11.0,2024,165
3.0,6:52,2.0,5.0,LAC 5,6.0,27.0,Drew Sample left end for -4 yards (tackle by Alohi Gilman),5.15,3.36,11.0,2024,165
3.0,6:08,3.0,9.0,LAC 9,6.0,27.0,Joe Burrow pass complete short left to Chase Brown for 5 yards (tackle by Cam Hart),3.36,3.03,11.0,2024,165
3.0,5:31,4.0,4.0,LAC 4,12.0,27.0,"Joe Burrow pass complete short middle to Ja'Marr Chase for 4 yards, touchdown",3.03,7.0,11.0,2024,165
3.0,5:27,,,LAC 15,13.0,27.0,Evan McPherson kicks extra point good,0.0,0.0,11.0,2024,165
3.0,5:27,,,CIN 35,13.0,27.0,"Evan McPherson kicks off 65 yards, touchback.",0.0,0.94,11.0,2024,165
3.0,5:27,1.0,10.0,LAC 30,13.0,27.0,Justin Herbert pass incomplete short left intended for Quentin Johnston (defended by DJ Turner),0.94,0.39,11.0,2024,165
3.0,5:22,2.0,10.0,LAC 30,13.0,27.0,Justin Herbert pass incomplete short middle intended for Josh Palmer (defended by Jay Tufele),0.39,-0.3,11.0,2024,165
3.0,5:19,3.0,10.0,LAC 30,13.0,27.0,Justin Herbert sacked by Joseph Ossai for -12 yards,-0.3,-2.24,11.0,2024,165
3.0,4:35,4.0,22.0,LAC 18,13.0,27.0,JK Scott punts 32 yards out of bounds,-2.24,-2.26,11.0,2024,165
3.0,4:27,1.0,10.0,LAC 50,13.0,27.0,Joe Burrow pass complete short right to Chase Brown for 3 yards (tackle by Daiyan Henley),2.26,2.12,11.0,2024,165
3.0,3:48,2.0,7.0,LAC 47,13.0,27.0,Chase Brown left guard for 5 yards (tackle by Derwin James),2.12,2.08,11.0,2024,165
3.0,3:07,3.0,2.0,LAC 42,13.0,27.0,Joe Burrow pass incomplete short left intended for Jermaine Burton (defended by Eli Apple),2.08,0.46,11.0,2024,165
3.0,2:59,,,,,,Timeout #1 by Cincinnati Bengals,,,11.0,2024,165
3.0,2:59,4.0,2.0,LAC 42,19.0,27.0,"Joe Burrow pass complete deep middle to Tee Higgins for 42 yards, touchdown",0.46,7.0,11.0,2024,165
3.0,2:53,,,LAC 15,20.0,27.0,Evan McPherson kicks extra point good,0.0,0.0,11.0,2024,165
3.0,2:53,,,CIN 35,20.0,27.0,"Evan McPherson kicks off 65 yards, touchback.",0.0,0.94,11.0,2024,165
3.0,2:53,1.0,10.0,LAC 30,20.0,27.0,J.K. Dobbins left tackle for no gain (tackle by Myles Murphy and Logan Wilson),0.94,0.39,11.0,2024,165
3.0,2:15,2.0,10.0,LAC 30,20.0,27.0,Derius Davis right end for 6 yards (tackle by Germaine Pratt),0.39,0.5,11.0,2024,165
3.0,1:36,3.0,4.0,LAC 36,20.0,27.0,Justin Herbert pass complete short right to Ladd McConkey for 18 yards (tackle by Geno Stone),0.5,2.52,11.0,2024,165
3.0,0:56,1.0,10.0,CIN 46,20.0,27.0,Justin Herbert pass incomplete deep left intended for Quentin Johnston (defended by DJ Turner),2.52,1.98,11.0,2024,165
3.0,0:49,2.0,10.0,CIN 46,20.0,27.0,J.K. Dobbins left tackle for 15 yards (tackle by Logan Wilson),1.98,3.51,11.0,2024,165
4.0,15:00,1.0,10.0,CIN 31,20.0,27.0,"Justin Herbert scrambles right end for 7 yards. Justin Herbert fumbles (tackle by Mike Hilton), recovered by Geno Stone at CIN-23 and returned for 6 yards (tackle by Ladd McConkey)",3.51,-0.87,11.0,2024,165
4.0,14:50,1.0,10.0,CIN 29,20.0,27.0,"Joe Burrow pass complete deep right to Chase Brown for 34 yards (tackle by Elijah Molden). Penalty on Kristian Fulton: Illegal Use of Hands / Defense, 5 yards (declined)",0.87,3.12,11.0,2024,165
4.0,14:16,1.0,10.0,LAC 37,20.0,27.0,"Chase Brown up the middle for 2 yards (tackle by Alohi Gilman). Penalty on Cordell Volson: Offensive Holding, 10 yards (accepted)",3.12,2.59,11.0,2024,165
4.0,14:16,1.0,18.0,LAC 45,20.0,27.0,Joe Burrow pass complete short left to Ja'Marr Chase for 5 yards (tackle by Troy Dye),2.59,2.17,11.0,2024,165
4.0,13:41,2.0,13.0,LAC 40,20.0,27.0,Joe Burrow pass complete short left to Drew Sample for 9 yards (tackle by Derwin James),2.17,2.68,11.0,2024,165
4.0,13:00,3.0,4.0,LAC 31,20.0,27.0,"Joe Burrow pass complete short left to Chase Brown for 14 yards (tackle by Daiyan Henley) Penalty on LAC: Defensive Too Many Men on Field, 5 yards (declined)",2.68,4.44,11.0,2024,165
4.0,12:33,1.0,10.0,LAC 17,20.0,27.0,Joe Burrow pass incomplete short left intended for Chase Brown (defended by Daiyan Henley),4.44,3.85,11.0,2024,165
4.0,12:28,2.0,10.0,LAC 17,26.0,27.0,"Joe Burrow pass complete deep left to Ja'Marr Chase for 17 yards, touchdown",3.85,7.0,11.0,2024,165
4.0,12:21,,,LAC 15,27.0,27.0,Evan McPherson kicks extra point good,0.0,0.0,11.0,2024,165
4.0,12:21,,,CIN 35,27.0,27.0,"Evan McPherson kicks off 65 yards, touchback.",0.0,0.94,11.0,2024,165
4.0,12:21,1.0,10.0,LAC 30,27.0,27.0,Justin Herbert pass complete short right to Josh Palmer for 12 yards (tackle by Josh Newton),0.94,1.73,11.0,2024,165
4.0,12:09,1.0,10.0,LAC 42,27.0,27.0,Justin Herbert pass incomplete deep left intended for Jalen Reagor,1.73,1.19,11.0,2024,165
4.0,12:00,2.0,10.0,LAC 42,27.0,27.0,Justin Herbert pass incomplete short left intended for Derius Davis (defended by Trey Hendrickson),1.19,0.5,11.0,2024,165
4.0,11:56,3.0,10.0,LAC 42,27.0,27.0,"Penalty on Trey Hendrickson: Neutral Zone Infraction, 5 yards (accepted) (no play)",0.5,1.16,11.0,2024,165
4.0,11:56,3.0,5.0,LAC 47,27.0,27.0,Justin Herbert pass incomplete short right intended for Quentin Johnston,1.16,-0.26,11.0,2024,165
4.0,11:52,4.0,5.0,LAC 47,27.0,27.0,"JK Scott punts 39 yards, fair catch by Trenton Irwin at CIN-14",-0.26,0.28,11.0,2024,165
4.0,11:46,1.0,10.0,CIN 14,27.0,27.0,Chase Brown left end for 3 yards (tackle by Kristian Fulton),-0.28,-0.37,11.0,2024,165
4.0,11:03,2.0,7.0,CIN 17,27.0,27.0,Joe Burrow pass complete short right to Tee Higgins for 10 yards (tackle by Tarheeb Still),-0.37,0.74,11.0,2024,165
4.0,10:38,1.0,10.0,CIN 27,27.0,27.0,Chase Brown up the middle for 9 yards (tackle by Tuli Tuipulotu and Elijah Molden),0.74,1.41,11.0,2024,165
4.0,9:58,2.0,1.0,CIN 36,27.0,27.0,"Joe Burrow pass deep right is intercepted by Alohi Gilman at LAC-32 and returned for no gain (tackle by Andrei Iosivas). Penalty on Otito Ogbonnia: Roughing the Passer, 15 yards (accepted) (no play)",1.41,2.32,11.0,2024,165
4.0,9:46,1.0,10.0,LAC 49,27.0,27.0,Chase Brown left end for 1 yard (tackle by Tarheeb Still),2.32,1.92,11.0,2024,165
4.0,9:10,2.0,9.0,LAC 48,27.0,27.0,Joe Burrow pass incomplete short left,1.92,1.22,11.0,2024,165
4.0,9:04,3.0,9.0,LAC 48,27.0,27.0,Joe Burrow scrambles up the middle for 14 yards (tackle by Tarheeb Still),1.22,3.31,11.0,2024,165
4.0,8:14,1.0,10.0,LAC 34,27.0,27.0,Chase Brown up the middle for 4 yards (tackle by Troy Dye and Daiyan Henley),3.31,3.31,11.0,2024,165
4.0,7:47,2.0,6.0,LAC 30,27.0,27.0,Joe Burrow pass incomplete short right intended for Drew Sample,3.31,2.61,11.0,2024,165
4.0,7:40,3.0,6.0,LAC 30,27.0,27.0,Joe Burrow pass incomplete deep right intended for Ja'Marr Chase (defended by Tarheeb Still),2.61,1.43,11.0,2024,165
4.0,7:35,4.0,6.0,LAC 30,27.0,27.0,Evan McPherson 48 yard field goal no good,1.43,-1.47,11.0,2024,165
4.0,7:31,1.0,10.0,LAC 38,27.0,27.0,J.K. Dobbins left tackle for 7 yards (tackle by B.J. Hill and Mike Hilton),1.47,1.87,11.0,2024,165
4.0,6:52,2.0,3.0,LAC 45,27.0,27.0,J.K. Dobbins left guard for -1 yards (tackle by Mike Hilton and Logan Wilson),1.87,1.02,11.0,2024,165
4.0,6:10,3.0,4.0,LAC 44,27.0,27.0,"Justin Herbert pass complete short right to Josh Palmer for no gain (tackle by Mike Hilton). Penalty on Rashawn Slater: Offensive Holding, 10 yards (accepted) (no play)",1.02,-0.29,11.0,2024,165
4.0,5:44,3.0,14.0,LAC 34,27.0,27.0,Justin Herbert pass incomplete deep right intended for Ladd McConkey,-0.29,-1.11,11.0,2024,165
4.0,5:36,4.0,14.0,LAC 34,27.0,27.0,"JK Scott punts 55 yards, returned by Trenton Irwin for 10 yards (tackle by Shaquille Quarterman)",-1.11,-0.34,11.0,2024,165
