Quarter,Time,Down,ToGo,Location,DET,NYG,Detail,EPB,EPA,week,year,game_id
1.0,4:22,3.0,7.0,DET 41,3.0,0.0,Daniel Jones pass complete short right to Matt Breida for 16 yards (tackle by DeShon Elliott),1.82,3.91,11.0,2022,153
1.0,3:42,1.0,10.0,DET 25,3.0,0.0,Daniel Jones pass complete short left to Wan'Dale Robinson for 18 yards (tackle by Will Harris),3.91,5.6,11.0,2022,153
1.0,3:17,1.0,7.0,DET 7,3.0,0.0,Saquon Barkley up the middle for 4 yards (tackle by Kerby Joseph and Aidan Hutchinson),5.6,5.53,11.0,2022,153
1.0,2:46,2.0,3.0,DET 3,3.0,6.0,"Daniel Jones right end for 3 yards, touchdown",5.53,7.0,11.0,2022,153
1.0,2:41,,,DET 15,3.0,6.0,Graham Gano kicks extra point blocked blocked by John Cominsky,0.0,-1.0,11.0,2022,153
1.0,2:41,,,NYG 35,3.0,6.0,"Graham Gano kicks off 62 yards, returned by Justin Jackson for 26 yards (tackle by Julian Love and Elerson Smith)",0.0,0.87,11.0,2022,153
1.0,2:33,1.0,10.0,DET 29,3.0,6.0,Jared Goff pass complete short left to Kalif Raymond for -3 yards (tackle by Nick McCloud),0.87,-0.08,11.0,2022,153
1.0,1:53,2.0,13.0,DET 26,3.0,6.0,Jamaal Williams left tackle for 1 yard (tackle by Dexter Lawrence),-0.08,-0.63,11.0,2022,153
1.0,1:20,3.0,12.0,DET 27,3.0,6.0,Jared Goff pass complete short right to Kalif Raymond for 15 yards (tackle by Jason Pinnock),-0.63,1.73,11.0,2022,153
1.0,0:43,1.0,10.0,DET 42,3.0,6.0,Jared Goff pass incomplete deep left intended for Kalif Raymond,1.73,1.19,11.0,2022,153
1.0,0:35,2.0,10.0,DET 42,3.0,6.0,Jamaal Williams right end for 1 yard (tackle by Dexter Lawrence),1.19,0.63,11.0,2022,153
2.0,15:00,3.0,9.0,DET 43,3.0,6.0,"Jared Goff scrambles up the middle for no gain (tackle by Darnay Holmes). Penalty on Penei Sewell: Offensive Holding, 10 yards (accepted) (no play)",0.63,-0.69,11.0,2022,153
2.0,14:28,3.0,19.0,DET 33,3.0,6.0,"Jared Goff pass incomplete short left intended for Amon-Ra St. Brown. Penalty on Jonah Jackson: Unnecessary Roughness / Offense, 15 yards (accepted)",-0.69,-2.24,11.0,2022,153
2.0,14:25,4.0,34.0,DET 18,3.0,6.0,"Jack Fox punts 57 yards, returned by Adoree' Jackson for 3 yards (tackle by C.J. Moore)",-2.24,-0.81,11.0,2022,153
2.0,14:13,1.0,10.0,NYG 28,3.0,6.0,Saquon Barkley left end for 2 yards (tackle by Aidan Hutchinson and Derrick Barnes),0.81,0.53,11.0,2022,153
2.0,13:45,2.0,8.0,NYG 30,3.0,6.0,Daniel Jones left end for 9 yards (tackle by Jeff Okudah),0.53,1.53,11.0,2022,153
2.0,13:18,1.0,10.0,NYG 39,3.0,6.0,Saquon Barkley right guard for 2 yards (tackle by Derrick Barnes),1.53,1.26,11.0,2022,153
2.0,12:44,2.0,8.0,NYG 41,3.0,6.0,"Daniel Jones pass complete short middle to Isaiah Hodgins for no gain (tackle by DeShon Elliott). Penalty on Lawrence Cager: Offensive Pass Interference, 10 yards (accepted) (no play)",1.26,-0.09,11.0,2022,153
2.0,12:14,2.0,18.0,NYG 31,3.0,6.0,Daniel Jones pass complete short middle to Kenny Golladay for 15 yards (tackle by Jerry Jacobs),-0.09,1.22,11.0,2022,153
2.0,11:41,3.0,3.0,NYG 46,3.0,6.0,Daniel Jones left end for 7 yards (tackle by Jerry Jacobs),1.22,2.46,11.0,2022,153
2.0,11:04,1.0,10.0,DET 47,3.0,6.0,Saquon Barkley right tackle for 4 yards (tackle by Derrick Barnes),2.46,2.45,11.0,2022,153
2.0,10:23,2.0,6.0,DET 43,3.0,6.0,Daniel Jones pass complete short left to Wan'Dale Robinson for 3 yards (tackle by Alex Anzalone),2.45,2.15,11.0,2022,153
2.0,9:44,3.0,3.0,DET 40,3.0,6.0,"Daniel Jones pass complete short right to Isaiah Hodgins for no gain (tackle by Mike Hughes). Penalty on Mark Glowinski: Ineligible Downfield Pass, 5 yards (accepted) (no play)",2.15,1.49,11.0,2022,153
2.0,9:17,3.0,8.0,DET 45,3.0,6.0,Daniel Jones pass incomplete deep right,1.49,0.27,11.0,2022,153
2.0,9:08,4.0,8.0,DET 45,3.0,6.0,"Jamie Gillan punts 37 yards, fair catch by Kalif Raymond at DET-8",0.27,0.38,11.0,2022,153
2.0,9:00,1.0,10.0,DET 8,3.0,6.0,Jamaal Williams right tackle for 2 yards (tackle by Jihad Ward),-0.38,-0.63,11.0,2022,153
2.0,8:25,2.0,8.0,DET 10,3.0,6.0,"Jared Goff pass complete short left to D'Andre Swift for 7 yards. D'Andre Swift fumbles (forced by Cordale Flott), recovered by D'Andre Swift at DET-17",-0.63,-0.37,11.0,2022,153
2.0,7:46,3.0,1.0,DET 17,3.0,6.0,D'Andre Swift right end for no gain (tackle by Darnay Holmes),-0.37,-2.32,11.0,2022,153
2.0,7:04,4.0,1.0,DET 17,3.0,6.0,"Jack Fox punts 63 yards, returned by Richie James for 7 yards (tackle by C.J. Moore)",-2.32,-0.74,11.0,2022,153
2.0,6:51,1.0,10.0,NYG 27,3.0,6.0,Saquon Barkley right guard for 4 yards (tackle by Alim McNeill and Malcolm Rodriguez),0.74,0.74,11.0,2022,153
2.0,6:17,2.0,6.0,NYG 31,3.0,6.0,Daniel Jones pass short middle intended for Darius Slayton is intercepted by Aidan Hutchinson at NYG-38 and returned for 20 yards (tackle by Andrew Thomas),0.74,-4.37,11.0,2022,153
2.0,6:09,1.0,10.0,NYG 18,3.0,6.0,Jared Goff pass complete short middle to Justin Jackson for 11 yards (tackle by Micah McFadden and Cordale Flott),4.37,5.6,11.0,2022,153
2.0,5:26,1.0,7.0,NYG 7,3.0,6.0,"Jared Goff pass incomplete short left intended for Jason Cabinda (defended by Micah McFadden). Penalty on Micah McFadden: Defensive Pass Interference, 2 yards (accepted) (no play)",5.6,6.06,11.0,2022,153
2.0,5:20,1.0,5.0,NYG 5,3.0,6.0,Jared Goff pass complete short right to Amon-Ra St. Brown for 1 yard (tackle by Dane Belton),6.06,5.34,11.0,2022,153
2.0,4:44,2.0,4.0,NYG 4,9.0,6.0,"Jamaal Williams left tackle for 4 yards, touchdown",5.34,7.0,11.0,2022,153
2.0,4:38,,,NYG 15,10.0,6.0,Michael Badgley kicks extra point good,0.0,0.0,11.0,2022,153
2.0,4:38,,,DET 35,10.0,6.0,"Jack Fox kicks off 65 yards, recovered by Gary Brightwell in end zone returned by Gary Brightwell for 12 yards (tackle by Derrick Barnes and Justin Jackson). Penalty on Nick McCloud: Offensive Illegal Block Above the Waist, 6 yards (accepted)",0.0,-0.38,11.0,2022,153
2.0,4:33,1.0,10.0,NYG 6,10.0,6.0,Daniel Jones pass complete short left to Wan'Dale Robinson for 19 yards (tackle by DeShon Elliott),-0.38,0.61,11.0,2022,153
2.0,4:06,1.0,10.0,NYG 25,10.0,6.0,"Daniel Jones pass incomplete deep left intended for Darius Slayton Penalty on NYG: Illegal Formation, 5 yards (declined)",0.61,0.06,11.0,2022,153
2.0,4:03,2.0,10.0,NYG 25,10.0,6.0,Daniel Jones pass complete short middle to Lawrence Cager for 13 yards (tackle by Derrick Barnes),0.06,1.47,11.0,2022,153
2.0,3:41,1.0,10.0,NYG 38,10.0,6.0,Wan'Dale Robinson left end for 4 yards (tackle by DeShon Elliott),1.47,1.46,11.0,2022,153
2.0,3:11,2.0,6.0,NYG 42,10.0,6.0,Daniel Jones scrambles right end for 1 yard (tackle by DeShon Elliott),1.46,0.89,11.0,2022,153
2.0,2:33,3.0,5.0,NYG 43,10.0,6.0,Daniel Jones pass incomplete short middle intended for Wan'Dale Robinson (defended by Jerry Jacobs),0.89,-0.52,11.0,2022,153
2.0,2:28,4.0,5.0,NYG 43,10.0,6.0,Jamie Gillan punts 25 yards downed by Cam Brown,-0.52,-1.07,11.0,2022,153
2.0,2:19,1.0,10.0,DET 32,10.0,6.0,Justin Jackson left end for 8 yards (tackle by Dexter Lawrence and Julian Love),1.07,1.61,11.0,2022,153
2.0,2:00,2.0,2.0,DET 40,10.0,6.0,Jared Goff pass complete deep left to Amon-Ra St. Brown for 32 yards (tackle by Jason Pinnock),1.61,3.71,11.0,2022,153
2.0,1:53,1.0,10.0,NYG 28,10.0,6.0,Jamaal Williams right end for 15 yards (tackle by Darnay Holmes),3.71,4.71,11.0,2022,153
2.0,1:25,1.0,10.0,NYG 13,10.0,6.0,"Jared Goff pass complete short left to Amon-Ra St. Brown for no gain (tackle by Jason Pinnock and Rodarius Williams). Penalty on Penei Sewell: Offensive Illegal Block Above the Waist, 10 yards (accepted) (no play)",4.71,4.04,11.0,2022,153
2.0,1:19,,,,,,Timeout #1 by New York Giants,,,11.0,2022,153
2.0,1:19,1.0,20.0,NYG 23,10.0,6.0,Jared Goff pass complete short right to Amon-Ra St. Brown for 14 yards (tackle by Dane Belton),4.04,4.77,11.0,2022,153
2.0,1:13,2.0,6.0,NYG 9,10.0,6.0,Justin Jackson left guard for 4 yards (tackle by Dexter Lawrence and Micah McFadden),4.77,4.78,11.0,2022,153
2.0,1:07,,,,,,Timeout #2 by New York Giants,,,11.0,2022,153
2.0,1:07,3.0,2.0,NYG 5,10.0,6.0,Jared Goff pass complete short right to Brock Wright for 4 yards (tackle by Julian Love),4.78,6.97,11.0,2022,153
2.0,0:59,,,,,,Timeout #3 by New York Giants,,,11.0,2022,153
2.0,0:59,1.0,1.0,NYG 1,16.0,6.0,"Jamaal Williams right tackle for 1 yard, touchdown",6.97,7.0,11.0,2022,153
2.0,0:54,,,NYG 15,17.0,6.0,Michael Badgley kicks extra point good,0.0,0.0,11.0,2022,153
2.0,0:54,,,DET 35,17.0,6.0,"Penalty on Cam Brown: Unnecessary Roughness / Defense, 15 yards (accepted) (no play)",0.0,0.0,11.0,2022,153
2.0,0:54,,,DET 50,17.0,6.0,"Michael Badgley kicks off 47 yards, returned by Gary Brightwell for 14 yards (tackle by Justin Jackson and C.J. Moore)",0.0,-0.06,11.0,2022,153
2.0,0:44,1.0,10.0,NYG 17,17.0,6.0,Daniel Jones pass incomplete deep left intended for Wan'Dale Robinson,-0.06,-0.58,11.0,2022,153
2.0,0:40,2.0,10.0,NYG 17,17.0,6.0,Daniel Jones pass incomplete short left intended for Saquon Barkley,-0.58,-1.25,11.0,2022,153
2.0,0:36,3.0,10.0,NYG 17,17.0,6.0,Daniel Jones pass complete deep left to Wan'Dale Robinson for 19 yards (tackle by Mike Hughes),-1.25,1.33,11.0,2022,153
2.0,0:29,1.0,10.0,NYG 36,17.0,6.0,Daniel Jones pass complete short middle to Wan'Dale Robinson for 15 yards (tackle by Kerby Joseph),1.33,2.32,11.0,2022,153
2.0,0:12,1.0,10.0,DET 49,17.0,6.0,Daniel Jones pass incomplete short right,2.32,1.78,11.0,2022,153
2.0,0:06,2.0,10.0,DET 49,17.0,6.0,"Penalty on Daniel Jones: Delay of Game, 5 yards (accepted) (no play)",1.78,1.11,11.0,2022,153
2.0,0:06,2.0,15.0,NYG 46,17.0,6.0,Daniel Jones pass incomplete short left intended for Saquon Barkley,1.11,0.43,11.0,2022,153
2.0,0:01,3.0,15.0,NYG 46,17.0,6.0,Daniel Jones sacked by John Cominsky for -9 yards,0.43,-0.91,11.0,2022,153
3.0,15:00,,,NYG 35,17.0,6.0,"Graham Gano kicks off 60 yards, recovered by Justin Jackson at DET-8 returned by Justin Jackson for 36 yards (tackle by Cordale Flott and Cam Brown)",0.0,1.86,11.0,2022,153
3.0,14:52,1.0,10.0,DET 44,17.0,6.0,Jared Goff pass incomplete short left intended for Jason Cabinda,1.86,1.32,11.0,2022,153
3.0,14:47,2.0,10.0,DET 44,17.0,6.0,Jared Goff pass complete short right to Amon-Ra St. Brown for 1 yard (tackle by Darnay Holmes),1.32,0.76,11.0,2022,153
3.0,14:20,3.0,9.0,DET 45,17.0,6.0,Jared Goff pass complete short left to Tom Kennedy for 13 yards (tackle by Rodarius Williams),0.76,2.79,11.0,2022,153
3.0,13:49,1.0,10.0,NYG 42,17.0,6.0,Justin Jackson left guard for 5 yards (tackle by Micah McFadden),2.79,2.92,11.0,2022,153
3.0,13:05,2.0,5.0,NYG 37,17.0,6.0,Jared Goff pass complete short left to Amon-Ra St. Brown for 6 yards (tackle by Rodarius Williams),2.92,3.51,11.0,2022,153
3.0,12:23,1.0,10.0,NYG 31,17.0,6.0,Justin Jackson right tackle for 10 yards (tackle by Nick McCloud and Jaylon Smith),3.51,4.17,11.0,2022,153
3.0,11:46,1.0,10.0,NYG 21,17.0,6.0,D'Andre Swift left end for 16 yards (tackle by Rodarius Williams),4.17,6.06,11.0,2022,153
3.0,11:02,1.0,5.0,NYG 5,17.0,6.0,Amon-Ra St. Brown right end for 4 yards (tackle by Jaylon Smith),6.06,5.91,11.0,2022,153
3.0,10:17,2.0,1.0,NYG 1,23.0,6.0,"Jamaal Williams right tackle for 1 yard, touchdown",5.91,7.0,11.0,2022,153
3.0,10:10,,,NYG 15,24.0,6.0,Michael Badgley kicks extra point good,0.0,0.0,11.0,2022,153
3.0,10:10,,,DET 35,24.0,6.0,"Jack Fox kicks off 65 yards, touchback.",0.0,0.61,11.0,2022,153
3.0,10:10,1.0,10.0,NYG 25,24.0,6.0,Saquon Barkley left end for no gain (tackle by Will Harris),0.61,0.06,11.0,2022,153
3.0,9:48,2.0,10.0,NYG 25,24.0,6.0,Daniel Jones pass complete short right to Saquon Barkley for 6 yards (tackle by Jerry Jacobs),0.06,0.17,11.0,2022,153
3.0,9:21,3.0,4.0,NYG 31,24.0,6.0,Daniel Jones pass complete short right to Darius Slayton for 24 yards (tackle by Mike Hughes and Alex Anzalone),0.17,2.59,11.0,2022,153
3.0,8:53,1.0,10.0,DET 45,24.0,6.0,Daniel Jones pass incomplete short right intended for Darius Slayton,2.59,2.04,11.0,2022,153
3.0,8:46,2.0,10.0,DET 45,24.0,6.0,Saquon Barkley left guard for 4 yards (tackle by Aidan Hutchinson and Isaiah Buggs),2.04,1.88,11.0,2022,153
3.0,8:16,3.0,6.0,DET 41,24.0,6.0,Saquon Barkley left tackle for 1 yard (tackle by Chris Board and Alex Anzalone),1.88,0.59,11.0,2022,153
3.0,7:37,4.0,5.0,DET 40,24.0,6.0,Daniel Jones pass deep right intended for Lawrence Cager is intercepted by Kerby Joseph at DET-21 and returned for 38 yards (tackle by Richie James),0.59,-2.85,11.0,2022,153
3.0,7:22,1.0,10.0,NYG 41,24.0,6.0,Jared Goff pass incomplete short middle intended for Kalif Raymond (defended by Cordale Flott),2.85,2.31,11.0,2022,153
3.0,7:18,2.0,10.0,NYG 41,24.0,6.0,Jamaal Williams up the middle for 3 yards (tackle by Jihad Ward),2.31,2.02,11.0,2022,153
3.0,6:34,3.0,7.0,NYG 38,24.0,6.0,Jared Goff pass incomplete short right intended for Kalif Raymond,2.02,0.72,11.0,2022,153
3.0,6:28,4.0,7.0,NYG 38,24.0,6.0,Jack Fox punts 31 yards downed by Josh Woods,0.72,0.38,11.0,2022,153
3.0,6:20,1.0,10.0,NYG 7,24.0,6.0,Saquon Barkley left guard for -1 yards (tackle by Alim McNeill),-0.38,-0.85,11.0,2022,153
3.0,5:47,2.0,11.0,NYG 6,24.0,6.0,Daniel Jones pass complete short middle to Darius Slayton for 18 yards (tackle by Jerry Jacobs),-0.85,0.54,11.0,2022,153
3.0,5:21,1.0,10.0,NYG 24,24.0,6.0,Daniel Jones pass complete short right to Wan'Dale Robinson for 9 yards (tackle by Jerry Jacobs),0.54,1.21,11.0,2022,153
3.0,4:55,2.0,1.0,NYG 33,24.0,6.0,Daniel Jones pass complete short left to Wan'Dale Robinson for 2 yards (tackle by Kerby Joseph and Will Harris),1.21,1.27,11.0,2022,153
3.0,4:18,1.0,10.0,NYG 35,24.0,6.0,Matt Breida right end for 5 yards (tackle by Derrick Barnes),1.27,1.4,11.0,2022,153
3.0,3:47,2.0,5.0,NYG 40,24.0,6.0,Daniel Jones pass complete short middle to Isaiah Hodgins for 11 yards (tackle by Amani Oruwariye),1.4,2.32,11.0,2022,153
3.0,3:23,1.0,10.0,DET 49,24.0,6.0,Daniel Jones pass incomplete short right,2.32,1.78,11.0,2022,153
3.0,3:18,2.0,10.0,DET 49,24.0,6.0,Daniel Jones pass incomplete short left intended for Saquon Barkley,1.78,1.09,11.0,2022,153
3.0,3:14,3.0,10.0,DET 49,24.0,6.0,Daniel Jones pass incomplete short right intended for Wan'Dale Robinson,1.09,0.0,11.0,2022,153
3.0,3:08,4.0,10.0,DET 49,24.0,6.0,"Jamie Gillan punts 40 yards, fair catch by Kalif Raymond at DET-9",0.0,0.38,11.0,2022,153
3.0,3:00,1.0,10.0,DET 9,24.0,6.0,Jamaal Williams up the middle for 3 yards (tackle by Oshane Ximines and Justin Ellis),-0.38,-0.56,11.0,2022,153
3.0,2:21,2.0,7.0,DET 12,24.0,6.0,Justin Jackson left guard for 4 yards (tackle by Kayvon Thibodeaux),-0.56,-0.6,11.0,2022,153
3.0,1:37,3.0,3.0,DET 16,24.0,6.0,Jared Goff pass incomplete short right intended for Kalif Raymond,-0.6,-2.39,11.0,2022,153
3.0,1:30,4.0,3.0,DET 16,24.0,6.0,Jack Fox punts 51 yards out of bounds,-2.39,-1.14,11.0,2022,153
3.0,1:22,1.0,10.0,NYG 33,24.0,6.0,Daniel Jones pass incomplete short left intended for Wan'Dale Robinson,1.14,0.59,11.0,2022,153
3.0,1:18,2.0,10.0,NYG 33,24.0,6.0,Daniel Jones pass complete short middle to Wan'Dale Robinson for 9 yards (tackle by Derrick Barnes),0.59,1.09,11.0,2022,153
3.0,0:58,3.0,1.0,NYG 42,24.0,6.0,Saquon Barkley left end for no gain (tackle by DeShon Elliott),1.09,-0.59,11.0,2022,153
3.0,0:28,4.0,1.0,NYG 42,24.0,6.0,Daniel Jones left end for 15 yards (tackle by DeShon Elliott),-0.59,2.72,11.0,2022,153
4.0,15:00,1.0,10.0,DET 43,24.0,6.0,Daniel Jones pass complete short right to Wan'Dale Robinson for 6 yards (tackle by Mike Hughes and Alex Anzalone),2.72,2.99,11.0,2022,153
4.0,14:34,2.0,4.0,DET 37,24.0,6.0,Daniel Jones pass complete short left to Richie James for 19 yards (tackle by Malcolm Rodriguez),2.99,4.37,11.0,2022,153
4.0,14:17,1.0,10.0,DET 18,24.0,6.0,Daniel Jones left end for 9 yards (tackle by Amani Oruwariye),4.37,5.42,11.0,2022,153
4.0,13:52,2.0,1.0,DET 9,24.0,6.0,Daniel Jones scrambles up the middle for 6 yards (tackle by Alex Anzalone and Austin Bryant),5.42,6.51,11.0,2022,153
4.0,13:27,1.0,3.0,DET 3,24.0,12.0,"Matt Breida left guard for 3 yards, touchdown",6.51,7.0,11.0,2022,153
4.0,13:21,,,DET 15,24.0,12.0,Graham Gano kicks extra point no good,0.0,-1.0,11.0,2022,153
4.0,13:21,,,NYG 35,24.0,12.0,"Graham Gano kicks off 65 yards, touchback.",0.0,0.61,11.0,2022,153
4.0,13:21,1.0,10.0,DET 25,24.0,12.0,Jared Goff pass complete short middle to Kalif Raymond for 21 yards (tackle by Nick McCloud),0.61,1.99,11.0,2022,153
4.0,12:35,1.0,10.0,DET 46,24.0,12.0,Justin Jackson left end for 5 yards (tackle by Tomon Fox and Jaylon Smith),1.99,2.13,11.0,2022,153
4.0,11:52,2.0,5.0,NYG 49,24.0,12.0,Jared Goff pass complete short middle to D'Andre Swift for -1 yards (tackle by Julian Love),2.13,1.29,11.0,2022,153
4.0,11:08,3.0,6.0,NYG 50,24.0,12.0,Jared Goff pass complete short right to Amon-Ra St. Brown for 17 yards,1.29,3.38,11.0,2022,153
4.0,10:27,1.0,10.0,NYG 33,24.0,12.0,Jamaal Williams right guard for -2 yards (tackle by Tae Crowder and Leonard Williams),3.38,2.57,11.0,2022,153
4.0,9:44,2.0,12.0,NYG 35,24.0,12.0,Justin Jackson up the middle for 1 yard (tackle by Dexter Lawrence and Tae Crowder),2.57,2.01,11.0,2022,153
4.0,9:05,3.0,11.0,NYG 34,24.0,12.0,Jared Goff pass incomplete deep left intended for DJ Chark (defended by Julian Love),2.01,1.06,11.0,2022,153
4.0,8:52,4.0,11.0,NYG 34,24.0,12.0,"Penalty on DET: Delay of Game, 5 yards (accepted) (no play)",1.06,0.66,11.0,2022,153
4.0,8:52,4.0,16.0,NYG 39,24.0,12.0,"Jack Fox punts 39 yards, touchback.",0.66,-0.28,11.0,2022,153
4.0,8:45,1.0,10.0,NYG 20,24.0,12.0,Daniel Jones pass incomplete short left intended for Darius Slayton,0.28,-0.27,11.0,2022,153
4.0,8:41,2.0,10.0,NYG 20,24.0,12.0,Daniel Jones pass incomplete short right,-0.27,-0.96,11.0,2022,153
4.0,8:31,3.0,10.0,NYG 20,24.0,12.0,"Penalty on Matt Peart: False Start, 5 yards (accepted) (no play)",-0.96,-1.86,11.0,2022,153
4.0,8:31,3.0,15.0,NYG 15,24.0,12.0,Daniel Jones pass complete deep middle to Isaiah Hodgins for 20 yards (tackle by Jerry Jacobs),-1.86,1.27,11.0,2022,153
4.0,8:05,1.0,10.0,NYG 35,24.0,12.0,"Daniel Jones pass complete short middle to Isaiah Hodgins for -2 yards. Isaiah Hodgins fumbles (forced by Will Harris), recovered by Aidan Hutchinson at NYG-33 Replay Assistant challenged the fumble ruling, and the play was upheld.",1.27,-3.38,11.0,2022,153
4.0,7:53,1.0,10.0,NYG 33,24.0,12.0,Jamaal Williams left end for 4 yards (tackle by Leonard Williams and Dexter Lawrence),3.38,3.38,11.0,2022,153
4.0,7:10,2.0,6.0,NYG 29,24.0,12.0,Justin Jackson left end for 27 yards (tackle by Rodarius Williams),3.38,6.74,11.0,2022,153
4.0,6:26,1.0,2.0,NYG 2,24.0,12.0,D'Andre Swift left end for -2 yards (tackle by Jason Pinnock),6.74,5.34,11.0,2022,153
4.0,6:13,,,,,,Timeout #1 by New York Giants,,,11.0,2022,153
4.0,6:13,2.0,4.0,NYG 4,30.0,12.0,"D'Andre Swift up the middle for 4 yards, touchdown",5.34,7.0,11.0,2022,153
4.0,6:10,,,NYG 15,31.0,12.0,Michael Badgley kicks extra point good,0.0,0.0,11.0,2022,153
4.0,6:10,,,DET 35,31.0,12.0,"Jack Fox kicks off 65 yards, touchback.",0.0,0.61,11.0,2022,153
4.0,6:10,1.0,10.0,NYG 25,31.0,12.0,Daniel Jones pass complete short left to Darius Slayton for 3 yards (tackle by Will Harris),0.61,0.47,11.0,2022,153
4.0,5:40,2.0,7.0,NYG 28,31.0,12.0,"Daniel Jones pass incomplete deep middle intended for Richie James (defended by Will Harris). Penalty on Amani Oruwariye: Defensive Holding, 5 yards (accepted) (no play)",0.47,1.14,11.0,2022,153
4.0,5:40,1.0,10.0,NYG 33,31.0,12.0,Daniel Jones pass complete deep middle to Richie James for 20 yards (tackle by Will Harris),1.14,2.46,11.0,2022,153
4.0,5:17,1.0,10.0,DET 47,31.0,12.0,Daniel Jones pass incomplete short left intended for Darius Slayton (defended by John Cominsky),2.46,1.91,11.0,2022,153
4.0,5:11,2.0,10.0,DET 47,31.0,12.0,Daniel Jones pass complete deep right to Darius Slayton for 24 yards,1.91,4.04,11.0,2022,153
