Quarter,Time,Down,ToGo,Location,CLE,BUF,Detail,EPB,EPA,week,year,game_id
2.0,6:05,1.0,10.0,CLE 14,10.0,3.0,"Devin Singletary up the middle for 1 yard (tackle by John Johnson). Penalty on Reggie Gilliam: Offensive Holding, 10 yards (accepted)",4.65,4.04,11.0,2022,152
2.0,5:45,1.0,19.0,CLE 23,10.0,3.0,Josh Allen pass incomplete short left intended for Isaiah McKenzie,4.04,2.88,11.0,2022,152
2.0,5:40,2.0,19.0,CLE 23,10.0,3.0,James Cook right end for 5 yards (tackle by Denzel Ward),2.88,2.84,11.0,2022,152
2.0,5:03,3.0,14.0,CLE 18,10.0,3.0,Josh Allen pass incomplete short right intended for Nyheim Hines,2.84,2.25,11.0,2022,152
2.0,4:58,4.0,14.0,CLE 18,10.0,6.0,Tyler Bass 36 yard field goal good,2.25,3.0,11.0,2022,152
2.0,4:54,,,BUF 35,10.0,6.0,"Tyler Bass kicks off 65 yards, touchback.",0.0,0.61,11.0,2022,152
2.0,4:54,1.0,10.0,CLE 25,10.0,6.0,Nick Chubb left end for -2 yards (tackle by Tim Settle and Shaq Lawson),0.61,-0.21,11.0,2022,152
2.0,4:15,2.0,12.0,CLE 23,10.0,6.0,Jacoby Brissett pass complete short middle to Harrison Bryant for 8 yards (tackle by Matt Milano and Shaq Lawson),-0.21,0.17,11.0,2022,152
2.0,3:33,3.0,4.0,CLE 31,10.0,6.0,Jacoby Brissett pass complete deep left to Amari Cooper for 24 yards (tackle by Dane Jackson),0.17,2.59,11.0,2022,152
2.0,2:58,1.0,10.0,BUF 45,10.0,6.0,Nick Chubb up the middle for no gain (tackle by Ed Oliver and DaQuan Jones),2.59,2.04,11.0,2022,152
2.0,2:17,2.0,10.0,BUF 45,10.0,6.0,Jacoby Brissett pass incomplete deep left,2.04,1.36,11.0,2022,152
2.0,2:08,3.0,10.0,BUF 45,10.0,6.0,"Penalty on Hjalte Froholdt: False Start, 5 yards (accepted) (no play)",1.36,0.7,11.0,2022,152
2.0,2:08,3.0,15.0,BUF 50,10.0,6.0,Jacoby Brissett pass incomplete deep right intended for Amari Cooper (defended by Damar Hamlin),0.7,-0.06,11.0,2022,152
2.0,2:01,4.0,15.0,BUF 50,10.0,6.0,"Corey Bojorquez punts 28 yards, fair catch by Nyheim Hines at BUF-22",-0.06,-0.41,11.0,2022,152
2.0,1:54,1.0,10.0,BUF 22,10.0,6.0,Josh Allen pass complete short right to Dawson Knox for 9 yards (tackle by A.J. Green),0.41,1.08,11.0,2022,152
2.0,1:46,2.0,1.0,BUF 31,10.0,6.0,Devin Singletary up the middle for 5 yards (tackle by Grant Delpit),1.08,1.33,11.0,2022,152
2.0,1:23,1.0,10.0,BUF 36,10.0,6.0,Josh Allen pass complete short left to Dawson Knox for 7 yards (tackle by A.J. Green),1.33,1.74,11.0,2022,152
2.0,0:56,2.0,3.0,BUF 43,10.0,6.0,Josh Allen pass complete deep left to Gabriel Davis for 28 yards,1.74,3.64,11.0,2022,152
2.0,0:51,,,,,,Timeout #1 by Cleveland Browns,,,11.0,2022,152
2.0,0:51,1.0,10.0,CLE 29,10.0,6.0,Devin Singletary left end for 7 yards (tackle by Sione Takitaki),3.64,4.05,11.0,2022,152
2.0,0:46,2.0,3.0,CLE 22,10.0,6.0,Josh Allen scrambles left end for 6 yards (tackle by Jeremiah Owusu-Koramoah),4.05,4.51,11.0,2022,152
2.0,0:39,1.0,10.0,CLE 16,10.0,6.0,Josh Allen pass complete short right to Gabriel Davis for 8 yards (tackle by A.J. Green and Martin Emerson),4.51,5.35,11.0,2022,152
2.0,0:32,,,,,,Timeout #1 by Buffalo Bills,,,11.0,2022,152
2.0,0:32,2.0,2.0,CLE 8,10.0,6.0,Devin Singletary up the middle for 1 yard (tackle by Jeremiah Owusu-Koramoah and Sione Takitaki),5.35,4.85,11.0,2022,152
2.0,0:28,,,,,,Timeout #2 by Buffalo Bills,,,11.0,2022,152
2.0,0:28,3.0,1.0,CLE 7,10.0,6.0,Devin Singletary up the middle for 2 yards (tackle by Grant Delpit and Sione Takitaki),4.85,6.06,11.0,2022,152
2.0,0:23,,,,,,Timeout #3 by Buffalo Bills,,,11.0,2022,152
2.0,0:23,1.0,5.0,CLE 5,10.0,6.0,Josh Allen pass incomplete short middle,6.06,5.15,11.0,2022,152
2.0,0:18,,,,,,Timeout #2 by Cleveland Browns,,,11.0,2022,152
2.0,0:18,2.0,5.0,CLE 5,10.0,12.0,"Josh Allen pass complete short left to Stefon Diggs for 5 yards, touchdown",5.15,7.0,11.0,2022,152
2.0,0:14,,,CLE 15,10.0,13.0,Tyler Bass kicks extra point good,0.0,0.0,11.0,2022,152
2.0,0:14,,,BUF 35,10.0,13.0,"Tyler Bass kicks off 65 yards, touchback.",0.0,0.61,11.0,2022,152
2.0,0:14,1.0,10.0,CLE 25,10.0,13.0,Jacoby Brissett kneels for -1 yards,0.61,-0.07,11.0,2022,152
3.0,15:00,,,CLE 35,10.0,13.0,"Cade York kicks off 60 yards, returned by Nyheim Hines for 21 yards (tackle by Jordan Kunaszyk)",0.0,0.67,11.0,2022,152
3.0,14:54,1.0,10.0,BUF 26,10.0,13.0,Josh Allen pass complete deep right to Stefon Diggs for 16 yards (tackle by John Johnson),0.67,1.73,11.0,2022,152
3.0,14:15,1.0,10.0,BUF 42,10.0,13.0,Devin Singletary up the middle for 3 yards (tackle by Jeremiah Owusu-Koramoah and Sione Takitaki),1.73,1.59,11.0,2022,152
3.0,13:42,2.0,7.0,BUF 45,10.0,13.0,Josh Allen pass complete short left to Stefon Diggs for 6 yards (tackle by Martin Emerson),1.59,1.69,11.0,2022,152
3.0,12:59,3.0,1.0,CLE 49,10.0,13.0,James Cook left end for 17 yards (tackle by John Johnson),1.69,3.45,11.0,2022,152
3.0,12:22,1.0,10.0,CLE 32,10.0,13.0,Josh Allen pass complete short left to Devin Singletary for 6 yards (tackle by Martin Emerson),3.45,3.71,11.0,2022,152
3.0,11:45,2.0,4.0,CLE 26,10.0,13.0,Nyheim Hines right end for -8 yards (tackle by Jadeveon Clowney),3.71,1.95,11.0,2022,152
3.0,11:06,,,,,,Timeout #1 by Buffalo Bills,,,11.0,2022,152
3.0,11:06,3.0,12.0,CLE 34,10.0,13.0,"Josh Allen scrambles up the middle for no gain (tackle by Chase Winovich). Penalty on Rodger Saffold: Offensive Holding, 10 yards (accepted) (no play)",1.95,0.63,11.0,2022,152
3.0,10:34,3.0,22.0,CLE 44,10.0,13.0,Josh Allen pass complete short right to Dawson Knox for 6 yards (tackle by Ronnie Harrison),0.63,0.72,11.0,2022,152
3.0,9:48,4.0,16.0,CLE 38,10.0,16.0,Tyler Bass 56 yard field goal good,0.72,3.0,11.0,2022,152
3.0,9:42,,,BUF 35,10.0,16.0,"Tyler Bass kicks off 65 yards, touchback.",0.0,0.61,11.0,2022,152
3.0,9:42,1.0,10.0,CLE 25,10.0,16.0,"Penalty on Von Miller: Neutral Zone Infraction, 5 yards (accepted) (no play)",0.61,1.34,11.0,2022,152
3.0,9:42,1.0,5.0,CLE 30,10.0,16.0,Jacoby Brissett pass complete short middle to Donovan Peoples-Jones for 4 yards (tackle by Tyrel Dodson),1.34,1.28,11.0,2022,152
3.0,9:05,2.0,1.0,CLE 34,10.0,16.0,Nick Chubb left tackle for -2 yards (tackle by Matt Milano),1.28,0.3,11.0,2022,152
3.0,8:25,3.0,3.0,CLE 32,10.0,16.0,Jacoby Brissett pass complete short left to Harrison Bryant for 7 yards (tackle by Tyrel Dodson),0.3,1.53,11.0,2022,152
3.0,7:43,1.0,10.0,CLE 39,10.0,16.0,Jacoby Brissett pass complete short right to Kareem Hunt for 10 yards (tackle by Tyrel Dodson and Taron Johnson),1.53,2.19,11.0,2022,152
3.0,7:06,1.0,10.0,CLE 49,10.0,16.0,"Jacoby Brissett pass incomplete short right intended for Amari Cooper. Penalty on Christian Benford: Defensive Pass Interference, 15 yards (declined) . Penalty on Dane Jackson: Face Mask (15 Yards), 15 yards (accepted) (no play)",2.19,3.18,11.0,2022,152
3.0,6:59,1.0,10.0,BUF 36,10.0,16.0,Jacoby Brissett pass incomplete short right intended for Amari Cooper,3.18,2.64,11.0,2022,152
3.0,6:55,2.0,10.0,BUF 36,10.0,16.0,Nick Chubb up the middle for 9 yards (tackle by Christian Benford and Jordan Poyer),2.64,3.14,11.0,2022,152
3.0,6:23,3.0,1.0,BUF 27,10.0,16.0,Jacoby Brissett up the middle for no gain (tackle by Jordan Phillips and Tyrel Dodson),3.14,1.82,11.0,2022,152
3.0,5:54,4.0,1.0,BUF 27,10.0,16.0,Jacoby Brissett up the middle for no gain (tackle by Boogie Basham and Dane Jackson),1.82,-0.74,11.0,2022,152
3.0,5:49,1.0,10.0,BUF 27,10.0,16.0,"Josh Allen pass complete deep middle to Gabriel Davis for 17 yards (tackle by Greedy Williams). Penalty on Tommy Togiai: Roughing the Passer, 15 yards (accepted)",0.74,2.85,11.0,2022,152
3.0,5:24,1.0,10.0,CLE 41,10.0,16.0,Josh Allen pass complete deep middle to Dawson Knox for 23 yards (tackle by John Johnson),2.85,4.37,11.0,2022,152
3.0,4:56,1.0,10.0,CLE 18,10.0,16.0,Devin Singletary up the middle for 13 yards (tackle by Tony Fields and Martin Emerson),4.37,6.06,11.0,2022,152
3.0,4:11,1.0,5.0,CLE 5,10.0,22.0,"Devin Singletary up the middle for 5 yards, touchdown",6.06,7.0,11.0,2022,152
3.0,4:08,,,CLE 2,10.0,22.0,"Two Point Attempt: Isaiah McKenzie rushes, conversion fails.",1.0,-1.0,11.0,2022,152
3.0,4:08,,,BUF 35,10.0,22.0,"Tyler Bass kicks off 65 yards, touchback.",0.0,0.61,11.0,2022,152
3.0,4:08,1.0,10.0,CLE 25,10.0,22.0,"Jacoby Brissett pass incomplete deep right intended for Donovan Peoples-Jones (defended by Damar Hamlin). Penalty on Damar Hamlin: Defensive Pass Interference, 36 yards (accepted) (no play)",0.61,2.98,11.0,2022,152
3.0,4:01,1.0,10.0,BUF 39,10.0,22.0,Jacoby Brissett scrambles left end for 2 yards (tackle by Von Miller),2.98,2.71,11.0,2022,152
3.0,3:17,2.0,8.0,BUF 37,10.0,22.0,Jacoby Brissett pass complete short left to David Njoku for 21 yards (tackle by Tyrel Dodson),2.71,4.51,11.0,2022,152
3.0,2:39,1.0,10.0,BUF 16,10.0,22.0,Jacoby Brissett pass incomplete deep right intended for Harrison Bryant,4.51,3.9,11.0,2022,152
3.0,2:31,2.0,10.0,BUF 16,10.0,22.0,"Penalty on CLE: Delay of Game, 5 yards (accepted) (no play)",3.9,3.28,11.0,2022,152
3.0,2:31,2.0,15.0,BUF 21,10.0,22.0,Jacoby Brissett pass complete short right to Nick Chubb for 5 yards (tackle by Matt Milano and Tyrel Dodson),3.28,3.08,11.0,2022,152
3.0,1:47,3.0,10.0,BUF 16,10.0,22.0,Jacoby Brissett pass incomplete short right,3.08,2.38,11.0,2022,152
3.0,1:41,4.0,10.0,BUF 16,10.0,22.0,Cade York 34 yard field goal no good blocked by DaQuan Jones,2.38,-0.54,11.0,2022,152
3.0,1:37,1.0,10.0,BUF 24,10.0,22.0,James Cook up the middle for 9 yards (tackle by Myles Garrett and Grant Delpit),0.54,1.21,11.0,2022,152
3.0,0:51,2.0,1.0,BUF 33,10.0,22.0,James Cook up the middle for 4 yards (tackle by Jeremiah Owusu-Koramoah and A.J. Green),1.21,1.4,11.0,2022,152
3.0,0:14,1.0,10.0,BUF 37,10.0,22.0,James Cook up the middle for 29 yards (tackle by John Johnson),1.4,3.31,11.0,2022,152
4.0,15:00,1.0,10.0,CLE 34,10.0,22.0,James Cook up the middle for 3 yards (tackle by Grant Delpit),3.31,3.18,11.0,2022,152
4.0,14:16,2.0,7.0,CLE 31,10.0,22.0,James Cook left end for no gain (tackle by Jeremiah Owusu-Koramoah and Tommy Togiai),3.18,2.48,11.0,2022,152
4.0,13:30,,,,,,Timeout #2 by Buffalo Bills,,,11.0,2022,152
4.0,13:30,3.0,7.0,CLE 31,10.0,22.0,Josh Allen pass incomplete deep left intended for Gabriel Davis,2.48,1.32,11.0,2022,152
4.0,13:25,4.0,7.0,CLE 31,10.0,25.0,Tyler Bass 49 yard field goal good,1.32,3.0,11.0,2022,152
4.0,13:20,,,BUF 35,10.0,25.0,"Tyler Bass kicks off 65 yards, touchback.",0.0,0.61,11.0,2022,152
4.0,13:20,1.0,10.0,CLE 25,10.0,25.0,Nick Chubb left end for 1 yard (tackle by Tyrel Dodson),0.61,0.2,11.0,2022,152
4.0,12:46,2.0,9.0,CLE 26,10.0,25.0,Jacoby Brissett pass incomplete deep left intended for Amari Cooper (defended by Dane Jackson),0.2,-0.49,11.0,2022,152
4.0,12:40,3.0,9.0,CLE 26,10.0,25.0,Jacoby Brissett sacked by Matt Milano for -8 yards,-0.49,-2.24,11.0,2022,152
4.0,12:06,4.0,17.0,CLE 18,10.0,25.0,"Corey Bojorquez punts 55 yards, returned by Nyheim Hines for 9 yards (tackle by Jordan Kunaszyk and Anthony Schwartz)",-2.24,-1.33,11.0,2022,152
4.0,11:53,1.0,10.0,BUF 36,10.0,25.0,Devin Singletary up the middle for 4 yards (tackle by Jordan Elliott),1.33,1.33,11.0,2022,152
4.0,11:14,2.0,6.0,BUF 40,10.0,25.0,Josh Allen pass complete short left to Gabriel Davis for 7 yards (tackle by Martin Emerson),1.33,2.06,11.0,2022,152
4.0,10:28,1.0,10.0,BUF 47,10.0,25.0,Devin Singletary right tackle for 18 yards (tackle by Jeremiah Owusu-Koramoah),2.06,3.25,11.0,2022,152
4.0,9:45,1.0,10.0,CLE 35,10.0,25.0,James Cook right tackle for 5 yards (tackle by Jeremiah Owusu-Koramoah and Alex Wright),3.25,3.38,11.0,2022,152
4.0,9:05,2.0,5.0,CLE 30,10.0,25.0,Josh Allen pass complete short right to Stefon Diggs for 21 yards (tackle by Denzel Ward and John Johnson),3.38,5.14,11.0,2022,152
4.0,8:14,1.0,9.0,CLE 9,10.0,25.0,Devin Singletary up the middle for 1 yard (tackle by Sione Takitaki),5.14,4.57,11.0,2022,152
4.0,7:33,2.0,8.0,CLE 8,10.0,25.0,James Cook left tackle for -2 yards (tackle by Jeremiah Owusu-Koramoah),4.57,3.13,11.0,2022,152
4.0,6:54,3.0,10.0,CLE 10,10.0,25.0,"Josh Allen pass incomplete short left intended for Stefon Diggs. Penalty on Stefon Diggs: Offensive Pass Interference, 10 yards (declined)",3.13,2.76,11.0,2022,152
4.0,6:48,4.0,10.0,CLE 10,10.0,28.0,Tyler Bass 28 yard field goal good,2.76,3.0,11.0,2022,152
4.0,6:45,,,BUF 35,10.0,28.0,"Tyler Bass kicks off 65 yards, touchback.",0.0,0.61,11.0,2022,152
4.0,6:45,1.0,10.0,CLE 25,10.0,28.0,Nick Chubb right end for -1 yards (tackle by Ed Oliver and Taron Johnson),0.61,-0.21,11.0,2022,152
4.0,6:25,2.0,12.0,CLE 23,10.0,28.0,Jacoby Brissett pass incomplete short right intended for Donovan Peoples-Jones (defended by Jordan Phillips),-0.21,-0.82,11.0,2022,152
4.0,6:18,3.0,12.0,CLE 24,10.0,28.0,Jacoby Brissett pass complete short left to David Bell for 6 yards (tackle by Christian Benford),-0.82,-1.37,11.0,2022,152
4.0,5:52,4.0,5.0,CLE 30,10.0,28.0,Jacoby Brissett pass complete short right to David Bell for 6 yards (tackle by Taron Johnson),-1.37,1.33,11.0,2022,152
4.0,5:32,1.0,10.0,CLE 36,10.0,28.0,"Jacoby Brissett pass incomplete short left intended for Harrison Bryant. Penalty on Von Miller: Defensive Offside, 5 yards (accepted) (no play)",1.33,2.06,11.0,2022,152
4.0,5:27,1.0,5.0,CLE 41,10.0,28.0,Kareem Hunt right end for 11 yards (tackle by Matt Milano),2.06,2.39,11.0,2022,152
4.0,4:52,1.0,10.0,BUF 48,10.0,28.0,Jacoby Brissett pass incomplete short left intended for David Bell,2.39,1.85,11.0,2022,152
4.0,4:46,2.0,10.0,BUF 48,10.0,28.0,Jacoby Brissett pass complete short middle to Harrison Bryant for 14 yards (tackle by Tyrel Dodson),1.85,3.31,11.0,2022,152
4.0,4:22,1.0,10.0,BUF 34,10.0,28.0,Jacoby Brissett pass complete deep right to Donovan Peoples-Jones for 27 yards,3.31,5.6,11.0,2022,152
4.0,4:16,1.0,7.0,BUF 7,16.0,28.0,"Jacoby Brissett pass complete short left to Amari Cooper for 7 yards, touchdown",5.6,7.0,11.0,2022,152
4.0,4:11,,,BUF 2,16.0,28.0,Two Point Attempt: Jacoby Brissett pass incomplete intended for intended for Amari Cooper,1.0,-1.0,11.0,2022,152
4.0,4:11,,,CLE 35,16.0,28.0,Penalty on Amari Cooper: Illegal Touch Pass (accepted),0.0,0.0,11.0,2022,152
4.0,4:11,,,CLE 35,16.0,28.0,"Cade York kicks onside 7 yards, returned by Terrel Bernard for no gain",0.0,2.79,11.0,2022,152
4.0,4:10,1.0,10.0,CLE 42,16.0,28.0,Devin Singletary left tackle for 3 yards (tackle by Tony Fields and John Johnson),2.79,2.65,11.0,2022,152
4.0,4:05,,,,,,Timeout #1 by Cleveland Browns,,,11.0,2022,152
4.0,4:05,2.0,7.0,CLE 39,16.0,28.0,Josh Allen pass complete short middle to Dawson Knox for 11 yards (tackle by John Johnson),2.65,3.71,11.0,2022,152
4.0,4:00,,,,,,Timeout #2 by Cleveland Browns,,,11.0,2022,152
4.0,4:00,1.0,10.0,CLE 28,16.0,28.0,Devin Singletary up the middle for 11 yards (tackle by John Johnson and Jordan Elliott),3.71,4.44,11.0,2022,152
4.0,3:52,,,,,,Timeout #3 by Cleveland Browns,,,11.0,2022,152
4.0,3:52,1.0,10.0,CLE 17,16.0,28.0,Devin Singletary right tackle for -3 yards (tackle by Jordan Elliott),4.44,3.49,11.0,2022,152
4.0,3:10,2.0,13.0,CLE 20,16.0,28.0,Devin Singletary right tackle for 4 yards (tackle by Jeremiah Owusu-Koramoah and Sione Takitaki),3.49,3.19,11.0,2022,152
4.0,2:24,3.0,9.0,CLE 16,16.0,28.0,Josh Allen sacked by Taven Bryan for -5 yards,3.19,2.06,11.0,2022,152
