Quarter,Time,Down,ToGo,Location,LAR,NOR,Detail,EPB,EPA,week,year,game_id
1.0,9:44,1.0,10.0,LAR 26,0.0,0.0,Cam Akers left tackle for 4 yards (tackle by Jabari Zuniga),0.67,0.67,11.0,2022,159
1.0,9:07,2.0,6.0,LAR 30,0.0,0.0,Matthew Stafford pass incomplete deep left intended for Allen Robinson,0.67,-0.03,11.0,2022,159
1.0,9:02,3.0,6.0,LAR 30,0.0,0.0,Matthew Stafford pass incomplete short left intended for Tyler Higbee (defended by Chris Harris),-0.03,-1.37,11.0,2022,159
1.0,8:58,4.0,6.0,LAR 30,0.0,0.0,"Riley Dixon punts 40 yards, returned by Rashid Shaheed for 11 yards (tackle by Jacob Harris)",-1.37,-1.66,11.0,2022,159
1.0,8:50,1.0,10.0,NOR 41,0.0,0.0,Andy Dalton pass complete short right to Adam Trautman for 7 yards (tackle by Leonard Floyd),1.66,2.07,11.0,2022,159
1.0,8:19,2.0,3.0,NOR 48,0.0,0.0,Alvin Kamara right tackle for 2 yards (tackle by Bobby Wagner),2.07,1.62,11.0,2022,159
1.0,7:40,3.0,1.0,LAR 50,0.0,0.0,Andy Dalton pass complete deep right to Juwan Johnson for 26 yards (tackle by Jalen Ramsey),1.62,3.97,11.0,2022,159
1.0,7:03,1.0,10.0,LAR 24,0.0,0.0,Taysom Hill left end for 8 yards (tackle by Russ Yeast),3.97,4.65,11.0,2022,159
1.0,6:25,2.0,2.0,LAR 16,0.0,0.0,Alvin Kamara right tackle for 3 yards (tackle by A'Shawn Robinson),4.65,4.71,11.0,2022,159
1.0,5:46,1.0,10.0,LAR 13,0.0,0.0,Taysom Hill pass incomplete short right intended for Jarvis Landry (defended by Taylor Rapp),4.71,4.05,11.0,2022,159
1.0,5:40,2.0,10.0,LAR 13,0.0,0.0,Andy Dalton sacked by Greg Gaines for -8 yards,4.05,2.41,11.0,2022,159
1.0,4:55,3.0,18.0,LAR 21,0.0,0.0,Taysom Hill sacked by Leonard Floyd for -7 yards,2.41,1.59,11.0,2022,159
1.0,4:19,4.0,25.0,LAR 28,0.0,3.0,Wil Lutz 46 yard field goal good,1.59,3.0,11.0,2022,159
1.0,4:14,,,NOR 35,0.0,3.0,"Wil Lutz kicks off 61 yards, returned by Brandon Powell for 34 yards (tackle by Daniel Sorensen)",0.0,1.47,11.0,2022,159
1.0,4:08,1.0,10.0,LAR 38,6.0,3.0,"Matthew Stafford pass complete deep left to Tutu Atwell for 62 yards, touchdown",1.47,7.0,11.0,2022,159
1.0,4:00,,,NOR 15,7.0,3.0,Matt Gay kicks extra point good,0.0,0.0,11.0,2022,159
1.0,4:00,,,LAR 35,7.0,3.0,"Matt Gay kicks off 65 yards, touchback.",0.0,0.61,11.0,2022,159
1.0,4:00,1.0,10.0,NOR 25,7.0,3.0,Alvin Kamara right end for 1 yard (tackle by Marquise Copeland),0.61,0.2,11.0,2022,159
1.0,3:23,2.0,9.0,NOR 26,7.0,3.0,Andy Dalton pass complete short left to Chris Olave for 12 yards (tackle by David Long),0.2,1.47,11.0,2022,159
1.0,2:46,1.0,10.0,NOR 38,7.0,3.0,Andy Dalton pass incomplete short right intended for Rashid Shaheed,1.47,0.92,11.0,2022,159
1.0,2:42,2.0,10.0,NOR 38,7.0,3.0,Alvin Kamara left tackle for 1 yard (tackle by A'Shawn Robinson and Aaron Donald),0.92,0.37,11.0,2022,159
1.0,1:59,3.0,9.0,NOR 39,7.0,3.0,Andy Dalton pass complete short left to Adam Trautman for 3 yards (tackle by Jalen Ramsey),0.37,-0.59,11.0,2022,159
1.0,1:19,4.0,6.0,NOR 42,7.0,3.0,Blake Gillikin punts 55 yards downed by Andrew Dowell,-0.59,0.38,11.0,2022,159
1.0,1:09,1.0,10.0,LAR 3,7.0,3.0,Cam Akers right tackle for 2 yards (tackle by Paulson Adebo),-0.38,-0.63,11.0,2022,159
1.0,0:27,2.0,8.0,LAR 5,7.0,3.0,Matthew Stafford pass incomplete short left intended for Tyler Higbee,-0.63,-1.19,11.0,2022,159
1.0,0:24,3.0,8.0,LAR 5,7.0,3.0,Matthew Stafford pass incomplete short left intended for Van Jefferson (defended by Alontae Taylor),-1.19,-2.49,11.0,2022,159
1.0,0:19,4.0,8.0,LAR 5,7.0,3.0,"Riley Dixon punts 49 yards, fair catch by Rashid Shaheed at NO-46. Penalty on Jacob Harris: Player Out of Bounds on a Punt, 5 yards (accepted)",-2.49,-2.32,11.0,2022,159
1.0,0:11,1.0,10.0,LAR 49,7.0,3.0,Alvin Kamara right guard for 11 yards (tackle by Taylor Rapp),2.32,3.05,11.0,2022,159
2.0,15:00,1.0,10.0,LAR 38,7.0,3.0,Taysom Hill left tackle for 12 yards (tackle by Jalen Ramsey),3.05,3.84,11.0,2022,159
2.0,14:19,1.0,10.0,LAR 26,7.0,3.0,Taysom Hill pass incomplete deep left intended for Juwan Johnson,3.84,3.3,11.0,2022,159
2.0,14:14,2.0,10.0,LAR 26,7.0,3.0,Andy Dalton pass complete short middle to Alvin Kamara for 15 yards (tackle by Ernest Jones and Bobby Wagner),3.3,4.84,11.0,2022,159
2.0,13:36,1.0,10.0,LAR 11,7.0,3.0,Alvin Kamara left guard for 2 yards (tackle by A'Shawn Robinson),4.84,4.51,11.0,2022,159
2.0,12:59,2.0,8.0,LAR 9,7.0,3.0,Taysom Hill left guard for 1 yard (tackle by Leonard Floyd and Ernest Jones),4.51,3.76,11.0,2022,159
2.0,12:18,3.0,7.0,LAR 8,7.0,9.0,"Andy Dalton pass complete to Juwan Johnson for 8 yards, touchdown",3.76,7.0,11.0,2022,159
2.0,12:11,,,LAR 15,7.0,10.0,Wil Lutz kicks extra point good,0.0,0.0,11.0,2022,159
2.0,12:11,,,NOR 35,7.0,10.0,"Wil Lutz kicks off 65 yards, touchback.",0.0,0.61,11.0,2022,159
2.0,12:11,1.0,10.0,LAR 25,7.0,10.0,Cam Akers right tackle for 7 yards (tackle by Tyrann Mathieu),0.61,1.01,11.0,2022,159
2.0,11:32,2.0,3.0,LAR 32,7.0,10.0,Cam Akers left tackle for 2 yards (tackle by David Onyemata),1.01,0.56,11.0,2022,159
2.0,10:42,,,,,,Timeout #1 by Los Angeles Rams,,,11.0,2022,159
2.0,10:42,3.0,1.0,LAR 34,7.0,10.0,Kyren Williams left guard for 2 yards (tackle by Carl Granderson),0.56,1.33,11.0,2022,159
2.0,10:03,1.0,10.0,LAR 36,7.0,10.0,Kyren Williams left guard for no gain (tackle by Chris Harris and David Onyemata),1.33,0.79,11.0,2022,159
2.0,9:19,2.0,10.0,LAR 36,7.0,10.0,Kyren Williams left guard for 5 yards (tackle by Shy Tuttle and Demario Davis),0.79,0.76,11.0,2022,159
2.0,8:35,3.0,5.0,LAR 41,7.0,10.0,Matthew Stafford scrambles right end for 4 yards (tackle by Paulson Adebo),0.76,-0.39,11.0,2022,159
2.0,7:44,,,,,,Timeout #2 by Los Angeles Rams,,,11.0,2022,159
2.0,7:44,4.0,1.0,LAR 45,7.0,10.0,Cam Akers left end for 13 yards (tackle by Tyrann Mathieu),-0.39,2.79,11.0,2022,159
2.0,6:57,1.0,10.0,NOR 42,7.0,10.0,Cam Akers right end for 4 yards (tackle by Kaden Elliss),2.79,2.78,11.0,2022,159
2.0,6:18,2.0,6.0,NOR 38,7.0,10.0,Matthew Stafford pass incomplete deep right intended for Van Jefferson,2.78,2.08,11.0,2022,159
2.0,6:12,3.0,6.0,NOR 38,7.0,10.0,Matthew Stafford pass complete short left to Ben Skowronek for 4 yards (tackle by Demario Davis),2.08,1.1,11.0,2022,159
2.0,5:29,4.0,2.0,NOR 34,7.0,10.0,Kyren Williams right guard for -1 yards (tackle by Payton Turner and Demario Davis),1.1,-1.33,11.0,2022,159
2.0,5:23,1.0,10.0,NOR 36,7.0,10.0,Alvin Kamara left guard for 5 yards (tackle by Bobby Wagner and Nick Scott),1.33,1.47,11.0,2022,159
2.0,4:44,2.0,5.0,NOR 41,7.0,10.0,Alvin Kamara right guard for -1 yards (tackle by Aaron Donald and Leonard Floyd),1.47,0.63,11.0,2022,159
2.0,4:03,3.0,6.0,NOR 40,7.0,10.0,Andy Dalton pass complete short right to Alvin Kamara for 4 yards (tackle by Derion Kendrick and Bobby Wagner),0.63,-0.46,11.0,2022,159
2.0,3:20,4.0,2.0,NOR 44,7.0,10.0,"Blake Gillikin punts 43 yards, fair catch by Brandon Powell at LA-13",-0.46,0.32,11.0,2022,159
2.0,3:13,1.0,10.0,LAR 13,7.0,10.0,Cam Akers left guard for 4 yards (tackle by Shy Tuttle and Kentavius Street),-0.32,-0.3,11.0,2022,159
2.0,2:37,2.0,6.0,LAR 17,7.0,10.0,Cam Akers left tackle for 5 yards (tackle by Demario Davis and Kaden Elliss),-0.3,-0.35,11.0,2022,159
2.0,2:00,3.0,1.0,LAR 22,7.0,10.0,Matthew Stafford pass complete short left to Allen Robinson for 9 yards (tackle by Alontae Taylor),-0.35,1.0,11.0,2022,159
2.0,1:39,1.0,10.0,LAR 31,7.0,10.0,Matthew Stafford pass complete short middle to Van Jefferson for 16 yards (tackle by Tyrann Mathieu),1.0,2.06,11.0,2022,159
2.0,1:17,1.0,10.0,LAR 47,7.0,10.0,Matthew Stafford pass incomplete short right intended for Tyler Higbee (defended by Tyrann Mathieu),2.06,1.52,11.0,2022,159
2.0,1:12,2.0,10.0,LAR 47,7.0,10.0,Matthew Stafford pass complete deep right to Van Jefferson for 20 yards,1.52,3.38,11.0,2022,159
2.0,1:06,1.0,10.0,NOR 33,7.0,10.0,Matthew Stafford pass complete short right to Tyler Higbee for 3 yards (tackle by Tyrann Mathieu),3.38,3.24,11.0,2022,159
2.0,1:02,2.0,7.0,NOR 30,7.0,10.0,Matthew Stafford pass complete short left to Kyren Williams for 8 yards (tackle by Alontae Taylor),3.24,4.11,11.0,2022,159
2.0,0:55,1.0,10.0,NOR 22,7.0,10.0,Matthew Stafford pass complete short right to Brandon Powell for 8 yards (tackle by Chris Harris),4.11,4.85,11.0,2022,159
2.0,0:36,2.0,2.0,NOR 14,7.0,10.0,"Matthew Stafford pass complete short middle to Brandon Powell for no gain (tackle by Demario Davis). Penalty on Bobby Evans: Offensive Holding, 10 yards (accepted) (no play)",4.85,3.29,11.0,2022,159
2.0,0:30,,,,,,Timeout #1 by New Orleans Saints,,,11.0,2022,159
2.0,0:30,2.0,12.0,NOR 24,7.0,10.0,Matthew Stafford pass complete short middle to Tyler Higbee for 18 yards (tackle by Tyrann Mathieu and Kaden Elliss),3.29,5.83,11.0,2022,159
2.0,0:22,,,,,,Timeout #3 by Los Angeles Rams,,,11.0,2022,159
2.0,0:22,1.0,6.0,NOR 6,13.0,10.0,"Matthew Stafford pass complete short right to Allen Robinson for 6 yards, touchdown",5.83,7.0,11.0,2022,159
2.0,0:19,,,NOR 15,14.0,10.0,Matt Gay kicks extra point good,0.0,0.0,11.0,2022,159
2.0,0:19,,,LAR 35,14.0,10.0,"Matt Gay kicks off 65 yards, touchback.",0.0,0.61,11.0,2022,159
2.0,0:19,1.0,10.0,NOR 25,14.0,10.0,Andy Dalton kneels for -1 yards,0.61,-0.07,11.0,2022,159
3.0,15:00,,,LAR 35,14.0,10.0,"Matt Gay kicks off 65 yards, touchback.",0.0,0.61,11.0,2022,159
3.0,15:00,1.0,10.0,NOR 25,14.0,10.0,Andy Dalton pass complete deep left to Chris Olave for 18 yards (tackle by Troy Hill),0.61,1.8,11.0,2022,159
3.0,14:22,1.0,10.0,NOR 43,14.0,10.0,Alvin Kamara left guard for 6 yards (tackle by Ernest Jones and Taylor Rapp),1.8,2.06,11.0,2022,159
3.0,13:45,2.0,4.0,NOR 49,14.0,10.0,Alvin Kamara right guard for 2 yards (tackle by Aaron Donald and Bobby Wagner),2.06,1.62,11.0,2022,159
3.0,13:04,3.0,2.0,LAR 49,14.0,10.0,Andy Dalton pass complete short left to Alvin Kamara for 13 yards (tackle by Derion Kendrick),1.62,3.18,11.0,2022,159
3.0,12:32,1.0,10.0,LAR 36,14.0,10.0,Andy Dalton pass incomplete short right,3.18,2.64,11.0,2022,159
3.0,12:26,2.0,10.0,LAR 36,14.0,10.0,Andy Dalton pass complete short left to Alvin Kamara for 15 yards (tackle by Taylor Rapp),2.64,4.17,11.0,2022,159
3.0,11:52,1.0,10.0,LAR 21,14.0,10.0,David Johnson left end for -4 yards (tackle by Aaron Donald),4.17,3.09,11.0,2022,159
3.0,11:10,2.0,14.0,LAR 25,14.0,10.0,Andy Dalton pass complete short middle to Jarvis Landry for 18 yards (tackle by Jalen Ramsey),3.09,5.6,11.0,2022,159
3.0,10:27,1.0,7.0,LAR 7,14.0,16.0,"Andy Dalton pass complete short left to Jarvis Landry for 7 yards, touchdown",5.6,7.0,11.0,2022,159
3.0,10:23,,,LAR 15,14.0,17.0,Wil Lutz kicks extra point good,0.0,0.0,11.0,2022,159
3.0,10:23,,,NOR 35,14.0,17.0,"Wil Lutz kicks off 65 yards, touchback.",0.0,0.61,11.0,2022,159
3.0,10:23,1.0,10.0,LAR 25,14.0,17.0,Cam Akers left tackle for 2 yards (tackle by Kaden Elliss and David Onyemata),0.61,0.33,11.0,2022,159
3.0,9:45,2.0,8.0,LAR 27,14.0,17.0,Matthew Stafford pass incomplete deep right intended for Ben Skowronek,0.33,-0.36,11.0,2022,159
3.0,9:38,3.0,8.0,LAR 27,14.0,17.0,Matthew Stafford sacked by and Demario Davis for -9 yards and Tanoh Kpassagnon for -9 yards,-0.36,-2.24,11.0,2022,159
3.0,8:50,4.0,17.0,LAR 18,14.0,17.0,"Riley Dixon punts 40 yards, returned by Rashid Shaheed for no gain (tackle by Justin Hollins and Christian Rozeboom). Penalty on Justin Evans: Offensive Holding, 10 yards (accepted)",-2.24,-1.07,11.0,2022,159
3.0,8:40,1.0,10.0,NOR 32,14.0,17.0,Taysom Hill right tackle for 7 yards (tackle by Nick Scott),1.07,1.47,11.0,2022,159
3.0,8:04,2.0,3.0,NOR 39,14.0,17.0,Andy Dalton pass complete short middle to Taysom Hill for 8 yards (tackle by Bobby Wagner),1.47,2.06,11.0,2022,159
3.0,7:23,1.0,10.0,NOR 47,14.0,17.0,Andy Dalton sacked by Greg Gaines for -13 yards,2.06,-0.24,11.0,2022,159
3.0,6:38,2.0,23.0,NOR 34,14.0,17.0,Andy Dalton pass complete short left to Juwan Johnson for 13 yards (tackle by Jalen Ramsey and Bobby Wagner),-0.24,0.83,11.0,2022,159
3.0,5:55,3.0,10.0,NOR 47,14.0,23.0,"Andy Dalton pass complete deep middle to Chris Olave for 53 yards, touchdown",0.83,7.0,11.0,2022,159
3.0,5:47,,,LAR 15,14.0,24.0,Wil Lutz kicks extra point good,0.0,0.0,11.0,2022,159
3.0,5:47,,,NOR 35,14.0,24.0,"Wil Lutz kicks off 65 yards, touchback.",0.0,0.61,11.0,2022,159
3.0,5:47,1.0,10.0,LAR 25,14.0,24.0,Cam Akers right guard for no gain (tackle by Carl Granderson and Kaden Elliss),0.61,0.06,11.0,2022,159
3.0,5:11,2.0,10.0,LAR 25,14.0,24.0,Bryce Perkins right end for 23 yards (tackle by Tyrann Mathieu and Shy Tuttle),0.06,2.13,11.0,2022,159
3.0,4:33,1.0,10.0,LAR 48,14.0,24.0,Bryce Perkins right end for 2 yards (tackle by Jabari Zuniga),2.13,1.85,11.0,2022,159
3.0,3:56,2.0,8.0,LAR 50,14.0,24.0,Kyren Williams left guard for 7 yards (tackle by Marcus Maye),1.85,2.08,11.0,2022,159
3.0,3:21,3.0,1.0,NOR 43,14.0,24.0,Bryce Perkins right end for 7 yards (tackle by Alontae Taylor),2.08,3.18,11.0,2022,159
3.0,2:47,1.0,10.0,NOR 36,14.0,24.0,Cam Akers left guard for 2 yards (tackle by Kaden Elliss),3.18,2.91,11.0,2022,159
3.0,2:10,2.0,8.0,NOR 34,14.0,24.0,"Cam Akers right tackle for -1 yards (tackle by Kaden Elliss). Penalty on Matt Skura: Offensive Holding, 10 yards (accepted) (no play)",2.91,1.56,11.0,2022,159
3.0,1:45,2.0,18.0,NOR 44,14.0,24.0,Bryce Perkins pass complete short left to Brandon Powell for 8 yards (tackle by Carl Granderson),1.56,1.95,11.0,2022,159
3.0,0:58,3.0,10.0,NOR 36,14.0,24.0,Kyren Williams left tackle for 17 yards (tackle by Marcus Maye),1.95,4.31,11.0,2022,159
3.0,0:31,1.0,10.0,NOR 19,14.0,24.0,Bryce Perkins left end for 4 yards (tackle by Marcus Maye and Kaden Elliss),4.31,4.35,11.0,2022,159
4.0,15:00,2.0,6.0,NOR 15,14.0,24.0,Bryce Perkins pass incomplete short right intended for Tyler Higbee,4.35,3.58,11.0,2022,159
4.0,14:55,3.0,6.0,NOR 15,14.0,24.0,Bryce Perkins pass incomplete short middle intended for Kyren Williams (defended by Shy Tuttle),3.58,2.47,11.0,2022,159
4.0,14:51,4.0,6.0,NOR 15,17.0,24.0,Matt Gay 33 yard field goal good,2.47,3.0,11.0,2022,159
4.0,14:48,,,LAR 35,17.0,24.0,"Matt Gay kicks off 65 yards, touchback.",0.0,0.61,11.0,2022,159
4.0,14:48,1.0,10.0,NOR 25,17.0,24.0,Taysom Hill left guard for 11 yards (tackle by Nick Scott and Bobby Wagner),0.61,1.33,11.0,2022,159
4.0,14:08,1.0,10.0,NOR 36,17.0,24.0,Andy Dalton pass complete short left to David Johnson for 11 yards (tackle by Taylor Rapp),1.33,2.06,11.0,2022,159
4.0,13:24,1.0,10.0,NOR 47,17.0,24.0,Taysom Hill pass complete short right to Chris Olave for 14 yards (tackle by Nick Scott),2.06,2.98,11.0,2022,159
4.0,12:47,1.0,10.0,LAR 39,17.0,24.0,"Alvin Kamara right guard for no gain (tackle by Leonard Floyd and Greg Gaines). Penalty on Aaron Donald: Face Mask (15 Yards), 15 yards (accepted) (no play)",2.98,3.97,11.0,2022,159
4.0,12:27,1.0,10.0,LAR 24,17.0,24.0,Taysom Hill left guard for 8 yards (tackle by Bobby Wagner),3.97,4.65,11.0,2022,159
4.0,11:47,2.0,2.0,LAR 16,17.0,24.0,Andy Dalton pass complete short right to Jarvis Landry for 8 yards (tackle by Troy Hill),4.65,5.37,11.0,2022,159
4.0,11:07,1.0,8.0,LAR 8,17.0,24.0,Andy Dalton pass complete short left to Chris Olave for 5 yards (tackle by Troy Hill and Taylor Rapp),5.37,5.53,11.0,2022,159
4.0,10:27,2.0,3.0,LAR 3,17.0,24.0,Andy Dalton sacked by Leonard Floyd for -11 yards,5.53,3.0,11.0,2022,159
4.0,9:42,3.0,14.0,LAR 14,17.0,24.0,Andy Dalton pass complete short right to Rashid Shaheed for 8 yards (tackle by David Long),3.0,2.99,11.0,2022,159
4.0,9:09,4.0,6.0,LAR 6,17.0,27.0,Wil Lutz 25 yard field goal good,2.99,3.0,11.0,2022,159
4.0,9:06,,,NOR 35,17.0,27.0,"Wil Lutz kicks off 65 yards, touchback.",0.0,0.61,11.0,2022,159
4.0,9:06,1.0,10.0,LAR 25,17.0,27.0,Bryce Perkins pass complete short right to Allen Robinson for 17 yards (tackle by Alontae Taylor),0.61,1.73,11.0,2022,159
4.0,8:41,1.0,10.0,LAR 42,17.0,27.0,Bryce Perkins pass complete short right to Tyler Higbee for 4 yards (tackle by Kaden Elliss),1.73,1.73,11.0,2022,159
4.0,8:07,2.0,6.0,LAR 46,17.0,27.0,Cam Akers left end for 8 yards (tackle by Chris Harris),1.73,2.52,11.0,2022,159
4.0,7:24,1.0,10.0,NOR 46,17.0,27.0,Bryce Perkins pass incomplete short right intended for Ben Skowronek (defended by Kaden Elliss),2.52,1.98,11.0,2022,159
4.0,7:19,2.0,10.0,NOR 46,17.0,27.0,Cam Akers left guard for 2 yards (tackle by Kentavius Street and Carl Granderson),1.98,1.55,11.0,2022,159
4.0,6:28,3.0,8.0,NOR 44,17.0,27.0,"Penalty on LAR: Delay of Game, 5 yards (accepted) (no play)",1.55,0.89,11.0,2022,159
4.0,6:28,3.0,13.0,NOR 49,17.0,27.0,Bryce Perkins pass incomplete deep right intended for Ben Skowronek,0.89,0.0,11.0,2022,159
4.0,6:22,4.0,13.0,NOR 49,17.0,27.0,"Riley Dixon punts 41 yards, fair catch by Rashid Shaheed at NO-8",0.0,0.38,11.0,2022,159
4.0,6:16,1.0,10.0,NOR 8,17.0,27.0,Alvin Kamara left guard for 3 yards (tackle by Justin Hollins),-0.38,-0.56,11.0,2022,159
4.0,5:34,2.0,7.0,NOR 11,17.0,27.0,Andy Dalton pass complete short left to Marquez Callaway for 6 yards (tackle by Troy Hill),-0.56,-0.37,11.0,2022,159
4.0,4:54,3.0,1.0,NOR 17,17.0,27.0,Taysom Hill right guard for no gain (tackle by Bobby Wagner and Nick Scott),-0.37,-2.32,11.0,2022,159
4.0,3:50,4.0,1.0,NOR 17,17.0,27.0,"Blake Gillikin punts 51 yards, returned by Brandon Powell for -5 yards, lateral to Jalen Ramsey for no gain (tackle by Zack Baun). Penalty on Jake Gervase: Offensive Holding, 10 yards (accepted)",-2.32,-0.41,11.0,2022,159
4.0,3:36,1.0,10.0,LAR 22,17.0,27.0,Bryce Perkins right end for 3 yards (tackle by Demario Davis),0.41,0.27,11.0,2022,159
4.0,3:10,2.0,7.0,LAR 25,17.0,27.0,Bryce Perkins sacked by Carl Granderson for -9 yards,0.27,-1.87,11.0,2022,159
4.0,2:27,3.0,16.0,LAR 16,17.0,27.0,Bryce Perkins sacked by Kaden Elliss for -10 yards,-1.87,-2.49,11.0,2022,159
4.0,2:00,4.0,26.0,LAR 6,17.0,27.0,"Riley Dixon punts 60 yards, returned by Rashid Shaheed for 17 yards (tackle by Jake Gervase)",-2.49,-2.32,11.0,2022,159
4.0,1:48,1.0,10.0,LAR 49,17.0,27.0,Taysom Hill right tackle for 2 yards (tackle by Troy Hill),2.32,2.05,11.0,2022,159
4.0,1:45,,,,,,Timeout #1 by Los Angeles Rams,,,11.0,2022,159
4.0,1:45,2.0,8.0,LAR 47,17.0,27.0,Taysom Hill left tackle for 3 yards (tackle by Marquise Copeland),2.05,1.75,11.0,2022,159
4.0,1:39,,,,,,Timeout #2 by Los Angeles Rams,,,11.0,2022,159
4.0,1:39,,,,,,Timeout #1 by New Orleans Saints,,,11.0,2022,159
4.0,1:39,3.0,5.0,LAR 44,17.0,27.0,Andy Dalton pass incomplete deep right intended for Chris Olave,1.75,0.33,11.0,2022,159
4.0,1:34,4.0,5.0,LAR 44,17.0,27.0,"Penalty on Bryce Thompson: False Start, 5 yards (accepted) (no play)",0.33,0.0,11.0,2022,159
4.0,1:34,4.0,10.0,LAR 49,17.0,27.0,"Blake Gillikin punts 37 yards, returned by Brandon Powell for 14 yards (tackle by Kaden Elliss)",0.0,-0.67,11.0,2022,159
4.0,1:23,1.0,10.0,LAR 26,17.0,27.0,Bryce Perkins sacked by and Kaden Elliss for -7 yards and Carl Granderson for -7 yards,0.67,-0.87,11.0,2022,159
4.0,0:54,2.0,17.0,LAR 19,17.0,27.0,Kyren Williams right guard for 6 yards (tackle by David Onyemata),-0.87,-0.69,11.0,2022,159
4.0,0:33,3.0,11.0,LAR 25,17.0,27.0,Bryce Perkins pass complete deep middle to Tyler Higbee for 20 yards (tackle by Chris Harris),-0.69,1.93,11.0,2022,159
4.0,0:28,,,,,,Timeout #3 by Los Angeles Rams,,,11.0,2022,159
4.0,0:28,1.0,10.0,LAR 45,17.0,27.0,Bryce Perkins pass complete short left to Allen Robinson for 15 yards (tackle by Alontae Taylor and Demario Davis),1.93,2.92,11.0,2022,159
4.0,0:12,1.0,10.0,NOR 40,17.0,27.0,Bryce Perkins spiked the ball,2.92,2.37,11.0,2022,159
4.0,0:11,2.0,10.0,NOR 40,20.0,27.0,Matt Gay 58 yard field goal good,2.37,3.0,11.0,2022,159
4.0,0:06,,,,,,Timeout #2 by New Orleans Saints,,,11.0,2022,159
4.0,0:06,,,LAR 35,20.0,27.0,"Matt Gay kicks onside 9 yards, returned by Jarvis Landry for no gain",0.0,2.65,11.0,2022,159
4.0,0:05,1.0,10.0,LAR 44,20.0,27.0,Andy Dalton kneels for -1 yards,2.65,1.98,11.0,2022,159
