Quarter,Time,Down,ToGo,Location,KAN,LAC,Detail,EPB,EPA,week,year,game_id
1.0,9:33,,,KAN 15,3.0,7.0,Cameron Dicker kicks extra point good,0.0,0.0,11.0,2022,163
1.0,9:33,,,LAC 35,3.0,7.0,"Cameron Dicker kicks off 65 yards, touchback.",0.0,0.61,11.0,2022,163
1.0,9:33,1.0,10.0,KAN 25,3.0,7.0,Patrick Mahomes pass complete short middle to Travis Kelce for 27 yards (tackle by Asante Samuel),0.61,2.39,11.0,2022,163
1.0,8:53,1.0,10.0,LAC 48,3.0,7.0,Patrick Mahomes pass complete short middle to Skyy Moore for 8 yards (tackle by Bryce Callahan and Nasir Adderley),2.39,2.93,11.0,2022,163
1.0,8:20,2.0,2.0,LAC 40,3.0,7.0,Clyde Edwards-Helaire right tackle for 3 yards (tackle by Breiden Fehoko),2.93,3.12,11.0,2022,163
1.0,7:34,,,,,,Timeout #1 by Kansas City Chiefs,,,11.0,2022,163
1.0,7:34,1.0,10.0,LAC 37,3.0,7.0,Patrick Mahomes pass complete short middle to Travis Kelce for 1 yard (tackle by Breiden Fehoko),3.12,2.71,11.0,2022,163
1.0,6:51,2.0,9.0,LAC 36,3.0,7.0,"Patrick Mahomes scrambles right end for 2 yards. Patrick Mahomes fumbles (forced by Sebastian Joseph-Day), recovered by Patrick Mahomes at LAC-34",2.71,2.28,11.0,2022,163
1.0,6:08,3.0,7.0,LAC 34,3.0,7.0,Patrick Mahomes pass incomplete short left intended for Marquez Valdes-Scantling,2.28,1.06,11.0,2022,163
1.0,6:03,4.0,7.0,LAC 34,6.0,7.0,Harrison Butker 52 yard field goal good,1.06,3.0,11.0,2022,163
1.0,5:58,,,KAN 35,6.0,7.0,"Harrison Butker kicks off 65 yards, touchback.",0.0,0.61,11.0,2022,163
1.0,5:58,1.0,10.0,LAC 25,6.0,7.0,Austin Ekeler right guard for 7 yards (tackle by Chris Jones and Leo Chenal),0.61,1.01,11.0,2022,163
1.0,5:24,2.0,3.0,LAC 32,6.0,7.0,Austin Ekeler right end for 1 yard (tackle by Nick Bolton),1.01,0.43,11.0,2022,163
1.0,4:43,3.0,2.0,LAC 33,6.0,7.0,Justin Herbert pass complete short right to Mike Williams for 15 yards (tackle by L'Jarius Sneed),0.43,2.13,11.0,2022,163
1.0,4:26,1.0,10.0,LAC 48,6.0,7.0,Austin Ekeler right guard for 8 yards (tackle by Khalen Saunders and Nick Bolton),2.13,2.66,11.0,2022,163
1.0,3:55,2.0,2.0,KAN 44,6.0,7.0,Justin Herbert pass complete short right to Josh Palmer for 11 yards (tackle by Joshua Williams),2.66,3.38,11.0,2022,163
1.0,3:25,1.0,10.0,KAN 33,6.0,7.0,Austin Ekeler right tackle for 5 yards (tackle by Willie Gay and Michael Danna),3.38,3.51,11.0,2022,163
1.0,2:48,2.0,5.0,KAN 28,6.0,7.0,Justin Herbert pass incomplete deep middle intended for Josh Palmer,3.51,2.81,11.0,2022,163
1.0,2:43,3.0,5.0,KAN 28,6.0,7.0,Justin Herbert pass incomplete short left intended for Keenan Allen,2.81,1.63,11.0,2022,163
1.0,2:39,4.0,5.0,KAN 28,6.0,10.0,Cameron Dicker 46 yard field goal good,1.63,3.0,11.0,2022,163
1.0,2:35,,,LAC 35,6.0,10.0,"Cameron Dicker kicks off 65 yards, touchback.",0.0,0.61,11.0,2022,163
1.0,2:35,1.0,10.0,KAN 25,6.0,10.0,"Isiah Pacheco for 3 yards (tackle by Drue Tranquill). Penalty on Kadarius Toney: Illegal Crackback, 14 yards (accepted)",0.61,-0.53,11.0,2022,163
1.0,2:06,1.0,21.0,KAN 14,6.0,10.0,Patrick Mahomes pass incomplete short right intended for Kadarius Toney,-0.53,-1.54,11.0,2022,163
1.0,2:05,2.0,21.0,KAN 14,6.0,10.0,Patrick Mahomes pass complete short right to Justin Watson for 13 yards (tackle by Nasir Adderley),-1.54,-0.36,11.0,2022,163
1.0,1:23,3.0,8.0,KAN 27,6.0,10.0,Patrick Mahomes pass complete short left to Travis Kelce for 34 yards (tackle by Bryce Callahan),-0.36,2.98,11.0,2022,163
1.0,0:39,1.0,10.0,LAC 39,6.0,10.0,Jerick McKinnon left tackle for 5 yards (tackle by Derrek Tuszka),2.98,3.12,11.0,2022,163
1.0,0:10,2.0,5.0,LAC 34,6.0,10.0,"Patrick Mahomes scrambles left end for no gain (tackle by Derrek Tuszka). Penalty on Creed Humphrey: Offensive Holding, 10 yards (accepted) (no play)",3.12,1.77,11.0,2022,163
2.0,15:00,2.0,15.0,LAC 44,6.0,10.0,Patrick Mahomes pass complete deep right to Jody Fortson for 40 yards (tackle by Bryce Callahan),1.77,6.28,11.0,2022,163
2.0,14:18,,,,,,Timeout #1 by Los Angeles Chargers,,,11.0,2022,163
2.0,14:18,1.0,4.0,LAC 4,12.0,10.0,"Patrick Mahomes pass complete short left to Travis Kelce for 4 yards, touchdown",6.28,7.0,11.0,2022,163
2.0,14:13,,,LAC 15,13.0,10.0,Harrison Butker kicks extra point good,0.0,0.0,11.0,2022,163
2.0,14:13,,,KAN 35,13.0,10.0,"Harrison Butker kicks off 65 yards, returned by DeAndre Carter for 33 yards (tackle by Nazeeh Johnson)",0.0,1.14,11.0,2022,163
2.0,14:07,1.0,10.0,LAC 33,13.0,10.0,Justin Herbert pass complete short left to Isaiah Spiller for 8 yards (tackle by Chris Jones),1.14,1.67,11.0,2022,163
2.0,13:28,2.0,2.0,LAC 41,13.0,10.0,Austin Ekeler right end for 7 yards (tackle by Trent McDuffie),1.67,2.13,11.0,2022,163
2.0,13:05,1.0,10.0,LAC 48,13.0,10.0,Justin Herbert pass complete to Josh Palmer for -2 yards (tackle by Jaylen Watson),2.13,1.31,11.0,2022,163
2.0,12:24,2.0,12.0,LAC 46,13.0,10.0,Justin Herbert pass incomplete intended for Michael Bandy (defended by Carlos Dunlap),1.31,0.63,11.0,2022,163
2.0,12:20,3.0,12.0,LAC 46,13.0,10.0,Justin Herbert sacked by Michael Danna for -8 yards,0.63,-0.85,11.0,2022,163
2.0,11:42,4.0,20.0,LAC 38,13.0,10.0,"JK Scott punts 46 yards, returned by Kadarius Toney for 5 yards (tackle by Ja'Sir Taylor and Chris Rumph)",-0.85,-0.34,11.0,2022,163
2.0,11:30,1.0,10.0,KAN 21,13.0,10.0,Isiah Pacheco left guard for 7 yards (tackle by Morgan Fox),0.34,0.75,11.0,2022,163
2.0,10:53,2.0,3.0,KAN 28,13.0,10.0,Patrick Mahomes pass incomplete short right,0.75,0.04,11.0,2022,163
2.0,10:45,3.0,3.0,KAN 28,13.0,10.0,Patrick Mahomes pass incomplete short right intended for Travis Kelce,0.04,-1.5,11.0,2022,163
2.0,10:41,4.0,3.0,KAN 28,13.0,10.0,Tommy Townsend punts 42 yards out of bounds,-1.5,-0.94,11.0,2022,163
2.0,10:34,1.0,10.0,LAC 30,13.0,10.0,Justin Herbert pass incomplete short right intended for Josh Palmer (defended by L'Jarius Sneed),0.94,0.39,11.0,2022,163
2.0,10:30,2.0,10.0,LAC 30,13.0,10.0,Austin Ekeler right tackle for 6 yards (tackle by Nick Bolton),0.39,0.5,11.0,2022,163
2.0,9:51,3.0,4.0,LAC 36,13.0,10.0,Justin Herbert pass complete short middle to Stone Smartt for 6 yards (tackle by Justin Reid),0.5,1.73,11.0,2022,163
2.0,9:14,1.0,10.0,LAC 42,13.0,10.0,Justin Herbert pass complete short left to Isaiah Spiller for 3 yards (tackle by Willie Gay and Trent McDuffie),1.73,1.59,11.0,2022,163
2.0,8:30,2.0,7.0,LAC 45,13.0,10.0,Justin Herbert pass complete deep left to DeAndre Carter for 20 yards (tackle by Jaylen Watson),1.59,3.25,11.0,2022,163
2.0,7:47,1.0,10.0,KAN 35,13.0,10.0,Justin Herbert pass complete short right to Josh Palmer for 6 yards (tackle by Joshua Williams),3.25,3.51,11.0,2022,163
2.0,7:10,2.0,4.0,KAN 29,13.0,10.0,Justin Herbert pass complete short right to Josh Palmer for 3 yards (tackle by Joshua Williams),3.51,3.2,11.0,2022,163
2.0,6:47,3.0,1.0,KAN 26,13.0,10.0,Justin Herbert up the middle for 2 yards (tackle by Frank Clark),3.2,3.97,11.0,2022,163
2.0,6:15,1.0,10.0,KAN 24,13.0,10.0,Isaiah Spiller up the middle for 11 yards (tackle by Justin Reid and Willie Gay),3.97,4.71,11.0,2022,163
2.0,5:32,1.0,10.0,KAN 13,13.0,10.0,Austin Ekeler up the middle for 6 yards (tackle by Willie Gay and Juan Thornhill),4.71,5.15,11.0,2022,163
2.0,4:55,2.0,4.0,KAN 7,13.0,10.0,Austin Ekeler left tackle for 3 yards (tackle by Juan Thornhill and Nick Bolton),5.15,5.01,11.0,2022,163
2.0,4:16,,,,,,Timeout #2 by Los Angeles Chargers,,,11.0,2022,163
2.0,4:16,,,,,,Timeout #2 by Kansas City Chiefs,,,11.0,2022,163
2.0,4:16,3.0,1.0,KAN 4,13.0,10.0,Zander Horvath right guard for 3 yards (tackle by L'Jarius Sneed),5.01,6.97,11.0,2022,163
2.0,3:35,1.0,1.0,KAN 1,13.0,16.0,"Austin Ekeler for 1 yard, touchdown",6.97,7.0,11.0,2022,163
2.0,3:31,,,KAN 15,13.0,17.0,Cameron Dicker kicks extra point good,0.0,0.0,11.0,2022,163
2.0,3:31,,,LAC 35,13.0,17.0,"Penalty on Nick Bolton: Face Mask (15 Yards), 15 yards (accepted) (no play)",0.0,-2.26,11.0,2022,163
2.0,3:31,1.0,10.0,LAC 50,13.0,17.0,"Cameron Dicker kicks off 44 yards, returned by Isiah Pacheco for no gain",2.26,-0.38,11.0,2022,163
2.0,3:30,1.0,10.0,KAN 6,13.0,17.0,Isiah Pacheco right guard for 5 yards (tackle by Khalil Mack and Drue Tranquill),-0.38,-0.42,11.0,2022,163
2.0,2:56,2.0,5.0,KAN 11,13.0,17.0,Patrick Mahomes pass incomplete short left intended for Marquez Valdes-Scantling,-0.42,-0.84,11.0,2022,163
2.0,2:52,3.0,5.0,KAN 11,13.0,17.0,Patrick Mahomes pass incomplete short left intended for Travis Kelce,-0.84,-2.49,11.0,2022,163
2.0,2:49,4.0,5.0,KAN 11,13.0,17.0,"Tommy Townsend punts 50 yards, fair catch by DeAndre Carter at LAC-39",-2.49,-1.53,11.0,2022,163
2.0,2:41,1.0,10.0,LAC 39,13.0,17.0,Justin Herbert pass complete short left to Keenan Allen for 11 yards (tackle by Nick Bolton),1.53,2.26,11.0,2022,163
2.0,2:12,1.0,10.0,LAC 50,13.0,17.0,Austin Ekeler left end for 3 yards (tackle by Trent McDuffie),2.26,2.12,11.0,2022,163
2.0,2:00,2.0,7.0,KAN 47,13.0,17.0,Austin Ekeler up the middle for no gain (tackle by Michael Danna and Nick Bolton),2.12,1.42,11.0,2022,163
2.0,1:20,3.0,7.0,KAN 47,13.0,17.0,Justin Herbert scrambles for 5 yards (tackle by Nick Bolton),1.42,3.78,11.0,2022,163
2.0,1:13,1.0,10.0,KAN 27,13.0,17.0,"Penalty on Nick Bolton: Unnecessary Roughness / Defense, 15 yards (accepted) (no play)",3.78,3.78,11.0,2022,163
2.0,1:13,1.0,10.0,KAN 27,13.0,17.0,Justin Herbert pass complete short middle to Josh Palmer for 16 yards (tackle by Bryan Cook),3.78,4.84,11.0,2022,163
2.0,0:55,1.0,10.0,KAN 11,13.0,17.0,Austin Ekeler left end for 9 yards (tackle by Bryan Cook),4.84,5.85,11.0,2022,163
2.0,0:37,,,,,,Timeout #3 by Kansas City Chiefs,,,11.0,2022,163
2.0,0:37,2.0,1.0,KAN 2,13.0,17.0,Austin Ekeler right end for -1 yards (tackle by L'Jarius Sneed and Joshua Williams),5.85,4.89,11.0,2022,163
2.0,0:22,,,,,,Timeout #3 by Los Angeles Chargers,,,11.0,2022,163
2.0,0:22,3.0,2.0,KAN 3,13.0,17.0,Justin Herbert pass incomplete short middle intended for Keenan Allen (defended by L'Jarius Sneed),4.89,3.05,11.0,2022,163
2.0,0:17,4.0,2.0,KAN 3,13.0,20.0,Cameron Dicker 21 yard field goal good,3.05,3.0,11.0,2022,163
2.0,0:14,,,LAC 35,13.0,20.0,"Cameron Dicker kicks off 48 yards, returned by Michael Burton for 20 yards (tackle by Derrek Tuszka and Ja'Sir Taylor)",0.0,1.4,11.0,2022,163
2.0,0:06,1.0,10.0,KAN 37,13.0,20.0,Patrick Mahomes pass incomplete short right intended for Skyy Moore,1.4,0.86,11.0,2022,163
2.0,0:03,2.0,10.0,KAN 37,13.0,20.0,Patrick Mahomes pass complete deep left to Justin Watson for 29 yards (tackle by Asante Samuel),0.86,3.31,11.0,2022,163
3.0,15:00,,,KAN 35,13.0,20.0,"Harrison Butker kicks off 65 yards, returned by DeAndre Carter for 21 yards (tackle by Joshua Williams and Jack Cochrane). Penalty on Nick Niemann: Offensive Holding, 10 yards (declined) . Penalty on Deane Leonard: Offensive Holding, 10 yards (accepted)",0.0,-0.37,11.0,2022,163
3.0,14:54,1.0,10.0,LAC 11,13.0,20.0,Austin Ekeler right tackle for 4 yards (tackle by L'Jarius Sneed),-0.37,-0.43,11.0,2022,163
3.0,14:23,2.0,6.0,LAC 15,13.0,20.0,Justin Herbert pass complete short left to Josh Palmer for 16 yards (tackle by Trent McDuffie and Nick Bolton),-0.43,1.0,11.0,2022,163
3.0,13:46,1.0,10.0,LAC 31,13.0,20.0,Justin Herbert pass complete to DeAndre Carter for 5 yards (tackle by Willie Gay),1.0,1.14,11.0,2022,163
3.0,13:01,2.0,5.0,LAC 36,13.0,20.0,Isaiah Spiller right end for -2 yards (tackle by Willie Gay and Joshua Williams),1.14,0.17,11.0,2022,163
3.0,12:15,3.0,7.0,LAC 34,13.0,20.0,"Penalty on Trey Pipkins: False Start, 5 yards (accepted) (no play)",0.17,-0.49,11.0,2022,163
3.0,12:15,3.0,12.0,LAC 29,13.0,20.0,Justin Herbert sacked by Michael Danna for -9 yards,-0.49,-2.03,11.0,2022,163
3.0,11:21,4.0,21.0,LAC 20,13.0,20.0,"JK Scott punts 49 yards, returned by Skyy Moore for 2 yards (tackle by Nick Niemann and Alohi Gilman)",-2.03,-1.14,11.0,2022,163
3.0,11:12,1.0,10.0,KAN 33,13.0,20.0,Isiah Pacheco right end for 18 yards (tackle by Drue Tranquill),1.14,2.32,11.0,2022,163
3.0,10:56,1.0,10.0,LAC 49,13.0,20.0,Isiah Pacheco right end for 9 yards (tackle by Drue Tranquill),2.32,3.0,11.0,2022,163
3.0,10:25,2.0,1.0,LAC 40,13.0,20.0,Isiah Pacheco right end for 8 yards (tackle by Morgan Fox),3.0,3.45,11.0,2022,163
3.0,9:54,1.0,10.0,LAC 32,13.0,20.0,Isiah Pacheco left tackle for 4 yards (tackle by Bryce Callahan),3.45,3.44,11.0,2022,163
3.0,9:08,2.0,6.0,LAC 28,13.0,20.0,"Patrick Mahomes pass incomplete short left intended for Marquez Valdes-Scantling. Penalty on Kyle Van Noy: Defensive Offside, 5 yards (accepted) (no play)",3.44,4.12,11.0,2022,163
3.0,9:01,2.0,1.0,LAC 23,13.0,20.0,Jerick McKinnon left tackle for 4 yards (tackle by Sebastian Joseph-Day and Derwin James),4.12,4.31,11.0,2022,163
3.0,8:27,1.0,10.0,LAC 19,13.0,20.0,Jerick McKinnon left guard for 7 yards (tackle by Troy Reeder),4.31,4.92,11.0,2022,163
3.0,7:50,2.0,3.0,LAC 12,13.0,20.0,Jerick McKinnon left guard for 2 yards (tackle by Drue Tranquill),4.92,4.69,11.0,2022,163
3.0,7:13,3.0,1.0,LAC 10,13.0,20.0,Isiah Pacheco up the middle for -1 yards (tackle by Morgan Fox and Joe Gaziano),4.69,2.82,11.0,2022,163
3.0,6:25,4.0,2.0,LAC 11,16.0,20.0,Harrison Butker 30 yard field goal good,2.82,3.0,11.0,2022,163
3.0,6:22,,,KAN 35,16.0,20.0,"Harrison Butker kicks off 65 yards, touchback.",0.0,0.61,11.0,2022,163
3.0,6:22,1.0,10.0,LAC 25,16.0,20.0,Justin Herbert pass incomplete short right,0.61,0.06,11.0,2022,163
3.0,6:18,2.0,10.0,LAC 25,16.0,20.0,Justin Herbert pass complete short right to Keenan Allen for 9 yards (tackle by Nick Bolton),0.06,0.56,11.0,2022,163
3.0,5:46,3.0,1.0,LAC 34,16.0,20.0,Austin Ekeler right end for no gain (tackle by Justin Reid and Willie Gay),0.56,-1.11,11.0,2022,163
3.0,4:53,4.0,1.0,LAC 34,16.0,20.0,JK Scott punts 52 yards downed by Zander Horvath,-1.11,0.28,11.0,2022,163
3.0,4:45,1.0,10.0,KAN 14,16.0,20.0,Patrick Mahomes sacked by Derwin James for -7 yards,-0.28,-1.29,11.0,2022,163
3.0,4:02,2.0,17.0,KAN 7,16.0,20.0,Patrick Mahomes pass incomplete deep right intended for Noah Gray (defended by Troy Reeder),-1.29,-2.24,11.0,2022,163
3.0,3:57,3.0,17.0,KAN 7,16.0,20.0,Patrick Mahomes pass complete to Justin Watson for 25 yards (tackle by Derwin James),-2.24,1.07,11.0,2022,163
3.0,3:21,1.0,10.0,KAN 32,16.0,20.0,Patrick Mahomes pass complete short right to Noah Gray for 12 yards (tackle by Drue Tranquill),1.07,1.86,11.0,2022,163
3.0,2:45,1.0,10.0,KAN 44,16.0,20.0,Patrick Mahomes pass incomplete deep left intended for Marquez Valdes-Scantling,1.86,1.32,11.0,2022,163
3.0,2:37,2.0,10.0,KAN 44,16.0,20.0,Isiah Pacheco up the middle for 3 yards (tackle by Joe Gaziano and Sebastian Joseph-Day),1.32,1.03,11.0,2022,163
3.0,1:57,3.0,7.0,KAN 47,16.0,20.0,Patrick Mahomes pass complete to Skyy Moore for 15 yards (tackle by Nasir Adderley),1.03,3.05,11.0,2022,163
3.0,1:21,1.0,10.0,LAC 38,16.0,20.0,Jerick McKinnon right tackle for 6 yards (tackle by Derwin James and Nasir Adderley),3.05,3.32,11.0,2022,163
3.0,0:42,2.0,4.0,LAC 32,16.0,20.0,Jerick McKinnon left guard for no gain (tackle by Derrek Tuszka),3.32,2.61,11.0,2022,163
4.0,15:00,3.0,4.0,LAC 32,22.0,20.0,"Patrick Mahomes pass complete short right to Travis Kelce for 32 yards, touchdown",2.61,7.0,11.0,2022,163
4.0,14:50,,,LAC 15,23.0,20.0,Harrison Butker kicks extra point good,0.0,0.0,11.0,2022,163
4.0,14:50,,,KAN 35,23.0,20.0,"Harrison Butker kicks off 65 yards, touchback.",0.0,0.61,11.0,2022,163
4.0,14:50,1.0,10.0,LAC 25,23.0,20.0,Austin Ekeler right end for 9 yards (tackle by L'Jarius Sneed),0.61,1.28,11.0,2022,163
4.0,14:10,2.0,1.0,LAC 34,23.0,20.0,Isaiah Spiller up the middle for no gain (tackle by Carlos Dunlap),1.28,0.56,11.0,2022,163
4.0,13:26,3.0,1.0,LAC 34,23.0,20.0,Sony Michel right guard for 1 yard (tackle by Nick Bolton and Willie Gay),0.56,1.27,11.0,2022,163
4.0,12:45,1.0,10.0,LAC 35,23.0,20.0,Justin Herbert pass complete short middle to Austin Ekeler for 6 yards (tackle by Nick Bolton),1.27,1.53,11.0,2022,163
4.0,12:00,2.0,4.0,LAC 41,23.0,20.0,Austin Ekeler up the middle for 3 yards (tackle by Leo Chenal and Khalen Saunders),1.53,1.22,11.0,2022,163
4.0,11:28,3.0,1.0,LAC 44,23.0,20.0,Justin Herbert up the middle for 2 yards (tackle by Khalen Saunders),1.22,1.99,11.0,2022,163
4.0,10:53,1.0,10.0,LAC 46,23.0,20.0,Justin Herbert pass complete short left to Austin Ekeler for 11 yards (tackle by Willie Gay),1.99,2.72,11.0,2022,163
4.0,10:18,1.0,10.0,KAN 43,23.0,20.0,"Justin Herbert pass complete short right to Keenan Allen for 11 yards. Keenan Allen fumbles (forced by Nick Bolton), recovered by Frank Clark at KC-22",2.72,-0.41,11.0,2022,163
4.0,10:09,1.0,10.0,KAN 22,23.0,20.0,Isiah Pacheco left end for no gain (tackle by Joe Gaziano),0.41,-0.13,11.0,2022,163
4.0,9:33,2.0,10.0,KAN 22,23.0,20.0,Patrick Mahomes pass complete deep middle to Skyy Moore for 18 yards (tackle by Alohi Gilman),-0.13,1.6,11.0,2022,163
4.0,8:45,1.0,10.0,KAN 40,23.0,20.0,Isiah Pacheco up the middle for 9 yards (tackle by Michael Davis),1.6,2.27,11.0,2022,163
4.0,8:15,2.0,1.0,KAN 49,23.0,20.0,Isiah Pacheco left end for 9 yards (tackle by Bryce Callahan),2.27,2.79,11.0,2022,163
4.0,7:37,1.0,10.0,LAC 42,23.0,20.0,Isiah Pacheco up the middle for 2 yards (tackle by Troy Reeder),2.79,2.51,11.0,2022,163
4.0,6:57,2.0,8.0,LAC 40,23.0,20.0,"Patrick Mahomes pass complete short right to Jerick McKinnon for -3 yards. Jerick McKinnon fumbles (forced by Troy Reeder), recovered by Alohi Gilman at LAC-36 and returned for 4 yards",2.51,-1.33,11.0,2022,163
4.0,6:47,1.0,10.0,LAC 36,23.0,20.0,Isaiah Spiller up the middle for 2 yards (tackle by Frank Clark),1.33,1.06,11.0,2022,163
4.0,6:14,2.0,8.0,LAC 38,23.0,20.0,Justin Herbert scrambles up the middle for 7 yards (tackle by Nick Bolton),1.06,1.29,11.0,2022,163
4.0,5:53,3.0,1.0,LAC 45,23.0,20.0,Justin Herbert up the middle for 1 yard (tackle by Willie Gay),1.29,1.99,11.0,2022,163
4.0,5:11,1.0,10.0,LAC 46,23.0,20.0,Justin Herbert sacked by Chris Jones for -2 yards,1.99,1.18,11.0,2022,163
4.0,4:38,2.0,12.0,LAC 44,23.0,20.0,Justin Herbert sacked by Willie Gay for -6 yards,1.18,-0.3,11.0,2022,163
4.0,3:54,3.0,18.0,LAC 38,23.0,20.0,Justin Herbert pass complete deep right to Keenan Allen for 46 yards (tackle by Joshua Williams),-0.3,4.51,11.0,2022,163
4.0,3:06,1.0,10.0,KAN 16,23.0,20.0,Austin Ekeler left tackle for 3 yards (tackle by Nick Bolton and Trent McDuffie),4.51,4.39,11.0,2022,163
4.0,2:26,2.0,7.0,KAN 13,23.0,20.0,Austin Ekeler for 9 yards (tackle by Bryan Cook),4.39,6.28,11.0,2022,163
4.0,2:00,1.0,4.0,KAN 4,23.0,20.0,Justin Herbert pass complete short middle to Justin Herbert for -2 yards (tackle by Chris Jones),6.28,4.95,11.0,2022,163
4.0,1:50,,,,,,Timeout #1 by Kansas City Chiefs,,,11.0,2022,163
4.0,1:50,2.0,6.0,KAN 6,23.0,26.0,"Justin Herbert pass complete short left to Josh Palmer for 6 yards, touchdown",4.95,7.0,11.0,2022,163
4.0,1:46,,,KAN 15,23.0,27.0,Cameron Dicker kicks extra point good,0.0,0.0,11.0,2022,163
4.0,1:46,,,LAC 35,23.0,27.0,"Cameron Dicker kicks off 65 yards, touchback.",0.0,0.61,11.0,2022,163
4.0,1:46,1.0,10.0,KAN 25,23.0,27.0,Patrick Mahomes pass complete deep right to Marquez Valdes-Scantling for 18 yards (tackle by Bryce Callahan),0.61,1.8,11.0,2022,163
4.0,1:27,1.0,10.0,KAN 43,23.0,27.0,Patrick Mahomes scrambles left end for 6 yards (tackle by Derwin James),1.8,2.06,11.0,2022,163
4.0,1:18,2.0,4.0,KAN 49,23.0,27.0,Patrick Mahomes pass incomplete short right,2.06,1.35,11.0,2022,163
4.0,1:05,3.0,4.0,KAN 49,23.0,27.0,"Patrick Mahomes pass incomplete deep right intended for Justin Watson. Penalty on Derwin James: Defensive Holding, 5 yards (accepted) (no play)",1.35,2.52,11.0,2022,163
4.0,1:05,1.0,10.0,LAC 46,23.0,27.0,Patrick Mahomes pass complete short right to Skyy Moore for 13 yards (tackle by Asante Samuel),2.52,3.38,11.0,2022,163
4.0,0:44,1.0,10.0,LAC 33,23.0,27.0,Patrick Mahomes scrambles up the middle for 16 yards (tackle by JT Woods),3.38,4.44,11.0,2022,163
4.0,0:37,,,,,,Timeout #2 by Kansas City Chiefs,,,11.0,2022,163
4.0,0:37,1.0,10.0,LAC 17,29.0,27.0,"Patrick Mahomes pass complete short left to Travis Kelce for 17 yards, touchdown",4.44,7.0,11.0,2022,163
4.0,0:31,,,LAC 15,30.0,27.0,Harrison Butker kicks extra point good,0.0,0.0,11.0,2022,163
4.0,0:31,,,KAN 35,30.0,27.0,"Harrison Butker kicks off 65 yards, touchback.",0.0,0.61,11.0,2022,163
4.0,0:31,1.0,10.0,LAC 25,30.0,27.0,Justin Herbert sacked by Chris Jones for -5 yards,0.61,-0.61,11.0,2022,163
4.0,0:26,,,,,,Timeout #1 by Los Angeles Chargers,,,11.0,2022,163
4.0,0:26,2.0,15.0,LAC 20,30.0,27.0,Justin Herbert pass (defended by Deon Bush) intended for Keenan Allen is intercepted by Nick Bolton at LAC-42 and returned for no gain,-0.61,-2.79,11.0,2022,163
4.0,0:16,1.0,10.0,LAC 42,30.0,27.0,Patrick Mahomes kneels for -1 yards,2.79,2.11,11.0,2022,163
