Quarter,Time,Down,ToGo,Location,PHI,IND,Detail,EPB,EPA,week,year,game_id
2.0,1:43,1.0,10.0,IND 45,3.0,7.0,Matt Ryan pass complete short middle to Parris Campbell for 13 yards (tackle by Josiah Scott),1.93,2.79,11.0,2022,158
2.0,1:23,1.0,10.0,PHI 42,3.0,7.0,Matt Ryan pass complete short left to Deon Jackson for -4 yards (tackle by T.J. Edwards),2.79,1.7,11.0,2022,158
2.0,0:57,2.0,14.0,PHI 46,3.0,7.0,Deon Jackson left tackle for 7 yards (tackle by Josh Sweat),1.7,1.95,11.0,2022,158
2.0,0:22,3.0,7.0,PHI 39,3.0,7.0,Matt Ryan pass complete short right to Alec Pierce for 6 yards (tackle by Darius Slay),1.95,1.21,11.0,2022,158
2.0,0:18,4.0,1.0,PHI 33,3.0,10.0,Chase McLaughlin 51 yard field goal good,1.21,3.0,11.0,2022,158
2.0,0:13,,,IND 35,3.0,10.0,"Chase McLaughlin kicks off 65 yards, touchback.",0.0,0.61,11.0,2022,158
2.0,0:13,1.0,10.0,PHI 25,3.0,10.0,Jalen Hurts kneels for -1 yards,0.61,-0.07,11.0,2022,158
3.0,15:00,,,IND 35,3.0,10.0,"Chase McLaughlin kicks off 65 yards, touchback.",0.0,0.61,11.0,2022,158
3.0,15:00,1.0,10.0,PHI 25,3.0,10.0,"Jalen Hurts sacked by Yannick Ngakoue for -3 yards. Jalen Hurts fumbles (forced by Yannick Ngakoue), recovered by Grover Stewart at PHI-22",0.61,-4.11,11.0,2022,158
3.0,14:49,1.0,10.0,PHI 22,3.0,10.0,Jonathan Taylor left tackle for 1 yard (tackle by Josh Sweat and Javon Hargrave),4.11,3.7,11.0,2022,158
3.0,14:14,2.0,9.0,PHI 21,3.0,10.0,"Penalty on Will Fries: False Start, 5 yards (accepted) (no play)",3.7,3.02,11.0,2022,158
3.0,14:01,2.0,14.0,PHI 26,3.0,10.0,Matt Ryan pass complete short left to Jonathan Taylor for 9 yards (tackle by T.J. Edwards),3.02,3.56,11.0,2022,158
3.0,13:23,3.0,5.0,PHI 17,3.0,10.0,"Matt Ryan pass complete short right to Parris Campbell for no gain. Parris Campbell fumbles (forced by Josiah Scott). Parris Campbell fumbles out of bounds PHI challenged the pass completion ruling, and the original play was overturned. Matt Ryan pass incomplete short right intended for Parris Campbell (defended by Josiah Scott)",3.56,2.36,11.0,2022,158
3.0,13:18,4.0,5.0,PHI 17,3.0,13.0,Chase McLaughlin 36 yard field goal good,2.36,3.0,11.0,2022,158
3.0,13:14,,,IND 35,3.0,13.0,"Chase McLaughlin kicks off 65 yards, touchback.",0.0,0.61,11.0,2022,158
3.0,13:14,1.0,10.0,PHI 25,3.0,13.0,Miles Sanders left guard for 1 yard (tackle by DeForest Buckner and Dayo Odeyingbo),0.61,0.2,11.0,2022,158
3.0,12:40,2.0,9.0,PHI 26,3.0,13.0,Jalen Hurts pass complete short left to DeVonta Smith for 24 yards (tackle by Isaiah Rodgers),0.2,2.26,11.0,2022,158
3.0,12:13,1.0,10.0,PHI 50,3.0,13.0,"Jalen Hurts pass complete to A.J. Brown for no gain. Penalty on Lane Johnson: Offensive Holding, 10 yards (accepted) (no play)",2.26,1.6,11.0,2022,158
3.0,11:46,1.0,20.0,PHI 40,3.0,13.0,Jalen Hurts pass complete short left to DeVonta Smith for 10 yards (tackle by Bobby Okereke),1.6,1.71,11.0,2022,158
3.0,11:17,2.0,10.0,PHI 50,3.0,13.0,Jalen Hurts pass complete short left to DeVonta Smith for 9 yards (tackle by Brandon Facyson),1.71,2.21,11.0,2022,158
3.0,10:54,3.0,1.0,IND 41,3.0,13.0,Jalen Hurts up the middle for 2 yards (tackle by DeForest Buckner),2.21,2.98,11.0,2022,158
3.0,10:20,1.0,10.0,IND 39,3.0,13.0,Jalen Hurts pass complete short right to Miles Sanders for 1 yard (tackle by Kenny Moore),2.98,2.58,11.0,2022,158
3.0,9:52,2.0,9.0,IND 38,3.0,13.0,Jalen Hurts pass incomplete short right intended for DeVonta Smith (defended by Brandon Facyson),2.58,1.88,11.0,2022,158
3.0,9:48,3.0,9.0,IND 38,3.0,13.0,Jalen Hurts pass complete short right to Boston Scott for -1 yards (tackle by Rodney McLeod),1.88,0.66,11.0,2022,158
3.0,9:05,4.0,10.0,IND 39,3.0,13.0,Jalen Hurts sacked by Ifeadi Odenigbo for -8 yards. Jalen Hurts fumbles (forced by Ifeadi Odenigbo). Jalen Hurts fumbles out of bounds,0.66,-2.06,11.0,2022,158
3.0,8:56,1.0,10.0,IND 47,3.0,13.0,Matt Ryan sacked by and Linval Joseph for -6 yards and Ndamukong Suh for -6 yards,2.06,0.71,11.0,2022,158
