Quarter,Time,Down,ToGo,Location,CHI,ATL,Detail,EPB,EPA,week,year,game_id
1.0,0:16,4.0,6.0,CHI 33,7.0,7.0,"Trenton Gill punts, returned by Avery Williams for 13 yards (tackle by Ryan Griffin) Replay Assistant challenged the runner was down by contact ruling, and the original play was overturned. Trenton Gill punts 40 yards, returned by Avery Williams for 13 yards. Avery Williams fumbles (forced by DeAndre Houston-Carson), recovered by Jack Sanborn at ATL-41",-1.18,2.85,11.0,2022,156
1.0,0:02,1.0,10.0,ATL 41,7.0,7.0,Justin Fields pass complete short right to Darnell Mooney for 5 yards (tackle by Darren Hall),2.85,2.98,11.0,2022,156
2.0,15:00,2.0,5.0,ATL 36,7.0,7.0,Justin Fields scrambles left guard for 8 yards (tackle by Rashaan Evans),2.98,3.71,11.0,2022,156
2.0,14:19,1.0,10.0,ATL 28,7.0,7.0,Justin Fields pass incomplete deep right,3.71,3.17,11.0,2022,156
2.0,14:13,2.0,10.0,ATL 28,7.0,7.0,"Justin Fields aborted snap, recovered by Trestan Ebner at ATL-34 (tackle by Isaiah Oliver)",3.17,1.95,11.0,2022,156
2.0,13:53,3.0,14.0,ATL 32,7.0,7.0,"Penalty on Sam Mustipher: False Start, 5 yards (accepted) (no play)",1.95,1.29,11.0,2022,156
2.0,13:34,3.0,19.0,ATL 37,7.0,7.0,Justin Fields sacked by Grady Jarrett for -8 yards,1.29,0.27,11.0,2022,156
2.0,12:52,4.0,27.0,ATL 45,7.0,7.0,"Trenton Gill punts 35 yards, fair catch by Avery Williams at ATL-10",0.27,0.38,11.0,2022,156
2.0,12:45,1.0,10.0,ATL 10,7.0,7.0,"Marcus Mariota scrambles left guard for 4 yards (tackle by Al-Quadin Muhammad and Jaquan Brisker). Penalty on Kyler Gordon: Defensive Holding, 5 yards (accepted)",-0.38,0.15,11.0,2022,156
2.0,12:21,1.0,10.0,ATL 19,7.0,7.0,Tyler Allgeier right tackle for 1 yard (tackle by Justin Jones and Kyler Gordon),0.15,-0.2,11.0,2022,156
2.0,11:50,2.0,9.0,ATL 20,7.0,7.0,Marcus Mariota pass incomplete short middle intended for Drake London,-0.2,-0.94,11.0,2022,156
2.0,11:48,3.0,9.0,ATL 20,7.0,7.0,Marcus Mariota pass incomplete short right intended for Kyle Pitts,-0.94,-2.03,11.0,2022,156
2.0,11:45,4.0,9.0,ATL 20,7.0,7.0,"Bradley Pinion punts 50 yards, fair catch by Dante Pettis at CHI-30",-2.03,-0.94,11.0,2022,156
2.0,11:37,1.0,10.0,CHI 30,7.0,7.0,David Montgomery right guard for 4 yards (tackle by Arnold Ebiketie),0.94,0.93,11.0,2022,156
2.0,11:01,2.0,6.0,CHI 34,7.0,7.0,David Montgomery right end for 15 yards (tackle by Jaylinn Hawkins and Richie Grant),0.93,2.19,11.0,2022,156
2.0,10:22,1.0,10.0,CHI 49,7.0,7.0,Justin Fields pass complete short right to Cole Kmet for 24 yards (tackle by AJ Terrell),2.19,3.78,11.0,2022,156
2.0,9:39,1.0,10.0,ATL 27,7.0,7.0,David Montgomery right guard for 2 yards (tackle by Troy Andersen and Richie Grant),3.78,3.5,11.0,2022,156
2.0,9:02,2.0,8.0,ATL 25,7.0,7.0,Justin Fields left end for 3 yards (tackle by Jaylinn Hawkins),3.5,3.2,11.0,2022,156
2.0,8:29,3.0,5.0,ATL 22,7.0,7.0,Justin Fields left end for -1 yards (tackle by Troy Andersen),3.2,1.95,11.0,2022,156
2.0,7:47,4.0,6.0,ATL 23,10.0,7.0,Cairo Santos 41 yard field goal good,1.95,3.0,11.0,2022,156
2.0,7:42,,,CHI 35,10.0,7.0,"Cairo Santos kicks off 68 yards, returned by Cordarrelle Patterson for 24 yards (tackle by Josh Blackwell)",0.0,0.34,11.0,2022,156
2.0,7:37,1.0,10.0,ATL 21,10.0,7.0,"Cordarrelle Patterson left end for 17 yards. Cordarrelle Patterson fumbles (forced by Jaquan Brisker), recovered by Jaylon Johnson at ATL-46 and returned for 17 yards (tackle by Chris Lindstrom)",0.34,-3.64,11.0,2022,156
2.0,7:24,1.0,10.0,ATL 29,10.0,7.0,Trestan Ebner left tackle for 4 yards (tackle by Rashaan Evans and AJ Terrell),3.64,3.64,11.0,2022,156
2.0,6:52,2.0,6.0,ATL 25,10.0,7.0,Justin Fields pass incomplete short right,3.64,2.94,11.0,2022,156
2.0,6:44,3.0,6.0,ATL 25,10.0,7.0,Justin Fields pass complete short right to Equanimeous St. Brown for 10 yards (tackle by Darren Hall),2.94,4.58,11.0,2022,156
2.0,6:13,1.0,10.0,ATL 15,10.0,7.0,Trestan Ebner right guard for 3 yards (tackle by Isaiah Oliver and Mykal Walker),4.58,4.45,11.0,2022,156
2.0,5:35,2.0,7.0,ATL 12,10.0,7.0,Trestan Ebner left end for 6 yards (tackle by Rashaan Evans and Arnold Ebiketie),4.45,4.9,11.0,2022,156
2.0,5:13,3.0,1.0,ATL 6,10.0,7.0,Justin Fields left guard for 2 yards (tackle by Rashaan Evans),4.9,6.28,11.0,2022,156
2.0,4:35,1.0,4.0,ATL 4,16.0,7.0,"Justin Fields left end for 4 yards, touchdown",6.28,7.0,11.0,2022,156
2.0,4:31,,,ATL 15,17.0,7.0,Cairo Santos kicks extra point good,0.0,0.0,11.0,2022,156
2.0,4:31,,,CHI 35,17.0,13.0,"Cairo Santos kicks off 68 yards, returned by Cordarrelle Patterson for 103 yards, touchdown",0.0,7.0,11.0,2022,156
2.0,4:18,,,CHI 15,17.0,14.0,Younghoe Koo kicks extra point good,0.0,0.0,11.0,2022,156
2.0,4:18,,,ATL 35,17.0,14.0,"Bradley Pinion kicks off 65 yards, touchback.",0.0,0.61,11.0,2022,156
2.0,4:18,1.0,10.0,CHI 25,17.0,14.0,Justin Fields pass complete short right to Chase Claypool for 5 yards (tackle by Darren Hall),0.61,0.74,11.0,2022,156
2.0,3:47,2.0,5.0,CHI 30,17.0,14.0,Justin Fields left tackle for 3 yards (tackle by Adetokunbo Ogundeji),0.74,0.43,11.0,2022,156
2.0,3:13,3.0,2.0,CHI 33,17.0,14.0,Justin Fields right end for 17 yards (tackle by DeAngelo Malone),0.43,2.26,11.0,2022,156
2.0,2:37,1.0,10.0,ATL 50,17.0,14.0,Trestan Ebner left end for -1 yards (tackle by Arnold Ebiketie),2.26,1.58,11.0,2022,156
2.0,2:28,,,,,,Timeout #1 by Atlanta Falcons,,,11.0,2022,156
2.0,2:28,2.0,11.0,CHI 49,17.0,14.0,Justin Fields left end for 3 yards (tackle by Rashaan Evans),1.58,1.29,11.0,2022,156
2.0,2:00,3.0,8.0,ATL 48,17.0,14.0,Justin Fields scrambles left tackle for 9 yards (tackle by Arnold Ebiketie),1.29,2.98,11.0,2022,156
2.0,1:36,1.0,10.0,ATL 39,17.0,14.0,"Justin Fields pass complete short left to David Montgomery for no gain (tackle by Mykal Walker). Penalty on Michael Schofield: Offensive Holding, 10 yards (accepted) (no play)",2.98,2.32,11.0,2022,156
2.0,1:31,1.0,20.0,ATL 49,17.0,14.0,David Montgomery left tackle for 6 yards (tackle by Jalen Dalton and Rashaan Evans),2.32,1.9,11.0,2022,156
2.0,1:26,,,,,,Timeout #2 by Atlanta Falcons,,,11.0,2022,156
2.0,1:26,2.0,14.0,ATL 43,17.0,14.0,Justin Fields scrambles right end for 5 yards (tackle by AJ Terrell),1.9,1.88,11.0,2022,156
2.0,1:20,3.0,9.0,ATL 38,17.0,14.0,Justin Fields pass incomplete short right intended for Trestan Ebner,1.88,0.72,11.0,2022,156
2.0,1:14,4.0,9.0,ATL 38,17.0,14.0,Cairo Santos 56 yard field goal no good,0.72,-1.99,11.0,2022,156
2.0,1:10,1.0,10.0,ATL 46,17.0,14.0,Marcus Mariota right tackle for 5 yards (tackle by Jack Sanborn),1.99,2.13,11.0,2022,156
2.0,0:53,2.0,5.0,CHI 49,17.0,14.0,"Marcus Mariota pass complete short left to Drake London for no gain (tackle by Jaylon Johnson). Penalty on Chuma Edoga: Illegal Use of Hands / Offense, 10 yards (accepted) (no play)",2.13,0.78,11.0,2022,156
2.0,0:48,2.0,15.0,ATL 41,17.0,14.0,Marcus Mariota pass complete short right to Kyle Pitts for 9 yards (tackle by Kyler Gordon),0.78,1.29,11.0,2022,156
2.0,0:40,,,,,,Timeout #3 by Atlanta Falcons,,,11.0,2022,156
2.0,0:40,3.0,6.0,ATL 50,17.0,14.0,Marcus Mariota pass complete short left to Damiere Byrd for 19 yards (tackle by Jaquan Brisker),1.29,3.51,11.0,2022,156
2.0,0:24,1.0,10.0,CHI 31,17.0,14.0,Marcus Mariota spiked the ball,3.51,2.97,11.0,2022,156
2.0,0:23,2.0,10.0,CHI 31,17.0,14.0,Marcus Mariota pass complete short middle to Tyler Allgeier for 9 yards (tackle by Nicholas Morrow and Kyler Gordon),2.97,3.47,11.0,2022,156
2.0,0:04,3.0,1.0,CHI 22,17.0,14.0,Marcus Mariota spiked the ball,3.47,2.14,11.0,2022,156
2.0,0:03,4.0,1.0,CHI 22,17.0,17.0,Younghoe Koo 40 yard field goal good,2.14,3.0,11.0,2022,156
3.0,15:00,,,ATL 35,17.0,17.0,"Bradley Pinion kicks off 65 yards, touchback.",0.0,0.61,11.0,2022,156
3.0,15:00,1.0,10.0,CHI 25,17.0,17.0,Justin Fields sacked by Abdullah Anderson for -6 yards,0.61,-0.81,11.0,2022,156
3.0,14:16,2.0,16.0,CHI 19,17.0,17.0,Justin Fields pass complete short middle to Darnell Mooney for 6 yards (tackle by Mykal Walker),-0.81,-0.62,11.0,2022,156
3.0,13:36,3.0,10.0,CHI 25,17.0,17.0,Justin Fields pass incomplete short middle intended for Cole Kmet (defended by Mykal Walker),-0.62,-1.7,11.0,2022,156
3.0,13:27,4.0,10.0,CHI 25,17.0,17.0,"Trenton Gill punts 41 yards, returned by Avery Williams for 8 yards (tackle by Josh Blackwell)",-1.7,-1.73,11.0,2022,156
3.0,13:15,1.0,10.0,ATL 42,17.0,17.0,Marcus Mariota pass complete short middle to Kyle Pitts for 18 yards (tackle by Eddie Jackson),1.73,2.92,11.0,2022,156
3.0,12:47,1.0,10.0,CHI 40,17.0,17.0,Cordarrelle Patterson right guard for no gain (tackle by Trevis Gipson),2.92,2.37,11.0,2022,156
3.0,12:14,2.0,10.0,CHI 40,17.0,17.0,Marcus Mariota scrambles up the middle for no gain (tackle by Kyler Gordon),2.37,1.68,11.0,2022,156
3.0,11:30,3.0,10.0,CHI 40,17.0,17.0,Marcus Mariota pass complete short right to Cordarrelle Patterson for -2 yards (tackle by Kyler Gordon),1.68,0.46,11.0,2022,156
3.0,10:52,4.0,12.0,CHI 42,17.0,17.0,"Bradley Pinion punts 42 yards, touchback.",0.46,-0.28,11.0,2022,156
3.0,10:43,1.0,10.0,CHI 20,17.0,17.0,David Montgomery right end for 5 yards (tackle by Troy Andersen and Mykal Walker),0.28,0.41,11.0,2022,156
3.0,10:09,2.0,5.0,CHI 25,17.0,17.0,David Montgomery left guard for 5 yards (tackle by Troy Andersen),0.41,0.94,11.0,2022,156
3.0,9:29,1.0,10.0,CHI 30,17.0,17.0,"Penalty on Michael Schofield: False Start, 5 yards (accepted) (no play)",0.94,0.61,11.0,2022,156
3.0,9:16,1.0,15.0,CHI 25,17.0,17.0,David Montgomery left guard for 1 yard (tackle by Abdullah Anderson),0.61,-0.15,11.0,2022,156
3.0,8:37,2.0,14.0,CHI 26,17.0,17.0,Justin Fields pass complete short middle to David Montgomery for 13 yards (tackle by Rashaan Evans and Mykal Walker),-0.15,0.89,11.0,2022,156
3.0,8:05,3.0,1.0,CHI 39,17.0,17.0,David Montgomery right end for 2 yards (tackle by Darren Hall),0.89,1.66,11.0,2022,156
3.0,7:28,1.0,10.0,CHI 41,17.0,17.0,Trestan Ebner left end for -3 yards (tackle by Mykal Walker),1.66,0.72,11.0,2022,156
3.0,6:52,2.0,13.0,CHI 38,17.0,17.0,Justin Fields sacked by Lorenzo Carter for -2 yards,0.72,-0.23,11.0,2022,156
3.0,6:12,3.0,15.0,CHI 36,17.0,17.0,Justin Fields sacked by Arnold Ebiketie for -9 yards,-0.23,-1.57,11.0,2022,156
3.0,5:28,4.0,24.0,CHI 27,17.0,17.0,"Trenton Gill punts 44 yards, returned by Avery Williams for 10 yards (tackle by Ryan Griffin and Joe Thomas)",-1.57,-1.53,11.0,2022,156
3.0,5:15,1.0,10.0,ATL 39,17.0,17.0,Marcus Mariota pass complete short right to MyCole Pruitt for 17 yards (tackle by Eddie Jackson),1.53,2.65,11.0,2022,156
3.0,4:37,1.0,10.0,CHI 44,17.0,17.0,Olamide Zaccheaus right end for 13 yards (tackle by Jaquan Brisker),2.65,3.51,11.0,2022,156
3.0,3:57,1.0,10.0,CHI 31,17.0,17.0,Tyler Allgeier right end for 4 yards (tackle by Jack Sanborn),3.51,3.51,11.0,2022,156
3.0,3:14,2.0,6.0,CHI 27,17.0,17.0,Marcus Mariota right end for -2 yards (tackle by Nicholas Morrow),3.51,2.54,11.0,2022,156
3.0,2:41,3.0,8.0,CHI 29,17.0,17.0,"Marcus Mariota pass incomplete deep right intended for MyCole Pruitt. Penalty on Trevis Gipson: Defensive Offside, 5 yards (declined) . Penalty on Kyler Gordon: Roughing the Passer, 15 yards (accepted) . Penalty on Marcus Mariota: Roughing the Passer, 15 yards (accepted) . Penalty on Kyler Gordon: Roughing the Passer, 15 yards (accepted) . Penalty on Marcus Mariota: Roughing the Passer, 15 yards (accepted) (no play)",2.54,4.65,11.0,2022,156
3.0,2:36,1.0,10.0,CHI 14,17.0,17.0,Cordarrelle Patterson left tackle for 4 yards (tackle by Eddie Jackson),4.65,4.71,11.0,2022,156
3.0,1:53,2.0,6.0,CHI 10,17.0,23.0,"Marcus Mariota right tackle for 10 yards, touchdown",4.71,7.0,11.0,2022,156
3.0,1:48,,,CHI 15,17.0,24.0,Younghoe Koo kicks extra point good,0.0,0.0,11.0,2022,156
3.0,1:48,,,ATL 35,17.0,24.0,"Bradley Pinion kicks off 65 yards, touchback.",0.0,0.61,11.0,2022,156
3.0,1:48,1.0,10.0,CHI 25,17.0,24.0,David Montgomery right tackle for 1 yard (tackle by Rashaan Evans and Timmy Horne),0.61,0.2,11.0,2022,156
3.0,1:13,2.0,9.0,CHI 26,17.0,24.0,Justin Fields pass complete short left to Cole Kmet for 6 yards (tackle by Isaiah Oliver),0.2,0.3,11.0,2022,156
3.0,0:31,3.0,3.0,CHI 32,17.0,24.0,Justin Fields pass complete short right to Chase Claypool for 6 yards (tackle by Richie Grant),0.3,1.47,11.0,2022,156
4.0,15:00,1.0,10.0,CHI 38,17.0,24.0,David Montgomery left tackle for 5 yards (tackle by Rashaan Evans),1.47,1.6,11.0,2022,156
4.0,14:26,2.0,5.0,CHI 43,17.0,24.0,Justin Fields left tackle for 2 yards (tackle by Arnold Ebiketie),1.6,1.16,11.0,2022,156
4.0,13:45,3.0,3.0,CHI 45,17.0,24.0,Justin Fields pass complete short left to Cole Kmet for 5 yards (tackle by AJ Terrell),1.16,2.26,11.0,2022,156
4.0,13:08,1.0,10.0,CHI 50,17.0,24.0,Justin Fields pass complete deep right to David Montgomery for 32 yards (tackle by Lorenzo Carter),2.26,4.37,11.0,2022,156
4.0,12:29,1.0,10.0,ATL 18,17.0,24.0,"David Montgomery left tackle for no gain (tackle by Darren Hall and Jaylinn Hawkins). Penalty on Byron Pringle: Offensive Holding, 10 yards (accepted) (no play)",4.37,3.71,11.0,2022,156
4.0,12:07,1.0,20.0,ATL 28,17.0,24.0,Justin Fields scrambles right tackle for 5 yards (tackle by Troy Andersen),3.71,3.15,11.0,2022,156
4.0,11:29,2.0,15.0,ATL 23,17.0,24.0,David Montgomery left tackle for 3 yards (tackle by Rashaan Evans and Abdullah Anderson),3.15,2.87,11.0,2022,156
4.0,10:46,3.0,12.0,ATL 20,17.0,24.0,Justin Fields pass complete short right to Equanimeous St. Brown for 14 yards (tackle by Darren Hall),2.87,5.83,11.0,2022,156
4.0,9:51,1.0,6.0,ATL 6,17.0,24.0,Trestan Ebner left tackle for -1 yards (tackle by DeAngelo Malone and Richie Grant),5.83,4.76,11.0,2022,156
4.0,9:15,2.0,7.0,ATL 7,17.0,24.0,David Montgomery right tackle for 2 yards (tackle by DeAngelo Malone and Timmy Horne),4.76,4.26,11.0,2022,156
4.0,8:30,3.0,5.0,ATL 5,17.0,24.0,"Justin Fields pass incomplete short left intended for Chase Claypool. Penalty on AJ Terrell: Defensive Holding, 3 yards (accepted) (no play)",4.26,6.74,11.0,2022,156
4.0,8:20,1.0,2.0,ATL 2,23.0,24.0,"David Montgomery left guard for 2 yards, touchdown",6.74,7.0,11.0,2022,156
4.0,8:16,,,ATL 15,24.0,24.0,Cairo Santos kicks extra point good,0.0,0.0,11.0,2022,156
4.0,8:16,,,CHI 35,24.0,24.0,"Trenton Gill kicks off 65 yards, touchback.",0.0,0.61,11.0,2022,156
4.0,8:16,1.0,10.0,ATL 25,24.0,24.0,Marcus Mariota scrambles left end for 2 yards (tackle by Joe Thomas),0.61,0.33,11.0,2022,156
4.0,7:35,2.0,8.0,ATL 27,24.0,24.0,Marcus Mariota pass complete short right to Damiere Byrd for 10 yards (tackle by Joe Thomas and Kindle Vildor),0.33,1.4,11.0,2022,156
4.0,6:57,1.0,10.0,ATL 37,24.0,24.0,Cordarrelle Patterson right tackle for 7 yards (tackle by Dominique Robinson and Jaquan Brisker),1.4,1.8,11.0,2022,156
4.0,6:14,2.0,3.0,ATL 44,24.0,24.0,Cordarrelle Patterson left end for 4 yards (tackle by Armon Watts),1.8,2.13,11.0,2022,156
4.0,5:31,1.0,10.0,ATL 48,24.0,24.0,Tyler Allgeier right tackle for 4 yards (tackle by Nicholas Morrow and Jaylon Johnson),2.13,2.12,11.0,2022,156
4.0,5:04,2.0,6.0,CHI 48,24.0,24.0,Cordarrelle Patterson left end for 5 yards (tackle by Jack Sanborn),2.12,2.08,11.0,2022,156
4.0,4:19,3.0,1.0,CHI 43,24.0,24.0,Cordarrelle Patterson right tackle for -1 yards (tackle by Jaquan Brisker and Matthew Adams),2.08,0.33,11.0,2022,156
4.0,3:30,4.0,2.0,CHI 44,24.0,24.0,Cordarrelle Patterson right guard for 6 yards (tackle by Jack Sanborn),0.33,3.05,11.0,2022,156
4.0,2:46,1.0,10.0,CHI 38,24.0,24.0,Tyler Allgeier right tackle for 3 yards (tackle by Jack Sanborn),3.05,2.91,11.0,2022,156
4.0,2:02,2.0,7.0,CHI 35,24.0,24.0,Tyler Allgeier left tackle for no gain (tackle by Mike Pennel and Jaquan Brisker),2.91,2.21,11.0,2022,156
4.0,1:57,3.0,7.0,CHI 35,24.0,24.0,Marcus Mariota pass incomplete deep left intended for Olamide Zaccheaus,2.21,0.97,11.0,2022,156
4.0,1:52,4.0,7.0,CHI 35,24.0,27.0,Younghoe Koo 53 yard field goal good,0.97,3.0,11.0,2022,156
4.0,1:47,,,ATL 35,24.0,27.0,"Bradley Pinion kicks off 65 yards, touchback.",0.0,0.61,11.0,2022,156
4.0,1:47,1.0,10.0,CHI 25,24.0,27.0,Justin Fields left end for 1 yard (tackle by DeAundre Alford),0.61,0.2,11.0,2022,156
4.0,1:42,,,,,,Timeout #1 by Chicago Bears,,,11.0,2022,156
4.0,1:42,2.0,9.0,CHI 26,24.0,27.0,Justin Fields left tackle for 4 yards (tackle by Grady Jarrett and Richie Grant),0.2,0.04,11.0,2022,156
4.0,1:13,3.0,5.0,CHI 30,24.0,27.0,Justin Fields pass short middle intended for David Montgomery is intercepted by Jaylinn Hawkins at CHI-40 and returned for no gain (tackle by Darnell Mooney),0.04,-2.92,11.0,2022,156
4.0,1:07,1.0,10.0,CHI 40,24.0,27.0,Tyler Allgeier left end for 4 yards (tackle by Eddie Jackson),2.92,2.91,11.0,2022,156
4.0,1:03,,,,,,Timeout #2 by Chicago Bears,,,11.0,2022,156
4.0,1:03,2.0,6.0,CHI 36,24.0,27.0,Tyler Allgeier left end for 26 yards (tackle by Eddie Jackson),2.91,4.91,11.0,2022,156
4.0,0:57,1.0,10.0,CHI 10,24.0,27.0,Marcus Mariota kneels for -1 yards,4.91,4.02,11.0,2022,156
4.0,0:55,,,,,,Timeout #3 by Chicago Bears,,,11.0,2022,156
4.0,0:55,2.0,11.0,CHI 11,24.0,27.0,Marcus Mariota kneels for -1 yards,4.02,3.1,11.0,2022,156
4.0,0:35,3.0,12.0,CHI 12,24.0,27.0,Marcus Mariota kneels for -1 yards,3.1,2.57,11.0,2022,156
