Quarter,Time,Down,ToGo,Location,CAR,BAL,Detail,EPB,EPA,week,year,game_id
2.0,3:38,1.0,10.0,BAL 10,0.0,0.0,Lamar Jackson pass complete short middle to Demarcus Robinson for 6 yards (tackle by Brandon Smith),-0.38,-0.23,11.0,2022,157
2.0,3:13,2.0,4.0,BAL 16,0.0,0.0,Justice Hill right tackle for 3 yards (tackle by Frankie Luvu),-0.23,-0.37,11.0,2022,157
2.0,2:33,3.0,1.0,BAL 19,0.0,0.0,Devin Duvernay right end for 4 yards (tackle by Shaq Thompson and Jeremy Chinn),-0.37,0.48,11.0,2022,157
2.0,2:00,1.0,10.0,BAL 23,0.0,0.0,Lamar Jackson left end for 7 yards (tackle by Sam Franklin),0.48,0.88,11.0,2022,157
2.0,1:28,2.0,3.0,BAL 30,0.0,0.0,Justice Hill right tackle for 4 yards (tackle by Frankie Luvu and Shaq Thompson),0.88,1.2,11.0,2022,157
2.0,1:08,1.0,10.0,BAL 34,0.0,0.0,Lamar Jackson pass complete short right to Justice Hill for 3 yards (tackle by Jeremy Chinn),1.2,1.06,11.0,2022,157
2.0,0:53,2.0,7.0,BAL 37,0.0,0.0,Lamar Jackson pass complete short left to Demarcus Robinson for 7 yards (tackle by C.J. Henderson),1.06,1.86,11.0,2022,157
2.0,0:45,1.0,10.0,BAL 44,0.0,0.0,Lamar Jackson pass complete short middle to Mark Andrews for 8 yards (tackle by Xavier Woods),1.86,2.4,11.0,2022,157
2.0,0:39,,,,,,Timeout #1 by Baltimore Ravens,,,11.0,2022,157
2.0,0:39,2.0,2.0,CAR 48,0.0,0.0,Lamar Jackson pass incomplete short middle intended for Isaiah Likely,2.4,1.69,11.0,2022,157
2.0,0:35,3.0,2.0,CAR 48,0.0,0.0,Lamar Jackson right end for 3 yards (tackle by Frankie Luvu),1.69,2.59,11.0,2022,157
2.0,0:28,,,,,,Timeout #2 by Baltimore Ravens,,,11.0,2022,157
2.0,0:28,1.0,10.0,CAR 45,0.0,0.0,Lamar Jackson pass complete short middle to Demarcus Robinson for 31 yards (tackle by Keith Taylor),2.59,4.65,11.0,2022,157
2.0,0:21,,,,,,Timeout #3 by Baltimore Ravens,,,11.0,2022,157
2.0,0:21,1.0,10.0,CAR 14,0.0,0.0,Lamar Jackson pass incomplete short left intended for James Proche,4.65,4.0,11.0,2022,157
2.0,0:17,2.0,10.0,CAR 14,0.0,0.0,Lamar Jackson pass incomplete intended for Isaiah Likely,4.0,3.11,11.0,2022,157
2.0,0:10,,,,,,Timeout #2 by Carolina Panthers,,,11.0,2022,157
2.0,0:10,3.0,10.0,CAR 14,0.0,0.0,Lamar Jackson pass incomplete short middle,3.11,2.51,11.0,2022,157
2.0,0:05,4.0,10.0,CAR 14,0.0,3.0,Justin Tucker 32 yard field goal good,2.51,3.0,11.0,2022,157
3.0,15:00,,,BAL 35,0.0,3.0,"Justin Tucker kicks off 42 yards, returned by Raheem Blackshear for 8 yards (tackle by Justice Hill)",0.0,1.0,11.0,2022,157
3.0,14:57,1.0,10.0,CAR 31,0.0,3.0,Baker Mayfield pass complete short middle to Ian Thomas for 4 yards (tackle by Roquan Smith),1.0,1.0,11.0,2022,157
3.0,14:23,2.0,6.0,CAR 35,0.0,3.0,D'Onta Foreman right end for no gain (tackle by Tyus Bowser),1.0,0.3,11.0,2022,157
3.0,14:00,3.0,6.0,CAR 35,0.0,3.0,Baker Mayfield pass incomplete short right intended for Ian Thomas,0.3,-1.04,11.0,2022,157
3.0,13:55,4.0,6.0,CAR 35,0.0,3.0,"Johnny Hekker punts 53 yards, returned by Devin Duvernay for no gain (tackle by Sam Franklin). Penalty on Kyle Hamilton: Offensive Holding, 6 yards (accepted)",-1.04,0.38,11.0,2022,157
3.0,13:41,1.0,10.0,BAL 6,0.0,3.0,Kenyan Drake right end for 3 yards (tackle by Frankie Luvu),-0.38,-0.56,11.0,2022,157
3.0,12:58,2.0,7.0,BAL 9,0.0,3.0,Lamar Jackson sacked by Frankie Luvu for -1 yards,-0.56,-1.19,11.0,2022,157
3.0,12:17,3.0,8.0,BAL 8,0.0,3.0,Lamar Jackson for -1 yards (tackle by Jaycee Horn),-1.19,-2.49,11.0,2022,157
3.0,11:29,4.0,9.0,BAL 7,0.0,3.0,"Jordan Stout punts 44 yards, returned by Shi Smith for -3 yards (tackle by Malik Harrison)",-2.49,-1.99,11.0,2022,157
3.0,11:22,1.0,10.0,CAR 46,0.0,3.0,D'Onta Foreman up the middle for 1 yard (tackle by Justin Houston and Broderick Washington),1.99,1.59,11.0,2022,157
3.0,10:41,2.0,9.0,CAR 47,0.0,3.0,Baker Mayfield pass incomplete short middle intended for D.J. Moore,1.59,0.89,11.0,2022,157
3.0,10:37,3.0,9.0,CAR 47,0.0,3.0,Baker Mayfield pass complete deep right to Terrace Marshall for 24 yards (tackle by Marcus Peters),0.89,3.71,11.0,2022,157
3.0,10:14,1.0,10.0,BAL 28,0.0,3.0,Baker Mayfield pass incomplete short right,3.71,3.1,11.0,2022,157
3.0,10:08,2.0,10.0,BAL 29,0.0,3.0,Baker Mayfield pass complete short left to Laviska Shenault for 2 yards (tackle by Geno Stone and Brent Urban),3.1,2.68,11.0,2022,157
