Quarter,Time,Down,ToGo,Location,LAC,ATL,Detail,EPB,EPA,week,year,game_id
1.0,5:49,1.0,9.0,LAC 9,0.0,0.0,Bijan Robinson right end for 1 yard (tackle by Tony Jefferson),5.14,4.57,13.0,2024,184
1.0,5:11,2.0,8.0,LAC 8,0.0,0.0,"Kirk Cousins pass complete short left to Bijan Robinson for no gain (tackle by Tarheeb Still). Penalty on Kristian Fulton: Defensive Holding, 4 yards (accepted) (no play)",4.57,6.28,13.0,2024,184
1.0,4:42,1.0,4.0,LAC 4,0.0,0.0,Bijan Robinson left guard for 2 yards (tackle by Tony Jefferson and Teair Tart),6.28,5.72,13.0,2024,184
1.0,4:04,2.0,2.0,LAC 2,0.0,6.0,"Bijan Robinson left end for 2 yards, touchdown",5.72,7.0,13.0,2024,184
1.0,3:59,,,LAC 15,0.0,7.0,Younghoe Koo kicks extra point good,0.0,0.0,13.0,2024,184
1.0,3:59,,,ATL 35,0.0,7.0,"Bradley Pinion kicks off 65 yards, touchback.",0.0,0.94,13.0,2024,184
1.0,3:59,1.0,10.0,LAC 30,0.0,7.0,"Justin Herbert pass complete deep left to Ladd McConkey for 48 yards. Ladd McConkey fumbles (tackle by AJ Terrell, recovered by Derius Davis at ATL-20",0.94,4.24,13.0,2024,184
1.0,3:09,1.0,10.0,ATL 20,0.0,7.0,Kimani Vidal left end for 2 yards (tackle by Justin Simmons and Demone Harris),4.24,3.96,13.0,2024,184
1.0,2:28,2.0,8.0,ATL 18,0.0,7.0,Justin Herbert sacked by Kaden Elliss for -9 yards,3.96,2.08,13.0,2024,184
1.0,1:48,3.0,17.0,ATL 27,0.0,7.0,Justin Herbert pass incomplete short middle intended for Ladd McConkey (defended by DeAundre Alford),2.08,1.67,13.0,2024,184
1.0,1:43,4.0,17.0,ATL 27,3.0,7.0,Cameron Dicker 45 yard field goal good,1.67,3.0,13.0,2024,184
1.0,1:39,,,LAC 35,3.0,7.0,"Cameron Dicker kicks off 65 yards, touchback.",0.0,0.94,13.0,2024,184
1.0,1:39,1.0,10.0,ATL 30,3.0,7.0,Kirk Cousins pass complete short right to Bijan Robinson for 11 yards (tackle by Derwin James),0.94,1.66,13.0,2024,184
1.0,0:58,1.0,10.0,ATL 41,3.0,7.0,Bijan Robinson left tackle for 7 yards (tackle by Tarheeb Still and Elijah Molden),1.66,2.07,13.0,2024,184
1.0,0:25,2.0,3.0,ATL 48,3.0,7.0,Bijan Robinson right tackle for 6 yards (tackle by Morgan Fox and Tony Jefferson),2.07,2.52,13.0,2024,184
2.0,15:00,1.0,10.0,LAC 46,3.0,7.0,Kirk Cousins pass deep left intended for Drake London is intercepted by Tarheeb Still at LAC-29 and returned for 5 yards (tackle by Tyler Allgeier),2.52,-1.2,13.0,2024,184
2.0,14:52,1.0,10.0,LAC 34,3.0,7.0,Gus Edwards right tackle for 3 yards (tackle by Nathan Landman and Kaden Elliss),1.2,1.06,13.0,2024,184
2.0,14:18,2.0,7.0,LAC 37,3.0,7.0,Justin Herbert pass complete short left to Quentin Johnston for 8 yards (tackle by Lorenzo Carter),1.06,1.93,13.0,2024,184
2.0,13:38,1.0,10.0,LAC 45,3.0,7.0,Justin Herbert pass complete deep left to Ladd McConkey for 20 yards (tackle by Jessie Bates),1.93,3.25,13.0,2024,184
2.0,13:00,1.0,10.0,ATL 35,3.0,7.0,Derius Davis left end for 3 yards (tackle by Demone Harris and Kentavius Street),3.25,3.11,13.0,2024,184
2.0,12:23,2.0,7.0,ATL 32,3.0,7.0,Justin Herbert pass complete short right to Tucker Fisk for 1 yard (tackle by Kaden Elliss),3.11,2.54,13.0,2024,184
2.0,11:50,3.0,6.0,ATL 31,3.0,7.0,Justin Herbert sacked by Arnold Ebiketie for -2 yards,2.54,1.15,13.0,2024,184
2.0,11:14,4.0,8.0,ATL 33,6.0,7.0,Cameron Dicker 51 yard field goal good,1.15,3.0,13.0,2024,184
2.0,11:08,,,LAC 35,6.0,7.0,"Cameron Dicker kicks off 65 yards, touchback.",0.0,0.94,13.0,2024,184
2.0,11:08,1.0,10.0,ATL 30,6.0,7.0,Bijan Robinson right tackle for 4 yards (tackle by Tuli Tuipulotu and Poona Ford),0.94,0.93,13.0,2024,184
2.0,10:34,2.0,6.0,ATL 34,6.0,7.0,Kirk Cousins pass complete short left to Bijan Robinson for 5 yards (tackle by Teair Tart),0.93,0.89,13.0,2024,184
2.0,9:46,3.0,1.0,ATL 39,6.0,7.0,Drake London right end for -3 yards (tackle by Derwin James),0.89,-0.98,13.0,2024,184
2.0,9:00,4.0,4.0,ATL 36,6.0,7.0,"Bradley Pinion punts 43 yards, fair catch by Derius Davis at LAC-21",-0.98,-0.34,13.0,2024,184
2.0,8:53,1.0,10.0,LAC 21,6.0,7.0,Gus Edwards left tackle for 3 yards (tackle by Grady Jarrett),0.34,0.21,13.0,2024,184
2.0,8:15,2.0,7.0,LAC 24,6.0,7.0,Justin Herbert pass complete short right to Ladd McConkey for 6 yards (tackle by DeAundre Alford),0.21,0.3,13.0,2024,184
2.0,7:31,3.0,1.0,LAC 30,6.0,7.0,Justin Herbert left guard for 2 yards (tackle by David Onyemata),0.3,1.07,13.0,2024,184
2.0,6:53,1.0,10.0,LAC 32,6.0,7.0,Kimani Vidal left tackle for 16 yards (tackle by Jessie Bates),1.07,2.13,13.0,2024,184
2.0,6:11,1.0,10.0,LAC 48,6.0,7.0,Justin Herbert pass complete short right to Ladd McConkey for -4 yards (tackle by AJ Terrell),2.13,1.04,13.0,2024,184
2.0,5:30,2.0,14.0,LAC 44,6.0,7.0,Justin Herbert pass complete short left to Ladd McConkey for 13 yards (tackle by AJ Terrell),1.04,2.08,13.0,2024,184
2.0,4:53,3.0,1.0,ATL 43,6.0,7.0,Justin Herbert left guard for 2 yards (tackle by Brandon Dorlus),2.08,2.85,13.0,2024,184
2.0,4:15,1.0,10.0,ATL 41,6.0,7.0,Justin Herbert pass complete short right to Gus Edwards for 1 yard (tackle by Arnold Ebiketie),2.85,2.44,13.0,2024,184
2.0,3:30,2.0,9.0,ATL 40,6.0,7.0,Gus Edwards right guard for 9 yards (tackle by Lorenzo Carter and Nathan Landman),2.44,3.51,13.0,2024,184
2.0,2:48,1.0,10.0,ATL 31,6.0,7.0,"Penalty on Will Dissly: False Start, 5 yards (accepted) (no play)",3.51,3.18,13.0,2024,184
2.0,2:25,1.0,15.0,ATL 36,6.0,7.0,Justin Herbert pass incomplete short left intended for Stone Smartt (defended by Justin Simmons),3.18,2.29,13.0,2024,184
2.0,2:19,2.0,15.0,ATL 36,6.0,7.0,Justin Herbert pass complete short left to Ladd McConkey for 7 yards (tackle by DeAundre Alford),2.29,2.54,13.0,2024,184
2.0,2:00,3.0,8.0,ATL 29,6.0,7.0,Justin Herbert pass complete short middle to Ladd McConkey for 13 yards (tackle by DeAundre Alford),2.54,4.51,13.0,2024,184
2.0,1:19,1.0,10.0,ATL 16,6.0,7.0,Justin Herbert sacked by Arnold Ebiketie for no gain,4.51,3.9,13.0,2024,184
2.0,1:10,,,,,,Timeout #1 by Atlanta Falcons,,,13.0,2024,184
2.0,1:10,2.0,10.0,ATL 16,6.0,7.0,Justin Herbert pass incomplete short middle intended for Will Dissly (defended by Kaden Elliss),3.9,3.08,13.0,2024,184
2.0,1:06,3.0,10.0,ATL 16,6.0,7.0,Justin Herbert pass incomplete deep right intended for Quentin Johnston (defended by Clark Phillips),3.08,2.38,13.0,2024,184
2.0,1:02,4.0,10.0,ATL 16,9.0,7.0,Cameron Dicker 34 yard field goal good,2.38,3.0,13.0,2024,184
2.0,0:58,,,LAC 35,9.0,7.0,"Cameron Dicker kicks off 65 yards, touchback.",0.0,0.94,13.0,2024,184
2.0,0:58,1.0,10.0,ATL 30,9.0,7.0,Kirk Cousins pass complete short right to Drake London for 8 yards (tackle by Derwin James),0.94,1.47,13.0,2024,184
2.0,0:52,2.0,2.0,ATL 38,9.0,7.0,Kirk Cousins pass complete short right to Darnell Mooney for 11 yards (tackle by Marcus Maye),1.47,2.19,13.0,2024,184
2.0,0:36,1.0,10.0,ATL 49,9.0,7.0,Kirk Cousins pass complete short left to Bijan Robinson for 1 yard (tackle by Daiyan Henley),2.19,1.78,13.0,2024,184
2.0,0:28,2.0,9.0,LAC 50,9.0,7.0,Kirk Cousins pass incomplete short middle intended for Ray-Ray McCloud (defended by Khalil Mack),1.78,1.09,13.0,2024,184
2.0,0:24,3.0,9.0,LAC 50,9.0,7.0,Kirk Cousins pass incomplete deep left intended for Darnell Mooney,1.09,-0.06,13.0,2024,184
2.0,0:19,4.0,9.0,LAC 50,9.0,7.0,"Bradley Pinion punts 39 yards, fair catch by Derius Davis at LAC-11",-0.06,0.37,13.0,2024,184
2.0,0:12,1.0,10.0,LAC 11,9.0,7.0,Justin Herbert kneels for -1 yards,-0.37,-0.85,13.0,2024,184
3.0,15:00,,,ATL 35,9.0,7.0,"Bradley Pinion kicks off 65 yards, touchback.",0.0,0.94,13.0,2024,184
3.0,15:00,1.0,10.0,LAC 30,9.0,7.0,Justin Herbert pass complete short middle to Josh Palmer for 11 yards (tackle by Clark Phillips),0.94,1.66,13.0,2024,184
3.0,14:24,1.0,10.0,LAC 41,9.0,7.0,Kimani Vidal left tackle for no gain (tackle by Kaden Elliss and David Onyemata),1.66,1.12,13.0,2024,184
3.0,13:42,2.0,10.0,LAC 41,9.0,7.0,Justin Herbert pass incomplete short right intended for Ladd McConkey (defended by Jessie Bates),1.12,0.43,13.0,2024,184
3.0,13:34,3.0,10.0,LAC 41,9.0,7.0,Justin Herbert pass incomplete short right intended for Quentin Johnston (defended by AJ Terrell),0.43,-0.65,13.0,2024,184
3.0,13:28,4.0,10.0,LAC 41,9.0,7.0,"JK Scott punts 48 yards, fair catch by Avery Williams at ATL-11",-0.65,0.37,13.0,2024,184
3.0,13:21,1.0,10.0,ATL 11,9.0,7.0,Tyler Allgeier right end for 4 yards (tackle by Khalil Mack),-0.37,-0.43,13.0,2024,184
3.0,12:46,2.0,6.0,ATL 15,9.0,7.0,Kirk Cousins pass complete short middle to Ray-Ray McCloud for 22 yards (tackle by Kristian Fulton and Daiyan Henley),-0.43,1.4,13.0,2024,184
3.0,12:02,1.0,10.0,ATL 37,9.0,7.0,Kirk Cousins pass incomplete short right,1.4,0.86,13.0,2024,184
3.0,11:53,2.0,10.0,ATL 37,9.0,7.0,"Kirk Cousins pass incomplete short right intended for Drake London. Penalty on Daiyan Henley: Defensive Pass Interference, 5 yards (accepted) (no play)",0.86,1.73,13.0,2024,184
3.0,11:49,1.0,10.0,ATL 42,9.0,7.0,Bijan Robinson right tackle for 4 yards (tackle by Daiyan Henley and Troy Dye),1.73,1.73,13.0,2024,184
3.0,11:12,2.0,6.0,ATL 46,9.0,7.0,Bijan Robinson right tackle for 14 yards (tackle by Daiyan Henley and Kristian Fulton),1.73,2.92,13.0,2024,184
3.0,10:35,1.0,10.0,LAC 40,9.0,7.0,Bijan Robinson right guard for 2 yards (tackle by Poona Ford),2.92,2.64,13.0,2024,184
3.0,10:00,2.0,8.0,LAC 38,9.0,7.0,"Bijan Robinson right guard for no gain (tackle by Daiyan Henley). Penalty on Joey Bosa: Defensive Offside, 5 yards (accepted) (no play)",2.64,3.32,13.0,2024,184
3.0,9:40,2.0,3.0,LAC 33,9.0,7.0,Kirk Cousins pass complete short right to Charlie Woerner for 5 yards (tackle by Marcus Maye and Deane Leonard),3.32,3.71,13.0,2024,184
3.0,8:54,1.0,10.0,LAC 28,9.0,7.0,Tyler Allgeier left guard for 3 yards (tackle by Khalil Mack and Teair Tart),3.71,3.57,13.0,2024,184
3.0,8:14,2.0,7.0,LAC 25,9.0,7.0,Tyler Allgeier left tackle for 2 yards (tackle by Troy Dye and Poona Ford),3.57,3.14,13.0,2024,184
3.0,7:34,3.0,5.0,LAC 23,9.0,7.0,Kirk Cousins pass incomplete short middle intended for Ray-Ray McCloud (defended by Poona Ford),3.14,1.98,13.0,2024,184
3.0,7:28,4.0,5.0,LAC 23,9.0,10.0,Younghoe Koo 41 yard field goal good,1.98,3.0,13.0,2024,184
3.0,7:23,,,ATL 35,9.0,10.0,"Bradley Pinion kicks off 65 yards,",0.0,0.94,13.0,2024,184
3.0,7:23,1.0,10.0,LAC 30,9.0,10.0,Justin Herbert pass complete short right to Scott Matlock for 2 yards (tackle by Clark Phillips),0.94,0.66,13.0,2024,184
3.0,6:41,2.0,8.0,LAC 32,9.0,10.0,"Penalty on Zion Johnson: False Start, 4 yards (accepted) (no play)",0.66,0.12,13.0,2024,184
3.0,6:29,2.0,12.0,LAC 28,9.0,10.0,Justin Herbert sacked by Kentavius Street for -7 yards,0.12,-1.48,13.0,2024,184
3.0,5:37,3.0,19.0,LAC 21,9.0,10.0,Justin Herbert pass complete short right to Ladd McConkey for 12 yards (tackle by Troy Andersen and DeAundre Alford),-1.48,-1.18,13.0,2024,184
3.0,5:24,4.0,7.0,LAC 33,9.0,10.0,"JK Scott punts 46 yards, returned by Avery Williams for 10 yards (tackle by Shaquille Quarterman)",-1.18,-1.0,13.0,2024,184
3.0,5:18,1.0,10.0,ATL 31,9.0,10.0,"Bijan Robinson right guard for 5 yards (tackle by Troy Dye). Penalty on Otito Ogbonnia: Defensive Holding, 5 yards (accepted)",1.0,1.66,13.0,2024,184
3.0,4:58,1.0,10.0,ATL 41,9.0,10.0,Bijan Robinson left tackle for 5 yards (tackle by Troy Dye and Otito Ogbonnia),1.66,1.8,13.0,2024,184
3.0,4:37,2.0,5.0,ATL 46,9.0,10.0,Bijan Robinson left end for 3 yards (tackle by Elijah Molden),1.8,1.49,13.0,2024,184
3.0,4:07,3.0,2.0,ATL 49,9.0,10.0,Bijan Robinson left guard for 1 yard (tackle by Troy Dye),1.49,-0.06,13.0,2024,184
3.0,3:45,4.0,1.0,ATL 50,9.0,10.0,Kirk Cousins pass complete short left to Darnell Mooney for 5 yards (tackle by Elijah Molden),-0.06,2.59,13.0,2024,184
3.0,3:11,1.0,10.0,LAC 45,9.0,10.0,Bijan Robinson left guard for 3 yards (tackle by Nick Niemann and Derwin James),2.59,2.45,13.0,2024,184
3.0,2:36,2.0,7.0,LAC 42,9.0,10.0,Bijan Robinson left tackle for 2 yards (tackle by Morgan Fox),2.45,2.01,13.0,2024,184
3.0,1:57,3.0,5.0,LAC 40,9.0,10.0,Kirk Cousins pass incomplete deep left intended for Drake London (defended by Kristian Fulton),2.01,0.59,13.0,2024,184
3.0,1:49,4.0,5.0,LAC 40,15.0,10.0,"Kirk Cousins pass short right intended for Darnell Mooney is intercepted by Tarheeb Still at LAC-39 and returned for 61 yards, touchdown",0.59,-7.0,13.0,2024,184
3.0,1:39,,,ATL 2,17.0,10.0,Two Point Attempt: Justin Herbert pass complete to to Josh Palmer for no gain,1.0,1.0,13.0,2024,184
3.0,1:39,,,LAC 35,17.0,10.0,"Cameron Dicker kicks off 65 yards, touchback.",0.0,0.94,13.0,2024,184
3.0,1:39,1.0,10.0,ATL 30,17.0,10.0,Kirk Cousins pass incomplete deep left intended for Drake London (defended by Elijah Molden),0.94,0.39,13.0,2024,184
3.0,1:33,2.0,10.0,ATL 30,17.0,10.0,Kirk Cousins pass complete short left to Ray-Ray McCloud for 60 yards (tackle by Tarheeb Still and Marcus Maye),0.39,4.91,13.0,2024,184
3.0,0:51,1.0,10.0,LAC 10,17.0,10.0,Bijan Robinson left tackle for 2 yards (tackle by Khalil Mack),4.91,4.57,13.0,2024,184
3.0,0:17,2.0,8.0,LAC 8,17.0,10.0,Kirk Cousins pass incomplete short middle intended for Drake London,4.57,3.58,13.0,2024,184
3.0,0:11,3.0,8.0,LAC 8,17.0,10.0,Kirk Cousins pass incomplete short left intended for Kyle Pitts,3.58,2.95,13.0,2024,184
3.0,0:07,4.0,8.0,LAC 8,17.0,13.0,Younghoe Koo 26 yard field goal good,2.95,3.0,13.0,2024,184
3.0,0:03,,,ATL 35,17.0,13.0,"Bradley Pinion kicks off 65 yards, touchback.",0.0,0.94,13.0,2024,184
3.0,0:03,1.0,10.0,LAC 30,17.0,13.0,Gus Edwards right end for 3 yards (tackle by Nathan Landman and Zach Harrison),0.94,0.8,13.0,2024,184
4.0,15:00,2.0,7.0,LAC 33,17.0,13.0,Justin Herbert pass complete short right to Derius Davis for 3 yards (tackle by Grady Jarrett),0.8,0.5,13.0,2024,184
4.0,14:17,3.0,4.0,LAC 36,17.0,13.0,Justin Herbert pass incomplete deep middle intended for Ladd McConkey,0.5,-0.98,13.0,2024,184
4.0,14:09,4.0,4.0,LAC 36,17.0,13.0,JK Scott pass complete short right to Stone Smartt for 3 yards (tackle by Kevin King),-0.98,-2.98,13.0,2024,184
4.0,14:04,1.0,10.0,LAC 39,17.0,13.0,Bijan Robinson right tackle for 4 yards (tackle by Poona Ford),2.98,2.98,13.0,2024,184
4.0,13:32,2.0,6.0,LAC 35,17.0,13.0,Bijan Robinson right end for 2 yards (tackle by Teair Tart),2.98,2.54,13.0,2024,184
4.0,12:50,3.0,4.0,LAC 33,17.0,13.0,Kirk Cousins pass complete short right to Drake London for 11 yards (tackle by Elijah Molden),2.54,4.11,13.0,2024,184
4.0,12:09,1.0,10.0,LAC 22,17.0,13.0,Kirk Cousins pass complete short middle to Drake London for 8 yards (tackle by Tony Jefferson),4.11,4.85,13.0,2024,184
4.0,11:34,2.0,2.0,LAC 14,17.0,13.0,Tyler Allgeier left tackle for 1 yard (tackle by Troy Dye and Derwin James),4.85,4.39,13.0,2024,184
4.0,11:00,3.0,1.0,LAC 13,17.0,13.0,Tyler Allgeier left end for -1 yards (tackle by Derwin James),4.39,2.63,13.0,2024,184
4.0,10:24,4.0,2.0,LAC 14,17.0,13.0,Kirk Cousins pass complete short left to Drake London for 5 yards (tackle by Kristian Fulton),2.63,5.14,13.0,2024,184
4.0,9:51,1.0,9.0,LAC 9,17.0,13.0,Bijan Robinson left end for -4 yards (tackle by Daiyan Henley),5.14,3.72,13.0,2024,184
4.0,9:13,2.0,13.0,LAC 13,17.0,13.0,Kirk Cousins pass incomplete short left intended for Kyle Pitts,3.72,3.06,13.0,2024,184
4.0,9:11,3.0,13.0,LAC 13,17.0,13.0,"Kirk Cousins pass deep middle intended for Drake London is intercepted by Marcus Maye in end zone and returned for no gain Replay Assistant challenged the pass interception ruling, and the play was upheld.",3.06,-0.28,13.0,2024,184
4.0,9:03,1.0,10.0,LAC 20,17.0,13.0,Gus Edwards right tackle for 12 yards (tackle by David Onyemata and Justin Simmons),0.28,1.07,13.0,2024,184
4.0,8:16,1.0,10.0,LAC 32,17.0,13.0,Kimani Vidal right guard for 2 yards (tackle by Eddie Goldman and Kaden Elliss),1.07,0.8,13.0,2024,184
4.0,7:24,2.0,8.0,LAC 34,17.0,13.0,Justin Herbert sacked by David Onyemata for -1 yards,0.8,-0.03,13.0,2024,184
4.0,6:51,3.0,9.0,LAC 33,17.0,13.0,Justin Herbert pass complete short right to Quentin Johnston for 4 yards (tackle by Kevin King),-0.03,-0.91,13.0,2024,184
4.0,6:17,4.0,5.0,LAC 37,17.0,13.0,"JK Scott punts 52 yards, returned by Avery Williams for no gain (tackle by Stone Smartt and Nick Niemann). Penalty on Natrone Brooks: Offensive Holding, 5 yards (accepted)",-0.91,0.38,13.0,2024,184
4.0,6:05,1.0,10.0,ATL 6,17.0,13.0,Bijan Robinson left guard for 4 yards (tackle by Otito Ogbonnia and Poona Ford),-0.38,-0.49,13.0,2024,184
4.0,5:28,2.0,6.0,ATL 10,17.0,13.0,Kirk Cousins pass complete short middle to Ray-Ray McCloud for 12 yards (tackle by Kristian Fulton),-0.49,0.41,13.0,2024,184
4.0,4:49,1.0,10.0,ATL 22,17.0,13.0,Bijan Robinson right tackle for 9 yards (tackle by Bud Dupree),0.41,1.08,13.0,2024,184
4.0,4:14,2.0,1.0,ATL 31,17.0,13.0,Tyler Allgeier right guard for 2 yards (tackle by Troy Dye and Daiyan Henley),1.08,1.14,13.0,2024,184
4.0,3:37,1.0,10.0,ATL 33,17.0,13.0,Kirk Cousins pass complete short left to Drake London for 7 yards (tackle by Troy Dye),1.14,1.54,13.0,2024,184
4.0,3:03,2.0,3.0,ATL 40,17.0,13.0,Tyler Allgeier left tackle for 2 yards (tackle by Troy Dye and Daiyan Henley),1.54,1.09,13.0,2024,184
4.0,2:28,3.0,1.0,ATL 42,17.0,13.0,Ray-Ray McCloud left end for -2 yards (tackle by Elijah Molden and Daiyan Henley),1.09,-0.72,13.0,2024,184
4.0,2:00,4.0,3.0,ATL 40,17.0,13.0,"Kirk Cousins pass complete short left to Bijan Robinson for no gain (tackle by Daiyan Henley). Penalty on Ja'Sir Taylor: Defensive Holding, 5 yards (accepted) (no play)",-0.72,1.93,13.0,2024,184
4.0,1:52,1.0,10.0,ATL 45,17.0,13.0,Kirk Cousins pass complete short left to Drake London for 11 yards (tackle by Kristian Fulton),1.93,2.65,13.0,2024,184
4.0,1:31,1.0,10.0,LAC 44,17.0,13.0,Kirk Cousins pass complete short left to Darnell Mooney for 4 yards (tackle by Kristian Fulton),2.65,2.65,13.0,2024,184
4.0,1:12,2.0,6.0,LAC 40,17.0,13.0,Kirk Cousins pass complete short right to Drake London for 7 yards (tackle by Tarheeb Still),2.65,3.38,13.0,2024,184
4.0,1:06,1.0,10.0,LAC 33,17.0,13.0,"Kirk Cousins sacked by Teair Tart for -11 yards. Kirk Cousins fumbles (forced by Teair Tart), recovered by Drew Dalman at LAC-44",3.38,1.35,13.0,2024,184
4.0,0:59,,,,,,Timeout #1 by Atlanta Falcons,,,13.0,2024,184
4.0,0:59,2.0,21.0,LAC 44,17.0,13.0,Kirk Cousins pass complete short left to Bijan Robinson for 9 yards (tackle by Elijah Molden),1.35,1.88,13.0,2024,184
4.0,0:52,,,,,,Timeout #2 by Atlanta Falcons,,,13.0,2024,184
4.0,0:52,3.0,12.0,LAC 35,17.0,13.0,Kirk Cousins pass incomplete deep right intended for Drake London (defended by Tarheeb Still),1.88,0.97,13.0,2024,184
4.0,0:47,,,,,,Timeout #1 by Los Angeles Chargers,,,13.0,2024,184
4.0,0:47,4.0,12.0,LAC 35,17.0,13.0,Kirk Cousins pass short middle intended for Drake London is intercepted by Derwin James at LAC-24 and returned for 2 yards,0.97,-0.67,13.0,2024,184
4.0,0:40,1.0,10.0,LAC 26,17.0,13.0,Justin Herbert kneels for -1 yards,0.67,-0.01,13.0,2024,184
4.0,0:39,,,,,,Timeout #3 by Atlanta Falcons,,,13.0,2024,184
4.0,0:39,2.0,11.0,LAC 25,17.0,13.0,Justin Herbert kneels for -1 yards,-0.01,-0.82,13.0,2024,184
