Quarter,Time,Down,ToGo,Location,PIT,CIN,Detail,EPB,EPA,week,year,game_id
1.0,5:06,1.0,10.0,PIT 41,7.0,7.0,"Chase Brown right guard for no gain, touchdown Replay Assistant challenged the runner broke the plane ruling, and the original play was overturned. Chase Brown right guard for 40 yards (tackle by Minkah Fitzpatrick and Joey Porter)",2.85,6.97,13.0,2024,185
1.0,5:04,1.0,1.0,PIT 1,7.0,13.0,"Chase Brown up the middle for 1 yard, touchdown",6.97,7.0,13.0,2024,185
1.0,5:01,,,PIT 15,7.0,14.0,Evan McPherson kicks extra point good,0.0,0.0,13.0,2024,185
1.0,5:01,,,CIN 35,7.0,14.0,"Evan McPherson kicks off 65 yards, touchback.",0.0,0.94,13.0,2024,185
1.0,5:01,1.0,10.0,PIT 30,7.0,14.0,Cordarrelle Patterson left guard for 2 yards (tackle by Jordan Battle and Kris Jenkins),0.94,0.66,13.0,2024,185
1.0,4:18,2.0,8.0,PIT 32,7.0,14.0,Russell Wilson pass incomplete short right intended for Van Jefferson,0.66,-0.03,13.0,2024,185
1.0,4:15,3.0,8.0,PIT 32,7.0,14.0,"Russell Wilson pass complete short middle to George Pickens for 21 yards (tackle by Cam Taylor-Britt). Penalty on George Pickens: Taunting / Offense, 15 yards (accepted)",-0.03,1.47,13.0,2024,185
1.0,3:46,1.0,10.0,PIT 38,7.0,14.0,Russell Wilson pass complete short left to Pat Freiermuth for 3 yards (tackle by Cam Taylor-Britt and Germaine Pratt),1.47,1.33,13.0,2024,185
1.0,3:03,2.0,7.0,PIT 41,7.0,14.0,Russell Wilson pass complete short right to Darnell Washington for 10 yards (tackle by Josh Newton),1.33,2.32,13.0,2024,185
1.0,2:14,1.0,10.0,CIN 49,7.0,14.0,"Penalty on Russell Wilson: Delay of Game, 5 yards (accepted) (no play)",2.32,1.99,13.0,2024,185
1.0,2:12,1.0,15.0,PIT 46,7.0,14.0,Russell Wilson pass complete short middle to Cordarrelle Patterson for 8 yards (tackle by Germaine Pratt and Kris Jenkins),1.99,2.19,13.0,2024,185
1.0,1:46,2.0,7.0,CIN 46,7.0,14.0,Russell Wilson pass complete short middle to Cordarrelle Patterson for 9 yards (tackle by Akeem Davis-Gaither and Germaine Pratt),2.19,3.12,13.0,2024,185
1.0,1:14,1.0,10.0,CIN 37,7.0,14.0,Cordarrelle Patterson right end for 12 yards (tackle by Kris Jenkins),3.12,3.91,13.0,2024,185
1.0,0:33,1.0,10.0,CIN 25,7.0,14.0,Cordarrelle Patterson right end for 2 yards (tackle by B.J. Hill and Kris Jenkins),3.91,3.63,13.0,2024,185
2.0,15:00,2.0,8.0,CIN 23,13.0,14.0,"Russell Wilson pass complete deep middle to Calvin Austin for 23 yards, touchdown",3.63,7.0,13.0,2024,185
2.0,14:56,,,CIN 15,14.0,14.0,Chris Boswell kicks extra point good,0.0,0.0,13.0,2024,185
2.0,14:56,,,PIT 35,14.0,14.0,"Chris Boswell kicks off 65 yards, touchback.",0.0,0.94,13.0,2024,185
2.0,14:56,1.0,10.0,CIN 30,14.0,14.0,Joe Burrow pass complete short left to Ja'Marr Chase for 7 yards (tackle by Patrick Queen),0.94,1.34,13.0,2024,185
2.0,14:19,2.0,3.0,CIN 37,14.0,14.0,Khalil Herbert left end for 14 yards (tackle by DeShon Elliott),1.34,2.32,13.0,2024,185
2.0,13:41,1.0,10.0,PIT 49,14.0,14.0,"Joe Burrow pass incomplete deep right intended for Tee Higgins. Penalty on Joey Porter: Defensive Holding, 5 yards (accepted) (no play)",2.32,2.65,13.0,2024,185
2.0,13:37,1.0,10.0,PIT 44,14.0,14.0,Joe Burrow pass incomplete short middle intended for Tee Higgins,2.65,2.11,13.0,2024,185
2.0,13:33,2.0,10.0,PIT 44,14.0,14.0,Joe Burrow scrambles up the middle for 8 yards (tackle by Patrick Queen and Payton Wilson),2.11,2.48,13.0,2024,185
2.0,12:56,3.0,2.0,PIT 36,14.0,14.0,Joe Burrow pass complete short right to Chase Brown for 6 yards (tackle by Larry Ogunjobi),2.48,3.58,13.0,2024,185
2.0,12:16,1.0,10.0,PIT 30,14.0,14.0,Joe Burrow pass complete short right to Chase Brown for 4 yards (tackle by Payton Wilson),3.58,3.57,13.0,2024,185
2.0,11:33,2.0,6.0,PIT 26,14.0,14.0,"Joe Burrow pass incomplete short middle intended for Chase Brown. Penalty on Drew Sample: Offensive Holding, 10 yards (accepted) (no play)",3.57,2.22,13.0,2024,185
2.0,11:29,2.0,16.0,PIT 36,14.0,14.0,Joe Burrow pass complete short middle to Mike Gesicki for 18 yards (tackle by DeShon Elliott),2.22,4.37,13.0,2024,185
2.0,10:46,1.0,10.0,PIT 18,14.0,14.0,"Joe Burrow pass incomplete deep right intended for Andrei Iosivas. Penalty on Joey Porter: Defensive Pass Interference, 17 yards (accepted) (no play)",4.37,6.97,13.0,2024,185
2.0,10:41,1.0,1.0,PIT 1,14.0,14.0,Chase Brown right guard for -3 yards (tackle by Cameron Heyward),6.97,5.34,13.0,2024,185
2.0,9:58,,,,,,Timeout #1 by Cincinnati Bengals,,,13.0,2024,185
2.0,9:58,2.0,4.0,PIT 4,14.0,20.0,"Joe Burrow pass complete short middle to Ja'Marr Chase for 4 yards, touchdown",5.34,7.0,13.0,2024,185
2.0,9:52,,,PIT 15,14.0,21.0,Evan McPherson kicks extra point good,0.0,0.0,13.0,2024,185
2.0,9:52,,,CIN 35,14.0,21.0,"Evan McPherson kicks off 54 yards, returned by Cordarrelle Patterson for 21 yards (tackle by Vonn Bell)",0.0,1.07,13.0,2024,185
2.0,9:46,1.0,10.0,PIT 32,14.0,21.0,Russell Wilson pass complete short middle to Cordarrelle Patterson for 20 yards (tackle by Cam Taylor-Britt and Mike Hilton),1.07,2.39,13.0,2024,185
2.0,9:08,1.0,10.0,CIN 48,14.0,21.0,"Najee Harris left tackle for 8 yards (tackle by Jordan Battle and Cam Taylor-Britt). Penalty on Cam Taylor-Britt: Face Mask (15 Yards), 15 yards (accepted)",2.39,3.91,13.0,2024,185
2.0,8:41,1.0,10.0,CIN 25,14.0,21.0,Russell Wilson pass complete short middle to Najee Harris for 6 yards (tackle by Akeem Davis-Gaither and Germaine Pratt),3.91,4.2,13.0,2024,185
2.0,8:09,2.0,4.0,CIN 19,14.0,21.0,"Penalty on Isaac Seumalo: False Start, 6 yards (accepted) (no play)",4.2,3.36,13.0,2024,185
2.0,7:50,2.0,10.0,CIN 25,14.0,21.0,"Najee Harris left guard for 5 yards (tackle by Akeem Davis-Gaither). Penalty on Mike Hilton: Unnecessary Roughness / Defense, 10 yards (accepted)",3.36,4.91,13.0,2024,185
2.0,7:23,1.0,10.0,CIN 10,20.0,21.0,"Najee Harris left end for 10 yards, touchdown",4.91,7.0,13.0,2024,185
2.0,7:19,,,CIN 15,21.0,21.0,Chris Boswell kicks extra point good,0.0,0.0,13.0,2024,185
2.0,7:19,,,PIT 35,21.0,21.0,"Chris Boswell kicks off 65 yards, returned by Jermaine Burton for 38 yards (tackle by James Pierre)",0.0,1.47,13.0,2024,185
2.0,7:12,1.0,10.0,CIN 38,21.0,21.0,Chase Brown left tackle for 4 yards (tackle by DeShon Elliott),1.47,1.46,13.0,2024,185
2.0,6:35,2.0,6.0,CIN 42,21.0,21.0,Joe Burrow pass complete short left to Andrei Iosivas for 15 yards (tackle by DeShon Elliott),1.46,2.72,13.0,2024,185
2.0,6:10,1.0,10.0,PIT 43,21.0,21.0,Joe Burrow pass complete short right to Tanner Hudson for 6 yards (tackle by Patrick Queen),2.72,2.99,13.0,2024,185
2.0,5:26,2.0,4.0,PIT 37,21.0,21.0,Chase Brown right guard for 4 yards (tackle by DeShon Elliott and Patrick Queen),2.99,3.38,13.0,2024,185
2.0,4:45,1.0,10.0,PIT 33,21.0,21.0,"Joe Burrow sacked by T.J. Watt for -2 yards. Joe Burrow fumbles (forced by T.J. Watt), recovered by Payton Wilson at PIT-35 and returned for 1 yard. Payton Wilson fumbles (forced by Drew Sample), recovered by Preston Smith at PIT-38 and returned for 1 yard (tackle by Alex Cappa)",3.38,-1.53,13.0,2024,185
2.0,4:36,1.0,10.0,PIT 39,21.0,21.0,Russell Wilson pass complete short right to Jaylen Warren for 29 yards (tackle by Geno Stone and Myles Murphy),1.53,3.45,13.0,2024,185
2.0,3:51,1.0,10.0,CIN 32,21.0,21.0,Russell Wilson pass incomplete short right intended for MyCole Pruitt,3.45,2.9,13.0,2024,185
2.0,3:46,2.0,10.0,CIN 32,21.0,21.0,Russell Wilson pass incomplete short right intended for George Pickens (defended by Josh Newton),2.9,2.21,13.0,2024,185
2.0,3:41,3.0,10.0,CIN 32,21.0,21.0,Russell Wilson pass incomplete short left intended for Pat Freiermuth,2.21,1.24,13.0,2024,185
2.0,3:36,4.0,10.0,CIN 32,24.0,21.0,Chris Boswell 50 yard field goal good,1.24,3.0,13.0,2024,185
2.0,3:31,,,PIT 35,24.0,21.0,"Chris Boswell kicks off 65 yards, touchback.",0.0,0.94,13.0,2024,185
2.0,3:31,1.0,10.0,CIN 30,24.0,21.0,Joe Burrow pass complete short right to Ja'Marr Chase for 6 yards (tackle by DeShon Elliott and Cameron Sutton),0.94,1.2,13.0,2024,185
2.0,2:50,2.0,4.0,CIN 36,24.0,21.0,Chase Brown right tackle for 3 yards (tackle by Joey Porter),1.2,0.89,13.0,2024,185
2.0,2:12,,,,,,Timeout #1 by Pittsburgh Steelers,,,13.0,2024,185
2.0,2:12,3.0,1.0,CIN 39,24.0,21.0,Joe Burrow pass incomplete short right,0.89,-0.78,13.0,2024,185
2.0,2:05,4.0,1.0,CIN 39,24.0,21.0,"Penalty on Alex Cappa: False Start, 4 yards (accepted) (no play)",-0.78,-1.04,13.0,2024,185
2.0,2:05,4.0,5.0,CIN 35,24.0,21.0,Ryan Rehkow punts 46 yards out of bounds,-1.04,-0.15,13.0,2024,185
2.0,1:56,1.0,10.0,PIT 19,24.0,21.0,Russell Wilson pass complete short right to Pat Freiermuth for 8 yards (tackle by Germaine Pratt),0.15,0.75,13.0,2024,185
2.0,1:34,2.0,2.0,PIT 27,24.0,21.0,Jaylen Warren right guard for 6 yards (tackle by Akeem Davis-Gaither and Germaine Pratt),0.75,1.14,13.0,2024,185
2.0,1:13,1.0,10.0,PIT 33,24.0,21.0,Russell Wilson pass complete short middle to Pat Freiermuth for 8 yards (tackle by Akeem Davis-Gaither and Geno Stone),1.14,1.67,13.0,2024,185
2.0,0:53,2.0,2.0,PIT 41,24.0,21.0,Russell Wilson pass complete short right to Pat Freiermuth for 17 yards (tackle by Geno Stone),1.67,2.79,13.0,2024,185
2.0,0:46,1.0,10.0,CIN 42,24.0,21.0,Russell Wilson pass complete short left to Calvin Austin for 6 yards (tackle by Cam Taylor-Britt),2.79,3.05,13.0,2024,185
2.0,0:38,,,,,,Timeout #2 by Pittsburgh Steelers,,,13.0,2024,185
2.0,0:38,2.0,4.0,CIN 36,24.0,21.0,Russell Wilson pass complete short left to Jaylen Warren for 6 yards (tackle by Cam Taylor-Britt),3.05,3.58,13.0,2024,185
2.0,0:19,1.0,10.0,CIN 30,24.0,21.0,Russell Wilson pass complete short middle to Jaylen Warren for 14 yards (tackle by Germaine Pratt and Akeem Davis-Gaither),3.58,4.51,13.0,2024,185
2.0,0:03,,,,,,Timeout #3 by Pittsburgh Steelers,,,13.0,2024,185
2.0,0:03,1.0,10.0,CIN 16,27.0,21.0,Chris Boswell 34 yard field goal good,4.51,3.0,13.0,2024,185
3.0,15:00,,,CIN 35,27.0,21.0,"Evan McPherson kicks off 65 yards, touchback.",0.0,0.94,13.0,2024,185
3.0,15:00,1.0,10.0,PIT 30,27.0,21.0,"Russell Wilson pass complete short middle to MyCole Pruitt for 18 yards (tackle by Akeem Davis-Gaither). Penalty on Akeem Davis-Gaither: Defensive Holding, 5 yards (declined)",0.94,2.13,13.0,2024,185
3.0,14:35,1.0,10.0,PIT 48,27.0,21.0,Najee Harris left tackle for 3 yards (tackle by B.J. Hill),2.13,1.99,13.0,2024,185
3.0,13:54,2.0,7.0,CIN 49,27.0,21.0,Russell Wilson pass complete deep right to George Pickens for 36 yards (tackle by Josh Newton),1.99,1.99,13.0,2024,185
3.0,13:41,2.0,7.0,CIN 49,27.0,21.0,"Penalty on George Pickens: Unsportsmanlike Conduct / Offense, 15 yards (accepted) (no play)",1.99,3.71,13.0,2024,185
3.0,13:17,1.0,10.0,CIN 28,27.0,21.0,Najee Harris left end for -3 yards (tackle by Germaine Pratt and Sam Hubbard),3.71,2.76,13.0,2024,185
3.0,12:52,2.0,13.0,CIN 31,27.0,21.0,Russell Wilson scrambles right end for 5 yards (tackle by Geno Stone),2.76,2.74,13.0,2024,185
3.0,12:09,,,,,,Timeout #1 by Pittsburgh Steelers,,,13.0,2024,185
3.0,12:09,3.0,8.0,CIN 26,27.0,21.0,Russell Wilson pass complete short left to MyCole Pruitt for 3 yards (tackle by Germaine Pratt and Akeem Davis-Gaither),2.74,1.98,13.0,2024,185
3.0,11:34,4.0,5.0,CIN 23,27.0,21.0,Chris Boswell 42 yard field goal no good blocked by Joseph Ossai,1.98,-1.07,13.0,2024,185
3.0,11:28,1.0,10.0,CIN 32,27.0,21.0,Chase Brown up the middle for 3 yards (tackle by Patrick Queen and Cameron Heyward),1.07,0.93,13.0,2024,185
3.0,10:46,2.0,7.0,CIN 35,27.0,21.0,Joe Burrow scrambles up the middle for 1 yard (tackle by Cameron Heyward),0.93,0.37,13.0,2024,185
3.0,10:02,3.0,6.0,CIN 36,27.0,21.0,Joe Burrow pass complete short right to Tanner Hudson for 7 yards (tackle by Keeanu Benton),0.37,1.8,13.0,2024,185
3.0,9:18,1.0,10.0,CIN 43,27.0,21.0,Chase Brown left end for 2 yards (tackle by Elandon Roberts and Joey Porter),1.8,1.52,13.0,2024,185
3.0,8:35,2.0,8.0,CIN 45,27.0,21.0,Joe Burrow sacked by Cameron Heyward for -8 yards,1.52,-0.23,13.0,2024,185
3.0,7:51,3.0,16.0,CIN 37,27.0,21.0,"Penalty on Orlando Brown: False Start, 5 yards (accepted) (no play)",-0.23,-0.89,13.0,2024,185
3.0,7:39,3.0,21.0,CIN 32,27.0,21.0,Joe Burrow pass complete deep left to Tee Higgins for 31 yards (tackle by Damontae Kazee),-0.89,3.12,13.0,2024,185
3.0,7:02,1.0,10.0,PIT 37,27.0,21.0,Chase Brown right guard for 2 yards (tackle by Larry Ogunjobi),3.12,2.84,13.0,2024,185
3.0,6:14,2.0,8.0,PIT 35,27.0,21.0,Joe Burrow pass complete deep middle to Mike Gesicki for 20 yards (tackle by DeShon Elliott),2.84,4.58,13.0,2024,185
3.0,5:30,1.0,10.0,PIT 15,27.0,21.0,Joe Burrow pass incomplete short left intended for Tee Higgins,4.58,3.95,13.0,2024,185
3.0,5:27,2.0,10.0,PIT 15,27.0,21.0,Joe Burrow pass complete short left to Mike Gesicki for 4 yards (tackle by Patrick Queen and DeShon Elliott),3.95,3.78,13.0,2024,185
3.0,4:44,3.0,6.0,PIT 11,27.0,21.0,Joe Burrow sacked by T.J. Watt for -9 yards,3.78,2.12,13.0,2024,185
3.0,3:58,4.0,15.0,PIT 20,27.0,24.0,Evan McPherson 38 yard field goal good,2.12,3.0,13.0,2024,185
3.0,3:53,,,CIN 35,27.0,24.0,"Evan McPherson kicks off 65 yards, touchback.",0.0,0.28,13.0,2024,185
3.0,3:53,1.0,10.0,PIT 20,27.0,24.0,Najee Harris left end for 3 yards (tackle by Jordan Battle and Akeem Davis-Gaither),0.28,0.14,13.0,2024,185
3.0,3:19,2.0,7.0,PIT 23,27.0,24.0,"Penalty on McKinnley Jackson: Defensive Too Many Men on Field, 5 yards (accepted) (no play)",0.14,0.81,13.0,2024,185
3.0,3:00,2.0,2.0,PIT 28,27.0,24.0,Najee Harris left end for 20 yards (tackle by Mike Hilton),0.81,2.13,13.0,2024,185
3.0,2:19,1.0,10.0,PIT 48,27.0,24.0,Russell Wilson sacked by Joseph Ossai for -1 yards,2.13,1.45,13.0,2024,185
3.0,1:40,2.0,11.0,PIT 47,27.0,24.0,Russell Wilson pass complete short left to Ben Skowronek for 23 yards (tackle by Geno Stone),1.45,3.58,13.0,2024,185
3.0,1:01,1.0,10.0,CIN 30,27.0,24.0,Najee Harris left guard for 5 yards (tackle by Myles Murphy and Jordan Battle),3.58,3.71,13.0,2024,185
3.0,0:28,2.0,5.0,CIN 25,33.0,24.0,"Russell Wilson pass complete deep right to Pat Freiermuth for 25 yards, touchdown",3.71,7.0,13.0,2024,185
3.0,0:22,,,CIN 15,34.0,24.0,Chris Boswell kicks extra point good,0.0,0.0,13.0,2024,185
3.0,0:22,,,PIT 35,34.0,24.0,"Chris Boswell kicks off 59 yards, returned by Jermaine Burton for 27 yards (tackle by Miles Killebrew)",0.0,1.14,13.0,2024,185
3.0,0:16,1.0,10.0,CIN 33,34.0,24.0,Joe Burrow pass complete short right to Tee Higgins for 16 yards (tackle by Minkah Fitzpatrick),1.14,2.19,13.0,2024,185
4.0,15:00,1.0,10.0,CIN 49,34.0,24.0,Joe Burrow pass complete short right to Drew Sample for 6 yards (tackle by DeShon Elliott and Patrick Queen),2.19,2.46,13.0,2024,185
4.0,14:16,2.0,4.0,PIT 45,34.0,24.0,Joe Burrow pass complete short middle to Tanner Hudson for 10 yards (tackle by Minkah Fitzpatrick),2.46,3.25,13.0,2024,185
4.0,13:35,1.0,10.0,PIT 35,34.0,24.0,"Penalty on Cody Ford: False Start, 5 yards (accepted) (no play)",3.25,2.92,13.0,2024,185
4.0,13:35,1.0,15.0,PIT 40,34.0,24.0,Joe Burrow pass short left (defended by Cameron Heyward) intended for Tee Higgins is intercepted by Donte Jackson at PIT-36 and returned for 11 yards (tackle by Tee Higgins),2.92,-2.06,13.0,2024,185
4.0,13:29,1.0,10.0,PIT 47,34.0,24.0,"Russell Wilson pass incomplete short right. Penalty on Zach Frazier: Ineligible Downfield Pass, 5 yards (declined)",2.06,1.52,13.0,2024,185
4.0,13:26,2.0,10.0,PIT 47,34.0,24.0,Jaylen Warren left guard for 4 yards (tackle by Joseph Ossai),1.52,1.36,13.0,2024,185
4.0,12:56,3.0,6.0,CIN 49,34.0,24.0,"Russell Wilson pass incomplete deep left intended for George Pickens. Penalty on Isaac Seumalo: Offensive Holding, 10 yards (declined)",1.36,0.0,13.0,2024,185
4.0,12:50,4.0,6.0,CIN 49,34.0,24.0,"Corliss Waitman punts 38 yards, fair catch by Isaiah Williams at CIN-11",0.0,0.37,13.0,2024,185
4.0,12:43,1.0,10.0,CIN 11,34.0,24.0,Joe Burrow pass complete short right to Tanner Hudson for 5 yards (tackle by Minkah Fitzpatrick and Payton Wilson),-0.37,-0.3,13.0,2024,185
4.0,12:03,2.0,5.0,CIN 16,34.0,24.0,"Joe Burrow pass incomplete short right intended for Tee Higgins. Penalty on Joey Porter: Defensive Pass Interference, 11 yards (accepted) (no play)",-0.3,0.74,13.0,2024,185
4.0,12:00,1.0,10.0,CIN 27,34.0,24.0,Chase Brown left end for 2 yards (tackle by Cameron Sutton and Cameron Heyward),0.74,0.47,13.0,2024,185
4.0,11:18,2.0,8.0,CIN 29,34.0,24.0,"Joe Burrow pass incomplete short right intended for Andrei Iosivas (defended by Cameron Sutton). Penalty on Amarius Mims: Illegal Formation, 5 yards (declined)",0.47,-0.23,13.0,2024,185
4.0,11:14,3.0,8.0,CIN 29,40.0,24.0,"Joe Burrow sacked by Nick Herbig for -8 yards. Joe Burrow fumbles (forced by Nick Herbig), recovered by Payton Wilson at CIN-21 and returned for 21 yards, touchdown",-0.23,-7.0,13.0,2024,185
4.0,11:06,,,CIN 15,41.0,24.0,Chris Boswell kicks extra point good,0.0,0.0,13.0,2024,185
4.0,11:06,,,PIT 35,41.0,24.0,"Chris Boswell kicks off 65 yards, touchback.",0.0,0.94,13.0,2024,185
4.0,11:06,1.0,10.0,CIN 30,41.0,24.0,Joe Burrow pass complete short middle to Tee Higgins for 8 yards (tackle by Patrick Queen),0.94,1.47,13.0,2024,185
4.0,10:28,2.0,2.0,CIN 38,41.0,24.0,Joe Burrow pass complete short left to Chase Brown for 20 yards (tackle by Damontae Kazee),1.47,2.79,13.0,2024,185
4.0,9:40,1.0,10.0,PIT 42,41.0,24.0,Joe Burrow pass complete deep left to Andrei Iosivas for 17 yards,2.79,3.91,13.0,2024,185
4.0,9:02,1.0,10.0,PIT 25,41.0,24.0,Joe Burrow pass incomplete short right intended for Tee Higgins,3.91,3.36,13.0,2024,185
4.0,8:58,2.0,10.0,PIT 25,41.0,24.0,Joe Burrow pass incomplete deep left intended for Ja'Marr Chase,3.36,2.68,13.0,2024,185
4.0,8:54,3.0,10.0,PIT 25,41.0,24.0,"Joe Burrow pass incomplete deep right intended for Tee Higgins. Penalty on T.J. Watt: Defensive Offside, 5 yards (declined) . Penalty on Joey Porter: Defensive Holding, 5 yards (declined) . Penalty on Joey Porter: Defensive Pass Interference, 24 yards (accepted) (no play)",2.68,6.97,13.0,2024,185
4.0,8:47,1.0,1.0,PIT 1,41.0,24.0,Joe Burrow pass incomplete short left intended for Tee Higgins (defended by Cameron Sutton),6.97,5.91,13.0,2024,185
4.0,8:42,2.0,1.0,PIT 1,41.0,30.0,"Joe Burrow pass complete short left to Tee Higgins for 1 yard, touchdown",5.91,7.0,13.0,2024,185
4.0,8:39,,,PIT 15,41.0,31.0,Evan McPherson kicks extra point good,0.0,0.0,13.0,2024,185
4.0,8:39,,,CIN 35,41.0,31.0,"Evan McPherson kicks off 64 yards, returned by Jaylen Warren for 15 yards (tackle by Maema Njongmeta)",0.0,-0.14,13.0,2024,185
4.0,8:34,1.0,10.0,PIT 16,41.0,31.0,Najee Harris left end for 7 yards (tackle by Germaine Pratt and Akeem Davis-Gaither),-0.14,0.42,13.0,2024,185
4.0,7:50,2.0,3.0,PIT 23,41.0,31.0,"Russell Wilson pass complete short right to Najee Harris for 3 yards (tackle by Jay Tufele). Penalty on Akeem Davis-Gaither: Face Mask (15 Yards), 15 yards (accepted)",0.42,1.66,13.0,2024,185
4.0,7:16,1.0,10.0,PIT 41,41.0,31.0,"Russell Wilson pass incomplete short right. Penalty on Zach Frazier: Ineligible Downfield Pass, 5 yards (declined)",1.66,1.12,13.0,2024,185
4.0,7:12,2.0,10.0,PIT 41,41.0,31.0,Najee Harris right guard for 1 yard (tackle by Germaine Pratt and Trey Hendrickson),1.12,0.56,13.0,2024,185
4.0,6:30,3.0,9.0,PIT 42,41.0,31.0,Russell Wilson pass complete deep right to Van Jefferson for 43 yards (tackle by Cam Taylor-Britt and Mike Hilton),0.56,4.58,13.0,2024,185
4.0,5:40,1.0,10.0,CIN 15,41.0,31.0,Najee Harris left end for 1 yard (tackle by Akeem Davis-Gaither),4.58,4.11,13.0,2024,185
4.0,5:35,,,,,,Timeout #1 by Cincinnati Bengals,,,13.0,2024,185
4.0,5:35,2.0,9.0,CIN 14,41.0,31.0,Russell Wilson pass complete short right to Jaylen Warren for 6 yards (tackle by Joe Bachie),4.11,4.45,13.0,2024,185
4.0,4:56,3.0,3.0,CIN 8,41.0,31.0,"Russell Wilson pass incomplete short left. Penalty on Cam Taylor-Britt: Defensive Holding, 4 yards (accepted) (no play)",4.45,6.28,13.0,2024,185
4.0,4:52,1.0,4.0,CIN 4,41.0,31.0,Najee Harris left guard for 1 yard (tackle by Joseph Ossai),6.28,5.53,13.0,2024,185
