Quarter,Time,Down,ToGo,Location,SEA,NYJ,Detail,EPB,EPA,week,year,game_id
1.0,3:25,,,NYJ 35,0.0,6.0,"Anders Carlson kicks off 64 yards, returned by Dee Williams for 26 yards. Dee Williams fumbles (forced by Kene Nwangwu), recovered by Brandin Echols at SEA-27",0.0,-3.78,13.0,2024,187
1.0,3:18,1.0,10.0,SEA 27,0.0,6.0,Aaron Rodgers pass incomplete short right,3.78,3.23,13.0,2024,187
1.0,3:15,2.0,10.0,SEA 27,0.0,6.0,"Breece Hall right tackle for 12 yards. Breece Hall fumbles (tackle by Julian Love), recovered by John Simpson at SEA-14",3.23,4.65,13.0,2024,187
1.0,2:29,1.0,10.0,SEA 14,0.0,6.0,Aaron Rodgers pass complete short left to Davante Adams for 10 yards (tackle by Coby Bryant),4.65,6.28,13.0,2024,187
1.0,1:50,1.0,4.0,SEA 4,0.0,12.0,"Aaron Rodgers pass complete short middle to Isaiah Davis for 4 yards, touchdown",6.28,7.0,13.0,2024,187
1.0,1:47,,,SEA 2,0.0,14.0,"Two Point Attempt: Breece Hall rushes, conversion succeeds.",1.0,1.0,13.0,2024,187
1.0,1:47,,,NYJ 35,0.0,14.0,"Anders Carlson kicks off 64 yards, recovered by Laviska Shenault at SEA-12",0.0,-0.35,13.0,2024,187
1.0,1:27,1.0,10.0,SEA 12,0.0,14.0,"Geno Smith scrambles left end for 3 yards (tackle by Eric Watts). Penalty on D.J. Reed: Defensive Holding, 5 yards (accepted)",-0.35,0.28,13.0,2024,187
1.0,1:04,1.0,10.0,SEA 20,0.0,14.0,Geno Smith pass complete deep right to Jaxon Smith-Njigba for 25 yards (tackle by Tony Adams),0.28,1.93,13.0,2024,187
1.0,0:31,1.0,10.0,SEA 45,0.0,14.0,Kenneth Walker right end for 1 yard (tackle by Sauce Gardner),1.93,1.52,13.0,2024,187
2.0,15:00,2.0,9.0,SEA 46,0.0,14.0,Kenneth Walker left end for no gain (tackle by D.J. Reed and Quincy Williams),1.52,0.83,13.0,2024,187
2.0,14:19,3.0,9.0,SEA 46,0.0,14.0,Geno Smith pass complete short right to Jaxon Smith-Njigba for 25 yards (tackle by Isaiah Oliver),0.83,3.64,13.0,2024,187
2.0,13:35,1.0,10.0,NYJ 29,0.0,14.0,Kenneth Walker right tackle for 7 yards (tackle by Isaiah Oliver),3.64,4.05,13.0,2024,187
2.0,13:07,2.0,3.0,NYJ 22,0.0,14.0,Kenneth Walker right guard for 2 yards (tackle by Micheal Clemons),4.05,3.6,13.0,2024,187
2.0,12:30,3.0,1.0,NYJ 20,0.0,14.0,Zach Charbonnet up the middle for 7 yards (tackle by Jamien Sherwood),3.6,4.71,13.0,2024,187
2.0,11:49,1.0,10.0,NYJ 13,0.0,14.0,Geno Smith pass complete short middle to Kenneth Walker for 1 yard (tackle by Quincy Williams and Chazz Surratt),4.71,4.22,13.0,2024,187
2.0,10:59,2.0,9.0,NYJ 12,6.0,14.0,"Geno Smith pass complete short left to AJ Barner for 12 yards, touchdown",4.22,7.0,13.0,2024,187
2.0,10:53,,,NYJ 15,7.0,14.0,Jason Myers kicks extra point good,0.0,0.0,13.0,2024,187
2.0,10:53,,,SEA 35,7.0,20.0,"Jason Myers kicks off 64 yards, returned by Kene Nwangwu for 99 yards, touchdown",0.0,7.0,13.0,2024,187
2.0,10:40,,,SEA 15,7.0,21.0,Anders Carlson kicks extra point good,0.0,0.0,13.0,2024,187
2.0,10:40,,,NYJ 35,7.0,21.0,"Anders Carlson kicks off 56 yards, returned by Laviska Shenault for 20 yards. Laviska Shenault fumbles, recovered by Anders Carlson at SEA-38",0.0,-3.05,13.0,2024,187
2.0,10:34,1.0,10.0,SEA 38,7.0,21.0,Aaron Rodgers pass complete short right to Tyler Conklin for 3 yards (tackle by Julian Love),3.05,2.91,13.0,2024,187
2.0,9:48,2.0,7.0,SEA 35,7.0,21.0,Braelon Allen up the middle for 4 yards (tackle by Tyrice Knight and Derick Hall),2.91,2.74,13.0,2024,187
2.0,9:15,3.0,3.0,SEA 31,7.0,21.0,Aaron Rodgers pass complete short middle to Davante Adams for 19 yards (tackle by Coby Bryant and Riq Woolen),2.74,4.78,13.0,2024,187
2.0,8:38,1.0,10.0,SEA 12,7.0,21.0,Breece Hall left end for 3 yards (tackle by Ernest Jones),4.78,4.64,13.0,2024,187
2.0,7:58,2.0,7.0,SEA 9,7.0,21.0,Aaron Rodgers pass incomplete short right intended for Garrett Wilson,4.64,3.7,13.0,2024,187
2.0,7:53,3.0,7.0,SEA 9,13.0,21.0,"Aaron Rodgers pass short right intended for Garrett Wilson is intercepted by Leonard Williams at SEA-8 and returned for 92 yards, touchdown",3.7,-7.0,13.0,2024,187
2.0,7:39,,,NYJ 15,13.0,21.0,"Jason Myers kicks extra point blocked blocked by Quinnen Williams, recovered by Samuel Eguavoen",0.0,-1.0,13.0,2024,187
2.0,7:39,,,SEA 35,13.0,21.0,"Jason Myers kicks off 66 yards, returned by Xavier Gipson for 45 yards (tackle by Jason Myers)",0.0,1.86,13.0,2024,187
2.0,7:32,1.0,10.0,NYJ 44,13.0,21.0,Breece Hall left guard for 4 yards (tackle by Riq Woolen),1.86,1.86,13.0,2024,187
2.0,6:56,2.0,6.0,NYJ 48,13.0,21.0,Breece Hall right end for 4 yards (tackle by Boye Mafe),1.86,1.69,13.0,2024,187
2.0,6:11,3.0,2.0,SEA 48,13.0,21.0,Aaron Rodgers pass incomplete short middle intended for Tyler Conklin (defended by Julian Love),1.69,0.07,13.0,2024,187
2.0,6:02,4.0,2.0,SEA 48,13.0,21.0,Aaron Rodgers pass incomplete deep right intended for Davante Adams,0.07,-2.13,13.0,2024,187
2.0,5:57,1.0,10.0,SEA 48,13.0,21.0,Zach Charbonnet left guard for 11 yards (tackle by Ashtyn Davis and Tony Adams),2.13,2.85,13.0,2024,187
2.0,5:16,1.0,10.0,NYJ 41,13.0,21.0,Geno Smith pass incomplete short left intended for Zach Charbonnet,2.85,2.31,13.0,2024,187
2.0,5:03,2.0,10.0,NYJ 41,13.0,21.0,Geno Smith pass complete short left to Tyler Lockett for 5 yards (tackle by D.J. Reed),2.31,2.34,13.0,2024,187
2.0,4:27,3.0,4.0,NYJ 36,13.0,21.0,Geno Smith pass incomplete short right,2.34,0.89,13.0,2024,187
2.0,4:20,4.0,4.0,NYJ 36,16.0,21.0,Jason Myers 54 yard field goal good,0.89,3.0,13.0,2024,187
2.0,4:15,,,SEA 35,16.0,21.0,"Jason Myers kicks off 65 yards, touchback.",0.0,0.94,13.0,2024,187
2.0,4:15,1.0,10.0,NYJ 30,16.0,21.0,Braelon Allen left end for 4 yards (tackle by Julian Love),0.94,0.93,13.0,2024,187
2.0,3:38,2.0,6.0,NYJ 34,16.0,21.0,Aaron Rodgers pass complete short right to Jeremy Ruckert for 3 yards (tackle by Coby Bryant),0.93,0.63,13.0,2024,187
2.0,2:59,3.0,3.0,NYJ 37,16.0,21.0,Aaron Rodgers scrambles right tackle for 7 yards (tackle by Julian Love),0.63,1.86,13.0,2024,187
2.0,2:20,1.0,10.0,NYJ 44,16.0,21.0,Breece Hall left end for 3 yards (tackle by Byron Murphy and Ernest Jones),1.86,1.72,13.0,2024,187
2.0,2:00,2.0,7.0,NYJ 47,16.0,21.0,Aaron Rodgers pass complete short right to Garrett Wilson for 3 yards (tackle by Coby Bryant and Devon Witherspoon),1.72,1.42,13.0,2024,187
2.0,1:17,3.0,4.0,NYJ 50,16.0,21.0,Aaron Rodgers pass incomplete deep right intended for Davante Adams,1.42,-0.06,13.0,2024,187
2.0,1:12,4.0,4.0,NYJ 50,16.0,21.0,"Thomas Morstead punts 35 yards, fair catch by Dee Williams at SEA-15",-0.06,0.22,13.0,2024,187
2.0,1:05,1.0,10.0,SEA 15,16.0,21.0,Geno Smith pass incomplete short middle intended for Kenneth Walker,-0.22,-0.71,13.0,2024,187
2.0,1:02,2.0,10.0,SEA 15,16.0,21.0,Geno Smith pass complete short right to Zach Charbonnet for 6 yards (tackle by Jamien Sherwood),-0.71,-0.63,13.0,2024,187
2.0,0:20,3.0,4.0,SEA 21,16.0,21.0,Geno Smith pass incomplete deep right intended for D.K. Metcalf (defended by Sauce Gardner),-0.63,-1.96,13.0,2024,187
2.0,0:14,4.0,4.0,SEA 21,16.0,21.0,"Michael Dickson punts 43 yards, returned by Xavier Gipson for no gain (tackle by Tre Brown)",-1.96,-1.33,13.0,2024,187
2.0,0:06,,,,,,Timeout #1 by Seattle Seahawks,,,13.0,2024,187
2.0,0:06,1.0,10.0,NYJ 36,16.0,21.0,Aaron Rodgers pass incomplete short right intended for Davante Adams,1.33,0.79,13.0,2024,187
2.0,0:03,2.0,10.0,NYJ 36,16.0,21.0,Aaron Rodgers kneels for -1 yards,0.79,-0.03,13.0,2024,187
3.0,15:00,,,SEA 35,16.0,21.0,"Jason Myers kicks off 62 yards, returned by Kene Nwangwu for 28 yards (tackle by Josh Ross)",0.0,1.0,13.0,2024,187
3.0,14:55,1.0,10.0,NYJ 31,16.0,21.0,Aaron Rodgers pass complete short right to Garrett Wilson for 17 yards (tackle by Ernest Jones),1.0,2.13,13.0,2024,187
3.0,14:18,1.0,10.0,NYJ 48,16.0,21.0,Aaron Rodgers pass incomplete short left intended for Davante Adams,2.13,1.58,13.0,2024,187
3.0,14:16,2.0,10.0,NYJ 48,16.0,21.0,Breece Hall left tackle for 2 yards (tackle by Ernest Jones),1.58,1.16,13.0,2024,187
3.0,13:56,3.0,8.0,NYJ 50,16.0,21.0,Aaron Rodgers pass complete short middle to Tyler Conklin for 11 yards (tackle by Devon Witherspoon),1.16,2.98,13.0,2024,187
3.0,13:24,1.0,10.0,SEA 39,16.0,21.0,Braelon Allen right tackle for -2 yards (tackle by Leonard Williams),2.98,2.17,13.0,2024,187
3.0,12:42,2.0,12.0,SEA 41,16.0,21.0,Aaron Rodgers pass complete short left to Xavier Gipson for -1 yards (tackle by Devon Witherspoon),2.17,1.36,13.0,2024,187
3.0,11:55,3.0,13.0,SEA 42,16.0,21.0,Aaron Rodgers pass incomplete deep right intended for Davante Adams,1.36,0.46,13.0,2024,187
3.0,11:47,4.0,13.0,SEA 42,16.0,21.0,"Thomas Morstead punts 42 yards, touchback.",0.46,-0.28,13.0,2024,187
3.0,11:39,1.0,10.0,SEA 20,16.0,21.0,"Kenneth Walker left tackle for no gain (tackle by Jalen Mills). Penalty on Sataoa Laumea: Offensive Holding, 10 yards (declined) . Penalty on Abraham Lucas: Offensive Holding, 10 yards (accepted) (no play)",0.28,-0.76,13.0,2024,187
3.0,11:12,1.0,20.0,SEA 10,16.0,21.0,Geno Smith pass complete short left to Zach Charbonnet for 7 yards (tackle by Jamien Sherwood),-0.76,-0.79,13.0,2024,187
3.0,10:35,2.0,13.0,SEA 17,16.0,21.0,Geno Smith pass complete deep right to D.K. Metcalf for 28 yards (tackle by Sauce Gardner),-0.79,1.93,13.0,2024,187
3.0,9:55,1.0,10.0,SEA 45,16.0,21.0,Kenneth Walker left guard for 7 yards (tackle by Chuck Clark),1.93,2.33,13.0,2024,187
3.0,9:17,2.0,3.0,NYJ 48,16.0,21.0,Kenneth Walker right guard for 10 yards (tackle by Chazz Surratt),2.33,3.05,13.0,2024,187
3.0,8:44,1.0,10.0,NYJ 38,16.0,21.0,Kenneth Walker right guard for 4 yards (tackle by Haason Reddick),3.05,3.05,13.0,2024,187
3.0,8:11,2.0,6.0,NYJ 34,16.0,21.0,Geno Smith pass complete deep left to D.K. Metcalf for 30 yards (tackle by D.J. Reed),3.05,6.28,13.0,2024,187
3.0,7:31,1.0,4.0,NYJ 4,16.0,21.0,Geno Smith pass incomplete short left intended for D.K. Metcalf,6.28,5.34,13.0,2024,187
3.0,7:26,2.0,4.0,NYJ 4,16.0,21.0,Kenneth Walker up the middle for 1 yard (tackle by Micheal Clemons),5.34,4.72,13.0,2024,187
3.0,6:46,3.0,3.0,NYJ 3,16.0,21.0,"Geno Smith pass incomplete short right intended for D.K. Metcalf. Penalty on Chuck Clark: Defensive Pass Interference, 2 yards (accepted) (no play)",4.72,6.97,13.0,2024,187
3.0,6:41,1.0,1.0,NYJ 1,16.0,21.0,Kenneth Walker up the middle for no gain (tackle by Solomon Thomas and Samuel Eguavoen),6.97,5.91,13.0,2024,187
3.0,6:09,2.0,1.0,NYJ 1,16.0,21.0,Geno Smith pass incomplete short right intended for Noah Fant,5.91,5.17,13.0,2024,187
3.0,6:05,,,,,,Timeout #1 by New York Jets,,,13.0,2024,187
3.0,6:05,3.0,1.0,NYJ 1,16.0,21.0,Zach Charbonnet right end for no gain (tackle by Jalen Mills). Penalty on Leonard Taylor: Defensive Offside (accepted) (no play),5.17,5.17,13.0,2024,187
3.0,5:34,,,,,,Timeout #1 by Seattle Seahawks,,,13.0,2024,187
3.0,5:34,3.0,1.0,NYJ 1,16.0,21.0,Geno Smith pass incomplete short right intended for D.K. Metcalf (defended by Sauce Gardner),5.17,3.55,13.0,2024,187
3.0,5:32,4.0,1.0,NYJ 1,16.0,21.0,Geno Smith sacked by Quincy Williams for -15 yards,3.55,0.14,13.0,2024,187
3.0,5:28,1.0,10.0,NYJ 16,16.0,21.0,"Breece Hall up the middle for no gain (tackle by Julian Love). Penalty on Roy Robertson-Harris: Defensive Offside, 5 yards (accepted) (no play)",-0.14,0.74,13.0,2024,187
3.0,5:02,1.0,5.0,NYJ 21,16.0,21.0,Breece Hall right end for 4 yards (tackle by Ernest Jones),0.74,0.69,13.0,2024,187
3.0,4:25,2.0,1.0,NYJ 25,16.0,21.0,"Aaron Rodgers pass complete short left to Tyler Conklin for 4 yards (tackle by Rayshawn Jenkins). Penalty on Dre'Mont Jones: Roughing the Passer, 15 yards (accepted)",0.69,1.86,13.0,2024,187
3.0,3:52,1.0,10.0,NYJ 44,16.0,21.0,"Aaron Rodgers pass complete short left to Breece Hall for no gain (tackle by Jarran Reed). Penalty on Carter Warren: Illegal Formation, 5 yards (accepted) (no play)",1.86,1.53,13.0,2024,187
3.0,3:25,1.0,15.0,NYJ 39,16.0,21.0,"Breece Hall up the middle for 11 yards. Breece Hall fumbles (forced by Julian Love), recovered by Tyrice Knight at SEA-43 and returned for -2 yards (tackle by Malachi Corley)",1.53,-1.66,13.0,2024,187
3.0,3:16,1.0,10.0,SEA 41,16.0,21.0,Geno Smith pass incomplete deep middle intended for D.K. Metcalf,1.66,1.12,13.0,2024,187
3.0,3:11,2.0,10.0,SEA 41,16.0,21.0,Kenneth Walker left guard for 11 yards (tackle by D.J. Reed),1.12,2.39,13.0,2024,187
3.0,2:30,1.0,10.0,NYJ 48,16.0,21.0,Geno Smith pass complete short right to Jaxon Smith-Njigba for no gain (tackle by Sauce Gardner),2.39,1.85,13.0,2024,187
3.0,1:58,2.0,10.0,NYJ 48,16.0,21.0,Geno Smith pass complete short left to Noah Fant for 6 yards (tackle by D.J. Reed and Quincy Williams),1.85,1.95,13.0,2024,187
3.0,1:20,3.0,4.0,NYJ 42,16.0,21.0,Geno Smith pass complete short right to D.K. Metcalf for 3 yards (tackle by D.J. Reed),1.95,0.66,13.0,2024,187
3.0,0:33,4.0,1.0,NYJ 39,16.0,21.0,"Penalty on Sataoa Laumea: False Start, 5 yards (accepted) (no play)",0.66,0.33,13.0,2024,187
3.0,0:16,4.0,6.0,NYJ 44,16.0,21.0,Geno Smith pass complete deep left to Jaxon Smith-Njigba for 24 yards (tackle by Michael Carter),0.33,4.24,13.0,2024,187
4.0,15:00,1.0,10.0,NYJ 20,16.0,21.0,Geno Smith pass complete short right to Kenneth Walker for -4 yards (tackle by Ashtyn Davis),4.24,3.15,13.0,2024,187
4.0,14:36,2.0,14.0,NYJ 24,16.0,21.0,Geno Smith sacked by Will McDonald for -9 yards,3.15,1.29,13.0,2024,187
4.0,13:53,3.0,23.0,NYJ 33,16.0,21.0,Kenneth Walker left end for 8 yards (tackle by Michael Carter),1.29,1.8,13.0,2024,187
4.0,13:16,4.0,15.0,NYJ 25,19.0,21.0,Jason Myers 43 yard field goal good,1.8,3.0,13.0,2024,187
4.0,13:11,,,SEA 35,19.0,21.0,"Jason Myers kicks off 63 yards, returned by Xavier Gipson for 36 yards (tackle by Kenny McIntosh and Tre Brown)",0.0,1.47,13.0,2024,187
4.0,13:06,1.0,10.0,NYJ 38,19.0,21.0,"Aaron Rodgers pass complete deep right to Davante Adams for no gain (tackle by Coby Bryant). Penalty on Davante Adams: Offensive Pass Interference, 10 yards (accepted) (no play)",1.47,0.81,13.0,2024,187
4.0,12:32,1.0,20.0,NYJ 28,19.0,21.0,Aaron Rodgers pass incomplete short middle intended for Garrett Wilson,0.81,-0.43,13.0,2024,187
4.0,12:29,2.0,20.0,NYJ 28,19.0,21.0,"Penalty on Aaron Rodgers: Delay of Game, 5 yards (accepted) (no play)",-0.43,-1.1,13.0,2024,187
4.0,12:29,2.0,25.0,NYJ 23,19.0,21.0,Aaron Rodgers pass incomplete deep right intended for Malachi Corley,-1.1,-1.75,13.0,2024,187
4.0,12:24,3.0,25.0,NYJ 23,19.0,21.0,Aaron Rodgers pass complete short right to Tyler Conklin for 14 yards (tackle by Josh Jobe),-1.75,-0.91,13.0,2024,187
4.0,11:41,4.0,11.0,NYJ 37,19.0,21.0,Thomas Morstead punts 34 yards out of bounds,-0.91,-0.87,13.0,2024,187
4.0,11:34,1.0,10.0,SEA 29,19.0,21.0,Zach Charbonnet right guard for 2 yards (tackle by Tony Adams and Leonard Taylor),0.87,0.6,13.0,2024,187
4.0,10:58,2.0,8.0,SEA 31,19.0,21.0,Geno Smith sacked by Will McDonald for -7 yards,0.6,-1.02,13.0,2024,187
4.0,10:15,3.0,15.0,SEA 24,19.0,21.0,Geno Smith pass complete short right to Noah Fant for 9 yards (tackle by Michael Carter),-1.02,-1.18,13.0,2024,187
4.0,9:34,4.0,6.0,SEA 33,19.0,21.0,"Penalty on NYJ: Defensive Too Many Men on Field, 5 yards (accepted) (no play)",-1.18,-0.85,13.0,2024,187
4.0,9:18,4.0,1.0,SEA 38,19.0,21.0,"Geno Smith pass incomplete deep right intended for D.K. Metcalf. Penalty on Qwan'tez Stiggers: Defensive Pass Interference, 20 yards (accepted) (no play)",-0.85,2.79,13.0,2024,187
4.0,9:13,1.0,10.0,NYJ 42,19.0,21.0,Jaxon Smith-Njigba left end for 5 yards (tackle by Isaiah Oliver),2.79,2.92,13.0,2024,187
4.0,8:35,2.0,5.0,NYJ 37,19.0,21.0,Kenneth Walker up the middle for -1 yards (tackle by Haason Reddick),2.92,2.08,13.0,2024,187
4.0,7:51,3.0,6.0,NYJ 38,19.0,21.0,Geno Smith pass complete short right to D.K. Metcalf for 5 yards (tackle by Qwan'tez Stiggers),2.08,1.21,13.0,2024,187
4.0,7:08,4.0,1.0,NYJ 33,19.0,21.0,"Zach Charbonnet right end for no gain (tackle by Solomon Thomas and Jamien Sherwood). Penalty on Solomon Thomas: Horse Collar Tackle, 16 yards (accepted) (no play)",1.21,4.44,13.0,2024,187
4.0,7:01,1.0,10.0,NYJ 17,19.0,21.0,Kenneth Walker left end for -7 yards (tackle by Quincy Williams),4.44,2.95,13.0,2024,187
4.0,6:21,2.0,17.0,NYJ 24,19.0,21.0,Geno Smith pass complete short left to Noah Fant for 11 yards (tackle by Quincy Williams),2.95,3.68,13.0,2024,187
4.0,5:41,3.0,6.0,NYJ 13,19.0,21.0,"Geno Smith pass incomplete short right. Penalty on Will McDonald: Defensive Offside, 5 yards (accepted) (no play)",3.68,4.8,13.0,2024,187
4.0,5:37,3.0,1.0,NYJ 8,25.0,21.0,"Zach Charbonnet left guard for 8 yards, touchdown. Penalty on AJ Barner: Unsportsmanlike Conduct / Offense, 15 yards (offset) . Penalty on Jalen Mills: Unsportsmanlike Conduct / Defense, 15 yards (offset)",4.8,7.0,13.0,2024,187
4.0,5:31,,,NYJ 15,26.0,21.0,Jason Myers kicks extra point good,0.0,0.0,13.0,2024,187
4.0,5:31,,,SEA 35,26.0,21.0,"Jason Myers kicks off 67 yards, returned by Kene Nwangwu for 30 yards (tackle by Brady Russell and Jake Bobo)",0.0,0.81,13.0,2024,187
4.0,5:25,1.0,10.0,NYJ 28,26.0,21.0,Breece Hall right end for 5 yards (tackle by Byron Murphy),0.81,0.94,13.0,2024,187
4.0,4:44,2.0,5.0,NYJ 33,26.0,21.0,Aaron Rodgers pass complete short left to Garrett Wilson for 13 yards (tackle by Josh Jobe),0.94,1.99,13.0,2024,187
4.0,4:36,1.0,10.0,NYJ 46,26.0,21.0,Aaron Rodgers pass incomplete short left intended for Breece Hall,1.99,1.45,13.0,2024,187
4.0,4:33,2.0,10.0,NYJ 46,26.0,21.0,"Breece Hall right guard for no gain (tackle by Julian Love). Penalty on Garrett Wilson: Illegal Shift, 5 yards (accepted) (no play)",1.45,0.78,13.0,2024,187
4.0,4:26,2.0,15.0,NYJ 41,26.0,21.0,Aaron Rodgers sacked by Leonard Williams for -11 yards,0.78,-1.35,13.0,2024,187
4.0,3:44,3.0,26.0,NYJ 30,26.0,21.0,Aaron Rodgers pass complete short left to Isaiah Davis for 24 yards (tackle by Rayshawn Jenkins),-1.35,0.2,13.0,2024,187
4.0,3:28,4.0,2.0,SEA 46,26.0,21.0,Aaron Rodgers pass complete short left to Davante Adams for 5 yards (tackle by Riq Woolen),0.2,2.85,13.0,2024,187
4.0,3:28,1.0,10.0,SEA 41,26.0,21.0,Aaron Rodgers pass complete short right to Garrett Wilson for 4 yards (tackle by Coby Bryant),2.85,2.85,13.0,2024,187
4.0,2:59,2.0,6.0,SEA 37,26.0,21.0,Isaiah Davis right tackle for 4 yards (tackle by Tyrice Knight and Byron Murphy),2.85,2.68,13.0,2024,187
4.0,2:17,3.0,2.0,SEA 33,26.0,21.0,Aaron Rodgers pass complete short left to Garrett Wilson for 4 yards (tackle by Josh Jobe),2.68,3.64,13.0,2024,187
4.0,2:00,1.0,10.0,SEA 29,26.0,21.0,Aaron Rodgers pass incomplete short middle intended for Davante Adams,3.64,3.1,13.0,2024,187
4.0,1:57,2.0,10.0,SEA 29,26.0,21.0,Aaron Rodgers pass complete short middle to Isaiah Davis for no gain (tackle by Julian Love),3.1,2.41,13.0,2024,187
4.0,1:23,3.0,10.0,SEA 29,26.0,21.0,Aaron Rodgers sacked by Leonard Williams for -5 yards,2.41,1.06,13.0,2024,187
4.0,0:39,4.0,15.0,SEA 34,26.0,21.0,Aaron Rodgers pass incomplete deep left intended for Garrett Wilson,1.06,-1.2,13.0,2024,187
