Quarter,Time,Down,ToGo,Location,PHI,BAL,Detail,EPB,EPA,week,year,game_id
1.0,3:49,,,PHI 15,0.0,9.0,Justin Tucker kicks extra point no good,0.0,-1.0,13.0,2024,193
1.0,3:49,,,BAL 35,0.0,9.0,"Justin Tucker kicks off 61 yards, returned by Kenneth Gainwell for 23 yards (tackle by Adisa Isaac)",0.0,0.74,13.0,2024,193
1.0,3:45,1.0,10.0,PHI 27,0.0,9.0,"Penalty on A.J. Brown: False Start, 5 yards (accepted) (no play)",0.74,0.41,13.0,2024,193
1.0,3:45,1.0,15.0,PHI 22,0.0,9.0,Saquon Barkley left guard for 3 yards (tackle by Trenton Simpson),0.41,-0.07,13.0,2024,193
1.0,3:04,2.0,12.0,PHI 25,0.0,9.0,Jalen Hurts pass complete short left to Saquon Barkley for 5 yards (tackle by Odafe Oweh and Roquan Smith),-0.07,-0.1,13.0,2024,193
1.0,2:21,3.0,7.0,PHI 30,0.0,9.0,Jalen Hurts sacked by and Marlon Humphrey for -6 yards and Roquan Smith for -6 yards,-0.1,-1.77,13.0,2024,193
1.0,1:46,4.0,13.0,PHI 24,0.0,9.0,"Braden Mann punts 49 yards, recovered by Tylan Wallace at BAL-27 (tackle by Sydney Brown). Penalty on Kelee Ringo: Player Out of Bounds on Kick, 5 yards (accepted) (no play)",-1.77,-2.14,13.0,2024,193
1.0,1:38,4.0,18.0,PHI 19,0.0,9.0,"Braden Mann punts 56 yards, returned by Tylan Wallace for 11 yards (tackle by Jeremiah Trotter and Oren Burks)",-2.14,-1.33,13.0,2024,193
1.0,1:28,1.0,10.0,BAL 36,0.0,9.0,Lamar Jackson pass incomplete deep left intended for Isaiah Likely,1.33,0.79,13.0,2024,193
1.0,1:23,2.0,10.0,BAL 36,0.0,9.0,"Lamar Jackson aborted snap, recovered by Lamar Jackson at BAL-27 and returned for -9 yards",0.79,-1.09,13.0,2024,193
1.0,0:40,3.0,19.0,BAL 27,0.0,9.0,Lamar Jackson pass complete short right to Justice Hill for 5 yards (tackle by Nakobe Dean and Zack Baun),-1.09,-1.24,13.0,2024,193
2.0,15:00,4.0,14.0,BAL 32,0.0,9.0,"Jordan Stout punts 58 yards, returned by Britain Covey for 10 yards (tackle by Chris Board)",-1.24,-0.28,13.0,2024,193
2.0,14:49,1.0,10.0,PHI 20,0.0,9.0,Jalen Hurts pass complete short right to A.J. Brown for 13 yards (tackle by Nate Wiggins),0.28,1.14,13.0,2024,193
2.0,14:16,1.0,10.0,PHI 33,0.0,9.0,Saquon Barkley right end for 5 yards (tackle by Tavius Robinson),1.14,1.27,13.0,2024,193
2.0,13:48,2.0,5.0,PHI 38,0.0,9.0,Saquon Barkley right end for 4 yards (tackle by Brent Urban and Ar'Darius Washington),1.27,1.09,13.0,2024,193
2.0,13:05,3.0,1.0,PHI 42,0.0,9.0,Saquon Barkley up the middle for -1 yards (tackle by Chris Board and Tavius Robinson),1.09,-0.65,13.0,2024,193
2.0,12:26,4.0,2.0,PHI 41,0.0,9.0,Braden Mann punts 58 yards downed by Sydney Brown,-0.65,0.38,13.0,2024,193
2.0,12:16,1.0,10.0,BAL 1,0.0,9.0,Lamar Jackson pass complete short middle to Mark Andrews for 5 yards (tackle by Reed Blankenship and Nakobe Dean),-0.38,-0.42,13.0,2024,193
2.0,11:45,2.0,5.0,BAL 6,0.0,9.0,Derrick Henry left guard for no gain (tackle by Nakobe Dean),-0.42,-0.84,13.0,2024,193
2.0,11:09,3.0,5.0,BAL 6,0.0,9.0,Lamar Jackson pass incomplete short right intended for Zay Flowers,-0.84,-2.49,13.0,2024,193
2.0,11:05,4.0,5.0,BAL 6,0.0,9.0,"Jordan Stout punts 48 yards, returned by Britain Covey for 5 yards (tackle by Trenton Simpson)",-2.49,-2.32,13.0,2024,193
2.0,10:55,1.0,10.0,BAL 49,0.0,9.0,Saquon Barkley right tackle for -1 yards (tackle by Tavius Robinson),2.32,1.65,13.0,2024,193
2.0,10:21,2.0,11.0,BAL 50,0.0,9.0,Jalen Hurts pass complete short left to Jahan Dotson for 7 yards (tackle by Kyle Hamilton),1.65,1.88,13.0,2024,193
2.0,9:40,3.0,4.0,BAL 43,0.0,9.0,Saquon Barkley up the middle for 9 yards (tackle by Brandon Stephens),1.88,3.31,13.0,2024,193
2.0,9:08,1.0,10.0,BAL 34,0.0,9.0,Jalen Hurts right tackle for 8 yards (tackle by Travis Jones),3.31,3.85,13.0,2024,193
2.0,8:35,2.0,2.0,BAL 26,0.0,9.0,Jalen Hurts pass complete short left to A.J. Brown for 9 yards (tackle by Brandon Stephens),3.85,4.44,13.0,2024,193
2.0,8:09,1.0,10.0,BAL 17,6.0,9.0,"Jalen Hurts pass complete short left to Dallas Goedert for 17 yards, touchdown",4.44,7.0,13.0,2024,193
2.0,8:04,,,BAL 15,7.0,9.0,Jake Elliott kicks extra point good,0.0,0.0,13.0,2024,193
2.0,8:04,,,PHI 35,7.0,9.0,"Braden Mann kicks off 64 yards, returned by Rasheen Ali for 24 yards (tackle by Ochaun Mathis)",0.0,0.61,13.0,2024,193
2.0,7:59,1.0,10.0,BAL 25,7.0,9.0,Derrick Henry left tackle for 1 yard (tackle by Jordan Davis and Josh Sweat),0.61,0.2,13.0,2024,193
2.0,7:22,2.0,9.0,BAL 26,7.0,9.0,Lamar Jackson pass complete short right to Isaiah Likely for 7 yards (tackle by Cooper DeJean),0.2,0.43,13.0,2024,193
2.0,6:45,3.0,2.0,BAL 33,7.0,9.0,Derrick Henry left end for -4 yards (tackle by Zack Baun),0.43,-1.44,13.0,2024,193
2.0,6:11,4.0,6.0,BAL 29,7.0,9.0,"Jordan Stout punts 43 yards, returned by Britain Covey for 4 yards (tackle by Trenton Simpson)",-1.44,-1.07,13.0,2024,193
2.0,6:02,1.0,10.0,PHI 32,7.0,9.0,Jalen Hurts pass complete short middle to A.J. Brown for 15 yards (tackle by Chris Board),1.07,2.06,13.0,2024,193
2.0,5:36,1.0,10.0,PHI 47,7.0,9.0,Saquon Barkley left end for 5 yards (tackle by Malik Harrison and Chris Board),2.06,2.19,13.0,2024,193
2.0,5:04,2.0,5.0,BAL 48,7.0,9.0,Jalen Hurts pass complete short right to A.J. Brown for 15 yards (tackle by Roquan Smith and Marlon Humphrey),2.19,3.38,13.0,2024,193
2.0,4:20,1.0,10.0,BAL 33,7.0,9.0,"Jalen Hurts pass incomplete short right. Penalty on Mekhi Becton: Ineligible Downfield Pass, 5 yards (accepted) (no play)",3.38,3.05,13.0,2024,193
2.0,4:14,1.0,15.0,BAL 38,7.0,9.0,Jalen Hurts pass complete short middle to A.J. Brown for 14 yards (tackle by Ar'Darius Washington),3.05,4.05,13.0,2024,193
2.0,3:49,2.0,1.0,BAL 24,7.0,9.0,Jalen Hurts pass complete short right to Dallas Goedert for 9 yards (tackle by Ar'Darius Washington),4.05,4.58,13.0,2024,193
2.0,3:22,1.0,10.0,BAL 15,7.0,9.0,Saquon Barkley left end for 5 yards (tackle by Roquan Smith),4.58,4.84,13.0,2024,193
2.0,2:51,2.0,5.0,BAL 10,7.0,9.0,Jalen Hurts pass incomplete short left intended for Dallas Goedert,4.84,4.0,13.0,2024,193
2.0,2:46,3.0,5.0,BAL 10,7.0,9.0,Jalen Hurts up the middle for 9 yards (tackle by Ar'Darius Washington),4.0,6.97,13.0,2024,193
2.0,2:03,1.0,1.0,BAL 1,13.0,9.0,"Jalen Hurts aborted snap, recovered by Jalen Hurts at BAL-1, touchdown",6.97,7.0,13.0,2024,193
2.0,2:00,,,BAL 15,14.0,9.0,Jake Elliott kicks extra point good,0.0,0.0,13.0,2024,193
2.0,2:00,,,PHI 35,14.0,9.0,"Braden Mann kicks off 62 yards, returned by Rasheen Ali for 38 yards (tackle by Kenneth Gainwell)",0.0,1.66,13.0,2024,193
2.0,1:55,1.0,10.0,BAL 41,14.0,9.0,Lamar Jackson pass complete short middle to Tylan Wallace for 12 yards (tackle by Cooper DeJean),1.66,2.46,13.0,2024,193
2.0,1:13,1.0,10.0,PHI 47,14.0,9.0,Lamar Jackson sacked by Nolan Smith for -4 yards,2.46,1.37,13.0,2024,193
2.0,1:07,,,,,,Timeout #1 by Baltimore Ravens,,,13.0,2024,193
2.0,1:07,2.0,14.0,BAL 49,14.0,9.0,Lamar Jackson pass complete short left to Isaiah Likely for 7 yards (tackle by Nakobe Dean and Zack Baun),1.37,1.62,13.0,2024,193
2.0,0:48,3.0,7.0,PHI 44,14.0,9.0,Lamar Jackson scrambles left end for 11 yards (tackle by Nakobe Dean),1.62,3.38,13.0,2024,193
2.0,0:38,,,,,,Timeout #2 by Baltimore Ravens,,,13.0,2024,193
2.0,0:38,1.0,10.0,PHI 33,14.0,9.0,Lamar Jackson pass complete short right to Zay Flowers for 14 yards (tackle by Zack Baun),3.38,4.31,13.0,2024,193
2.0,0:31,,,,,,Timeout #3 by Baltimore Ravens,,,13.0,2024,193
2.0,0:31,1.0,10.0,PHI 19,14.0,9.0,"Lamar Jackson pass incomplete short left Replay Assistant challenged the runner was down by contact ruling, and the original play was overturned. Lamar Jackson sacked by Jalen Carter for -13 yards",4.31,2.01,13.0,2024,193
2.0,0:15,2.0,23.0,PHI 32,14.0,9.0,Lamar Jackson pass incomplete short right,2.01,1.36,13.0,2024,193
2.0,0:08,3.0,23.0,PHI 32,14.0,12.0,Justin Tucker 50 yard field goal good,1.36,3.0,13.0,2024,193
2.0,0:03,,,BAL 35,14.0,12.0,"Justin Tucker kicks off 65 yards, touchback.",0.0,0.94,13.0,2024,193
2.0,0:03,1.0,10.0,PHI 30,14.0,12.0,Jalen Hurts kneels for -1 yards,0.94,0.26,13.0,2024,193
3.0,15:00,,,PHI 35,14.0,12.0,"Braden Mann kicks off 65 yards, touchback.",0.0,0.94,13.0,2024,193
3.0,15:00,1.0,10.0,BAL 30,14.0,12.0,Lamar Jackson scrambles left end for 12 yards (tackle by Zack Baun),0.94,1.73,13.0,2024,193
3.0,14:27,1.0,10.0,BAL 42,14.0,12.0,Derrick Henry right guard for 8 yards (tackle by Josh Sweat),1.73,2.27,13.0,2024,193
3.0,13:52,2.0,2.0,BAL 50,14.0,12.0,Derrick Henry left guard for 5 yards (tackle by Zack Baun),2.27,2.59,13.0,2024,193
3.0,13:14,1.0,10.0,PHI 45,14.0,12.0,Lamar Jackson pass incomplete short left intended for Justice Hill,2.59,2.04,13.0,2024,193
3.0,13:07,2.0,10.0,PHI 45,14.0,12.0,Justice Hill left tackle for 2 yards (tackle by Jalyx Hunt),2.04,1.62,13.0,2024,193
3.0,12:31,3.0,8.0,PHI 43,14.0,12.0,Lamar Jackson pass complete deep middle to Mark Andrews for 23 yards (tackle by C.J. Gardner-Johnson),1.62,4.24,13.0,2024,193
3.0,11:48,1.0,10.0,PHI 20,14.0,12.0,Lamar Jackson pass complete short left to Tylan Wallace for 2 yards (tackle by Reed Blankenship),4.24,3.96,13.0,2024,193
3.0,11:22,2.0,8.0,PHI 18,14.0,12.0,Lamar Jackson pass complete short middle to Justice Hill for 3 yards (tackle by Zack Baun),3.96,3.7,13.0,2024,193
3.0,10:43,3.0,5.0,PHI 15,14.0,12.0,Lamar Jackson sacked by and Zack Baun for -14 yards and Jalyx Hunt for -14 yards,3.7,1.5,13.0,2024,193
3.0,10:00,4.0,19.0,PHI 29,14.0,12.0,Justin Tucker 47 yard field goal no good,1.5,-1.4,13.0,2024,193
3.0,9:55,1.0,10.0,PHI 37,14.0,12.0,Jalen Hurts sacked by Broderick Washington for no gain,1.4,0.86,13.0,2024,193
3.0,9:13,2.0,10.0,PHI 37,14.0,12.0,Saquon Barkley left end for -1 yards (tackle by Travis Jones),0.86,0.04,13.0,2024,193
3.0,8:37,3.0,11.0,PHI 36,14.0,12.0,"Jalen Hurts pass incomplete short left intended for Saquon Barkley. Penalty on Jordan Mailata: Offensive Holding, 10 yards (declined)",0.04,-0.98,13.0,2024,193
3.0,8:29,4.0,11.0,PHI 36,14.0,12.0,"Braden Mann punts 51 yards, returned by Tylan Wallace for 5 yards. Tylan Wallace fumbles (forced by Kelee Ringo), recovered by Tylan Wallace at BAL-18",-0.98,-0.04,13.0,2024,193
3.0,8:16,1.0,10.0,BAL 18,14.0,12.0,Derrick Henry left tackle for 4 yards (tackle by Nolan Smith),0.04,0.14,13.0,2024,193
3.0,7:41,2.0,6.0,BAL 22,14.0,12.0,Lamar Jackson scrambles right end for 8 yards (tackle by Isaiah Rodgers),0.14,0.94,13.0,2024,193
3.0,7:00,1.0,10.0,BAL 30,14.0,12.0,Derrick Henry left guard for 3 yards (tackle by Zack Baun),0.94,0.8,13.0,2024,193
3.0,6:24,2.0,7.0,BAL 33,14.0,12.0,Lamar Jackson pass complete short right to Justice Hill for 2 yards (tackle by Isaiah Rodgers),0.8,0.37,13.0,2024,193
3.0,5:44,3.0,5.0,BAL 35,14.0,12.0,Lamar Jackson scrambles right end for 4 yards (tackle by Isaiah Rodgers),0.37,-0.78,13.0,2024,193
3.0,5:07,4.0,1.0,BAL 39,14.0,12.0,Mark Andrews up the middle for 2 yards (tackle by Nolan Smith and Jalen Carter),-0.78,1.66,13.0,2024,193
3.0,4:28,1.0,10.0,BAL 41,14.0,12.0,Lamar Jackson pass complete short left to Derrick Henry for 10 yards (tackle by Oren Burks),1.66,2.32,13.0,2024,193
3.0,3:52,1.0,10.0,PHI 49,14.0,12.0,Derrick Henry left guard for 5 yards (tackle by Nolan Smith),2.32,2.46,13.0,2024,193
3.0,3:25,2.0,5.0,PHI 44,14.0,12.0,Justice Hill left guard for 3 yards (tackle by Jordan Davis),2.46,2.15,13.0,2024,193
3.0,3:05,3.0,2.0,PHI 41,14.0,12.0,"Lamar Jackson up the middle for 2 yards. Lamar Jackson fumbles (forced by Zack Baun), recovered by Ronnie Stanley at PHI-38",2.15,3.05,13.0,2024,193
3.0,2:22,1.0,10.0,PHI 38,14.0,12.0,Lamar Jackson pass incomplete deep left intended for Nelson Agholor (defended by Cooper DeJean),3.05,2.51,13.0,2024,193
3.0,2:16,2.0,10.0,PHI 38,14.0,12.0,Lamar Jackson right guard for 3 yards (tackle by Moro Ojomo and Josh Sweat),2.51,2.21,13.0,2024,193
3.0,1:35,3.0,7.0,PHI 35,14.0,12.0,Lamar Jackson pass incomplete deep left intended for Nelson Agholor (defended by Avonte Maddox),2.21,0.97,13.0,2024,193
3.0,1:26,4.0,7.0,PHI 35,14.0,12.0,Justin Tucker 53 yard field goal no good,0.97,-1.8,13.0,2024,193
3.0,1:21,1.0,10.0,PHI 43,14.0,12.0,Jalen Hurts right end for -1 yards (tackle by Ar'Darius Washington),1.8,1.12,13.0,2024,193
3.0,0:50,2.0,11.0,PHI 42,14.0,12.0,Jalen Hurts pass complete short left to Saquon Barkley for 5 yards (tackle by Roquan Smith),1.12,1.09,13.0,2024,193
3.0,0:05,3.0,6.0,PHI 47,14.0,12.0,Jalen Hurts pass incomplete short left intended for Saquon Barkley (defended by Brandon Stephens),1.09,-0.26,13.0,2024,193
3.0,0:01,4.0,6.0,PHI 47,14.0,12.0,Braden Mann punts 48 yards downed by Kelee Ringo,-0.26,0.38,13.0,2024,193
4.0,15:00,1.0,10.0,BAL 5,14.0,12.0,Derrick Henry up the middle for 3 yards (tackle by Nolan Smith and Zack Baun),-0.38,-0.56,13.0,2024,193
4.0,14:25,2.0,7.0,BAL 8,14.0,12.0,Derrick Henry right tackle for 5 yards (tackle by Nolan Smith and Nakobe Dean),-0.56,-0.48,13.0,2024,193
4.0,13:44,3.0,2.0,BAL 13,14.0,12.0,"Derrick Henry right end for 5 yards (tackle by Tristin McCollum and Nolan Smith). Penalty on Cooper DeJean: Defensive Holding, 5 yards (accepted)",-0.48,0.48,13.0,2024,193
4.0,13:25,1.0,10.0,BAL 23,14.0,12.0,Lamar Jackson pass complete deep right to Mark Andrews for 16 yards,0.48,1.53,13.0,2024,193
4.0,12:42,1.0,10.0,BAL 39,14.0,12.0,Lamar Jackson pass incomplete deep right intended for Zay Flowers,1.53,0.99,13.0,2024,193
4.0,12:37,2.0,10.0,BAL 39,14.0,12.0,Lamar Jackson pass incomplete deep right intended for Isaiah Likely,0.99,0.3,13.0,2024,193
4.0,12:30,3.0,10.0,BAL 39,14.0,12.0,Lamar Jackson pass complete short middle to Justice Hill for 5 yards (tackle by Nakobe Dean),0.3,-0.46,13.0,2024,193
4.0,11:39,4.0,5.0,BAL 44,14.0,12.0,"Penalty on Jalyn Armour-Davis: False Start, 5 yards (accepted) (no play)",-0.46,-0.78,13.0,2024,193
4.0,11:29,4.0,10.0,BAL 39,14.0,12.0,"Jordan Stout punts 42 yards, returned by Britain Covey for 10 yards (tackle by Chris Board)",-0.78,-0.87,13.0,2024,193
4.0,11:20,1.0,10.0,PHI 29,14.0,12.0,Saquon Barkley left guard for 4 yards (tackle by Roquan Smith and Trenton Simpson),0.87,0.87,13.0,2024,193
4.0,10:57,2.0,6.0,PHI 33,14.0,12.0,"Jalen Hurts pass complete short middle to Saquon Barkley for no gain (tackle by Kyle Hamilton). Penalty on Trenton Simpson: Defensive Holding, 5 yards (accepted) (no play)",0.87,1.47,13.0,2024,193
4.0,10:42,1.0,10.0,PHI 38,14.0,12.0,Saquon Barkley right tackle for 3 yards (tackle by Broderick Washington),1.47,1.33,13.0,2024,193
4.0,9:59,2.0,7.0,PHI 41,14.0,12.0,Jalen Hurts pass incomplete short right,1.33,0.63,13.0,2024,193
4.0,9:52,3.0,7.0,PHI 41,14.0,12.0,Jalen Hurts pass complete short left to Dallas Goedert for 9 yards (tackle by Brandon Stephens),0.63,2.26,13.0,2024,193
4.0,9:21,1.0,10.0,PHI 50,14.0,12.0,Saquon Barkley left tackle for 14 yards (tackle by Kyle Hamilton),2.26,3.18,13.0,2024,193
4.0,8:41,1.0,10.0,BAL 36,14.0,12.0,Jalen Hurts right guard for 11 yards (tackle by Kyle Hamilton),3.18,3.91,13.0,2024,193
4.0,8:04,1.0,10.0,BAL 25,20.0,12.0,"Saquon Barkley right tackle for 25 yards, touchdown",3.91,7.0,13.0,2024,193
4.0,7:56,,,BAL 15,21.0,12.0,Jake Elliott kicks extra point good,0.0,0.0,13.0,2024,193
4.0,7:56,,,PHI 35,21.0,12.0,"Braden Mann kicks off 65 yards, touchback.",0.0,0.94,13.0,2024,193
4.0,7:56,1.0,10.0,BAL 30,21.0,12.0,Derrick Henry right guard for 10 yards (tackle by Tristin McCollum),0.94,1.6,13.0,2024,193
4.0,7:35,1.0,10.0,BAL 40,21.0,12.0,Lamar Jackson pass incomplete deep middle intended for Zay Flowers (defended by Quinyon Mitchell),1.6,1.05,13.0,2024,193
4.0,7:27,2.0,10.0,BAL 40,21.0,12.0,Derrick Henry right guard for -1 yards (tackle by Jalen Carter),1.05,0.23,13.0,2024,193
4.0,7:04,3.0,11.0,BAL 39,21.0,12.0,Lamar Jackson pass complete short left to Derrick Henry for 3 yards (tackle by Cooper DeJean),0.23,-0.59,13.0,2024,193
4.0,6:19,4.0,8.0,BAL 42,21.0,12.0,Lamar Jackson pass incomplete deep middle intended for Zay Flowers (defended by Tristin McCollum),-0.59,-2.79,13.0,2024,193
4.0,6:11,1.0,10.0,BAL 42,21.0,12.0,Saquon Barkley right guard for 8 yards (tackle by Chris Board),2.79,3.32,13.0,2024,193
4.0,5:30,2.0,2.0,BAL 34,21.0,12.0,Saquon Barkley right tackle for 1 yard (tackle by Travis Jones),3.32,2.74,13.0,2024,193
4.0,5:25,,,,,,Timeout #1 by Baltimore Ravens,,,13.0,2024,193
4.0,5:25,3.0,1.0,BAL 33,21.0,12.0,Jalen Hurts up the middle for no gain (tackle by Roquan Smith and Nnamdi Madubuike),2.74,1.21,13.0,2024,193
4.0,5:21,,,,,,Timeout #2 by Baltimore Ravens,,,13.0,2024,193
4.0,5:21,4.0,1.0,BAL 33,21.0,12.0,Jalen Hurts up the middle for 3 yards (tackle by Roquan Smith and Kyle Hamilton),1.21,3.58,13.0,2024,193
4.0,4:27,1.0,10.0,BAL 30,21.0,12.0,Saquon Barkley left end for 3 yards (tackle by Brandon Stephens),3.58,3.44,13.0,2024,193
4.0,3:44,2.0,7.0,BAL 27,21.0,12.0,"Saquon Barkley up the middle for no gain. Saquon Barkley fumbles (forced by Broderick Washington), recovered by Saquon Barkley at BAL-27",3.44,2.74,13.0,2024,193
4.0,3:03,3.0,7.0,BAL 27,21.0,12.0,Saquon Barkley left guard for 7 yards (tackle by Chris Board and Ar'Darius Washington),2.74,4.24,13.0,2024,193
4.0,2:54,,,,,,Timeout #3 by Baltimore Ravens,,,13.0,2024,193
4.0,2:54,1.0,10.0,BAL 20,21.0,12.0,Saquon Barkley left guard for 1 yard (tackle by Brent Urban),4.24,3.82,13.0,2024,193
4.0,2:13,2.0,9.0,BAL 19,21.0,12.0,Saquon Barkley right tackle for 2 yards (tackle by Travis Jones and Roquan Smith),3.82,3.36,13.0,2024,193
4.0,2:00,3.0,7.0,BAL 17,21.0,12.0,Saquon Barkley right end for -5 yards (tackle by Ar'Darius Washington),3.36,1.99,13.0,2024,193
4.0,1:15,,,,,,Timeout #1 by Philadelphia Eagles,,,13.0,2024,193
4.0,1:15,4.0,12.0,BAL 22,21.0,12.0,"Jake Elliott yard field goal no good blocked by Nate Wiggins. Penalty on Nate Wiggins: Defensive Offside, 5 yards (accepted) (no play)",1.99,2.31,13.0,2024,193
4.0,1:07,4.0,7.0,BAL 17,24.0,12.0,Jake Elliott 35 yard field goal good,2.31,3.0,13.0,2024,193
4.0,1:03,,,PHI 35,24.0,12.0,"Braden Mann kicks off 65 yards, touchback.",0.0,0.94,13.0,2024,193
4.0,1:03,1.0,10.0,BAL 30,24.0,12.0,Lamar Jackson pass incomplete short left intended for Justice Hill,0.94,0.39,13.0,2024,193
4.0,0:58,2.0,10.0,BAL 30,24.0,12.0,Lamar Jackson pass complete short left to Isaiah Likely for 3 yards (tackle by Cooper DeJean),0.39,0.1,13.0,2024,193
4.0,0:54,3.0,7.0,BAL 33,24.0,12.0,Lamar Jackson pass complete short middle to Isaiah Likely for 10 yards (tackle by Tristin McCollum),0.1,1.8,13.0,2024,193
4.0,0:33,1.0,10.0,BAL 43,24.0,12.0,Lamar Jackson pass incomplete short middle intended for Isaiah Likely,1.8,1.25,13.0,2024,193
4.0,0:28,2.0,10.0,BAL 43,24.0,12.0,Lamar Jackson pass complete short right to Mark Andrews for 7 yards (tackle by Cooper DeJean),1.25,1.49,13.0,2024,193
4.0,0:22,3.0,3.0,BAL 50,24.0,12.0,Lamar Jackson scrambles left end for 39 yards (tackle by Tristin McCollum),1.49,4.84,13.0,2024,193
4.0,0:07,,,,,,Timeout #2 by Philadelphia Eagles,,,13.0,2024,193
