Quarter,Time,Down,ToGo,Location,ARI,MIN,Detail,EPB,EPA,week,year,game_id
1.0,6:04,2.0,10.0,ARI 27,3.0,0.0,Aaron Jones right tackle for 8 yards (tackle by Sean Murphy-Bunting),3.23,3.64,13.0,2024,186
1.0,5:24,3.0,2.0,ARI 19,3.0,0.0,Sam Darnold sacked by L.J. Collier for -7 yards,3.64,1.74,13.0,2024,186
1.0,4:44,4.0,9.0,ARI 26,3.0,3.0,John Parker Romo 44 yard field goal good,1.74,3.0,13.0,2024,186
1.0,4:42,,,MIN 35,3.0,3.0,"John Parker Romo kicks off 66 yards, returned by Greg Dortch for 26 yards (tackle by Theo Jackson and Ty Chandler)",0.0,0.61,13.0,2024,186
1.0,4:35,1.0,10.0,ARI 25,3.0,3.0,Kyler Murray pass complete short left to James Conner for 2 yards (tackle by Blake Cashman),0.61,0.33,13.0,2024,186
1.0,4:05,2.0,8.0,ARI 27,3.0,3.0,Kyler Murray pass complete short middle to James Conner for 7 yards (tackle by Josh Metellus and Blake Cashman),0.33,0.56,13.0,2024,186
1.0,3:26,3.0,1.0,ARI 34,3.0,3.0,James Conner right tackle for 2 yards (tackle by Stephon Gilmore and Andrew Van Ginkel),0.56,1.33,13.0,2024,186
1.0,2:49,1.0,10.0,ARI 36,3.0,3.0,Kyler Murray left end for 6 yards (tackle by Harrison Smith and Josh Metellus),1.33,1.6,13.0,2024,186
1.0,2:16,2.0,4.0,ARI 42,3.0,3.0,James Conner right guard for 2 yards (tackle by Harrison Phillips and Jonathan Bullard),1.6,1.16,13.0,2024,186
1.0,1:36,3.0,2.0,ARI 44,3.0,3.0,Kyler Murray pass incomplete deep right intended for Marvin Harrison,1.16,-0.46,13.0,2024,186
1.0,1:31,4.0,2.0,ARI 44,3.0,3.0,"Blake Gillikin punts 42 yards, fair catch by Brandon Powell at MIN-14",-0.46,0.28,13.0,2024,186
1.0,1:24,1.0,10.0,MIN 14,3.0,3.0,"Sam Darnold pass complete short middle to Aaron Jones for 5 yards. Aaron Jones fumbles (tackle by Baron Browning), recovered by Roy Lopez at MIN-19",-0.28,-4.31,13.0,2024,186
1.0,1:15,1.0,10.0,MIN 19,3.0,3.0,"Penalty on Tip Reiman: False Start, 5 yards (accepted) (no play)",4.31,3.97,13.0,2024,186
1.0,1:15,1.0,15.0,MIN 24,3.0,3.0,Kyler Murray scrambles right end for 1 yard (tackle by Blake Cashman),3.97,3.22,13.0,2024,186
1.0,0:32,2.0,14.0,MIN 23,3.0,3.0,"Kyler Murray pass complete short left to James Conner for no gain (tackle by Jonathan Greenard). Penalty on Hjalte Froholdt: Ineligible Downfield Pass, 5 yards (accepted) (no play)",3.22,2.55,13.0,2024,186
1.0,0:10,2.0,19.0,MIN 28,3.0,3.0,Kyler Murray pass complete short left to Greg Dortch for -2 yards (tackle by Shaquill Griffin and Andrew Van Ginkel),2.55,1.62,13.0,2024,186
2.0,15:00,3.0,21.0,MIN 30,3.0,3.0,Emari Demercado up the middle for 3 yards (tackle by Jihad Ward and Patrick Jones),1.62,1.67,13.0,2024,186
2.0,14:20,4.0,18.0,MIN 27,3.0,3.0,Chad Ryland 45 yard field goal no good,1.67,-1.27,13.0,2024,186
2.0,14:18,1.0,10.0,MIN 35,3.0,3.0,Cam Akers right end for 3 yards (tackle by Naquan Jones and Zaven Collins),1.27,1.13,13.0,2024,186
2.0,13:46,2.0,7.0,MIN 38,3.0,3.0,Sam Darnold pass complete short right to Jordan Addison for 3 yards (tackle by Sean Murphy-Bunting),1.13,0.83,13.0,2024,186
2.0,13:07,3.0,4.0,MIN 41,3.0,3.0,Sam Darnold sacked by Kyzir White for -9 yards,0.83,-1.24,13.0,2024,186
2.0,12:22,4.0,13.0,MIN 32,3.0,3.0,"Ryan Wright punts 59 yards, returned by Greg Dortch for 7 yards (tackle by Brian Asamoah)",-1.24,0.14,13.0,2024,186
2.0,12:10,1.0,10.0,ARI 16,3.0,3.0,"Penalty on Michael Wilson: False Start, 5 yards (accepted) (no play)",-0.14,-0.54,13.0,2024,186
2.0,12:10,1.0,15.0,ARI 11,3.0,3.0,James Conner right guard for 1 yard (tackle by Josh Metellus and Harrison Phillips),-0.54,-1.07,13.0,2024,186
2.0,11:42,2.0,14.0,ARI 12,3.0,3.0,Kyler Murray scrambles right tackle for 19 yards (tackle by Harrison Smith),-1.07,1.0,13.0,2024,186
2.0,10:58,1.0,10.0,ARI 31,3.0,3.0,Kyler Murray pass incomplete short right intended for James Conner,1.0,0.46,13.0,2024,186
2.0,10:54,2.0,10.0,ARI 31,3.0,3.0,"Penalty on Tip Reiman: False Start, 5 yards (accepted) (no play)",0.46,-0.22,13.0,2024,186
2.0,10:54,2.0,15.0,ARI 26,3.0,3.0,Kyler Murray pass complete deep left to Michael Wilson for 22 yards (tackle by Byron Murphy),-0.22,2.13,13.0,2024,186
2.0,10:15,1.0,10.0,ARI 48,3.0,3.0,Greg Dortch right end for 6 yards (tackle by Camryn Bynum),2.13,2.39,13.0,2024,186
2.0,9:32,2.0,4.0,MIN 46,3.0,3.0,Kyler Murray pass complete short middle to Michael Wilson for 13 yards (tackle by Camryn Bynum),2.39,3.38,13.0,2024,186
2.0,8:51,1.0,10.0,MIN 33,3.0,3.0,"Kyler Murray pass complete deep right to Elijah Higgins for 19 yards. Penalty on Bo Richter: Defensive Holding, 5 yards (declined)",3.38,4.65,13.0,2024,186
2.0,8:29,1.0,10.0,MIN 14,3.0,3.0,"James Conner left end for no gain (tackle by Josh Metellus). Penalty on Isaiah Adams: Offensive Holding, 10 yards (accepted) (no play)",4.65,3.97,13.0,2024,186
2.0,8:12,1.0,20.0,MIN 24,3.0,3.0,James Conner right tackle for 2 yards (tackle by Harrison Phillips and Andrew Van Ginkel),3.97,3.01,13.0,2024,186
2.0,7:34,2.0,18.0,MIN 22,3.0,3.0,Kyler Murray pass complete short middle to Trey McBride for 6 yards (tackle by Blake Cashman),3.01,3.0,13.0,2024,186
2.0,6:50,3.0,12.0,MIN 16,3.0,3.0,Kyler Murray pass complete short left to Emari Demercado for 3 yards (tackle by Blake Cashman),3.0,2.57,13.0,2024,186
2.0,6:05,4.0,9.0,MIN 13,6.0,3.0,Chad Ryland 31 yard field goal good,2.57,3.0,13.0,2024,186
2.0,6:01,,,ARI 35,6.0,3.0,"Chad Ryland kicks off 65 yards, touchback.",0.0,0.94,13.0,2024,186
2.0,6:01,1.0,10.0,MIN 30,6.0,3.0,Sam Darnold pass complete short left to Justin Jefferson for 9 yards (tackle by Max Melton),0.94,1.61,13.0,2024,186
2.0,5:26,2.0,1.0,MIN 39,6.0,3.0,Ty Chandler left guard for no gain (tackle by Budda Baker and Kyzir White),1.61,0.89,13.0,2024,186
2.0,4:47,3.0,1.0,MIN 39,6.0,3.0,Ty Chandler right guard for 2 yards (tackle by Budda Baker and Jesse Luketa),0.89,1.66,13.0,2024,186
2.0,4:11,1.0,10.0,MIN 41,6.0,3.0,Sam Darnold scrambles right guard for 3 yards (tackle by Kyzir White),1.66,1.53,13.0,2024,186
2.0,3:43,2.0,7.0,MIN 44,6.0,3.0,Sam Darnold pass complete short middle to Justin Jefferson for 23 yards (tackle by Jalen Thompson and Starling Thomas),1.53,3.38,13.0,2024,186
2.0,2:59,1.0,10.0,ARI 33,6.0,3.0,Sam Darnold pass complete short right to Aaron Jones for -4 yards (tackle by Roy Lopez),3.38,2.3,13.0,2024,186
2.0,2:15,2.0,14.0,ARI 37,6.0,3.0,Sam Darnold pass complete short middle to Brandon Powell for 8 yards (tackle by Zaven Collins),2.3,2.68,13.0,2024,186
2.0,2:00,3.0,6.0,ARI 29,6.0,3.0,Sam Darnold sacked by Mack Wilson for -8 yards,2.68,0.79,13.0,2024,186
2.0,1:16,4.0,14.0,ARI 37,6.0,6.0,John Parker Romo 55 yard field goal good,0.79,3.0,13.0,2024,186
2.0,1:12,,,MIN 35,6.0,6.0,"John Parker Romo kicks off 65 yards, touchback.",0.0,0.94,13.0,2024,186
2.0,1:12,1.0,10.0,ARI 30,6.0,6.0,Kyler Murray pass complete short right to Trey McBride for 6 yards (tackle by Stephon Gilmore),0.94,1.2,13.0,2024,186
2.0,1:07,2.0,4.0,ARI 36,6.0,6.0,Kyler Murray pass incomplete short right intended for Marvin Harrison (defended by Stephon Gilmore),1.2,0.5,13.0,2024,186
2.0,1:03,3.0,4.0,ARI 36,6.0,6.0,Kyler Murray pass complete short middle to Marvin Harrison for 14 yards (tackle by Shaquill Griffin),0.5,2.26,13.0,2024,186
2.0,0:56,,,,,,Timeout #1 by Arizona Cardinals,,,13.0,2024,186
2.0,0:56,1.0,10.0,ARI 50,6.0,6.0,Kyler Murray pass incomplete short left intended for Emari Demercado,2.26,1.71,13.0,2024,186
2.0,0:51,2.0,10.0,ARI 50,6.0,6.0,Kyler Murray scrambles left end for 11 yards (tackle by Byron Murphy),1.71,2.98,13.0,2024,186
2.0,0:41,1.0,10.0,MIN 39,6.0,6.0,Kyler Murray pass complete short left to Michael Wilson for 5 yards (tackle by Byron Murphy),2.98,3.12,13.0,2024,186
2.0,0:31,,,,,,Timeout #2 by Arizona Cardinals,,,13.0,2024,186
2.0,0:31,2.0,5.0,MIN 34,6.0,6.0,Kyler Murray pass complete short left to Trey McBride for 7 yards (tackle by Josh Metellus),3.12,3.78,13.0,2024,186
2.0,0:27,1.0,10.0,MIN 27,6.0,6.0,"Penalty on Jihad Ward: Neutral Zone Infraction, 5 yards (accepted) (no play)",3.78,4.51,13.0,2024,186
2.0,0:27,1.0,5.0,MIN 22,6.0,6.0,Kyler Murray pass incomplete deep right intended for Marvin Harrison,4.51,3.91,13.0,2024,186
2.0,0:23,2.0,5.0,MIN 22,6.0,6.0,Kyler Murray pass complete short left to Trey McBride for 5 yards (tackle by Josh Metellus),3.91,4.44,13.0,2024,186
2.0,0:17,,,,,,Timeout #3 by Arizona Cardinals,,,13.0,2024,186
2.0,0:17,,,,,,Timeout #1 by Minnesota Vikings,,,13.0,2024,186
2.0,0:17,1.0,10.0,MIN 17,6.0,6.0,Kyler Murray pass complete short middle to Trey McBride for 11 yards (tackle by Byron Murphy),4.44,5.83,13.0,2024,186
2.0,0:03,1.0,6.0,MIN 6,6.0,6.0,Kyler Murray spiked the ball,5.83,4.95,13.0,2024,186
2.0,0:02,2.0,6.0,MIN 6,9.0,6.0,Chad Ryland 24 yard field goal good,4.95,3.0,13.0,2024,186
3.0,15:00,,,ARI 35,9.0,6.0,"Chad Ryland kicks off 65 yards, touchback.",0.0,0.94,13.0,2024,186
3.0,15:00,1.0,10.0,MIN 30,9.0,6.0,"Sam Darnold pass incomplete deep right intended for Justin Jefferson. Penalty on Sean Murphy-Bunting: Defensive Pass Interference, 28 yards (accepted) (no play)",0.94,2.79,13.0,2024,186
3.0,14:55,1.0,10.0,ARI 42,9.0,6.0,Aaron Jones right guard for 5 yards (tackle by Budda Baker and Roy Lopez),2.79,2.92,13.0,2024,186
3.0,14:34,2.0,5.0,ARI 37,9.0,6.0,Sam Darnold pass complete short left to T.J. Hockenson for 12 yards (tackle by Mack Wilson),2.92,3.91,13.0,2024,186
3.0,13:51,1.0,10.0,ARI 25,9.0,6.0,Sam Darnold pass incomplete short right intended for T.J. Hockenson,3.91,3.36,13.0,2024,186
3.0,13:41,2.0,10.0,ARI 25,9.0,6.0,Sam Darnold pass incomplete short middle intended for T.J. Hockenson (defended by Naquan Jones),3.36,2.68,13.0,2024,186
3.0,13:36,3.0,10.0,ARI 25,9.0,6.0,Sam Darnold pass incomplete deep middle intended for Jalen Nailor,2.68,1.8,13.0,2024,186
3.0,13:31,4.0,10.0,ARI 25,9.0,6.0,John Parker Romo 43 yard field goal no good,1.8,-1.14,13.0,2024,186
3.0,13:28,1.0,10.0,ARI 33,9.0,6.0,James Conner left guard for -2 yards (tackle by Andrew Van Ginkel and Jalen Redmond),1.14,0.32,13.0,2024,186
3.0,12:52,2.0,12.0,ARI 31,9.0,6.0,"Kyler Murray pass incomplete deep left intended for Marvin Harrison (defended by Byron Murphy). Penalty on Tip Reiman: Offensive Holding, 10 yards (declined)",0.32,-0.36,13.0,2024,186
3.0,12:44,3.0,12.0,ARI 31,9.0,6.0,"Kyler Murray pass incomplete short middle intended for Greg Dortch. Penalty on Fabian Moreau: Defensive Pass Interference, 13 yards (accepted) (no play)",-0.36,1.86,13.0,2024,186
3.0,12:39,1.0,10.0,ARI 44,9.0,6.0,Kyler Murray pass complete short right to Marvin Harrison for 9 yards (tackle by Shaquill Griffin),1.86,2.53,13.0,2024,186
3.0,11:59,2.0,1.0,MIN 47,9.0,6.0,James Conner left guard for 4 yards (tackle by Harrison Phillips),2.53,2.72,13.0,2024,186
3.0,11:24,1.0,10.0,MIN 43,9.0,6.0,Kyler Murray pass complete short right to Trey McBride for 7 yards (tackle by Camryn Bynum),2.72,3.12,13.0,2024,186
3.0,10:49,2.0,3.0,MIN 36,9.0,6.0,James Conner left tackle for 9 yards (tackle by Josh Metellus),3.12,3.78,13.0,2024,186
3.0,10:07,1.0,10.0,MIN 27,9.0,6.0,James Conner up the middle for 4 yards (tackle by Jalen Redmond and Harrison Phillips),3.78,3.77,13.0,2024,186
3.0,9:25,2.0,6.0,MIN 23,9.0,6.0,Kyler Murray pass incomplete short right intended for Marvin Harrison,3.77,3.07,13.0,2024,186
3.0,9:20,3.0,6.0,MIN 23,9.0,6.0,Emari Demercado left end for 1 yard (tackle by Blake Cashman and Patrick Jones),3.07,2.04,13.0,2024,186
3.0,8:38,4.0,5.0,MIN 22,12.0,6.0,Chad Ryland 40 yard field goal good,2.04,3.0,13.0,2024,186
3.0,8:33,,,ARI 35,12.0,6.0,"Chad Ryland kicks off 65 yards, touchback.",0.0,0.94,13.0,2024,186
3.0,8:33,1.0,10.0,MIN 30,12.0,6.0,Aaron Jones left end for 1 yard (tackle by Kyzir White),0.94,0.53,13.0,2024,186
3.0,7:57,2.0,9.0,MIN 31,12.0,6.0,Sam Darnold sacked by Mack Wilson for -6 yards,0.53,-0.96,13.0,2024,186
3.0,7:14,3.0,15.0,MIN 25,12.0,6.0,Sam Darnold pass incomplete short left intended for Justin Jefferson,-0.96,-1.7,13.0,2024,186
3.0,7:08,4.0,15.0,MIN 25,12.0,6.0,"Ryan Wright punts 51 yards, returned by Greg Dortch for 3 yards (tackle by Bo Richter)",-1.7,-0.74,13.0,2024,186
3.0,6:59,1.0,10.0,ARI 27,12.0,6.0,Kyler Murray scrambles right end for 3 yards (tackle by Josh Metellus),0.74,0.6,13.0,2024,186
3.0,6:21,2.0,7.0,ARI 30,12.0,6.0,Kyler Murray pass complete deep right to Marvin Harrison for 16 yards,0.6,1.99,13.0,2024,186
3.0,5:56,1.0,10.0,ARI 46,12.0,6.0,Trey Benson left end for 1 yard (tackle by Josh Metellus and Patrick Jones),1.99,1.52,13.0,2024,186
3.0,5:10,2.0,10.0,ARI 47,12.0,6.0,"Kyler Murray pass incomplete short right intended for Tip Reiman. Penalty on Hjalte Froholdt: Offensive Holding, 10 yards (accepted) (no play)",1.52,0.24,13.0,2024,186
3.0,5:10,2.0,19.0,ARI 37,12.0,6.0,Kyler Murray pass complete short middle to Michael Wilson for 10 yards (tackle by Theo Jackson),0.24,0.89,13.0,2024,186
3.0,4:48,3.0,9.0,ARI 47,12.0,6.0,"Kyler Murray pass incomplete deep middle intended for Zay Jones. Penalty on Fabian Moreau: Defensive Pass Interference, 38 yards (accepted) (no play)",0.89,4.58,13.0,2024,186
3.0,4:43,1.0,10.0,MIN 15,18.0,6.0,"Kyler Murray pass complete short right to Marvin Harrison for 15 yards, touchdown",4.58,7.0,13.0,2024,186
3.0,4:37,,,MIN 15,19.0,6.0,Chad Ryland kicks extra point good,0.0,0.0,13.0,2024,186
3.0,4:37,,,ARI 35,19.0,6.0,"Chad Ryland kicks off 65 yards, touchback.",0.0,0.94,13.0,2024,186
3.0,4:37,1.0,10.0,MIN 30,19.0,6.0,Sam Darnold pass complete short middle to Jalen Nailor for 18 yards (tackle by Budda Baker),0.94,2.13,13.0,2024,186
3.0,4:15,1.0,10.0,MIN 48,19.0,6.0,Cam Akers right end for 18 yards (tackle by Jalen Thompson),2.13,3.31,13.0,2024,186
3.0,3:29,1.0,10.0,ARI 34,19.0,6.0,Sam Darnold pass complete short right to Justin Jefferson for 15 yards (tackle by Mack Wilson),3.31,4.31,13.0,2024,186
3.0,2:46,1.0,10.0,ARI 19,19.0,6.0,Sam Darnold pass complete short left to Justin Jefferson for 4 yards (tackle by Kyzir White),4.31,4.35,13.0,2024,186
3.0,2:06,2.0,6.0,ARI 15,19.0,6.0,Sam Darnold pass complete short middle to T.J. Hockenson for 11 yards (tackle by Kyzir White and Naquan Jones),4.35,6.28,13.0,2024,186
3.0,1:24,1.0,4.0,ARI 4,19.0,12.0,"Sam Darnold pass complete short left to Johnny Mundt for 4 yards, touchdown",6.28,7.0,13.0,2024,186
3.0,1:17,,,ARI 15,19.0,13.0,John Parker Romo kicks extra point good,0.0,0.0,13.0,2024,186
3.0,1:17,,,MIN 35,19.0,13.0,"John Parker Romo kicks off 65 yards, touchback.",0.0,0.94,13.0,2024,186
3.0,1:17,1.0,10.0,ARI 30,19.0,13.0,James Conner left guard for 12 yards (tackle by Camryn Bynum),0.94,1.73,13.0,2024,186
3.0,0:36,1.0,10.0,ARI 42,19.0,13.0,Kyler Murray pass complete short left to Greg Dortch for 3 yards (tackle by Andrew Van Ginkel),1.73,1.59,13.0,2024,186
4.0,15:00,2.0,7.0,ARI 45,19.0,13.0,Kyler Murray pass incomplete deep right intended for Marvin Harrison (defended by Fabian Moreau),1.59,0.89,13.0,2024,186
4.0,14:57,3.0,7.0,ARI 45,19.0,13.0,Kyler Murray pass deep left intended for Michael Wilson is intercepted by Byron Murphy at MIN-32 and returned for no gain (tackle by Michael Wilson),0.89,-1.07,13.0,2024,186
4.0,14:47,1.0,10.0,MIN 32,19.0,13.0,Cam Akers right end for -4 yards (tackle by Baron Browning),1.07,-0.01,13.0,2024,186
4.0,14:10,2.0,14.0,MIN 28,19.0,13.0,Sam Darnold pass complete deep right to Justin Jefferson for 30 yards (tackle by Mack Wilson),-0.01,2.79,13.0,2024,186
4.0,13:27,1.0,10.0,ARI 42,19.0,13.0,Sam Darnold sacked by L.J. Collier for no gain,2.79,2.24,13.0,2024,186
4.0,12:39,,,,,,Timeout #1 by Minnesota Vikings,,,13.0,2024,186
4.0,12:39,2.0,10.0,ARI 42,19.0,13.0,Sam Darnold scrambles left end for 12 yards (tackle by Victor Dimukeje),2.24,3.58,13.0,2024,186
4.0,11:58,1.0,10.0,ARI 30,19.0,13.0,Sam Darnold pass complete deep right to Jordan Addison for 17 yards,3.58,4.71,13.0,2024,186
4.0,11:24,1.0,10.0,ARI 13,19.0,13.0,Sam Darnold pass incomplete short right intended for Aaron Jones,4.71,4.05,13.0,2024,186
4.0,11:20,2.0,10.0,ARI 13,19.0,13.0,Sam Darnold pass incomplete short middle intended for T.J. Hockenson (defended by Roy Lopez),4.05,3.12,13.0,2024,186
4.0,11:16,3.0,10.0,ARI 13,19.0,13.0,Sam Darnold pass incomplete short left intended for Jordan Addison,3.12,2.57,13.0,2024,186
4.0,11:11,4.0,10.0,ARI 13,19.0,16.0,John Parker Romo 31 yard field goal good,2.57,3.0,13.0,2024,186
4.0,11:08,,,MIN 35,19.0,16.0,"John Parker Romo kicks off 65 yards, touchback.",0.0,0.94,13.0,2024,186
4.0,11:08,1.0,10.0,ARI 30,19.0,16.0,Kyler Murray pass incomplete short middle intended for Greg Dortch (defended by Harrison Phillips),0.94,0.39,13.0,2024,186
4.0,11:05,2.0,10.0,ARI 30,19.0,16.0,James Conner left end for 16 yards (tackle by Harrison Smith and Camryn Bynum),0.39,1.99,13.0,2024,186
4.0,10:19,1.0,10.0,ARI 46,19.0,16.0,Kyler Murray pass incomplete short right intended for Michael Wilson (defended by Byron Murphy),1.99,1.45,13.0,2024,186
4.0,10:13,2.0,10.0,ARI 46,19.0,16.0,James Conner right tackle for -2 yards (tackle by Jalen Redmond and Andrew Van Ginkel),1.45,0.5,13.0,2024,186
4.0,9:19,3.0,12.0,ARI 44,19.0,16.0,Kyler Murray pass complete short left to Trey McBride for 14 yards (tackle by Blake Cashman),0.5,2.79,13.0,2024,186
4.0,8:40,1.0,10.0,MIN 42,19.0,16.0,James Conner up the middle for -3 yards (tackle by Jalen Redmond),2.79,1.91,13.0,2024,186
4.0,7:56,2.0,12.0,MIN 45,19.0,16.0,Kyler Murray pass complete short right to Marvin Harrison for 6 yards (tackle by Shaquill Griffin),1.91,2.01,13.0,2024,186
4.0,7:13,3.0,6.0,MIN 39,19.0,16.0,Emari Demercado up the middle for 8 yards (tackle by Patrick Jones),2.01,3.51,13.0,2024,186
4.0,6:29,1.0,10.0,MIN 31,19.0,16.0,Kyler Murray left end for 5 yards (tackle by Shaquill Griffin),3.51,3.64,13.0,2024,186
4.0,5:47,2.0,5.0,MIN 26,19.0,16.0,Kyler Murray pass complete short left to Trey McBride for 5 yards (tackle by Camryn Bynum),3.64,4.17,13.0,2024,186
4.0,5:04,1.0,10.0,MIN 21,19.0,16.0,James Conner left tackle for 7 yards (tackle by Blake Cashman),4.17,4.74,13.0,2024,186
4.0,4:18,2.0,3.0,MIN 14,19.0,16.0,Kyler Murray pass complete short left to Trey McBride for 9 yards (tackle by Camryn Bynum),4.74,6.06,13.0,2024,186
4.0,4:14,1.0,5.0,MIN 5,19.0,16.0,"Penalty on Tip Reiman: False Start, 5 yards (accepted) (no play)",6.06,4.91,13.0,2024,186
4.0,4:14,1.0,10.0,MIN 10,19.0,16.0,"Kyler Murray pass incomplete short right. Penalty on Kyler Murray: Intentional Grounding, 15 yards (accepted)",4.91,2.33,13.0,2024,186
4.0,4:09,2.0,25.0,MIN 25,19.0,16.0,Trey Benson right guard for 9 yards (tackle by Patrick Jones),2.33,2.85,13.0,2024,186
4.0,3:29,3.0,16.0,MIN 16,19.0,16.0,Kyler Murray pass complete short left to Trey McBride for 12 yards (tackle by Camryn Bynum and Harrison Smith),2.85,3.03,13.0,2024,186
4.0,3:23,,,,,,Timeout #2 by Minnesota Vikings,,,13.0,2024,186
4.0,3:23,4.0,4.0,MIN 4,22.0,16.0,Chad Ryland 23 yard field goal good,3.03,3.0,13.0,2024,186
4.0,3:20,,,ARI 35,22.0,16.0,"Chad Ryland kicks off 65 yards, touchback.",0.0,0.94,13.0,2024,186
4.0,3:20,1.0,10.0,MIN 30,22.0,16.0,Sam Darnold pass complete short left to Justin Jefferson for 6 yards (tackle by Jalen Thompson),0.94,1.2,13.0,2024,186
4.0,2:59,2.0,4.0,MIN 36,22.0,16.0,Sam Darnold pass complete deep middle to Jordan Addison for 26 yards (tackle by Budda Baker),1.2,3.05,13.0,2024,186
4.0,2:35,1.0,10.0,ARI 38,22.0,16.0,Cam Akers right guard for 5 yards (tackle by Jesse Luketa and Dante Stills),3.05,3.18,13.0,2024,186
4.0,2:19,2.0,5.0,ARI 33,22.0,16.0,Sam Darnold pass incomplete short right,3.18,2.48,13.0,2024,186
4.0,2:14,3.0,5.0,ARI 33,22.0,16.0,Sam Darnold pass incomplete short left intended for Justin Jefferson (defended by Mack Wilson),2.48,1.17,13.0,2024,186
4.0,2:10,4.0,5.0,ARI 33,22.0,16.0,Sam Darnold pass complete short right to Justin Jefferson for 12 yards (tackle by Baron Browning),1.17,4.17,13.0,2024,186
4.0,2:00,1.0,10.0,ARI 21,22.0,16.0,"Sam Darnold pass incomplete short middle intended for T.J. Hockenson. Penalty on Jalen Thompson: Defensive Pass Interference, 8 yards (accepted) (no play)",4.17,4.71,13.0,2024,186
4.0,1:56,1.0,10.0,ARI 13,22.0,16.0,Sam Darnold pass complete short left to Jordan Addison for 8 yards (tackle by Garrett Williams),4.71,5.54,13.0,2024,186
4.0,1:18,2.0,2.0,ARI 5,22.0,22.0,"Sam Darnold pass complete short right to Aaron Jones for 5 yards, touchdown",5.54,7.0,13.0,2024,186
4.0,1:13,,,ARI 15,22.0,23.0,John Parker Romo kicks extra point good,0.0,0.0,13.0,2024,186
4.0,1:13,,,MIN 35,22.0,23.0,"John Parker Romo kicks off 65 yards, touchback.",0.0,0.94,13.0,2024,186
4.0,1:13,1.0,10.0,ARI 30,22.0,23.0,Kyler Murray pass complete short middle to Michael Wilson for 5 yards (tackle by Harrison Smith),0.94,1.07,13.0,2024,186
