Quarter,Time,Down,ToGo,Location,LAR,LAC,Detail,EPB,EPA,week,year,game_id
3.0,10:39,3.0,1.0,LAR 15,10.0,17.0,Justin Herbert up the middle for 2 yards (tackle by Bobby Brown),4.17,4.71,17.0,2022,254
3.0,10:04,1.0,10.0,LAR 13,10.0,17.0,Joshua Kelley left guard for no gain (tackle by Michael Hoecht and Larrell Murchison),4.71,4.05,17.0,2022,254
3.0,9:31,2.0,10.0,LAR 13,10.0,17.0,Justin Herbert pass complete short left to Austin Ekeler for 7 yards (tackle by Taylor Rapp and Ernest Jones),4.05,4.56,17.0,2022,254
3.0,8:50,3.0,3.0,LAR 6,10.0,23.0,"Justin Herbert pass complete short middle to Gerald Everett for 6 yards, touchdown",4.56,7.0,17.0,2022,254
3.0,8:46,,,LAR 15,10.0,24.0,Cameron Dicker kicks extra point good,0.0,0.0,17.0,2022,254
3.0,8:46,,,LAC 35,10.0,24.0,"Cameron Dicker kicks off 65 yards, touchback.",0.0,0.61,17.0,2022,254
3.0,8:46,1.0,10.0,LAR 25,10.0,24.0,Cam Akers left guard for 13 yards (tackle by Asante Samuel),0.61,1.47,17.0,2022,254
3.0,8:06,1.0,10.0,LAR 38,10.0,24.0,Baker Mayfield pass complete deep left to Brycen Hopkins for 21 yards (tackle by Ja'Sir Taylor and Drue Tranquill),1.47,2.85,17.0,2022,254
3.0,7:16,,,,,,Timeout #1 by Los Angeles Rams,,,17.0,2022,254
3.0,7:16,1.0,10.0,LAC 41,10.0,24.0,Cam Akers right end for 2 yards (tackle by Sebastian Joseph-Day and Kenneth Murray),2.85,2.58,17.0,2022,254
3.0,6:33,2.0,8.0,LAC 39,10.0,24.0,Baker Mayfield pass complete short right to Tutu Atwell for 4 yards (tackle by Michael Davis),2.58,2.41,17.0,2022,254
3.0,6:14,3.0,4.0,LAC 35,10.0,24.0,"Baker Mayfield sacked by Kyle Van Noy for -4 yards. Baker Mayfield fumbles (forced by Kyle Van Noy), recovered by Kyle Van Noy at LAC-39",2.41,-1.53,17.0,2022,254
3.0,6:09,1.0,10.0,LAC 39,10.0,24.0,Larry Rountree left guard for 4 yards (tackle by Michael Hoecht),1.53,1.53,17.0,2022,254
3.0,5:34,2.0,6.0,LAC 43,10.0,24.0,Larry Rountree right guard for -3 yards (tackle by Marquise Copeland),1.53,0.43,17.0,2022,254
3.0,5:14,3.0,9.0,LAC 40,10.0,24.0,Justin Herbert pass complete short right to Joshua Kelley for 1 yard (tackle by Troy Hill),0.43,-0.65,17.0,2022,254
3.0,4:37,4.0,8.0,LAC 41,10.0,24.0,"JK Scott punts 36 yards, fair catch by Brandon Powell at LA-23",-0.65,-0.48,17.0,2022,254
3.0,4:29,1.0,10.0,LAR 23,10.0,24.0,Cam Akers right tackle for 6 yards (tackle by Joey Bosa),0.48,0.74,17.0,2022,254
3.0,3:47,2.0,4.0,LAR 29,10.0,24.0,Baker Mayfield pass complete short left to Cam Akers for 10 yards (tackle by Asante Samuel),0.74,1.53,17.0,2022,254
3.0,2:59,1.0,10.0,LAR 39,10.0,24.0,"Penalty on Tyler Higbee: False Start, 5 yards (accepted) (no play)",1.53,1.2,17.0,2022,254
3.0,2:34,1.0,15.0,LAR 34,10.0,24.0,Baker Mayfield scrambles right end for 3 yards (tackle by Drue Tranquill),1.2,0.72,17.0,2022,254
3.0,1:52,2.0,12.0,LAR 37,10.0,24.0,Cam Akers up the middle for -3 yards (tackle by Drue Tranquill),0.72,-0.43,17.0,2022,254
3.0,1:29,3.0,16.0,LAR 34,10.0,24.0,Baker Mayfield pass incomplete deep right intended for Tutu Atwell,-0.43,-1.11,17.0,2022,254
3.0,1:22,4.0,15.0,LAR 34,10.0,24.0,"Riley Dixon punts 47 yards, returned by DeAndre Carter for 11 yards (tackle by Nick Scott)",-1.11,-0.94,17.0,2022,254
3.0,1:13,1.0,10.0,LAC 30,10.0,24.0,Justin Herbert pass complete short right to Gerald Everett for 2 yards (tackle by Nick Scott),0.94,0.66,17.0,2022,254
3.0,0:53,2.0,8.0,LAC 32,10.0,24.0,Justin Herbert pass complete deep left to Keenan Allen for 28 yards (tackle by Cobie Durant),0.66,2.92,17.0,2022,254
3.0,0:18,1.0,10.0,LAR 40,10.0,24.0,Austin Ekeler right guard for 4 yards (tackle by Russ Yeast),2.92,2.91,17.0,2022,254
4.0,15:00,2.0,6.0,LAR 36,10.0,24.0,Justin Herbert pass complete short left to Austin Ekeler for 14 yards (tackle by Bobby Wagner),2.91,4.11,17.0,2022,254
4.0,14:17,1.0,10.0,LAR 22,10.0,24.0,Justin Herbert pass complete short right to Keenan Allen for 8 yards (tackle by Cobie Durant),4.11,4.85,17.0,2022,254
4.0,13:42,2.0,2.0,LAR 14,10.0,24.0,Joshua Kelley right guard for 8 yards (tackle by Taylor Rapp and Jalen Ramsey),4.85,5.83,17.0,2022,254
4.0,13:01,1.0,6.0,LAR 6,10.0,24.0,Austin Ekeler right guard for 3 yards (tackle by Michael Hoecht),5.83,5.53,17.0,2022,254
4.0,12:20,2.0,3.0,LAR 3,10.0,24.0,Justin Herbert pass incomplete short right intended for DeAndre Carter,5.53,4.72,17.0,2022,254
4.0,12:16,3.0,3.0,LAR 3,10.0,30.0,"Justin Herbert pass complete short middle to Donald Parham for 3 yards, touchdown",4.72,7.0,17.0,2022,254
4.0,12:12,,,LAR 15,10.0,31.0,Cameron Dicker kicks extra point good,0.0,0.0,17.0,2022,254
4.0,12:12,,,LAC 35,10.0,31.0,"Cameron Dicker kicks off 65 yards, touchback.",0.0,0.61,17.0,2022,254
4.0,12:12,1.0,10.0,LAR 25,10.0,31.0,Cam Akers left guard for 7 yards (tackle by Khalil Mack),0.61,1.01,17.0,2022,254
4.0,11:31,2.0,3.0,LAR 32,10.0,31.0,Baker Mayfield pass incomplete short right intended for Tutu Atwell,1.01,0.3,17.0,2022,254
4.0,11:26,3.0,3.0,LAR 32,10.0,31.0,Baker Mayfield pass incomplete deep right intended for Lance McCutcheon,0.3,-1.24,17.0,2022,254
4.0,11:21,4.0,3.0,LAR 32,10.0,31.0,"Riley Dixon punts 51 yards, returned by DeAndre Carter for 9 yards (tackle by Kyren Williams)",-1.24,-0.67,17.0,2022,254
4.0,11:12,1.0,10.0,LAC 26,10.0,31.0,Larry Rountree right end for 2 yards (tackle by Troy Hill),0.67,0.4,17.0,2022,254
4.0,10:31,2.0,8.0,LAC 28,10.0,31.0,Chase Daniel pass complete short left to DeAndre Carter for 6 yards (tackle by Jonah Williams),0.4,0.5,17.0,2022,254
4.0,9:56,3.0,2.0,LAC 34,10.0,31.0,Joshua Kelley left end for 2 yards (tackle by Leonard Floyd),0.5,1.33,17.0,2022,254
4.0,9:20,1.0,10.0,LAC 36,10.0,31.0,"Larry Rountree left tackle for no gain (tackle by Ernest Jones). Penalty on Tre' McKitty: Offensive Holding, 10 yards (accepted) (no play)",1.33,0.67,17.0,2022,254
4.0,8:50,1.0,20.0,LAC 26,10.0,31.0,Larry Rountree right end for 5 yards (tackle by Jalen Ramsey and Daniel Hardy),0.67,0.12,17.0,2022,254
4.0,8:07,2.0,15.0,LAC 31,10.0,31.0,Larry Rountree right guard for 5 yards (tackle by Greg Gaines),0.12,0.1,17.0,2022,254
4.0,7:24,3.0,10.0,LAC 36,10.0,31.0,Chase Daniel pass complete short left to DeAndre Carter for 8 yards (tackle by Bobby Wagner and Cobie Durant),0.1,-0.46,17.0,2022,254
4.0,6:40,4.0,2.0,LAC 44,10.0,31.0,"JK Scott punts 44 yards, fair catch by Brandon Powell at LA-12",-0.46,0.35,17.0,2022,254
4.0,6:33,1.0,10.0,LAR 12,10.0,31.0,Cam Akers right guard for 1 yard (tackle by Joey Bosa),-0.35,-0.7,17.0,2022,254
4.0,6:12,2.0,9.0,LAR 13,10.0,31.0,"Baker Mayfield pass incomplete short right intended for Tyler Higbee. Penalty on Ty Nsekhe: Offensive Holding, 10 yards (offset) . Penalty on Raheem Layne: Defensive Holding, 5 yards (offset) (no play)",-0.7,-0.7,17.0,2022,254
4.0,6:04,2.0,9.0,LAR 13,10.0,31.0,Baker Mayfield pass incomplete short right intended for Tutu Atwell (defended by Ja'Sir Taylor),-0.7,-1.3,17.0,2022,254
4.0,5:59,3.0,9.0,LAR 13,10.0,31.0,Baker Mayfield sacked by Sebastian Joseph-Day for -10 yards,-1.3,-2.49,17.0,2022,254
4.0,5:18,4.0,19.0,LAR 3,10.0,31.0,"Riley Dixon punts 57 yards, returned by DeAndre Carter for 6 yards (tackle by Daniel Hardy and Christian Rozeboom)",-2.49,-1.99,17.0,2022,254
4.0,5:05,1.0,10.0,LAC 46,10.0,31.0,Larry Rountree left tackle for 3 yards (tackle by Michael Hoecht),1.99,1.86,17.0,2022,254
4.0,4:22,2.0,7.0,LAC 49,10.0,31.0,Larry Rountree left guard for -2 yards (tackle by Michael Hoecht and Ernest Jones),1.86,0.89,17.0,2022,254
4.0,3:43,3.0,9.0,LAC 47,10.0,31.0,Chase Daniel pass complete short right to Larry Rountree for 13 yards (tackle by Taylor Rapp),0.89,2.92,17.0,2022,254
4.0,2:55,1.0,10.0,LAR 40,10.0,31.0,Larry Rountree left guard for 1 yard (tackle by Larrell Murchison),2.92,2.51,17.0,2022,254
4.0,2:10,2.0,9.0,LAR 39,10.0,31.0,Larry Rountree right guard for no gain (tackle by Bobby Wagner),2.51,1.82,17.0,2022,254
4.0,2:00,3.0,9.0,LAR 39,10.0,31.0,Larry Rountree right end for no gain (tackle by Nick Scott),1.82,0.66,17.0,2022,254
4.0,1:12,4.0,9.0,LAR 39,10.0,31.0,"Penalty on LAC: Delay of Game, 5 yards (declined)",0.66,0.66,17.0,2022,254
4.0,1:12,4.0,9.0,LAR 39,10.0,31.0,JK Scott punts 33 yards downed by Deane Leonard,0.66,0.38,17.0,2022,254
4.0,1:00,1.0,10.0,LAR 6,10.0,31.0,Kyren Williams right end for 3 yards (tackle by JT Woods and Ja'Sir Taylor),-0.38,-0.56,17.0,2022,254
4.0,0:26,2.0,7.0,LAR 9,10.0,31.0,Kyren Williams left guard for 3 yards (tackle by JT Woods),-0.56,-0.72,17.0,2022,254
