Quarter,Time,Down,ToGo,Location,ARI,ATL,Detail,EPB,EPA,week,year,game_id
1.0,3:56,2.0,5.0,ARI 45,3.0,0.0,Desmond Ridder scrambles left tackle for 5 yards (tackle by Zaven Collins),2.39,2.92,17.0,2022,242
1.0,3:12,1.0,10.0,ARI 40,3.0,0.0,"Tyler Allgeier right end for 2 yards (tackle by Isaiah Simmons). Penalty on Chris Lindstrom: Offensive Holding, 10 yards (accepted)",2.92,2.39,17.0,2022,242
1.0,2:59,1.0,18.0,ARI 48,3.0,0.0,Desmond Ridder pass complete short left to Cordarrelle Patterson for -5 yards (tackle by Zeke Turner),2.39,0.62,17.0,2022,242
1.0,2:16,2.0,23.0,ATL 47,3.0,0.0,Desmond Ridder pass complete short right to Cordarrelle Patterson for 16 yards (tackle by Jalen Thompson),0.62,2.08,17.0,2022,242
1.0,1:36,3.0,7.0,ARI 37,3.0,0.0,Tyler Allgeier right end for 9 yards (tackle by Cameron Thomas and Zaven Collins),2.08,3.71,17.0,2022,242
1.0,0:51,1.0,10.0,ARI 28,3.0,0.0,Desmond Ridder pass incomplete short middle intended for Drake London,3.71,3.17,17.0,2022,242
1.0,0:43,2.0,10.0,ARI 28,3.0,0.0,Tyler Allgeier right end for 5 yards (tackle by Cameron Thomas),3.17,3.14,17.0,2022,242
2.0,15:00,3.0,5.0,ARI 23,3.0,0.0,Desmond Ridder pass complete short right to Drake London for 4 yards (tackle by Jalen Thompson and Christian Matthew),3.14,2.34,17.0,2022,242
2.0,14:16,4.0,1.0,ARI 19,3.0,0.0,Tyler Allgeier left tackle for 14 yards (tackle by Jalen Thompson),2.34,6.06,17.0,2022,242
2.0,13:41,1.0,5.0,ARI 5,3.0,6.0,"Tyler Allgeier left tackle for 5 yards, touchdown",6.06,7.0,17.0,2022,242
2.0,13:38,,,ARI 15,3.0,7.0,Younghoe Koo kicks extra point good,0.0,0.0,17.0,2022,242
2.0,13:38,,,ATL 35,3.0,7.0,"Bradley Pinion kicks off 65 yards, touchback.",0.0,0.61,17.0,2022,242
2.0,13:38,1.0,10.0,ARI 25,3.0,7.0,David Blough pass complete short left to Marquise Brown for 2 yards (tackle by AJ Terrell and Isaiah Oliver),0.61,0.33,17.0,2022,242
2.0,13:11,2.0,8.0,ARI 27,3.0,7.0,David Blough pass complete short left to Robbie Anderson for 13 yards (tackle by Rashaan Evans),0.33,1.6,17.0,2022,242
2.0,12:34,1.0,10.0,ARI 40,3.0,7.0,James Conner left guard for 6 yards (tackle by DeAngelo Malone),1.6,1.86,17.0,2022,242
2.0,12:01,2.0,4.0,ARI 46,3.0,7.0,James Conner left tackle for 6 yards (tackle by DeAngelo Malone and Jalen Dalton),1.86,2.39,17.0,2022,242
2.0,11:30,1.0,10.0,ATL 48,3.0,7.0,David Blough pass incomplete short right,2.39,1.85,17.0,2022,242
2.0,11:27,2.0,10.0,ATL 48,3.0,7.0,David Blough scrambles up the middle for 3 yards (tackle by Grady Jarrett),1.85,1.55,17.0,2022,242
2.0,10:59,3.0,7.0,ATL 45,3.0,7.0,David Blough pass incomplete short right intended for Corey Clement,1.55,0.27,17.0,2022,242
2.0,10:53,4.0,7.0,ATL 45,3.0,7.0,"Andy Lee punts 34 yards, fair catch by Avery Williams at ATL-11",0.27,0.37,17.0,2022,242
2.0,10:46,1.0,10.0,ATL 11,3.0,7.0,"Desmond Ridder aborted snap, recovered by Leki Fotu at ATL-8",-0.37,-5.37,17.0,2022,242
2.0,10:36,1.0,8.0,ATL 8,3.0,7.0,James Conner right guard for 4 yards (tackle by Abdullah Anderson and Adetokunbo Ogundeji),5.37,5.34,17.0,2022,242
2.0,10:06,2.0,4.0,ATL 4,9.0,7.0,"David Blough pass complete short right to Trey McBride for 4 yards, touchdown",5.34,7.0,17.0,2022,242
2.0,10:00,,,ATL 15,10.0,7.0,Matt Prater kicks extra point good,0.0,0.0,17.0,2022,242
2.0,10:00,,,ARI 35,10.0,7.0,"Matt Prater kicks off 65 yards, touchback.",0.0,0.61,17.0,2022,242
2.0,10:00,1.0,10.0,ATL 25,10.0,7.0,Cordarrelle Patterson right tackle for 3 yards (tackle by Zaven Collins),0.61,0.47,17.0,2022,242
2.0,9:23,2.0,7.0,ATL 28,10.0,7.0,Desmond Ridder pass complete short left to Drake London for 8 yards (tackle by Isaiah Simmons),0.47,1.33,17.0,2022,242
2.0,8:46,1.0,10.0,ATL 36,10.0,7.0,Cordarrelle Patterson left end for -1 yards (tackle by Dennis Gardeck and Isaiah Simmons),1.33,0.66,17.0,2022,242
2.0,8:13,2.0,11.0,ATL 35,10.0,7.0,Desmond Ridder pass complete short right to Tyler Allgeier for 12 yards (tackle by Jonathan Ledbetter),0.66,2.06,17.0,2022,242
2.0,7:31,1.0,10.0,ATL 47,10.0,7.0,"Desmond Ridder scrambles for no gain. Penalty on Drew Dalman: Offensive Holding, 10 yards (accepted) (no play)",2.06,1.4,17.0,2022,242
2.0,7:04,1.0,20.0,ATL 37,10.0,7.0,Desmond Ridder pass complete short right to Drake London for 13 yards (tackle by Jalen Thompson),1.4,1.92,17.0,2022,242
2.0,6:28,2.0,7.0,ARI 50,10.0,7.0,Tyler Allgeier left end for 2 yards (tackle by Jesse Luketa),1.92,1.49,17.0,2022,242
2.0,5:49,3.0,5.0,ARI 48,10.0,7.0,Desmond Ridder pass complete short left to Cordarrelle Patterson for 6 yards,1.49,2.79,17.0,2022,242
2.0,5:13,1.0,10.0,ARI 42,10.0,7.0,Desmond Ridder pass complete short middle to MyCole Pruitt for 25 yards (tackle by Jalen Thompson),2.79,4.44,17.0,2022,242
2.0,4:39,1.0,10.0,ARI 17,10.0,7.0,Avery Williams right end for -2 yards (tackle by Zaven Collins and Christian Matthew),4.44,3.6,17.0,2022,242
2.0,4:16,2.0,12.0,ARI 19,10.0,7.0,Desmond Ridder scrambles left end for 5 yards (tackle by Jace Whittaker),3.6,3.5,17.0,2022,242
2.0,3:39,3.0,7.0,ARI 14,10.0,7.0,Desmond Ridder pass complete short left to MyCole Pruitt for 5 yards (tackle by Jace Whittaker),3.5,2.95,17.0,2022,242
2.0,2:58,4.0,2.0,ARI 9,10.0,7.0,Desmond Ridder pass incomplete short right intended for Drake London,2.95,0.38,17.0,2022,242
2.0,2:54,1.0,10.0,ARI 10,10.0,7.0,David Blough pass complete short right to Marquise Brown for 3 yards (tackle by Isaiah Oliver),-0.38,-0.56,17.0,2022,242
2.0,2:21,2.0,7.0,ARI 13,10.0,7.0,David Blough pass incomplete short left intended for Trey McBride (defended by Isaiah Oliver),-0.56,-1.07,17.0,2022,242
2.0,2:17,3.0,7.0,ARI 13,10.0,7.0,David Blough pass complete short left to Greg Dortch for 1 yard (tackle by Darren Hall),-1.07,-2.47,17.0,2022,242
2.0,2:00,4.0,6.0,ARI 14,10.0,7.0,Andy Lee punts blocked by Richie Grant,-2.47,-6.06,17.0,2022,242
2.0,1:51,1.0,5.0,ARI 5,10.0,13.0,"Cordarrelle Patterson right tackle for 5 yards, touchdown",6.06,7.0,17.0,2022,242
2.0,1:47,,,ARI 15,10.0,14.0,Younghoe Koo kicks extra point good,0.0,0.0,17.0,2022,242
2.0,1:47,,,ATL 35,10.0,14.0,"Bradley Pinion kicks off 70 yards, returned by Pharoh Cooper for 25 yards (tackle by Nick Kwiatkoski and Avery Williams)",0.0,0.28,17.0,2022,242
2.0,1:42,1.0,10.0,ARI 20,10.0,14.0,James Conner right end for 5 yards (tackle by AJ Terrell),0.28,0.41,17.0,2022,242
2.0,1:36,2.0,5.0,ARI 25,10.0,14.0,David Blough pass complete short left to Andre Baccellia for 7 yards (tackle by DeAundre Alford),0.41,1.07,17.0,2022,242
2.0,1:23,,,,,,Timeout #1 by Atlanta Falcons,,,17.0,2022,242
2.0,1:23,1.0,10.0,ARI 32,10.0,14.0,James Conner left guard for 8 yards (tackle by Grady Jarrett and DeAngelo Malone),1.07,1.61,17.0,2022,242
2.0,1:05,2.0,2.0,ARI 40,10.0,14.0,David Blough pass complete short middle to James Conner for 6 yards (tackle by Cornell Armstrong),1.61,1.99,17.0,2022,242
2.0,0:57,1.0,10.0,ARI 46,10.0,14.0,"David Blough pass short right is intercepted by AJ Terrell at ATL-17 and returned for no gain. Penalty on Arnold Ebiketie: Defensive Offside, 5 yards (accepted) (no play)",1.99,2.72,17.0,2022,242
2.0,0:50,1.0,5.0,ATL 49,10.0,14.0,"Penalty on Billy Price: False Start, 5 yards (accepted) (no play)",2.72,1.99,17.0,2022,242
2.0,0:50,1.0,10.0,ARI 46,10.0,14.0,David Blough pass complete short left to A.J. Green for 9 yards (tackle by Cornell Armstrong),1.99,2.67,17.0,2022,242
2.0,0:28,2.0,1.0,ATL 45,10.0,14.0,Corey Clement right guard for 4 yards (tackle by Timmy Horne),2.67,2.85,17.0,2022,242
2.0,0:28,,,,,,Timeout #1 by Arizona Cardinals,,,17.0,2022,242
2.0,0:28,1.0,10.0,ATL 41,10.0,14.0,David Blough pass complete short middle to James Conner for 13 yards (tackle by AJ Terrell),2.85,3.71,17.0,2022,242
2.0,0:20,1.0,10.0,ATL 28,10.0,14.0,David Blough scrambles right end for 4 yards (tackle by Isaiah Oliver),3.71,3.71,17.0,2022,242
2.0,0:12,2.0,6.0,ATL 24,10.0,14.0,David Blough pass complete to Trey McBride for 6 yards (tackle by Mykal Walker),3.71,4.37,17.0,2022,242
2.0,0:06,,,,,,Timeout #2 by Arizona Cardinals,,,17.0,2022,242
2.0,0:06,1.0,10.0,ATL 18,13.0,14.0,Matt Prater 36 yard field goal good,4.37,3.0,17.0,2022,242
2.0,0:02,,,ARI 35,13.0,14.0,"Matt Prater kicks off 35 yards, returned by Avery Williams for 23 yards (tackle by Chris Banjo)",0.0,1.27,17.0,2022,242
3.0,15:00,,,ARI 35,13.0,14.0,"Matt Prater kicks off 65 yards, touchback.",0.0,0.61,17.0,2022,242
3.0,15:00,1.0,10.0,ATL 25,13.0,14.0,Desmond Ridder pass complete short left to Cordarrelle Patterson for 15 yards (tackle by Jalen Thompson),0.61,1.6,17.0,2022,242
3.0,14:22,1.0,10.0,ATL 40,13.0,14.0,Tyler Allgeier left end for no gain (tackle by Cameron Thomas and Leki Fotu),1.6,1.05,17.0,2022,242
3.0,13:44,2.0,10.0,ATL 40,13.0,14.0,Desmond Ridder pass incomplete deep right,1.05,0.37,17.0,2022,242
3.0,13:37,3.0,10.0,ATL 40,13.0,14.0,Desmond Ridder sacked by J.J. Watt for -3 yards,0.37,-0.91,17.0,2022,242
3.0,12:58,4.0,13.0,ATL 37,13.0,14.0,Bradley Pinion punts 62 yards out of bounds,-0.91,0.38,17.0,2022,242
3.0,12:47,1.0,10.0,ARI 1,13.0,14.0,James Conner right guard for 3 yards (tackle by Abdullah Anderson and Troy Andersen),-0.38,-0.56,17.0,2022,242
3.0,12:18,2.0,7.0,ARI 4,13.0,14.0,David Blough pass complete deep left to Trey McBride for 26 yards (tackle by Richie Grant),-0.56,0.94,17.0,2022,242
3.0,11:39,1.0,10.0,ARI 30,13.0,14.0,James Conner right guard for 1 yard (tackle by Jaylinn Hawkins and Timmy Horne),0.94,0.53,17.0,2022,242
3.0,11:19,2.0,9.0,ARI 31,13.0,14.0,Pharoh Cooper left end for 6 yards (tackle by Jaylinn Hawkins and Abdullah Anderson),0.53,0.63,17.0,2022,242
3.0,10:46,3.0,3.0,ARI 37,13.0,14.0,Corey Clement right guard for 3 yards (tackle by Lorenzo Carter),0.63,1.6,17.0,2022,242
3.0,10:15,1.0,10.0,ARI 40,13.0,14.0,David Blough pass incomplete short right,1.6,1.05,17.0,2022,242
3.0,10:07,2.0,10.0,ARI 40,13.0,14.0,David Blough pass incomplete deep left intended for Greg Dortch (defended by Cornell Armstrong),1.05,0.37,17.0,2022,242
3.0,10:00,3.0,10.0,ARI 40,13.0,14.0,"David Blough pass incomplete deep right intended for Marquise Brown. Penalty on DeAundre Alford: Defensive Pass Interference, 40 yards (accepted) (no play)",0.37,4.24,17.0,2022,242
3.0,9:53,1.0,10.0,ATL 20,13.0,14.0,Pharoh Cooper left tackle for 2 yards (tackle by Lorenzo Carter and Abdullah Anderson),4.24,3.96,17.0,2022,242
3.0,9:16,2.0,8.0,ATL 18,13.0,14.0,David Blough pass incomplete short middle intended for Greg Dortch (defended by Isaiah Oliver),3.96,3.22,17.0,2022,242
3.0,9:08,3.0,8.0,ATL 18,13.0,14.0,David Blough pass incomplete deep left intended for Andre Baccellia,3.22,2.25,17.0,2022,242
3.0,9:04,,,,,,Timeout #1 by Atlanta Falcons,,,17.0,2022,242
3.0,9:04,4.0,8.0,ATL 18,16.0,14.0,Matt Prater 36 yard field goal good,2.25,3.0,17.0,2022,242
3.0,9:00,,,ARI 35,16.0,14.0,"Matt Prater kicks off 65 yards, touchback.",0.0,0.61,17.0,2022,242
3.0,9:00,1.0,10.0,ATL 25,16.0,14.0,Cordarrelle Patterson left tackle for no gain (tackle by Michael Dogbe),0.61,0.06,17.0,2022,242
3.0,8:27,2.0,10.0,ATL 25,16.0,14.0,Desmond Ridder pass complete short left to Damiere Byrd for 12 yards (tackle by Jace Whittaker),0.06,1.4,17.0,2022,242
3.0,7:58,1.0,10.0,ATL 37,16.0,14.0,Desmond Ridder pass incomplete short right intended for Cordarrelle Patterson,1.4,0.86,17.0,2022,242
3.0,7:53,2.0,10.0,ATL 37,16.0,14.0,Tyler Allgeier left end for 4 yards (tackle by Michael Dogbe),0.86,0.7,17.0,2022,242
3.0,7:11,3.0,6.0,ATL 41,16.0,14.0,Desmond Ridder pass incomplete short left intended for Drake London (defended by Zaven Collins),0.7,-0.65,17.0,2022,242
3.0,7:03,4.0,6.0,ATL 41,16.0,14.0,"Bradley Pinion punts 40 yards, returned by Pharoh Cooper for 14 yards (tackle by Troy Andersen and Keith Smith). Penalty on Mike Ford: Player Out of Bounds on Kick, 5 yards (accepted)",-0.65,-1.47,17.0,2022,242
3.0,6:52,1.0,10.0,ARI 38,16.0,14.0,James Conner left tackle for 7 yards (tackle by Richie Grant and Troy Andersen),1.47,1.87,17.0,2022,242
3.0,6:25,2.0,3.0,ARI 45,16.0,14.0,James Conner left guard for 16 yards (tackle by Richie Grant),1.87,2.98,17.0,2022,242
3.0,5:50,1.0,10.0,ATL 39,16.0,14.0,James Conner right tackle for 3 yards (tackle by Isaiah Oliver and Richie Grant),2.98,2.85,17.0,2022,242
3.0,5:17,2.0,7.0,ATL 36,16.0,14.0,David Blough pass complete short right to Marquise Brown for 11 yards,2.85,3.91,17.0,2022,242
3.0,4:56,1.0,10.0,ATL 25,16.0,14.0,David Blough pass complete short left to Greg Dortch for no gain (tackle by Rashaan Evans and Lorenzo Carter),3.91,3.36,17.0,2022,242
3.0,4:14,2.0,10.0,ATL 25,16.0,14.0,David Blough pass incomplete short right intended for Greg Dortch,3.36,2.68,17.0,2022,242
3.0,4:11,3.0,10.0,ATL 25,16.0,14.0,David Blough pass incomplete short right intended for Greg Dortch,2.68,1.8,17.0,2022,242
3.0,4:06,4.0,10.0,ATL 25,16.0,14.0,Matt Prater 43 yard field goal no good,1.8,-1.14,17.0,2022,242
3.0,4:02,1.0,10.0,ATL 33,16.0,14.0,Tyler Allgeier right end for 1 yard (tackle by Michael Dogbe),1.14,0.73,17.0,2022,242
3.0,3:27,2.0,9.0,ATL 34,16.0,14.0,Tyler Allgeier right end for 8 yards (tackle by Cameron Thomas and Ben Niemann),0.73,1.09,17.0,2022,242
3.0,2:50,3.0,1.0,ATL 42,16.0,14.0,Tyler Allgeier left tackle for -3 yards (tackle by Zeke Turner and Michael Dogbe),1.09,-0.78,17.0,2022,242
3.0,2:02,4.0,4.0,ATL 39,16.0,14.0,"Bradley Pinion punts 46 yards, fair catch by Pharoh Cooper at ARI-15",-0.78,0.22,17.0,2022,242
3.0,1:55,1.0,10.0,ARI 15,16.0,14.0,David Blough pass incomplete short right intended for Marquise Brown,-0.22,-0.71,17.0,2022,242
3.0,1:49,2.0,10.0,ARI 15,16.0,14.0,David Blough pass complete short right to James Conner for 12 yards (tackle by Isaiah Oliver and Jaylinn Hawkins),-0.71,0.74,17.0,2022,242
3.0,1:06,1.0,10.0,ARI 27,16.0,14.0,James Conner right tackle for 1 yard (tackle by Darren Hall and Lorenzo Carter),0.74,0.33,17.0,2022,242
3.0,0:27,2.0,9.0,ARI 28,16.0,14.0,David Blough pass complete deep right to Marquise Brown for 19 yards (tackle by AJ Terrell),0.33,2.13,17.0,2022,242
4.0,15:00,1.0,10.0,ARI 48,16.0,14.0,David Blough pass incomplete deep left intended for Trey McBride,2.13,1.52,17.0,2022,242
4.0,14:55,2.0,10.0,ARI 47,16.0,14.0,David Blough sacked by Adetokunbo Ogundeji for -2 yards,1.52,0.5,17.0,2022,242
4.0,14:11,3.0,13.0,ARI 45,16.0,14.0,David Blough pass complete short middle to Greg Dortch for 11 yards (tackle by DeAundre Alford),0.5,0.33,17.0,2022,242
4.0,13:29,4.0,2.0,ATL 44,16.0,14.0,Corey Clement left guard for no gain (tackle by Isaiah Oliver and Grady Jarrett),0.33,-1.93,17.0,2022,242
4.0,13:27,1.0,10.0,ATL 45,16.0,14.0,Desmond Ridder pass incomplete deep left intended for Damiere Byrd (defended by Jace Whittaker),1.93,1.38,17.0,2022,242
4.0,13:21,2.0,10.0,ATL 45,16.0,14.0,"Desmond Ridder pass complete short right to Drake London for 12 yards (tackle by Zeke Turner). Penalty on Zeke Turner: Illegal Use of Hands / Defense, 5 yards (declined)",1.38,2.72,17.0,2022,242
4.0,12:50,1.0,10.0,ARI 43,16.0,14.0,"Penalty on Markus Golden: Neutral Zone Infraction, 5 yards (accepted) (no play)",2.72,3.45,17.0,2022,242
4.0,12:34,1.0,5.0,ARI 38,16.0,14.0,Cordarrelle Patterson right end for 8 yards (tackle by Jalen Thompson and Dennis Gardeck),3.45,3.58,17.0,2022,242
4.0,11:59,1.0,10.0,ARI 30,16.0,14.0,Cordarrelle Patterson right end for -1 yards (tackle by Jesse Luketa and Myjai Sanders),3.58,2.9,17.0,2022,242
4.0,11:14,2.0,11.0,ARI 31,16.0,14.0,Tyler Allgeier left tackle for 17 yards (tackle by Zeke Turner),2.9,4.65,17.0,2022,242
4.0,10:53,1.0,10.0,ARI 14,16.0,14.0,Tyler Allgeier left tackle for 3 yards (tackle by Manny Jones and Ben Niemann),4.65,4.52,17.0,2022,242
4.0,10:24,2.0,7.0,ARI 11,16.0,14.0,Desmond Ridder pass complete short right to Avery Williams for 2 yards (tackle by Markus Golden),4.52,4.05,17.0,2022,242
4.0,9:45,3.0,5.0,ARI 9,16.0,14.0,Desmond Ridder pass incomplete short right intended for Cordarrelle Patterson (defended by Christian Matthew),4.05,2.88,17.0,2022,242
4.0,9:40,4.0,5.0,ARI 9,16.0,17.0,Younghoe Koo 27 yard field goal good,2.88,3.0,17.0,2022,242
4.0,9:36,,,ATL 35,16.0,17.0,"Bradley Pinion kicks off 65 yards, touchback.",0.0,0.61,17.0,2022,242
4.0,9:36,1.0,10.0,ARI 25,16.0,17.0,David Blough pass incomplete deep middle intended for Marquise Brown,0.61,0.06,17.0,2022,242
4.0,9:30,2.0,10.0,ARI 25,16.0,17.0,David Blough pass complete short left to Trey McBride for 14 yards (tackle by Richie Grant),0.06,1.53,17.0,2022,242
4.0,8:55,1.0,10.0,ARI 39,16.0,17.0,Corey Clement left tackle for 1 yard (tackle by Arnold Ebiketie),1.53,1.12,17.0,2022,242
4.0,8:33,2.0,9.0,ARI 40,16.0,17.0,David Blough pass complete short right to A.J. Green for 8 yards (tackle by Cornell Armstrong),1.12,1.49,17.0,2022,242
4.0,7:58,3.0,1.0,ARI 48,16.0,17.0,Corey Clement right guard for 8 yards (tackle by Cornell Armstrong and Richie Grant),1.49,2.65,17.0,2022,242
4.0,7:33,1.0,10.0,ATL 44,16.0,17.0,David Blough pass incomplete short right intended for Trey McBride,2.65,2.11,17.0,2022,242
4.0,7:28,2.0,10.0,ATL 44,16.0,17.0,Corey Clement right tackle for 12 yards (tackle by Isaiah Oliver),2.11,3.45,17.0,2022,242
4.0,7:08,1.0,10.0,ATL 32,16.0,17.0,"David Blough pass incomplete short right intended for Corey Clement. Penalty on Will Hernandez: Ineligible Downfield Pass, 5 yards (accepted) (no play)",3.45,3.12,17.0,2022,242
4.0,7:05,1.0,15.0,ATL 37,16.0,17.0,"David Blough scrambles left end for no gain (tackle by Rashaan Evans). Penalty on Josh Jones: Offensive Holding, 10 yards (accepted) (no play)",3.12,2.46,17.0,2022,242
4.0,6:34,1.0,25.0,ATL 47,16.0,17.0,David Blough pass incomplete deep left intended for Marquise Brown,2.46,0.88,17.0,2022,242
4.0,6:27,2.0,25.0,ATL 47,16.0,17.0,Corey Clement left tackle for 4 yards (tackle by Jalen Dalton and Jaylinn Hawkins),0.88,0.76,17.0,2022,242
4.0,5:49,3.0,21.0,ATL 43,16.0,17.0,David Blough pass complete short left to Trey McBride for 4 yards (tackle by AJ Terrell),0.76,0.66,17.0,2022,242
4.0,5:02,4.0,17.0,ATL 39,19.0,17.0,Matt Prater 57 yard field goal good,0.66,3.0,17.0,2022,242
4.0,4:57,,,ARI 35,19.0,17.0,"Matt Prater kicks off 65 yards, touchback.",0.0,0.61,17.0,2022,242
4.0,4:57,1.0,10.0,ATL 25,19.0,17.0,Desmond Ridder pass complete short right to Cordarrelle Patterson for 7 yards (tackle by Zaven Collins),0.61,1.01,17.0,2022,242
4.0,4:21,2.0,3.0,ATL 32,19.0,17.0,Cordarrelle Patterson right tackle for 22 yards (tackle by Jalen Thompson),1.01,2.52,17.0,2022,242
4.0,3:53,1.0,10.0,ARI 46,19.0,17.0,"Penalty on J.J. Watt: Neutral Zone Infraction, 5 yards (accepted) (no play)",2.52,3.25,17.0,2022,242
4.0,3:53,1.0,5.0,ARI 41,19.0,17.0,Tyler Allgeier right tackle for 1 yard (tackle by Isaiah Simmons),3.25,2.79,17.0,2022,242
4.0,3:20,2.0,4.0,ARI 40,19.0,17.0,Desmond Ridder pass complete short middle to Drake London for 10 yards (tackle by Jace Whittaker),2.79,3.58,17.0,2022,242
4.0,2:40,1.0,10.0,ARI 30,19.0,17.0,Cordarrelle Patterson right tackle for 3 yards (tackle by Jalen Thompson),3.58,3.44,17.0,2022,242
4.0,2:28,,,,,,Timeout #1 by Arizona Cardinals,,,17.0,2022,242
4.0,2:28,2.0,7.0,ARI 27,19.0,17.0,Tyler Allgeier right end for no gain (tackle by Myjai Sanders),3.44,2.74,17.0,2022,242
4.0,2:00,3.0,7.0,ARI 27,19.0,17.0,Desmond Ridder pass complete short left to MyCole Pruitt for 14 yards (tackle by Chris Banjo and Jace Whittaker),2.74,4.71,17.0,2022,242
4.0,1:53,,,,,,Timeout #2 by Arizona Cardinals,,,17.0,2022,242
4.0,1:53,1.0,10.0,ARI 13,19.0,17.0,Tyler Allgeier right tackle for 4 yards (tackle by Zaven Collins),4.71,4.77,17.0,2022,242
4.0,1:49,,,,,,Timeout #3 by Arizona Cardinals,,,17.0,2022,242
4.0,1:49,2.0,6.0,ARI 9,19.0,17.0,Tyler Allgeier right end for 4 yards (tackle by Leki Fotu),4.77,4.78,17.0,2022,242
4.0,1:03,,,,,,Timeout #2 by Atlanta Falcons,,,17.0,2022,242
4.0,1:03,3.0,2.0,ARI 5,19.0,17.0,Tyler Allgeier right end for 3 yards (tackle by Isaiah Simmons),4.78,6.74,17.0,2022,242
