Quarter,Time,Down,ToGo,Location,DAL,TEN,Detail,EPB,EPA,week,year,game_id
1.0,7:43,3.0,5.0,TEN 37,0.0,0.0,Dak Prescott pass complete short left to T.Y. Hilton for 7 yards (tackle by Tre Avery),2.21,3.58,17.0,2022,241
1.0,7:12,1.0,10.0,TEN 30,0.0,0.0,Malik Davis right end for 3 yards (tackle by Kevin Byard),3.58,3.44,17.0,2022,241
1.0,6:38,2.0,7.0,TEN 27,0.0,0.0,"Dak Prescott pass incomplete short right intended for Noah Brown. Penalty on Roger McCreary: Defensive Pass Interference, 14 yards (accepted) (no play)",3.44,4.71,17.0,2022,241
1.0,6:32,1.0,10.0,TEN 13,0.0,0.0,Malik Davis left tackle for 7 yards (tackle by Jack Gibbens and Monty Rice),4.71,5.34,17.0,2022,241
1.0,5:56,,,,,,Timeout #1 by Tennessee Titans,,,17.0,2022,241
1.0,5:56,2.0,3.0,TEN 6,0.0,0.0,Ezekiel Elliott left tackle for 4 yards (tackle by Monty Rice and Tre Avery),5.34,6.74,17.0,2022,241
1.0,5:16,1.0,2.0,TEN 2,0.0,0.0,Ezekiel Elliott up the middle for 1 yard (tackle by Monty Rice and Teair Tart),6.74,5.91,17.0,2022,241
1.0,4:41,2.0,1.0,TEN 1,6.0,0.0,"Ezekiel Elliott left guard for 1 yard, touchdown",5.91,7.0,17.0,2022,241
1.0,4:36,,,TEN 15,7.0,0.0,Brett Maher kicks extra point good,0.0,0.0,17.0,2022,241
1.0,4:36,,,DAL 35,7.0,0.0,"Brett Maher kicks off 65 yards, touchback.",0.0,0.61,17.0,2022,241
1.0,4:36,1.0,10.0,TEN 25,7.0,0.0,Hassan Haskins left tackle for 2 yards (tackle by Micah Parsons and Donovan Wilson),0.61,0.33,17.0,2022,241
1.0,3:56,2.0,8.0,TEN 27,7.0,0.0,Joshua Dobbs pass incomplete short middle intended for Austin Hooper,0.33,-0.36,17.0,2022,241
1.0,3:53,3.0,8.0,TEN 27,7.0,0.0,Joshua Dobbs pass incomplete deep middle intended for Robert Woods,-0.36,-1.57,17.0,2022,241
1.0,3:48,4.0,8.0,TEN 27,7.0,0.0,"Ryan Stonehouse punts 49 yards, returned by KaVontae Turpin for 11 yards (tackle by Joseph Jones and Racey McMath)",-1.57,-1.27,17.0,2022,241
1.0,3:37,1.0,10.0,DAL 35,7.0,0.0,Malik Davis up the middle for -1 yards (tackle by Monty Rice),1.27,0.59,17.0,2022,241
1.0,3:08,2.0,11.0,DAL 34,7.0,0.0,Dak Prescott pass complete short middle to Malik Davis for 18 yards (tackle by Kevin Byard and Joshua Kalu),0.59,2.39,17.0,2022,241
1.0,2:35,1.0,10.0,TEN 48,7.0,0.0,Dak Prescott pass complete short right to Dalton Schultz for 1 yard (tackle by Sam Okuayinonu),2.39,1.98,17.0,2022,241
1.0,2:01,2.0,9.0,TEN 47,7.0,0.0,Malik Davis up the middle for 23 yards (tackle by Kevin Byard),1.98,3.97,17.0,2022,241
1.0,1:24,1.0,10.0,TEN 24,7.0,0.0,Dak Prescott pass complete short left to CeeDee Lamb for 2 yards (tackle by Monty Rice),3.97,3.7,17.0,2022,241
1.0,0:53,2.0,8.0,TEN 22,7.0,0.0,Dak Prescott pass complete short left to Noah Brown for 7 yards (tackle by Tre Avery),3.7,4.17,17.0,2022,241
1.0,0:15,3.0,1.0,TEN 15,7.0,0.0,Ezekiel Elliott up the middle for -3 yards (tackle by Tarell Basham and Jack Gibbens),4.17,2.32,17.0,2022,241
2.0,15:00,4.0,4.0,TEN 18,10.0,0.0,Brett Maher 36 yard field goal good,2.32,3.0,17.0,2022,241
2.0,14:56,,,DAL 35,10.0,0.0,"Brett Maher kicks off 65 yards, touchback.",0.0,0.61,17.0,2022,241
2.0,14:50,1.0,10.0,TEN 25,10.0,0.0,"Joshua Dobbs for no gain. Joshua Dobbs fumbles (forced by DeMarcus Lawrence), recovered by Joshua Dobbs at TEN-25 Joshua Dobbs pass incomplete short right intended for Chigoziem Okonkwo",0.61,0.06,17.0,2022,241
2.0,14:46,2.0,10.0,TEN 25,10.0,0.0,Hassan Haskins up the middle for 4 yards (tackle by Chauncey Golston and DeMarcus Lawrence),0.06,-0.1,17.0,2022,241
2.0,14:03,3.0,6.0,TEN 29,10.0,0.0,Joshua Dobbs pass complete deep right to Racey McMath for 39 yards (tackle by Nahshon Wright),-0.1,3.45,17.0,2022,241
2.0,13:26,1.0,10.0,DAL 32,10.0,0.0,Joshua Dobbs scrambles left end for 7 yards (tackle by Damone Clark),3.45,3.85,17.0,2022,241
2.0,12:39,2.0,3.0,DAL 25,10.0,0.0,Hassan Haskins right end for 2 yards (tackle by Damone Clark and Jayron Kearse),3.85,3.4,17.0,2022,241
2.0,11:51,3.0,1.0,DAL 23,10.0,0.0,Joshua Dobbs up the middle for 2 yards (tackle by Neville Gallimore and Osa Odighizuwa),3.4,4.17,17.0,2022,241
2.0,11:13,1.0,10.0,DAL 21,10.0,0.0,Joshua Dobbs sacked by Donovan Wilson for -5 yards,4.17,2.95,17.0,2022,241
2.0,10:28,2.0,15.0,DAL 26,10.0,0.0,Joshua Dobbs pass complete short left to Chigoziem Okonkwo for 2 yards (tackle by Trevon Diggs and Anthony Barr),2.95,2.54,17.0,2022,241
2.0,10:00,3.0,13.0,DAL 24,10.0,0.0,"Joshua Dobbs sacked by Dante Fowler for -7 yards. Joshua Dobbs fumbles (forced by Dante Fowler), recovered by Micah Parsons at DAL-31",2.54,-1.0,17.0,2022,241
2.0,9:55,1.0,10.0,DAL 31,10.0,0.0,Dak Prescott pass complete short right to Dalton Schultz for 7 yards (tackle by Jack Gibbens),1.0,1.41,17.0,2022,241
2.0,9:23,2.0,3.0,DAL 38,10.0,0.0,Dak Prescott pass incomplete short right intended for Dalton Schultz,1.41,0.7,17.0,2022,241
2.0,9:21,3.0,3.0,DAL 38,10.0,0.0,Dak Prescott pass complete short right to T.Y. Hilton for 12 yards (tackle by Greg Mabin),0.7,2.26,17.0,2022,241
2.0,8:48,1.0,10.0,TEN 50,10.0,0.0,Ezekiel Elliott up the middle for 4 yards (tackle by DeMarcus Walker and Joshua Kalu),2.26,2.25,17.0,2022,241
2.0,8:00,2.0,6.0,TEN 46,10.0,0.0,"Dak Prescott aborted snap, recovered by Teair Tart at TEN-47 and returned for 1 yard",2.25,-2.13,17.0,2022,241
2.0,8:03,1.0,10.0,TEN 48,10.0,0.0,Julius Chestnut left guard for 1 yard (tackle by Carlos Watkins and Dorance Armstrong),2.13,1.72,17.0,2022,241
2.0,7:29,2.0,9.0,TEN 49,10.0,0.0,Joshua Dobbs pass complete short right to Nick Westbrook-Ikhine for 4 yards (tackle by Malik Hooker),1.72,1.55,17.0,2022,241
2.0,6:47,3.0,5.0,DAL 47,10.0,0.0,Joshua Dobbs pass incomplete short left intended for Austin Hooper,1.55,0.13,17.0,2022,241
2.0,6:43,4.0,5.0,DAL 47,10.0,0.0,"Ryan Stonehouse punts 39 yards, fair catch by KaVontae Turpin at DAL-8",0.13,0.38,17.0,2022,241
2.0,6:36,1.0,10.0,DAL 8,10.0,0.0,Dak Prescott pass incomplete short right intended for Dalton Schultz,-0.38,-0.78,17.0,2022,241
2.0,6:29,2.0,10.0,DAL 8,10.0,0.0,Dak Prescott pass complete short left to CeeDee Lamb for 15 yards (tackle by Joshua Kalu),-0.78,0.48,17.0,2022,241
2.0,6:10,1.0,10.0,DAL 23,10.0,0.0,Dak Prescott pass incomplete deep right intended for CeeDee Lamb,0.48,-0.07,17.0,2022,241
2.0,5:50,2.0,10.0,DAL 23,10.0,0.0,Malik Davis left guard for -1 yards (tackle by DeMarcus Walker and Mario Edwards),-0.07,-0.89,17.0,2022,241
2.0,5:12,3.0,11.0,DAL 22,10.0,0.0,Dak Prescott pass complete short right to CeeDee Lamb for 12 yards (tackle by Tre Avery),-0.89,1.2,17.0,2022,241
2.0,4:26,1.0,10.0,DAL 34,10.0,0.0,Ezekiel Elliott left tackle for 2 yards (tackle by Jack Gibbens),1.2,0.93,17.0,2022,241
2.0,4:03,2.0,8.0,DAL 36,10.0,0.0,Dak Prescott pass complete short right to Michael Gallup for 12 yards,0.93,2.13,17.0,2022,241
2.0,3:38,1.0,10.0,DAL 48,10.0,0.0,Dak Prescott pass intended for Peyton Hendershot is intercepted by Kevin Byard at TEN-34 and returned for 2 yards (tackle by Peyton Hendershot),2.13,-1.33,17.0,2022,241
2.0,3:33,1.0,10.0,TEN 36,10.0,0.0,Joshua Dobbs pass complete short left to Julius Chestnut for 33 yards (tackle by Jayron Kearse),1.33,3.51,17.0,2022,241
2.0,2:50,1.0,10.0,DAL 31,10.0,0.0,Julius Chestnut left tackle for 1 yard (tackle by Carlos Watkins and Quinton Bohanna),3.51,3.1,17.0,2022,241
2.0,2:10,2.0,9.0,DAL 30,10.0,0.0,Joshua Dobbs pass incomplete short right intended for Austin Hooper (defended by Trevon Diggs),3.1,2.41,17.0,2022,241
2.0,2:04,3.0,9.0,DAL 30,10.0,0.0,Joshua Dobbs pass complete short right to Robert Woods for 10 yards (tackle by Nahshon Wright and Dante Fowler),2.41,4.24,17.0,2022,241
2.0,1:58,1.0,10.0,DAL 20,10.0,0.0,Julius Chestnut up the middle for -2 yards (tackle by Dorance Armstrong),4.24,3.42,17.0,2022,241
2.0,1:23,2.0,12.0,DAL 22,10.0,0.0,Joshua Dobbs pass complete short right to Hassan Haskins for 3 yards (tackle by Nahshon Wright),3.42,3.1,17.0,2022,241
2.0,1:12,3.0,9.0,DAL 19,10.0,0.0,Joshua Dobbs pass incomplete short left intended for Robert Woods,3.1,2.18,17.0,2022,241
2.0,1:08,4.0,9.0,DAL 19,10.0,3.0,Randy Bullock 37 yard field goal good,2.18,3.0,17.0,2022,241
2.0,1:04,,,TEN 35,10.0,3.0,"Randy Bullock kicks off 65 yards, touchback.",0.0,0.61,17.0,2022,241
2.0,1:04,1.0,10.0,DAL 25,10.0,3.0,Dak Prescott pass incomplete short left intended for Michael Gallup (defended by Tre Avery),0.61,0.06,17.0,2022,241
2.0,0:59,2.0,10.0,DAL 25,10.0,3.0,Dak Prescott pass incomplete short right intended for Noah Brown,0.06,-0.62,17.0,2022,241
2.0,0:55,3.0,10.0,DAL 25,10.0,3.0,"Dak Prescott scrambles for no gain. Penalty on Roger McCreary: Defensive Holding, 5 yards (accepted) (no play)",-0.62,0.94,17.0,2022,241
2.0,0:48,1.0,10.0,DAL 30,10.0,3.0,Dak Prescott pass complete short right to Dalton Schultz for 13 yards (tackle by Roger McCreary),0.94,1.8,17.0,2022,241
2.0,0:41,,,,,,Timeout #1 by Dallas Cowboys,,,17.0,2022,241
2.0,0:41,1.0,10.0,DAL 43,10.0,3.0,Dak Prescott pass complete short right to T.Y. Hilton for 3 yards (tackle by Greg Mabin),1.8,1.66,17.0,2022,241
2.0,0:35,2.0,7.0,DAL 46,10.0,3.0,Dak Prescott pass complete short left to CeeDee Lamb for 6 yards (tackle by Roger McCreary),1.66,1.75,17.0,2022,241
2.0,0:28,,,,,,Timeout #2 by Dallas Cowboys,,,17.0,2022,241
2.0,0:28,3.0,1.0,TEN 48,10.0,3.0,Dak Prescott scrambles left end for 9 yards (tackle by Lonnie Johnson),1.75,2.98,17.0,2022,241
2.0,0:21,1.0,10.0,TEN 39,10.0,3.0,Dak Prescott pass intended for Dalton Schultz is intercepted by Kevin Byard at TEN-31 and returned for 28 yards (tackle by Tyler Smith),2.98,-2.85,17.0,2022,241
2.0,0:13,1.0,10.0,DAL 41,10.0,3.0,Joshua Dobbs pass complete short right to Treylon Burks for 30 yards (tackle by Jayron Kearse),2.85,4.84,17.0,2022,241
2.0,0:02,,,,,,Timeout #2 by Tennessee Titans,,,17.0,2022,241
2.0,0:02,1.0,10.0,DAL 11,10.0,6.0,Randy Bullock 29 yard field goal good,4.84,3.0,17.0,2022,241
3.0,15:00,,,DAL 35,10.0,6.0,"Brett Maher kicks off 65 yards, touchback.",0.0,0.61,17.0,2022,241
3.0,15:00,1.0,10.0,TEN 25,10.0,6.0,Hassan Haskins up the middle for 3 yards (tackle by Jayron Kearse and Carlos Watkins),0.61,0.47,17.0,2022,241
3.0,14:25,2.0,7.0,TEN 28,10.0,6.0,Hassan Haskins right end for 1 yard (tackle by DaRon Bland),0.47,-0.1,17.0,2022,241
3.0,13:44,3.0,6.0,TEN 29,10.0,6.0,Joshua Dobbs pass incomplete short middle intended for Treylon Burks,-0.1,-1.44,17.0,2022,241
3.0,13:34,4.0,6.0,TEN 29,10.0,6.0,"Ryan Stonehouse punts 55 yards, returned by KaVontae Turpin for 5 yards (tackle by Andre Smith). Penalty on Kelvin Joseph: Illegal Block Above the Waist, 10 yards (accepted)",-1.44,0.37,17.0,2022,241
3.0,13:23,1.0,10.0,DAL 11,10.0,6.0,Ezekiel Elliott left end for no gain (tackle by Jack Gibbens),-0.37,-0.78,17.0,2022,241
3.0,12:59,2.0,10.0,DAL 11,10.0,6.0,Ezekiel Elliott up the middle for 6 yards (tackle by Kevin Byard),-0.78,-0.72,17.0,2022,241
3.0,12:25,3.0,4.0,DAL 17,10.0,6.0,Dak Prescott pass complete short left to Michael Gallup for 13 yards (tackle by Lonnie Johnson and Andrew Adams),-0.72,0.94,17.0,2022,241
3.0,11:58,1.0,10.0,DAL 30,10.0,6.0,Malik Davis up the middle for 1 yard (tackle by Mario Edwards),0.94,0.53,17.0,2022,241
3.0,11:32,2.0,9.0,DAL 31,10.0,6.0,"Dak Prescott pass incomplete short right intended for Noah Brown. Penalty on Roger McCreary: Defensive Pass Interference, 9 yards (accepted) (no play)",0.53,1.6,17.0,2022,241
3.0,11:23,1.0,10.0,DAL 40,10.0,6.0,Malik Davis right guard for 1 yard (tackle by Jack Gibbens),1.6,1.19,17.0,2022,241
3.0,10:55,2.0,9.0,DAL 41,10.0,6.0,Dak Prescott pass complete short right to Jake Ferguson for 7 yards (tackle by Kevin Strong),1.19,1.42,17.0,2022,241
3.0,10:15,3.0,2.0,DAL 48,10.0,6.0,Ezekiel Elliott left guard for 4 yards (tackle by Joshua Kalu and Jack Gibbens),1.42,2.39,17.0,2022,241
3.0,9:45,1.0,10.0,TEN 48,10.0,6.0,"Ezekiel Elliott for no gain. Penalty on Tyler Biadasz: Offensive Holding, 10 yards (accepted) (no play)",2.39,1.73,17.0,2022,241
3.0,9:29,1.0,20.0,DAL 42,10.0,6.0,Ezekiel Elliott up the middle for 1 yard (tackle by Kevin Strong and Monty Rice),1.73,0.63,17.0,2022,241
3.0,9:09,2.0,19.0,DAL 43,10.0,6.0,Dak Prescott pass incomplete short left intended for Noah Brown (defended by Kevin Strong),0.63,-0.03,17.0,2022,241
3.0,9:02,3.0,19.0,DAL 43,10.0,6.0,"Dak Prescott pass incomplete deep left intended for Michael Gallup. Penalty on Tre Avery: Defensive Pass Interference, 51 yards (accepted) (no play)",-0.03,5.83,17.0,2022,241
3.0,8:52,1.0,6.0,TEN 6,16.0,6.0,"Dak Prescott pass complete short left to Dalton Schultz for 6 yards, touchdown",5.83,7.0,17.0,2022,241
3.0,8:48,,,TEN 15,17.0,6.0,Brett Maher kicks extra point good,0.0,0.0,17.0,2022,241
3.0,8:48,,,DAL 35,17.0,6.0,"Brett Maher kicks off 61 yards, returned by Julius Chestnut for 25 yards (tackle by Qadree Ollison)",0.0,0.87,17.0,2022,241
3.0,8:43,1.0,10.0,TEN 29,17.0,6.0,Hassan Haskins right tackle for no gain (tackle by Anthony Barr),0.87,0.33,17.0,2022,241
3.0,8:06,2.0,10.0,TEN 29,17.0,6.0,Joshua Dobbs pass complete short left to Geoff Swaim for 4 yards (tackle by DaRon Bland),0.33,0.17,17.0,2022,241
3.0,7:34,3.0,6.0,TEN 33,17.0,6.0,Joshua Dobbs pass complete deep right to Treylon Burks for 21 yards (tackle by Jayron Kearse),0.17,2.52,17.0,2022,241
3.0,7:00,1.0,10.0,DAL 46,17.0,6.0,"Hassan Haskins left tackle for 12 yards (tackle by Malik Hooker). Penalty on Neville Gallimore: Defensive Offside, 5 yards (declined)",2.52,3.31,17.0,2022,241
3.0,6:43,1.0,10.0,DAL 34,17.0,6.0,Hassan Haskins right end for 3 yards (tackle by Nahshon Wright and DaRon Bland),3.31,3.18,17.0,2022,241
3.0,6:01,2.0,7.0,DAL 31,17.0,6.0,Joshua Dobbs pass incomplete short right,3.18,2.48,17.0,2022,241
3.0,5:56,3.0,7.0,DAL 31,17.0,6.0,Hassan Haskins right tackle for 5 yards (tackle by Jayron Kearse),2.48,1.86,17.0,2022,241
3.0,5:16,4.0,2.0,DAL 26,17.0,6.0,Hassan Haskins up the middle for 2 yards (tackle by DeMarcus Lawrence),1.86,3.97,17.0,2022,241
3.0,4:36,1.0,10.0,DAL 24,17.0,6.0,Hassan Haskins right end for 5 yards (tackle by Carlos Watkins),3.97,4.12,17.0,2022,241
3.0,4:04,2.0,5.0,DAL 19,17.0,6.0,Julius Chestnut left tackle for -1 yards (tackle by Carlos Watkins and Damone Clark),4.12,3.27,17.0,2022,241
3.0,3:26,3.0,6.0,DAL 20,17.0,6.0,Joshua Dobbs pass complete short right to Robert Woods for 9 yards (tackle by Nahshon Wright),3.27,4.84,17.0,2022,241
3.0,2:57,1.0,10.0,DAL 11,17.0,6.0,Joshua Dobbs pass complete short right to Jonathan Ward for 4 yards (tackle by Nahshon Wright and Anthony Barr),4.84,4.89,17.0,2022,241
3.0,2:15,2.0,6.0,DAL 7,17.0,6.0,Joshua Dobbs pass incomplete short left intended for Treylon Burks,4.89,3.98,17.0,2022,241
3.0,2:10,3.0,6.0,DAL 7,17.0,12.0,"Joshua Dobbs pass complete short left to Robert Woods for 7 yards, touchdown",3.98,7.0,17.0,2022,241
3.0,2:04,,,DAL 15,17.0,13.0,Randy Bullock kicks extra point good,0.0,0.0,17.0,2022,241
3.0,2:04,,,TEN 35,17.0,13.0,"Randy Bullock kicks off 65 yards, touchback.",0.0,0.61,17.0,2022,241
3.0,2:04,1.0,10.0,DAL 25,17.0,13.0,Malik Davis left tackle for no gain (tackle by Monty Rice),0.61,0.06,17.0,2022,241
3.0,1:31,2.0,10.0,DAL 25,17.0,13.0,Dak Prescott pass incomplete right intended for T.Y. Hilton,0.06,-0.62,17.0,2022,241
3.0,1:25,3.0,10.0,DAL 25,17.0,13.0,Dak Prescott pass complete short right to T.Y. Hilton for 28 yards (tackle by Lonnie Johnson),-0.62,2.46,17.0,2022,241
3.0,0:45,1.0,10.0,TEN 47,17.0,13.0,Malik Davis up the middle for no gain (tackle by DeMarcus Walker),2.46,1.91,17.0,2022,241
4.0,15:00,2.0,10.0,TEN 47,17.0,13.0,"Dak Prescott pass complete short left to Dalton Schultz for 6 yards (tackle by Kevin Byard and Joshua Kalu). Penalty on Monty Rice: Roughing the Passer, 15 yards (accepted)",1.91,3.84,17.0,2022,241
4.0,14:33,1.0,10.0,TEN 26,17.0,13.0,Malik Davis left tackle for 6 yards (tackle by Tre Avery and Monty Rice),3.84,4.11,17.0,2022,241
4.0,14:01,2.0,4.0,TEN 20,17.0,13.0,Dak Prescott scrambles up the middle for 2 yards (tackle by Teair Tart),4.11,3.75,17.0,2022,241
4.0,13:22,3.0,2.0,TEN 18,17.0,13.0,Dak Prescott pass complete short right to Malik Davis for 5 yards (tackle by Monty Rice),3.75,4.71,17.0,2022,241
4.0,12:39,1.0,10.0,TEN 13,17.0,13.0,Dak Prescott pass complete short left to CeeDee Lamb for 3 yards (tackle by Joshua Kalu),4.71,4.58,17.0,2022,241
4.0,12:03,2.0,7.0,TEN 10,23.0,13.0,"Dak Prescott pass complete to Dalton Schultz for 10 yards, touchdown",4.58,7.0,17.0,2022,241
4.0,11:58,,,TEN 15,24.0,13.0,Brett Maher kicks extra point good,0.0,0.0,17.0,2022,241
4.0,11:58,,,DAL 35,24.0,13.0,"Brett Maher kicks off 65 yards, touchback.",0.0,0.61,17.0,2022,241
4.0,11:58,1.0,10.0,TEN 25,24.0,13.0,Treylon Burks right end for 20 yards (tackle by Nahshon Wright),0.61,1.93,17.0,2022,241
4.0,11:23,1.0,10.0,TEN 45,24.0,13.0,Joshua Dobbs pass incomplete short right intended for Hassan Haskins,1.93,1.38,17.0,2022,241
4.0,11:17,2.0,10.0,TEN 45,24.0,13.0,Joshua Dobbs pass complete short middle to Hassan Haskins for 10 yards (tackle by DaRon Bland and Jabril Cox),1.38,2.59,17.0,2022,241
4.0,10:47,1.0,10.0,DAL 45,24.0,13.0,Joshua Dobbs pass incomplete deep right intended for Treylon Burks (defended by Nahshon Wright),2.59,2.04,17.0,2022,241
4.0,10:44,2.0,10.0,DAL 45,24.0,13.0,Joshua Dobbs pass complete short right to Robert Woods for 5 yards (tackle by Nahshon Wright),2.04,2.01,17.0,2022,241
4.0,10:04,3.0,5.0,DAL 40,24.0,13.0,Joshua Dobbs pass incomplete short left intended for Austin Hooper,2.01,0.59,17.0,2022,241
4.0,9:58,4.0,5.0,DAL 40,24.0,13.0,"Penalty on Dennis Daley: False Start, 5 yards (accepted) (no play)",0.59,0.27,17.0,2022,241
4.0,9:58,4.0,10.0,DAL 45,24.0,13.0,"Ryan Stonehouse punts 45 yards, touchback.",0.27,-0.28,17.0,2022,241
4.0,9:50,1.0,10.0,DAL 20,24.0,13.0,Ezekiel Elliott left end for no gain (tackle by Rashad Weaver),0.28,-0.27,17.0,2022,241
4.0,9:15,2.0,10.0,DAL 20,24.0,13.0,Dak Prescott pass complete deep left to CeeDee Lamb for 34 yards (tackle by Kevin Byard),-0.27,2.52,17.0,2022,241
4.0,9:04,1.0,10.0,TEN 46,24.0,13.0,Dak Prescott pass complete short left to Michael Gallup for 14 yards (tackle by Monty Rice and Joshua Kalu),2.52,3.45,17.0,2022,241
4.0,8:15,1.0,10.0,TEN 32,24.0,13.0,Ezekiel Elliott right end for 3 yards (tackle by Monty Rice),3.45,3.31,17.0,2022,241
4.0,7:36,2.0,7.0,TEN 29,24.0,13.0,Dak Prescott sacked by and Teair Tart for -8 yards and DeMarcus Walker for -8 yards,3.31,1.55,17.0,2022,241
4.0,7:20,3.0,15.0,TEN 37,24.0,13.0,Dak Prescott pass complete short right to CeeDee Lamb for 10 yards (tackle by Mario Edwards),1.55,1.72,17.0,2022,241
4.0,6:28,4.0,5.0,TEN 27,27.0,13.0,Brett Maher 45 yard field goal good,1.72,3.0,17.0,2022,241
4.0,6:24,,,DAL 35,27.0,13.0,"Brett Maher kicks off 64 yards, out of bounds",0.0,1.6,17.0,2022,241
4.0,6:24,1.0,10.0,TEN 40,27.0,13.0,Joshua Dobbs pass complete short middle to Treylon Burks for 4 yards (tackle by DaRon Bland),1.6,1.59,17.0,2022,241
4.0,6:03,2.0,6.0,TEN 44,27.0,13.0,Joshua Dobbs pass deep right intended for Robert Woods is intercepted by Nahshon Wright at DAL-40 and returned for no gain,1.59,-1.6,17.0,2022,241
4.0,5:57,1.0,10.0,DAL 40,27.0,13.0,Ezekiel Elliott left guard for no gain (tackle by Kevin Strong),1.6,1.05,17.0,2022,241
4.0,5:20,2.0,10.0,DAL 40,27.0,13.0,Dak Prescott pass incomplete deep right intended for CeeDee Lamb (defended by Roger McCreary),1.05,0.37,17.0,2022,241
4.0,5:10,3.0,10.0,DAL 40,27.0,13.0,"Dak Prescott pass incomplete short left intended for Noah Brown (defended by Tre Avery). Penalty on Tyler Smith: Offensive Holding, 10 yards (declined)",0.37,-0.72,17.0,2022,241
4.0,5:06,4.0,10.0,DAL 40,27.0,13.0,"Bryan Anger punts 42 yards, fair catch by Robert Woods at TEN-18, fair catch by Morgan Cox at TEN-18. Penalty on Kelvin Joseph: Kick Catch Interference, 15 yards (accepted)",-0.72,-1.14,17.0,2022,241
4.0,4:55,1.0,10.0,TEN 33,27.0,13.0,Joshua Dobbs pass complete short right to Treylon Burks for 11 yards (tackle by Nahshon Wright),1.14,1.86,17.0,2022,241
4.0,4:45,1.0,10.0,TEN 44,27.0,13.0,Joshua Dobbs pass complete short middle to Austin Hooper for 6 yards (tackle by Jabril Cox and DaRon Bland),1.86,2.13,17.0,2022,241
4.0,4:29,2.0,4.0,TEN 50,27.0,13.0,Joshua Dobbs pass incomplete deep left intended for Nick Westbrook-Ikhine,2.13,1.42,17.0,2022,241
