Quarter,Time,Down,ToGo,Location,MIN,GNB,Detail,EPB,EPA,week,year,game_id
1.0,10:25,1.0,10.0,MIN 25,3.0,7.0,Kirk Cousins pass incomplete short left intended for T.J. Hockenson,0.61,0.06,17.0,2022,253
1.0,10:22,2.0,10.0,MIN 25,3.0,7.0,"Kirk Cousins aborted snap, recovered by Dalvin Cook at MIN-25 and returned for 7 yards Dalvin Cook up the middle for no gain (tackle by Quay Walker and Darnell Savage)",0.06,0.3,17.0,2022,253
1.0,9:39,3.0,3.0,MIN 32,3.0,7.0,Kirk Cousins pass incomplete deep right intended for T.J. Hockenson,0.3,-1.24,17.0,2022,253
1.0,9:35,4.0,3.0,MIN 32,3.0,7.0,"Ryan Wright punts 40 yards, returned by Keisean Nixon for 10 yards (tackle by Theo Jackson)",-1.24,-1.47,17.0,2022,253
1.0,9:25,1.0,10.0,GNB 38,3.0,7.0,Aaron Jones right end for 14 yards (tackle by Harrison Smith),1.47,2.39,17.0,2022,253
1.0,8:44,1.0,10.0,MIN 48,3.0,7.0,Aaron Jones right end for 9 yards (tackle by Patrick Peterson),2.39,3.06,17.0,2022,253
1.0,8:06,2.0,1.0,MIN 39,3.0,7.0,Aaron Jones up the middle for no gain (tackle by Za'Darius Smith and Dalvin Tomlinson),3.06,2.34,17.0,2022,253
1.0,7:23,3.0,1.0,MIN 39,3.0,7.0,AJ Dillon left end for no gain (tackle by Duke Shelley and Camryn Bynum),2.34,0.66,17.0,2022,253
1.0,6:37,,,,,,Timeout #1 by Green Bay Packers,,,17.0,2022,253
1.0,6:37,4.0,1.0,MIN 39,3.0,7.0,Aaron Rodgers sacked by Dalvin Tomlinson for -16 yards,0.66,-2.59,17.0,2022,253
1.0,6:32,1.0,10.0,GNB 45,3.0,7.0,Kirk Cousins pass incomplete short middle intended for T.J. Hockenson (defended by Quay Walker),2.59,2.04,17.0,2022,253
1.0,6:25,2.0,10.0,GNB 45,3.0,7.0,Kirk Cousins pass incomplete deep right intended for Justin Jefferson (defended by Jaire Alexander),2.04,1.36,17.0,2022,253
1.0,6:19,3.0,10.0,GNB 45,3.0,7.0,Kirk Cousins pass complete short right to T.J. Hockenson for 8 yards (tackle by Rasul Douglas),1.36,0.79,17.0,2022,253
1.0,5:34,4.0,2.0,GNB 37,3.0,13.0,"Kirk Cousins pass short middle (defended by Rasul Douglas) intended for T.J. Hockenson is intercepted by Darnell Savage at GB-25 and returned for 75 yards, touchdown",0.79,-7.0,17.0,2022,253
1.0,5:17,,,MIN 15,3.0,14.0,Mason Crosby kicks extra point good,0.0,0.0,17.0,2022,253
1.0,5:17,,,GNB 35,3.0,14.0,"Mason Crosby kicks off 66 yards, returned by Kene Nwangwu for 39 yards (tackle by Isaiah McDuffie and Rasul Douglas)",0.0,1.47,17.0,2022,253
1.0,5:09,1.0,10.0,MIN 38,3.0,14.0,Dalvin Cook left tackle for -1 yards (tackle by Adrian Amos and De'Vondre Campbell),1.47,0.79,17.0,2022,253
1.0,4:30,2.0,11.0,MIN 37,3.0,14.0,Kirk Cousins pass incomplete short middle intended for Justin Jefferson,0.79,0.1,17.0,2022,253
1.0,4:21,3.0,11.0,MIN 37,3.0,14.0,Kirk Cousins scrambles left end for 19 yards (tackle by Adrian Amos),0.1,2.65,17.0,2022,253
1.0,3:41,1.0,10.0,GNB 44,3.0,14.0,Kirk Cousins pass complete short left to Dalvin Cook for 16 yards (tackle by Quay Walker),2.65,3.71,17.0,2022,253
1.0,3:03,1.0,10.0,GNB 28,3.0,14.0,Dalvin Cook right tackle for 4 yards (tackle by De'Vondre Campbell),3.71,3.71,17.0,2022,253
1.0,2:29,2.0,6.0,GNB 24,3.0,14.0,Kirk Cousins pass incomplete short left intended for Justin Jefferson (defended by Tedarrell Slaton),3.71,3.01,17.0,2022,253
1.0,2:24,3.0,6.0,GNB 24,3.0,14.0,"Penalty on Kirk Cousins: Delay of Game, 5 yards (accepted) (no play)",3.01,2.34,17.0,2022,253
1.0,2:24,3.0,11.0,GNB 29,3.0,14.0,Kirk Cousins pass complete short left to Dalvin Cook for 1 yard (tackle by De'Vondre Campbell),2.34,1.59,17.0,2022,253
1.0,1:42,4.0,10.0,GNB 28,3.0,14.0,Greg Joseph 46 yard field goal no good,1.59,-1.33,17.0,2022,253
1.0,1:37,1.0,10.0,GNB 36,3.0,14.0,Aaron Rodgers pass incomplete short left intended for AJ Dillon,1.33,0.79,17.0,2022,253
1.0,1:32,2.0,10.0,GNB 36,3.0,14.0,Aaron Rodgers pass incomplete deep left intended for Christian Watson,0.79,0.1,17.0,2022,253
1.0,1:27,3.0,10.0,GNB 36,3.0,14.0,Aaron Rodgers pass complete short left to Allen Lazard for 14 yards (tackle by Chandon Sullivan),0.1,2.26,17.0,2022,253
1.0,0:46,1.0,10.0,GNB 50,3.0,14.0,AJ Dillon right tackle for 4 yards (tackle by Harrison Phillips),2.26,2.25,17.0,2022,253
1.0,0:08,2.0,6.0,MIN 46,3.0,14.0,Aaron Rodgers pass incomplete deep left intended for Christian Watson (defended by Duke Shelley),2.25,1.55,17.0,2022,253
2.0,15:00,3.0,6.0,MIN 46,3.0,14.0,Aaron Rodgers pass complete short middle to Allen Lazard for 9 yards (tackle by Chandon Sullivan),1.55,3.12,17.0,2022,253
2.0,14:19,1.0,10.0,MIN 37,3.0,14.0,Aaron Rodgers pass complete short left to Josiah Deguara for 4 yards (tackle by Harrison Smith),3.12,3.11,17.0,2022,253
2.0,13:36,2.0,6.0,MIN 33,3.0,14.0,Aaron Jones right guard for 9 yards (tackle by Brian Asamoah),3.11,3.97,17.0,2022,253
2.0,12:55,1.0,10.0,MIN 24,3.0,14.0,Aaron Jones right end for 7 yards (tackle by Patrick Jones and Camryn Bynum),3.97,4.46,17.0,2022,253
2.0,12:11,2.0,3.0,MIN 17,3.0,14.0,Aaron Jones up the middle for 11 yards (tackle by Harrison Smith and Camryn Bynum),4.46,5.83,17.0,2022,253
2.0,11:25,1.0,6.0,MIN 6,3.0,14.0,AJ Dillon up the middle for 2 yards (tackle by Dalvin Tomlinson),5.83,5.34,17.0,2022,253
2.0,10:41,2.0,4.0,MIN 4,3.0,14.0,AJ Dillon left guard for 1 yard (tackle by Za'Darius Smith),5.34,4.72,17.0,2022,253
2.0,9:59,3.0,3.0,MIN 3,3.0,14.0,Aaron Rodgers pass incomplete intended for Allen Lazard,4.72,3.04,17.0,2022,253
2.0,9:52,4.0,3.0,MIN 3,3.0,14.0,"Penalty on GNB: Delay of Game, 5 yards (accepted) (no play)",3.04,2.95,17.0,2022,253
2.0,9:52,4.0,8.0,MIN 8,3.0,17.0,Mason Crosby 26 yard field goal good,2.95,3.0,17.0,2022,253
2.0,9:48,,,GNB 35,3.0,17.0,"Mason Crosby kicks off 63 yards, returned by Kene Nwangwu for 27 yards (tackle by Tariq Carpenter)",0.0,0.87,17.0,2022,253
2.0,9:43,1.0,10.0,MIN 29,3.0,17.0,Dalvin Cook left tackle for 9 yards (tackle by Adrian Amos),0.87,1.54,17.0,2022,253
2.0,9:11,2.0,1.0,MIN 38,3.0,17.0,Dalvin Cook right guard for 4 yards (tackle by De'Vondre Campbell),1.54,1.73,17.0,2022,253
2.0,8:34,1.0,10.0,MIN 42,3.0,17.0,"Penalty on Ezra Cleveland: False Start, 5 yards (accepted) (no play)",1.73,1.4,17.0,2022,253
2.0,8:13,1.0,15.0,MIN 37,3.0,17.0,"Kirk Cousins pass complete to K.J. Osborn for no gain. Penalty on Ezra Cleveland: Offensive Holding, 10 yards (accepted) (no play)",1.4,0.74,17.0,2022,253
2.0,7:41,1.0,25.0,MIN 27,3.0,17.0,Kirk Cousins pass complete short middle to T.J. Hockenson for 12 yards (tackle by De'Vondre Campbell and Quay Walker),0.74,0.78,17.0,2022,253
2.0,7:10,2.0,13.0,MIN 39,3.0,17.0,Kirk Cousins pass complete short middle to T.J. Hockenson for 9 yards (tackle by Quay Walker and De'Vondre Campbell),0.78,1.29,17.0,2022,253
2.0,6:27,,,,,,Timeout #1 by Minnesota Vikings,,,17.0,2022,253
2.0,6:27,3.0,4.0,MIN 48,3.0,17.0,"Kirk Cousins pass complete short middle to K.J. Osborn for 6 yards (tackle by Rudy Ford and Quay Walker). Penalty on Quay Walker: Unnecessary Roughness / Defense, 15 yards (accepted)",1.29,3.51,17.0,2022,253
2.0,6:03,1.0,10.0,GNB 31,3.0,17.0,Kirk Cousins pass (defended by Tedarrell Slaton) intended for Justin Jefferson is intercepted by Adrian Amos at GB-14 and returned for 26 yards (tackle by Ezra Cleveland),3.51,-1.6,17.0,2022,253
2.0,5:52,1.0,10.0,GNB 40,3.0,17.0,AJ Dillon up the middle for 6 yards (tackle by T.J. Smith and Brian Asamoah),1.6,1.86,17.0,2022,253
2.0,5:13,2.0,4.0,GNB 46,3.0,17.0,Aaron Jones left end for 3 yards (tackle by Patrick Peterson and Khyiris Tonga),1.86,1.55,17.0,2022,253
2.0,4:34,3.0,1.0,GNB 49,3.0,17.0,Aaron Jones left end for 31 yards (tackle by Camryn Bynum),1.55,4.24,17.0,2022,253
2.0,3:54,1.0,10.0,MIN 20,3.0,17.0,"AJ Dillon for no gain (tackle by Danielle Hunter). Penalty on Jon Runyan: Offensive Holding, 10 yards (accepted) (no play)",4.24,3.58,17.0,2022,253
2.0,3:40,1.0,20.0,MIN 30,3.0,17.0,Aaron Rodgers pass complete short middle to Randall Cobb for 9 yards (tackle by Duke Shelley),3.58,3.56,17.0,2022,253
2.0,2:55,2.0,11.0,MIN 21,3.0,23.0,"Aaron Rodgers pass complete deep right to Robert Tonyan for 21 yards, touchdown",3.56,7.0,17.0,2022,253
2.0,2:41,,,MIN 15,3.0,24.0,Mason Crosby kicks extra point good,0.0,0.0,17.0,2022,253
2.0,2:41,,,GNB 35,3.0,24.0,"Mason Crosby kicks off 64 yards, returned by Kene Nwangwu for 21 yards (tackle by Tyler Davis)",0.0,0.41,17.0,2022,253
2.0,2:37,1.0,10.0,MIN 22,3.0,24.0,Kirk Cousins pass complete short left to K.J. Osborn for 11 yards (tackle by Rudy Ford),0.41,1.14,17.0,2022,253
2.0,2:11,1.0,10.0,MIN 33,3.0,24.0,Kirk Cousins pass incomplete short middle intended for Dalvin Cook,1.14,0.59,17.0,2022,253
2.0,2:06,2.0,10.0,MIN 33,3.0,24.0,Alexander Mattison right tackle for 5 yards (tackle by Quay Walker and Kenny Clark),0.59,0.56,17.0,2022,253
2.0,2:00,3.0,5.0,MIN 38,3.0,24.0,Kirk Cousins pass complete short middle to K.J. Osborn for 16 yards (tackle by Adrian Amos),0.56,2.52,17.0,2022,253
2.0,1:45,1.0,10.0,GNB 46,3.0,24.0,Alexander Mattison up the middle for 8 yards (tackle by Kenny Clark and Quay Walker),2.52,3.06,17.0,2022,253
2.0,1:23,2.0,2.0,GNB 38,3.0,24.0,Kirk Cousins pass complete short left to T.J. Hockenson for 3 yards (tackle by Rasul Douglas),3.06,3.25,17.0,2022,253
2.0,0:56,1.0,10.0,GNB 35,3.0,24.0,Kirk Cousins pass complete short left to K.J. Osborn for 5 yards,3.25,3.38,17.0,2022,253
2.0,0:53,2.0,5.0,GNB 30,3.0,24.0,Kirk Cousins sacked by Justin Hollins for -9 yards,3.38,1.49,17.0,2022,253
2.0,0:45,,,,,,Timeout #2 by Minnesota Vikings,,,17.0,2022,253
2.0,0:45,3.0,14.0,GNB 39,3.0,24.0,Kirk Cousins pass complete short right to Alexander Mattison for 7 yards (tackle by Preston Smith),1.49,1.24,17.0,2022,253
2.0,0:40,4.0,7.0,GNB 32,3.0,24.0,Greg Joseph 50 yard field goal no good,1.24,-1.6,17.0,2022,253
2.0,0:36,1.0,10.0,GNB 40,3.0,24.0,Aaron Rodgers pass complete deep left to Allen Lazard for 16 yards (tackle by Camryn Bynum),1.6,2.65,17.0,2022,253
2.0,0:20,1.0,10.0,MIN 44,3.0,24.0,Aaron Rodgers pass complete short middle to Robert Tonyan for 7 yards (tackle by Jordan Hicks and Eric Kendricks),2.65,3.06,17.0,2022,253
2.0,0:05,2.0,3.0,MIN 37,3.0,24.0,Aaron Rodgers spiked the ball,3.06,2.35,17.0,2022,253
2.0,0:04,3.0,3.0,MIN 37,3.0,27.0,Mason Crosby 56 yard field goal good,2.35,3.0,17.0,2022,253
3.0,15:00,,,MIN 35,3.0,27.0,"Greg Joseph kicks off 65 yards, touchback.",0.0,0.61,17.0,2022,253
3.0,15:00,1.0,10.0,GNB 25,3.0,27.0,Aaron Jones up the middle for 6 yards (tackle by Danielle Hunter),0.61,0.87,17.0,2022,253
3.0,14:23,2.0,4.0,GNB 31,3.0,27.0,Aaron Jones up the middle for 9 yards (tackle by Patrick Peterson and Eric Kendricks),0.87,1.6,17.0,2022,253
3.0,13:44,1.0,10.0,GNB 40,3.0,27.0,Aaron Rodgers pass incomplete short middle intended for Christian Watson,1.6,1.05,17.0,2022,253
3.0,13:39,2.0,10.0,GNB 40,3.0,27.0,Aaron Rodgers pass complete short left to Aaron Jones for 1 yard (tackle by Jordan Hicks),1.05,0.5,17.0,2022,253
3.0,12:54,3.0,9.0,GNB 41,3.0,27.0,Aaron Rodgers pass incomplete deep right intended for Christian Watson,0.5,-0.65,17.0,2022,253
3.0,12:47,4.0,9.0,GNB 41,3.0,27.0,"Pat O'Donnell punts 43 yards, fair catch by Jalen Reagor at MIN-16",-0.65,0.14,17.0,2022,253
3.0,12:40,1.0,10.0,MIN 16,3.0,27.0,Dalvin Cook left tackle for 6 yards (tackle by Preston Smith and De'Vondre Campbell),-0.14,0.28,17.0,2022,253
3.0,12:11,2.0,4.0,MIN 22,3.0,27.0,"Penalty on Ezra Cleveland: False Start, 5 yards (accepted) (no play)",0.28,-0.51,17.0,2022,253
3.0,11:52,2.0,9.0,MIN 17,3.0,27.0,Kirk Cousins pass complete short middle to K.J. Osborn for 6 yards (tackle by Quay Walker),-0.51,-0.45,17.0,2022,253
3.0,11:13,3.0,3.0,MIN 23,3.0,27.0,Kirk Cousins pass complete short middle to T.J. Hockenson for 13 yards (tackle by Adrian Amos),-0.45,1.33,17.0,2022,253
3.0,10:34,1.0,10.0,MIN 36,3.0,27.0,Kirk Cousins pass complete short middle to Adam Thielen for 16 yards (tackle by Darnell Savage),1.33,2.39,17.0,2022,253
3.0,9:52,1.0,10.0,GNB 48,3.0,27.0,Kirk Cousins scrambles up the middle for 18 yards (tackle by Adrian Amos),2.39,3.58,17.0,2022,253
3.0,8:54,1.0,10.0,GNB 30,3.0,27.0,"Penalty on Kirk Cousins: Delay of Game, 5 yards (accepted) (no play)",3.58,3.25,17.0,2022,253
3.0,8:37,1.0,15.0,GNB 35,3.0,27.0,Kirk Cousins pass complete short middle to T.J. Hockenson for 5 yards (tackle by De'Vondre Campbell),3.25,3.03,17.0,2022,253
3.0,7:58,2.0,10.0,GNB 30,3.0,27.0,Kirk Cousins pass complete short middle to Justin Jefferson for 15 yards (tackle by Adrian Amos),3.03,4.58,17.0,2022,253
3.0,7:21,1.0,10.0,GNB 15,3.0,27.0,Kirk Cousins pass incomplete intended for T.J. Hockenson (defended by Adrian Amos),4.58,3.95,17.0,2022,253
3.0,7:11,2.0,10.0,GNB 15,3.0,27.0,"Kirk Cousins sacked by Kenny Clark for -9 yards. Kirk Cousins fumbles (forced by Kenny Clark), recovered by Kenny Clark at GB-24 (tackle by Kenny Clark)",3.95,-0.54,17.0,2022,253
3.0,7:06,1.0,10.0,GNB 24,3.0,27.0,AJ Dillon left tackle for 3 yards (tackle by D.J. Wonnum and T.J. Smith),0.54,0.4,17.0,2022,253
3.0,6:28,2.0,7.0,GNB 27,3.0,27.0,Aaron Jones left end for -3 yards (tackle by T.J. Smith),0.4,-0.69,17.0,2022,253
3.0,5:44,3.0,10.0,GNB 24,3.0,27.0,Aaron Rodgers pass complete short right to Randall Cobb for 11 yards (tackle by Harrison Smith and Camryn Bynum),-0.69,1.27,17.0,2022,253
3.0,5:01,1.0,10.0,GNB 35,3.0,27.0,Aaron Rodgers pass incomplete short left intended for Robert Tonyan (defended by Harrison Phillips),1.27,0.72,17.0,2022,253
3.0,4:54,2.0,10.0,GNB 35,3.0,27.0,Aaron Rodgers pass complete short middle to Christian Watson for 11 yards (tackle by Duke Shelley),0.72,1.99,17.0,2022,253
3.0,4:10,1.0,10.0,GNB 46,3.0,27.0,Aaron Jones right end for 5 yards (tackle by Camryn Bynum and Jordan Hicks),1.99,2.13,17.0,2022,253
3.0,3:23,2.0,5.0,MIN 49,3.0,27.0,Aaron Rodgers pass complete short right to Allen Lazard for 15 yards (tackle by Eric Kendricks),2.13,3.31,17.0,2022,253
3.0,2:34,1.0,10.0,MIN 34,3.0,27.0,Aaron Rodgers pass complete short middle to Romeo Doubs for 11 yards (tackle by Patrick Peterson and Harrison Smith),3.31,4.04,17.0,2022,253
3.0,1:49,1.0,10.0,MIN 23,3.0,27.0,AJ Dillon left guard for 2 yards (tackle by D.J. Wonnum),4.04,3.77,17.0,2022,253
3.0,1:02,,,,,,Timeout #1 by Green Bay Packers,,,17.0,2022,253
3.0,1:02,2.0,8.0,MIN 21,3.0,27.0,Aaron Jones right guard for 4 yards (tackle by Jordan Hicks and Za'Darius Smith),3.77,3.49,17.0,2022,253
3.0,0:47,3.0,5.0,MIN 18,3.0,27.0,"Aaron Rodgers pass incomplete intended for Robert Tonyan. Penalty on T.J. Smith: Defensive Offside, 5 yards (declined) (no play)",3.49,4.78,17.0,2022,253
3.0,0:40,1.0,10.0,MIN 12,3.0,27.0,AJ Dillon left end for 10 yards (tackle by Patrick Peterson and D.J. Wonnum),4.78,6.74,17.0,2022,253
4.0,15:00,1.0,2.0,MIN 2,3.0,33.0,"AJ Dillon left tackle for 2 yards, touchdown",6.74,7.0,17.0,2022,253
4.0,14:54,,,MIN 15,3.0,34.0,Mason Crosby kicks extra point good,0.0,0.0,17.0,2022,253
4.0,14:54,,,GNB 35,3.0,34.0,"Mason Crosby kicks off 65 yards, touchback.",0.0,0.61,17.0,2022,253
4.0,14:54,1.0,10.0,MIN 25,3.0,34.0,Kirk Cousins pass intended for Adam Thielen is intercepted by Rudy Ford at GB-36 and returned for 19 yards (tackle by Justin Jefferson),0.61,-2.59,17.0,2022,253
4.0,14:40,1.0,10.0,MIN 45,3.0,34.0,AJ Dillon left end for 5 yards (tackle by Brian Asamoah),2.59,2.72,17.0,2022,253
4.0,13:55,2.0,5.0,MIN 40,3.0,34.0,AJ Dillon up the middle for 4 yards (tackle by Khyiris Tonga and Dalvin Tomlinson),2.72,2.54,17.0,2022,253
4.0,13:11,3.0,1.0,MIN 36,3.0,34.0,AJ Dillon left guard for 2 yards (tackle by Khyiris Tonga and Harrison Phillips),2.54,3.31,17.0,2022,253
4.0,12:26,1.0,10.0,MIN 34,3.0,34.0,Patrick Taylor left tackle for 1 yard (tackle by Khyiris Tonga),3.31,2.91,17.0,2022,253
4.0,11:41,,,,,,Timeout #2 by Green Bay Packers,,,17.0,2022,253
4.0,11:41,2.0,9.0,MIN 33,3.0,34.0,Aaron Rodgers pass complete short right to Robert Tonyan for 24 yards (tackle by Camryn Bynum),2.91,5.14,17.0,2022,253
4.0,11:00,1.0,9.0,MIN 9,3.0,34.0,Patrick Taylor right end for 2 yards (tackle by Brian Asamoah),5.14,4.76,17.0,2022,253
4.0,10:21,2.0,7.0,MIN 7,3.0,34.0,Aaron Rodgers pass complete short left to Allen Lazard for 5 yards (tackle by Camryn Bynum),4.76,4.95,17.0,2022,253
4.0,9:36,3.0,2.0,MIN 2,3.0,40.0,"Aaron Rodgers scrambles right end for 2 yards, touchdown",4.95,7.0,17.0,2022,253
4.0,9:25,,,MIN 15,3.0,41.0,Mason Crosby kicks extra point good,0.0,0.0,17.0,2022,253
4.0,9:25,,,GNB 35,3.0,41.0,"Mason Crosby kicks off 58 yards, returned by Kene Nwangwu for 34 yards (tackle by Eric Wilson)",0.0,1.66,17.0,2022,253
4.0,9:20,1.0,10.0,MIN 41,3.0,41.0,Alexander Mattison up the middle for 3 yards (tackle by Isaiah McDuffie and Jonathan Garvin),1.66,1.53,17.0,2022,253
4.0,8:54,2.0,7.0,MIN 44,3.0,41.0,Alexander Mattison left guard for no gain (tackle by Devonte Wyatt),1.53,0.69,17.0,2022,253
4.0,8:13,3.0,9.0,MIN 44,3.0,41.0,Kirk Cousins pass complete short right to T.J. Hockenson for 9 yards (tackle by Rasul Douglas),0.69,2.46,17.0,2022,253
4.0,7:45,1.0,10.0,GNB 47,9.0,41.0,"Kirk Cousins pass complete deep left to Jalen Nailor for 47 yards, touchdown. Penalty on Justin Hollins: Defensive Offside, 5 yards (declined)",2.46,7.0,17.0,2022,253
4.0,7:36,,,GNB 15,10.0,41.0,Greg Joseph kicks extra point good,0.0,0.0,17.0,2022,253
4.0,7:36,,,MIN 35,10.0,41.0,"Greg Joseph kicks off 65 yards, touchback.",0.0,0.61,17.0,2022,253
4.0,7:36,1.0,10.0,GNB 25,10.0,41.0,Patrick Taylor left end for 3 yards (tackle by Khyiris Tonga),0.61,0.47,17.0,2022,253
4.0,6:54,2.0,7.0,GNB 28,10.0,41.0,Patrick Taylor up the middle for 2 yards (tackle by Esezi Otomewo and T.J. Smith),0.47,0.04,17.0,2022,253
4.0,6:19,3.0,5.0,GNB 30,10.0,41.0,Jordan Love pass complete short left to Romeo Doubs for 5 yards (tackle by Cameron Dantzler),0.04,1.27,17.0,2022,253
4.0,5:42,1.0,10.0,GNB 35,10.0,41.0,Jordan Love pass complete short left to Romeo Doubs for 4 yards (tackle by Cameron Dantzler),1.27,1.26,17.0,2022,253
4.0,5:04,2.0,6.0,GNB 39,10.0,41.0,Patrick Taylor left end for 2 yards (tackle by Eric Kendricks),1.26,0.83,17.0,2022,253
4.0,4:13,3.0,4.0,GNB 41,10.0,41.0,Jordan Love pass incomplete short left intended for Romeo Doubs (defended by Cameron Dantzler),0.83,-0.65,17.0,2022,253
4.0,4:08,4.0,4.0,GNB 41,10.0,41.0,"Pat O'Donnell punts 38 yards, recovered by Jalen Reagor at MIN-21 (tackle by Tariq Carpenter)",-0.65,-0.34,17.0,2022,253
4.0,3:58,1.0,10.0,MIN 21,10.0,41.0,Alexander Mattison left end for no gain (tackle by Isaiah McDuffie and Tedarrell Slaton),0.34,-0.2,17.0,2022,253
4.0,3:16,2.0,10.0,MIN 21,10.0,41.0,Nick Mullens pass complete short left to K.J. Osborn for 6 yards (tackle by Isaiah McDuffie and Corey Ballentine),-0.2,-0.1,17.0,2022,253
4.0,2:41,3.0,4.0,MIN 27,10.0,41.0,Alexander Mattison right guard for 1 yard (tackle by Innis Gaines),-0.1,-1.5,17.0,2022,253
4.0,2:00,4.0,3.0,MIN 28,10.0,41.0,Nick Mullens pass complete deep right to Jalen Nailor for 37 yards (tackle by Rudy Ford and Eric Wilson),-1.5,3.25,17.0,2022,253
4.0,1:22,1.0,10.0,GNB 35,10.0,41.0,Alexander Mattison right end for 12 yards (tackle by Tedarrell Slaton),3.25,4.04,17.0,2022,253
4.0,0:54,1.0,10.0,GNB 23,10.0,41.0,Alexander Mattison right tackle for 9 yards (tackle by Isaiah McDuffie),4.04,4.95,17.0,2022,253
4.0,0:32,2.0,1.0,GNB 14,10.0,41.0,Nick Mullens pass complete short left to Jalen Nailor for 5 yards,4.95,5.14,17.0,2022,253
4.0,0:25,1.0,9.0,GNB 9,16.0,41.0,"Nick Mullens pass complete short middle to K.J. Osborn for 9 yards, touchdown",5.14,7.0,17.0,2022,253
4.0,0:21,,,GNB 15,17.0,41.0,Greg Joseph kicks extra point good,0.0,0.0,17.0,2022,253
4.0,0:21,,,MIN 35,17.0,41.0,"Greg Joseph kicks off 65 yards, touchback.",0.0,0.61,17.0,2022,253
4.0,0:21,1.0,10.0,GNB 25,17.0,41.0,Jordan Love kneels for -1 yards,0.61,-0.07,17.0,2022,253
