Quarter,Time,Down,ToGo,Location,NYJ,SEA,Detail,EPB,EPA,week,year,game_id
1.0,7:31,2.0,4.0,NYJ 4,0.0,7.0,Kenneth Walker right end for -2 yards (tackle by C.J. Mosley),5.34,0.0,17.0,2022,251
1.0,6:48,3.0,7.0,NYJ 6,0.0,7.0,Geno Smith pass incomplete short right intended for D.K. Metcalf (defended by Sauce Gardner),0.0,2.97,17.0,2022,251
1.0,6:40,4.0,7.0,NYJ 7,0.0,10.0,Jason Myers 25 yard field goal good,2.97,3.0,17.0,2022,251
1.0,6:37,,,SEA 35,0.0,10.0,"Jason Myers kicks off 65 yards, returned by Braxton Berrios for 25 yards (tackle by Nick Bellore and Jon Rhattigan)",0.0,0.61,17.0,2022,251
1.0,6:31,1.0,10.0,NYJ 25,0.0,10.0,Zonovan Knight right tackle for 19 yards (tackle by Johnathan Abram and Jordyn Brooks),0.61,1.86,17.0,2022,251
1.0,5:53,1.0,10.0,NYJ 44,0.0,10.0,Zonovan Knight right guard for 1 yard (tackle by Al Woods),1.86,1.45,17.0,2022,251
1.0,5:12,2.0,9.0,NYJ 45,0.0,10.0,Mike White pass incomplete short right intended for C.J. Uzomah,1.45,0.76,17.0,2022,251
1.0,5:09,3.0,9.0,NYJ 45,0.0,10.0,Mike White pass complete short left to Elijah Moore for 15 yards (tackle by Tariq Woolen),0.76,2.92,17.0,2022,251
1.0,4:34,1.0,10.0,SEA 40,0.0,10.0,Ty Johnson left tackle for 12 yards (tackle by Johnathan Abram and Jordyn Brooks),2.92,3.71,17.0,2022,251
1.0,3:56,1.0,10.0,SEA 28,0.0,10.0,Ty Johnson left guard for -1 yards (tackle by Jordyn Brooks),3.71,3.03,17.0,2022,251
1.0,3:17,2.0,11.0,SEA 29,0.0,10.0,Mike White pass incomplete short left intended for C.J. Uzomah,3.03,2.34,17.0,2022,251
1.0,3:10,3.0,11.0,SEA 29,0.0,10.0,Mike White pass complete short left to Elijah Moore for 3 yards (tackle by Coby Bryant),2.34,1.74,17.0,2022,251
1.0,2:24,4.0,8.0,SEA 26,3.0,10.0,Greg Zuerlein 44 yard field goal good,1.74,3.0,17.0,2022,251
1.0,2:19,,,NYJ 35,3.0,10.0,"Greg Zuerlein kicks off 65 yards, touchback.",0.0,0.61,17.0,2022,251
1.0,2:19,1.0,10.0,SEA 25,3.0,10.0,Geno Smith pass incomplete deep left intended for D.K. Metcalf,0.61,0.06,17.0,2022,251
1.0,2:13,2.0,10.0,SEA 25,3.0,10.0,Geno Smith pass complete short middle to Tyler Lockett for 7 yards (tackle by C.J. Mosley),0.06,0.3,17.0,2022,251
1.0,1:29,3.0,3.0,SEA 32,3.0,10.0,"Penalty on Bryce Huff: Defensive Offside, 5 yards (accepted) (no play)",0.3,1.4,17.0,2022,251
1.0,1:21,1.0,10.0,SEA 37,3.0,10.0,Geno Smith pass complete short right to Tyler Lockett for 8 yards (tackle by Michael Carter),1.4,1.94,17.0,2022,251
1.0,0:54,2.0,2.0,SEA 45,3.0,10.0,DeeJay Dallas right guard for 7 yards (tackle by Jordan Whitehead),1.94,2.39,17.0,2022,251
1.0,0:10,1.0,10.0,NYJ 48,3.0,10.0,Geno Smith pass complete short middle to DeeJay Dallas for 41 yards (tackle by Tony Adams),2.39,5.6,17.0,2022,251
2.0,15:00,1.0,7.0,NYJ 7,3.0,10.0,Kenneth Walker right tackle for no gain (tackle by John Franklin-Myers and Jordan Whitehead),5.6,4.76,17.0,2022,251
2.0,14:19,2.0,7.0,NYJ 7,3.0,16.0,"Geno Smith pass complete short right to Tyler Mabry for 7 yards, touchdown",4.76,7.0,17.0,2022,251
2.0,14:15,,,NYJ 15,3.0,17.0,Jason Myers kicks extra point good,0.0,0.0,17.0,2022,251
2.0,14:15,,,SEA 35,3.0,17.0,"Jason Myers kicks off 65 yards, touchback.",0.0,0.61,17.0,2022,251
2.0,14:15,1.0,10.0,NYJ 25,3.0,17.0,"Penalty on SEA: Defensive Too Many Men on Field, 5 yards (accepted) (no play)",0.61,1.34,17.0,2022,251
2.0,14:15,1.0,5.0,NYJ 30,3.0,17.0,Mike White pass complete short middle to Braxton Berrios for 24 yards (tackle by Shelby Harris),1.34,2.52,17.0,2022,251
2.0,13:36,1.0,10.0,SEA 46,3.0,17.0,Ty Johnson left tackle for 6 yards (tackle by Boye Mafe),2.52,2.79,17.0,2022,251
2.0,13:02,2.0,4.0,SEA 40,3.0,17.0,Ty Johnson left tackle for 4 yards (tackle by Quinton Jefferson),2.79,3.18,17.0,2022,251
2.0,12:27,1.0,10.0,SEA 36,3.0,17.0,Zonovan Knight left guard for no gain (tackle by Tariq Woolen and Boye Mafe),3.18,2.64,17.0,2022,251
2.0,11:52,2.0,10.0,SEA 36,3.0,17.0,Mike White pass complete short left to Zonovan Knight for 13 yards (tackle by Coby Bryant),2.64,4.04,17.0,2022,251
2.0,11:12,1.0,10.0,SEA 23,3.0,17.0,Zonovan Knight right tackle for 2 yards (tackle by Myles Adams),4.04,3.77,17.0,2022,251
2.0,10:38,2.0,8.0,SEA 21,3.0,17.0,Mike White pass complete short right to Garrett Wilson for 8 yards (tackle by Michael Jackson),3.77,4.71,17.0,2022,251
2.0,9:54,1.0,10.0,SEA 13,3.0,17.0,"Penalty on Duane Brown: False Start, 5 yards (accepted) (no play)",4.71,4.29,17.0,2022,251
2.0,9:41,1.0,15.0,SEA 18,3.0,17.0,Mike White pass complete to Michael Carter for -1 yards (tackle by Quinton Jefferson and Michael Jackson),4.29,3.3,17.0,2022,251
2.0,8:52,,,,,,Timeout #1 by New York Jets,,,17.0,2022,251
2.0,8:52,2.0,16.0,SEA 19,3.0,17.0,Mike White pass incomplete deep right intended for Garrett Wilson,3.3,2.67,17.0,2022,251
2.0,8:47,3.0,16.0,SEA 19,3.0,17.0,Mike White sacked by and Darrell Taylor for -7 yards and Quinton Jefferson for -7 yards,2.67,1.74,17.0,2022,251
2.0,8:05,4.0,23.0,SEA 26,6.0,17.0,Greg Zuerlein 44 yard field goal good,1.74,3.0,17.0,2022,251
2.0,8:00,,,NYJ 35,6.0,17.0,"Greg Zuerlein kicks off 65 yards, touchback.",0.0,0.61,17.0,2022,251
2.0,8:00,1.0,10.0,SEA 25,6.0,17.0,Geno Smith sacked by and Micheal Clemons for -2 yards and Solomon Thomas for -2 yards,0.61,-0.21,17.0,2022,251
2.0,7:35,2.0,12.0,SEA 23,6.0,17.0,Kenneth Walker right guard for 3 yards (tackle by Sheldon Rankins and Solomon Thomas),-0.21,-0.49,17.0,2022,251
2.0,6:53,3.0,9.0,SEA 26,6.0,17.0,Geno Smith sacked by John Franklin-Myers for -12 yards,-0.49,-2.47,17.0,2022,251
2.0,6:04,4.0,21.0,SEA 14,6.0,17.0,"Michael Dickson punts 47 yards, returned by Braxton Berrios for 5 yards (tackle by Tanner Muse and Jon Rhattigan)",-2.47,-1.86,17.0,2022,251
2.0,5:53,1.0,10.0,NYJ 44,6.0,17.0,Mike White pass complete short right to C.J. Uzomah for 12 yards (tackle by Jordyn Brooks),1.86,2.65,17.0,2022,251
2.0,5:14,1.0,10.0,SEA 44,6.0,17.0,Mike White pass incomplete short right,2.65,2.11,17.0,2022,251
2.0,5:11,2.0,10.0,SEA 44,6.0,17.0,Zonovan Knight right guard for 6 yards (tackle by Cody Barton),2.11,2.21,17.0,2022,251
2.0,4:30,3.0,4.0,SEA 38,6.0,17.0,Ty Johnson left guard for no gain (tackle by Cody Barton and Shelby Harris),2.21,0.72,17.0,2022,251
2.0,3:48,4.0,4.0,SEA 38,6.0,17.0,Mike White pass incomplete short middle intended for Garrett Wilson,0.72,-1.53,17.0,2022,251
2.0,3:43,1.0,10.0,SEA 39,6.0,17.0,Kenneth Walker right guard for 4 yards (tackle by Sheldon Rankins),1.53,1.6,17.0,2022,251
2.0,3:09,2.0,5.0,SEA 43,6.0,17.0,Geno Smith pass complete short right to Kenneth Walker for 9 yards (tackle by Michael Carter),1.6,2.39,17.0,2022,251
2.0,2:26,1.0,10.0,NYJ 48,6.0,17.0,Kenneth Walker right guard for 5 yards (tackle by Quinnen Williams and Nathan Shepherd),2.39,2.52,17.0,2022,251
2.0,2:00,2.0,5.0,NYJ 43,6.0,17.0,Kenneth Walker left tackle for 1 yard (tackle by Solomon Thomas and C.J. Mosley),2.52,1.95,17.0,2022,251
2.0,1:24,3.0,4.0,NYJ 42,6.0,17.0,Geno Smith left end for 11 yards (tackle by C.J. Mosley),1.95,3.51,17.0,2022,251
2.0,1:16,1.0,10.0,NYJ 31,6.0,17.0,Geno Smith sacked by Carl Lawson for -9 yards,3.51,1.75,17.0,2022,251
2.0,1:05,,,,,,Timeout #1 by Seattle Seahawks,,,17.0,2022,251
2.0,1:05,2.0,19.0,NYJ 40,6.0,17.0,Geno Smith pass incomplete short right intended for Cade Johnson (defended by Sauce Gardner),1.75,1.09,17.0,2022,251
2.0,1:01,3.0,19.0,NYJ 40,6.0,17.0,Geno Smith pass incomplete short middle intended for Cade Johnson,1.09,0.59,17.0,2022,251
2.0,0:59,4.0,20.0,NYJ 40,6.0,17.0,"Penalty on SEA: Delay of Game, 5 yards (accepted) (no play)",0.59,0.27,17.0,2022,251
2.0,0:59,4.0,25.0,NYJ 45,6.0,17.0,Michael Dickson punts 44 yards downed by Dareke Young,0.27,0.38,17.0,2022,251
2.0,0:47,1.0,10.0,NYJ 1,6.0,17.0,Mike White pass complete short left to Garrett Wilson for 5 yards (tackle by Tariq Woolen),-0.38,-0.42,17.0,2022,251
2.0,0:41,,,,,,Timeout #2 by Seattle Seahawks,,,17.0,2022,251
2.0,0:41,2.0,5.0,NYJ 6,6.0,17.0,Mike White pass complete short left to Michael Carter for 4 yards (tackle by Tariq Woolen),-0.42,-0.37,17.0,2022,251
2.0,0:35,3.0,1.0,NYJ 10,6.0,17.0,Michael Carter left guard for 2 yards (tackle by Tanner Muse and Tariq Woolen),-0.37,-0.35,17.0,2022,251
2.0,0:31,,,,,,Timeout #2 by New York Jets,,,17.0,2022,251
2.0,0:31,1.0,10.0,NYJ 12,6.0,17.0,Mike White pass complete short left to Tyler Conklin for 10 yards (tackle by Tariq Woolen and Cody Barton),-0.35,0.41,17.0,2022,251
2.0,0:24,,,,,,Timeout #3 by New York Jets,,,17.0,2022,251
2.0,0:24,1.0,10.0,NYJ 22,6.0,17.0,Mike White pass incomplete short left intended for Ty Johnson,0.41,-0.13,17.0,2022,251
2.0,0:19,2.0,10.0,NYJ 22,6.0,17.0,"Mike White pass incomplete. Penalty on L.J. Collier: Illegal Use of Hands / Defense, 5 yards (accepted) (no play)",-0.13,0.74,17.0,2022,251
2.0,0:14,1.0,10.0,NYJ 27,6.0,17.0,"Penalty on Uchenna Nwosu: Defensive Offside, 5 yards (accepted) (no play)",0.74,1.47,17.0,2022,251
2.0,0:12,1.0,5.0,NYJ 32,6.0,17.0,Mike White pass complete short right to Tyler Conklin for 12 yards (tackle by Coby Bryant),1.47,1.86,17.0,2022,251
2.0,0:06,,,,,,Timeout #3 by Seattle Seahawks,,,17.0,2022,251
2.0,0:06,1.0,10.0,NYJ 44,6.0,17.0,"Mike White sacked by Darrell Taylor for -10 yards. Mike White fumbles (forced by Darrell Taylor), recovered by Uchenna Nwosu at NYJ-34 and returned for 4 yards (tackle by Laurent Duvernay-Tardif)",1.86,0.0,17.0,2022,251
3.0,15:00,,,SEA 35,6.0,17.0,"Jason Myers kicks off 63 yards, returned by Braxton Berrios for 26 yards (tackle by Xavier Crawford and Godwin Igwebuike)",0.0,0.81,17.0,2022,251
3.0,14:54,1.0,10.0,NYJ 28,6.0,17.0,Ty Johnson left tackle for no gain (tackle by Shelby Harris),0.81,0.26,17.0,2022,251
3.0,14:16,2.0,10.0,NYJ 28,6.0,17.0,Mike White pass incomplete short right intended for Ty Johnson,0.26,-0.43,17.0,2022,251
3.0,14:09,3.0,10.0,NYJ 28,6.0,17.0,Mike White pass complete short middle to Tyler Conklin for 30 yards (tackle by Quandre Diggs),-0.43,2.79,17.0,2022,251
3.0,13:26,1.0,10.0,SEA 42,6.0,17.0,Mike White pass complete short right to Zonovan Knight for 4 yards (tackle by Uchenna Nwosu),2.79,2.78,17.0,2022,251
3.0,12:48,2.0,6.0,SEA 38,6.0,17.0,Zonovan Knight right end for -1 yards (tackle by Cody Barton and Uchenna Nwosu),2.78,1.95,17.0,2022,251
3.0,12:11,3.0,7.0,SEA 39,6.0,17.0,Mike White pass incomplete short right intended for Corey Davis,1.95,0.66,17.0,2022,251
3.0,12:05,4.0,7.0,SEA 39,6.0,17.0,Greg Zuerlein 57 yard field goal no good,0.66,-2.06,17.0,2022,251
3.0,12:00,1.0,10.0,SEA 47,6.0,17.0,Kenneth Walker left guard for 5 yards (tackle by Carl Lawson and Kwon Alexander),2.06,2.19,17.0,2022,251
3.0,11:19,2.0,5.0,NYJ 48,6.0,17.0,Kenneth Walker right guard for 3 yards (tackle by C.J. Mosley and Quincy Williams),2.19,1.88,17.0,2022,251
3.0,10:46,3.0,2.0,NYJ 45,6.0,17.0,Kenneth Walker left guard for 4 yards (tackle by C.J. Mosley and Tony Adams),1.88,2.85,17.0,2022,251
3.0,10:05,1.0,10.0,NYJ 41,6.0,17.0,Geno Smith scrambles up the middle for 1 yard (tackle by Carl Lawson),2.85,2.44,17.0,2022,251
3.0,9:25,2.0,9.0,NYJ 40,6.0,17.0,Kenneth Walker right guard for 8 yards (tackle by Tony Adams),2.44,2.81,17.0,2022,251
3.0,9:00,3.0,1.0,NYJ 32,6.0,17.0,Geno Smith for no gain (tackle by Nathan Shepherd),2.81,1.31,17.0,2022,251
3.0,8:24,4.0,1.0,NYJ 32,6.0,17.0,Geno Smith up the middle for 3 yards (tackle by Micheal Clemons),1.31,3.64,17.0,2022,251
3.0,7:51,1.0,10.0,NYJ 29,6.0,17.0,DeeJay Dallas right end for 3 yards (tackle by Solomon Thomas),3.64,3.51,17.0,2022,251
3.0,7:09,2.0,7.0,NYJ 26,6.0,17.0,Geno Smith pass complete short right to Laquon Treadwell for 10 yards (tackle by Sauce Gardner),3.51,4.51,17.0,2022,251
3.0,6:51,1.0,10.0,NYJ 16,6.0,17.0,Geno Smith pass incomplete short left intended for Colby Parkinson,4.51,3.9,17.0,2022,251
3.0,6:46,2.0,10.0,NYJ 16,6.0,17.0,Geno Smith pass complete short right to D.K. Metcalf for 3 yards (tackle by Sauce Gardner),3.9,3.54,17.0,2022,251
3.0,6:12,3.0,7.0,NYJ 13,6.0,17.0,Geno Smith pass incomplete short right intended for D.K. Metcalf,3.54,2.57,17.0,2022,251
3.0,6:07,4.0,7.0,NYJ 13,6.0,20.0,Jason Myers 31 yard field goal good,2.57,3.0,17.0,2022,251
3.0,6:03,,,SEA 35,6.0,20.0,"Jason Myers kicks off 65 yards, touchback.",0.0,0.61,17.0,2022,251
3.0,6:03,1.0,10.0,NYJ 25,6.0,20.0,Mike White pass incomplete short middle intended for Garrett Wilson (defended by Tanner Muse),0.61,0.06,17.0,2022,251
3.0,6:00,2.0,10.0,NYJ 25,6.0,20.0,Mike White pass incomplete short right intended for Garrett Wilson,0.06,-0.62,17.0,2022,251
3.0,5:56,3.0,10.0,NYJ 25,6.0,20.0,Mike White pass incomplete short left intended for Ty Johnson,-0.62,-1.7,17.0,2022,251
3.0,5:51,4.0,10.0,NYJ 25,6.0,20.0,Braden Mann punts 24 yards out of bounds,-1.7,-2.32,17.0,2022,251
3.0,5:45,1.0,10.0,NYJ 49,6.0,20.0,Geno Smith pass complete short right to Colby Parkinson for 9 yards (tackle by C.J. Mosley),2.32,3.0,17.0,2022,251
3.0,5:10,2.0,1.0,NYJ 40,6.0,20.0,Kenneth Walker right tackle for no gain (tackle by Kwon Alexander and Quincy Williams),3.0,2.28,17.0,2022,251
3.0,4:40,3.0,1.0,NYJ 40,6.0,20.0,Kenneth Walker right tackle for no gain (tackle by Sheldon Rankins and Jermaine Johnson),2.28,0.59,17.0,2022,251
3.0,3:50,4.0,1.0,NYJ 40,6.0,20.0,"Penalty on SEA: Delay of Game, 5 yards (accepted) (no play)",0.59,0.27,17.0,2022,251
3.0,3:50,4.0,6.0,NYJ 45,6.0,20.0,"Michael Dickson punts 35 yards, returned by Braxton Berrios for 3 yards (tackle by Dareke Young)",0.27,0.32,17.0,2022,251
3.0,3:31,1.0,10.0,NYJ 13,6.0,20.0,Zonovan Knight right guard for -3 yards (tackle by Uchenna Nwosu and Al Woods),-0.32,-1.0,17.0,2022,251
3.0,2:50,2.0,13.0,NYJ 10,6.0,20.0,Mike White pass incomplete short left intended for Zonovan Knight,-1.0,-1.77,17.0,2022,251
3.0,2:45,3.0,13.0,NYJ 10,6.0,20.0,Mike White pass complete short right to Tyler Conklin for 7 yards (tackle by Coby Bryant and Cody Barton),-1.77,-2.32,17.0,2022,251
3.0,1:59,4.0,6.0,NYJ 17,6.0,20.0,"Braden Mann punts 59 yards, returned by DeeJay Dallas for 8 yards (tackle by Justin Hardee and Thomas Hennessy)",-2.32,-1.07,17.0,2022,251
3.0,1:45,1.0,10.0,SEA 32,6.0,20.0,Geno Smith pass complete short right to Colby Parkinson for 4 yards (tackle by Sauce Gardner),1.07,1.07,17.0,2022,251
3.0,1:09,2.0,6.0,SEA 36,6.0,20.0,DeeJay Dallas right guard for 7 yards (tackle by C.J. Mosley and Nathan Shepherd),1.07,1.8,17.0,2022,251
3.0,0:24,1.0,10.0,SEA 43,6.0,20.0,Geno Smith pass incomplete deep right intended for Colby Parkinson,1.8,1.25,17.0,2022,251
3.0,0:21,2.0,10.0,SEA 43,6.0,20.0,Geno Smith pass complete short middle to DeeJay Dallas for 9 yards (tackle by Sheldon Rankins and Quincy Williams),1.25,1.75,17.0,2022,251
4.0,15:00,3.0,1.0,NYJ 48,6.0,20.0,Geno Smith pass complete short right to Colby Parkinson for 4 yards (tackle by Quincy Williams),1.75,2.65,17.0,2022,251
4.0,14:23,1.0,10.0,NYJ 44,6.0,20.0,DeeJay Dallas left guard for 17 yards (tackle by Micheal Clemons),2.65,3.78,17.0,2022,251
4.0,13:53,1.0,10.0,NYJ 27,6.0,20.0,DeeJay Dallas right guard for 4 yards (tackle by Nathan Shepherd),3.78,3.77,17.0,2022,251
4.0,13:17,2.0,6.0,NYJ 23,6.0,20.0,Geno Smith pass incomplete deep right intended for Noah Fant (defended by Sauce Gardner),3.77,3.07,17.0,2022,251
4.0,13:09,3.0,6.0,NYJ 23,6.0,20.0,Geno Smith pass incomplete short right intended for DeeJay Dallas,3.07,1.95,17.0,2022,251
4.0,13:04,4.0,6.0,NYJ 23,6.0,20.0,Jason Myers 41 yard field goal no good,1.95,-1.0,17.0,2022,251
4.0,12:59,1.0,10.0,NYJ 31,6.0,20.0,Zonovan Knight left end for 3 yards (tackle by Johnathan Abram),1.0,0.87,17.0,2022,251
4.0,12:23,2.0,7.0,NYJ 34,6.0,20.0,Mike White pass incomplete deep left intended for Corey Davis (defended by Johnathan Abram),0.87,0.17,17.0,2022,251
4.0,12:15,3.0,7.0,NYJ 34,6.0,20.0,Mike White pass complete short right to Garrett Wilson for 5 yards (tackle by Tariq Woolen),0.17,-0.78,17.0,2022,251
4.0,11:31,4.0,2.0,NYJ 39,6.0,20.0,"Braden Mann punts 47 yards, returned by DeeJay Dallas for no gain (tackle by Ashtyn Davis and Justin Hardee)",-0.78,0.28,17.0,2022,251
4.0,11:19,1.0,10.0,SEA 14,6.0,20.0,Kenneth Walker right guard for no gain (tackle by Solomon Thomas),-0.28,-0.75,17.0,2022,251
4.0,10:57,2.0,10.0,SEA 14,6.0,20.0,Geno Smith pass complete short right to Noah Fant for 11 yards (tackle by Hamsah Nasirildeen),-0.75,0.61,17.0,2022,251
4.0,10:34,1.0,10.0,SEA 25,6.0,20.0,Geno Smith scrambles left end for 3 yards (tackle by Quincy Williams),0.61,0.47,17.0,2022,251
4.0,9:53,2.0,7.0,SEA 28,6.0,20.0,Geno Smith pass incomplete short right,0.47,-0.23,17.0,2022,251
4.0,9:45,3.0,7.0,SEA 28,6.0,20.0,Geno Smith pass incomplete deep right intended for D.K. Metcalf (defended by Sauce Gardner),-0.23,-1.5,17.0,2022,251
4.0,9:39,4.0,7.0,SEA 28,6.0,20.0,Michael Dickson punts 43 yards out of bounds,-1.5,-0.87,17.0,2022,251
4.0,9:32,1.0,10.0,NYJ 29,6.0,20.0,"Mike White pass deep right intended for Garrett Wilson is intercepted by Michael Jackson at NYJ-47 and returned for 22 yards. Michael Jackson fumbles (forced by Corey Davis), recovered by Tariq Woolen at NYJ-25 and returned for 1 yard (tackle by Connor McGovern)",0.87,-3.97,17.0,2022,251
4.0,9:17,1.0,10.0,NYJ 24,6.0,20.0,Kenneth Walker right end for 3 yards (tackle by Michael Carter and Sauce Gardner),3.97,3.84,17.0,2022,251
4.0,8:45,2.0,7.0,NYJ 21,6.0,20.0,Kenneth Walker left end for 3 yards (tackle by Tony Adams),3.84,3.57,17.0,2022,251
4.0,8:14,3.0,4.0,NYJ 18,6.0,20.0,Geno Smith pass complete short middle to Laquon Treadwell for 5 yards (tackle by C.J. Mosley),3.57,4.71,17.0,2022,251
4.0,7:48,1.0,10.0,NYJ 13,6.0,20.0,Kenneth Walker right guard for 2 yards (tackle by Quincy Williams),4.71,4.27,17.0,2022,251
4.0,7:19,2.0,9.0,NYJ 11,6.0,20.0,"Geno Smith sacked by. Geno Smith fumbles, recovered by Geno Smith at NYJ-23 (tackle by Carl Lawson)",4.27,2.15,17.0,2022,251
4.0,6:25,,,,,,Timeout #1 by Seattle Seahawks,,,17.0,2022,251
4.0,6:25,3.0,20.0,NYJ 23,6.0,20.0,Kenneth Walker left guard for 10 yards (tackle by Tony Adams),2.15,2.57,17.0,2022,251
4.0,5:45,4.0,10.0,NYJ 13,6.0,23.0,Jason Myers 31 yard field goal good,2.57,3.0,17.0,2022,251
4.0,5:41,,,SEA 35,6.0,23.0,"Jason Myers kicks off 65 yards, touchback.",0.0,0.61,17.0,2022,251
4.0,5:41,1.0,10.0,NYJ 25,6.0,23.0,Mike White pass complete short middle to Corey Davis for 15 yards (tackle by Michael Jackson),0.61,1.6,17.0,2022,251
4.0,5:19,1.0,10.0,NYJ 40,6.0,23.0,Mike White pass incomplete short left intended for Garrett Wilson (defended by Darrell Taylor),1.6,1.05,17.0,2022,251
4.0,5:14,2.0,10.0,NYJ 40,6.0,23.0,Mike White pass complete short right to Tyler Conklin for 4 yards (tackle by Tanner Muse),1.05,0.89,17.0,2022,251
4.0,4:42,3.0,6.0,NYJ 44,6.0,23.0,Mike White sacked by Quinton Jefferson for -8 yards,0.89,-0.98,17.0,2022,251
4.0,4:02,4.0,14.0,NYJ 36,6.0,23.0,Mike White pass incomplete short left intended for Ty Johnson,-0.98,-3.25,17.0,2022,251
4.0,3:56,1.0,10.0,NYJ 35,6.0,23.0,DeeJay Dallas right tackle for 1 yard (tackle by Quinnen Williams),3.25,2.84,17.0,2022,251
4.0,3:51,,,,,,Timeout #1 by New York Jets,,,17.0,2022,251
4.0,3:51,2.0,9.0,NYJ 34,6.0,23.0,DeeJay Dallas right guard for 4 yards (tackle by Jamien Sherwood),2.84,2.68,17.0,2022,251
4.0,3:45,,,,,,Timeout #2 by New York Jets,,,17.0,2022,251
4.0,3:45,3.0,5.0,NYJ 30,6.0,23.0,Geno Smith pass complete short right to DeeJay Dallas for 5 yards (tackle by Jamien Sherwood),2.68,3.91,17.0,2022,251
4.0,3:12,1.0,10.0,NYJ 25,6.0,23.0,Godwin Igwebuike left tackle for 4 yards (tackle by Jamien Sherwood),3.91,3.9,17.0,2022,251
4.0,2:59,,,,,,Timeout #3 by New York Jets,,,17.0,2022,251
4.0,2:59,2.0,6.0,NYJ 21,6.0,23.0,Godwin Igwebuike right end for -3 yards (tackle by Jamien Sherwood and Quincy Williams),3.9,2.81,17.0,2022,251
4.0,2:24,3.0,9.0,NYJ 24,6.0,23.0,Godwin Igwebuike right tackle for 3 yards (tackle by Solomon Thomas),2.81,2.08,17.0,2022,251
4.0,2:00,4.0,6.0,NYJ 21,6.0,23.0,Geno Smith pass complete short right to Godwin Igwebuike for 3 yards (tackle by Quincy Williams),2.08,-0.04,17.0,2022,251
4.0,1:56,1.0,10.0,NYJ 18,6.0,23.0,Mike White pass complete short right to C.J. Uzomah for 8 yards (tackle by Michael Jackson),0.04,0.68,17.0,2022,251
4.0,1:35,2.0,2.0,NYJ 26,6.0,23.0,Mike White pass incomplete deep middle intended for Garrett Wilson (defended by Tariq Woolen),0.68,-0.14,17.0,2022,251
4.0,1:30,3.0,2.0,NYJ 26,6.0,23.0,Mike White pass complete short right to C.J. Uzomah for 4 yards (tackle by Teez Tabor),-0.14,0.94,17.0,2022,251
