Quarter,Time,Down,ToGo,Location,GNB,SEA,Detail,EPB,EPA,week,year,game_id
4.0,13:07,4.0,10.0,SEA 4,23.0,6.0,"Michael Dickson punts 53 yards, fair catch by Jayden Reed at GB-43",-2.49,-1.8,15.0,2024,222
4.0,13:00,1.0,10.0,GNB 43,23.0,6.0,Jordan Love pass incomplete deep right intended for Romeo Doubs,1.8,1.25,15.0,2024,222
4.0,12:53,2.0,10.0,GNB 43,23.0,6.0,"Josh Jacobs left end for 6 yards. Josh Jacobs fumbles (forced by Ernest Jones), recovered by Julian Love at SEA-49 and returned for 6 yards (tackle by Josh Jacobs)",1.25,-2.59,15.0,2024,222
4.0,12:44,1.0,10.0,GNB 45,23.0,6.0,Sam Howell pass complete short right to AJ Barner for 5 yards (tackle by Eric Stokes),2.59,2.72,15.0,2024,222
4.0,12:17,2.0,5.0,GNB 40,23.0,6.0,Sam Howell pass incomplete deep right intended for AJ Barner,2.72,2.01,15.0,2024,222
4.0,12:11,3.0,5.0,GNB 40,23.0,6.0,Sam Howell pass complete short middle to Jaxon Smith-Njigba for 12 yards (tackle by Xavier McKinney),2.01,3.71,15.0,2024,222
4.0,11:47,1.0,10.0,GNB 28,23.0,6.0,Sam Howell pass complete short right to Jaxon Smith-Njigba for 4 yards (tackle by Keisean Nixon),3.71,3.71,15.0,2024,222
4.0,11:24,2.0,6.0,GNB 24,23.0,12.0,"Zach Charbonnet right end for 24 yards, touchdown",3.71,7.0,15.0,2024,222
4.0,11:16,,,GNB 15,23.0,13.0,Jason Myers kicks extra point good,0.0,0.0,15.0,2024,222
4.0,11:16,,,SEA 35,23.0,13.0,"Jason Myers kicks off 60 yards, returned by Keisean Nixon for 29 yards (tackle by Josh Ross)",0.0,1.2,15.0,2024,222
4.0,11:11,1.0,10.0,GNB 34,23.0,13.0,Josh Jacobs left end for 4 yards (tackle by Ernest Jones and Julian Love),1.2,1.2,15.0,2024,222
4.0,10:32,2.0,6.0,GNB 38,23.0,13.0,Jordan Love pass incomplete short left,1.2,0.5,15.0,2024,222
4.0,10:24,3.0,6.0,GNB 38,23.0,13.0,Jordan Love pass incomplete short middle intended for Christian Watson,0.5,-0.85,15.0,2024,222
4.0,10:16,4.0,6.0,GNB 38,23.0,13.0,"Daniel Whelan punts 42 yards, returned by Jaelon Darden for 12 yards (tackle by Isaiah McDuffie)",-0.85,-1.07,15.0,2024,222
4.0,10:04,1.0,10.0,SEA 32,23.0,13.0,"Sam Howell pass incomplete short right intended for Zach Charbonnet (defended by Kenny Clark) GNB challenged the fumble ruling, and the play was upheld.",1.07,0.53,15.0,2024,222
4.0,9:57,2.0,10.0,SEA 32,23.0,13.0,Sam Howell pass incomplete short middle intended for Noah Fant (defended by Arron Mosby),0.53,-0.16,15.0,2024,222
4.0,9:45,3.0,10.0,SEA 32,23.0,13.0,"Sam Howell pass complete short right to Noah Fant for 5 yards (tackle by Keisean Nixon and Evan Williams). Penalty on Tyler Lockett: Offensive Offside, 5 yards (declined)",-0.16,-0.91,15.0,2024,222
4.0,9:42,4.0,5.0,SEA 37,23.0,13.0,"Michael Dickson punts 47 yards, recovered by Jayden Reed at GB-16",-0.91,0.14,15.0,2024,222
4.0,9:32,1.0,10.0,GNB 16,23.0,13.0,Jordan Love pass complete short left to Dontayvion Wicks for 12 yards (tackle by Julian Love),-0.14,0.81,15.0,2024,222
4.0,8:49,1.0,10.0,GNB 28,23.0,13.0,Jayden Reed right end for 13 yards (tackle by Coby Bryant and Tyrice Knight),0.81,1.66,15.0,2024,222
4.0,8:05,1.0,10.0,GNB 41,23.0,13.0,Jordan Love pass complete short middle to Jayden Reed for 12 yards (tackle by Coby Bryant),1.66,2.46,15.0,2024,222
4.0,7:27,1.0,10.0,SEA 47,23.0,13.0,Josh Jacobs up the middle for 4 yards (tackle by Ernest Jones),2.46,2.45,15.0,2024,222
4.0,6:46,2.0,6.0,SEA 43,23.0,13.0,Josh Jacobs up the middle for 4 yards (tackle by Boye Mafe),2.45,2.28,15.0,2024,222
4.0,5:59,,,,,,Timeout #2 by Green Bay Packers,,,15.0,2024,222
4.0,5:59,3.0,2.0,SEA 39,23.0,13.0,Jordan Love pass incomplete short right intended for Jayden Reed,2.28,0.66,15.0,2024,222
4.0,5:55,4.0,2.0,SEA 39,23.0,13.0,Josh Jacobs left guard for no gain (tackle by Dre'Mont Jones and Leonard Williams),0.66,-1.53,15.0,2024,222
4.0,5:50,1.0,10.0,SEA 39,23.0,13.0,Sam Howell sacked by Karl Brooks for -6 yards,1.53,0.18,15.0,2024,222
4.0,5:27,2.0,16.0,SEA 33,23.0,13.0,Sam Howell pass deep right intended for Noah Fant is intercepted by Edgerrin Cooper at SEA-49 and returned for 22 yards (tackle by Sam Howell),0.18,-3.78,15.0,2024,222
4.0,5:17,1.0,10.0,SEA 27,23.0,13.0,Josh Jacobs up the middle for 4 yards (tackle by Ernest Jones and Tyrice Knight),3.78,3.77,15.0,2024,222
4.0,5:09,,,,,,Timeout #1 by Seattle Seahawks,,,15.0,2024,222
4.0,5:09,2.0,6.0,SEA 23,23.0,13.0,Josh Jacobs up the middle for 1 yard (tackle by Byron Murphy and Leonard Williams),3.77,3.2,15.0,2024,222
4.0,5:05,,,,,,Timeout #2 by Seattle Seahawks,,,15.0,2024,222
4.0,5:05,,,,,,Timeout #3 by Green Bay Packers,,,15.0,2024,222
4.0,5:05,3.0,5.0,SEA 22,29.0,13.0,"Jordan Love pass complete deep middle to Romeo Doubs for 22 yards, touchdown",3.2,7.0,15.0,2024,222
4.0,4:59,,,SEA 15,30.0,13.0,Brandon McManus kicks extra point good,0.0,0.0,15.0,2024,222
4.0,4:59,,,GNB 35,30.0,13.0,"Brandon McManus kicks off 64 yards, returned by Jaelon Darden for 34 yards (tackle by Brandon McManus)",0.0,1.27,15.0,2024,222
4.0,4:51,1.0,10.0,SEA 35,30.0,13.0,Kenny McIntosh up the middle for 3 yards (tackle by Kenny Clark),1.27,1.13,15.0,2024,222
4.0,4:28,2.0,7.0,SEA 38,30.0,13.0,"Sam Howell pass incomplete short right intended for AJ Barner. Penalty on Tyler Lockett: Offensive Offside, 5 yards (declined)",1.13,0.43,15.0,2024,222
4.0,4:26,3.0,7.0,SEA 38,30.0,13.0,Sam Howell sacked by Brenton Cox for -7 yards,0.43,-1.31,15.0,2024,222
4.0,3:27,4.0,14.0,SEA 31,30.0,13.0,Michael Dickson punts 53 yards out of bounds,-1.31,0.14,15.0,2024,222
4.0,3:18,1.0,10.0,GNB 16,30.0,13.0,Emanuel Wilson right tackle for 4 yards (tackle by Dre'Mont Jones and Drake Thomas),-0.14,0.01,15.0,2024,222
4.0,2:35,2.0,6.0,GNB 20,30.0,13.0,Emanuel Wilson left tackle for 4 yards (tackle by Devon Witherspoon),0.01,-0.32,15.0,2024,222
4.0,2:00,3.0,2.0,GNB 24,30.0,13.0,Jordan Love pass incomplete deep left intended for Christian Watson (defended by Riq Woolen),-0.32,-1.77,15.0,2024,222
4.0,1:54,4.0,2.0,GNB 24,30.0,13.0,"Daniel Whelan punts 44 yards, returned by Jaelon Darden for no gain (tackle by Robert Rochell)",-1.77,-1.07,15.0,2024,222
4.0,1:46,1.0,10.0,SEA 32,30.0,13.0,George Holani left end for 8 yards (tackle by Ty'Ron Hopper),1.07,1.61,15.0,2024,222
4.0,1:07,2.0,2.0,SEA 40,30.0,13.0,George Holani left guard for 3 yards (tackle by Lukas Van Ness and Edgerrin Cooper),1.61,1.8,15.0,2024,222
4.0,0:35,1.0,10.0,SEA 43,30.0,13.0,George Holani right guard for -1 yards (tackle by Edgerrin Cooper),1.8,1.12,15.0,2024,222
