Quarter,Time,Down,ToGo,Location,KAN,CLE,Detail,EPB,EPA,week,year,game_id
1.0,5:42,1.0,10.0,CLE 20,7.0,0.0,Nick Chubb left tackle for 3 yards (tackle by Derrick Nnadi and Chris Jones),0.28,0.14,15.0,2024,212
1.0,5:12,2.0,7.0,CLE 23,7.0,0.0,Jameis Winston pass complete short left to Jerry Jeudy for 7 yards (tackle by Joshua Williams and Drue Tranquill),0.14,0.94,15.0,2024,212
1.0,4:40,1.0,10.0,CLE 30,7.0,0.0,Jameis Winston pass incomplete short right intended for Jamari Thrash,0.94,0.39,15.0,2024,212
1.0,4:31,2.0,10.0,CLE 30,7.0,0.0,"Jameis Winston pass incomplete short right intended for Elijah Moore (defended by Trent McDuffie). Penalty on Jamari Thrash: Offensive Offside, 5 yards (declined)",0.39,-0.3,15.0,2024,212
1.0,4:24,3.0,10.0,CLE 30,7.0,0.0,Jameis Winston pass complete deep right to Jerry Jeudy for 17 yards (tackle by Joshua Williams),-0.3,2.06,15.0,2024,212
1.0,3:53,1.0,10.0,CLE 47,7.0,0.0,Jameis Winston pass complete short left to Elijah Moore for -3 yards (tackle by Bryan Cook),2.06,1.11,15.0,2024,212
1.0,3:13,2.0,13.0,CLE 44,7.0,0.0,Nick Chubb right guard for 7 yards (tackle by Justin Reid and Chamarri Conner),1.11,1.36,15.0,2024,212
1.0,2:33,3.0,6.0,KAN 49,7.0,0.0,Jameis Winston pass complete short right to Jerry Jeudy for 13 yards (tackle by Bryan Cook),1.36,3.18,15.0,2024,212
1.0,1:44,,,,,,Timeout #1 by Cleveland Browns,,,15.0,2024,212
1.0,1:44,1.0,10.0,KAN 36,7.0,0.0,Jameis Winston pass deep middle intended for Elijah Moore is intercepted by Bryan Cook in end zone and returned for no gain,3.18,-0.28,15.0,2024,212
1.0,1:35,1.0,10.0,KAN 20,7.0,0.0,Patrick Mahomes pass incomplete deep right intended for Travis Kelce,0.28,-0.27,15.0,2024,212
1.0,1:29,2.0,10.0,KAN 20,7.0,0.0,Isiah Pacheco left guard for 8 yards (tackle by Grant Delpit and Ronnie Hickman),-0.27,0.1,15.0,2024,212
1.0,0:48,3.0,2.0,KAN 28,7.0,0.0,Isiah Pacheco up the middle for 1 yard (tackle by Jordan Hicks),0.1,-1.44,15.0,2024,212
1.0,0:15,4.0,1.0,KAN 29,7.0,0.0,"Matt Araiza punts 41 yards, fair catch by James Proche at CLE-30",-1.44,-0.94,15.0,2024,212
1.0,0:11,1.0,10.0,CLE 30,7.0,0.0,Jerome Ford left end for 4 yards (tackle by Drue Tranquill),0.94,0.93,15.0,2024,212
2.0,15:00,2.0,6.0,CLE 34,7.0,0.0,Jerome Ford left tackle for 1 yard (tackle by Tershawn Wharton),0.93,0.37,15.0,2024,212
2.0,14:23,3.0,5.0,CLE 35,7.0,0.0,"Jameis Winston sacked by George Karlaftis for -5 yards. Penalty on Wyatt Teller: Offensive Holding, 10 yards (declined)",0.37,-1.37,15.0,2024,212
2.0,14:08,4.0,10.0,CLE 30,7.0,0.0,"Corey Bojorquez punts 68 yards, returned by Nikko Remigio for 16 yards (tackle by Nathaniel Watson). Penalty on Mohamoud Diabate: Ineligible Downfield Kick, 5 yards (accepted)",-1.37,-0.48,15.0,2024,212
2.0,13:57,1.0,10.0,KAN 23,7.0,0.0,Patrick Mahomes pass incomplete short left intended for Noah Gray (defended by Myles Garrett),0.48,-0.07,15.0,2024,212
2.0,13:53,2.0,10.0,KAN 23,7.0,0.0,Patrick Mahomes pass complete short left to DeAndre Hopkins for 4 yards (tackle by Denzel Ward),-0.07,-0.23,15.0,2024,212
2.0,13:20,3.0,6.0,KAN 27,7.0,0.0,Patrick Mahomes pass incomplete short right intended for Xavier Worthy,-0.23,-1.57,15.0,2024,212
2.0,13:16,4.0,6.0,KAN 27,7.0,0.0,"Matt Araiza punts 40 yards, fair catch by James Proche at CLE-33",-1.57,-1.14,15.0,2024,212
2.0,13:10,1.0,10.0,CLE 33,7.0,0.0,Jameis Winston pass complete short left to Jerry Jeudy for 5 yards,1.14,1.27,15.0,2024,212
2.0,12:47,2.0,5.0,CLE 38,7.0,0.0,Nick Chubb right end for 1 yard (tackle by Michael Danna and Nick Bolton),1.27,0.7,15.0,2024,212
2.0,11:56,3.0,4.0,CLE 39,7.0,0.0,Jameis Winston pass incomplete short right intended for Jerry Jeudy,0.7,-0.78,15.0,2024,212
2.0,11:49,4.0,4.0,CLE 39,7.0,0.0,Corey Bojorquez punts 48 yards out of bounds,-0.78,0.32,15.0,2024,212
2.0,11:42,1.0,10.0,KAN 13,7.0,0.0,Patrick Mahomes pass complete short middle to Travis Kelce for 8 yards (tackle by Devin Bush),-0.32,0.35,15.0,2024,212
2.0,11:06,2.0,2.0,KAN 21,7.0,0.0,Xavier Worthy left end for 4 yards (tackle by Cameron Mitchell),0.35,0.61,15.0,2024,212
2.0,10:28,1.0,10.0,KAN 25,7.0,0.0,Patrick Mahomes pass incomplete deep right intended for Travis Kelce,0.61,0.06,15.0,2024,212
2.0,10:21,2.0,10.0,KAN 25,7.0,0.0,Patrick Mahomes pass complete short left to Isiah Pacheco for 15 yards (tackle by Devin Bush),0.06,1.6,15.0,2024,212
2.0,9:47,1.0,10.0,KAN 40,7.0,0.0,Kareem Hunt left tackle for 11 yards (tackle by Jordan Hicks),1.6,2.32,15.0,2024,212
2.0,9:07,1.0,10.0,CLE 49,7.0,0.0,Kareem Hunt right tackle for 7 yards (tackle by Devin Bush and Sam Kamara),2.32,2.73,15.0,2024,212
2.0,8:31,2.0,3.0,CLE 42,7.0,0.0,Patrick Mahomes pass complete short right to DeAndre Hopkins for 7 yards (tackle by Denzel Ward),2.73,3.25,15.0,2024,212
2.0,7:54,1.0,10.0,CLE 35,7.0,0.0,Patrick Mahomes pass incomplete deep right intended for Xavier Worthy,3.25,2.7,15.0,2024,212
2.0,7:46,2.0,10.0,CLE 35,7.0,0.0,Isiah Pacheco up the middle for 1 yard (tackle by Devin Bush),2.7,2.15,15.0,2024,212
2.0,7:11,3.0,9.0,CLE 34,7.0,0.0,Patrick Mahomes scrambles right end for 10 yards (tackle by Juan Thornhill),2.15,3.97,15.0,2024,212
2.0,6:31,1.0,10.0,CLE 24,7.0,0.0,Isiah Pacheco right guard for 9 yards (tackle by Jordan Hicks and Ronnie Hickman),3.97,4.85,15.0,2024,212
2.0,5:53,2.0,1.0,CLE 15,7.0,0.0,Patrick Mahomes pass complete short left to Xavier Worthy for 6 yards (tackle by Cameron Mitchell),4.85,5.14,15.0,2024,212
2.0,5:35,1.0,9.0,CLE 9,7.0,0.0,Isiah Pacheco left guard for 3 yards (tackle by Shelby Harris),5.14,4.95,15.0,2024,212
2.0,4:54,2.0,6.0,CLE 6,13.0,0.0,"Patrick Mahomes pass complete short middle to Noah Gray for 6 yards, touchdown",4.95,7.0,15.0,2024,212
2.0,4:46,,,CLE 15,14.0,0.0,Harrison Butker kicks extra point good,0.0,0.0,15.0,2024,212
2.0,4:46,,,KAN 35,14.0,0.0,"Penalty on Denzel Ward: Defensive Offside, 5 yards (accepted) (no play)",0.0,0.0,15.0,2024,212
2.0,4:46,,,KAN 40,14.0,0.0,"Justin Reid kicks off 54 yards, returned by Jerome Ford for 45 yards (tackle by Leo Chenal)",0.0,2.32,15.0,2024,212
2.0,4:39,1.0,10.0,KAN 49,14.0,0.0,Jameis Winston pass incomplete deep right intended for Elijah Moore (defended by Trent McDuffie),2.32,1.78,15.0,2024,212
2.0,4:33,2.0,10.0,KAN 49,14.0,0.0,Nick Chubb up the middle for 8 yards (tackle by Chamarri Conner),1.78,2.15,15.0,2024,212
2.0,4:20,3.0,2.0,KAN 41,14.0,0.0,Nick Chubb left guard for 1 yard (tackle by Christian Roland-Wallace and Justin Reid),2.15,0.59,15.0,2024,212
2.0,3:30,4.0,1.0,KAN 40,14.0,0.0,Jameis Winston pass incomplete deep left intended for Elijah Moore (defended by Nazeeh Johnson),0.59,-1.66,15.0,2024,212
2.0,3:22,1.0,10.0,KAN 41,14.0,0.0,Isiah Pacheco left guard for -1 yards (tackle by Dalvin Tomlinson),1.66,0.99,15.0,2024,212
2.0,2:57,2.0,11.0,KAN 40,14.0,0.0,Patrick Mahomes pass complete short right to DeAndre Hopkins for 12 yards (tackle by Cameron Mitchell),0.99,2.39,15.0,2024,212
2.0,2:20,1.0,10.0,CLE 48,14.0,0.0,Patrick Mahomes left end for 4 yards (tackle by Denzel Ward),2.39,2.39,15.0,2024,212
2.0,2:00,2.0,6.0,CLE 44,14.0,0.0,Isiah Pacheco up the middle for 2 yards (tackle by Myles Harden and Jordan Hicks),2.39,1.95,15.0,2024,212
2.0,1:42,,,,,,Timeout #2 by Cleveland Browns,,,15.0,2024,212
2.0,1:42,3.0,4.0,CLE 42,14.0,0.0,Patrick Mahomes pass complete short right to Samaje Perine for 23 yards (tackle by Juan Thornhill),1.95,4.31,15.0,2024,212
2.0,1:34,1.0,10.0,CLE 19,14.0,0.0,Patrick Mahomes pass complete short middle to Xavier Worthy for 8 yards (tackle by Grant Delpit),4.31,5.14,15.0,2024,212
2.0,1:02,2.0,2.0,CLE 11,14.0,0.0,Kareem Hunt right guard for 1 yard (tackle by Grant Delpit and Myles Garrett),5.14,4.69,15.0,2024,212
2.0,0:30,3.0,1.0,CLE 10,14.0,0.0,Kareem Hunt left guard for -1 yards (tackle by Michael Hall and Isaiah McGuire),4.69,2.82,15.0,2024,212
2.0,0:24,,,,,,Timeout #1 by Kansas City Chiefs,,,15.0,2024,212
2.0,0:24,,,,,,Timeout #3 by Cleveland Browns,,,15.0,2024,212
2.0,0:24,4.0,2.0,CLE 11,14.0,0.0,Harrison Butker 29 yard field goal no good,2.82,-0.28,15.0,2024,212
2.0,0:21,1.0,10.0,CLE 20,14.0,0.0,Jameis Winston kneels for -1 yards,0.28,-0.46,15.0,2024,212
3.0,15:00,,,KAN 35,14.0,0.0,"Justin Reid kicks off 57 yards, recovered by Jerome Ford at CLE-9 (tackle by Cam Jones)",0.0,0.94,15.0,2024,212
3.0,14:53,1.0,10.0,CLE 30,14.0,0.0,Jameis Winston pass short middle intended for Nick Chubb is intercepted by Nick Bolton at CLE-34 and returned for no gain (tackle by Nick Chubb),0.94,-3.31,15.0,2024,212
3.0,14:46,1.0,10.0,CLE 34,14.0,0.0,Isiah Pacheco up the middle for 4 yards (tackle by Grant Delpit),3.31,3.31,15.0,2024,212
3.0,14:14,2.0,6.0,CLE 30,14.0,0.0,Patrick Mahomes pass complete short right to Xavier Worthy for 5 yards,3.31,3.27,15.0,2024,212
3.0,13:40,3.0,1.0,CLE 25,14.0,0.0,Kareem Hunt right guard for 4 yards (tackle by Grant Delpit and Rodney McLeod),3.27,4.17,15.0,2024,212
3.0,13:04,1.0,10.0,CLE 21,20.0,0.0,"Xavier Worthy left end for 21 yards, touchdown",4.17,7.0,15.0,2024,212
3.0,12:59,,,CLE 15,21.0,0.0,Harrison Butker kicks extra point good,0.0,0.0,15.0,2024,212
3.0,12:59,,,KAN 35,21.0,0.0,"Justin Reid kicks off 59 yards, returned by Jerome Ford for 27 yards (tackle by Justin Reid and Leo Chenal)",0.0,1.14,15.0,2024,212
3.0,12:52,1.0,10.0,CLE 33,21.0,0.0,"Nick Chubb left guard for 7 yards. Nick Chubb fumbles (forced by Leo Chenal), recovered by Drue Tranquill at CLE-44 (tackle by Leo Chenal)",1.14,-2.65,15.0,2024,212
3.0,12:42,1.0,10.0,CLE 44,21.0,0.0,Patrick Mahomes pass incomplete deep right intended for Travis Kelce (defended by Juan Thornhill),2.65,2.11,15.0,2024,212
3.0,12:36,2.0,10.0,CLE 44,21.0,0.0,Kareem Hunt right tackle for no gain (tackle by Mohamoud Diabate and Isaiah McGuire),2.11,1.42,15.0,2024,212
3.0,12:01,3.0,10.0,CLE 44,21.0,0.0,"Patrick Mahomes pass incomplete deep left intended for DeAndre Hopkins (defended by Cameron Mitchell) KAN challenged the pass completion ruling, and the play was upheld.",1.42,0.33,15.0,2024,212
3.0,11:53,4.0,10.0,CLE 44,21.0,0.0,"Matt Araiza punts 37 yards, fair catch by James Proche at CLE-7",0.33,0.38,15.0,2024,212
3.0,11:46,1.0,10.0,CLE 7,21.0,0.0,Nick Chubb left guard for 8 yards (tackle by Trent McDuffie),-0.38,-0.14,15.0,2024,212
3.0,11:02,2.0,2.0,CLE 15,21.0,0.0,Jameis Winston left end for -1 yards (tackle by Christian Roland-Wallace),-0.14,-0.6,15.0,2024,212
3.0,10:18,3.0,3.0,CLE 14,21.0,0.0,"Jameis Winston pass complete short left to Jordan Akins for 12 yards (tackle by Tershawn Wharton and Justin Reid). Penalty on Drue Tranquill: Defensive Offside, 5 yards (declined)",-0.6,0.67,15.0,2024,212
3.0,9:59,1.0,10.0,CLE 26,21.0,0.0,Jameis Winston pass complete short left to Jerry Jeudy for 20 yards (tackle by Nick Bolton),0.67,1.99,15.0,2024,212
3.0,9:23,1.0,10.0,CLE 46,21.0,0.0,Jameis Winston pass complete short right to Jerry Jeudy for 10 yards (tackle by Christian Roland-Wallace),1.99,2.65,15.0,2024,212
3.0,8:52,1.0,10.0,KAN 44,21.0,0.0,Jerome Ford left tackle for 3 yards (tackle by Christian Roland-Wallace and Chris Jones),2.65,2.52,15.0,2024,212
3.0,8:29,2.0,7.0,KAN 41,21.0,0.0,Jameis Winston pass complete short right to Elijah Moore for 2 yards (tackle by Jaden Hicks),2.52,2.08,15.0,2024,212
3.0,7:48,3.0,5.0,KAN 39,21.0,0.0,"Jameis Winston sacked by Charles Omenihu for -10 yards. Jameis Winston fumbles (forced by Charles Omenihu), recovered by Jameis Winston at KC-49 (tackle by Jaden Hicks)",2.08,0.0,15.0,2024,212
3.0,7:05,4.0,15.0,KAN 49,21.0,0.0,Corey Bojorquez punts 40 yards out of bounds,0.0,0.38,15.0,2024,212
3.0,6:52,1.0,10.0,KAN 9,21.0,0.0,Patrick Mahomes pass complete short right to Xavier Worthy for 8 yards (tackle by Denzel Ward),-0.38,-0.02,15.0,2024,212
3.0,6:18,2.0,2.0,KAN 17,21.0,0.0,Isiah Pacheco right tackle for 1 yard (tackle by Isaiah McGuire),-0.02,-0.37,15.0,2024,212
3.0,5:42,3.0,1.0,KAN 18,21.0,0.0,Patrick Mahomes pass complete short left to Travis Kelce for 3 yards (tackle by Cameron Mitchell),-0.37,0.34,15.0,2024,212
3.0,5:04,1.0,10.0,KAN 21,21.0,0.0,Isiah Pacheco left guard for -2 yards (tackle by Isaiah McGuire and Grant Delpit),0.34,-0.53,15.0,2024,212
3.0,4:30,2.0,12.0,KAN 19,21.0,0.0,Patrick Mahomes pass incomplete short middle intended for Travis Kelce,-0.53,-1.22,15.0,2024,212
3.0,4:27,3.0,12.0,KAN 19,21.0,0.0,Patrick Mahomes pass incomplete short right,-1.22,-2.14,15.0,2024,212
3.0,4:21,4.0,12.0,KAN 19,21.0,0.0,Matt Araiza punts 30 yards downed by Jack Cochrane,-2.14,-2.32,15.0,2024,212
3.0,4:12,1.0,10.0,KAN 49,21.0,0.0,Jameis Winston sacked by Tershawn Wharton for -13 yards,2.32,0.02,15.0,2024,212
3.0,3:26,2.0,23.0,CLE 38,21.0,6.0,"Jerome Ford up the middle for 62 yards, touchdown",0.02,7.0,15.0,2024,212
3.0,3:16,,,KAN 15,21.0,7.0,Riley Patterson kicks extra point good,0.0,0.0,15.0,2024,212
3.0,3:16,,,CLE 35,21.0,7.0,"Riley Patterson kicks off 65 yards, touchback.",0.0,0.94,15.0,2024,212
3.0,3:16,1.0,10.0,KAN 30,21.0,7.0,Patrick Mahomes pass incomplete short right intended for Xavier Worthy,0.94,0.39,15.0,2024,212
3.0,3:13,2.0,10.0,KAN 30,21.0,7.0,Patrick Mahomes pass incomplete short middle intended for JuJu Smith-Schuster (defended by Jordan Hicks),0.39,-0.3,15.0,2024,212
3.0,3:07,3.0,10.0,KAN 30,21.0,7.0,Patrick Mahomes pass incomplete deep right intended for Xavier Worthy,-0.3,-1.37,15.0,2024,212
3.0,3:02,4.0,10.0,KAN 30,21.0,7.0,"Matt Araiza punts 56 yards, returned by James Proche for 7 yards (tackle by Leo Chenal). Penalty on Pierre Strong: Offensive Holding, 10 yards (accepted)",-1.37,0.37,15.0,2024,212
3.0,2:50,1.0,10.0,CLE 11,21.0,7.0,Jameis Winston pass complete short left to Jordan Akins for 7 yards (tackle by Joshua Williams and Christian Roland-Wallace),-0.37,0.0,15.0,2024,212
3.0,2:21,2.0,3.0,CLE 18,21.0,7.0,"Jameis Winston pass complete short left to Jerry Jeudy for 9 yards (tackle by Trent McDuffie). Penalty on Joshua Williams: Face Mask (15 Yards), 15 yards (accepted)",0.0,1.73,15.0,2024,212
3.0,2:08,1.0,10.0,CLE 42,21.0,7.0,Jameis Winston sacked by and Nick Bolton for -8 yards and Drue Tranquill for -8 yards,1.73,0.11,15.0,2024,212
3.0,1:31,2.0,18.0,CLE 34,21.0,7.0,Jameis Winston pass complete short right to Michael Woods for 3 yards (tackle by Trent McDuffie),0.11,-0.16,15.0,2024,212
3.0,0:40,3.0,15.0,CLE 37,21.0,7.0,"Jameis Winston pass incomplete short right. Penalty on Jameis Winston: Intentional Grounding, 15 yards (accepted)",-0.16,-1.9,15.0,2024,212
3.0,0:34,4.0,30.0,CLE 22,21.0,7.0,"Corey Bojorquez punts 56 yards, returned by Nikko Remigio for 4 yards (tackle by Nathaniel Watson and Rex Sunahara)",-1.9,-0.67,15.0,2024,212
3.0,0:21,1.0,10.0,KAN 26,21.0,7.0,Patrick Mahomes pass incomplete short left intended for Xavier Worthy,0.67,0.13,15.0,2024,212
3.0,0:14,2.0,10.0,KAN 26,21.0,7.0,Patrick Mahomes pass incomplete short left intended for Kareem Hunt,0.13,-0.56,15.0,2024,212
3.0,0:10,3.0,10.0,KAN 26,21.0,7.0,Patrick Mahomes pass incomplete short right,-0.56,-1.63,15.0,2024,212
3.0,0:05,4.0,10.0,KAN 26,21.0,7.0,"Matt Araiza punts 41 yards, fair catch by James Proche at CLE-33",-1.63,-1.14,15.0,2024,212
4.0,15:00,1.0,10.0,CLE 33,21.0,7.0,Jameis Winston pass complete short left to Jerome Ford for 26 yards (tackle by Tershawn Wharton),1.14,2.85,15.0,2024,212
4.0,14:37,1.0,10.0,KAN 41,21.0,7.0,Jameis Winston pass complete short left to Jerry Jeudy for 5 yards,2.85,2.98,15.0,2024,212
4.0,14:04,2.0,5.0,KAN 36,21.0,7.0,Jerome Ford right guard for 7 yards (tackle by Nick Bolton),2.98,3.64,15.0,2024,212
4.0,13:27,1.0,10.0,KAN 29,21.0,7.0,Jameis Winston pass deep right intended for Michael Woods is intercepted by Trent McDuffie in end zone and returned for no gain,3.64,-0.28,15.0,2024,212
4.0,13:11,1.0,10.0,KAN 20,21.0,7.0,Kareem Hunt left guard for 3 yards (tackle by Jowon Briggs and Mohamoud Diabate),0.28,0.14,15.0,2024,212
4.0,12:36,2.0,7.0,KAN 23,21.0,7.0,Patrick Mahomes pass complete short left to Kareem Hunt for 4 yards (tackle by Myles Garrett),0.14,-0.03,15.0,2024,212
4.0,12:01,3.0,3.0,KAN 27,21.0,7.0,Patrick Mahomes pass complete short right to DeAndre Hopkins for 5 yards (tackle by Denzel Ward),-0.03,1.07,15.0,2024,212
4.0,11:31,1.0,10.0,KAN 32,21.0,7.0,Kareem Hunt right end for no gain (tackle by Dalvin Tomlinson and Isaiah McGuire),1.07,0.53,15.0,2024,212
4.0,10:50,2.0,10.0,KAN 32,21.0,7.0,Patrick Mahomes pass complete short right to Xavier Worthy for 7 yards (tackle by Juan Thornhill),0.53,0.76,15.0,2024,212
4.0,10:15,3.0,3.0,KAN 39,21.0,7.0,Patrick Mahomes pass complete short left to Noah Gray for 15 yards (tackle by Myles Harden),0.76,2.52,15.0,2024,212
4.0,9:39,1.0,10.0,CLE 46,21.0,7.0,Xavier Worthy right end for 5 yards (tackle by Juan Thornhill),2.52,2.65,15.0,2024,212
4.0,8:52,2.0,5.0,CLE 41,21.0,7.0,Kareem Hunt up the middle for 2 yards (tackle by Jordan Hicks and Jowon Briggs),2.65,2.21,15.0,2024,212
4.0,8:13,3.0,3.0,CLE 39,21.0,7.0,Patrick Mahomes pass incomplete short left intended for Noah Gray,2.21,0.66,15.0,2024,212
4.0,8:01,4.0,3.0,CLE 39,21.0,7.0,Patrick Mahomes pass incomplete short middle intended for JuJu Smith-Schuster,0.66,-1.53,15.0,2024,212
4.0,7:57,1.0,10.0,CLE 39,21.0,7.0,Jerome Ford right end for 9 yards (tackle by Jaden Hicks),1.53,2.2,15.0,2024,212
4.0,7:27,2.0,1.0,CLE 48,21.0,7.0,Dorian Thompson-Robinson right end for 2 yards (tackle by Michael Danna),2.2,2.26,15.0,2024,212
4.0,7:00,1.0,10.0,CLE 50,21.0,7.0,Dorian Thompson-Robinson pass complete short left to Jerry Jeudy for 5 yards (tackle by Joshua Williams),2.26,2.39,15.0,2024,212
4.0,6:42,2.0,5.0,KAN 45,21.0,7.0,Dorian Thompson-Robinson pass complete short right to Jerome Ford for -6 yards (tackle by Trent McDuffie),2.39,0.89,15.0,2024,212
4.0,5:53,3.0,11.0,CLE 49,21.0,7.0,Dorian Thompson-Robinson pass incomplete short middle intended for Jerry Jeudy,0.89,-0.13,15.0,2024,212
4.0,5:49,4.0,11.0,CLE 49,21.0,7.0,"Dorian Thompson-Robinson pass complete short right to Michael Woods for no gain (tackle by Justin Reid and Corey Bojorquez). Penalty on Germain Ifedi: Illegal Shift, 5 yards (accepted) (no play)",-0.13,-0.46,15.0,2024,212
4.0,5:32,4.0,16.0,CLE 44,21.0,7.0,"Corey Bojorquez punts 41 yards, fair catch by Nikko Remigio at KC-15",-0.46,0.22,15.0,2024,212
4.0,5:23,1.0,10.0,KAN 15,21.0,7.0,"Penalty on Trey Smith: False Start, 5 yards (accepted) (no play)",-0.22,-0.57,15.0,2024,212
4.0,5:23,1.0,15.0,KAN 10,21.0,7.0,Carson Wentz scrambles left end for 2 yards (tackle by Jordan Hicks),-0.57,-1.0,15.0,2024,212
4.0,4:39,2.0,13.0,KAN 12,21.0,7.0,Carson Wentz pass complete short right to DeAndre Hopkins for 8 yards (tackle by Jordan Hicks),-1.0,-0.76,15.0,2024,212
4.0,3:55,3.0,5.0,KAN 20,21.0,7.0,Carson Wentz pass complete short right to Xavier Worthy for 12 yards (tackle by Denzel Ward),-0.76,1.07,15.0,2024,212
4.0,3:46,,,,,,Timeout #1 by Cleveland Browns,,,15.0,2024,212
4.0,3:46,1.0,10.0,KAN 32,21.0,7.0,Kareem Hunt left tackle for no gain (tackle by Jowon Briggs and Cameron Thomas),1.07,0.53,15.0,2024,212
4.0,3:42,,,,,,Timeout #2 by Cleveland Browns,,,15.0,2024,212
4.0,3:42,2.0,10.0,KAN 32,21.0,7.0,"Penalty on Xavier Worthy: False Start, 5 yards (accepted) (no play)",0.53,-0.15,15.0,2024,212
4.0,3:42,2.0,15.0,KAN 27,21.0,7.0,Isiah Pacheco left end for 1 yard (tackle by Cameron Mitchell),-0.15,-0.69,15.0,2024,212
4.0,3:36,3.0,14.0,KAN 28,21.0,7.0,Samaje Perine left tackle for 11 yards (tackle by Jordan Hicks and Juan Thornhill),-0.69,-0.78,15.0,2024,212
4.0,3:30,,,,,,Timeout #3 by Cleveland Browns,,,15.0,2024,212
