Quarter,Time,Down,ToGo,Location,NWE,ARI,Detail,EPB,EPA,week,year,game_id
1.0,8:40,2.0,6.0,NWE 35,0.0,0.0,Kyler Murray pass complete short middle to Trey McBride for 2 yards (tackle by Davon Godchaux and Jahlani Tavai),2.98,2.54,15.0,2024,219
1.0,7:58,3.0,4.0,NWE 33,0.0,0.0,Kyler Murray scrambles right end for 2 yards (tackle by Christian Elliss),2.54,1.4,15.0,2024,219
1.0,7:18,4.0,2.0,NWE 31,0.0,3.0,Chad Ryland 49 yard field goal good,1.4,3.0,15.0,2024,219
1.0,7:13,,,ARI 35,0.0,3.0,"Chad Ryland kicks off 65 yards, touchback.",0.0,0.94,15.0,2024,219
1.0,7:13,1.0,10.0,NWE 30,0.0,3.0,Rhamondre Stevenson up the middle for -2 yards (tackle by Julian Okwara and Darius Robinson),0.94,0.12,15.0,2024,219
1.0,6:35,2.0,12.0,NWE 28,0.0,3.0,Drake Maye sacked by Baron Browning for -7 yards,0.12,-1.48,15.0,2024,219
1.0,5:53,3.0,19.0,NWE 21,0.0,3.0,"Drake Maye pass complete short middle to Demario Douglas for 7 yards. Demario Douglas fumbles (forced by Garrett Williams), recovered by Kendrick Bourne at NE-29 and returned for 3 yards (tackle by Kyzir White)",-1.48,-1.24,15.0,2024,219
1.0,5:09,4.0,8.0,NWE 32,0.0,3.0,"Bryce Baringer punts 57 yards, returned by Greg Dortch for 9 yards (tackle by Brenden Schooler)",-1.24,-0.28,15.0,2024,219
1.0,4:58,1.0,10.0,ARI 20,0.0,3.0,James Conner left tackle for 53 yards (tackle by Christian Elliss),0.28,3.78,15.0,2024,219
1.0,4:14,1.0,10.0,NWE 27,0.0,3.0,Kyler Murray scrambles left end for 4 yards (tackle by Christian Elliss),3.78,3.77,15.0,2024,219
1.0,3:31,2.0,6.0,NWE 23,0.0,3.0,Kyler Murray pass complete short middle to Tip Reiman for 5 yards (tackle by Jahlani Tavai),3.77,3.84,15.0,2024,219
1.0,2:55,3.0,1.0,NWE 18,0.0,3.0,DeeJay Dallas up the middle for 3 yards (tackle by Sione Takitaki and Eric Johnson),3.84,4.58,15.0,2024,219
1.0,2:11,,,,,,Timeout #1 by Arizona Cardinals,,,15.0,2024,219
1.0,2:11,1.0,10.0,NWE 15,0.0,3.0,James Conner left tackle for 7 yards (tackle by Daniel Ekuale and Kyle Dugger),4.58,5.22,15.0,2024,219
1.0,1:31,2.0,3.0,NWE 8,0.0,9.0,"Greg Dortch left end for 6 yards. Greg Dortch fumbles (tackle by Jabrill Peppers, recovered by Jonah Williams in end zone, touchdown",5.22,7.0,15.0,2024,219
1.0,1:21,,,NWE 15,0.0,10.0,Chad Ryland kicks extra point good,0.0,0.0,15.0,2024,219
1.0,1:21,,,ARI 35,0.0,10.0,"Chad Ryland kicks off 65 yards, touchback.",0.0,0.94,15.0,2024,219
1.0,1:21,1.0,10.0,NWE 30,0.0,10.0,Drake Maye pass complete short right to Hunter Henry for 4 yards (tackle by Budda Baker),0.94,0.93,15.0,2024,219
1.0,0:41,2.0,6.0,NWE 34,0.0,10.0,Drake Maye pass complete short right to Kendrick Bourne for -1 yards (tackle by Jalen Thompson),0.93,0.1,15.0,2024,219
2.0,15:00,3.0,7.0,NWE 33,0.0,10.0,"Drake Maye aborted snap, recovered by Drake Maye at NE-28 and returned for -1 yards Drake Maye right end for -1 yards (tackle by Baron Browning and Zaven Collins)",0.1,-1.24,15.0,2024,219
2.0,14:31,4.0,8.0,NWE 32,0.0,10.0,"Bryce Baringer punts 53 yards, returned by Greg Dortch for 4 yards (tackle by Jaheim Bell)",-1.24,-0.15,15.0,2024,219
2.0,14:17,1.0,10.0,ARI 19,0.0,10.0,James Conner up the middle for 5 yards (tackle by Daniel Ekuale),0.15,0.34,15.0,2024,219
2.0,13:31,2.0,5.0,ARI 24,0.0,10.0,Kyler Murray pass complete short right to Tip Reiman for 3 yards (tackle by Sione Takitaki),0.34,-0.03,15.0,2024,219
2.0,12:48,3.0,2.0,ARI 27,0.0,10.0,Kyler Murray pass complete short left to James Conner for 4 yards (tackle by Jahlani Tavai),-0.03,1.0,15.0,2024,219
2.0,12:10,1.0,10.0,ARI 31,0.0,10.0,Kyler Murray pass complete short right to Marvin Harrison for 9 yards (tackle by Alex Austin),1.0,1.68,15.0,2024,219
2.0,11:23,2.0,1.0,ARI 40,0.0,10.0,Trey Benson up the middle for 2 yards (tackle by Yannick Ngakoue and Davon Godchaux),1.68,1.73,15.0,2024,219
2.0,10:42,1.0,10.0,ARI 42,0.0,10.0,Kyler Murray pass incomplete deep right,1.73,1.19,15.0,2024,219
2.0,10:27,2.0,10.0,ARI 42,0.0,10.0,Trey Benson up the middle for 4 yards (tackle by Deatrich Wise and Kyle Dugger),1.19,1.03,15.0,2024,219
2.0,9:45,3.0,6.0,ARI 46,0.0,10.0,Kyler Murray pass incomplete deep left intended for Marvin Harrison,1.03,-0.32,15.0,2024,219
2.0,9:40,4.0,6.0,ARI 46,0.0,10.0,"Michael Palardy punts 54 yards, touchback.",-0.32,-0.28,15.0,2024,219
2.0,9:31,1.0,10.0,NWE 20,0.0,10.0,Rhamondre Stevenson left tackle for 5 yards (tackle by Kyzir White and Krys Barnes),0.28,0.41,15.0,2024,219
2.0,8:56,2.0,5.0,NWE 25,0.0,10.0,Rhamondre Stevenson left tackle for 10 yards (tackle by Budda Baker),0.41,1.27,15.0,2024,219
2.0,8:21,1.0,10.0,NWE 35,0.0,10.0,Drake Maye scrambles right end for 6 yards (tackle by L.J. Collier),1.27,1.53,15.0,2024,219
2.0,7:41,2.0,4.0,NWE 41,0.0,10.0,Rhamondre Stevenson right tackle for 3 yards (tackle by Budda Baker and Kyzir White),1.53,1.22,15.0,2024,219
2.0,6:56,3.0,1.0,NWE 44,0.0,10.0,Drake Maye sacked by Darius Robinson for no gain,1.22,-0.46,15.0,2024,219
2.0,6:12,4.0,1.0,NWE 44,0.0,10.0,Rhamondre Stevenson left end for 2 yards (tackle by Kyzir White),-0.46,1.99,15.0,2024,219
2.0,5:35,1.0,10.0,NWE 46,0.0,10.0,Drake Maye pass complete short left to Hunter Henry for 2 yards (tackle by Julian Okwara),1.99,1.72,15.0,2024,219
2.0,5:03,2.0,8.0,NWE 48,0.0,10.0,Drake Maye pass complete short right to Marcus Jones for 18 yards (tackle by Jalen Thompson and Max Melton),1.72,3.31,15.0,2024,219
2.0,4:17,1.0,10.0,ARI 34,0.0,10.0,Antonio Gibson left tackle for -1 yards (tackle by Max Melton),3.31,2.64,15.0,2024,219
2.0,3:35,2.0,11.0,ARI 35,0.0,10.0,Antonio Gibson up the middle for -5 yards (tackle by Dadrion Taylor-Demerson),2.64,1.29,15.0,2024,219
2.0,2:52,3.0,16.0,ARI 40,0.0,10.0,Drake Maye pass complete short left to Kendrick Bourne for 8 yards (tackle by Sean Murphy-Bunting),1.29,1.24,15.0,2024,219
2.0,2:06,4.0,8.0,ARI 32,3.0,10.0,Joey Slye 50 yard field goal good,1.24,3.0,15.0,2024,219
2.0,2:01,,,NWE 35,3.0,10.0,"Joey Slye kicks off 65 yards, touchback.",0.0,0.94,15.0,2024,219
2.0,2:01,1.0,10.0,ARI 30,3.0,10.0,James Conner up the middle for 6 yards (tackle by Sione Takitaki and Christian Elliss),0.94,1.2,15.0,2024,219
2.0,1:55,2.0,4.0,ARI 36,3.0,10.0,Kyler Murray pass complete short left to Michael Wilson for 5 yards (tackle by Marcus Jones),1.2,1.66,15.0,2024,219
2.0,1:36,1.0,10.0,ARI 41,3.0,10.0,Kyler Murray pass complete short right to James Conner for 5 yards (tackle by Christian Gonzalez),1.66,1.8,15.0,2024,219
2.0,1:13,2.0,5.0,ARI 46,3.0,10.0,"Kyler Murray pass complete short left to Trey McBride for no gain (tackle by Jahlani Tavai). Penalty on Trey McBride: Offensive Pass Interference, 10 yards (accepted) (no play)",1.8,0.45,15.0,2024,219
2.0,1:07,2.0,15.0,ARI 36,3.0,10.0,"Kyler Murray pass complete short right to Marvin Harrison for no gain (tackle by Christian Gonzalez). Penalty on Jonathan Jones: Defensive Holding, 5 yards (accepted) (no play)",0.45,1.66,15.0,2024,219
2.0,1:01,1.0,10.0,ARI 41,3.0,10.0,"Kyler Murray sacked by Keion White for no gain. Penalty on Hjalte Froholdt: Offensive Holding, 10 yards (accepted) (no play)",1.66,1.0,15.0,2024,219
2.0,0:55,1.0,20.0,ARI 31,3.0,10.0,Kyler Murray pass complete short right to Zay Jones for 3 yards (tackle by Jonathan Jones),1.0,0.18,15.0,2024,219
2.0,0:50,2.0,17.0,ARI 34,3.0,10.0,Kyler Murray pass complete short right to Trey McBride for 6 yards (tackle by Jonathan Jones),0.18,0.3,15.0,2024,219
2.0,0:46,3.0,11.0,ARI 40,3.0,10.0,Kyler Murray pass complete short left to Greg Dortch for 39 yards (tackle by Marcus Jones),0.3,4.17,15.0,2024,219
2.0,0:36,1.0,10.0,NWE 21,3.0,10.0,Kyler Murray pass incomplete deep right intended for Marvin Harrison (defended by Christian Gonzalez),4.17,3.63,15.0,2024,219
2.0,0:32,2.0,10.0,NWE 21,3.0,10.0,Kyler Murray pass complete short left to James Conner for 4 yards (tackle by Marcus Jones),3.63,3.46,15.0,2024,219
2.0,0:25,3.0,6.0,NWE 17,3.0,10.0,Kyler Murray pass incomplete deep right intended for Marvin Harrison (defended by Christian Gonzalez),3.46,2.34,15.0,2024,219
2.0,0:20,4.0,6.0,NWE 17,3.0,13.0,Chad Ryland 35 yard field goal good,2.34,3.0,15.0,2024,219
2.0,0:16,,,ARI 35,3.0,13.0,"Chad Ryland kicks off 68 yards, returned by Jamycal Hasty for 24 yards (tackle by Owen Pappoe)",0.0,0.34,15.0,2024,219
2.0,0:12,1.0,10.0,NWE 21,3.0,13.0,Rhamondre Stevenson left tackle for 2 yards (tackle by Julian Okwara and Zaven Collins),0.34,0.07,15.0,2024,219
3.0,15:00,,,NWE 35,3.0,13.0,"Joey Slye kicks off 65 yards, touchback.",0.0,0.94,15.0,2024,219
3.0,15:00,1.0,10.0,ARI 30,3.0,13.0,Kyler Murray pass incomplete short right intended for Trey McBride,0.94,0.39,15.0,2024,219
3.0,14:55,2.0,10.0,ARI 30,3.0,13.0,Kyler Murray scrambles right end for 4 yards (tackle by Marcus Jones),0.39,0.23,15.0,2024,219
3.0,14:12,3.0,6.0,ARI 34,3.0,13.0,Kyler Murray pass complete short left to Greg Dortch for 8 yards (tackle by Kyle Dugger and Marcus Jones),0.23,1.73,15.0,2024,219
3.0,13:38,1.0,10.0,ARI 42,3.0,13.0,James Conner right tackle for 6 yards (tackle by Jabrill Peppers and Jahlani Tavai),1.73,2.0,15.0,2024,219
3.0,13:01,2.0,4.0,ARI 48,3.0,13.0,Trey Benson up the middle for 7 yards (tackle by Kyle Dugger),2.0,2.59,15.0,2024,219
3.0,12:15,1.0,10.0,NWE 45,3.0,13.0,Trey Benson right tackle for 4 yards (tackle by Jeremiah Pharms and Davon Godchaux),2.59,2.58,15.0,2024,219
3.0,11:38,2.0,6.0,NWE 41,3.0,13.0,"Kyler Murray sacked by Deatrich Wise for no gain. Penalty on Deatrich Wise: Horse Collar Tackle, 15 yards (accepted) (no play)",2.58,3.84,15.0,2024,219
3.0,11:12,1.0,10.0,NWE 26,3.0,13.0,"Trey Benson left tackle for no gain (tackle by Christian Gonzalez). Penalty on Trey McBride: Offensive Holding, 10 yards (accepted) (no play)",3.84,3.18,15.0,2024,219
3.0,10:41,1.0,20.0,NWE 36,3.0,13.0,Kyler Murray pass complete short left to Greg Dortch for 13 yards (tackle by Alex Austin),3.18,3.7,15.0,2024,219
3.0,9:56,2.0,7.0,NWE 23,3.0,13.0,James Conner up the middle for 2 yards (tackle by Davon Godchaux and Anfernee Jennings),3.7,3.27,15.0,2024,219
3.0,9:16,3.0,5.0,NWE 21,3.0,13.0,Kyler Murray pass incomplete deep right intended for Marvin Harrison (defended by Christian Gonzalez),3.27,2.11,15.0,2024,219
3.0,9:12,4.0,5.0,NWE 21,3.0,16.0,Chad Ryland 40 yard field goal good,2.11,3.0,15.0,2024,219
3.0,9:07,,,ARI 35,3.0,16.0,"Chad Ryland kicks off 65 yards, touchback.",0.0,0.94,15.0,2024,219
3.0,9:07,1.0,10.0,NWE 30,3.0,16.0,Drake Maye pass incomplete deep middle intended for Kayshon Boutte,0.94,0.39,15.0,2024,219
3.0,9:00,2.0,10.0,NWE 30,3.0,16.0,Rhamondre Stevenson up the middle for 15 yards (tackle by Kyzir White),0.39,1.93,15.0,2024,219
3.0,8:22,1.0,10.0,NWE 45,3.0,16.0,Rhamondre Stevenson up the middle for 10 yards (tackle by Jalen Thompson),1.93,2.59,15.0,2024,219
3.0,7:42,1.0,10.0,ARI 45,3.0,16.0,Drake Maye scrambles up the middle for 3 yards (tackle by Julian Okwara),2.59,2.45,15.0,2024,219
3.0,7:10,2.0,7.0,ARI 42,3.0,16.0,Antonio Gibson right end for 29 yards (tackle by Jalen Thompson),2.45,4.71,15.0,2024,219
3.0,6:29,,,,,,Timeout #1 by New England Patriots,,,15.0,2024,219
3.0,6:29,1.0,10.0,ARI 13,3.0,16.0,Drake Maye pass incomplete short left intended for Ja'Lynn Polk,4.71,4.05,15.0,2024,219
3.0,6:27,2.0,10.0,ARI 13,3.0,16.0,Antonio Gibson right tackle for 9 yards (tackle by Roy Lopez and Jalen Thompson),4.05,5.01,15.0,2024,219
3.0,5:47,3.0,1.0,ARI 4,3.0,16.0,Antonio Gibson up the middle for no gain (tackle by Krys Barnes and Naquan Jones),5.01,3.04,15.0,2024,219
3.0,5:01,4.0,1.0,ARI 4,3.0,16.0,Rhamondre Stevenson up the middle for no gain (tackle by Kyzir White and Krys Barnes),3.04,0.38,15.0,2024,219
3.0,4:54,1.0,10.0,ARI 4,3.0,16.0,James Conner up the middle for 4 yards (tackle by Davon Godchaux and Jabrill Peppers),-0.38,-0.49,15.0,2024,219
3.0,4:10,2.0,6.0,ARI 8,3.0,16.0,Kyler Murray pass incomplete short right intended for Tip Reiman,-0.49,-0.95,15.0,2024,219
3.0,4:03,3.0,6.0,ARI 8,3.0,16.0,"Kyler Murray pass short left is intercepted by Jonathan Jones at ARI-18 and returned for no gain (tackle by Michael Wilson). Penalty on Anfernee Jennings: Roughing the Passer, 15 yards (accepted) (no play)",-0.95,0.48,15.0,2024,219
3.0,3:55,1.0,10.0,ARI 23,3.0,16.0,James Conner right end for -1 yards (tackle by Kyle Dugger),0.48,-0.2,15.0,2024,219
3.0,3:12,2.0,11.0,ARI 22,3.0,16.0,Clayton Tune pass complete short right to Trey McBride for 7 yards (tackle by Kyle Dugger),-0.2,0.04,15.0,2024,219
3.0,2:36,3.0,4.0,ARI 29,3.0,16.0,Clayton Tune pass complete short right to Trey McBride for 1 yard (tackle by Yannick Ngakoue),0.04,-1.37,15.0,2024,219
3.0,1:57,4.0,3.0,ARI 30,3.0,16.0,"Michael Palardy punts 43 yards, returned by Marcus Jones for 6 yards (tackle by Joey Blount)",-1.37,-1.14,15.0,2024,219
3.0,1:47,1.0,10.0,NWE 33,3.0,16.0,Drake Maye pass complete short left to Hunter Henry for 8 yards (tackle by Julian Okwara),1.14,1.67,15.0,2024,219
3.0,1:21,2.0,2.0,NWE 41,3.0,16.0,Drake Maye pass complete short left to Kayshon Boutte for 3 yards (tackle by Julian Okwara),1.67,1.86,15.0,2024,219
3.0,0:48,1.0,10.0,NWE 44,3.0,16.0,Drake Maye pass incomplete deep right intended for Kayshon Boutte,1.86,1.32,15.0,2024,219
3.0,0:39,2.0,10.0,NWE 44,3.0,16.0,Drake Maye pass short middle intended for Kayshon Boutte is intercepted by Sean Murphy-Bunting at ARI-43 and returned for 2 yards (tackle by Demario Douglas),1.32,-1.93,15.0,2024,219
3.0,0:31,1.0,10.0,ARI 45,3.0,16.0,James Conner right tackle for -1 yards (tackle by Jabrill Peppers and Anfernee Jennings),1.93,1.25,15.0,2024,219
4.0,15:00,2.0,11.0,ARI 44,3.0,16.0,Kyler Murray pass complete short right to Trey McBride for 7 yards (tackle by Jabrill Peppers),1.25,1.49,15.0,2024,219
4.0,14:21,3.0,4.0,NWE 49,3.0,16.0,Kyler Murray pass complete deep left to Trey McBride for 29 yards (tackle by Dell Pettus),1.49,4.24,15.0,2024,219
4.0,13:48,1.0,10.0,NWE 20,3.0,16.0,James Conner up the middle for 4 yards (tackle by Davon Godchaux and Eric Johnson),4.24,4.28,15.0,2024,219
4.0,13:14,2.0,6.0,NWE 16,3.0,16.0,Kyler Murray pass complete short left to James Conner for 3 yards (tackle by Christian Gonzalez),4.28,4.1,15.0,2024,219
4.0,12:45,3.0,3.0,NWE 13,3.0,16.0,Kyler Murray pass complete short left to James Conner for 12 yards (tackle by Kyle Dugger and Daniel Ekuale),4.1,6.97,15.0,2024,219
4.0,12:04,1.0,1.0,NWE 1,3.0,16.0,James Conner up the middle for no gain (tackle by Anfernee Jennings and Eric Johnson),6.97,5.91,15.0,2024,219
4.0,11:22,2.0,1.0,NWE 1,3.0,16.0,Kyler Murray pass complete short middle to Trey McBride for no gain (tackle by Christian Elliss and Davon Godchaux),5.91,5.17,15.0,2024,219
4.0,10:42,3.0,1.0,NWE 1,3.0,22.0,"James Conner up the middle for 1 yard, touchdown",5.17,7.0,15.0,2024,219
4.0,10:39,,,NWE 15,3.0,23.0,Chad Ryland kicks extra point good,0.0,0.0,15.0,2024,219
4.0,10:39,,,ARI 35,3.0,23.0,"Chad Ryland kicks off 68 yards, returned by Antonio Gibson for 28 yards (tackle by Krys Barnes)",0.0,0.61,15.0,2024,219
4.0,10:32,1.0,10.0,NWE 25,3.0,23.0,Rhamondre Stevenson right tackle for 12 yards (tackle by Budda Baker and Starling Thomas),0.61,1.4,15.0,2024,219
4.0,10:09,1.0,10.0,NWE 37,3.0,23.0,Drake Maye pass complete short left to Kayshon Boutte for 16 yards (tackle by Jalen Thompson and Sean Murphy-Bunting),1.4,2.46,15.0,2024,219
4.0,9:49,1.0,10.0,ARI 47,3.0,23.0,Rhamondre Stevenson up the middle for 4 yards (tackle by Krys Barnes and Naquan Jones),2.46,2.45,15.0,2024,219
4.0,9:28,2.0,6.0,ARI 43,3.0,23.0,Drake Maye pass complete deep right to Kendrick Bourne for 37 yards (tackle by Starling Thomas),2.45,5.83,15.0,2024,219
4.0,9:03,1.0,6.0,ARI 6,3.0,23.0,Rhamondre Stevenson right tackle for 3 yards (tackle by Xavier Thomas and Budda Baker),5.83,5.53,15.0,2024,219
4.0,8:22,2.0,3.0,ARI 3,9.0,23.0,"Drake Maye pass complete short left to Demario Douglas for 3 yards, touchdown",5.53,7.0,15.0,2024,219
4.0,8:14,,,ARI 15,10.0,23.0,Joey Slye kicks extra point good,0.0,0.0,15.0,2024,219
4.0,8:14,,,NWE 35,10.0,23.0,"Joey Slye kicks off 65 yards, touchback.",0.0,0.94,15.0,2024,219
4.0,8:14,1.0,10.0,ARI 30,10.0,23.0,Kyler Murray scrambles right end for 1 yard (tackle by Anfernee Jennings),0.94,0.53,15.0,2024,219
4.0,7:41,2.0,9.0,ARI 31,10.0,23.0,Trey Benson right tackle for 5 yards (tackle by Anfernee Jennings),0.53,0.5,15.0,2024,219
4.0,6:59,3.0,4.0,ARI 36,10.0,23.0,Kyler Murray pass complete short middle to Trey McBride for 9 yards (tackle by Kyle Dugger),0.5,1.93,15.0,2024,219
4.0,6:15,1.0,10.0,ARI 45,10.0,23.0,James Conner up the middle for 1 yard (tackle by Jahlani Tavai),1.93,1.52,15.0,2024,219
4.0,5:37,2.0,9.0,ARI 46,10.0,23.0,Kyler Murray pass complete short left to Elijah Higgins for 5 yards (tackle by Kyle Dugger),1.52,1.49,15.0,2024,219
4.0,5:12,3.0,4.0,NWE 49,10.0,23.0,Kyler Murray pass complete short right to Trey McBride for 26 yards (tackle by Jabrill Peppers and Sione Takitaki),1.49,4.04,15.0,2024,219
4.0,4:23,1.0,10.0,NWE 23,10.0,23.0,James Conner up the middle for 5 yards (tackle by Jahlani Tavai),4.04,4.21,15.0,2024,219
4.0,4:15,,,,,,Timeout #2 by New England Patriots,,,15.0,2024,219
4.0,4:15,2.0,5.0,NWE 18,10.0,23.0,James Conner left end for 17 yards (tackle by Jonathan Jones),4.21,6.97,15.0,2024,219
4.0,3:29,1.0,1.0,NWE 1,10.0,29.0,"James Conner up the middle for 1 yard, touchdown",6.97,7.0,15.0,2024,219
4.0,3:27,,,NWE 15,10.0,30.0,Chad Ryland kicks extra point good,0.0,0.0,15.0,2024,219
4.0,3:27,,,ARI 35,10.0,30.0,"Chad Ryland kicks off 65 yards, touchback.",0.0,0.94,15.0,2024,219
4.0,3:27,1.0,10.0,NWE 30,10.0,30.0,Drake Maye pass complete short right to Austin Hooper for 7 yards (tackle by Budda Baker and Kyzir White),0.94,1.34,15.0,2024,219
4.0,3:09,2.0,3.0,NWE 37,10.0,30.0,Drake Maye pass complete short right to Antonio Gibson for 20 yards (tackle by Dadrion Taylor-Demerson),1.34,2.72,15.0,2024,219
4.0,2:57,1.0,10.0,ARI 43,10.0,30.0,Drake Maye pass complete short right to Antonio Gibson for 11 yards (tackle by Budda Baker),2.72,3.45,15.0,2024,219
4.0,2:34,1.0,10.0,ARI 32,10.0,30.0,Antonio Gibson up the middle for 1 yard (tackle by Darius Robinson and Dadrion Taylor-Demerson),3.45,3.04,15.0,2024,219
4.0,2:10,2.0,9.0,ARI 31,10.0,30.0,Drake Maye pass complete short right to Austin Hooper for 26 yards (tackle by Kyzir White),3.04,6.06,15.0,2024,219
4.0,2:00,1.0,5.0,ARI 5,16.0,30.0,"Drake Maye scrambles right end for 5 yards, touchdown",6.06,7.0,15.0,2024,219
4.0,1:55,,,ARI 15,17.0,30.0,Joey Slye kicks extra point good,0.0,0.0,15.0,2024,219
4.0,1:55,,,NWE 35,17.0,30.0,"Joey Slye kicks onside 9 yards, returned by Joey Blount for no gain",0.0,2.98,15.0,2024,219
4.0,1:55,1.0,10.0,NWE 39,17.0,30.0,DeeJay Dallas up the middle for 5 yards (tackle by Jahlani Tavai),2.98,3.12,15.0,2024,219
4.0,1:48,,,,,,Timeout #3 by New England Patriots,,,15.0,2024,219
4.0,1:48,2.0,5.0,NWE 34,17.0,30.0,DeeJay Dallas up the middle for no gain (tackle by Anfernee Jennings and Eric Johnson),3.12,2.41,15.0,2024,219
4.0,0:55,3.0,5.0,NWE 34,17.0,30.0,DeeJay Dallas up the middle for 7 yards (tackle by Jabrill Peppers),2.41,3.78,15.0,2024,219
4.0,0:18,1.0,10.0,NWE 27,17.0,30.0,Clayton Tune kneels for -1 yards,3.78,3.1,15.0,2024,219
