Quarter,Time,Down,ToGo,Location,WAS,NOR,Detail,EPB,EPA,week,year,game_id
3.0,5:53,1.0,10.0,WAS 21,17.0,6.0,"Cedrick Wilson pass complete deep right to Alvin Kamara for 21 yards, touchdown",4.17,7.0,15.0,2024,215
3.0,5:45,,,WAS 15,17.0,7.0,Blake Grupe kicks extra point good,0.0,0.0,15.0,2024,215
3.0,5:45,,,NOR 35,17.0,7.0,"Blake Grupe kicks off 56 yards, returned by Luke McCaffrey for 23 yards (tackle by Jordan Howden and Shemar Jean-Charles)",0.0,1.07,15.0,2024,215
3.0,5:38,1.0,10.0,WAS 32,17.0,7.0,Brian Robinson left end for -1 yards (tackle by Demario Davis),1.07,0.39,15.0,2024,215
3.0,4:47,2.0,11.0,WAS 31,17.0,7.0,Jayden Daniels pass complete deep left to Terry McLaurin for 25 yards (tackle by Tyrann Mathieu),0.39,2.65,15.0,2024,215
3.0,4:14,1.0,10.0,NOR 44,17.0,7.0,Brian Robinson left end for no gain (tackle by Bryan Bresee and Cameron Jordan),2.65,2.11,15.0,2024,215
3.0,3:39,2.0,10.0,NOR 44,17.0,7.0,Brian Robinson up the middle for -4 yards (tackle by Demario Davis),2.11,0.89,15.0,2024,215
3.0,3:00,3.0,14.0,NOR 48,17.0,7.0,Jayden Daniels scrambles up the middle for 24 yards (tackle by Alontae Taylor and Kool-Aid McKinstry),0.89,3.97,15.0,2024,215
3.0,2:16,1.0,10.0,NOR 24,17.0,7.0,Brian Robinson left guard for 1 yard (tackle by John Ridgeway),3.97,3.57,15.0,2024,215
3.0,1:39,2.0,9.0,NOR 23,17.0,7.0,"Penalty on Brandon Coleman: False Start, 5 yards (accepted) (no play)",3.57,2.89,15.0,2024,215
3.0,1:22,2.0,14.0,NOR 28,17.0,7.0,Jayden Daniels sacked by Chase Young for -5 yards,2.89,1.55,15.0,2024,215
3.0,0:38,3.0,19.0,NOR 33,17.0,7.0,Jayden Daniels pass complete short middle to Jamison Crowder for 10 yards (tackle by Ugo Amadi),1.55,1.93,15.0,2024,215
4.0,15:00,4.0,9.0,NOR 23,20.0,7.0,Greg Joseph 41 yard field goal good,1.93,3.0,15.0,2024,215
4.0,14:56,,,WAS 35,20.0,7.0,"Greg Joseph kicks off 62 yards, returned by Kendre Miller for 23 yards (tackle by Mykal Walker)",0.0,0.67,15.0,2024,215
4.0,14:47,1.0,10.0,NOR 26,20.0,7.0,Kendre Miller left guard for no gain (tackle by Daron Payne and Sheldon Day),0.67,0.13,15.0,2024,215
4.0,14:10,2.0,10.0,NOR 26,20.0,7.0,Spencer Rattler pass incomplete short left intended for Kevin Austin,0.13,-0.56,15.0,2024,215
4.0,13:59,3.0,10.0,NOR 26,20.0,7.0,"Spencer Rattler sacked by Dorance Armstrong for no gain. Penalty on Benjamin St-Juste: Illegal Use of Hands / Defense, 5 yards (accepted) (no play)",-0.56,1.0,15.0,2024,215
4.0,13:48,1.0,10.0,NOR 31,20.0,7.0,Kendre Miller left end for 8 yards (tackle by Jeremy Chinn),1.0,1.54,15.0,2024,215
4.0,13:18,2.0,2.0,NOR 39,20.0,7.0,Spencer Rattler pass complete short right to Foster Moreau for 12 yards (tackle by Darrick Forrest),1.54,2.32,15.0,2024,215
4.0,12:41,1.0,10.0,WAS 49,20.0,7.0,Kendre Miller left tackle for 17 yards (tackle by Quan Martin and Jeremy Chinn),2.32,3.45,15.0,2024,215
4.0,12:05,1.0,10.0,WAS 32,20.0,7.0,"Spencer Rattler pass incomplete short left intended for Marquez Valdes-Scantling. Penalty on Dante Fowler: Roughing the Passer, 15 yards (accepted) (no play)",3.45,4.44,15.0,2024,215
4.0,12:01,1.0,10.0,WAS 17,20.0,7.0,Kendre Miller right end for -6 yards (tackle by Dante Fowler),4.44,3.08,15.0,2024,215
4.0,11:21,2.0,16.0,WAS 23,20.0,7.0,Spencer Rattler pass incomplete short right intended for Marquez Valdes-Scantling (defended by Jer'Zhan Newton),3.08,2.41,15.0,2024,215
4.0,11:17,3.0,16.0,WAS 23,20.0,7.0,Spencer Rattler pass incomplete short right intended for Marquez Valdes-Scantling (defended by Daron Payne),2.41,1.93,15.0,2024,215
4.0,11:13,4.0,16.0,WAS 23,20.0,10.0,Blake Grupe 41 yard field goal good,1.93,3.0,15.0,2024,215
4.0,11:09,,,NOR 35,20.0,10.0,"Blake Grupe kicks off 62 yards, returned by Luke McCaffrey for 34 yards (tackle by Jaylan Ford and Shemar Jean-Charles)",0.0,1.4,15.0,2024,215
4.0,11:02,1.0,10.0,WAS 37,20.0,10.0,Jayden Daniels pass complete short left to Brian Robinson for 9 yards (tackle by Khalen Saunders and Pete Werner),1.4,2.07,15.0,2024,215
4.0,10:18,2.0,1.0,WAS 46,20.0,10.0,Brian Robinson left guard for 2 yards (tackle by Pete Werner and Carl Granderson),2.07,2.13,15.0,2024,215
4.0,9:45,1.0,10.0,WAS 48,20.0,10.0,Jayden Daniels pass incomplete deep middle intended for Terry McLaurin,2.13,1.58,15.0,2024,215
4.0,9:40,2.0,10.0,WAS 48,20.0,10.0,Chris Rodriguez right tackle for 2 yards (tackle by Demario Davis),1.58,1.16,15.0,2024,215
4.0,9:04,3.0,8.0,WAS 50,20.0,10.0,Jayden Daniels sacked by Carl Granderson for -3 yards,1.16,-0.26,15.0,2024,215
4.0,8:06,4.0,11.0,WAS 47,20.0,10.0,"Tress Way punts 37 yards, returned by Dante Pettis for no gain (tackle by Ben Sinnott). Penalty on Rico Payton: Offensive Holding, 8 yards (accepted)",-0.26,0.38,15.0,2024,215
4.0,8:06,1.0,10.0,NOR 8,20.0,10.0,Spencer Rattler pass incomplete deep right,-0.38,-0.78,15.0,2024,215
4.0,8:02,2.0,10.0,NOR 8,20.0,10.0,"Spencer Rattler pass complete short left to Foster Moreau for 19 yards (tackle by Quan Martin and Bobby Wagner). Penalty on Dante Fowler: Roughing the Passer, 15 yards (accepted)",-0.78,1.73,15.0,2024,215
4.0,7:42,1.0,10.0,NOR 42,20.0,10.0,Spencer Rattler pass complete deep right to Marquez Valdes-Scantling for 25 yards (tackle by Jeremy Chinn and Darrick Forrest),1.73,3.38,15.0,2024,215
4.0,7:15,1.0,10.0,WAS 33,20.0,10.0,Spencer Rattler pass incomplete short left intended for Kendre Miller,3.38,2.84,15.0,2024,215
4.0,7:13,2.0,10.0,WAS 33,20.0,10.0,Spencer Rattler pass incomplete short middle intended for Juwan Johnson (defended by Frankie Luvu),2.84,2.15,15.0,2024,215
4.0,7:08,3.0,10.0,WAS 33,20.0,10.0,Spencer Rattler pass incomplete deep right intended for Dante Pettis,2.15,1.15,15.0,2024,215
4.0,7:02,4.0,10.0,WAS 33,20.0,13.0,Blake Grupe 51 yard field goal good,1.15,3.0,15.0,2024,215
4.0,6:57,,,NOR 35,20.0,13.0,"Blake Grupe kicks off 58 yards, returned by Jeremy McNichols for 29 yards (tackle by Isaiah Foskey and Shemar Jean-Charles)",0.0,1.33,15.0,2024,215
4.0,6:51,1.0,10.0,WAS 36,20.0,13.0,Jayden Daniels pass complete short middle to Dyami Brown for 2 yards (tackle by Payton Turner and Will Harris),1.33,1.06,15.0,2024,215
4.0,6:19,2.0,8.0,WAS 38,20.0,13.0,Jayden Daniels pass incomplete deep right intended for Terry McLaurin,1.06,0.37,15.0,2024,215
4.0,6:13,,,,,,Timeout #1 by Washington Commanders,,,15.0,2024,215
4.0,6:13,3.0,8.0,WAS 38,20.0,13.0,Jayden Daniels pass complete short left to Ben Sinnott for 7 yards (tackle by Kool-Aid McKinstry),0.37,-0.39,15.0,2024,215
4.0,5:40,4.0,1.0,WAS 45,20.0,13.0,Jayden Daniels right guard for 1 yard (tackle by Nathan Shepherd),-0.39,1.99,15.0,2024,215
4.0,5:02,1.0,10.0,WAS 46,20.0,13.0,Jayden Daniels pass incomplete short right intended for Terry McLaurin (defended by Shemar Jean-Charles),1.99,1.45,15.0,2024,215
4.0,4:55,2.0,10.0,WAS 46,20.0,13.0,Brian Robinson left tackle for 7 yards (tackle by Khalen Saunders and Tyrann Mathieu),1.45,1.69,15.0,2024,215
4.0,4:14,3.0,3.0,NOR 47,20.0,13.0,Jayden Daniels pass complete short middle to John Bates for 6 yards (tackle by Jordan Howden),1.69,2.85,15.0,2024,215
4.0,3:28,1.0,10.0,NOR 41,20.0,13.0,Brian Robinson right tackle for -2 yards (tackle by John Ridgeway),2.85,2.04,15.0,2024,215
4.0,2:48,2.0,12.0,NOR 43,20.0,13.0,Jayden Daniels pass complete short middle to Olamide Zaccheaus for 13 yards (tackle by Will Harris),2.04,3.58,15.0,2024,215
4.0,2:36,,,,,,Timeout #1 by New Orleans Saints,,,15.0,2024,215
4.0,2:36,1.0,10.0,NOR 30,20.0,13.0,Brian Robinson left tackle for -3 yards (tackle by Will Harris),3.58,2.63,15.0,2024,215
4.0,2:27,,,,,,Timeout #2 by New Orleans Saints,,,15.0,2024,215
4.0,2:27,2.0,13.0,NOR 33,20.0,13.0,"Jayden Daniels pass complete deep left to Dyami Brown for 23 yards (tackle by Alontae Taylor). Penalty on Nick Allegretti: Offensive Holding, 10 yards (accepted) (no play)",2.63,1.28,15.0,2024,215
4.0,2:19,2.0,23.0,NOR 43,20.0,13.0,Jayden Daniels pass incomplete short right intended for Olamide Zaccheaus,1.28,0.63,15.0,2024,215
4.0,2:17,3.0,23.0,NOR 43,20.0,13.0,Brian Robinson right guard for 7 yards (tackle by Bryan Bresee),0.63,0.88,15.0,2024,215
4.0,2:00,4.0,16.0,NOR 36,20.0,13.0,Greg Joseph 54 yard field goal no good,0.88,-1.86,15.0,2024,215
4.0,1:55,1.0,10.0,NOR 44,20.0,13.0,Kendre Miller right guard for 12 yards (tackle by Bobby Wagner),1.86,2.65,15.0,2024,215
4.0,1:36,1.0,10.0,WAS 44,20.0,13.0,"Spencer Rattler pass incomplete short right intended for Juwan Johnson Replay Assistant challenged the pass completion ruling, and the original play was overturned. Spencer Rattler pass complete short right to Juwan Johnson for 3 yards (tackle by Darrick Forrest)",2.65,2.52,15.0,2024,215
4.0,1:22,2.0,7.0,WAS 41,20.0,13.0,Kendre Miller right guard for 6 yards (tackle by Bobby Wagner and Mike Sainristil),2.52,2.61,15.0,2024,215
4.0,1:03,3.0,1.0,WAS 35,20.0,13.0,Spencer Rattler pass complete short right to Kevin Austin for 8 yards (tackle by Mike Sainristil),2.61,3.78,15.0,2024,215
4.0,1:00,1.0,10.0,WAS 27,20.0,13.0,Kendre Miller left tackle for 12 yards (tackle by Dorance Armstrong and Darrick Forrest),3.78,4.58,15.0,2024,215
4.0,0:40,1.0,10.0,WAS 15,20.0,13.0,Kendre Miller left guard for -2 yards (tackle by Dorance Armstrong),4.58,3.68,15.0,2024,215
4.0,0:38,,,,,,Timeout #3 by New Orleans Saints,,,15.0,2024,215
4.0,0:38,2.0,12.0,WAS 17,20.0,13.0,Spencer Rattler pass complete short middle to Juwan Johnson for 9 yards (tackle by Darrick Forrest),3.68,4.45,15.0,2024,215
4.0,0:22,3.0,3.0,WAS 8,20.0,13.0,Spencer Rattler pass incomplete short left intended for Dante Pettis,4.45,2.98,15.0,2024,215
