Quarter,Time,Down,ToGo,Location,CIN,TEN,Detail,EPB,EPA,week,year,game_id
1.0,4:04,1.0,2.0,CIN 2,7.0,7.0,"Tyjae Spears left tackle for 1 yard, touchdown CIN challenged the runner broke the plane ruling, and the original play was overturned. Tyjae Spears left tackle for 1 yard (tackle by Germaine Pratt)",6.74,5.91,15.0,2024,211
1.0,4:02,2.0,1.0,CIN 1,7.0,13.0,"Tyjae Spears up the middle for 1 yard, touchdown",5.91,7.0,15.0,2024,211
1.0,3:58,,,CIN 15,7.0,14.0,Nick Folk kicks extra point good,0.0,0.0,15.0,2024,211
1.0,3:58,,,TEN 35,7.0,14.0,"Nick Folk kicks off 65 yards, touchback.",0.0,0.94,15.0,2024,211
1.0,3:58,1.0,10.0,CIN 30,7.0,14.0,"Penalty on Arden Key: Neutral Zone Infraction, 5 yards (accepted) (no play)",0.94,1.67,15.0,2024,211
1.0,3:58,1.0,5.0,CIN 35,7.0,14.0,Khalil Herbert right tackle for 4 yards (tackle by Harold Landry and Luke Gifford),1.67,1.61,15.0,2024,211
1.0,3:18,2.0,1.0,CIN 39,7.0,14.0,Chase Brown left tackle for no gain (tackle by Arden Key and Luke Gifford),1.61,0.89,15.0,2024,211
1.0,2:42,3.0,1.0,CIN 39,7.0,14.0,"Chase Brown up the middle for no gain (tackle by Sebastian Joseph-Day). Penalty on Tee Higgins: Illegal Formation, 4 yards (accepted) (no play)",0.89,0.37,15.0,2024,211
1.0,2:11,3.0,5.0,CIN 35,7.0,14.0,Joe Burrow pass complete short middle to Mike Gesicki for 16 yards (tackle by Daryl Worley),0.37,2.32,15.0,2024,211
1.0,1:28,1.0,10.0,TEN 49,7.0,14.0,"Penalty on Devin Cochran: False Start, 5 yards (accepted) (no play)",2.32,1.99,15.0,2024,211
1.0,1:07,1.0,15.0,CIN 46,7.0,14.0,Joe Burrow pass complete short right to Ja'Marr Chase for 4 yards (tackle by Jarvis Brownlee and Chidobe Awuzie),1.99,1.65,15.0,2024,211
1.0,0:31,2.0,11.0,CIN 50,7.0,14.0,Chase Brown up the middle for 13 yards (tackle by Daryl Worley),1.65,3.12,15.0,2024,211
2.0,15:00,1.0,10.0,TEN 37,7.0,14.0,"Joe Burrow pass incomplete deep left intended for Chase Brown. Penalty on Kenneth Murray: Defensive Pass Interference, 30 yards (accepted) (no play)",3.12,5.6,15.0,2024,211
2.0,14:50,1.0,7.0,TEN 7,7.0,14.0,"Penalty on Cam Grandy: False Start, 5 yards (accepted) (no play)",5.6,4.64,15.0,2024,211
2.0,14:50,1.0,12.0,TEN 12,7.0,14.0,Joe Burrow pass complete short right to Cam Grandy for 3 yards (tackle by Kenneth Murray),4.64,4.38,15.0,2024,211
2.0,14:08,2.0,9.0,TEN 9,7.0,14.0,"Joe Burrow sacked by Harold Landry for -2 yards. Joe Burrow fumbles (forced by T'Vondre Sweat), recovered by T'Vondre Sweat at TEN-11 and returned for 30 yards (tackle by Cordell Volson and Amarius Mims)",4.38,-1.66,15.0,2024,211
2.0,13:55,1.0,10.0,TEN 41,7.0,14.0,Tony Pollard up the middle for 3 yards (tackle by B.J. Hill and Akeem Davis-Gaither),1.66,1.53,15.0,2024,211
2.0,13:16,2.0,7.0,TEN 44,7.0,14.0,Tyjae Spears up the middle for 6 yards (tackle by Akeem Davis-Gaither),1.53,1.62,15.0,2024,211
2.0,12:42,3.0,1.0,TEN 50,7.0,14.0,Will Levis up the middle for 2 yards (tackle by Kris Jenkins),1.62,2.39,15.0,2024,211
2.0,12:05,1.0,10.0,CIN 48,7.0,14.0,Will Levis pass complete short left to Tyler Boyd for -1 yards (tackle by Mike Hilton),2.39,1.71,15.0,2024,211
2.0,11:36,2.0,11.0,CIN 49,7.0,14.0,Will Levis pass complete short middle to Calvin Ridley for 16 yards (tackle by Marco Wilson),1.71,3.38,15.0,2024,211
2.0,10:53,1.0,10.0,CIN 33,7.0,14.0,Tyjae Spears right end for -3 yards (tackle by Germaine Pratt),3.38,2.43,15.0,2024,211
2.0,10:13,2.0,13.0,CIN 36,7.0,14.0,Will Levis pass incomplete short right intended for Tyjae Spears,2.43,1.75,15.0,2024,211
2.0,10:08,3.0,13.0,CIN 36,7.0,14.0,"Will Levis up the middle for -3 yards (tackle by Trey Hendrickson) CIN challenged the fumble ruling, and the original play was overturned. Will Levis up the middle for -2 yards. Will Levis fumbles (forced by Trey Hendrickson), recovered by Maema Njongmeta at CIN-38 (tackle by Trey Hendrickson)",1.75,-1.47,15.0,2024,211
2.0,10:05,1.0,10.0,CIN 38,7.0,14.0,Chase Brown right tackle for 7 yards (tackle by Luke Gifford),1.47,1.87,15.0,2024,211
2.0,9:27,2.0,3.0,CIN 45,7.0,14.0,Joe Burrow pass complete short middle to Ja'Marr Chase for 18 yards (tackle by Luke Gifford),1.87,3.12,15.0,2024,211
2.0,8:49,1.0,10.0,TEN 37,7.0,14.0,Chase Brown left tackle for 4 yards (tackle by Amani Hooker and Jarvis Brownlee),3.12,3.11,15.0,2024,211
2.0,8:29,2.0,6.0,TEN 33,7.0,14.0,Joe Burrow pass incomplete deep right intended for Ja'Marr Chase (defended by Chidobe Awuzie) (no play),3.11,3.79,15.0,2024,211
2.0,8:25,2.0,1.0,TEN 28,7.0,14.0,Chase Brown right guard for 4 yards (tackle by Jeffery Simmons and Luke Gifford),3.79,3.97,15.0,2024,211
2.0,7:46,1.0,10.0,TEN 24,7.0,14.0,Joe Burrow pass complete short right to Tee Higgins for 8 yards (tackle by Luke Gifford),3.97,4.65,15.0,2024,211
2.0,7:08,2.0,2.0,TEN 16,7.0,14.0,Joe Burrow pass complete short middle to Ja'Marr Chase for 6 yards (tackle by Darrell Baker),4.65,4.91,15.0,2024,211
2.0,6:34,1.0,10.0,TEN 10,7.0,14.0,Chase Brown up the middle for -3 yards (tackle by Jeffery Simmons),4.91,3.72,15.0,2024,211
2.0,5:54,2.0,13.0,TEN 13,7.0,14.0,Joe Burrow pass complete short left to Ja'Marr Chase for 11 yards (tackle by Luke Gifford),3.72,4.95,15.0,2024,211
2.0,5:18,3.0,2.0,TEN 2,13.0,14.0,"Joe Burrow pass complete short left to Sam Hubbard for 2 yards, touchdown",4.95,7.0,15.0,2024,211
2.0,5:13,,,TEN 15,14.0,14.0,Cade York kicks extra point good,0.0,0.0,15.0,2024,211
2.0,5:13,,,CIN 35,14.0,14.0,"Cade York kicks off 65 yards, touchback.",0.0,0.94,15.0,2024,211
2.0,5:13,1.0,10.0,TEN 30,14.0,14.0,Will Levis pass complete short right to Nick Vannett for 7 yards (tackle by Geno Stone and Germaine Pratt),0.94,1.34,15.0,2024,211
2.0,4:36,2.0,3.0,TEN 37,14.0,14.0,Tony Pollard up the middle for 4 yards (tackle by Joseph Ossai),1.34,1.66,15.0,2024,211
2.0,3:54,1.0,10.0,TEN 41,14.0,14.0,Tony Pollard left guard for -4 yards (tackle by Mike Hilton),1.66,0.58,15.0,2024,211
2.0,3:14,2.0,14.0,TEN 37,14.0,14.0,Will Levis pass complete short right to Chigoziem Okonkwo for 12 yards (tackle by Akeem Davis-Gaither and Jordan Battle),0.58,1.49,15.0,2024,211
2.0,2:30,3.0,2.0,TEN 49,14.0,14.0,"Penalty on JC Latham: False Start, 5 yards (accepted) (no play)",1.49,0.83,15.0,2024,211
2.0,2:08,3.0,7.0,TEN 44,14.0,14.0,Will Levis pass short left intended for Tyler Boyd is intercepted by Cam Taylor-Britt at CIN-49 and returned for 28 yards (tackle by Nick Westbrook-Ikhine),0.83,-4.04,15.0,2024,211
2.0,1:59,1.0,10.0,TEN 23,14.0,14.0,"Penalty on Trey Hendrickson: Unnecessary Roughness / Offense, 15 yards (accepted) (no play)",4.04,3.05,15.0,2024,211
2.0,1:59,1.0,10.0,TEN 38,14.0,14.0,Joe Burrow pass complete short right to Chase Brown for 5 yards (tackle by James Williams and Chidobe Awuzie),3.05,3.18,15.0,2024,211
2.0,1:23,2.0,5.0,TEN 33,14.0,14.0,Chase Brown left tackle for 1 yard (tackle by Jeffery Simmons and Arden Key),3.18,2.61,15.0,2024,211
2.0,1:18,,,,,,Timeout #1 by Tennessee Titans,,,15.0,2024,211
2.0,1:18,3.0,4.0,TEN 32,14.0,14.0,"Penalty on Andrei Iosivas: False Start, 6 yards (accepted) (no play)",2.61,1.82,15.0,2024,211
2.0,1:18,3.0,10.0,TEN 38,20.0,14.0,"Joe Burrow pass complete deep right to Tee Higgins for 38 yards, touchdown",1.82,7.0,15.0,2024,211
2.0,1:12,,,TEN 15,21.0,14.0,Cade York kicks extra point good,0.0,0.0,15.0,2024,211
2.0,1:12,,,CIN 35,21.0,14.0,"Cade York kicks off 65 yards, touchback.",0.0,0.94,15.0,2024,211
2.0,1:12,1.0,10.0,TEN 30,21.0,14.0,Will Levis pass short right (defended by Josh Newton) intended for Nick Westbrook-Ikhine is intercepted by Mike Hilton at TEN-38 and returned for no gain (tackle by Tyler Boyd),0.94,-3.05,15.0,2024,211
2.0,1:07,1.0,10.0,TEN 38,21.0,14.0,Joe Burrow pass incomplete short right intended for Tee Higgins,3.05,2.51,15.0,2024,211
2.0,1:03,2.0,10.0,TEN 38,21.0,14.0,Joe Burrow pass complete short middle to Tanner Hudson for 9 yards (tackle by Kenneth Murray),2.51,3.01,15.0,2024,211
2.0,0:54,,,,,,Timeout #1 by Cincinnati Bengals,,,15.0,2024,211
2.0,0:54,3.0,1.0,TEN 29,21.0,14.0,Chase Brown up the middle for 2 yards (tackle by James Williams and Kenneth Murray),3.01,3.78,15.0,2024,211
2.0,0:47,,,,,,Timeout #2 by Cincinnati Bengals,,,15.0,2024,211
2.0,0:47,1.0,10.0,TEN 27,21.0,14.0,"Joe Burrow pass complete short right to Andrei Iosivas for 5 yards (tackle by James Williams). Penalty on Chase Brown: Offensive Illegal Block Above the Waist, 10 yards (accepted)",3.78,3.45,15.0,2024,211
2.0,0:41,1.0,15.0,TEN 32,21.0,14.0,Joe Burrow pass incomplete short left intended for Mike Gesicki,3.45,2.56,15.0,2024,211
2.0,0:36,2.0,15.0,TEN 32,21.0,14.0,Joe Burrow pass complete short left to Ja'Marr Chase for 11 yards (tackle by Daryl Worley),2.56,3.34,15.0,2024,211
2.0,0:30,,,,,,Timeout #3 by Cincinnati Bengals,,,15.0,2024,211
2.0,0:30,3.0,4.0,TEN 21,21.0,14.0,Joe Burrow pass complete short left to Tee Higgins for 13 yards (tackle by Darrell Baker),3.34,5.37,15.0,2024,211
2.0,0:24,1.0,8.0,TEN 8,21.0,14.0,Joe Burrow pass complete short middle to Chase Brown for 5 yards (tackle by James Williams and Amani Hooker),5.37,5.53,15.0,2024,211
2.0,0:12,2.0,3.0,TEN 3,21.0,14.0,Joe Burrow spiked the ball,5.53,4.72,15.0,2024,211
2.0,0:10,,,,,,Timeout #2 by Tennessee Titans,,,15.0,2024,211
2.0,0:10,3.0,3.0,TEN 3,21.0,14.0,Joe Burrow pass incomplete short right intended for Tee Higgins,4.72,3.04,15.0,2024,211
2.0,0:06,4.0,3.0,TEN 3,24.0,14.0,Cade York 21 yard field goal good,3.04,3.0,15.0,2024,211
2.0,0:02,,,CIN 35,24.0,14.0,"Cade York kicks off 70 yards, returned by Tyjae Spears for 20 yards (tackle by Shaka Heyward)",0.0,1.27,15.0,2024,211
3.0,15:00,,,CIN 35,24.0,14.0,"Cade York kicks off 65 yards, touchback.",0.0,0.94,15.0,2024,211
3.0,15:00,1.0,10.0,TEN 30,24.0,14.0,Tony Pollard left guard for 3 yards (tackle by B.J. Hill),0.94,0.8,15.0,2024,211
3.0,14:16,2.0,7.0,TEN 33,24.0,14.0,"Will Levis pass complete short middle to Chigoziem Okonkwo for 23 yards (tackle by Cam Taylor-Britt and Jordan Battle). Penalty on Peter Skoronski: Offensive Low Block, 15 yards (accepted) (no play)",0.8,-1.33,15.0,2024,211
3.0,13:50,2.0,22.0,TEN 18,24.0,14.0,Will Levis pass complete short left to Tyjae Spears for 4 yards (tackle by Jordan Battle and Trey Hendrickson),-1.33,-1.35,15.0,2024,211
3.0,13:08,3.0,18.0,TEN 22,24.0,14.0,Will Levis sacked by B.J. Hill for -7 yards,-1.35,-2.44,15.0,2024,211
3.0,12:28,4.0,25.0,TEN 15,24.0,14.0,"Ryan Stonehouse punts 67 yards, returned by Isaiah Williams for 15 yards (tackle by Justin Hardee and Mike Brown)",-2.44,-1.14,15.0,2024,211
3.0,12:15,1.0,10.0,CIN 33,24.0,14.0,Chase Brown up the middle for 3 yards (tackle by Jeffery Simmons and Jarvis Brownlee),1.14,1.0,15.0,2024,211
3.0,11:34,2.0,7.0,CIN 36,24.0,14.0,Joe Burrow pass complete short left to Drew Sample for 8 yards (tackle by Jarvis Brownlee and Darrell Baker),1.0,1.86,15.0,2024,211
3.0,10:51,1.0,10.0,CIN 44,24.0,14.0,"Joe Burrow pass incomplete deep left intended for Tee Higgins. Penalty on Chidobe Awuzie: Defensive Pass Interference, 15 yards (accepted) (no play)",1.86,2.85,15.0,2024,211
3.0,10:43,1.0,10.0,TEN 41,24.0,14.0,Joe Burrow pass complete short middle to Ja'Marr Chase for 5 yards (tackle by Amani Hooker and Harold Landry),2.85,2.98,15.0,2024,211
3.0,10:02,2.0,5.0,TEN 36,24.0,14.0,Chase Brown right end for 3 yards (tackle by James Williams),2.98,2.68,15.0,2024,211
3.0,9:18,3.0,2.0,TEN 33,24.0,14.0,"Penalty on Amarius Mims: False Start, 5 yards (accepted) (no play)",2.68,2.02,15.0,2024,211
3.0,8:54,3.0,7.0,TEN 38,24.0,14.0,Joe Burrow pass deep right intended for Ja'Marr Chase is intercepted by Daryl Worley at TEN-3 and returned for no gain (tackle by Ja'Marr Chase),2.02,0.38,15.0,2024,211
3.0,8:46,1.0,10.0,TEN 3,24.0,14.0,Tony Pollard left guard for 3 yards (tackle by Germaine Pratt and Akeem Davis-Gaither),-0.38,-0.56,15.0,2024,211
3.0,8:11,2.0,7.0,TEN 6,24.0,14.0,Tony Pollard left end for 15 yards (tackle by Jordan Battle),-0.56,0.34,15.0,2024,211
3.0,7:35,1.0,10.0,TEN 21,30.0,14.0,"Will Levis pass deep middle intended for Chigoziem Okonkwo is intercepted by Geno Stone at TEN-39 and returned for 39 yards, touchdown",0.34,-7.0,15.0,2024,211
3.0,7:24,,,TEN 15,31.0,14.0,Cade York kicks extra point good,0.0,0.0,15.0,2024,211
3.0,7:24,,,CIN 35,31.0,14.0,"Cade York kicks off 65 yards, touchback.",0.0,0.94,15.0,2024,211
3.0,7:24,1.0,10.0,TEN 30,31.0,14.0,Tony Pollard up the middle for 2 yards (tackle by Josh Newton),0.94,0.66,15.0,2024,211
3.0,6:51,2.0,8.0,TEN 32,31.0,14.0,Mason Rudolph pass complete short right to Chigoziem Okonkwo for 5 yards (tackle by Josh Newton),0.66,0.63,15.0,2024,211
3.0,6:06,3.0,3.0,TEN 37,31.0,14.0,"Penalty on TEN: Delay of Game, 5 yards (accepted) (no play)",0.63,-0.03,15.0,2024,211
3.0,5:47,3.0,8.0,TEN 32,31.0,14.0,"Mason Rudolph pass incomplete short right intended for Calvin Ridley (defended by Marco Wilson). Penalty on Cam Taylor-Britt: Illegal Contact, 5 yards (declined) . Penalty on Marco Wilson: Defensive Holding, 5 yards (accepted) (no play)",-0.03,1.4,15.0,2024,211
3.0,5:43,1.0,10.0,TEN 37,31.0,14.0,Calvin Ridley right end for 19 yards (tackle by Cam Taylor-Britt),1.4,2.65,15.0,2024,211
3.0,5:00,1.0,10.0,CIN 44,31.0,14.0,Tony Pollard up the middle for 1 yard (tackle by Jay Tufele and Akeem Davis-Gaither),2.65,2.25,15.0,2024,211
3.0,4:24,2.0,9.0,CIN 43,31.0,14.0,Mason Rudolph pass complete short right to Chigoziem Okonkwo for 8 yards (tackle by Myles Murphy),2.25,2.61,15.0,2024,211
3.0,3:46,3.0,1.0,CIN 35,31.0,14.0,Mason Rudolph up the middle for 2 yards (tackle by Germaine Pratt),2.61,3.38,15.0,2024,211
3.0,3:16,1.0,10.0,CIN 33,31.0,14.0,"Tony Pollard up the middle for -6 yards. Tony Pollard fumbles, ball out of bounds at CIN-39 (forced by McKinnley Jackson), recovered by Jordan Battle at CIN-39 and returned for 60 yards. Jordan Battle fumbles, ball out of bounds at TEN-1. Jordan Battle fumbles out of bounds",3.38,0.28,15.0,2024,211
3.0,3:03,1.0,10.0,TEN 20,31.0,14.0,Tony Pollard right tackle for 5 yards (tackle by Jordan Battle),0.28,0.41,15.0,2024,211
3.0,2:24,2.0,5.0,TEN 25,31.0,14.0,Mason Rudolph pass complete short right to Chigoziem Okonkwo for 7 yards (tackle by Josh Newton),0.41,1.07,15.0,2024,211
3.0,1:37,1.0,10.0,TEN 32,31.0,14.0,Mason Rudolph pass complete short right to Josh Whyle for 7 yards (tackle by Germaine Pratt and Jordan Battle),1.07,1.47,15.0,2024,211
3.0,1:11,2.0,3.0,TEN 39,31.0,14.0,Mason Rudolph pass complete short right to Josh Whyle for 7 yards (tackle by Josh Newton),1.47,1.99,15.0,2024,211
3.0,0:51,1.0,10.0,TEN 46,31.0,14.0,Mason Rudolph pass incomplete deep right intended for Calvin Ridley,1.99,1.45,15.0,2024,211
3.0,0:46,2.0,10.0,TEN 46,31.0,14.0,Mason Rudolph pass complete short left to Chigoziem Okonkwo for 7 yards (tackle by Vonn Bell and Mike Hilton),1.45,1.69,15.0,2024,211
3.0,0:05,3.0,3.0,CIN 47,31.0,14.0,Mason Rudolph pass complete short middle to Nick Westbrook-Ikhine for 5 yards (tackle by Akeem Davis-Gaither),1.69,2.79,15.0,2024,211
4.0,15:00,1.0,10.0,CIN 42,31.0,14.0,Tony Pollard right tackle for -5 yards (tackle by Mike Hilton),2.79,1.57,15.0,2024,211
4.0,14:24,2.0,15.0,CIN 47,31.0,14.0,"Mason Rudolph pass incomplete short right intended for Tony Pollard. Penalty on JC Latham: Offensive Holding, 10 yards (accepted) (no play)",1.57,0.22,15.0,2024,211
4.0,14:22,2.0,25.0,TEN 43,31.0,14.0,Mason Rudolph pass complete short left to Tyjae Spears for 12 yards (tackle by Mike Hilton),0.22,1.16,15.0,2024,211
4.0,13:36,3.0,13.0,CIN 45,31.0,14.0,"Mason Rudolph pass incomplete short middle intended for Chigoziem Okonkwo. Penalty on DJ Ivey: Defensive Pass Interference, 12 yards (accepted) (no play)",1.16,3.38,15.0,2024,211
4.0,13:33,1.0,10.0,CIN 33,31.0,14.0,Mason Rudolph pass complete deep middle to Chigoziem Okonkwo for 6 yards (tackle by Akeem Davis-Gaither),3.38,3.65,15.0,2024,211
4.0,13:11,2.0,4.0,CIN 27,31.0,14.0,Mason Rudolph pass short right intended for Chigoziem Okonkwo is intercepted by Josh Newton at CIN-17 and returned for 12 yards (tackle by Peter Skoronski),3.65,-0.87,15.0,2024,211
4.0,13:05,1.0,10.0,CIN 29,31.0,14.0,Joe Burrow pass complete short right to Ja'Marr Chase for 6 yards (tackle by Chidobe Awuzie and James Williams),0.87,1.14,15.0,2024,211
4.0,12:29,2.0,4.0,CIN 35,31.0,14.0,"Chase Brown up the middle for 11 yards (tackle by Daryl Worley and T'Vondre Sweat). Penalty on Jeffery Simmons: Illegal Use of Hands / Defense, 5 yards (accepted)",1.14,2.32,15.0,2024,211
4.0,12:12,1.0,10.0,TEN 49,31.0,14.0,Chase Brown up the middle for 1 yard (tackle by Jeffery Simmons),2.32,1.92,15.0,2024,211
4.0,11:30,2.0,9.0,TEN 48,31.0,14.0,Joe Burrow pass incomplete short middle intended for Andrei Iosivas (defended by Chidobe Awuzie),1.92,1.22,15.0,2024,211
4.0,11:25,,,,,,Timeout #1 by Cincinnati Bengals,,,15.0,2024,211
4.0,11:25,3.0,9.0,TEN 48,31.0,14.0,Joe Burrow pass complete short right to Ja'Marr Chase for 4 yards (tackle by Amani Hooker),1.22,0.33,15.0,2024,211
4.0,10:36,4.0,5.0,TEN 44,31.0,14.0,"Penalty on CIN: Delay of Game, 5 yards (accepted) (no play)",0.33,0.0,15.0,2024,211
4.0,10:36,4.0,10.0,TEN 49,31.0,14.0,"Ryan Rehkow punts 36 yards, fair catch by Mason Kinsey at TEN-13",0.0,0.32,15.0,2024,211
4.0,10:29,1.0,10.0,TEN 13,31.0,14.0,Mason Rudolph pass complete short left to Chigoziem Okonkwo for 7 yards (tackle by Cam Taylor-Britt),-0.32,0.22,15.0,2024,211
4.0,10:00,2.0,3.0,TEN 20,31.0,14.0,Mason Rudolph pass complete short right to Calvin Ridley for 21 yards (tackle by Cedric Johnson and Geno Stone),0.22,1.66,15.0,2024,211
4.0,9:30,1.0,10.0,TEN 41,31.0,14.0,Mason Rudolph pass complete short left to Bryce Oliver for 8 yards (tackle by Akeem Davis-Gaither and Geno Stone),1.66,2.2,15.0,2024,211
4.0,9:06,2.0,2.0,TEN 49,31.0,14.0,Mason Rudolph scrambles up the middle for 12 yards (tackle by Cam Taylor-Britt),2.2,2.98,15.0,2024,211
4.0,8:33,1.0,10.0,CIN 39,31.0,14.0,Mason Rudolph pass complete short middle to Mason Kinsey for 11 yards (tackle by Jordan Battle),2.98,3.71,15.0,2024,211
4.0,8:03,1.0,10.0,CIN 28,31.0,14.0,Mason Rudolph pass complete short middle to Josh Whyle for 7 yards (tackle by Akeem Davis-Gaither and Jordan Battle),3.71,4.11,15.0,2024,211
4.0,7:33,2.0,3.0,CIN 21,31.0,14.0,Mason Rudolph pass complete short middle to Tyjae Spears for 4 yards (tackle by Akeem Davis-Gaither and Geno Stone),4.11,4.44,15.0,2024,211
4.0,7:00,1.0,10.0,CIN 17,31.0,14.0,Mason Rudolph pass incomplete short left intended for Bryce Oliver (defended by Cam Taylor-Britt),4.44,3.85,15.0,2024,211
4.0,6:56,2.0,10.0,CIN 17,31.0,20.0,"Mason Rudolph pass complete short middle to Tyjae Spears for 17 yards, touchdown",3.85,7.0,15.0,2024,211
4.0,6:50,,,CIN 15,31.0,21.0,Nick Folk kicks extra point good,0.0,0.0,15.0,2024,211
4.0,6:50,,,TEN 35,31.0,21.0,"Nick Folk kicks off 64 yards, returned by Jermaine Burton for 32 yards (tackle by Kendell Brooks and James Williams)",0.0,1.14,15.0,2024,211
4.0,6:44,1.0,10.0,CIN 33,31.0,21.0,Joe Burrow pass incomplete short right intended for Andrei Iosivas (defended by Chidobe Awuzie),1.14,0.59,15.0,2024,211
4.0,6:39,2.0,10.0,CIN 33,31.0,21.0,Joe Burrow pass incomplete short left intended for Tee Higgins,0.59,-0.1,15.0,2024,211
4.0,6:36,3.0,10.0,CIN 33,31.0,21.0,Joe Burrow pass complete short right to Tee Higgins for 23 yards (tackle by Kenneth Murray),-0.1,2.65,15.0,2024,211
4.0,5:50,1.0,10.0,TEN 44,31.0,21.0,Chase Brown up the middle for 4 yards (tackle by Sebastian Joseph-Day),2.65,2.65,15.0,2024,211
