Quarter,Time,Down,ToGo,Location,IND,DEN,Detail,EPB,EPA,week,year,game_id
3.0,8:36,3.0,15.0,IND 13,13.0,7.0,"Jonathan Taylor right guard for no gain (tackle by Justin Strnad). Penalty on Mark Glowinski: Offensive Holding, 10 yards (declined)",-1.97,-2.49,15.0,2024,218
3.0,8:24,4.0,15.0,IND 13,13.0,7.0,"Rigoberto Sanchez punts 53 yards, returned by Marvin Mims for 27 yards (tackle by Nick Cross)",-2.49,-2.98,15.0,2024,218
3.0,8:11,1.0,10.0,IND 39,13.0,7.0,Bo Nix pass incomplete short left intended for Courtland Sutton (defended by Jaylon Jones),2.98,2.44,15.0,2024,218
3.0,8:06,2.0,10.0,IND 39,13.0,7.0,Marvin Mims right end for no gain (tackle by E.J. Speed),2.44,1.75,15.0,2024,218
3.0,7:27,3.0,10.0,IND 39,13.0,7.0,Bo Nix pass deep right intended for Courtland Sutton is intercepted by Nick Cross at IND-22 and returned for 5 yards,1.75,-0.74,15.0,2024,218
3.0,7:22,1.0,10.0,IND 27,13.0,7.0,"Anthony Richardson pass complete short right to Michael Pittman for 4 yards. Michael Pittman fumbles (forced by P.J. Locke), recovered by D.J. Jones at IND-31",0.74,-3.51,15.0,2024,218
3.0,7:14,1.0,10.0,IND 31,13.0,7.0,Javonte Williams left guard for 3 yards (tackle by E.J. Speed and Laiatu Latu),3.51,3.37,15.0,2024,218
3.0,6:33,2.0,7.0,IND 28,13.0,7.0,Jaleel McLaughlin right end for no gain (tackle by Kenny Moore),3.37,2.68,15.0,2024,218
3.0,6:03,3.0,7.0,IND 28,13.0,7.0,Bo Nix pass complete short right to Jaleel McLaughlin for 2 yards (tackle by Samuel Womack),2.68,1.79,15.0,2024,218
3.0,5:22,4.0,5.0,IND 26,13.0,10.0,Wil Lutz 44 yard field goal good,1.79,3.0,15.0,2024,218
3.0,5:18,,,DEN 35,13.0,10.0,"Wil Lutz kicks off 65 yards, touchback.",0.0,0.94,15.0,2024,218
3.0,5:18,1.0,10.0,IND 30,13.0,10.0,"Jonathan Taylor right tackle for 1 yard (tackle by Brandon Jones). Penalty on Danny Pinter: Offensive Holding, 10 yards (accepted)",0.94,0.34,15.0,2024,218
3.0,4:50,1.0,19.0,IND 21,13.0,10.0,Anthony Richardson pass complete short left to Jonathan Taylor for 4 yards (tackle by Brandon Jones),0.34,-0.28,15.0,2024,218
3.0,4:04,2.0,15.0,IND 25,13.0,10.0,Anthony Richardson pass incomplete short right intended for Michael Pittman (defended by Patrick Surtain),-0.28,-0.96,15.0,2024,218
3.0,4:02,3.0,15.0,IND 25,13.0,10.0,Anthony Richardson pass incomplete short left intended for Adonai Mitchell,-0.96,-1.7,15.0,2024,218
3.0,3:57,4.0,15.0,IND 25,13.0,10.0,"Rigoberto Sanchez punts 51 yards, returned by Marvin Mims for 9 yards (tackle by Cameron McGrone). Penalty on Cameron McGrone: Unnecessary Roughness / Defense, 15 yards (accepted)",-1.7,-2.13,15.0,2024,218
3.0,3:47,1.0,10.0,DEN 48,13.0,10.0,"Penalty on Luke Wattenberg: False Start, 5 yards (accepted) (no play)",2.13,1.8,15.0,2024,218
3.0,3:47,1.0,15.0,DEN 43,13.0,10.0,Audric Estime up the middle for 6 yards (tackle by Raekwon Davis and Zaire Franklin),1.8,1.72,15.0,2024,218
3.0,3:11,2.0,9.0,DEN 49,13.0,10.0,Bo Nix pass complete short middle to Lucas Krull for 8 yards (tackle by E.J. Speed and Julian Blackmon),1.72,2.08,15.0,2024,218
3.0,2:43,3.0,1.0,IND 43,13.0,10.0,Bo Nix right guard for 2 yards (tackle by E.J. Speed),2.08,2.85,15.0,2024,218
3.0,2:05,1.0,10.0,IND 41,13.0,10.0,Bo Nix pass complete short left to Javonte Williams for -1 yards (tackle by Zaire Franklin),2.85,2.17,15.0,2024,218
3.0,1:25,2.0,11.0,IND 42,13.0,10.0,Bo Nix pass incomplete deep right intended for Courtland Sutton,2.17,1.49,15.0,2024,218
3.0,1:16,3.0,11.0,IND 42,13.0,10.0,Bo Nix pass incomplete short left intended for Courtland Sutton,1.49,0.46,15.0,2024,218
3.0,1:13,4.0,11.0,IND 42,13.0,10.0,"Riley Dixon punts 42 yards, touchback.",0.46,-0.28,15.0,2024,218
3.0,1:04,1.0,10.0,IND 20,13.0,10.0,Jonathan Taylor right guard for 5 yards (tackle by Brandon Jones and Justin Strnad),0.28,0.41,15.0,2024,218
3.0,0:28,2.0,5.0,IND 25,13.0,10.0,Jonathan Taylor left guard for 2 yards (tackle by Jordan Jackson and D.J. Jones),0.41,-0.03,15.0,2024,218
4.0,15:00,3.0,3.0,IND 27,13.0,10.0,Anthony Richardson up the middle for -5 yards (tackle by Jonathon Cooper),-0.03,-1.9,15.0,2024,218
4.0,14:20,4.0,8.0,IND 22,13.0,10.0,"Rigoberto Sanchez punts 54 yards, returned by Marvin Mims for 61 yards (tackle by Cameron McGrone)",-1.9,-4.58,15.0,2024,218
4.0,14:01,1.0,10.0,IND 15,13.0,10.0,Bo Nix pass incomplete short right intended for Troy Franklin,4.58,3.95,15.0,2024,218
4.0,13:58,2.0,10.0,IND 15,13.0,16.0,"Bo Nix pass complete short left to Nate Adkins for 15 yards, touchdown",3.95,7.0,15.0,2024,218
4.0,13:51,,,IND 15,13.0,17.0,Wil Lutz kicks extra point good,0.0,0.0,15.0,2024,218
4.0,13:51,,,DEN 35,13.0,17.0,"Wil Lutz kicks off 65 yards, touchback.",0.0,0.94,15.0,2024,218
4.0,13:51,1.0,10.0,IND 30,13.0,17.0,Anthony Richardson pass complete short right to Kylen Granson for 14 yards (tackle by Cody Barton),0.94,1.86,15.0,2024,218
4.0,13:16,1.0,10.0,IND 44,13.0,17.0,"Anthony Richardson pass incomplete short middle intended for Andrew Ogletree. Penalty on Cody Barton: Defensive Pass Interference, 13 yards (accepted) (no play)",1.86,2.72,15.0,2024,218
4.0,13:12,1.0,10.0,DEN 43,13.0,17.0,Jonathan Taylor up the middle for 3 yards (tackle by Cody Barton and D.J. Jones),2.72,2.58,15.0,2024,218
4.0,12:39,2.0,7.0,DEN 40,13.0,23.0,"Adonai Mitchell for -10 yards. Adonai Mitchell fumbles (forced by Nik Bonitto), recovered by Nik Bonitto at 50 and returned for 50 yards, touchdown. Penalty on Nik Bonitto: Unsportsmanlike Conduct / Defense, 15 yards (accepted)",2.58,-7.0,15.0,2024,218
4.0,12:29,2.0,18.0,IND 18,13.0,24.0,Wil Lutz kicks extra point good,0.0,0.0,15.0,2024,218
4.0,12:29,,,DEN 35,13.0,24.0,"Wil Lutz kicks off 65 yards, touchback.",0.0,0.94,15.0,2024,218
4.0,12:29,1.0,10.0,IND 30,13.0,24.0,Anthony Richardson pass complete short middle to Michael Pittman for 16 yards (tackle by Cody Barton),0.94,1.99,15.0,2024,218
4.0,11:48,1.0,10.0,IND 46,13.0,24.0,"Anthony Richardson pass incomplete deep right intended for Adonai Mitchell. Penalty on Patrick Surtain: Illegal Use of Hands / Defense, 5 yards (accepted) (no play)",1.99,2.32,15.0,2024,218
4.0,11:41,1.0,10.0,DEN 49,13.0,24.0,Jonathan Taylor right tackle for no gain (tackle by Justin Strnad and Malcolm Roach),2.32,1.78,15.0,2024,218
4.0,11:03,2.0,10.0,DEN 49,13.0,24.0,Anthony Richardson pass incomplete short left intended for Adonai Mitchell (defended by Ja'Quan McMillian),1.78,1.09,15.0,2024,218
4.0,10:58,3.0,10.0,DEN 49,13.0,24.0,Anthony Richardson pass complete short left to Josh Downs for 4 yards (tackle by Brandon Jones),1.09,0.27,15.0,2024,218
4.0,10:14,4.0,6.0,DEN 45,13.0,24.0,Anthony Richardson pass incomplete short right intended for Josh Downs,0.27,-1.93,15.0,2024,218
4.0,10:10,1.0,10.0,DEN 45,13.0,24.0,Audric Estime up the middle for 1 yard (tackle by E.J. Speed and Grover Stewart),1.93,1.52,15.0,2024,218
4.0,9:34,2.0,9.0,DEN 46,13.0,24.0,Bo Nix pass complete short left to Audric Estime for 5 yards (tackle by Nick Cross),1.52,1.49,15.0,2024,218
4.0,8:51,3.0,4.0,IND 49,13.0,24.0,Bo Nix pass incomplete short middle intended for Troy Franklin (defended by Grover Stewart),1.49,0.0,15.0,2024,218
4.0,8:47,4.0,4.0,IND 49,13.0,24.0,"Riley Dixon punts 49 yards, touchback.",0.0,-0.28,15.0,2024,218
4.0,8:39,1.0,10.0,IND 20,13.0,24.0,Anthony Richardson pass complete short left to Kylen Granson for 15 yards (tackle by P.J. Locke),0.28,1.27,15.0,2024,218
4.0,8:11,1.0,10.0,IND 35,13.0,24.0,"Anthony Richardson scrambles up the middle for no gain (tackle by Cody Barton). Penalty on Bernhard Raimann: Offensive Holding, 10 yards (accepted) (no play)",1.27,0.61,15.0,2024,218
4.0,7:46,1.0,20.0,IND 25,13.0,24.0,"Anthony Richardson pass short left intended for Will Mallory is intercepted by Patrick Surtain at IND-39 and returned for 4 yards (tackle by Josh Downs). Penalty on Bernhard Raimann: Offensive Holding, 10 yards (declined)",0.61,-3.25,15.0,2024,218
4.0,7:39,1.0,10.0,IND 35,13.0,24.0,Audric Estime up the middle for no gain (tackle by Grover Stewart),3.25,2.7,15.0,2024,218
4.0,7:02,2.0,10.0,IND 35,13.0,24.0,Bo Nix pass complete short left to Marvin Mims for 6 yards (tackle by Jaylon Jones and Laiatu Latu),2.7,2.81,15.0,2024,218
4.0,6:17,3.0,4.0,IND 29,13.0,24.0,Bo Nix pass incomplete deep right intended for Troy Franklin (defended by Samuel Womack),2.81,1.56,15.0,2024,218
4.0,6:11,4.0,4.0,IND 29,13.0,24.0,"Penalty on Chris Lammons: Defensive Offside, 5 yards (accepted) (no play)",1.56,3.97,15.0,2024,218
4.0,6:07,1.0,10.0,IND 24,13.0,24.0,Audric Estime up the middle for 2 yards (tackle by Grant Stuard),3.97,3.7,15.0,2024,218
4.0,6:00,,,,,,Timeout #1 by Indianapolis Colts,,,15.0,2024,218
4.0,6:00,2.0,8.0,IND 22,13.0,24.0,Javonte Williams left guard for 2 yards (tackle by Dayo Odeyingbo),3.7,3.27,15.0,2024,218
4.0,5:54,,,,,,Timeout #2 by Indianapolis Colts,,,15.0,2024,218
4.0,5:54,3.0,6.0,IND 20,13.0,30.0,"Bo Nix pass complete deep right to Courtland Sutton for 20 yards, touchdown",3.27,7.0,15.0,2024,218
4.0,5:48,,,IND 15,13.0,31.0,Wil Lutz kicks extra point good,0.0,0.0,15.0,2024,218
4.0,5:48,,,DEN 35,13.0,31.0,"Wil Lutz kicks off 65 yards, touchback.",0.0,0.94,15.0,2024,218
4.0,5:48,1.0,10.0,IND 30,13.0,31.0,Anthony Richardson pass complete short middle to Michael Pittman for 11 yards (tackle by Kris Abrams-Draine),0.94,1.66,15.0,2024,218
4.0,5:13,1.0,10.0,IND 41,13.0,31.0,Anthony Richardson pass incomplete short left intended for Josh Downs,1.66,1.12,15.0,2024,218
4.0,5:09,2.0,10.0,IND 41,13.0,31.0,Anthony Richardson pass complete deep middle to Anthony Gould for 23 yards (tackle by Brandon Jones),1.12,3.18,15.0,2024,218
