Quarter,Time,Down,ToGo,Location,NYJ,JAX,Detail,EPB,EPA,week,year,game_id
1.0,8:43,1.0,3.0,NYJ 3,0.0,6.0,"Mac Jones pass complete short left to Brian Thomas for 3 yards, touchdown",6.51,7.0,15.0,2024,214
1.0,8:37,,,NYJ 15,0.0,7.0,Cam Little kicks extra point good,0.0,0.0,15.0,2024,214
1.0,8:37,,,JAX 35,0.0,7.0,"Cam Little kicks off 65 yards, touchback.",0.0,0.94,15.0,2024,214
1.0,8:37,1.0,10.0,NYJ 30,0.0,7.0,Aaron Rodgers scrambles left end for 5 yards (tackle by Darnell Savage),0.94,1.07,15.0,2024,214
1.0,7:55,2.0,5.0,NYJ 35,0.0,7.0,Breece Hall right end for no gain (tackle by DaVon Hamilton),1.07,0.37,15.0,2024,214
1.0,7:16,3.0,5.0,NYJ 35,0.0,7.0,Aaron Rodgers pass incomplete deep left intended for Garrett Wilson,0.37,-1.04,15.0,2024,214
1.0,7:11,4.0,5.0,NYJ 35,0.0,7.0,Ashtyn Davis right end for 21 yards (tackle by Antonio Johnson),-1.04,2.65,15.0,2024,214
1.0,6:24,1.0,10.0,JAX 44,0.0,7.0,Braelon Allen right tackle for 3 yards (tackle by Darnell Savage),2.65,2.52,15.0,2024,214
1.0,5:48,2.0,7.0,JAX 41,0.0,7.0,Aaron Rodgers pass complete deep left to Garrett Wilson for 19 yards (tackle by Tyson Campbell),2.52,4.11,15.0,2024,214
1.0,5:06,1.0,10.0,JAX 22,6.0,7.0,"Aaron Rodgers pass complete deep middle to Garrett Wilson for 22 yards, touchdown",4.11,7.0,15.0,2024,214
1.0,5:01,,,JAX 15,7.0,7.0,Anders Carlson kicks extra point good,0.0,0.0,15.0,2024,214
1.0,5:01,,,NYJ 35,7.0,7.0,"Anders Carlson kicks off 65 yards, returned by Devin Duvernay for 34 yards (tackle by Isaiah Davis)",0.0,1.2,15.0,2024,214
1.0,4:54,1.0,10.0,JAX 34,7.0,7.0,"Tank Bigsby right guard for 4 yards. Tank Bigsby fumbles (forced by Jalen Mills), recovered by Mitch Morse at JAC-40 (tackle by Jalen Mills). Penalty on Will McDonald: Illegal Use of Hands / Defense, 5 yards (accepted)",1.2,1.93,15.0,2024,214
1.0,4:12,1.0,10.0,JAX 45,7.0,7.0,Travis Etienne up the middle for 5 yards (tackle by Qwan'tez Stiggers),1.93,2.06,15.0,2024,214
1.0,3:55,2.0,5.0,NYJ 50,7.0,7.0,"Mac Jones pass complete short left to Brenton Strange for no gain (tackle by Haason Reddick). Penalty on Anton Harrison: Offensive Holding, 10 yards (accepted) (no play)",2.06,0.71,15.0,2024,214
1.0,3:39,2.0,15.0,JAX 40,7.0,7.0,Tank Bigsby up the middle for 1 yard (tackle by Javon Kinlaw),0.71,0.17,15.0,2024,214
1.0,3:07,3.0,14.0,JAX 41,7.0,7.0,Mac Jones pass deep middle intended for Devin Duvernay is intercepted by Jalen Mills at NYJ-12 and returned for no gain (tackle by Devin Duvernay),0.17,0.35,15.0,2024,214
1.0,2:59,1.0,10.0,NYJ 12,7.0,7.0,Breece Hall left end for 5 yards (tackle by Maason Smith and Antonio Johnson),-0.35,-0.23,15.0,2024,214
1.0,2:19,2.0,5.0,NYJ 17,7.0,7.0,Aaron Rodgers pass incomplete deep middle intended for Davante Adams,-0.23,-0.84,15.0,2024,214
1.0,2:11,3.0,5.0,NYJ 17,7.0,7.0,"Aaron Rodgers scrambles left end for 7 yards (tackle by Foyesade Oluokun). Penalty on Foyesade Oluokun: Face Mask (15 Yards), 15 yards (accepted)",-0.84,1.53,15.0,2024,214
1.0,1:38,1.0,10.0,NYJ 39,7.0,7.0,Isaiah Davis right end for 4 yards (tackle by Tyler Lacy and DJ Coleman),1.53,1.53,15.0,2024,214
1.0,1:06,2.0,6.0,NYJ 43,7.0,7.0,"Aaron Rodgers pass incomplete short right intended for Isaiah Davis. Penalty on Foyesade Oluokun: Defensive Pass Interference, 12 yards (accepted) (no play)",1.53,2.59,15.0,2024,214
1.0,0:53,1.0,10.0,JAX 45,7.0,7.0,"Aaron Rodgers pass complete short left to Isaiah Davis for no gain (tackle by Devin Lloyd). Penalty on Olumuyiwa Fashanu: Offensive Holding, 10 yards (accepted) (no play)",2.59,1.93,15.0,2024,214
1.0,0:23,1.0,20.0,NYJ 45,7.0,7.0,Aaron Rodgers pass incomplete deep right,1.93,0.69,15.0,2024,214
1.0,0:14,2.0,20.0,NYJ 45,7.0,7.0,Breece Hall up the middle for 2 yards (tackle by Darnell Savage and Foyesade Oluokun),0.69,0.3,15.0,2024,214
2.0,15:00,3.0,18.0,NYJ 47,7.0,7.0,Aaron Rodgers pass complete short middle to Breece Hall for 14 yards (tackle by Yasir Abdullah),0.3,0.66,15.0,2024,214
2.0,14:12,4.0,4.0,JAX 39,7.0,7.0,"Penalty on Joe Tippmann: False Start, 5 yards (accepted) (no play)",0.66,0.33,15.0,2024,214
2.0,13:58,4.0,9.0,JAX 44,7.0,7.0,"Thomas Morstead punts 31 yards, fair catch by Devin Duvernay at JAC-13",0.33,0.32,15.0,2024,214
2.0,13:48,1.0,10.0,JAX 13,7.0,7.0,Travis Etienne right end for 1 yard (tackle by Sauce Gardner and Will McDonald),-0.32,-0.68,15.0,2024,214
2.0,13:09,2.0,9.0,JAX 14,7.0,7.0,Mac Jones pass complete short right to Travis Etienne for 5 yards (tackle by Quincy Williams),-0.68,-0.71,15.0,2024,214
2.0,12:32,3.0,4.0,JAX 19,7.0,7.0,Mac Jones pass complete short right to Parker Washington for 16 yards (tackle by Chuck Clark),-0.71,1.27,15.0,2024,214
2.0,11:59,1.0,10.0,JAX 35,7.0,7.0,Mac Jones pass complete short right to Brenton Strange for 5 yards (tackle by Chuck Clark),1.27,1.4,15.0,2024,214
2.0,11:33,2.0,5.0,JAX 40,7.0,7.0,Travis Etienne up the middle for 4 yards (tackle by Quincy Williams),1.4,1.22,15.0,2024,214
2.0,10:56,3.0,1.0,JAX 44,7.0,7.0,Tank Bigsby right tackle for 7 yards (tackle by Kendall Sheffield),1.22,2.32,15.0,2024,214
2.0,10:16,1.0,10.0,NYJ 49,7.0,7.0,Mac Jones pass incomplete short left intended for Tank Bigsby,2.32,1.78,15.0,2024,214
2.0,10:07,2.0,10.0,NYJ 49,7.0,7.0,Mac Jones pass complete short left to Brian Thomas for 8 yards (tackle by Solomon Thomas),1.78,2.15,15.0,2024,214
2.0,9:33,3.0,2.0,NYJ 41,7.0,7.0,Tank Bigsby up the middle for 3 yards (tackle by Eric Watts),2.15,3.05,15.0,2024,214
2.0,8:52,1.0,10.0,NYJ 38,7.0,7.0,Travis Etienne right end for 2 yards (tackle by Kendall Sheffield),3.05,2.78,15.0,2024,214
2.0,8:12,2.0,8.0,NYJ 36,7.0,7.0,"Mac Jones pass complete short left to Brian Thomas for no gain (tackle by Quincy Williams). Penalty on Anton Harrison: Offensive Holding, 10 yards (accepted) (no play)",2.78,1.43,15.0,2024,214
2.0,7:47,2.0,18.0,NYJ 46,7.0,7.0,Travis Etienne up the middle for 3 yards (tackle by Quincy Williams and Jamien Sherwood),1.43,1.16,15.0,2024,214
2.0,7:07,3.0,15.0,NYJ 43,7.0,7.0,"Mac Jones pass complete short left to Brenton Strange for no gain (tackle by Jamien Sherwood and Kendall Sheffield). Penalty on Solomon Thomas: Defensive Offside, 5 yards (accepted) (no play)",1.16,1.82,15.0,2024,214
2.0,6:44,3.0,10.0,NYJ 38,7.0,7.0,Mac Jones scrambles up the middle for 13 yards (tackle by Haason Reddick),1.82,3.91,15.0,2024,214
2.0,6:08,1.0,10.0,NYJ 25,7.0,7.0,Travis Etienne right end for 9 yards (tackle by Tony Adams and Micheal Clemons),3.91,4.75,15.0,2024,214
2.0,5:38,2.0,1.0,NYJ 16,7.0,7.0,Travis Etienne right end for 10 yards (tackle by Sauce Gardner),4.75,5.83,15.0,2024,214
2.0,4:57,1.0,6.0,NYJ 6,7.0,7.0,Tank Bigsby up the middle for 1 yard (tackle by Tony Adams and Chazz Surratt),5.83,5.15,15.0,2024,214
2.0,4:16,2.0,5.0,NYJ 5,7.0,7.0,Mac Jones sacked by Javon Kinlaw for -7 yards,5.15,3.1,15.0,2024,214
2.0,3:27,3.0,12.0,NYJ 12,7.0,7.0,Mac Jones pass complete short left to Travis Etienne for 2 yards (tackle by Jamien Sherwood),3.1,2.76,15.0,2024,214
2.0,2:44,4.0,10.0,NYJ 10,7.0,10.0,Cam Little 28 yard field goal good,2.76,3.0,15.0,2024,214
2.0,2:41,,,JAX 35,7.0,10.0,"Cam Little kicks off 65 yards, touchback.",0.0,0.28,15.0,2024,214
2.0,2:41,1.0,10.0,NYJ 20,7.0,10.0,Braelon Allen up the middle for 2 yards (tackle by Josh Hines-Allen),0.28,0.0,15.0,2024,214
2.0,2:00,2.0,8.0,NYJ 22,7.0,10.0,Aaron Rodgers pass incomplete short middle intended for Davante Adams,0.0,-0.69,15.0,2024,214
2.0,1:55,3.0,8.0,NYJ 22,7.0,10.0,Aaron Rodgers pass incomplete short right intended for Garrett Wilson (defended by Darnell Savage),-0.69,-1.9,15.0,2024,214
2.0,1:50,4.0,8.0,NYJ 22,7.0,10.0,"Thomas Morstead punts 54 yards, returned by Devin Duvernay for 13 yards (tackle by Ashtyn Davis and Marcelino McCrary-Ball). Penalty on Andrew Wingard: Unnecessary Roughness / Offense, 15 yards (accepted)",-1.9,-0.41,15.0,2024,214
2.0,1:36,1.0,10.0,JAX 22,7.0,10.0,Mac Jones pass complete short left to Brian Thomas for 7 yards (tackle by Chuck Clark),0.41,0.81,15.0,2024,214
2.0,1:13,2.0,3.0,JAX 29,7.0,10.0,Mac Jones pass complete short middle to Brenton Strange for 5 yards (tackle by Chazz Surratt),0.81,1.2,15.0,2024,214
2.0,0:53,1.0,10.0,JAX 34,7.0,10.0,Mac Jones pass complete short right to Parker Washington for 9 yards,1.2,1.87,15.0,2024,214
2.0,0:51,2.0,1.0,JAX 43,7.0,10.0,Mac Jones pass complete short left to Travis Etienne for 5 yards (tackle by Chazz Surratt),1.87,2.13,15.0,2024,214
2.0,0:43,,,,,,Timeout #1 by Jacksonville Jaguars,,,15.0,2024,214
2.0,0:43,1.0,10.0,JAX 48,7.0,10.0,"Mac Jones pass incomplete deep right intended for Brian Thomas. Penalty on Sauce Gardner: Defensive Pass Interference, 19 yards (accepted) (no play)",2.13,3.38,15.0,2024,214
2.0,0:38,1.0,10.0,NYJ 33,7.0,10.0,Mac Jones pass complete short left to Brenton Strange for 3 yards (tackle by Kendall Sheffield),3.38,3.24,15.0,2024,214
2.0,0:33,,,,,,Timeout #2 by Jacksonville Jaguars,,,15.0,2024,214
2.0,0:33,2.0,7.0,NYJ 30,7.0,10.0,Mac Jones scrambles right end for 9 yards (tackle by Chazz Surratt),3.24,4.17,15.0,2024,214
2.0,0:27,1.0,10.0,NYJ 21,7.0,10.0,Mac Jones pass complete short left to Brenton Strange for 8 yards (tackle by Isaiah Oliver),4.17,4.95,15.0,2024,214
2.0,0:20,2.0,2.0,NYJ 13,7.0,10.0,Mac Jones pass complete short right to Devin Duvernay for 8 yards,4.95,6.06,15.0,2024,214
2.0,0:10,,,,,,Timeout #1 by New York Jets,,,15.0,2024,214
2.0,0:10,1.0,5.0,NYJ 5,7.0,10.0,Mac Jones pass incomplete short right intended for Brenton Strange (defended by Quincy Williams),6.06,5.15,15.0,2024,214
2.0,0:06,2.0,5.0,NYJ 5,7.0,10.0,Mac Jones pass incomplete short left intended for Brian Thomas,5.15,4.26,15.0,2024,214
2.0,0:01,3.0,5.0,NYJ 5,7.0,13.0,Cam Little 23 yard field goal good,4.26,3.0,15.0,2024,214
3.0,15:00,,,JAX 35,7.0,13.0,"Cam Little kicks off 65 yards, touchback.",0.0,0.94,15.0,2024,214
3.0,15:00,1.0,10.0,NYJ 30,7.0,13.0,Aaron Rodgers pass complete short right to Davante Adams for 12 yards (tackle by Tyson Campbell),0.94,1.73,15.0,2024,214
3.0,14:21,1.0,10.0,NYJ 42,7.0,13.0,Breece Hall up the middle for -2 yards (tackle by Foyesade Oluokun),1.73,0.92,15.0,2024,214
3.0,13:40,2.0,12.0,NYJ 40,7.0,13.0,Breece Hall left end for 18 yards (tackle by Tyson Campbell),0.92,2.79,15.0,2024,214
3.0,13:01,1.0,10.0,JAX 42,7.0,13.0,"Aaron Rodgers pass incomplete deep right intended for Garrett Wilson. Penalty on Montaric Brown: Defensive Pass Interference, 30 yards (accepted) (no play)",2.79,4.78,15.0,2024,214
3.0,12:52,1.0,10.0,JAX 12,7.0,13.0,Isaiah Davis up the middle for 1 yard (tackle by Tyler Lacy),4.78,4.27,15.0,2024,214
3.0,12:14,2.0,9.0,JAX 11,7.0,13.0,Aaron Rodgers pass complete short middle to Davante Adams for no gain (tackle by Tyson Campbell),4.27,3.29,15.0,2024,214
3.0,11:18,3.0,9.0,JAX 11,7.0,13.0,Aaron Rodgers sacked by Jeremiah Ledbetter for -14 yards,3.29,1.8,15.0,2024,214
3.0,10:32,4.0,23.0,JAX 25,10.0,13.0,Anders Carlson 43 yard field goal good,1.8,3.0,15.0,2024,214
3.0,10:28,,,NYJ 35,10.0,13.0,"Anders Carlson kicks off 65 yards, touchback.",0.0,0.94,15.0,2024,214
3.0,10:28,1.0,10.0,JAX 30,10.0,13.0,Mac Jones pass incomplete short middle,0.94,0.39,15.0,2024,214
3.0,10:24,2.0,10.0,JAX 30,10.0,13.0,"Mac Jones pass complete short middle to Travis Etienne for no gain (tackle by Tony Adams). Penalty on Brian Thomas: Offensive Pass Interference, 10 yards (accepted) (no play)",0.39,-0.96,15.0,2024,214
3.0,9:57,2.0,20.0,JAX 20,10.0,13.0,Mac Jones pass complete short middle to Brian Thomas for 41 yards (tackle by Chuck Clark and Sauce Gardner),-0.96,2.98,15.0,2024,214
3.0,9:19,1.0,10.0,NYJ 39,10.0,13.0,Tank Bigsby up the middle for 14 yards (tackle by Isaiah Oliver),2.98,3.91,15.0,2024,214
3.0,8:54,1.0,10.0,NYJ 25,10.0,13.0,Tank Bigsby up the middle for no gain (tackle by Solomon Thomas),3.91,3.36,15.0,2024,214
3.0,8:21,2.0,10.0,NYJ 25,10.0,13.0,Mac Jones pass incomplete deep right intended for Josh Reynolds,3.36,2.68,15.0,2024,214
3.0,8:13,3.0,10.0,NYJ 25,10.0,13.0,Mac Jones pass incomplete short right intended for Brian Thomas,2.68,1.8,15.0,2024,214
3.0,8:09,4.0,10.0,NYJ 25,10.0,16.0,Cam Little 43 yard field goal good,1.8,3.0,15.0,2024,214
3.0,8:05,,,JAX 35,10.0,16.0,"Cam Little kicks off 65 yards, touchback.",0.0,0.94,15.0,2024,214
3.0,8:05,1.0,10.0,NYJ 30,10.0,16.0,Aaron Rodgers pass complete short left to Breece Hall for 7 yards (tackle by DJ Coleman),0.94,1.34,15.0,2024,214
3.0,7:27,2.0,3.0,NYJ 37,10.0,16.0,Breece Hall right end for 6 yards (tackle by Antonio Johnson and DJ Coleman),1.34,1.8,15.0,2024,214
3.0,6:48,1.0,10.0,NYJ 43,10.0,16.0,Aaron Rodgers pass incomplete deep left intended for Allen Lazard (defended by Darnell Savage),1.8,1.25,15.0,2024,214
3.0,6:40,2.0,10.0,NYJ 43,10.0,16.0,Isaiah Davis up the middle for 6 yards (tackle by Devin Lloyd and Josh Hines-Allen),1.25,1.35,15.0,2024,214
3.0,5:54,3.0,4.0,NYJ 49,10.0,16.0,Aaron Rodgers pass complete short middle to Davante Adams for 43 yards (tackle by Tyson Campbell),1.35,5.37,15.0,2024,214
3.0,5:06,1.0,8.0,JAX 8,10.0,16.0,"Aaron Rodgers pass incomplete short left intended for Garrett Wilson. Penalty on Tyson Campbell: Defensive Pass Interference, 4 yards (accepted) (no play)",5.37,6.28,15.0,2024,214
3.0,5:01,1.0,4.0,JAX 4,10.0,16.0,"Aaron Rodgers pass complete short right to Davante Adams for no gain, touchdown Replay Assistant challenged the runner broke the plane ruling, and the original play was overturned. Aaron Rodgers pass complete short right to Davante Adams for 3 yards (tackle by Darnell Savage and Foyesade Oluokun)",6.28,5.91,15.0,2024,214
3.0,4:38,2.0,1.0,JAX 1,16.0,16.0,"Aaron Rodgers pass complete short right to Davante Adams for 1 yard, touchdown",5.91,7.0,15.0,2024,214
3.0,4:33,,,JAX 15,17.0,16.0,Anders Carlson kicks extra point good,0.0,0.0,15.0,2024,214
3.0,4:33,,,NYJ 35,17.0,16.0,"Anders Carlson kicks off 65 yards, touchback.",0.0,0.28,15.0,2024,214
3.0,4:33,1.0,10.0,JAX 20,17.0,16.0,Tank Bigsby up the middle for 3 yards (tackle by Qwan'tez Stiggers),0.28,0.14,15.0,2024,214
3.0,4:18,2.0,7.0,JAX 23,17.0,16.0,Mac Jones pass incomplete deep right intended for Brian Thomas (defended by Sauce Gardner),0.14,-0.56,15.0,2024,214
3.0,3:52,3.0,7.0,JAX 23,17.0,16.0,Mac Jones pass complete short right to Brenton Strange for 6 yards (tackle by Isaiah Oliver),-0.56,-1.44,15.0,2024,214
3.0,3:08,4.0,1.0,JAX 29,17.0,16.0,"Logan Cooke punts 57 yards, fair catch by Xavier Gipson at NYJ-14",-1.44,0.28,15.0,2024,214
3.0,3:01,1.0,10.0,NYJ 14,17.0,16.0,Breece Hall right end for -4 yards (tackle by Travon Walker),-0.28,-1.07,15.0,2024,214
3.0,2:18,2.0,14.0,NYJ 10,17.0,16.0,Aaron Rodgers scrambles up the middle for 18 yards (tackle by Jarrian Jones),-1.07,0.81,15.0,2024,214
3.0,1:31,1.0,10.0,NYJ 28,17.0,16.0,Isaiah Davis right end for 2 yards (tackle by DaVon Hamilton),0.81,0.53,15.0,2024,214
3.0,0:51,2.0,8.0,NYJ 30,17.0,16.0,Aaron Rodgers pass complete short left to Isaiah Davis for 2 yards (tackle by Foyesade Oluokun),0.53,0.1,15.0,2024,214
3.0,0:04,3.0,6.0,NYJ 32,17.0,16.0,Aaron Rodgers pass incomplete short middle intended for Allen Lazard,0.1,-1.24,15.0,2024,214
4.0,15:00,4.0,6.0,NYJ 32,17.0,16.0,"Thomas Morstead punts 40 yards, returned by Devin Duvernay for -1 yards (tackle by Qwan'tez Stiggers and Jarrick Bernard-Converse)",-1.24,-0.74,15.0,2024,214
4.0,14:50,1.0,10.0,JAX 27,17.0,16.0,Mac Jones pass complete short middle to Brenton Strange for 8 yards (tackle by Tony Adams),0.74,1.28,15.0,2024,214
4.0,14:17,2.0,2.0,JAX 35,17.0,16.0,Travis Etienne up the middle for 3 yards (tackle by Leonard Taylor),1.28,1.47,15.0,2024,214
4.0,14:03,1.0,10.0,JAX 38,17.0,16.0,Travis Etienne left end for 5 yards (tackle by Jamien Sherwood and Leonard Taylor),1.47,1.6,15.0,2024,214
4.0,13:35,2.0,5.0,JAX 43,17.0,16.0,Mac Jones pass complete short left to Brian Thomas for 6 yards (tackle by Quincy Williams),1.6,2.19,15.0,2024,214
4.0,13:06,1.0,10.0,JAX 49,17.0,16.0,Mac Jones pass complete short left to Devin Duvernay for 28 yards (tackle by Chuck Clark),2.19,4.04,15.0,2024,214
4.0,12:16,1.0,10.0,NYJ 23,17.0,16.0,Tank Bigsby left end for 3 yards (tackle by Tony Adams and Kendall Sheffield),4.04,3.9,15.0,2024,214
4.0,11:45,2.0,7.0,NYJ 20,17.0,16.0,Tank Bigsby left guard for 1 yard (tackle by Tony Adams),3.9,3.34,15.0,2024,214
4.0,11:04,3.0,6.0,NYJ 19,17.0,22.0,"Mac Jones pass complete short middle to Brian Thomas for 19 yards, touchdown",3.34,7.0,15.0,2024,214
4.0,10:58,,,NYJ 2,17.0,22.0,Two Point Attempt: Mac Jones pass incomplete intended for intended for Parker Washington,1.0,-1.0,15.0,2024,214
4.0,10:58,,,JAX 35,17.0,22.0,"Cam Little kicks off 65 yards, touchback.",0.0,0.94,15.0,2024,214
4.0,10:58,1.0,10.0,NYJ 30,17.0,22.0,Isaiah Davis left end for 11 yards (tackle by Andre Cisco),0.94,1.66,15.0,2024,214
4.0,10:22,1.0,10.0,NYJ 41,17.0,22.0,Aaron Rodgers scrambles right end for 10 yards (tackle by Jarrian Jones),1.66,2.32,15.0,2024,214
4.0,9:40,1.0,10.0,JAX 49,17.0,22.0,Aaron Rodgers pass incomplete deep right intended for Allen Lazard (defended by Jarrian Jones),2.32,1.78,15.0,2024,214
4.0,9:27,2.0,10.0,JAX 49,17.0,22.0,Aaron Rodgers pass complete short left to Garrett Wilson for 15 yards (tackle by Andre Cisco),1.78,3.31,15.0,2024,214
4.0,8:46,1.0,10.0,JAX 34,17.0,22.0,Breece Hall right end for 4 yards (tackle by Travon Walker and Maason Smith),3.31,3.31,15.0,2024,214
4.0,8:06,2.0,6.0,JAX 30,17.0,22.0,Aaron Rodgers pass incomplete deep right intended for Davante Adams (defended by Ventrell Miller) (defended by Jarrian Jones),3.31,2.61,15.0,2024,214
4.0,7:58,3.0,6.0,JAX 30,17.0,22.0,Aaron Rodgers pass incomplete deep left intended for Allen Lazard (defended by Andre Cisco),2.61,1.43,15.0,2024,214
4.0,7:52,4.0,6.0,JAX 30,17.0,22.0,Anders Carlson 48 yard field goal no good,1.43,-1.47,15.0,2024,214
4.0,7:47,1.0,10.0,JAX 38,17.0,22.0,Travis Etienne up the middle for 5 yards (tackle by Jamien Sherwood),1.47,1.6,15.0,2024,214
4.0,7:12,2.0,5.0,JAX 43,17.0,22.0,Mac Jones pass complete short middle to Brenton Strange for 6 yards (tackle by Tony Adams),1.6,2.19,15.0,2024,214
4.0,6:36,1.0,10.0,JAX 49,17.0,22.0,Travis Etienne up the middle for 1 yard (tackle by Jamien Sherwood),2.19,1.78,15.0,2024,214
4.0,6:00,2.0,9.0,NYJ 50,17.0,22.0,Mac Jones sacked by Solomon Thomas for -2 yards,1.78,0.83,15.0,2024,214
4.0,5:13,3.0,11.0,JAX 48,17.0,22.0,Mac Jones pass complete short right to Brian Thomas for 6 yards (tackle by Tony Adams and Isaiah Oliver),0.83,0.2,15.0,2024,214
4.0,4:20,4.0,5.0,NYJ 46,17.0,22.0,Logan Cooke punts 37 yards downed by Daniel Thomas,0.2,0.32,15.0,2024,214
4.0,4:19,1.0,10.0,NYJ 13,17.0,22.0,Aaron Rodgers pass complete short left to Davante Adams for 4 yards (tackle by Tyson Campbell),-0.32,-0.3,15.0,2024,214
4.0,3:47,2.0,6.0,NYJ 17,17.0,22.0,Aaron Rodgers pass complete short left to Jeremy Ruckert for 12 yards (tackle by Antonio Johnson),-0.3,0.87,15.0,2024,214
4.0,3:38,1.0,10.0,NYJ 29,17.0,22.0,Aaron Rodgers pass incomplete short left intended for Jeremy Ruckert,0.87,0.33,15.0,2024,214
4.0,3:34,2.0,10.0,NYJ 29,23.0,22.0,"Aaron Rodgers pass complete deep middle to Davante Adams for 71 yards, touchdown",0.33,7.0,15.0,2024,214
4.0,3:24,,,JAX 2,25.0,22.0,Two Point Attempt: Aaron Rodgers pass complete to to Davante Adams for no gain,1.0,1.0,15.0,2024,214
4.0,3:24,,,NYJ 35,25.0,22.0,"Anders Carlson kicks off 66 yards, returned by Devin Duvernay for 29 yards (tackle by Eric Watts). Penalty on Eric Watts: Illegal Formation, 5 yards (accepted)",0.0,1.14,15.0,2024,214
4.0,3:17,1.0,10.0,JAX 33,25.0,22.0,Mac Jones pass incomplete short right,1.14,0.59,15.0,2024,214
4.0,3:11,2.0,10.0,JAX 33,25.0,22.0,Mac Jones pass complete short middle to Brenton Strange for 8 yards (tackle by Isaiah Oliver and Jamien Sherwood),0.59,0.96,15.0,2024,214
4.0,2:46,3.0,2.0,JAX 41,25.0,22.0,Mac Jones pass complete short middle to Parker Washington for 29 yards (tackle by Chuck Clark),0.96,3.58,15.0,2024,214
4.0,2:36,1.0,10.0,NYJ 30,25.0,22.0,Mac Jones pass incomplete deep right intended for Parker Washington,3.58,3.03,15.0,2024,214
4.0,2:31,2.0,10.0,NYJ 30,25.0,22.0,Mac Jones scrambles up the middle for 5 yards (tackle by Sauce Gardner),3.03,3.01,15.0,2024,214
4.0,2:00,3.0,5.0,NYJ 25,25.0,22.0,Mac Jones pass incomplete short right intended for Brian Thomas,3.01,1.85,15.0,2024,214
4.0,1:56,4.0,5.0,NYJ 25,25.0,25.0,Cam Little 43 yard field goal good,1.85,3.0,15.0,2024,214
4.0,1:51,,,JAX 35,25.0,25.0,"Cam Little kicks off 65 yards, touchback.",0.0,0.94,15.0,2024,214
4.0,1:51,1.0,10.0,NYJ 30,25.0,25.0,Aaron Rodgers pass incomplete short left intended for Jeremy Ruckert (defended by Tyson Campbell),0.94,0.39,15.0,2024,214
4.0,1:47,2.0,10.0,NYJ 30,25.0,25.0,Aaron Rodgers pass incomplete deep middle intended for Garrett Wilson,0.39,-0.3,15.0,2024,214
4.0,1:41,,,,,,Timeout #1 by New York Jets,,,15.0,2024,214
4.0,1:41,3.0,10.0,NYJ 30,25.0,25.0,Aaron Rodgers pass complete deep left to Davante Adams for 23 yards,-0.3,2.46,15.0,2024,214
4.0,1:34,1.0,10.0,JAX 47,25.0,25.0,Aaron Rodgers pass incomplete short right,2.46,1.91,15.0,2024,214
