Quarter,Time,Down,ToGo,Location,TAM,LAC,Detail,EPB,EPA,week,year,game_id
1.0,6:18,1.0,10.0,TAM 30,7.0,7.0,Baker Mayfield pass complete short right to Mike Evans for 5 yards (tackle by Tarheeb Still),0.94,1.07,15.0,2024,221
1.0,5:42,2.0,5.0,TAM 35,7.0,7.0,Bucky Irving right guard for 2 yards (tackle by Troy Dye),1.07,0.63,15.0,2024,221
1.0,5:00,3.0,3.0,TAM 37,7.0,7.0,Baker Mayfield pass complete short middle to Mike Evans for 12 yards (tackle by Elijah Molden and Kristian Fulton),0.63,2.19,15.0,2024,221
1.0,4:33,1.0,10.0,TAM 49,7.0,7.0,Baker Mayfield pass complete deep middle to Sterling Shepard for 16 yards (tackle by Elijah Molden),2.19,3.25,15.0,2024,221
1.0,3:48,1.0,10.0,LAC 35,7.0,7.0,Bucky Irving up the middle for 6 yards (tackle by Derwin James),3.25,3.51,15.0,2024,221
1.0,3:05,2.0,4.0,LAC 29,7.0,7.0,"Baker Mayfield pass complete short left to Jalen McMillan for no gain (tackle by Kristian Fulton). Penalty on Graham Barton: Offensive Holding, 10 yards (accepted) (no play)",3.51,2.16,15.0,2024,221
1.0,2:32,2.0,14.0,LAC 39,7.0,7.0,Bucky Irving left tackle for 2 yards (tackle by Poona Ford),2.16,1.75,15.0,2024,221
1.0,1:52,3.0,12.0,LAC 37,7.0,7.0,Baker Mayfield pass complete deep middle to Jalen McMillan for 21 yards (tackle by Kristian Fulton),1.75,4.51,15.0,2024,221
1.0,1:13,1.0,10.0,LAC 16,7.0,7.0,Bucky Irving right end for 5 yards (tackle by Elijah Molden),4.51,4.76,15.0,2024,221
1.0,0:33,2.0,5.0,LAC 11,7.0,7.0,"Baker Mayfield pass incomplete short right intended for Rachaad White. Penalty on Joey Bosa: Defensive Offside, 5 yards (accepted) (no play)",4.76,5.83,15.0,2024,221
1.0,0:28,1.0,6.0,LAC 6,7.0,7.0,Baker Mayfield pass complete short left to Bucky Irving for -1 yards (tackle by Elijah Molden),5.83,4.76,15.0,2024,221
2.0,15:00,2.0,7.0,LAC 7,7.0,7.0,Rachaad White left end for no gain (tackle by Kristian Fulton),4.76,3.81,15.0,2024,221
2.0,14:13,3.0,7.0,LAC 7,7.0,7.0,Baker Mayfield scrambles left end for 4 yards (tackle by Elijah Molden),3.81,3.04,15.0,2024,221
2.0,13:44,4.0,3.0,LAC 3,10.0,7.0,Chase McLaughlin 22 yard field goal good,3.04,3.0,15.0,2024,221
2.0,13:41,,,TAM 35,10.0,7.0,"Jack Browning kicks off 63 yards, returned by Derius Davis for 24 yards (tackle by J.J. Russell)",0.0,0.67,15.0,2024,221
2.0,13:36,1.0,10.0,LAC 26,10.0,7.0,Justin Herbert pass complete short right to Tucker Fisk for 7 yards (tackle by Ryan Neal),0.67,1.07,15.0,2024,221
2.0,12:54,2.0,3.0,LAC 33,10.0,7.0,Justin Herbert pass complete deep left to Ladd McConkey for 20 yards (tackle by Lavonte David),1.07,2.46,15.0,2024,221
2.0,12:08,1.0,10.0,TAM 47,10.0,7.0,Kimani Vidal right tackle for 2 yards (tackle by Lavonte David),2.46,2.18,15.0,2024,221
2.0,11:27,2.0,8.0,TAM 45,10.0,7.0,Justin Herbert pass complete deep right to Stone Smartt for 31 yards (tackle by Kaevon Merriweather),2.18,4.65,15.0,2024,221
2.0,10:33,1.0,10.0,TAM 14,10.0,7.0,Justin Herbert sacked by Lavonte David for -11 yards,4.65,2.61,15.0,2024,221
2.0,10:09,2.0,21.0,TAM 25,10.0,7.0,"Justin Herbert pass complete short right to Kimani Vidal for no gain (tackle by Lavonte David). Penalty on Rashawn Slater: Illegal Formation, 5 yards (accepted) (no play)",2.61,1.93,15.0,2024,221
2.0,9:38,2.0,26.0,TAM 30,10.0,7.0,Justin Herbert pass incomplete short left,1.93,1.29,15.0,2024,221
2.0,9:32,3.0,26.0,TAM 30,10.0,7.0,Kimani Vidal up the middle for 7 yards (tackle by Jamel Dean and J.J. Russell),1.29,1.93,15.0,2024,221
2.0,8:51,4.0,19.0,TAM 23,10.0,10.0,Cameron Dicker 41 yard field goal good,1.93,3.0,15.0,2024,221
2.0,8:47,,,LAC 35,10.0,10.0,"Cameron Dicker kicks off 65 yards, touchback.",0.0,0.94,15.0,2024,221
2.0,8:47,1.0,10.0,TAM 30,10.0,10.0,Baker Mayfield pass short middle intended for Mike Evans is intercepted by Tarheeb Still at TB-45 and returned for 18 yards (tackle by Cade Otton),0.94,-3.78,15.0,2024,221
2.0,8:39,1.0,10.0,TAM 27,10.0,10.0,Gus Edwards left end for 7 yards (tackle by Joe Tryon-Shoyinka),3.78,4.18,15.0,2024,221
2.0,7:57,2.0,3.0,TAM 20,10.0,10.0,Justin Herbert pass complete short middle to Stone Smartt for 7 yards (tackle by Lavonte David),4.18,4.71,15.0,2024,221
2.0,7:18,1.0,10.0,TAM 13,10.0,16.0,"Justin Herbert pass complete short right to Quentin Johnston for 13 yards, touchdown",4.71,7.0,15.0,2024,221
2.0,7:12,,,TAM 15,10.0,17.0,Cameron Dicker kicks extra point good,0.0,0.0,15.0,2024,221
2.0,7:12,,,LAC 35,10.0,17.0,"Cameron Dicker kicks off 67 yards, returned by Sean Tucker for 37 yards (tackle by Nick Niemann)",0.0,1.27,15.0,2024,221
2.0,7:06,1.0,10.0,TAM 35,10.0,17.0,Rachaad White left guard for 5 yards (tackle by Troy Dye),1.27,1.4,15.0,2024,221
2.0,6:20,2.0,5.0,TAM 40,10.0,17.0,Baker Mayfield pass complete short right to Jalen McMillan for 4 yards (tackle by Kristian Fulton),1.4,1.22,15.0,2024,221
2.0,5:43,3.0,1.0,TAM 44,10.0,17.0,"Rachaad White left tackle for 1 yard. Rachaad White fumbles (forced by Joey Bosa), recovered by Elijah Molden at LAC-49",1.22,-2.19,15.0,2024,221
2.0,5:36,1.0,10.0,LAC 49,10.0,17.0,"Justin Herbert pass incomplete deep left intended for Stone Smartt. Penalty on Zyon McCollum: Defensive Holding, 5 yards (accepted) (no play)",2.19,2.52,15.0,2024,221
2.0,5:30,1.0,10.0,TAM 46,10.0,17.0,Gus Edwards right tackle for no gain (tackle by Lavonte David and YaYa Diaby),2.52,1.98,15.0,2024,221
2.0,4:47,,,,,,Timeout #1 by Los Angeles Chargers,,,15.0,2024,221
2.0,4:47,2.0,10.0,TAM 46,10.0,17.0,Justin Herbert pass incomplete short left intended for Quentin Johnston,1.98,1.29,15.0,2024,221
2.0,4:45,3.0,10.0,TAM 46,10.0,17.0,Justin Herbert pass complete short right to Stone Smartt for 4 yards (tackle by Zyon McCollum),1.29,0.46,15.0,2024,221
2.0,3:54,4.0,6.0,TAM 42,10.0,17.0,"Penalty on LAC: Delay of Game, 5 yards (declined)",0.46,0.46,15.0,2024,221
2.0,3:50,4.0,6.0,TAM 42,10.0,17.0,"JK Scott punts 42 yards, touchback.",0.46,-0.28,15.0,2024,221
2.0,3:37,1.0,10.0,TAM 20,10.0,17.0,"Bucky Irving right guard for 4 yards (tackle by Joey Bosa). Penalty on Cam Hart: Illegal Use of Hands / Defense, 5 yards (accepted)",0.28,0.87,15.0,2024,221
2.0,3:10,1.0,10.0,TAM 29,10.0,17.0,Baker Mayfield pass complete short middle to Mike Evans for 9 yards (tackle by Derwin James),0.87,1.54,15.0,2024,221
2.0,2:38,2.0,1.0,TAM 38,10.0,17.0,Baker Mayfield sacked by Troy Dye for -5 yards,1.54,0.17,15.0,2024,221
2.0,2:00,3.0,6.0,TAM 33,10.0,17.0,Baker Mayfield pass complete short middle to Mike Evans for 8 yards (tackle by Cam Hart),0.17,1.66,15.0,2024,221
2.0,1:36,1.0,10.0,TAM 41,10.0,17.0,Baker Mayfield pass complete short right to Jalen McMillan for 5 yards (tackle by Kristian Fulton),1.66,1.8,15.0,2024,221
2.0,1:35,2.0,5.0,TAM 46,10.0,17.0,Baker Mayfield pass incomplete short middle intended for Jalen McMillan (defended by Daiyan Henley),1.8,1.09,15.0,2024,221
2.0,1:32,3.0,5.0,TAM 46,10.0,17.0,Baker Mayfield scrambles right end for 21 yards (tackle by Marcus Maye),1.09,3.38,15.0,2024,221
2.0,1:24,1.0,10.0,LAC 33,10.0,17.0,Rachaad White up the middle for 11 yards (tackle by Daiyan Henley and Tarheeb Still),3.38,4.11,15.0,2024,221
2.0,0:59,1.0,10.0,LAC 22,10.0,17.0,Baker Mayfield pass incomplete deep left intended for Mike Evans (defended by Cam Hart),4.11,3.56,15.0,2024,221
2.0,0:55,,,,,,Timeout #2 by Los Angeles Chargers,,,15.0,2024,221
2.0,0:55,2.0,10.0,LAC 22,10.0,17.0,Baker Mayfield pass complete short middle to Mike Evans for 3 yards (tackle by Derwin James and Ja'Sir Taylor),3.56,3.26,15.0,2024,221
2.0,0:45,,,,,,Timeout #1 by Tampa Bay Buccaneers,,,15.0,2024,221
2.0,0:45,3.0,7.0,LAC 19,10.0,17.0,Baker Mayfield pass incomplete short left,3.26,2.18,15.0,2024,221
2.0,0:37,4.0,7.0,LAC 19,13.0,17.0,Chase McLaughlin 37 yard field goal good,2.18,3.0,15.0,2024,221
2.0,0:33,,,TAM 35,13.0,17.0,"Jack Browning kicks off 66 yards, returned by Derius Davis for 27 yards (tackle by Josh Hayes)",0.0,0.67,15.0,2024,221
2.0,0:28,1.0,10.0,LAC 26,13.0,17.0,Justin Herbert pass complete short right to Josh Palmer for 5 yards (tackle by Zyon McCollum),0.67,0.81,15.0,2024,221
2.0,0:24,2.0,5.0,LAC 31,13.0,17.0,Justin Herbert sacked by Logan Hall for -5 yards,0.81,-0.56,15.0,2024,221
3.0,15:00,,,TAM 35,13.0,17.0,"Jack Browning kicks off 65 yards, touchback.",0.0,0.94,15.0,2024,221
3.0,15:00,1.0,10.0,LAC 30,13.0,17.0,Gus Edwards right tackle for 3 yards (tackle by Lavonte David),0.94,0.8,15.0,2024,221
3.0,14:21,2.0,7.0,LAC 33,13.0,17.0,Justin Herbert pass complete short left to Quentin Johnston for 3 yards (tackle by Jamel Dean),0.8,0.5,15.0,2024,221
3.0,13:38,3.0,4.0,LAC 36,13.0,17.0,Justin Herbert pass incomplete deep left intended for Stone Smartt,0.5,-0.98,15.0,2024,221
3.0,13:31,4.0,4.0,LAC 36,13.0,17.0,"JK Scott punts 57 yards, returned by Trey Palmer for 10 yards (tackle by Deane Leonard)",-0.98,0.06,15.0,2024,221
3.0,13:17,1.0,10.0,TAM 17,13.0,17.0,Bucky Irving up the middle for 6 yards (tackle by Tarheeb Still),-0.06,0.35,15.0,2024,221
3.0,12:41,2.0,4.0,TAM 23,13.0,17.0,Bucky Irving up the middle for 5 yards (tackle by Troy Dye and Khalil Mack),0.35,0.81,15.0,2024,221
3.0,12:02,1.0,10.0,TAM 28,13.0,17.0,Bucky Irving left end for 18 yards (tackle by Elijah Molden),0.81,1.99,15.0,2024,221
3.0,11:21,1.0,10.0,TAM 46,13.0,17.0,Baker Mayfield pass complete short right to Bucky Irving for -3 yards (tackle by Poona Ford),1.99,1.05,15.0,2024,221
3.0,10:35,2.0,13.0,TAM 43,19.0,17.0,"Baker Mayfield pass complete deep left to Mike Evans for 57 yards, touchdown",1.05,7.0,15.0,2024,221
3.0,10:23,,,LAC 15,20.0,17.0,Chase McLaughlin kicks extra point good,0.0,0.0,15.0,2024,221
3.0,10:23,,,TAM 35,20.0,17.0,"Jack Browning kicks off 66 yards, returned by Derius Davis for 30 yards (tackle by Tyrek Funderburk)",0.0,0.87,15.0,2024,221
3.0,10:17,1.0,10.0,LAC 29,20.0,17.0,Justin Herbert pass incomplete short right intended for Josh Palmer,0.87,0.33,15.0,2024,221
3.0,10:12,2.0,10.0,LAC 29,20.0,17.0,Justin Herbert pass complete short middle to Kimani Vidal for 10 yards (tackle by Joe Tryon-Shoyinka and Lavonte David),0.33,1.53,15.0,2024,221
3.0,9:34,1.0,10.0,LAC 39,20.0,17.0,Kimani Vidal left guard for no gain (tackle by Joe Tryon-Shoyinka),1.53,0.99,15.0,2024,221
3.0,8:53,2.0,10.0,LAC 39,20.0,17.0,Justin Herbert pass complete short left to Quentin Johnston for 4 yards (tackle by Jamel Dean),0.99,0.83,15.0,2024,221
3.0,8:10,3.0,6.0,LAC 43,20.0,17.0,Justin Herbert pass incomplete short right,0.83,-0.52,15.0,2024,221
3.0,8:02,4.0,6.0,LAC 43,20.0,17.0,"JK Scott punts 42 yards downed by Ja'Sir Taylor. Penalty on Ja'Sir Taylor: Kick Catch Interference, 15 yards (accepted)",-0.52,-0.94,15.0,2024,221
3.0,7:53,1.0,10.0,TAM 30,20.0,17.0,Bucky Irving right guard for 54 yards (tackle by Tarheeb Still),0.94,4.51,15.0,2024,221
3.0,7:09,1.0,10.0,LAC 16,20.0,17.0,Bucky Irving left end for no gain (tackle by Otito Ogbonnia),4.51,3.9,15.0,2024,221
3.0,6:24,2.0,10.0,LAC 16,20.0,17.0,Rachaad White right guard for 1 yard (tackle by Poona Ford),3.9,3.22,15.0,2024,221
3.0,5:25,3.0,9.0,LAC 15,20.0,17.0,"Baker Mayfield pass complete short left to Rachaad White for 6 yards (tackle by Elijah Molden and Daiyan Henley). Penalty on Jalen McMillan: Unsportsmanlike Conduct / Offense, 15 yards (accepted)",3.22,1.87,15.0,2024,221
3.0,5:10,4.0,18.0,LAC 24,23.0,17.0,Chase McLaughlin 42 yard field goal good,1.87,3.0,15.0,2024,221
3.0,5:06,,,TAM 35,23.0,17.0,"Jack Browning kicks off 64 yards, returned by Derius Davis for 19 yards (tackle by Ryan Miller). Penalty on Deane Leonard: Offensive Illegal Block Above the Waist, 10 yards (accepted)",0.0,-0.38,15.0,2024,221
3.0,5:01,1.0,10.0,LAC 10,23.0,17.0,Gus Edwards up the middle for no gain (tackle by Christian Izien),-0.38,-0.78,15.0,2024,221
3.0,4:42,2.0,10.0,LAC 10,23.0,17.0,Justin Herbert pass deep left intended for Quentin Johnston is intercepted by Jamel Dean at LAC-42 and returned for no gain (tackle by Quentin Johnston),-0.78,-2.79,15.0,2024,221
3.0,4:34,1.0,10.0,LAC 42,23.0,17.0,Bucky Irving right end for 4 yards (tackle by Troy Dye),2.79,2.78,15.0,2024,221
3.0,4:01,2.0,6.0,LAC 38,23.0,17.0,"Baker Mayfield scrambles up the middle for no gain (tackle by Tony Jefferson). Penalty on Graham Barton: Offensive Holding, 10 yards (accepted) (no play)",2.78,1.43,15.0,2024,221
3.0,3:27,2.0,16.0,LAC 48,23.0,17.0,"Baker Mayfield pass incomplete short middle intended for Trey Palmer. Penalty on Teair Tart: Roughing the Passer, 15 yards (accepted) (no play)",1.43,3.38,15.0,2024,221
3.0,3:23,1.0,10.0,LAC 33,23.0,17.0,Bucky Irving left end for 5 yards (tackle by Troy Dye and Daiyan Henley),3.38,3.51,15.0,2024,221
3.0,2:42,2.0,5.0,LAC 28,23.0,17.0,Bucky Irving up the middle for 3 yards (tackle by Daiyan Henley and Morgan Fox),3.51,3.2,15.0,2024,221
3.0,2:09,3.0,2.0,LAC 25,23.0,17.0,"Baker Mayfield scrambles up the middle for no gain (tackle by Elijah Molden). Penalty on Ben Bredeson: Offensive Holding, 10 yards (accepted) (no play)",3.2,1.88,15.0,2024,221
3.0,1:42,3.0,12.0,LAC 35,29.0,17.0,"Baker Mayfield pass complete deep middle to Mike Evans for 35 yards, touchdown",1.88,7.0,15.0,2024,221
3.0,1:36,,,LAC 15,30.0,17.0,Chase McLaughlin kicks extra point good,0.0,0.0,15.0,2024,221
3.0,1:36,,,TAM 35,30.0,17.0,"Jack Browning kicks off 61 yards, returned by Derius Davis for 29 yards (tackle by Ryan Miller)",0.0,1.14,15.0,2024,221
3.0,1:30,1.0,10.0,LAC 33,30.0,17.0,Gus Edwards right end for 1 yard (tackle by Anthony Nelson and Lavonte David),1.14,0.73,15.0,2024,221
3.0,0:51,2.0,9.0,LAC 34,30.0,17.0,Justin Herbert pass complete short middle to Ladd McConkey for 11 yards (tackle by Lavonte David),0.73,1.93,15.0,2024,221
3.0,0:25,1.0,10.0,LAC 45,30.0,17.0,Justin Herbert pass complete short right to Josh Palmer for 5 yards (tackle by Zyon McCollum),1.93,2.06,15.0,2024,221
4.0,15:00,2.0,5.0,LAC 50,30.0,17.0,Justin Herbert pass complete short right to Quentin Johnston for 12 yards (tackle by Lavonte David),2.06,3.05,15.0,2024,221
4.0,14:35,1.0,10.0,TAM 38,30.0,17.0,Justin Herbert pass incomplete short left intended for Quentin Johnston (defended by Jamel Dean),3.05,2.51,15.0,2024,221
4.0,14:29,2.0,10.0,TAM 38,30.0,17.0,Justin Herbert pass complete short middle to Stone Smartt for 4 yards (tackle by Joe Tryon-Shoyinka),2.51,2.34,15.0,2024,221
4.0,13:46,3.0,6.0,TAM 34,30.0,17.0,Justin Herbert pass incomplete short left intended for Ladd McConkey,2.34,1.07,15.0,2024,221
4.0,13:41,4.0,6.0,TAM 34,30.0,17.0,Justin Herbert pass incomplete short left intended for Ladd McConkey,1.07,-1.2,15.0,2024,221
4.0,13:38,1.0,10.0,TAM 34,30.0,17.0,Rachaad White right guard for 5 yards (tackle by Daiyan Henley),1.2,1.33,15.0,2024,221
4.0,12:56,2.0,5.0,TAM 39,30.0,17.0,Rachaad White left guard for 2 yards (tackle by Daiyan Henley and Junior Colson),1.33,0.89,15.0,2024,221
4.0,12:10,3.0,3.0,TAM 41,30.0,17.0,Baker Mayfield pass complete short right to Mike Evans for 23 yards (tackle by Tarheeb Still),0.89,3.18,15.0,2024,221
4.0,11:27,1.0,10.0,LAC 36,30.0,17.0,Rachaad White up the middle for 4 yards (tackle by Junior Colson),3.18,3.18,15.0,2024,221
4.0,10:47,2.0,6.0,LAC 32,30.0,17.0,Bucky Irving left end for 3 yards (tackle by Derwin James),3.18,2.87,15.0,2024,221
4.0,10:00,3.0,3.0,LAC 29,30.0,17.0,Rachaad White left tackle for 5 yards (tackle by Elijah Molden),2.87,3.97,15.0,2024,221
4.0,9:13,1.0,10.0,LAC 24,30.0,17.0,Bucky Irving left guard for no gain (tackle by Derwin James and Otito Ogbonnia),3.97,3.43,15.0,2024,221
4.0,8:29,2.0,10.0,LAC 24,30.0,17.0,Baker Mayfield pass complete short middle to Cade Otton for 13 yards (tackle by Tony Jefferson and Marcus Maye),3.43,4.84,15.0,2024,221
4.0,7:43,1.0,10.0,LAC 11,36.0,17.0,"Baker Mayfield pass complete short right to Rachaad White for 11 yards, touchdown",4.84,7.0,15.0,2024,221
4.0,7:37,,,LAC 15,37.0,17.0,Chase McLaughlin kicks extra point good,0.0,0.0,15.0,2024,221
4.0,7:37,,,TAM 35,37.0,17.0,"Jack Browning kicks off 59 yards, returned by Derius Davis for 24 yards (tackle by Josh Hayes and Chris Braswell)",0.0,0.94,15.0,2024,221
4.0,7:32,1.0,10.0,LAC 30,37.0,17.0,"Justin Herbert pass incomplete deep left intended for Ladd McConkey. Penalty on Tykee Smith: Defensive Pass Interference, 18 yards (accepted) (no play)",0.94,2.13,15.0,2024,221
4.0,7:26,1.0,10.0,LAC 48,37.0,17.0,Justin Herbert sacked by and Lavonte David for -9 yards and Logan Hall for -9 yards,2.13,0.37,15.0,2024,221
4.0,6:57,2.0,19.0,LAC 39,37.0,17.0,Justin Herbert pass complete short right to DJ Chark for 12 yards,0.37,1.29,15.0,2024,221
4.0,6:19,3.0,7.0,TAM 49,37.0,17.0,Justin Herbert pass incomplete deep right intended for Quentin Johnston,1.29,0.0,15.0,2024,221
4.0,6:15,4.0,7.0,TAM 49,37.0,17.0,Justin Herbert pass complete short middle to DJ Chark for 4 yards (tackle by Joe Tryon-Shoyinka),0.0,-1.93,15.0,2024,221
4.0,6:11,1.0,10.0,TAM 45,37.0,17.0,Rachaad White left end for 9 yards (tackle by Kristian Fulton and Junior Colson),1.93,2.6,15.0,2024,221
4.0,5:30,2.0,1.0,LAC 46,37.0,17.0,Rachaad White up the middle for 8 yards (tackle by Tony Jefferson),2.6,3.05,15.0,2024,221
4.0,4:48,1.0,10.0,LAC 38,37.0,17.0,Rachaad White right guard for 7 yards (tackle by Tony Jefferson),3.05,3.45,15.0,2024,221
4.0,4:04,2.0,3.0,LAC 31,37.0,17.0,Rachaad White left end for -1 yards (tackle by Derwin James),3.45,2.61,15.0,2024,221
4.0,3:55,3.0,4.0,LAC 32,37.0,17.0,Sean Tucker left guard for 4 yards (tackle by Junior Colson),2.61,3.71,15.0,2024,221
4.0,3:50,,,,,,Timeout #1 by Los Angeles Chargers,,,15.0,2024,221
4.0,3:50,1.0,10.0,LAC 28,37.0,17.0,Sean Tucker right end for no gain (tackle by Daiyan Henley and Tarheeb Still),3.71,3.17,15.0,2024,221
4.0,3:44,,,,,,Timeout #2 by Los Angeles Chargers,,,15.0,2024,221
4.0,3:44,2.0,10.0,LAC 28,37.0,17.0,Sean Tucker right guard for 2 yards (tackle by Otito Ogbonnia),3.17,2.74,15.0,2024,221
4.0,3:40,,,,,,Timeout #3 by Los Angeles Chargers,,,15.0,2024,221
4.0,3:40,3.0,8.0,LAC 26,37.0,17.0,Baker Mayfield pass complete short left to Ryan Miller for 1 yard (tackle by Junior Colson),2.74,1.8,15.0,2024,221
4.0,2:55,4.0,7.0,LAC 25,40.0,17.0,Chase McLaughlin 43 yard field goal good,1.8,3.0,15.0,2024,221
4.0,2:51,,,TAM 35,40.0,17.0,"Jack Browning kicks off 58 yards, returned by Derius Davis for 29 yards. Derius Davis fumbles (forced by Vi Jones), recovered by Shaquille Quarterman at LAC-37",0.0,1.07,15.0,2024,221
4.0,2:46,1.0,10.0,LAC 32,40.0,17.0,"Taylor Heinicke pass complete short left to Stone Smartt for 4 yards. Stone Smartt fumbles (forced by Vi Jones), recovered by Kaevon Merriweather at LAC-38 and returned for 1 yard (tackle by Bradley Bozeman)",1.07,-3.12,15.0,2024,221
4.0,2:37,1.0,10.0,LAC 37,40.0,17.0,Sean Tucker up the middle for 2 yards (tackle by Daiyan Henley),3.12,2.84,15.0,2024,221
4.0,2:00,2.0,8.0,LAC 35,40.0,17.0,Sean Tucker right guard for 2 yards (tackle by Otito Ogbonnia and Bud Dupree),2.84,2.41,15.0,2024,221
4.0,1:17,3.0,6.0,LAC 33,40.0,17.0,Sean Tucker right tackle for 3 yards (tackle by Junior Colson and Troy Dye),2.41,1.48,15.0,2024,221
4.0,0:31,4.0,3.0,LAC 30,40.0,17.0,Sean Tucker right guard for 4 yards (tackle by Teair Tart),1.48,3.31,15.0,2024,221
