Quarter,Time,Down,ToGo,Location,MIA,HOU,Detail,EPB,EPA,week,year,game_id
1.0,7:58,2.0,10.0,MIA 34,0.0,0.0,C.J. Stroud pass complete short left to Nico Collins for 8 yards (tackle by Kendall Fuller),2.77,3.14,15.0,2024,213
1.0,7:18,3.0,2.0,MIA 26,0.0,0.0,C.J. Stroud pass incomplete short left intended for Joe Mixon,3.14,1.86,15.0,2024,213
1.0,7:12,4.0,2.0,MIA 26,0.0,3.0,Ka'imi Fairbairn 44 yard field goal good,1.86,3.0,15.0,2024,213
1.0,7:09,,,HOU 35,0.0,3.0,"Ka'imi Fairbairn kicks off 66 yards, returned by Malik Washington for 29 yards (tackle by Del'Shawn Phillips and Kris Boyd). Penalty on Channing Tindall: Offensive Holding, 10 yards (accepted)",0.0,0.04,15.0,2024,213
1.0,6:59,1.0,10.0,MIA 18,0.0,3.0,"Penalty on Folorunso Fatukasi: Encroachment, 5 yards (accepted) (no play)",0.04,0.88,15.0,2024,213
1.0,6:59,1.0,5.0,MIA 23,0.0,3.0,De'Von Achane left tackle for 3 yards (tackle by Derek Barnett and Christian Harris),0.88,0.68,15.0,2024,213
1.0,6:19,2.0,2.0,MIA 26,0.0,3.0,Tua Tagovailoa pass incomplete short right intended for Tyreek Hill,0.68,-0.14,15.0,2024,213
1.0,6:16,3.0,2.0,MIA 26,0.0,3.0,Tua Tagovailoa pass incomplete short left intended for Tyreek Hill,-0.14,-1.63,15.0,2024,213
1.0,6:10,4.0,2.0,MIA 26,0.0,3.0,"Jake Bailey punts 59 yards, returned by Tank Dell for 23 yards (tackle by Quinton Bell)",-1.63,-1.47,15.0,2024,213
1.0,5:57,1.0,10.0,HOU 38,0.0,3.0,C.J. Stroud pass incomplete short right,1.47,0.92,15.0,2024,213
1.0,5:49,2.0,10.0,HOU 38,0.0,3.0,C.J. Stroud pass complete short left to John Metchie for 7 yards (tackle by Emmanuel Ogbah),0.92,1.16,15.0,2024,213
1.0,5:07,3.0,3.0,HOU 45,0.0,3.0,C.J. Stroud sacked by Zach Sieler for -13 yards,1.16,-1.24,15.0,2024,213
1.0,4:22,4.0,16.0,HOU 32,0.0,3.0,"Tommy Townsend punts 50 yards, fair catch by Malik Washington at MIA-18",-1.24,-0.04,15.0,2024,213
1.0,4:15,1.0,10.0,MIA 18,0.0,3.0,De'Von Achane right tackle for 2 yards (tackle by Derek Stingley and Jimmie Ward),0.04,-0.13,15.0,2024,213
1.0,3:45,2.0,8.0,MIA 20,0.0,3.0,Tua Tagovailoa pass complete short middle to Jonnu Smith for 10 yards (tackle by Christian Harris and Will Anderson),-0.13,0.94,15.0,2024,213
1.0,3:08,1.0,10.0,MIA 30,0.0,3.0,Tua Tagovailoa pass complete short left to De'Von Achane for 9 yards (tackle by Dylan Horton and Calen Bullock),0.94,1.61,15.0,2024,213
1.0,2:24,2.0,1.0,MIA 39,0.0,3.0,De'Von Achane right tackle for 1 yard (tackle by Mario Edwards),1.61,1.6,15.0,2024,213
1.0,1:42,1.0,10.0,MIA 40,0.0,3.0,De'Von Achane up the middle for 5 yards (tackle by Henry To'oTo'o),1.6,1.73,15.0,2024,213
1.0,0:59,2.0,5.0,MIA 45,0.0,3.0,Tua Tagovailoa pass complete short left to De'Von Achane for 13 yards (tackle by Kamari Lassiter),1.73,2.79,15.0,2024,213
1.0,0:51,1.0,10.0,HOU 42,0.0,3.0,"Penalty on Jackson Carman: Unnecessary Roughness / Offense, 15 yards (offset) Penalty on Denico Autry: Unnecessary Roughness / Defense, 15 yards (offset)",2.79,2.79,15.0,2024,213
1.0,0:35,1.0,10.0,HOU 42,0.0,3.0,De'Von Achane left end for 5 yards (tackle by Eric Murray),2.79,2.92,15.0,2024,213
2.0,15:00,2.0,5.0,HOU 37,0.0,3.0,Tua Tagovailoa pass complete short right to Raheem Mostert for 7 yards (tackle by Jimmie Ward),2.92,3.58,15.0,2024,213
2.0,14:19,1.0,10.0,HOU 30,0.0,3.0,Tua Tagovailoa pass complete short left to Malik Washington for 5 yards (tackle by Jimmie Ward),3.58,3.71,15.0,2024,213
2.0,13:42,2.0,5.0,HOU 25,0.0,3.0,Raheem Mostert right guard for -2 yards (tackle by Tim Settle),3.71,2.74,15.0,2024,213
2.0,12:59,3.0,7.0,HOU 27,0.0,3.0,"Tua Tagovailoa scrambles left end for no gain (tackle by Kamari Lassiter and Mario Edwards). Penalty on Robert Jones: Offensive Holding, 9 yards (accepted) (no play)",2.74,1.55,15.0,2024,213
2.0,12:26,3.0,16.0,HOU 36,0.0,3.0,Tua Tagovailoa pass complete short right to De'Von Achane for -1 yards (tackle by Danielle Hunter and Kamari Lassiter),1.55,0.79,15.0,2024,213
2.0,11:40,4.0,17.0,HOU 37,3.0,3.0,Jason Sanders 55 yard field goal good,0.79,3.0,15.0,2024,213
2.0,11:35,,,MIA 35,3.0,3.0,"Jason Sanders kicks off 65 yards, touchback.",0.0,0.94,15.0,2024,213
2.0,11:35,1.0,10.0,HOU 30,3.0,3.0,Joe Mixon left end for -2 yards (tackle by Jordyn Brooks),0.94,0.12,15.0,2024,213
2.0,11:06,2.0,12.0,HOU 28,3.0,3.0,C.J. Stroud pass complete short right to Nico Collins for -3 yards (tackle by Kader Kohou),0.12,-0.96,15.0,2024,213
2.0,10:23,3.0,15.0,HOU 25,3.0,3.0,C.J. Stroud pass incomplete short right intended for Nico Collins,-0.96,-1.7,15.0,2024,213
2.0,10:18,4.0,15.0,HOU 25,3.0,3.0,"Tommy Townsend punts 57 yards, returned by Malik Washington for 8 yards (tackle by Jeff Okudah and Dylan Horton)",-1.7,-0.67,15.0,2024,213
2.0,10:07,1.0,10.0,MIA 26,3.0,3.0,"Tua Tagovailoa pass incomplete deep left intended for Tyreek Hill. Penalty on Mario Edwards: Roughing the Passer, 15 yards (accepted) (no play)",0.67,1.66,15.0,2024,213
2.0,10:02,1.0,10.0,MIA 41,3.0,3.0,Raheem Mostert left guard for 6 yards (tackle by Henry To'oTo'o),1.66,1.93,15.0,2024,213
2.0,9:36,2.0,4.0,MIA 47,3.0,3.0,Tua Tagovailoa pass incomplete short left intended for Jaylen Waddle,1.93,1.22,15.0,2024,213
2.0,9:33,3.0,4.0,MIA 47,3.0,3.0,"Tua Tagovailoa sacked by Will Anderson for -13 yards. Tua Tagovailoa fumbles (forced by Will Anderson), recovered by Tim Settle at MIA-30 and returned for 2 yards (tackle by Jackson Carman)",1.22,-3.71,15.0,2024,213
2.0,9:25,1.0,10.0,MIA 28,3.0,3.0,C.J. Stroud pass complete short left to Tank Dell for 15 yards (tackle by Kendall Fuller),3.71,4.71,15.0,2024,213
2.0,8:41,1.0,10.0,MIA 13,3.0,3.0,Joe Mixon up the middle for 1 yard (tackle by Jalen Ramsey),4.71,4.22,15.0,2024,213
2.0,8:00,2.0,9.0,MIA 12,3.0,3.0,"Penalty on Benito Jones: Encroachment, 5 yards (accepted) (no play)",4.22,5.15,15.0,2024,213
2.0,7:35,2.0,4.0,MIA 7,3.0,3.0,Joe Mixon left guard for 1 yard (tackle by Calais Campbell and Jalen Ramsey),5.15,4.56,15.0,2024,213
2.0,6:51,3.0,3.0,MIA 6,3.0,9.0,"C.J. Stroud pass complete short middle to Nico Collins for 6 yards, touchdown",4.56,7.0,15.0,2024,213
2.0,6:45,,,MIA 15,3.0,10.0,Ka'imi Fairbairn kicks extra point good,0.0,0.0,15.0,2024,213
2.0,6:45,,,HOU 35,3.0,10.0,"Ka'imi Fairbairn kicks off 65 yards, touchback.",0.0,0.94,15.0,2024,213
2.0,6:45,1.0,10.0,MIA 30,3.0,10.0,Tua Tagovailoa pass complete short right to Malik Washington for 20 yards (tackle by Henry To'oTo'o),0.94,2.26,15.0,2024,213
2.0,6:07,1.0,10.0,HOU 50,3.0,10.0,Tua Tagovailoa pass complete short middle to Jonnu Smith for 8 yards (tackle by Christian Harris),2.26,2.79,15.0,2024,213
2.0,5:27,2.0,2.0,HOU 42,3.0,10.0,De'Von Achane left tackle for 3 yards (tackle by Eric Murray and Henry To'oTo'o),2.79,2.98,15.0,2024,213
2.0,4:50,1.0,10.0,HOU 39,3.0,10.0,Tua Tagovailoa pass complete short right to Grant Dubose for -2 yards (tackle by Derek Stingley and Jimmie Ward),2.98,2.17,15.0,2024,213
2.0,4:08,2.0,12.0,HOU 41,3.0,10.0,"Tua Tagovailoa pass complete short left to Jonnu Smith for 5 yards (tackle by Tommy Togiai). Penalty on Eric Murray: Low Block, 15 yards (accepted)",2.17,4.17,15.0,2024,213
2.0,3:41,1.0,10.0,HOU 21,3.0,10.0,De'Von Achane left end for 7 yards (tackle by Christian Harris),4.17,4.74,15.0,2024,213
2.0,2:58,2.0,3.0,HOU 14,3.0,10.0,"De'Von Achane right end for 3 yards (tackle by Calen Bullock). Penalty on Tyreek Hill: Offensive Holding, 10 yards (accepted)",4.74,3.63,15.0,2024,213
2.0,2:30,2.0,10.0,HOU 21,3.0,10.0,Tua Tagovailoa pass incomplete deep middle intended for Jonnu Smith (defended by Calen Bullock),3.63,2.94,15.0,2024,213
2.0,2:26,3.0,10.0,HOU 21,3.0,10.0,"Tua Tagovailoa pass complete short middle to De'Von Achane for 3 yards. De'Von Achane fumbles (forced by Henry To'oTo'o), recovered by Aaron Brewer at HOU-18",2.94,2.25,15.0,2024,213
2.0,2:00,4.0,7.0,HOU 18,6.0,10.0,Jason Sanders 36 yard field goal good,2.25,3.0,15.0,2024,213
2.0,1:57,,,MIA 35,6.0,10.0,"Jason Sanders kicks off 65 yards, touchback.",0.0,0.94,15.0,2024,213
2.0,1:57,1.0,10.0,HOU 30,6.0,10.0,C.J. Stroud pass complete short left to Dalton Schultz for 9 yards (tackle by Kader Kohou and Anthony Walker),0.94,1.61,15.0,2024,213
2.0,1:17,2.0,1.0,HOU 39,6.0,10.0,C.J. Stroud pass incomplete short right intended for Dalton Schultz,1.61,0.89,15.0,2024,213
2.0,1:14,,,,,,Timeout #1 by Houston Texans,,,15.0,2024,213
2.0,1:14,3.0,1.0,HOU 39,6.0,10.0,C.J. Stroud pass complete short left to John Metchie for 10 yards (tackle by Jordyn Brooks and Emmanuel Ogbah),0.89,2.19,15.0,2024,213
2.0,0:53,1.0,10.0,HOU 49,6.0,10.0,"C.J. Stroud aborted snap, recovered by Jordyn Brooks at HOU-49 and returned for 11 yards (tackle by Shaq Mason)",2.19,-3.05,15.0,2024,213
2.0,0:42,1.0,10.0,HOU 38,6.0,10.0,"Tua Tagovailoa pass complete short middle to Durham Smythe for no gain (tackle by Christian Harris). Penalty on Liam Eichenberg: Offensive Holding, 10 yards (accepted) (no play)",3.05,2.39,15.0,2024,213
2.0,0:38,,,,,,Timeout #1 by Miami Dolphins,,,15.0,2024,213
2.0,0:38,1.0,20.0,HOU 48,6.0,10.0,"Tua Tagovailoa pass complete short right to Tyreek Hill for no gain (tackle by Jimmie Ward). Penalty on Danielle Hunter: Defensive Holding, 5 yards (accepted) (no play)",2.39,2.72,15.0,2024,213
2.0,0:30,1.0,10.0,HOU 43,6.0,10.0,Tua Tagovailoa pass complete short right to De'Von Achane for 4 yards (tackle by Jimmie Ward),2.72,2.72,15.0,2024,213
2.0,0:25,,,,,,Timeout #2 by Miami Dolphins,,,15.0,2024,213
2.0,0:25,2.0,6.0,HOU 39,6.0,10.0,Tua Tagovailoa pass short middle intended for Tyreek Hill is intercepted by Calen Bullock at HOU-27 and returned for 68 yards (tackle by De'Von Achane),2.72,-6.06,15.0,2024,213
2.0,0:13,1.0,5.0,MIA 5,6.0,10.0,C.J. Stroud sacked by Anthony Walker for no gain,6.06,5.15,15.0,2024,213
2.0,0:07,,,,,,Timeout #3 by Miami Dolphins,,,15.0,2024,213
2.0,0:07,2.0,5.0,MIA 5,6.0,10.0,C.J. Stroud pass incomplete short left intended for John Metchie (defended by Kader Kohou),5.15,4.26,15.0,2024,213
2.0,0:03,3.0,5.0,MIA 5,6.0,13.0,Ka'imi Fairbairn 23 yard field goal good,4.26,3.0,15.0,2024,213
3.0,15:00,,,MIA 35,6.0,13.0,"Jason Sanders kicks off 65 yards, touchback.",0.0,0.94,15.0,2024,213
3.0,15:00,1.0,10.0,HOU 30,6.0,13.0,Joe Mixon left end for 4 yards (tackle by Jordan Poyer),0.94,0.93,15.0,2024,213
3.0,14:23,2.0,6.0,HOU 34,6.0,13.0,C.J. Stroud scrambles up the middle for 3 yards (tackle by Emmanuel Ogbah),0.93,0.63,15.0,2024,213
3.0,13:39,3.0,3.0,HOU 37,6.0,13.0,C.J. Stroud pass complete short right to Tank Dell for 11 yards (tackle by Jordyn Brooks),0.63,2.13,15.0,2024,213
3.0,13:09,1.0,10.0,HOU 48,6.0,13.0,C.J. Stroud pass complete short middle to Joe Mixon for 8 yards (tackle by Anthony Walker),2.13,2.66,15.0,2024,213
3.0,12:28,2.0,2.0,MIA 44,6.0,13.0,C.J. Stroud pass incomplete deep left intended for Nico Collins,2.66,1.95,15.0,2024,213
3.0,12:23,3.0,2.0,MIA 44,6.0,13.0,C.J. Stroud pass incomplete deep right intended for John Metchie,1.95,0.33,15.0,2024,213
3.0,12:17,4.0,2.0,MIA 44,6.0,13.0,"Dare Ogunbowale right end for 35 yards. Dare Ogunbowale fumbles (forced by Patrick McMorris), recovered by Patrick McMorris at MIA-9 Replay Assistant challenged the runner was down by contact ruling, and the original play was overturned. Dare Ogunbowale right end for 35 yards. Penalty on Calais Campbell: Unnecessary Roughness / Defense, 5 yards (accepted) (tackle by Patrick McMorris)",0.33,6.28,15.0,2024,213
3.0,11:53,1.0,4.0,MIA 4,6.0,13.0,Joe Mixon left end for -2 yards (tackle by Kendall Fuller),6.28,4.95,15.0,2024,213
3.0,11:09,2.0,6.0,MIA 6,6.0,19.0,"C.J. Stroud pass complete short right to Nico Collins for 6 yards, touchdown",4.95,7.0,15.0,2024,213
3.0,11:02,,,MIA 15,6.0,20.0,Ka'imi Fairbairn kicks extra point good,0.0,0.0,15.0,2024,213
3.0,11:02,,,HOU 35,6.0,20.0,"Ka'imi Fairbairn kicks off 59 yards, returned by Malik Washington for 21 yards (tackle by Neville Hewitt and Del'Shawn Phillips)",0.0,0.74,15.0,2024,213
3.0,10:57,1.0,10.0,MIA 27,6.0,20.0,Tua Tagovailoa pass complete short right to Malik Washington for 14 yards (tackle by Tommy Togiai and Calen Bullock),0.74,1.66,15.0,2024,213
3.0,10:18,1.0,10.0,MIA 41,6.0,20.0,Raheem Mostert right tackle for 1 yard (tackle by Will Anderson and Tommy Togiai),1.66,1.26,15.0,2024,213
3.0,9:39,2.0,9.0,MIA 42,6.0,20.0,"Tua Tagovailoa pass incomplete short right intended for Grant Dubose. Penalty on Calen Bullock: Unnecessary Roughness / Defense, 15 yards (accepted) (no play)",1.26,2.72,15.0,2024,213
3.0,9:34,1.0,10.0,HOU 43,6.0,20.0,Tua Tagovailoa pass complete short right to Jonnu Smith for 3 yards (tackle by Christian Harris and Henry To'oTo'o),2.72,2.58,15.0,2024,213
3.0,8:53,2.0,7.0,HOU 40,6.0,20.0,Tua Tagovailoa pass complete short right to De'Von Achane for 10 yards (tackle by Henry To'oTo'o and Jimmie Ward),2.58,3.58,15.0,2024,213
3.0,8:15,1.0,10.0,HOU 30,6.0,20.0,Tua Tagovailoa pass incomplete short left,3.58,3.03,15.0,2024,213
3.0,8:08,2.0,10.0,HOU 30,6.0,20.0,De'Von Achane left tackle for 4 yards (tackle by Derek Barnett),3.03,2.87,15.0,2024,213
3.0,7:27,3.0,6.0,HOU 26,6.0,20.0,"Tua Tagovailoa pass complete short left to Raheem Mostert for no gain (tackle by Christian Harris). Penalty on Jackson Carman: Offensive Holding, 10 yards (accepted) (no play)",2.87,1.55,15.0,2024,213
3.0,7:01,3.0,16.0,HOU 36,6.0,20.0,Tua Tagovailoa pass complete deep right to Tyreek Hill for 21 yards (tackle by Calen Bullock),1.55,4.58,15.0,2024,213
3.0,6:24,1.0,10.0,HOU 15,6.0,20.0,De'Von Achane left end for 1 yard (tackle by Tim Settle),4.58,4.11,15.0,2024,213
3.0,5:42,2.0,9.0,HOU 14,6.0,20.0,Tua Tagovailoa pass complete short left to Jonnu Smith for no gain (tackle by Kamari Lassiter),4.11,3.24,15.0,2024,213
3.0,4:59,3.0,9.0,HOU 14,6.0,20.0,"Tua Tagovailoa pass complete short left to Raheem Mostert for 2 yards (tackle by Christian Harris). Penalty on River Cracraft: Offensive Facemask, 15 yards (declined)",3.24,2.63,15.0,2024,213
3.0,4:40,4.0,7.0,HOU 12,6.0,20.0,"Jason Sanders yard field goal good. Penalty on M.J. Stewart: Defensive Offside, 5 yards (accepted) (no play)",2.63,3.0,15.0,2024,213
3.0,4:37,4.0,2.0,HOU 7,12.0,20.0,"Tua Tagovailoa pass complete short right to Jonnu Smith for 7 yards, touchdown. Penalty on Kamari Lassiter: Illegal Contact, 5 yards (declined)",3.0,7.0,15.0,2024,213
3.0,4:30,,,HOU 15,12.0,20.0,Jason Sanders kicks extra point no good,0.0,-1.0,15.0,2024,213
3.0,4:30,,,MIA 35,12.0,20.0,"Jason Sanders kicks off 65 yards, touchback.",0.0,0.94,15.0,2024,213
3.0,4:30,1.0,10.0,HOU 30,12.0,20.0,C.J. Stroud pass complete short left to Joe Mixon for 5 yards (tackle by Jevon Holland),0.94,1.07,15.0,2024,213
3.0,3:44,2.0,5.0,HOU 35,12.0,20.0,Joe Mixon up the middle for 3 yards (tackle by Quinton Bell and Anthony Walker),1.07,0.76,15.0,2024,213
3.0,3:03,3.0,2.0,HOU 38,12.0,20.0,C.J. Stroud sacked by Chop Robinson for -7 yards,0.76,-1.31,15.0,2024,213
3.0,2:22,4.0,9.0,HOU 31,12.0,20.0,"Tommy Townsend punts 58 yards, returned by Malik Washington for 16 yards (tackle by Kris Boyd and M.J. Stewart)",-1.31,-0.74,15.0,2024,213
3.0,2:10,1.0,10.0,MIA 27,12.0,20.0,Jaylen Wright left guard for 3 yards (tackle by Jake Hansen and Henry To'oTo'o),0.74,0.6,15.0,2024,213
3.0,1:28,2.0,7.0,MIA 30,12.0,20.0,Tua Tagovailoa pass complete short left to Jonnu Smith for 6 yards (tackle by Kamari Lassiter),0.6,0.7,15.0,2024,213
3.0,0:45,3.0,1.0,MIA 36,12.0,20.0,Raheem Mostert right guard for 1 yard (tackle by Danielle Hunter),0.7,1.4,15.0,2024,213
3.0,0:18,1.0,10.0,MIA 37,12.0,20.0,Tua Tagovailoa pass complete short middle to Durham Smythe for 8 yards (tackle by Jimmie Ward),1.4,1.94,15.0,2024,213
4.0,15:00,2.0,2.0,MIA 45,12.0,20.0,Raheem Mostert left end for no gain (tackle by Christian Harris),1.94,1.22,15.0,2024,213
4.0,14:30,3.0,2.0,MIA 45,12.0,20.0,Tua Tagovailoa pass complete short right to Tyreek Hill for 15 yards (tackle by Derek Stingley),1.22,2.92,15.0,2024,213
4.0,14:01,1.0,10.0,HOU 40,12.0,20.0,Raheem Mostert left tackle for 2 yards (tackle by Christian Harris and Denico Autry),2.92,2.64,15.0,2024,213
4.0,13:21,2.0,8.0,HOU 38,12.0,20.0,Tua Tagovailoa pass complete short right to Raheem Mostert for 4 yards (tackle by Jimmie Ward and Henry To'oTo'o),2.64,2.48,15.0,2024,213
4.0,12:48,3.0,4.0,HOU 34,12.0,20.0,Tua Tagovailoa pass incomplete short left intended for Malik Washington (defended by Jimmie Ward),2.48,1.08,15.0,2024,213
4.0,12:44,,,,,,Timeout #1 by Miami Dolphins,,,15.0,2024,213
4.0,12:44,4.0,4.0,HOU 34,12.0,20.0,Tua Tagovailoa pass complete short left to Jonnu Smith for 9 yards (tackle by Calen Bullock),1.08,3.91,15.0,2024,213
4.0,12:01,1.0,10.0,HOU 25,12.0,20.0,Tua Tagovailoa pass complete short right to Jonnu Smith for no gain (tackle by Eric Murray),3.91,3.36,15.0,2024,213
4.0,11:18,2.0,10.0,HOU 25,12.0,20.0,Tua Tagovailoa pass complete short left to Malik Washington for 5 yards (tackle by Kamari Lassiter),3.36,3.34,15.0,2024,213
4.0,10:34,3.0,5.0,HOU 20,12.0,20.0,Tua Tagovailoa pass short right intended for Tyreek Hill is intercepted by Derek Stingley at HOU-8 and returned for 10 yards (tackle by Tyreek Hill),3.34,-0.04,15.0,2024,213
4.0,10:26,1.0,10.0,HOU 18,12.0,20.0,C.J. Stroud pass complete short left to Joe Mixon for 4 yards (tackle by Jordyn Brooks),0.04,0.14,15.0,2024,213
4.0,9:51,2.0,6.0,HOU 22,12.0,20.0,Joe Mixon left tackle for 5 yards (tackle by Jordyn Brooks),0.14,-0.02,15.0,2024,213
4.0,9:17,3.0,1.0,HOU 27,12.0,20.0,C.J. Stroud scrambles right end for 3 yards (tackle by Anthony Walker),-0.02,0.94,15.0,2024,213
4.0,8:33,1.0,10.0,HOU 30,12.0,20.0,Joe Mixon up the middle for 5 yards (tackle by Anthony Walker),0.94,1.07,15.0,2024,213
4.0,7:50,2.0,5.0,HOU 35,12.0,20.0,"C.J. Stroud pass complete short right to Dalton Schultz for no gain (tackle by Jalen Ramsey and Chop Robinson). Penalty on Blake Fisher: Offensive Holding, 10 yards (accepted) (no play)",1.07,-0.28,15.0,2024,213
4.0,7:22,2.0,15.0,HOU 25,12.0,20.0,C.J. Stroud pass complete short right to Xavier Hutchinson for 13 yards (tackle by Kendall Fuller),-0.28,0.76,15.0,2024,213
4.0,6:38,3.0,2.0,HOU 38,12.0,20.0,C.J. Stroud pass complete short right to Dalton Schultz for 4 yards (tackle by Jordyn Brooks),0.76,1.73,15.0,2024,213
4.0,5:55,1.0,10.0,HOU 42,12.0,20.0,Joe Mixon left tackle for 1 yard (tackle by Calais Campbell),1.73,1.32,15.0,2024,213
4.0,5:14,2.0,9.0,HOU 43,12.0,20.0,C.J. Stroud pass complete short right to Joe Mixon for 1 yard (tackle by Jevon Holland and Anthony Walker),1.32,0.76,15.0,2024,213
4.0,4:32,3.0,8.0,HOU 44,12.0,20.0,C.J. Stroud pass incomplete deep right intended for Dalton Schultz,0.76,-0.46,15.0,2024,213
4.0,4:26,4.0,8.0,HOU 44,12.0,20.0,Tommy Townsend punts 34 yards out of bounds,-0.46,-0.41,15.0,2024,213
4.0,4:20,1.0,10.0,MIA 22,12.0,20.0,"Penalty on Liam Eichenberg: False Start, 5 yards (accepted) (no play)",0.41,-0.12,15.0,2024,213
4.0,4:20,1.0,15.0,MIA 17,12.0,20.0,Tua Tagovailoa sacked by Danielle Hunter for -10 yards,-0.12,-1.88,15.0,2024,213
4.0,3:35,,,,,,Timeout #2 by Miami Dolphins,,,15.0,2024,213
4.0,3:35,2.0,25.0,MIA 7,12.0,20.0,"Tua Tagovailoa pass incomplete short left intended for Jonnu Smith. Penalty on Aaron Brewer: Offensive Holding, 10 yards (declined)",-1.88,-3.18,15.0,2024,213
4.0,3:29,3.0,25.0,MIA 7,12.0,20.0,Tua Tagovailoa pass complete short right to River Cracraft for 6 yards (tackle by Jimmie Ward and Derek Stingley),-3.18,-2.49,15.0,2024,213
4.0,3:03,4.0,19.0,MIA 13,12.0,20.0,"Jake Bailey punts 64 yards, returned by Tank Dell for 8 yards (tackle by Durham Smythe)",-2.49,-1.0,15.0,2024,213
4.0,2:50,1.0,10.0,HOU 31,12.0,20.0,Joe Mixon left guard for -2 yards (tackle by Calais Campbell),1.0,0.19,15.0,2024,213
4.0,2:08,2.0,12.0,HOU 29,12.0,20.0,Joe Mixon right tackle for 4 yards (tackle by Calais Campbell and Jordyn Brooks),0.19,0.04,15.0,2024,213
4.0,2:00,3.0,8.0,HOU 33,12.0,20.0,C.J. Stroud sacked by and Chop Robinson for -7 yards and Zach Sieler for -7 yards,0.04,-1.63,15.0,2024,213
4.0,1:56,,,,,,Timeout #3 by Miami Dolphins,,,15.0,2024,213
4.0,1:56,4.0,15.0,HOU 26,12.0,20.0,Tommy Townsend punts 51 yards downed by Jon Weeks,-1.63,-0.48,15.0,2024,213
4.0,1:44,1.0,10.0,MIA 23,12.0,20.0,Tua Tagovailoa pass deep right intended for Tyreek Hill is intercepted by Derek Stingley at HOU-49 and returned for no gain (tackle by Tyreek Hill),0.48,-2.19,15.0,2024,213
4.0,1:37,1.0,10.0,HOU 49,12.0,20.0,C.J. Stroud kneels for -1 yards,2.19,1.51,15.0,2024,213
4.0,0:56,2.0,11.0,HOU 48,12.0,20.0,C.J. Stroud kneels for no gain,1.51,0.83,15.0,2024,213
4.0,0:31,3.0,11.0,HOU 48,12.0,20.0,C.J. Stroud kneels for -1 yards,0.83,-0.26,15.0,2024,213
