Quarter,Time,Down,ToGo,Location,ATL,LVR,Detail,EPB,EPA,week,year,game_id
3.0,10:57,1.0,10.0,LVR 23,9.0,3.0,Bijan Robinson right tackle for 2 yards (tackle by Divine Deablo and Robert Spillane),4.04,3.77,15.0,2024,224
3.0,10:14,2.0,8.0,LVR 21,9.0,3.0,Bijan Robinson right tackle for -1 yards (tackle by Tre'von Moehrig),3.77,2.94,15.0,2024,224
3.0,9:33,3.0,9.0,LVR 22,9.0,3.0,Kirk Cousins pass incomplete short left intended for Ray-Ray McCloud,2.94,1.99,15.0,2024,224
3.0,9:29,4.0,9.0,LVR 22,12.0,3.0,Younghoe Koo 40 yard field goal good,1.99,3.0,15.0,2024,224
3.0,9:25,,,ATL 35,12.0,3.0,"Bradley Pinion kicks off 65 yards, touchback.",0.0,0.94,15.0,2024,224
3.0,9:25,1.0,10.0,LVR 30,12.0,3.0,Desmond Ridder scrambles up the middle for 8 yards (tackle by Kaden Elliss),0.94,1.47,15.0,2024,224
3.0,8:48,2.0,2.0,LVR 38,12.0,3.0,Alexander Mattison up the middle for 12 yards (tackle by Demone Harris),1.47,2.26,15.0,2024,224
3.0,8:11,1.0,10.0,LVR 50,12.0,3.0,Desmond Ridder pass incomplete deep left intended for Tre Tucker,2.26,1.71,15.0,2024,224
3.0,8:04,2.0,10.0,LVR 50,12.0,3.0,"Penalty on Jordan Meredith: False Start, 5 yards (accepted) (no play)",1.71,1.04,15.0,2024,224
3.0,8:04,2.0,15.0,LVR 45,12.0,3.0,Desmond Ridder pass incomplete short right intended for Jakobi Meyers (defended by DeAundre Alford),1.04,0.37,15.0,2024,224
3.0,8:01,3.0,15.0,LVR 45,12.0,3.0,Desmond Ridder pass incomplete deep right,0.37,-0.39,15.0,2024,224
3.0,7:52,4.0,15.0,LVR 45,12.0,3.0,"AJ Cole punts 47 yards, fair catch by Avery Williams at ATL-8",-0.39,0.38,15.0,2024,224
3.0,7:44,1.0,10.0,ATL 8,12.0,3.0,Tyler Allgeier up the middle for 2 yards (tackle by Jonah Laulu),-0.38,-0.63,15.0,2024,224
3.0,7:08,2.0,8.0,ATL 10,12.0,3.0,Tyler Allgeier right guard for 19 yards (tackle by Nate Hobbs),-0.63,0.87,15.0,2024,224
3.0,6:41,1.0,10.0,ATL 29,12.0,3.0,Tyler Allgeier left guard for 2 yards (tackle by Zachary Carter and K'Lavon Chaisson),0.87,0.6,15.0,2024,224
