Rk,Player,Age,Team,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Succ%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds.1,Sk%,NY/A,ANY/A,4QC,GWD,Awards
24.0,Baker Mayfield,30.0,TAM,QB,1.0,1.0,1-0-0,17.0,32.0,53.1,167.0,3.0,9.4,0.0,0.0,10.0,36.4,30.0,5.2,7.09,9.8,167.0,99.3,86.9,1.0,8.0,3.03,4.82,6.64,1.0,1.0,
25.0,Kyler Murray,28.0,ARI,QB,1.0,1.0,1-0-0,21.0,29.0,72.4,163.0,2.0,6.9,0.0,0.0,11.0,41.2,45.0,5.6,7.0,7.8,163.0,108.8,50.9,5.0,33.0,14.71,3.82,5.0,0.0,0.0,
26.0,Bryce Young,24.0,CAR,QB,1.0,1.0,0-1-0,18.0,35.0,51.4,154.0,1.0,2.9,2.0,5.7,8.0,33.3,27.0,4.4,2.4,8.6,154.0,49.0,20.0,1.0,12.0,2.78,3.94,2.0,0.0,0.0,
27.0,Jalen Hurts,27.0,PHI,QB,1.0,1.0,1-0-0,19.0,23.0,82.6,152.0,0.0,0.0,0.0,0.0,6.0,54.2,51.0,6.6,6.61,8.0,152.0,94.2,94.0,1.0,8.0,4.17,6.0,6.0,0.0,0.0,
28.0,Sam Darnold,28.0,SEA,QB,1.0,1.0,0-1-0,16.0,23.0,69.6,150.0,0.0,0.0,0.0,0.0,6.0,37.5,40.0,6.5,6.52,9.4,150.0,87.2,56.0,1.0,4.0,4.17,6.08,6.08,0.0,0.0,
29.0,J.J. McCarthy,22.0,MIN,QB,1.0,1.0,1-0-0,13.0,20.0,65.0,143.0,2.0,10.0,1.0,5.0,5.0,39.1,28.0,7.2,6.9,11.0,143.0,98.5,52.6,3.0,9.0,13.04,5.83,5.61,1.0,1.0,
30.0,Tua Tagovailoa,27.0,MIA,QB,1.0,1.0,0-1-0,14.0,23.0,60.9,114.0,1.0,4.3,2.0,8.7,6.0,42.3,21.0,5.0,1.91,8.1,114.0,51.7,2.7,3.0,13.0,11.54,3.88,1.19,0.0,0.0,
31.0,Joe Burrow,29.0,CIN,QB,1.0,1.0,1-0-0,14.0,23.0,60.9,113.0,1.0,4.3,0.0,0.0,7.0,46.2,20.0,4.9,5.78,8.1,113.0,87.8,51.4,3.0,18.0,11.54,3.65,4.42,0.0,0.0,
32.0,Cam Ward,23.0,TEN,QB,1.0,1.0,0-1-0,12.0,28.0,42.9,112.0,0.0,0.0,0.0,0.0,5.0,20.6,29.0,4.0,4.0,9.3,112.0,54.5,7.3,6.0,50.0,17.65,1.82,1.82,0.0,0.0,
33.0,Zach Wilson,26.0,MIA,QB,1.0,0.0,,5.0,8.0,62.5,32.0,0.0,0.0,0.0,0.0,3.0,50.0,11.0,4.0,4.0,6.4,32.0,70.8,16.1,0.0,0.0,0.0,4.0,4.0,0.0,0.0,
,League Average,,,,,,,,,65.6,,,3.7,,1.5,,44.7,,6.7,6.74,10.2,210.3,90.5,,,,6.25,5.87,5.91,,,
