Quarter,Time,Down,ToGo,Location,TAM,SFO,Detail,EPB,EPA,week,year,game_id
1.0,11:04,2.0,10.0,TAM 41,0.0,7.0,Rachaad White up the middle for 6 yards (tackle by Dre Greenlaw and Fred Warner),1.12,1.22,14.0,2022,206
1.0,10:28,3.0,4.0,TAM 47,0.0,7.0,Tom Brady pass complete short right to Russell Gage for 4 yards (tackle by Deommodore Lenoir),1.22,2.32,14.0,2022,206
1.0,9:44,1.0,10.0,SFO 49,0.0,7.0,Tom Brady pass complete short middle to Ko Kieft for 11 yards (tackle by Dre Greenlaw and Azeez Al-Shaair),2.32,3.05,14.0,2022,206
1.0,9:03,1.0,10.0,SFO 38,0.0,7.0,Leonard Fournette up the middle for 1 yard (tackle by Fred Warner and Charles Omenihu),3.05,2.64,14.0,2022,206
1.0,8:26,2.0,9.0,SFO 37,0.0,7.0,Tom Brady pass incomplete short left intended for Julio Jones,2.64,1.95,14.0,2022,206
1.0,8:22,3.0,9.0,SFO 37,0.0,7.0,Tom Brady pass incomplete right,1.95,0.79,14.0,2022,206
1.0,8:14,,,,,,Timeout #1 by Tampa Bay Buccaneers,,,14.0,2022,206
1.0,8:14,4.0,9.0,SFO 37,0.0,7.0,Ryan Succop 55 yard field goal no good,0.79,-1.93,14.0,2022,206
1.0,8:09,1.0,10.0,SFO 45,0.0,7.0,Brock Purdy pass incomplete short left intended for George Kittle,1.93,1.38,14.0,2022,206
1.0,8:04,2.0,10.0,SFO 45,0.0,7.0,Christian McCaffrey left guard for -1 yards (tackle by Lavonte David),1.38,0.56,14.0,2022,206
1.0,7:28,3.0,11.0,SFO 44,0.0,7.0,"Brock Purdy scrambles right end for no gain (tackle by Keanu Neal). Penalty on Trent Williams: Offensive Holding, 10 yards (accepted) (no play)",0.56,-0.76,14.0,2022,206
1.0,6:56,3.0,21.0,SFO 34,0.0,7.0,"Brock Purdy pass complete short right to Deebo Samuel for 6 yards (tackle by Devin White). Penalty on Jauan Jennings: Offensive Holding, 10 yards (declined)",-0.76,-0.72,14.0,2022,206
1.0,6:38,4.0,15.0,SFO 40,0.0,7.0,"Mitch Wishnowsky punts 41 yards, returned by Deven Thompkins for 11 yards. Deven Thompkins fumbles (forced by Kyle Juszczyk)",-0.72,-0.94,14.0,2022,206
1.0,6:26,1.0,10.0,TAM 30,0.0,7.0,Leonard Fournette up the middle for 2 yards (tackle by Jimmie Ward),0.94,0.66,14.0,2022,206
1.0,5:44,2.0,8.0,TAM 32,0.0,7.0,"Tom Brady pass complete deep right to Mike Evans for no gain. Penalty on Donovan Smith: Offensive Holding, 10 yards (accepted) (no play)",0.66,-0.69,14.0,2022,206
1.0,5:34,2.0,18.0,TAM 22,0.0,7.0,Tom Brady pass incomplete short left intended for Leonard Fournette,-0.69,-1.35,14.0,2022,206
1.0,5:30,3.0,18.0,TAM 22,0.0,7.0,Leonard Fournette left tackle for 8 yards (tackle by Charles Omenihu and Dre Greenlaw),-1.35,-1.37,14.0,2022,206
1.0,4:54,4.0,10.0,TAM 30,0.0,7.0,"Jake Camarda punts 45 yards, returned by Ray-Ray McCloud for 13 yards (tackle by Ko Kieft)",-1.37,-1.47,14.0,2022,206
1.0,4:43,1.0,10.0,SFO 38,0.0,7.0,Brock Purdy pass complete short middle to George Kittle for 15 yards (tackle by Logan Ryan),1.47,2.46,14.0,2022,206
1.0,4:04,1.0,10.0,TAM 47,0.0,7.0,Deebo Samuel left tackle for 4 yards (tackle by Dee Delaney),2.46,2.45,14.0,2022,206
1.0,3:27,2.0,6.0,TAM 43,0.0,7.0,Christian McCaffrey left tackle for 13 yards (tackle by Keanu Neal),2.45,3.58,14.0,2022,206
1.0,2:48,1.0,10.0,TAM 30,0.0,7.0,Christian McCaffrey left end for 13 yards (tackle by Logan Ryan),3.58,4.44,14.0,2022,206
1.0,2:05,1.0,10.0,TAM 17,0.0,7.0,Brock Purdy pass complete right to Deebo Samuel for 9 yards (tackle by Keanu Neal),4.44,5.48,14.0,2022,206
1.0,1:21,2.0,1.0,TAM 8,0.0,7.0,Christian McCaffrey right tackle for no gain (tackle by Anthony Nelson and Akiem Hicks),5.48,4.8,14.0,2022,206
1.0,0:43,3.0,1.0,TAM 8,0.0,7.0,"Brock Purdy pass incomplete short right intended for Tyler Kroft (defended by Keanu Neal). Penalty on Keanu Neal: Defensive Pass Interference, 7 yards (accepted) (no play)",4.8,6.97,14.0,2022,206
1.0,0:37,1.0,1.0,TAM 1,0.0,7.0,Christian McCaffrey left guard for -1 yards (tackle by Keanu Neal and Devin White),6.97,5.72,14.0,2022,206
2.0,15:00,2.0,2.0,TAM 2,0.0,13.0,"Brock Purdy scrambles up the middle for 2 yards, touchdown",5.72,7.0,14.0,2022,206
2.0,14:55,,,TAM 15,0.0,14.0,Robbie Gould kicks extra point good,0.0,0.0,14.0,2022,206
2.0,14:55,,,SFO 35,0.0,14.0,"Robbie Gould kicks off 63 yards, returned by Deven Thompkins for 16 yards (tackle by Charlie Woerner)",0.0,0.04,14.0,2022,206
2.0,14:47,1.0,10.0,TAM 18,0.0,14.0,Tom Brady pass complete short right to Chris Godwin for 3 yards (tackle by Nick Bosa),0.04,0.01,14.0,2022,206
2.0,14:10,2.0,7.0,TAM 21,0.0,14.0,Tom Brady pass complete short right to Rachaad White for 4 yards (tackle by Fred Warner),0.01,-0.27,14.0,2022,206
2.0,13:28,3.0,3.0,TAM 25,0.0,14.0,Tom Brady pass incomplete short left intended for Mike Evans (defended by Drake Jackson),-0.27,-1.7,14.0,2022,206
2.0,13:23,4.0,3.0,TAM 25,0.0,14.0,"Jake Camarda punts 61 yards, returned by Ray-Ray McCloud for 15 yards (tackle by Rachaad White)",-1.7,-0.87,14.0,2022,206
2.0,13:10,1.0,10.0,SFO 29,0.0,14.0,Brock Purdy pass complete short right to Deebo Samuel for 18 yards (tackle by Carlton Davis),0.87,2.06,14.0,2022,206
2.0,12:35,1.0,10.0,SFO 47,0.0,14.0,Christian McCaffrey left tackle for 1 yard (tackle by Devin White),2.06,1.65,14.0,2022,206
2.0,11:51,2.0,9.0,SFO 48,0.0,14.0,Brock Purdy pass complete short left to Deebo Samuel for 10 yards (tackle by Logan Ryan),1.65,2.79,14.0,2022,206
2.0,11:17,1.0,10.0,TAM 42,0.0,14.0,Christian McCaffrey left end for 3 yards (tackle by Keanu Neal and Logan Ryan),2.79,2.65,14.0,2022,206
2.0,10:35,2.0,7.0,TAM 39,0.0,14.0,Brock Purdy pass complete short right to Kyle Juszczyk for 6 yards (tackle by Dee Delaney),2.65,2.74,14.0,2022,206
2.0,10:08,3.0,1.0,TAM 33,0.0,14.0,Brock Purdy up the middle for 1 yard (tackle by Rakeem Nunez-Roches and Anthony Nelson),2.74,3.45,14.0,2022,206
2.0,9:20,,,,,,Timeout #1 by San Francisco 49ers,,,14.0,2022,206
2.0,9:20,1.0,10.0,TAM 32,0.0,14.0,Deebo Samuel right end for 1 yard (tackle by Jamel Dean and Joe Tryon-Shoyinka),3.45,3.04,14.0,2022,206
2.0,8:37,2.0,9.0,TAM 31,0.0,14.0,Christian McCaffrey left tackle for 4 yards (tackle by Lavonte David and Akiem Hicks),3.04,2.87,14.0,2022,206
2.0,7:55,3.0,5.0,TAM 27,0.0,20.0,"Brock Purdy pass complete deep left to Christian McCaffrey for 27 yards, touchdown",2.87,7.0,14.0,2022,206
2.0,7:49,,,TAM 15,0.0,21.0,Robbie Gould kicks extra point good,0.0,0.0,14.0,2022,206
2.0,7:49,,,SFO 35,0.0,21.0,"Robbie Gould kicks off 55 yards, returned by Deven Thompkins for 16 yards (tackle by Ambry Thomas and George Odum)",0.0,0.67,14.0,2022,206
2.0,7:42,1.0,10.0,TAM 26,0.0,21.0,Tom Brady pass incomplete short right intended for Chris Godwin,0.67,0.13,14.0,2022,206
2.0,7:39,2.0,10.0,TAM 26,0.0,21.0,Tom Brady pass complete short right to Julio Jones for 4 yards (tackle by Charvarius Ward),0.13,-0.03,14.0,2022,206
2.0,7:00,,,,,,Timeout #2 by Tampa Bay Buccaneers,,,14.0,2022,206
2.0,7:00,3.0,6.0,TAM 30,0.0,21.0,Tom Brady pass incomplete short middle intended for Chris Godwin (defended by Jimmie Ward),-0.03,-1.37,14.0,2022,206
2.0,6:57,4.0,6.0,TAM 30,0.0,21.0,"Jake Camarda punts 51 yards, returned by Ray-Ray McCloud for 15 yards (tackle by K.J. Britt)",-1.37,-1.2,14.0,2022,206
2.0,6:45,1.0,10.0,SFO 34,0.0,21.0,Brock Purdy pass incomplete short right intended for Brandon Aiyuk,1.2,0.66,14.0,2022,206
2.0,6:42,2.0,10.0,SFO 34,0.0,21.0,"Penalty on Rakeem Nunez-Roches: Neutral Zone Infraction, 5 yards (accepted) (no play)",0.66,1.33,14.0,2022,206
2.0,6:42,2.0,5.0,SFO 39,0.0,21.0,Christian McCaffrey left end for 4 yards (tackle by Anthony Nelson),1.33,1.16,14.0,2022,206
2.0,6:19,3.0,1.0,SFO 43,0.0,21.0,Christian McCaffrey left end for 13 yards (tackle by Logan Ryan),1.16,2.65,14.0,2022,206
2.0,5:51,1.0,10.0,TAM 44,0.0,21.0,Brock Purdy pass complete short right to Kyle Juszczyk for 1 yard (tackle by Devin White),2.65,2.25,14.0,2022,206
2.0,5:10,2.0,9.0,TAM 43,0.0,21.0,"Deebo Samuel up the middle for 3 yards. Deebo Samuel fumbles (forced by Anthony Nelson), recovered by Lavonte David at TB-40 (tackle by Brandon Aiyuk)",2.25,-1.6,14.0,2022,206
2.0,5:05,1.0,10.0,TAM 40,0.0,21.0,Rachaad White right tackle for 7 yards (tackle by Talanoa Hufanga and Kerry Hyder),1.6,2.0,14.0,2022,206
2.0,4:43,2.0,3.0,TAM 47,0.0,21.0,Tom Brady pass complete short right to Rachaad White for 2 yards (tackle by Dre Greenlaw and Charvarius Ward),2.0,1.55,14.0,2022,206
2.0,4:15,3.0,1.0,TAM 49,0.0,21.0,Rachaad White up the middle for 2 yards (tackle by Tashaun Gipson),1.55,2.32,14.0,2022,206
2.0,3:54,1.0,10.0,SFO 49,0.0,21.0,Tom Brady pass complete deep middle to Chris Godwin for 32 yards (tackle by Fred Warner),2.32,4.44,14.0,2022,206
2.0,3:26,1.0,10.0,SFO 17,0.0,21.0,Tom Brady pass complete short left to Julio Jones for 9 yards (tackle by Deommodore Lenoir and Talanoa Hufanga),4.44,5.48,14.0,2022,206
2.0,3:01,2.0,1.0,SFO 8,0.0,21.0,Rachaad White left guard for -1 yards (tackle by Samson Ebukam and Dre Greenlaw),5.48,4.57,14.0,2022,206
2.0,2:37,3.0,2.0,SFO 9,0.0,21.0,Tom Brady pass incomplete short right intended for Chris Godwin,4.57,2.95,14.0,2022,206
2.0,2:33,4.0,2.0,SFO 9,0.0,21.0,Tom Brady pass incomplete short right intended for Mike Evans,2.95,0.38,14.0,2022,206
2.0,2:29,1.0,10.0,SFO 9,0.0,21.0,Christian McCaffrey right tackle for 5 yards (tackle by Anthony Nelson),-0.38,-0.39,14.0,2022,206
2.0,2:00,2.0,5.0,SFO 14,0.0,21.0,Christian McCaffrey left tackle for 6 yards (tackle by Devin White),-0.39,0.28,14.0,2022,206
2.0,1:21,1.0,10.0,SFO 20,0.0,21.0,Brock Purdy pass complete short left to Brandon Aiyuk for 25 yards (tackle by Jamel Dean),0.28,1.93,14.0,2022,206
2.0,1:14,1.0,10.0,SFO 45,0.0,21.0,Brock Purdy pass complete short right to Ray-Ray McCloud for 11 yards (tackle by Keanu Neal and Carlton Davis),1.93,2.65,14.0,2022,206
2.0,0:43,,,,,,Timeout #2 by San Francisco 49ers,,,14.0,2022,206
2.0,0:43,1.0,10.0,TAM 44,0.0,21.0,Brock Purdy pass incomplete short right,2.65,2.11,14.0,2022,206
2.0,0:38,2.0,10.0,TAM 44,0.0,21.0,Brock Purdy pass complete short right to Christian McCaffrey for 7 yards (tackle by Logan Ryan and Lavonte David),2.11,2.35,14.0,2022,206
2.0,0:28,,,,,,Timeout #3 by San Francisco 49ers,,,14.0,2022,206
2.0,0:28,3.0,3.0,TAM 37,0.0,21.0,"Brock Purdy pass is intercepted by Anthony Nelson at TB-30 and returned for no gain (tackle by Christian McCaffrey and Aaron Banks). Penalty on Carlton Davis: Defensive Holding, 5 yards (accepted) (no play)",2.35,3.45,14.0,2022,206
2.0,0:22,1.0,10.0,TAM 32,0.0,27.0,"Brock Purdy pass complete deep left to Brandon Aiyuk for 32 yards, touchdown",3.45,7.0,14.0,2022,206
2.0,0:15,,,TAM 15,0.0,28.0,Robbie Gould kicks extra point good,0.0,0.0,14.0,2022,206
2.0,0:15,,,SFO 35,0.0,28.0,"Robbie Gould kicks off 42 yards, returned by Ko Kieft for 7 yards (tackle by George Odum and Ambry Thomas)",0.0,0.94,14.0,2022,206
2.0,0:11,1.0,10.0,TAM 30,0.0,28.0,Tom Brady kneels for -1 yards,0.94,0.26,14.0,2022,206
3.0,15:00,,,SFO 35,0.0,28.0,"Robbie Gould kicks off 63 yards, returned by Deven Thompkins for 54 yards (tackle by Ambry Thomas)",0.0,2.65,14.0,2022,206
3.0,14:53,1.0,10.0,SFO 44,0.0,28.0,Rachaad White up the middle for 5 yards (tackle by Kerry Hyder and Dre Greenlaw),2.65,2.78,14.0,2022,206
3.0,14:30,2.0,5.0,SFO 39,0.0,28.0,Tom Brady pass incomplete deep right intended for Cameron Brate,2.78,2.08,14.0,2022,206
3.0,14:25,3.0,5.0,SFO 39,0.0,28.0,Tom Brady pass short middle intended for Mike Evans is intercepted by Tashaun Gipson at SF-26 and returned for 36 yards (tackle by Rachaad White),2.08,-3.05,14.0,2022,206
3.0,14:13,1.0,10.0,TAM 38,0.0,28.0,Brock Purdy pass incomplete short left intended for Christian McCaffrey (defended by Akiem Hicks),3.05,2.51,14.0,2022,206
3.0,14:09,2.0,10.0,TAM 38,0.0,34.0,"Christian McCaffrey left guard for 38 yards, touchdown",2.51,7.0,14.0,2022,206
3.0,14:01,,,TAM 15,0.0,35.0,Robbie Gould kicks extra point good,0.0,0.0,14.0,2022,206
3.0,14:01,,,SFO 35,0.0,35.0,"Robbie Gould kicks off 58 yards, returned by Deven Thompkins for 14 yards (tackle by George Odum)",0.0,0.34,14.0,2022,206
3.0,13:57,1.0,10.0,TAM 21,0.0,35.0,Tom Brady pass complete short left to Leonard Fournette for 4 yards (tackle by Charvarius Ward),0.34,0.34,14.0,2022,206
3.0,13:27,2.0,6.0,TAM 25,0.0,35.0,Tom Brady pass complete short right to Chris Godwin for 6 yards (tackle by Deommodore Lenoir and Jimmie Ward),0.34,1.0,14.0,2022,206
3.0,13:04,1.0,10.0,TAM 31,0.0,35.0,Tom Brady pass complete short left to Leonard Fournette for 8 yards (tackle by Talanoa Hufanga),1.0,1.54,14.0,2022,206
3.0,12:40,2.0,2.0,TAM 39,0.0,35.0,Tom Brady pass complete short left to Julio Jones for 5 yards (tackle by Dre Greenlaw),1.54,1.86,14.0,2022,206
3.0,12:09,1.0,10.0,TAM 44,0.0,35.0,Tom Brady pass incomplete short middle intended for Chris Godwin,1.86,1.32,14.0,2022,206
3.0,12:07,2.0,10.0,TAM 44,0.0,35.0,Tom Brady pass complete short left to Cade Otton for 7 yards (tackle by Charvarius Ward),1.32,1.55,14.0,2022,206
3.0,11:32,3.0,3.0,SFO 49,0.0,35.0,Tom Brady pass complete short middle to Chris Godwin for 5 yards (tackle by Jimmie Ward),1.55,2.65,14.0,2022,206
3.0,11:10,1.0,10.0,SFO 44,0.0,35.0,Tom Brady pass incomplete short right intended for Scott Miller (defended by Deommodore Lenoir),2.65,2.11,14.0,2022,206
3.0,11:07,2.0,10.0,SFO 44,0.0,35.0,Tom Brady pass complete short left to Julio Jones for 5 yards (tackle by Jimmie Ward),2.11,2.08,14.0,2022,206
3.0,10:48,3.0,5.0,SFO 39,0.0,35.0,Tom Brady scrambles for 1 yard (tackle by Nick Bosa),2.08,0.72,14.0,2022,206
3.0,10:14,4.0,4.0,SFO 38,0.0,35.0,Tom Brady pass complete short middle to Leonard Fournette for 5 yards (tackle by Jimmie Ward),0.72,3.38,14.0,2022,206
3.0,9:51,1.0,10.0,SFO 33,0.0,35.0,Tom Brady pass short right intended for Mike Evans is intercepted by Dre Greenlaw at SF-24 and returned for no gain (tackle by Mike Evans),3.38,-0.54,14.0,2022,206
3.0,9:44,1.0,10.0,SFO 24,0.0,35.0,Jordan Mason right end for 4 yards (tackle by Lavonte David),0.54,0.54,14.0,2022,206
3.0,9:04,2.0,6.0,SFO 28,0.0,35.0,"Penalty on Tyler Kroft: False Start, 5 yards (accepted) (no play)",0.54,-0.14,14.0,2022,206
3.0,8:48,2.0,11.0,SFO 23,0.0,35.0,Jordan Mason right guard for 4 yards (tackle by Akiem Hicks),-0.14,-0.3,14.0,2022,206
3.0,8:05,3.0,7.0,SFO 27,0.0,35.0,Brock Purdy pass complete short left to George Kittle for -5 yards (tackle by Nolan Turner),-0.3,-1.9,14.0,2022,206
3.0,7:25,4.0,12.0,SFO 22,0.0,35.0,"Mitch Wishnowsky punts 62 yards, returned by Deven Thompkins for 10 yards (tackle by George Odum)",-1.9,-0.67,14.0,2022,206
3.0,7:14,1.0,10.0,TAM 26,0.0,35.0,Rachaad White up the middle for 8 yards (tackle by Talanoa Hufanga and Tashaun Gipson),0.67,1.21,14.0,2022,206
3.0,6:45,2.0,2.0,TAM 34,0.0,35.0,Rachaad White left guard for 7 yards (tackle by Dre Greenlaw),1.21,1.66,14.0,2022,206
3.0,6:25,1.0,10.0,TAM 41,0.0,35.0,Tom Brady pass complete short left to Cade Otton for 6 yards (tackle by Dre Greenlaw),1.66,1.93,14.0,2022,206
3.0,6:04,2.0,4.0,TAM 47,0.0,35.0,Tom Brady pass complete short left to Cade Otton for 11 yards (tackle by Dre Greenlaw and Charvarius Ward),1.93,2.79,14.0,2022,206
3.0,5:37,1.0,10.0,SFO 42,0.0,35.0,Tom Brady pass incomplete short left,2.79,2.24,14.0,2022,206
3.0,5:32,2.0,10.0,SFO 42,0.0,35.0,Tom Brady pass complete short left to Cameron Brate for 4 yards (tackle by Talanoa Hufanga),2.24,2.08,14.0,2022,206
3.0,5:06,3.0,6.0,SFO 38,0.0,35.0,Tom Brady pass complete short right to Rachaad White for 5 yards (tackle by Deommodore Lenoir and Jimmie Ward),2.08,1.21,14.0,2022,206
3.0,4:35,4.0,1.0,SFO 33,0.0,35.0,Tom Brady pass complete short right to Mike Evans for 9 yards (tackle by Tashaun Gipson),1.21,3.97,14.0,2022,206
3.0,3:53,1.0,10.0,SFO 24,0.0,35.0,Tom Brady pass incomplete left,3.97,3.43,14.0,2022,206
3.0,3:46,2.0,10.0,SFO 24,0.0,35.0,"Penalty on Donovan Smith: False Start, 5 yards (accepted) (no play)",3.43,2.76,14.0,2022,206
3.0,3:46,2.0,15.0,SFO 29,0.0,35.0,Tom Brady pass complete short middle to Leonard Fournette for 6 yards (tackle by Dre Greenlaw),2.76,2.87,14.0,2022,206
3.0,3:25,3.0,9.0,SFO 23,0.0,35.0,Tom Brady pass complete short left to Julio Jones for 15 yards (tackle by Charvarius Ward),2.87,5.37,14.0,2022,206
3.0,3:02,1.0,8.0,SFO 8,0.0,35.0,Tom Brady pass incomplete short left intended for Julio Jones,5.37,4.57,14.0,2022,206
3.0,2:56,2.0,8.0,SFO 8,6.0,35.0,"Tom Brady pass complete short middle to Russell Gage for 8 yards, touchdown Replay Assistant challenged the runner broke the plane ruling, and the play was upheld.",4.57,7.0,14.0,2022,206
3.0,2:48,,,SFO 15,7.0,35.0,Ryan Succop kicks extra point good,0.0,0.0,14.0,2022,206
3.0,2:48,,,TAM 35,7.0,35.0,"Jake Camarda kicks off 64 yards, returned by Ray-Ray McCloud for 30 yards (tackle by Ko Kieft)",0.0,1.0,14.0,2022,206
3.0,2:43,1.0,10.0,SFO 31,7.0,35.0,Jordan Mason left tackle for 10 yards (tackle by Carlton Davis and William Gholston),1.0,1.66,14.0,2022,206
3.0,1:59,1.0,10.0,SFO 41,7.0,35.0,Jordan Mason up the middle for 2 yards (tackle by Lavonte David),1.66,1.39,14.0,2022,206
3.0,1:15,2.0,8.0,SFO 43,7.0,35.0,Jordan Mason up the middle for 13 yards (tackle by Carlton Davis),1.39,2.65,14.0,2022,206
3.0,0:23,1.0,10.0,TAM 44,7.0,35.0,Ray-Ray McCloud right end for 2 yards (tackle by Carlton Davis and William Gholston),2.65,2.38,14.0,2022,206
4.0,15:00,2.0,8.0,TAM 42,7.0,35.0,Jordan Mason right end for -2 yards (tackle by Carl Nassib),2.38,1.42,14.0,2022,206
4.0,14:20,3.0,10.0,TAM 44,7.0,35.0,Brock Purdy pass complete short left to Jauan Jennings for 5 yards,1.42,0.66,14.0,2022,206
4.0,13:41,4.0,5.0,TAM 39,7.0,35.0,Mitch Wishnowsky punts 31 yards downed by Charlie Woerner,0.66,0.38,14.0,2022,206
4.0,13:31,1.0,10.0,TAM 8,7.0,35.0,Tom Brady pass complete short middle to Chris Godwin for 8 yards (tackle by Fred Warner),-0.38,-0.09,14.0,2022,206
4.0,13:04,2.0,2.0,TAM 16,7.0,35.0,Rachaad White up the middle for 4 yards (tackle by Fred Warner and Drake Jackson),-0.09,0.28,14.0,2022,206
4.0,12:46,1.0,10.0,TAM 20,7.0,35.0,Tom Brady pass complete short right to Mike Evans for 12 yards (tackle by Charvarius Ward),0.28,1.07,14.0,2022,206
4.0,12:20,1.0,10.0,TAM 32,7.0,35.0,Tom Brady pass incomplete deep left intended for Julio Jones,1.07,0.53,14.0,2022,206
4.0,12:16,2.0,10.0,TAM 32,7.0,35.0,"Tom Brady pass complete short left to Rachaad White for no gain (tackle by Jimmie Ward). Penalty on Chris Godwin: Offensive Holding, 10 yards (accepted) (no play)",0.53,-0.82,14.0,2022,206
4.0,12:03,2.0,20.0,TAM 22,7.0,35.0,Tom Brady pass complete short right to Rachaad White for 6 yards (tackle by Nick Bosa),-0.82,-0.69,14.0,2022,206
4.0,11:41,3.0,14.0,TAM 28,7.0,35.0,Tom Brady pass complete short middle to Rachaad White for 4 yards (tackle by Dre Greenlaw),-0.69,-1.24,14.0,2022,206
4.0,11:13,4.0,10.0,TAM 32,7.0,35.0,Tom Brady pass complete deep middle to Mike Evans for 20 yards (tackle by Tashaun Gipson),-1.24,2.39,14.0,2022,206
4.0,10:42,1.0,10.0,SFO 48,7.0,35.0,Tom Brady pass complete short right to Leonard Fournette for 1 yard (tackle by Dre Greenlaw),2.39,1.98,14.0,2022,206
4.0,10:14,2.0,9.0,SFO 47,7.0,35.0,Tom Brady pass incomplete short left intended for Cameron Brate,1.98,1.29,14.0,2022,206
4.0,10:09,3.0,9.0,SFO 47,7.0,35.0,Tom Brady pass complete short middle to Cameron Brate for 8 yards (tackle by Fred Warner),1.29,0.66,14.0,2022,206
4.0,9:45,4.0,1.0,SFO 39,7.0,35.0,Leonard Fournette left guard for 2 yards (tackle by Arik Armstead and T.Y. McGill),0.66,3.12,14.0,2022,206
4.0,9:21,1.0,10.0,SFO 37,7.0,35.0,Tom Brady pass incomplete short middle intended for Cade Otton,3.12,2.57,14.0,2022,206
4.0,9:18,2.0,10.0,SFO 37,7.0,35.0,Tom Brady pass complete short left to Cade Otton for 4 yards (tackle by Dre Greenlaw and Deommodore Lenoir),2.57,2.41,14.0,2022,206
4.0,8:44,3.0,6.0,SFO 33,7.0,35.0,"Tom Brady pass complete short right to Mike Evans for 3 yards (tackle by Jimmie Ward). Penalty on Mike Evans: Illegal Forward Pass, 5 yards (accepted)",2.41,0.97,14.0,2022,206
4.0,8:44,4.0,8.0,SFO 35,7.0,35.0,Tom Brady pass incomplete short right intended for Mike Evans (defended by Drake Jackson),0.97,-1.27,14.0,2022,206
4.0,8:40,1.0,10.0,SFO 35,7.0,35.0,Jordan Mason left tackle for 5 yards (tackle by Deadrin Senat and Logan Hall),1.27,1.4,14.0,2022,206
4.0,7:55,2.0,5.0,SFO 40,7.0,35.0,Jordan Mason right guard for 18 yards (tackle by Logan Ryan),1.4,2.79,14.0,2022,206
4.0,7:07,1.0,10.0,TAM 42,7.0,35.0,Jordan Mason left tackle for 5 yards (tackle by Deadrin Senat and Keanu Neal),2.79,2.92,14.0,2022,206
4.0,6:24,2.0,5.0,TAM 37,7.0,35.0,Jordan Mason right guard for no gain (tackle by Rakeem Nunez-Roches and Anthony Nelson),2.92,2.21,14.0,2022,206
4.0,5:37,3.0,5.0,TAM 37,7.0,35.0,Ray-Ray McCloud left end for 3 yards (tackle by William Gholston),2.21,1.1,14.0,2022,206
4.0,4:50,,,,,,Timeout #1 by San Francisco 49ers,,,14.0,2022,206
4.0,4:50,4.0,2.0,TAM 34,7.0,35.0,Josh Johnson pass incomplete short right intended for Jauan Jennings (defended by Carl Nassib),1.1,-1.14,14.0,2022,206
4.0,4:48,1.0,10.0,TAM 33,7.0,35.0,Rachaad White right tackle for 5 yards (tackle by Charvarius Ward and Oren Burks),1.14,1.33,14.0,2022,206
4.0,4:28,2.0,5.0,TAM 39,7.0,35.0,Rachaad White right guard for 4 yards (tackle by Oren Burks and Charles Omenihu),1.33,1.16,14.0,2022,206
4.0,3:51,3.0,1.0,TAM 43,7.0,35.0,Rachaad White up the middle for no gain (tackle by T.Y. McGill),1.16,-0.52,14.0,2022,206
4.0,3:38,4.0,1.0,TAM 43,7.0,35.0,"Rachaad White for no gain. Rachaad White fumbles (forced by Jimmie Ward), recovered by Azeez Al-Shaair at TB-37 and returned for 5 yards (tackle by Cade Otton and Chris Godwin)",-0.52,-3.45,14.0,2022,206
