Quarter,Time,Down,ToGo,Location,KAN,DEN,Detail,EPB,EPA,week,year,game_id
2.0,10:02,1.0,10.0,DEN 40,13.0,0.0,Isiah Pacheco right guard for 4 yards (tackle by Alex Singleton and Jonathan Harris),2.92,2.91,14.0,2022,204
2.0,9:25,2.0,6.0,DEN 36,13.0,0.0,Isiah Pacheco right tackle for 10 yards (tackle by Kareem Jackson and Mike Purcell),2.91,3.84,14.0,2022,204
2.0,8:53,1.0,10.0,DEN 26,13.0,0.0,Patrick Mahomes pass incomplete short right intended for Travis Kelce,3.84,3.3,14.0,2022,204
2.0,8:48,2.0,10.0,DEN 26,13.0,0.0,Isiah Pacheco left tackle for 5 yards (tackle by Dre'Mont Jones and DeShawn Williams),3.3,3.27,14.0,2022,204
2.0,8:08,3.0,5.0,DEN 21,13.0,0.0,Patrick Mahomes pass complete short right to JuJu Smith-Schuster for 11 yards (tackle by Josey Jewell),3.27,4.91,14.0,2022,204
2.0,7:27,1.0,10.0,DEN 10,13.0,0.0,Patrick Mahomes pass incomplete short right intended for Travis Kelce,4.91,4.19,14.0,2022,204
2.0,7:23,2.0,10.0,DEN 10,19.0,0.0,"Patrick Mahomes pass complete short right to Jerick McKinnon for 10 yards, touchdown",4.19,7.0,14.0,2022,204
2.0,7:16,,,DEN 15,20.0,0.0,Harrison Butker kicks extra point good,0.0,0.0,14.0,2022,204
2.0,7:16,,,KAN 35,20.0,0.0,"Harrison Butker kicks off 65 yards, touchback.",0.0,0.61,14.0,2022,204
2.0,7:16,1.0,10.0,DEN 25,20.0,0.0,Russell Wilson pass complete short right to Eric Saubert for 2 yards (tackle by Leo Chenal),0.61,0.33,14.0,2022,204
2.0,6:50,2.0,8.0,DEN 27,20.0,0.0,Russell Wilson pass complete short right to Mike Boone for 20 yards (tackle by Justin Reid),0.33,2.06,14.0,2022,204
2.0,6:22,1.0,10.0,DEN 47,20.0,0.0,Russell Wilson pass complete short middle to Eric Tomlinson for 7 yards (tackle by Willie Gay),2.06,2.46,14.0,2022,204
2.0,5:51,2.0,3.0,KAN 46,20.0,0.0,Mike Boone left tackle for 1 yard (tackle by Chris Jones and Khalen Saunders),2.46,1.88,14.0,2022,204
2.0,5:21,3.0,2.0,KAN 45,20.0,0.0,Latavius Murray left guard for no gain (tackle by Nick Bolton and Jaylen Watson),1.88,0.27,14.0,2022,204
2.0,4:43,4.0,2.0,KAN 45,26.0,0.0,"Russell Wilson pass short middle intended for Brandon Johnson is intercepted by Willie Gay at DEN-47 and returned for 47 yards, touchdown",0.27,-7.0,14.0,2022,204
2.0,4:32,,,DEN 15,27.0,0.0,Harrison Butker kicks extra point good,0.0,0.0,14.0,2022,204
2.0,4:32,,,KAN 35,27.0,0.0,"Harrison Butker kicks off 65 yards, touchback.",0.0,0.61,14.0,2022,204
2.0,4:32,1.0,10.0,DEN 25,27.0,0.0,Russell Wilson pass incomplete short left intended for Latavius Murray,0.61,0.06,14.0,2022,204
2.0,4:27,2.0,10.0,DEN 25,27.0,0.0,Russell Wilson pass complete short left to Latavius Murray for 1 yard (tackle by George Karlaftis and Joshua Williams),0.06,-0.49,14.0,2022,204
2.0,3:54,3.0,9.0,DEN 26,27.0,0.0,Russell Wilson pass incomplete deep right intended for Brandon Johnson (defended by Trent McDuffie),-0.49,-1.63,14.0,2022,204
2.0,3:45,4.0,9.0,DEN 26,27.0,0.0,"Corliss Waitman punts 50 yards, returned by Justin Watson for 7 yards (tackle by Alex Singleton)",-1.63,-1.0,14.0,2022,204
2.0,3:35,1.0,10.0,KAN 31,27.0,0.0,Isiah Pacheco right end for 3 yards (tackle by Josey Jewell),1.0,0.87,14.0,2022,204
2.0,2:59,2.0,7.0,KAN 34,27.0,0.0,Patrick Mahomes pass short middle intended for Travis Kelce is intercepted by Josey Jewell at KC-42 and returned for no gain (tackle by JuJu Smith-Schuster),0.87,-2.79,14.0,2022,204
2.0,2:53,1.0,10.0,KAN 42,27.0,0.0,Russell Wilson pass complete short right to Kendall Hinton for 3 yards,2.79,2.65,14.0,2022,204
2.0,2:21,2.0,7.0,KAN 39,27.0,0.0,Russell Wilson pass complete short middle to Jerry Jeudy for 17 yards (tackle by Justin Reid),2.65,4.11,14.0,2022,204
2.0,2:00,1.0,10.0,KAN 22,27.0,0.0,Marlon Mack right tackle for 4 yards (tackle by Derrick Nnadi and L'Jarius Sneed),4.11,4.13,14.0,2022,204
2.0,1:38,2.0,6.0,KAN 18,27.0,6.0,"Russell Wilson pass complete deep left to Jerry Jeudy for 18 yards, touchdown",4.13,7.0,14.0,2022,204
2.0,1:35,,,KAN 15,27.0,7.0,Brandon McManus kicks extra point good,0.0,0.0,14.0,2022,204
2.0,1:35,,,DEN 35,27.0,7.0,"Brandon McManus kicks off 65 yards, touchback.",0.0,0.61,14.0,2022,204
2.0,1:35,1.0,10.0,KAN 25,27.0,7.0,Patrick Mahomes pass complete short left to JuJu Smith-Schuster for 6 yards (tackle by Damarri Mathis),0.61,0.87,14.0,2022,204
2.0,1:29,,,,,,Timeout #1 by Denver Broncos,,,14.0,2022,204
2.0,1:29,2.0,4.0,KAN 31,27.0,7.0,Patrick Mahomes sacked by Dre'Mont Jones for -3 yards,0.87,-0.23,14.0,2022,204
2.0,1:25,,,,,,Timeout #2 by Denver Broncos,,,14.0,2022,204
2.0,1:25,3.0,7.0,KAN 28,27.0,7.0,Patrick Mahomes pass complete short right to JuJu Smith-Schuster for 20 yards (tackle by Jacob Martin),-0.23,2.13,14.0,2022,204
2.0,1:17,1.0,10.0,KAN 48,27.0,7.0,Patrick Mahomes pass incomplete short right intended for Jerick McKinnon,2.13,1.58,14.0,2022,204
2.0,1:10,2.0,10.0,KAN 48,27.0,7.0,"Patrick Mahomes pass incomplete short middle intended for Skyy Moore Replay Assistant challenged the pass interception ruling, and the original play was overturned. Patrick Mahomes pass short middle intended for Skyy Moore is intercepted by Patrick Surtain at DEN-40 and returned for no gain (tackle by Skyy Moore)",1.58,-1.6,14.0,2022,204
2.0,1:06,1.0,10.0,DEN 40,27.0,7.0,Russell Wilson pass incomplete short left intended for Greg Dulcich,1.6,1.05,14.0,2022,204
2.0,1:02,2.0,10.0,DEN 40,27.0,7.0,Russell Wilson pass complete short left to Greg Dulcich for 9 yards (tackle by Jaylen Watson),1.05,1.55,14.0,2022,204
2.0,0:57,3.0,1.0,DEN 49,27.0,7.0,Russell Wilson left end for 13 yards (tackle by Bryan Cook),1.55,3.05,14.0,2022,204
2.0,0:52,1.0,10.0,KAN 38,27.0,7.0,Russell Wilson pass incomplete short middle intended for Kendall Hinton,3.05,2.51,14.0,2022,204
2.0,0:48,2.0,10.0,KAN 38,27.0,7.0,Russell Wilson scrambles right guard for 19 yards (tackle by Juan Thornhill),2.51,4.31,14.0,2022,204
2.0,0:22,1.0,10.0,KAN 19,27.0,7.0,Russell Wilson pass complete short left to Kendall Hinton for 14 yards (tackle by Nick Bolton and Jaylen Watson),4.31,6.06,14.0,2022,204
2.0,0:14,,,,,,Timeout #3 by Denver Broncos,,,14.0,2022,204
2.0,0:14,1.0,5.0,KAN 5,27.0,13.0,"Russell Wilson pass complete short right to Jerry Jeudy for 5 yards, touchdown",6.06,7.0,14.0,2022,204
2.0,0:09,,,KAN 15,27.0,14.0,Brandon McManus kicks extra point good,0.0,0.0,14.0,2022,204
2.0,0:09,,,DEN 35,27.0,14.0,"Brandon McManus kicks off 65 yards, touchback.",0.0,0.61,14.0,2022,204
2.0,0:09,1.0,10.0,KAN 25,27.0,14.0,Patrick Mahomes kneels for -1 yards,0.61,-0.07,14.0,2022,204
3.0,15:00,,,KAN 35,27.0,14.0,"Harrison Butker kicks off 65 yards, touchback.",0.0,0.61,14.0,2022,204
3.0,15:00,1.0,10.0,DEN 25,27.0,14.0,Russell Wilson pass incomplete short right intended for Greg Dulcich (defended by L'Jarius Sneed),0.61,0.06,14.0,2022,204
3.0,14:57,2.0,10.0,DEN 25,27.0,14.0,"Penalty on Quinn Bailey: False Start, 5 yards (accepted) (no play)",0.06,-0.61,14.0,2022,204
3.0,14:57,2.0,15.0,DEN 20,27.0,14.0,Russell Wilson pass complete short left to Jerry Jeudy for 14 yards (tackle by Joshua Williams),-0.61,0.56,14.0,2022,204
3.0,14:14,3.0,1.0,DEN 34,27.0,14.0,Latavius Murray right tackle for 4 yards (tackle by L'Jarius Sneed),0.56,1.47,14.0,2022,204
3.0,13:51,1.0,10.0,DEN 38,27.0,14.0,Russell Wilson sacked by George Karlaftis for -4 yards,1.47,0.38,14.0,2022,204
3.0,13:16,2.0,14.0,DEN 34,27.0,20.0,"Russell Wilson pass complete short right to Marlon Mack for 66 yards, touchdown",0.38,7.0,14.0,2022,204
3.0,13:03,,,KAN 15,27.0,21.0,Brandon McManus kicks extra point good,0.0,0.0,14.0,2022,204
3.0,13:03,,,DEN 35,27.0,21.0,"Brandon McManus kicks off 65 yards, touchback.",0.0,0.61,14.0,2022,204
3.0,13:03,1.0,10.0,KAN 25,27.0,21.0,Isiah Pacheco up the middle for 5 yards (tackle by Alex Singleton and Baron Browning),0.61,0.74,14.0,2022,204
3.0,12:32,2.0,5.0,KAN 30,27.0,21.0,Patrick Mahomes pass complete short left to Isiah Pacheco for 1 yard (tackle by Kareem Jackson),0.74,0.17,14.0,2022,204
3.0,11:53,3.0,4.0,KAN 31,27.0,21.0,Patrick Mahomes sacked by Jonathon Cooper for -7 yards,0.17,-1.77,14.0,2022,204
3.0,11:17,4.0,11.0,KAN 24,27.0,21.0,"Tommy Townsend punts 76 yards, touchback.",-1.77,-0.28,14.0,2022,204
3.0,11:06,1.0,10.0,DEN 20,27.0,21.0,Latavius Murray left tackle for 3 yards (tackle by Justin Reid),0.28,0.14,14.0,2022,204
3.0,10:28,2.0,7.0,DEN 23,27.0,21.0,Russell Wilson pass complete short left to Marlon Mack for -4 yards (tackle by Derrick Nnadi),0.14,-1.14,14.0,2022,204
3.0,9:47,3.0,11.0,DEN 19,27.0,21.0,Russell Wilson pass complete short right to Greg Dulcich for 10 yards (tackle by Nick Bolton),-1.14,-1.44,14.0,2022,204
3.0,9:10,4.0,1.0,DEN 29,27.0,21.0,"Corliss Waitman punts 48 yards, fair catch by Justin Watson at KC-23",-1.44,-0.48,14.0,2022,204
3.0,9:01,1.0,10.0,KAN 23,27.0,21.0,Patrick Mahomes pass complete short right to JuJu Smith-Schuster for 7 yards (tackle by K'Waun Williams),0.48,0.88,14.0,2022,204
3.0,8:26,2.0,3.0,KAN 30,27.0,21.0,Isiah Pacheco right end for 2 yards (tackle by Jonathan Harris and Nik Bonitto),0.88,0.43,14.0,2022,204
3.0,7:51,3.0,1.0,KAN 32,27.0,21.0,Patrick Mahomes pass incomplete short left intended for Marquez Valdes-Scantling,0.43,-1.24,14.0,2022,204
3.0,7:47,4.0,1.0,KAN 32,27.0,21.0,"Tommy Townsend punts 62 yards, returned by Montrell Washington for 21 yards (tackle by Nazeeh Johnson and Bryan Cook)",-1.24,-0.74,14.0,2022,204
3.0,7:36,1.0,10.0,DEN 27,27.0,21.0,Russell Wilson pass complete short left to Jerry Jeudy for 4 yards (tackle by Nick Bolton),0.74,0.74,14.0,2022,204
3.0,7:13,2.0,6.0,DEN 31,27.0,21.0,Latavius Murray up the middle for 8 yards (tackle by Darius Harris and Nick Bolton),0.74,1.53,14.0,2022,204
3.0,6:44,1.0,10.0,DEN 39,27.0,21.0,Russell Wilson sacked by and Darius Harris for -14 yards and Brandon Williams for -14 yards,1.53,-0.9,14.0,2022,204
3.0,6:05,2.0,24.0,DEN 25,27.0,21.0,Russell Wilson sacked by Frank Clark for -6 yards,-0.9,-2.52,14.0,2022,204
3.0,5:22,3.0,30.0,DEN 19,27.0,21.0,Russell Wilson pass incomplete short left intended for Latavius Murray,-2.52,-2.14,14.0,2022,204
3.0,5:15,4.0,30.0,DEN 19,27.0,21.0,"Corliss Waitman punts 50 yards, returned by Justin Watson for 7 yards (tackle by Alex Singleton). Penalty on Chris Lammons: Offensive Holding, 10 yards (accepted)",-2.14,-0.81,14.0,2022,204
3.0,5:06,1.0,10.0,KAN 28,27.0,21.0,Patrick Mahomes pass incomplete deep right intended for Justin Watson,0.81,0.26,14.0,2022,204
3.0,5:01,2.0,10.0,KAN 28,27.0,21.0,Patrick Mahomes pass complete short middle to Travis Kelce for 12 yards (tackle by Josey Jewell),0.26,1.6,14.0,2022,204
3.0,4:25,1.0,10.0,KAN 40,27.0,21.0,Patrick Mahomes pass complete short right to Jerick McKinnon for 7 yards (tackle by Alex Singleton),1.6,2.0,14.0,2022,204
3.0,3:49,2.0,3.0,KAN 47,27.0,21.0,Patrick Mahomes pass complete deep right to Noah Gray for 25 yards (tackle by Kareem Jackson and Justin Simmons),2.0,3.71,14.0,2022,204
3.0,3:06,1.0,10.0,DEN 28,27.0,21.0,Patrick Mahomes pass incomplete short middle intended for Travis Kelce,3.71,3.17,14.0,2022,204
3.0,2:57,2.0,10.0,DEN 28,27.0,21.0,Patrick Mahomes pass complete short right to Jerick McKinnon for 19 yards (tackle by Josey Jewell and Justin Simmons),3.17,5.14,14.0,2022,204
3.0,2:19,1.0,9.0,DEN 9,27.0,21.0,Jerick McKinnon right tackle for 4 yards (tackle by Mike Purcell and K'Waun Williams),5.14,5.15,14.0,2022,204
3.0,1:36,2.0,5.0,DEN 5,27.0,21.0,"Penalty on Baron Browning: Neutral Zone Infraction, 3 yards (accepted) (no play)",5.15,5.72,14.0,2022,204
3.0,1:27,2.0,2.0,DEN 2,27.0,21.0,Patrick Mahomes pass complete short left to JuJu Smith-Schuster for -2 yards (tackle by Kareem Jackson),5.72,4.49,14.0,2022,204
3.0,0:45,3.0,4.0,DEN 4,33.0,21.0,"Patrick Mahomes pass complete short middle to JuJu Smith-Schuster for 4 yards, touchdown",4.49,7.0,14.0,2022,204
3.0,0:38,,,DEN 15,34.0,21.0,Harrison Butker kicks extra point good,0.0,0.0,14.0,2022,204
3.0,0:38,,,KAN 35,34.0,21.0,"Harrison Butker kicks off 65 yards, touchback.",0.0,0.61,14.0,2022,204
3.0,0:38,1.0,10.0,DEN 25,34.0,21.0,Marlon Mack up the middle for 5 yards (tackle by Leo Chenal and Carlos Dunlap),0.61,0.74,14.0,2022,204
3.0,0:16,2.0,5.0,DEN 30,34.0,21.0,Russell Wilson pass complete short left to Jalen Virgil for 9 yards (tackle by Willie Gay),0.74,1.53,14.0,2022,204
4.0,15:00,1.0,10.0,DEN 39,34.0,21.0,Russell Wilson pass incomplete short left intended for Marlon Mack (defended by George Karlaftis),1.53,0.99,14.0,2022,204
4.0,14:57,2.0,10.0,DEN 39,34.0,21.0,Marlon Mack up the middle for 6 yards (tackle by L'Jarius Sneed and Michael Danna),0.99,1.09,14.0,2022,204
4.0,14:25,3.0,4.0,DEN 45,34.0,21.0,Russell Wilson pass incomplete short right,1.09,-0.39,14.0,2022,204
4.0,14:19,4.0,4.0,DEN 45,34.0,21.0,"Russell Wilson pass incomplete intended for Jerry Jeudy. Penalty on Trent McDuffie: Defensive Pass Interference, 40 yards (accepted) (no play)",-0.39,4.58,14.0,2022,204
4.0,14:10,1.0,10.0,KAN 15,34.0,21.0,"Russell Wilson pass complete short middle to Latavius Murray for no gain (tackle by Willie Gay). Penalty on Netane Muti: Offensive Holding, 10 yards (accepted) (no play)",4.58,3.91,14.0,2022,204
4.0,13:40,1.0,20.0,KAN 25,34.0,21.0,Russell Wilson pass complete short left to Latavius Murray for -4 yards (tackle by Willie Gay),3.91,2.13,14.0,2022,204
4.0,13:07,2.0,24.0,KAN 29,34.0,21.0,"Russell Wilson pass incomplete short right intended for Marlon Mack. Penalty on Cameron Fleming: Offensive Holding, 10 yards (accepted) (no play)",2.13,0.78,14.0,2022,204
4.0,13:01,2.0,34.0,KAN 39,34.0,21.0,Russell Wilson pass complete deep middle to Greg Dulcich for 23 yards (tackle by Nick Bolton),0.78,3.04,14.0,2022,204
4.0,12:16,3.0,11.0,KAN 16,34.0,21.0,Russell Wilson scrambles right end for 14 yards (tackle by Juan Thornhill),3.04,6.74,14.0,2022,204
4.0,11:48,1.0,2.0,KAN 2,34.0,21.0,Brett Rypien pass incomplete short left intended for Eric Tomlinson,6.74,5.72,14.0,2022,204
4.0,11:41,2.0,2.0,KAN 2,34.0,21.0,"Penalty on Eric Tomlinson: False Start, 5 yards (accepted) (no play)",5.72,4.76,14.0,2022,204
4.0,11:41,2.0,7.0,KAN 7,34.0,21.0,Brett Rypien pass complete short left to Kendall Hinton for no gain (tackle by Juan Thornhill),4.76,3.81,14.0,2022,204
4.0,11:00,3.0,7.0,KAN 7,34.0,21.0,Brett Rypien pass incomplete short left intended for Brandon Johnson,3.81,2.97,14.0,2022,204
4.0,10:54,4.0,7.0,KAN 7,34.0,27.0,"Brett Rypien pass complete short middle to Jerry Jeudy for 7 yards, touchdown",2.97,7.0,14.0,2022,204
4.0,10:49,,,KAN 15,34.0,28.0,Brandon McManus kicks extra point good,0.0,0.0,14.0,2022,204
4.0,10:49,,,DEN 35,34.0,28.0,"Brandon McManus kicks off 65 yards, touchback.",0.0,0.61,14.0,2022,204
4.0,10:49,1.0,10.0,KAN 25,34.0,28.0,Patrick Mahomes pass complete short left to JuJu Smith-Schuster for 4 yards (tackle by Damarri Mathis),0.61,0.6,14.0,2022,204
4.0,10:08,2.0,6.0,KAN 29,34.0,28.0,Patrick Mahomes pass complete short left to Isiah Pacheco for 5 yards (tackle by Damarri Mathis),0.6,0.43,14.0,2022,204
4.0,9:24,,,,,,Timeout #1 by Kansas City Chiefs,,,14.0,2022,204
4.0,9:24,3.0,2.0,KAN 33,34.0,28.0,Michael Burton up the middle for no gain (tackle by Mike Purcell and Patrick Surtain),0.43,-1.11,14.0,2022,204
4.0,8:44,4.0,1.0,KAN 34,34.0,28.0,Tommy Townsend punts 61 yards out of bounds,-1.11,0.38,14.0,2022,204
4.0,8:33,1.0,10.0,DEN 5,34.0,28.0,Brett Rypien pass complete short left to Jerry Jeudy for 5 yards (tackle by Joshua Williams and L'Jarius Sneed),-0.38,-0.42,14.0,2022,204
4.0,8:15,2.0,5.0,DEN 10,34.0,28.0,"Brett Rypien aborted snap, recovered by Brett Rypien at DEN-5 and returned for 5 yards",-0.42,-1.42,14.0,2022,204
4.0,7:36,3.0,10.0,DEN 5,34.0,28.0,Brett Rypien pass incomplete deep right intended for Brandon Johnson,-1.42,-2.49,14.0,2022,204
4.0,7:28,4.0,10.0,DEN 5,34.0,28.0,"Corliss Waitman punts 43 yards, returned by Justin Watson for 7 yards (tackle by Delarrin Turner-Yell)",-2.49,-2.85,14.0,2022,204
4.0,7:19,1.0,10.0,DEN 41,34.0,28.0,Patrick Mahomes pass complete short right to Noah Gray for 3 yards (tackle by Josey Jewell),2.85,2.71,14.0,2022,204
4.0,6:45,2.0,7.0,DEN 38,34.0,28.0,Jerick McKinnon left guard for 3 yards (tackle by Mike Purcell),2.71,2.41,14.0,2022,204
4.0,6:02,3.0,4.0,DEN 35,34.0,28.0,Patrick Mahomes pass short middle intended for JuJu Smith-Schuster is intercepted by Josey Jewell at DEN-25 and returned for 21 yards (tackle by Trey Smith),2.41,-1.99,14.0,2022,204
4.0,5:49,1.0,10.0,DEN 46,34.0,28.0,Brett Rypien pass complete short left to Eric Tomlinson for 4 yards (tackle by L'Jarius Sneed),1.99,1.99,14.0,2022,204
