Quarter,Time,Down,ToGo,Location,LVR,LAR,Detail,EPB,EPA,week,year,game_id
1.0,1:34,1.0,10.0,LVR 45,10.0,0.0,Baker Mayfield scrambles left end for 6 yards (tackle by Tyler Hall),2.59,2.85,14.0,2022,196
1.0,0:56,2.0,4.0,LVR 39,10.0,0.0,Cam Akers up the middle for 2 yards (tackle by Denzel Perryman),2.85,2.41,14.0,2022,196
1.0,0:16,3.0,2.0,LVR 37,10.0,0.0,Baker Mayfield pass incomplete deep right intended for Tutu Atwell (defended by Nate Hobbs),2.41,0.79,14.0,2022,196
1.0,0:11,4.0,2.0,LVR 37,10.0,3.0,Matt Gay 55 yard field goal good,0.79,3.0,14.0,2022,196
1.0,0:06,,,LAR 35,10.0,3.0,"Matt Gay kicks off 49 yards, returned by Ameer Abdullah for 15 yards (tackle by Lance McCutcheon)",0.0,1.0,14.0,2022,196
2.0,15:00,1.0,10.0,LVR 31,10.0,3.0,Josh Jacobs left tackle for 4 yards (tackle by Ernest Jones),1.0,1.0,14.0,2022,196
2.0,14:21,2.0,6.0,LVR 35,10.0,3.0,Derek Carr pass complete short right to Mack Hollins for 7 yards (tackle by Bobby Wagner),1.0,1.73,14.0,2022,196
2.0,13:40,1.0,10.0,LVR 42,10.0,3.0,"Josh Jacobs up the middle for 7 yards (tackle by Taylor Rapp and Michael Hoecht). Penalty on Marquise Copeland: Illegal Use of Hands / Defense, 5 yards (accepted)",1.73,2.52,14.0,2022,196
2.0,13:06,1.0,10.0,LAR 46,10.0,3.0,Josh Jacobs right tackle for 5 yards (tackle by Michael Hoecht),2.52,2.65,14.0,2022,196
2.0,12:26,2.0,5.0,LAR 41,10.0,3.0,Mack Hollins left end for 16 yards (tackle by Troy Hill and Jalen Ramsey),2.65,3.91,14.0,2022,196
2.0,11:36,1.0,10.0,LAR 25,10.0,3.0,Derek Carr pass complete short right to Keelan Cole for 11 yards (tackle by Jalen Ramsey),3.91,4.65,14.0,2022,196
2.0,10:58,1.0,10.0,LAR 14,10.0,3.0,DJ Turner right end for 6 yards (tackle by Troy Hill),4.65,5.09,14.0,2022,196
2.0,10:15,2.0,4.0,LAR 8,10.0,3.0,"Josh Jacobs left end for -5 yards (tackle by Keir Thomas). Penalty on John Simpson: Offensive Holding, 10 yards (declined)",5.09,3.26,14.0,2022,196
2.0,9:48,3.0,9.0,LAR 13,10.0,3.0,Derek Carr pass incomplete short right intended for DJ Turner,3.26,2.57,14.0,2022,196
2.0,9:44,4.0,9.0,LAR 13,13.0,3.0,Daniel Carlson 31 yard field goal good,2.57,3.0,14.0,2022,196
2.0,9:40,,,LVR 35,13.0,3.0,"Daniel Carlson kicks off 60 yards, returned by Brandon Powell for 17 yards (tackle by Roderic Teamer)",0.0,0.41,14.0,2022,196
2.0,9:34,1.0,10.0,LAR 22,13.0,3.0,Cam Akers up the middle for 6 yards (tackle by Denzel Perryman),0.41,0.68,14.0,2022,196
2.0,8:54,2.0,4.0,LAR 28,13.0,3.0,Cam Akers up the middle for 3 yards (tackle by Neil Farrell and Clelin Ferrell),0.68,0.37,14.0,2022,196
2.0,8:19,3.0,1.0,LAR 31,13.0,3.0,Cam Akers left tackle for 5 yards (tackle by Clelin Ferrell and Sam Webb),0.37,1.33,14.0,2022,196
2.0,7:41,1.0,10.0,LAR 36,13.0,3.0,Baker Mayfield pass complete short left to Tutu Atwell for 22 yards (tackle by Duron Harmon),1.33,2.79,14.0,2022,196
2.0,7:05,1.0,10.0,LVR 42,13.0,3.0,Baker Mayfield up the middle for -1 yards (tackle by Maxx Crosby),2.79,2.11,14.0,2022,196
2.0,6:21,2.0,11.0,LVR 43,13.0,3.0,Cam Akers up the middle for -2 yards (tackle by Trevon Moehrig),2.11,1.16,14.0,2022,196
2.0,5:37,,,,,,Timeout #1 by Los Angeles Rams,,,14.0,2022,196
2.0,5:37,3.0,13.0,LVR 45,13.0,3.0,Baker Mayfield pass complete deep middle to Ben Skowronek for 22 yards (tackle by Sidney Jones),1.16,4.04,14.0,2022,196
2.0,4:56,1.0,10.0,LVR 23,13.0,3.0,"Cam Akers left guard for 3 yards. Cam Akers fumbles (forced by Chandler Jones), recovered by Chandler Jones at LV-17 (tackle by Chandler Jones)",4.04,0.06,14.0,2022,196
2.0,4:45,1.0,10.0,LVR 17,13.0,3.0,Josh Jacobs up the middle for 8 yards (tackle by Taylor Rapp and Bobby Wagner),-0.06,0.62,14.0,2022,196
2.0,4:10,2.0,2.0,LVR 25,13.0,3.0,Josh Jacobs left tackle for 2 yards (tackle by Jonah Williams),0.62,0.74,14.0,2022,196
2.0,3:28,1.0,10.0,LVR 27,13.0,3.0,Derek Carr pass complete short left to Josh Jacobs for 8 yards (tackle by Bobby Wagner),0.74,1.28,14.0,2022,196
2.0,2:47,2.0,2.0,LVR 35,13.0,3.0,Josh Jacobs right end for 8 yards (tackle by Troy Hill),1.28,1.8,14.0,2022,196
2.0,2:00,1.0,10.0,LVR 43,13.0,3.0,Mack Hollins left end for 7 yards (tackle by Troy Hill),1.8,2.2,14.0,2022,196
2.0,1:23,2.0,3.0,LVR 50,13.0,3.0,Josh Jacobs left tackle for no gain (tackle by Greg Gaines),2.2,1.49,14.0,2022,196
2.0,1:17,,,,,,Timeout #2 by Las Vegas Raiders,,,14.0,2022,196
2.0,1:17,3.0,3.0,LVR 50,13.0,3.0,Derek Carr pass complete deep left to Davante Adams for 35 yards (tackle by Jalen Ramsey),1.49,4.58,14.0,2022,196
2.0,1:11,,,,,,Timeout #2 by Los Angeles Rams,,,14.0,2022,196
2.0,1:11,1.0,10.0,LAR 15,13.0,3.0,Derek Carr scrambles right end for 1 yard (tackle by Greg Gaines),4.58,4.11,14.0,2022,196
2.0,1:04,2.0,9.0,LAR 14,13.0,3.0,Derek Carr pass complete short middle to Davante Adams for 4 yards (tackle by Bobby Wagner),4.11,4.0,14.0,2022,196
2.0,0:56,,,,,,Timeout #3 by Las Vegas Raiders,,,14.0,2022,196
2.0,0:56,3.0,5.0,LAR 10,13.0,3.0,Derek Carr pass short middle intended for Mack Hollins is intercepted by Ernest Jones in end zone and returned for no gain,4.0,-0.28,14.0,2022,196
2.0,0:49,1.0,10.0,LAR 20,13.0,3.0,Baker Mayfield pass incomplete short right intended for Tyler Higbee,0.28,-0.27,14.0,2022,196
2.0,0:45,2.0,10.0,LAR 20,13.0,3.0,Baker Mayfield pass incomplete short left intended for Austin Trammell (defended by Sam Webb),-0.27,-0.96,14.0,2022,196
2.0,0:41,3.0,10.0,LAR 20,13.0,3.0,Malcolm Brown up the middle for 5 yards (tackle by Jerry Tillery),-0.96,-1.7,14.0,2022,196
3.0,15:00,,,LVR 35,13.0,3.0,"Daniel Carlson kicks off 60 yards, returned by Brandon Powell for 13 yards (tackle by Brandon Bolden)",0.0,0.04,14.0,2022,196
3.0,14:54,1.0,10.0,LAR 18,13.0,3.0,Baker Mayfield pass incomplete short left intended for Van Jefferson,0.04,-0.49,14.0,2022,196
3.0,14:51,2.0,10.0,LAR 18,13.0,3.0,Baker Mayfield scrambles left end for 6 yards (tackle by Luke Masterson),-0.49,-0.4,14.0,2022,196
3.0,14:08,3.0,4.0,LAR 24,13.0,3.0,Baker Mayfield pass complete short right to Austin Trammell for 5 yards (tackle by Nate Hobbs),-0.4,0.87,14.0,2022,196
3.0,13:25,1.0,10.0,LAR 29,13.0,3.0,Baker Mayfield sacked by Bilal Nichols for -9 yards,0.87,-0.89,14.0,2022,196
3.0,12:38,2.0,19.0,LAR 20,13.0,3.0,Baker Mayfield pass incomplete short right intended for Kyren Williams,-0.89,-1.55,14.0,2022,196
3.0,12:32,3.0,19.0,LAR 20,13.0,3.0,"Baker Mayfield pass incomplete short right intended for Brandon Powell. Penalty on Rob Havenstein: Ineligible Downfield Pass, 5 yards (declined)",-1.55,-2.03,14.0,2022,196
3.0,12:28,4.0,19.0,LAR 20,13.0,3.0,"Riley Dixon punts 60 yards out of bounds. Penalty on Jacob Harris: Kick Catch Interference, 15 yards (offset) . Penalty on Isaiah Pola-Mao: Offensive Holding, 10 yards (offset) (no play)",-2.03,-2.03,14.0,2022,196
3.0,12:19,4.0,19.0,LAR 20,13.0,3.0,Riley Dixon punts 38 yards out of bounds,-2.03,-1.73,14.0,2022,196
3.0,12:10,1.0,10.0,LVR 42,13.0,3.0,"Josh Jacobs up the middle for no gain (tackle by Bobby Wagner). Penalty on Jakob Johnson: Offensive Holding, 10 yards (accepted) (no play)",1.73,1.07,14.0,2022,196
3.0,11:40,1.0,20.0,LVR 32,13.0,3.0,Derek Carr pass incomplete short middle intended for Foster Moreau,1.07,-0.16,14.0,2022,196
3.0,11:36,2.0,20.0,LVR 32,13.0,3.0,Josh Jacobs up the middle for 15 yards (tackle by Russ Yeast),-0.16,1.16,14.0,2022,196
3.0,10:49,3.0,5.0,LVR 47,13.0,3.0,Derek Carr scrambles right end for 4 yards (tackle by Bobby Wagner),1.16,0.0,14.0,2022,196
3.0,10:26,4.0,1.0,LAR 49,13.0,3.0,"AJ Cole punts 36 yards, fair catch by Brandon Powell at LA-13",0.0,0.32,14.0,2022,196
3.0,10:18,1.0,10.0,LAR 13,13.0,3.0,Kyren Williams up the middle for 9 yards (tackle by Tyler Hall and Denzel Perryman),-0.32,0.49,14.0,2022,196
3.0,9:45,2.0,1.0,LAR 22,13.0,3.0,Kyren Williams left end for 8 yards (tackle by Sam Webb),0.49,0.94,14.0,2022,196
3.0,9:03,1.0,10.0,LAR 30,13.0,3.0,Baker Mayfield pass incomplete short middle intended for Van Jefferson,0.94,0.39,14.0,2022,196
3.0,9:00,,,,,,Timeout #1 by Los Angeles Rams,,,14.0,2022,196
3.0,9:00,2.0,10.0,LAR 30,13.0,3.0,Baker Mayfield pass incomplete short right intended for Brandon Powell (defended by Maxx Crosby),0.39,-0.3,14.0,2022,196
3.0,8:56,3.0,10.0,LAR 30,13.0,3.0,Baker Mayfield sacked by and Chandler Jones for no gain and Maxx Crosby for no gain,-0.3,-1.37,14.0,2022,196
3.0,8:15,4.0,10.0,LAR 30,13.0,3.0,Riley Dixon punts 53 yards out of bounds,-1.37,0.06,14.0,2022,196
3.0,8:08,1.0,10.0,LVR 17,13.0,3.0,Zamir White left end for 8 yards (tackle by Troy Hill and Earnest Brown),-0.06,0.62,14.0,2022,196
3.0,7:32,2.0,2.0,LVR 25,13.0,3.0,Zamir White up the middle for no gain (tackle by Bobby Wagner and Earnest Brown),0.62,-0.24,14.0,2022,196
3.0,6:50,3.0,2.0,LVR 25,13.0,3.0,Derek Carr pass incomplete deep left intended for Davante Adams,-0.24,-1.7,14.0,2022,196
3.0,6:45,4.0,2.0,LVR 25,13.0,3.0,"AJ Cole punts 48 yards, returned by Brandon Powell for no gain (tackle by Luke Masterson and Curtis Bolton). Penalty on Robert Rochell: Offensive Holding, 10 yards (accepted)",-1.7,0.06,14.0,2022,196
3.0,6:33,1.0,10.0,LAR 17,13.0,3.0,Cam Akers right tackle for 5 yards (tackle by Denzel Perryman and Neil Farrell),-0.06,0.21,14.0,2022,196
3.0,5:59,2.0,5.0,LAR 22,13.0,3.0,Baker Mayfield pass complete short left to Ben Skowronek for 7 yards (tackle by Sam Webb),0.21,0.87,14.0,2022,196
3.0,5:16,1.0,10.0,LAR 29,13.0,3.0,"Baker Mayfield pass incomplete deep middle intended for Tutu Atwell. Penalty on Trevon Moehrig: Defensive Pass Interference, 41 yards (accepted) (no play)",0.87,3.58,14.0,2022,196
3.0,5:08,1.0,10.0,LVR 30,13.0,3.0,Tutu Atwell right end for 1 yard (tackle by Nate Hobbs),3.58,3.17,14.0,2022,196
3.0,4:25,2.0,9.0,LVR 29,13.0,3.0,Baker Mayfield sacked by Amik Robertson for -1 yards,3.17,2.34,14.0,2022,196
3.0,3:44,3.0,10.0,LVR 30,13.0,3.0,"Baker Mayfield pass complete to Tutu Atwell for 4 yards (tackle by Trevon Moehrig). Penalty on Rob Havenstein: Offensive Holding, 10 yards (accepted)",2.34,1.55,14.0,2022,196
3.0,3:13,3.0,16.0,LVR 36,13.0,3.0,Baker Mayfield pass complete short right to Brycen Hopkins for 8 yards (tackle by Isaiah Pola-Mao and Denzel Perryman),1.55,1.59,14.0,2022,196
3.0,2:55,4.0,8.0,LVR 28,13.0,3.0,"Penalty on Coleman Shelton: Unnecessary Roughness / Offense, 15 yards (accepted) (no play)",1.59,0.4,14.0,2022,196
3.0,2:48,4.0,23.0,LVR 43,13.0,3.0,Matt Gay 61 yard field goal no good,0.4,-2.32,14.0,2022,196
3.0,2:42,1.0,10.0,LAR 49,13.0,3.0,Josh Jacobs right tackle for 1 yard (tackle by Bobby Wagner and Marquise Copeland),2.32,1.92,14.0,2022,196
3.0,1:57,2.0,9.0,LAR 48,13.0,3.0,Derek Carr pass complete short left to Josh Jacobs for 7 yards (tackle by Nick Scott),1.92,2.15,14.0,2022,196
3.0,1:19,3.0,2.0,LAR 41,13.0,3.0,Josh Jacobs left tackle for 4 yards (tackle by Ernest Jones and Michael Hoecht),2.15,3.12,14.0,2022,196
3.0,0:35,1.0,10.0,LAR 37,13.0,3.0,Derek Carr pass incomplete short right,3.12,2.57,14.0,2022,196
3.0,0:25,2.0,10.0,LAR 37,13.0,3.0,Josh Jacobs up the middle for 8 yards (tackle by Troy Hill),2.57,2.94,14.0,2022,196
4.0,15:00,3.0,2.0,LAR 29,13.0,3.0,Josh Jacobs left tackle for 1 yard (tackle by Ernest Jones and Leonard Floyd),2.94,1.72,14.0,2022,196
4.0,14:27,4.0,1.0,LAR 28,13.0,3.0,Derek Carr up the middle for 3 yards (tackle by Bobby Wagner and Greg Gaines),1.72,3.91,14.0,2022,196
4.0,13:46,1.0,10.0,LAR 25,13.0,3.0,Josh Jacobs left tackle for 3 yards (tackle by Ernest Jones and Marquise Copeland),3.91,3.77,14.0,2022,196
4.0,13:08,2.0,7.0,LAR 22,13.0,3.0,Derek Carr pass incomplete short middle intended for Davante Adams,3.77,3.07,14.0,2022,196
4.0,13:03,3.0,7.0,LAR 22,13.0,3.0,Derek Carr pass complete short left to Ameer Abdullah for 4 yards (tackle by Taylor Rapp),3.07,2.35,14.0,2022,196
4.0,12:25,4.0,3.0,LAR 18,16.0,3.0,Daniel Carlson 36 yard field goal good,2.35,3.0,14.0,2022,196
4.0,12:20,,,LVR 35,16.0,3.0,"Daniel Carlson kicks off 65 yards, touchback.",0.0,0.61,14.0,2022,196
4.0,12:20,1.0,10.0,LAR 25,16.0,3.0,Baker Mayfield pass complete short left to Tyler Higbee for 5 yards (tackle by Sam Webb),0.61,0.74,14.0,2022,196
4.0,11:49,2.0,5.0,LAR 30,16.0,3.0,Kyren Williams left tackle for 2 yards (tackle by Kyle Peko),0.74,0.3,14.0,2022,196
4.0,11:06,3.0,3.0,LAR 32,16.0,3.0,"Baker Mayfield pass incomplete deep right intended for Tutu Atwell. Penalty on Rob Havenstein: Offensive Holding, 10 yards (declined)",0.3,-1.24,14.0,2022,196
4.0,11:02,4.0,3.0,LAR 32,16.0,3.0,"Penalty on Clelin Ferrell: Defensive Offside, 6 yards (accepted) Penalty on Sam Webb: Offensive Holding, 10 yards (declined) (no play)",-1.24,1.4,14.0,2022,196
4.0,10:53,1.0,10.0,LAR 37,16.0,3.0,"Baker Mayfield pass complete deep left to Van Jefferson for no gain. Penalty on Ty Nsekhe: Offensive Holding, 10 yards (accepted) (no play)",1.4,0.81,14.0,2022,196
4.0,10:23,1.0,19.0,LAR 28,16.0,3.0,Baker Mayfield pass complete short left to Kyren Williams for 10 yards (tackle by Denzel Perryman),0.81,0.99,14.0,2022,196
4.0,9:57,2.0,9.0,LAR 38,16.0,3.0,Baker Mayfield pass complete short middle to Ben Skowronek for 14 yards (tackle by Nate Hobbs),0.99,2.39,14.0,2022,196
4.0,9:16,1.0,10.0,LVR 48,16.0,3.0,Baker Mayfield pass incomplete deep left intended for Tutu Atwell,2.39,1.85,14.0,2022,196
4.0,9:10,2.0,10.0,LVR 48,16.0,3.0,"Baker Mayfield pass complete short right to Ben Skowronek for 6 yards (tackle by Nate Hobbs) LVR challenged the pass completion ruling, and the play was upheld.",1.85,1.95,14.0,2022,196
4.0,8:41,3.0,4.0,LVR 42,16.0,3.0,"Penalty on Maxx Crosby: Neutral Zone Infraction, 5 yards (accepted) (no play)",1.95,3.12,14.0,2022,196
4.0,8:41,1.0,10.0,LVR 37,16.0,3.0,Cam Akers right tackle for 7 yards (tackle by Luke Masterson and Nate Hobbs),3.12,3.52,14.0,2022,196
4.0,8:00,2.0,3.0,LVR 30,16.0,3.0,Baker Mayfield pass complete short left to Tyler Higbee for 6 yards (tackle by Tyler Hall),3.52,3.97,14.0,2022,196
4.0,7:18,1.0,10.0,LVR 24,16.0,3.0,Baker Mayfield pass complete short left to Ben Skowronek for no gain (tackle by Luke Masterson),3.97,3.43,14.0,2022,196
4.0,6:38,2.0,10.0,LVR 24,16.0,3.0,Baker Mayfield pass incomplete short right intended for Ben Skowronek,3.43,2.74,14.0,2022,196
4.0,6:32,3.0,10.0,LVR 24,16.0,3.0,Baker Mayfield pass complete short right to Tutu Atwell for 13 yards (tackle by Nate Hobbs),2.74,4.84,14.0,2022,196
4.0,5:59,1.0,10.0,LVR 11,16.0,3.0,Baker Mayfield pass complete short right to Tutu Atwell for 3 yards (tackle by Nate Hobbs),4.84,4.7,14.0,2022,196
4.0,5:20,2.0,7.0,LVR 8,16.0,3.0,Cam Akers up the middle for 3 yards (tackle by Sam Webb and Denzel Perryman),4.7,4.44,14.0,2022,196
4.0,4:39,3.0,4.0,LVR 5,16.0,3.0,Baker Mayfield pass complete short right to Malcolm Brown for 3 yards (tackle by Amik Robertson),4.44,3.25,14.0,2022,196
4.0,3:55,,,,,,Timeout #2 by Los Angeles Rams,,,14.0,2022,196
4.0,3:55,4.0,1.0,LVR 2,16.0,3.0,Baker Mayfield pass complete short left to Cam Akers for 1 yard (tackle by Trevon Moehrig),3.25,6.97,14.0,2022,196
4.0,3:25,1.0,1.0,LVR 1,16.0,9.0,"Cam Akers up the middle for 1 yard, touchdown",6.97,7.0,14.0,2022,196
4.0,3:19,,,LVR 15,16.0,10.0,Matt Gay kicks extra point good,0.0,0.0,14.0,2022,196
4.0,3:19,,,LAR 35,16.0,10.0,"Matt Gay kicks off 65 yards, touchback.",0.0,0.61,14.0,2022,196
4.0,3:19,1.0,10.0,LVR 25,16.0,10.0,Josh Jacobs up the middle for 1 yard (tackle by Troy Hill),0.61,0.2,14.0,2022,196
4.0,3:15,,,,,,Timeout #3 by Los Angeles Rams,,,14.0,2022,196
4.0,3:15,2.0,9.0,LVR 26,16.0,10.0,Josh Jacobs up the middle for 8 yards (tackle by Michael Hoecht),0.2,0.56,14.0,2022,196
4.0,2:38,3.0,1.0,LVR 34,16.0,10.0,Josh Jacobs up the middle for no gain (tackle by Bobby Wagner and Marquise Copeland),0.56,-1.11,14.0,2022,196
4.0,2:00,4.0,1.0,LVR 34,16.0,10.0,AJ Cole punts 64 yards downed by Ameer Abdullah,-1.11,0.38,14.0,2022,196
4.0,1:45,1.0,10.0,LAR 2,16.0,10.0,Baker Mayfield pass incomplete short left intended for Tutu Atwell,-0.38,-0.78,14.0,2022,196
4.0,1:41,2.0,10.0,LAR 2,16.0,10.0,Baker Mayfield pass complete short left to Tutu Atwell for 8 yards (tackle by Amik Robertson),-0.78,-0.37,14.0,2022,196
4.0,1:37,3.0,1.0,LAR 11,16.0,10.0,"Baker Mayfield pass deep left is intercepted by Duron Harmon at LA-28 and returned for no gain. Penalty on Amik Robertson: Defensive Pass Interference, 12 yards (accepted) (no play)",-0.37,0.41,14.0,2022,196
4.0,1:30,1.0,10.0,LAR 22,16.0,10.0,Baker Mayfield sacked by and Maxx Crosby for -9 yards and Chandler Jones for -9 yards,0.41,-1.43,14.0,2022,196
4.0,1:20,2.0,19.0,LAR 13,16.0,10.0,"Penalty on Jerry Tillery: Unsportsmanlike Conduct / Defense, 15 yards (accepted) (no play)",-1.43,0.81,14.0,2022,196
4.0,1:20,1.0,10.0,LAR 28,16.0,10.0,Baker Mayfield pass complete deep right to Ben Skowronek for 32 yards (tackle by Nate Hobbs),0.81,2.92,14.0,2022,196
4.0,0:56,1.0,10.0,LVR 40,16.0,10.0,Baker Mayfield pass complete short middle to Malcolm Brown for 9 yards (tackle by Isaiah Pola-Mao and Denzel Perryman),2.92,3.59,14.0,2022,196
4.0,0:33,2.0,1.0,LVR 31,16.0,10.0,Baker Mayfield pass complete short left to Ben Skowronek for 8 yards (tackle by Nate Hobbs),3.59,4.04,14.0,2022,196
4.0,0:16,1.0,10.0,LVR 23,16.0,10.0,Baker Mayfield spiked the ball,4.04,3.5,14.0,2022,196
4.0,0:15,2.0,10.0,LVR 23,16.0,16.0,"Baker Mayfield pass complete deep left to Van Jefferson for 23 yards, touchdown",3.5,7.0,14.0,2022,196
4.0,0:10,,,,,,Timeout #2 by Las Vegas Raiders,,,14.0,2022,196
4.0,0:10,,,LVR 15,16.0,17.0,Matt Gay kicks extra point good,0.0,0.0,14.0,2022,196
4.0,0:10,,,LAR 35,16.0,17.0,"Matt Gay kicks off 65 yards, touchback.",0.0,0.61,14.0,2022,196
4.0,0:10,1.0,10.0,LVR 25,16.0,17.0,Derek Carr pass deep middle intended for Davante Adams is intercepted by Taylor Rapp at LV-49 and returned for no gain (tackle by Davante Adams),0.61,-2.32,14.0,2022,196
4.0,0:02,1.0,10.0,LVR 49,16.0,17.0,Baker Mayfield kneels for -1 yards,2.32,1.65,14.0,2022,196
