Quarter,Time,Down,ToGo,Location,WAS,ARI,Detail,EPB,EPA,week,year,game_id
1.0,1:29,3.0,4.0,WAS 13,7.0,7.0,Jayden Daniels pass complete short right to Olamide Zaccheaus for 5 yards (tackle by Budda Baker),-0.72,0.04,4.0,2024,58
1.0,0:51,1.0,10.0,WAS 18,7.0,7.0,Jayden Daniels pass complete short right to Terry McLaurin for 11 yards,0.04,0.87,4.0,2024,58
1.0,0:20,1.0,10.0,WAS 29,7.0,7.0,Brian Robinson left end for 6 yards (tackle by Kyzir White),0.87,1.14,4.0,2024,58
2.0,15:00,2.0,4.0,WAS 35,7.0,7.0,Jayden Daniels scrambles right end for 2 yards (tackle by Julian Okwara),1.14,0.7,4.0,2024,58
2.0,14:24,3.0,2.0,WAS 37,7.0,7.0,Jayden Daniels pass complete short left to Terry McLaurin for 5 yards (tackle by Starling Thomas and Jalen Thompson),0.7,1.73,4.0,2024,58
2.0,13:41,1.0,10.0,WAS 42,7.0,7.0,Jayden Daniels pass complete short right to Olamide Zaccheaus for 14 yards (tackle by Dennis Gardeck),1.73,2.65,4.0,2024,58
2.0,13:02,1.0,10.0,ARI 44,7.0,7.0,Jeremy McNichols left tackle for 6 yards (tackle by Dante Stills and Budda Baker),2.65,2.92,4.0,2024,58
2.0,12:26,2.0,4.0,ARI 38,7.0,7.0,Jayden Daniels scrambles right end for 3 yards (tackle by Dennis Gardeck),2.92,2.61,4.0,2024,58
2.0,11:45,3.0,1.0,ARI 35,7.0,7.0,Brian Robinson up the middle for 2 yards (tackle by Kyzir White),2.61,3.38,4.0,2024,58
2.0,11:04,1.0,10.0,ARI 33,7.0,7.0,Jayden Daniels scrambles up the middle for 6 yards (tackle by Bilal Nichols),3.38,3.65,4.0,2024,58
2.0,10:26,2.0,4.0,ARI 27,13.0,7.0,"Jeremy McNichols left end for 27 yards, touchdown",3.65,7.0,4.0,2024,58
2.0,10:18,,,ARI 15,14.0,7.0,Austin Seibert kicks extra point good,0.0,0.0,4.0,2024,58
2.0,10:18,,,WAS 35,14.0,7.0,"Austin Seibert kicks off 53 yards, returned by Emari Demercado for 16 yards (tackle by Jeremy Chinn)",0.0,0.81,4.0,2024,58
2.0,10:14,1.0,10.0,ARI 28,14.0,7.0,Trey Benson up the middle for 6 yards (tackle by Bobby Wagner),0.81,1.07,4.0,2024,58
2.0,9:45,2.0,4.0,ARI 34,14.0,7.0,Kyler Murray pass complete short right to Elijah Higgins for 3 yards (tackle by Jeremy Chinn),1.07,0.76,4.0,2024,58
2.0,9:10,3.0,1.0,ARI 37,14.0,7.0,Kyler Murray pass incomplete short middle intended for Michael Wilson (defended by Noah Igbinoghene),0.76,-0.91,4.0,2024,58
2.0,9:04,4.0,1.0,ARI 37,14.0,7.0,"Blake Gillikin punts 43 yards, fair catch by Olamide Zaccheaus at WAS-20",-0.91,-0.28,4.0,2024,58
2.0,8:57,1.0,10.0,WAS 20,14.0,7.0,Jayden Daniels pass complete short middle to Zach Ertz for 9 yards (tackle by Budda Baker),0.28,0.95,4.0,2024,58
2.0,8:24,2.0,1.0,WAS 29,14.0,7.0,Brian Robinson up the middle for 9 yards (tackle by Mack Wilson),0.95,1.47,4.0,2024,58
2.0,7:59,1.0,10.0,WAS 38,14.0,7.0,Brian Robinson up the middle for 7 yards (tackle by Jalen Thompson and Budda Baker),1.47,1.87,4.0,2024,58
2.0,7:18,2.0,3.0,WAS 45,14.0,7.0,Jayden Daniels pass complete short right to Noah Brown for 6 yards,1.87,2.32,4.0,2024,58
2.0,6:50,1.0,10.0,ARI 49,14.0,7.0,Jayden Daniels pass deep middle intended for Terry McLaurin is intercepted by Garrett Williams at ARI-18 and returned for no gain (tackle by Zach Ertz),2.32,-0.04,4.0,2024,58
2.0,6:41,1.0,10.0,ARI 18,14.0,7.0,James Conner up the middle for no gain (tackle by Percy Butler and Jonathan Allen),0.04,-0.49,4.0,2024,58
2.0,6:05,2.0,10.0,ARI 18,14.0,7.0,Kyler Murray sacked by and Frankie Luvu for -5 yards and Dorance Armstrong for -5 yards,-0.49,-1.97,4.0,2024,58
2.0,5:25,3.0,15.0,ARI 13,14.0,7.0,Kyler Murray pass complete short right to Greg Dortch for 7 yards (tackle by Bobby Wagner),-1.97,-2.03,4.0,2024,58
2.0,4:46,4.0,8.0,ARI 20,14.0,7.0,"Blake Gillikin punts 52 yards, fair catch by Olamide Zaccheaus at WAS-28",-2.03,-0.81,4.0,2024,58
2.0,4:35,1.0,10.0,WAS 28,14.0,7.0,Brian Robinson left end for no gain (tackle by Bilal Nichols),0.81,0.26,4.0,2024,58
2.0,4:04,2.0,10.0,WAS 28,14.0,7.0,Brian Robinson up the middle for -5 yards (tackle by Roy Lopez),0.26,-1.09,4.0,2024,58
2.0,3:26,3.0,15.0,WAS 23,14.0,7.0,Jayden Daniels pass incomplete deep left intended for Terry McLaurin,-1.09,-1.83,4.0,2024,58
2.0,3:14,4.0,15.0,WAS 23,14.0,7.0,"Tress Way punts 51 yards, returned by Greg Dortch for 4 yards (tackle by Ben Sinnott)",-1.83,-0.94,4.0,2024,58
2.0,3:07,1.0,10.0,ARI 30,14.0,7.0,James Conner right end for no gain (tackle by Jeremy Chinn),0.94,0.39,4.0,2024,58
2.0,2:32,2.0,10.0,ARI 30,14.0,7.0,Kyler Murray pass complete short left to James Conner for 9 yards (tackle by Jonathan Allen),0.39,0.89,4.0,2024,58
2.0,2:00,3.0,1.0,ARI 39,14.0,7.0,James Conner up the middle for 2 yards (tackle by Frankie Luvu),0.89,1.66,4.0,2024,58
2.0,1:29,1.0,10.0,ARI 41,14.0,7.0,James Conner up the middle for 4 yards (tackle by Daron Payne),1.66,1.66,4.0,2024,58
2.0,1:10,2.0,6.0,ARI 45,14.0,7.0,Kyler Murray pass complete short left to Michael Wilson for 11 yards,1.66,2.65,4.0,2024,58
2.0,1:05,1.0,10.0,WAS 44,14.0,7.0,Emari Demercado right end for no gain (tackle by Frankie Luvu),2.65,2.11,4.0,2024,58
2.0,0:43,2.0,10.0,WAS 44,14.0,7.0,Kyler Murray pass incomplete deep right intended for Michael Wilson,2.11,1.42,4.0,2024,58
2.0,0:39,3.0,10.0,WAS 44,14.0,7.0,Kyler Murray pass complete short middle to Greg Dortch for 9 yards (tackle by Quan Martin),1.42,1.0,4.0,2024,58
2.0,0:34,,,,,,Timeout #1 by Arizona Cardinals,,,4.0,2024,58
2.0,0:34,4.0,1.0,WAS 35,14.0,7.0,Kyler Murray sacked by Dorance Armstrong for -7 yards,1.0,-1.73,4.0,2024,58
2.0,0:29,1.0,10.0,WAS 42,14.0,7.0,Jayden Daniels pass complete short left to Jeremy McNichols for 6 yards (tackle by Budda Baker),1.73,1.93,4.0,2024,58
2.0,0:23,2.0,5.0,WAS 48,14.0,7.0,Jayden Daniels pass complete short middle to Zach Ertz for 13 yards (tackle by Starling Thomas),1.93,2.98,4.0,2024,58
2.0,0:16,,,,,,Timeout #1 by Washington Commanders,,,4.0,2024,58
2.0,0:16,1.0,10.0,ARI 39,14.0,7.0,Jayden Daniels scrambles right end for 7 yards (tackle by Garrett Williams),2.98,3.39,4.0,2024,58
2.0,0:09,2.0,3.0,ARI 32,14.0,7.0,Jeremy McNichols up the middle for 5 yards (tackle by Jalen Thompson and Dennis Gardeck),3.39,3.78,4.0,2024,58
2.0,0:03,,,,,,Timeout #2 by Washington Commanders,,,4.0,2024,58
2.0,0:03,1.0,10.0,ARI 27,17.0,7.0,Austin Seibert 45 yard field goal good,3.78,3.0,4.0,2024,58
3.0,15:00,,,ARI 35,17.0,7.0,"Matt Prater kicks off 65 yards, touchback.",0.0,0.94,4.0,2024,58
3.0,15:00,1.0,10.0,WAS 30,17.0,7.0,Jayden Daniels pass complete short right to John Bates for 9 yards (tackle by Sean Murphy-Bunting and Jalen Thompson),0.94,1.61,4.0,2024,58
3.0,14:26,2.0,1.0,WAS 39,17.0,7.0,Brian Robinson up the middle for 5 yards (tackle by Kyzir White),1.61,1.86,4.0,2024,58
3.0,14:05,1.0,10.0,WAS 44,17.0,7.0,"Jayden Daniels pass incomplete deep right intended for Noah Brown. Penalty on Sean Murphy-Bunting: Defensive Pass Interference, 47 yards (accepted) (no play)",1.86,5.14,4.0,2024,58
3.0,13:57,1.0,9.0,ARI 9,23.0,7.0,"Jayden Daniels right end for 9 yards, touchdown",5.14,7.0,4.0,2024,58
3.0,13:52,,,ARI 15,24.0,7.0,Austin Seibert kicks extra point good,0.0,0.0,4.0,2024,58
3.0,13:52,,,WAS 35,24.0,7.0,"Austin Seibert kicks off 65 yards, touchback.",0.0,0.94,4.0,2024,58
3.0,13:52,1.0,10.0,ARI 30,24.0,7.0,"James Conner right tackle for 4 yards (tackle by Bobby Wagner). Penalty on Zach Pascal: Offensive Holding, 10 yards (accepted)",0.94,0.54,4.0,2024,58
3.0,13:35,1.0,16.0,ARI 24,24.0,7.0,"Kyler Murray pass complete short left to Greg Dortch for no gain (tackle by Quan Martin). Penalty on Paris Johnson: Offensive Holding, 10 yards (accepted) (no play)",0.54,-0.64,4.0,2024,58
3.0,13:19,1.0,26.0,ARI 14,24.0,7.0,Kyler Murray pass incomplete short middle intended for Michael Wilson,-0.64,-1.9,4.0,2024,58
3.0,13:15,2.0,26.0,ARI 14,24.0,7.0,Kyler Murray sacked by and Bobby Wagner for -8 yards and Daron Payne for -8 yards,-1.9,-4.23,4.0,2024,58
3.0,12:35,3.0,34.0,ARI 6,24.0,7.0,Emari Demercado up the middle for 8 yards (tackle by Bobby Wagner),-4.23,-2.47,4.0,2024,58
3.0,12:04,4.0,26.0,ARI 14,24.0,7.0,"Blake Gillikin punts 62 yards, returned by Olamide Zaccheaus for 16 yards (tackle by Dennis Gardeck and Victor Dimukeje)",-2.47,-1.6,4.0,2024,58
3.0,11:53,1.0,10.0,WAS 40,24.0,7.0,Brian Robinson left tackle for 1 yard (tackle by Kyzir White and Roy Lopez),1.6,1.19,4.0,2024,58
3.0,11:19,2.0,9.0,WAS 41,24.0,7.0,Jayden Daniels scrambles right end for no gain (tackle by Mack Wilson) (no play),1.19,0.65,4.0,2024,58
3.0,10:49,2.0,13.0,WAS 37,24.0,7.0,Jayden Daniels pass complete short right to Zach Ertz for no gain (tackle by Garrett Williams),0.65,-0.03,4.0,2024,58
3.0,10:15,3.0,13.0,WAS 37,24.0,7.0,Jayden Daniels pass complete short right to Noah Brown for 14 yards (tackle by Jalen Thompson and Krys Barnes),-0.03,2.32,4.0,2024,58
3.0,9:31,1.0,10.0,ARI 49,24.0,7.0,Brian Robinson left tackle for 1 yard (tackle by Mack Wilson),2.32,1.92,4.0,2024,58
3.0,8:57,2.0,9.0,ARI 48,24.0,7.0,Jayden Daniels pass complete short left to Dyami Brown for 4 yards (tackle by Max Melton),1.92,1.75,4.0,2024,58
3.0,8:17,3.0,5.0,ARI 44,24.0,7.0,Jayden Daniels pass complete short right to Terry McLaurin for 4 yards (tackle by Max Melton),1.75,0.59,4.0,2024,58
3.0,7:34,4.0,1.0,ARI 40,24.0,7.0,Jeremy McNichols up the middle for 15 yards (tackle by Max Melton and Budda Baker),0.59,3.91,4.0,2024,58
3.0,6:51,1.0,10.0,ARI 25,24.0,7.0,Jayden Daniels pass complete short right to Terry McLaurin for 2 yards (tackle by Garrett Williams),3.91,3.63,4.0,2024,58
3.0,6:10,2.0,8.0,ARI 23,24.0,7.0,Jayden Daniels pass incomplete short left intended for Terry McLaurin (defended by Starling Thomas),3.63,2.94,4.0,2024,58
3.0,6:02,3.0,8.0,ARI 23,24.0,7.0,Jayden Daniels pass complete short right to Brian Robinson for 4 yards (tackle by Budda Baker),2.94,2.26,4.0,2024,58
3.0,5:19,4.0,4.0,ARI 19,27.0,7.0,Austin Seibert 38 yard field goal good,2.26,3.0,4.0,2024,58
3.0,5:16,,,WAS 35,27.0,7.0,"Austin Seibert kicks off 64 yards, returned by DeeJay Dallas for 25 yards (tackle by Michael Davis and Jeremy McNichols)",0.0,0.67,4.0,2024,58
3.0,5:10,1.0,10.0,ARI 26,27.0,7.0,Kyler Murray pass complete short right to Marvin Harrison for 5 yards (tackle by Benjamin St-Juste),0.67,0.81,4.0,2024,58
3.0,4:39,2.0,5.0,ARI 31,27.0,7.0,James Conner up the middle for 20 yards (tackle by Jamin Davis and Emmanuel Forbes),0.81,2.32,4.0,2024,58
3.0,4:04,1.0,10.0,WAS 49,27.0,7.0,James Conner up the middle for 5 yards (tackle by Bobby Wagner),2.32,2.46,4.0,2024,58
3.0,3:31,2.0,5.0,WAS 44,27.0,7.0,Kyler Murray sacked by Jonathan Allen for -7 yards,2.46,0.83,4.0,2024,58
3.0,2:55,3.0,12.0,ARI 49,27.0,7.0,Kyler Murray pass complete short left to Emari Demercado for no gain (tackle by Dorance Armstrong),0.83,-0.13,4.0,2024,58
3.0,2:14,4.0,12.0,ARI 49,27.0,7.0,Kyler Murray pass complete deep left to Marvin Harrison for 19 yards,-0.13,3.45,4.0,2024,58
3.0,1:56,1.0,10.0,WAS 32,27.0,7.0,Emari Demercado left tackle for no gain (tackle by Jamin Davis),3.45,2.9,4.0,2024,58
3.0,1:25,2.0,10.0,WAS 32,27.0,7.0,Kyler Murray pass complete short middle to Greg Dortch for 12 yards (tackle by Mike Sainristil and Quan Martin),2.9,4.24,4.0,2024,58
3.0,0:55,1.0,10.0,WAS 20,27.0,7.0,James Conner up the middle for 8 yards (tackle by Jeremy Chinn),4.24,5.04,4.0,2024,58
3.0,0:37,2.0,2.0,WAS 12,27.0,7.0,James Conner up the middle for 6 yards (tackle by Jonathan Allen),5.04,5.83,4.0,2024,58
3.0,0:15,1.0,6.0,WAS 6,27.0,13.0,"James Conner up the middle for 6 yards, touchdown",5.83,7.0,4.0,2024,58
3.0,0:11,,,WAS 15,27.0,14.0,Matt Prater kicks extra point good,0.0,0.0,4.0,2024,58
3.0,0:11,,,ARI 35,27.0,14.0,"Matt Prater kicks off 65 yards, touchback.",0.0,0.94,4.0,2024,58
3.0,0:11,1.0,10.0,WAS 30,27.0,14.0,Brian Robinson right tackle for 4 yards (tackle by Roy Lopez and Dante Stills),0.94,0.93,4.0,2024,58
4.0,15:00,2.0,6.0,WAS 34,27.0,14.0,Jayden Daniels pass complete short left to Terry McLaurin for 15 yards (tackle by Mack Wilson),0.93,2.19,4.0,2024,58
4.0,14:33,1.0,10.0,WAS 49,27.0,14.0,Brian Robinson up the middle for 7 yards (tackle by Roy Lopez),2.19,2.59,4.0,2024,58
4.0,14:08,2.0,3.0,ARI 44,27.0,14.0,Jayden Daniels scrambles right end for 10 yards (tackle by Kyzir White),2.59,3.31,4.0,2024,58
4.0,13:33,1.0,10.0,ARI 34,27.0,14.0,"Jayden Daniels pass complete short middle to Olamide Zaccheaus for 14 yards (tackle by Jalen Thompson). Penalty on Olamide Zaccheaus: Taunting / Offense, 15 yards (accepted)",3.31,3.25,4.0,2024,58
4.0,12:59,1.0,10.0,ARI 35,27.0,14.0,Jayden Daniels pass complete short right to Brian Robinson for 5 yards (tackle by Kyzir White and Mack Wilson),3.25,3.38,4.0,2024,58
4.0,12:15,2.0,5.0,ARI 30,27.0,14.0,Jayden Daniels pass complete short right to Olamide Zaccheaus for 9 yards (tackle by Budda Baker),3.38,4.17,4.0,2024,58
4.0,11:40,1.0,10.0,ARI 21,27.0,14.0,"Jeremy McNichols up the middle for no gain (tackle by Mack Wilson). Penalty on Samuel Cosmi: Offensive Holding, 10 yards (accepted) (no play)",4.17,3.51,4.0,2024,58
4.0,11:17,1.0,20.0,ARI 31,27.0,14.0,Brian Robinson up the middle for 5 yards (tackle by Bilal Nichols and L.J. Collier),3.51,2.95,4.0,2024,58
4.0,10:40,2.0,15.0,ARI 26,27.0,14.0,Jayden Daniels pass complete short middle to Luke McCaffrey for 17 yards (tackle by Budda Baker),2.95,5.14,4.0,2024,58
4.0,9:54,1.0,9.0,ARI 9,27.0,14.0,Brian Robinson up the middle for 1 yard (tackle by Angelo Blackson),5.14,4.57,4.0,2024,58
4.0,9:21,2.0,8.0,ARI 8,27.0,14.0,"Penalty on WAS: Offensive Too Many Men on Field, 5 yards (accepted) (no play)",4.57,3.72,4.0,2024,58
4.0,9:21,2.0,13.0,ARI 13,27.0,14.0,Jayden Daniels pass complete short right to Brian Robinson for 3 yards (tackle by Zaven Collins),3.72,3.13,4.0,2024,58
4.0,8:35,3.0,10.0,ARI 10,33.0,14.0,"Jayden Daniels pass complete short middle to Terry McLaurin for 10 yards, touchdown",3.13,7.0,4.0,2024,58
4.0,8:30,,,ARI 2,35.0,14.0,Two Point Attempt: Jayden Daniels pass complete to to Zach Ertz for no gain,1.0,1.0,4.0,2024,58
4.0,8:30,,,WAS 35,35.0,14.0,"Austin Seibert kicks off 65 yards, returned by DeeJay Dallas for 24 yards (tackle by Colson Yankoff)",0.0,0.54,4.0,2024,58
4.0,8:25,1.0,10.0,ARI 24,35.0,14.0,Kyler Murray pass complete short middle to Elijah Higgins for 9 yards (tackle by Dante Fowler and Emmanuel Forbes),0.54,1.21,4.0,2024,58
4.0,8:01,2.0,1.0,ARI 33,35.0,14.0,Kyler Murray pass incomplete short right intended for Elijah Higgins,1.21,0.5,4.0,2024,58
4.0,7:57,3.0,1.0,ARI 33,35.0,14.0,Emari Demercado up the middle for 16 yards (tackle by Frankie Luvu),0.5,2.19,4.0,2024,58
4.0,7:36,1.0,10.0,ARI 49,35.0,14.0,Kyler Murray pass complete short left to Michael Wilson for 5 yards (tackle by Mike Sainristil),2.19,2.32,4.0,2024,58
4.0,7:14,2.0,5.0,WAS 46,35.0,14.0,"Kyler Murray pass complete deep left to Michael Wilson for no gain (tackle by Frankie Luvu and Jeremy Chinn) WAS challenged the runner was down by contact ruling, and the original play was overturned. Kyler Murray pass complete deep left to Michael Wilson for 22 yards. Michael Wilson fumbles and Jeremy Chinn), recovered by Frankie Luvu at WAS-24",2.32,-0.54,4.0,2024,58
4.0,7:11,1.0,10.0,WAS 24,35.0,14.0,Brian Robinson up the middle for 1 yard (tackle by Mack Wilson),0.54,0.13,4.0,2024,58
4.0,7:06,,,,,,Timeout #1 by Arizona Cardinals,,,4.0,2024,58
4.0,7:06,2.0,9.0,WAS 25,35.0,14.0,Jayden Daniels pass incomplete short left intended for Noah Brown,0.13,-0.56,4.0,2024,58
4.0,7:02,3.0,9.0,WAS 25,35.0,14.0,"Brian Robinson right tackle for 18 yards (tackle by Kyzir White and Jalen Thompson). Penalty on Dennis Gardeck: Unnecessary Roughness / Defense, 15 yards (accepted)",-0.56,2.79,4.0,2024,58
4.0,6:53,,,,,,Timeout #2 by Arizona Cardinals,,,4.0,2024,58
4.0,6:53,1.0,10.0,ARI 42,35.0,14.0,Jeremy McNichols right tackle for 2 yards (tackle by Zaven Collins),2.79,2.51,4.0,2024,58
4.0,6:48,,,,,,Timeout #3 by Arizona Cardinals,,,4.0,2024,58
4.0,6:48,2.0,8.0,ARI 40,35.0,14.0,Jeremy McNichols right tackle for 3 yards (tackle by Budda Baker),2.51,2.21,4.0,2024,58
4.0,6:16,3.0,5.0,ARI 37,35.0,14.0,Jayden Daniels pass complete short right to Olamide Zaccheaus for 27 yards (tackle by Budda Baker and Sean Murphy-Bunting),2.21,4.91,4.0,2024,58
4.0,5:16,1.0,10.0,ARI 10,35.0,14.0,Jeremy McNichols right tackle for 3 yards (tackle by Kyzir White and Jalen Thompson),4.91,4.76,4.0,2024,58
4.0,4:33,2.0,7.0,ARI 7,41.0,14.0,"Jeremy McNichols up the middle for 7 yards, touchdown",4.76,7.0,4.0,2024,58
4.0,4:30,,,ARI 15,41.0,14.0,"Penalty on Jeremy McNichols: Taunting / Offense, 15 yards (accepted) (no play)",0.0,0.0,4.0,2024,58
4.0,4:30,,,ARI 30,42.0,14.0,Austin Seibert kicks extra point good,0.0,0.0,4.0,2024,58
4.0,4:30,,,WAS 35,42.0,14.0,"Austin Seibert kicks off 67 yards, returned by DeeJay Dallas for 26 yards (tackle by Mykal Walker and Tyler Owens)",0.0,0.54,4.0,2024,58
4.0,4:23,1.0,10.0,ARI 24,42.0,14.0,Trey Benson up the middle for 8 yards (tackle by Bobby Wagner and Dorance Armstrong),0.54,1.08,4.0,2024,58
4.0,3:50,2.0,2.0,ARI 32,42.0,14.0,Trey Benson up the middle for 1 yard (tackle by Noah Igbinoghene and Percy Butler),1.08,0.5,4.0,2024,58
4.0,3:09,3.0,1.0,ARI 33,42.0,14.0,Trey Benson up the middle for 10 yards (tackle by Jeremy Chinn and Noah Igbinoghene),0.5,1.8,4.0,2024,58
4.0,2:30,1.0,10.0,ARI 43,42.0,14.0,"Trey Benson right end for no gain. Trey Benson fumbles (forced by Dorance Armstrong), recovered by Hjalte Froholdt at ARI-45",1.8,1.52,4.0,2024,58
4.0,2:00,2.0,8.0,ARI 45,42.0,14.0,Trey Benson up the middle for 6 yards (tackle by Mykal Walker),1.52,1.62,4.0,2024,58
4.0,1:23,3.0,2.0,WAS 49,42.0,14.0,Trey Benson up the middle for 3 yards (tackle by Phidarian Mathis),1.62,2.52,4.0,2024,58
4.0,0:42,1.0,10.0,WAS 46,42.0,14.0,Trey Benson up the middle for 13 yards (tackle by Quan Martin),2.52,3.38,4.0,2024,58
4.0,0:32,1.0,10.0,WAS 33,42.0,14.0,Trey Benson up the middle for 3 yards (tackle by Jamin Davis),3.38,3.24,4.0,2024,58
