Quarter,Time,Down,ToGo,Location,SEA,DET,Detail,EPB,EPA,week,year,game_id
4.0,11:44,1.0,10.0,SEA 42,27.0,35.0,Zach Charbonnet up the middle for 12 yards (tackle by Alex Anzalone and Carlton Davis),1.73,2.52,4.0,2024,64
4.0,11:14,1.0,10.0,DET 46,27.0,35.0,Geno Smith pass complete short middle to Jaxon Smith-Njigba for 8 yards (tackle by Jack Campbell),2.52,3.06,4.0,2024,64
4.0,10:28,2.0,2.0,DET 38,27.0,35.0,"Zach Charbonnet right end for 3 yards (tackle by Jack Campbell). Penalty on D.K. Metcalf: Offensive Holding, 10 yards (accepted)",3.06,2.11,4.0,2024,64
4.0,10:05,2.0,9.0,DET 45,27.0,35.0,Geno Smith pass complete short left to Zach Charbonnet for 6 yards (tackle by Amik Robertson),2.11,2.21,4.0,2024,64
4.0,9:21,3.0,3.0,DET 39,27.0,35.0,Geno Smith pass incomplete short right intended for Tyler Lockett (defended by Amik Robertson),2.21,0.66,4.0,2024,64
4.0,9:18,4.0,3.0,DET 39,27.0,35.0,"Geno Smith pass complete to Jaxon Smith-Njigba for no gain (tackle by Amik Robertson). Penalty on Tyler Lockett: Offensive Pass Interference, 10 yards (accepted) (no play)",0.66,0.0,4.0,2024,64
4.0,9:02,4.0,13.0,DET 49,27.0,35.0,"Penalty on Zach Charbonnet: False Start, 5 yards (accepted) (no play)",0.0,-0.32,4.0,2024,64
4.0,9:02,4.0,18.0,SEA 46,27.0,35.0,"Michael Dickson punts 54 yards, touchback.",-0.32,-0.28,4.0,2024,64
4.0,8:57,1.0,10.0,DET 20,27.0,35.0,Jared Goff pass complete deep right to Tim Patrick for 29 yards (tackle by Rayshawn Jenkins),0.28,2.19,4.0,2024,64
4.0,8:15,1.0,10.0,DET 49,27.0,35.0,Jahmyr Gibbs up the middle for 3 yards (tackle by Tyrel Dodson and Rayshawn Jenkins),2.19,2.05,4.0,2024,64
4.0,7:41,2.0,7.0,SEA 48,27.0,35.0,Jahmyr Gibbs up the middle for 8 yards (tackle by K'Von Wallace and Coby Bryant),2.05,2.92,4.0,2024,64
4.0,7:03,1.0,10.0,SEA 40,27.0,35.0,Jared Goff pass complete short middle to Sam LaPorta for 30 yards (tackle by Riq Woolen and Tyrel Dodson),2.92,4.91,4.0,2024,64
4.0,6:17,1.0,10.0,SEA 10,27.0,35.0,"Jared Goff pass incomplete short left intended for Sam LaPorta. Penalty on Brock Wright: Offensive Pass Interference, 10 yards (accepted) (no play)",4.91,4.24,4.0,2024,64
4.0,6:13,1.0,20.0,SEA 20,27.0,35.0,Jahmyr Gibbs left end for 8 yards (tackle by Coby Bryant),4.24,3.86,4.0,2024,64
4.0,5:36,2.0,12.0,SEA 12,27.0,35.0,Jahmyr Gibbs up the middle for 4 yards (tackle by Myles Adams),3.86,3.58,4.0,2024,64
4.0,5:29,,,,,,Timeout #1 by Seattle Seahawks,,,4.0,2024,64
4.0,5:29,3.0,8.0,SEA 8,27.0,41.0,"Jared Goff pass complete short left to Amon-Ra St. Brown for 8 yards, touchdown",3.58,7.0,4.0,2024,64
4.0,5:23,,,SEA 15,27.0,42.0,Jake Bates kicks extra point good,0.0,0.0,4.0,2024,64
4.0,5:23,,,DET 35,27.0,42.0,"Jake Bates kicks off 65 yards, touchback.",0.0,0.94,4.0,2024,64
4.0,5:23,1.0,10.0,SEA 30,27.0,42.0,Geno Smith sacked by and Levi Onwuzurike for -2 yards and Alim McNeill for -2 yards,0.94,0.12,4.0,2024,64
4.0,4:51,2.0,12.0,SEA 28,27.0,42.0,Geno Smith pass complete short left to Kenneth Walker for 13 yards (tackle by Amik Robertson),0.12,1.66,4.0,2024,64
4.0,4:25,1.0,10.0,SEA 41,27.0,42.0,Geno Smith pass complete short middle to Tyler Lockett for 13 yards (tackle by Amik Robertson),1.66,2.52,4.0,2024,64
4.0,3:58,1.0,10.0,DET 46,27.0,42.0,Geno Smith pass incomplete deep left intended for Jaxon Smith-Njigba,2.52,1.98,4.0,2024,64
4.0,3:54,2.0,10.0,DET 46,27.0,42.0,Geno Smith pass complete short left to Noah Fant for 10 yards (tackle by Kerby Joseph),1.98,3.18,4.0,2024,64
4.0,3:18,1.0,10.0,DET 36,27.0,42.0,Geno Smith pass complete short middle to Jaxon Smith-Njigba for 4 yards (tackle by Amik Robertson),3.18,3.18,4.0,2024,64
4.0,2:54,2.0,6.0,DET 32,27.0,42.0,"Geno Smith pass incomplete deep right intended for D.K. Metcalf. Penalty on James Houston: Defensive Offside, 5 yards (accepted) (no play)",3.18,3.85,4.0,2024,64
4.0,2:45,2.0,1.0,DET 27,27.0,42.0,Geno Smith pass complete short left to Jake Bobo for 9 yards (tackle by Alex Anzalone),3.85,4.37,4.0,2024,64
4.0,2:40,1.0,10.0,DET 18,27.0,42.0,"Geno Smith scrambles right end for 11 yards (tackle by Amik Robertson). Penalty on Terrion Arnold: Defensive Holding, 4 yards (accepted)",4.37,6.51,4.0,2024,64
