Player,Tm,Inside 20 Cmp,Inside 20 Att,Inside 20 Cmp%,Inside 20 Yds,Inside 20 TD,Inside 20 Int,Inside 10 Cmp,Inside 10 Att,Inside 10 Cmp%,Inside 10 Yds,Inside 10 TD,Inside 10 Int,Link
Derek Carr,NOR,15,26,57.69,120,8,0,4,7,57.14,12,4,0,All Derek Carr red zone passing plays
Gardner Minshew,LVR,16,35,45.71,112,6,1,7,21,33.33,29,4,1,All Gardner Minshew red zone passing plays
Dak Prescott,DAL,14,28,50.0,88,6,2,4,7,57.14,13,3,1,All Dak Prescott red zone passing plays
Jameis Winston,CLE,12,28,42.86,98,6,2,5,14,35.71,25,4,2,All Jameis Winston red zone passing plays
Daniel Jones,NYG,15,30,50.0,82,6,3,8,18,44.44,33,6,1,All Daniel Jones red zone passing plays
Mac Jones,JAX,14,26,53.85,102,6,0,5,12,41.67,25,4,0,All Mac Jones red zone passing plays
Will Levis,TEN,11,21,52.38,103,6,0,4,11,36.36,17,2,0,All Will Levis red zone passing plays
Andy Dalton,CAR,12,21,57.14,61,5,0,9,15,60.0,42,5,0,All Andy Dalton red zone passing plays
Aidan O'Connell,LVR,15,27,55.56,120,5,1,4,11,36.36,25,3,1,All Aidan O'Connell red zone passing plays
Anthony Richardson,IND,7,17,41.18,41,4,1,5,10,50.0,28,4,1,All Anthony Richardson red zone passing plays
Deshaun Watson,CLE,10,16,62.5,70,4,0,5,9,55.56,26,4,0,All Deshaun Watson red zone passing plays
Justin Fields,PIT,13,19,68.42,102,4,0,5,9,55.56,24,3,0,All Justin Fields red zone passing plays
Marcus Mariota,WAS,8,9,88.89,60,4,0,3,4,75.0,13,3,0,All Marcus Mariota red zone passing plays
Tyler Huntley,MIA,8,18,44.44,45,3,1,5,8,62.5,23,3,0,All Tyler Huntley red zone passing plays
Spencer Rattler,NOR,8,12,66.67,41,3,0,4,6,66.67,23,3,0,All Spencer Rattler red zone passing plays
Jacoby Brissett,NWE,12,23,52.17,61,2,0,6,8,75.0,27,2,0,All Jacoby Brissett red zone passing plays
Malik Willis,GNB,3,5,60.0,22,2,0,1,2,50.0,3,1,0,All Malik Willis red zone passing plays
Drew Lock,NYG,6,15,40.0,24,2,0,3,6,50.0,10,2,0,All Drew Lock red zone passing plays
Jimmy Garoppolo,LAR,4,8,50.0,17,2,0,2,4,50.0,10,2,0,All Jimmy Garoppolo red zone passing plays
Tyrod Taylor,NYJ,3,6,50.0,16,2,0,2,4,50.0,12,2,0,All Tyrod Taylor red zone passing plays
Tanner McKee,PHI,3,4,75.0,26,2,0,2,2,100.0,11,1,0,All Tanner McKee red zone passing plays
Bailey Zappe,CLE,2,6,33.33,18,1,1,1,2,50.0,2,0,0,All Bailey Zappe red zone passing plays
Brandon Allen,SFO,3,4,75.0,20,1,0,1,2,50.0,3,1,0,All Brandon Allen red zone passing plays
Amon-Ra St. Brown,DET,1,1,100.0,7,1,0,1,1,100.0,7,1,0,All Amon-Ra St. Brown red zone passing plays
Courtland Sutton,DEN,1,1,100.0,2,1,0,1,1,100.0,2,1,0,All Courtland Sutton red zone passing plays
Mitchell Trubisky,BUF,2,2,100.0,3,1,0,2,2,100.0,3,1,0,All Mitchell Trubisky red zone passing plays
Desmond Ridder,LVR,3,5,60.0,12,1,0,2,3,66.67,2,1,0,All Desmond Ridder red zone passing plays
Kenny Pickett,PHI,4,7,57.14,15,1,0,2,2,100.0,10,1,0,All Kenny Pickett red zone passing plays
Michael Penix,ATL,6,13,46.15,54,1,1,0,3,0.0,0,0,1,All Michael Penix red zone passing plays
David Montgomery,DET,1,1,100.0,3,1,0,1,1,100.0,3,1,0,All David Montgomery red zone passing plays
Jake Haener,NOR,2,5,40.0,19,1,0,0,2,0.0,0,0,0,All Jake Haener red zone passing plays
Joshua Dobbs,SFO,3,6,50.0,16,1,0,1,4,25.0,6,1,0,All Joshua Dobbs red zone passing plays
Malik Nabers,NYG,0,1,0.0,0,0,0,0,1,0.0,0,0,0,All Malik Nabers red zone passing plays
Joe Mixon,HOU,0,1,0.0,0,0,0,0,1,0.0,0,0,0,All Joe Mixon red zone passing plays
Dorian Thompson-Robinson,CLE,2,11,18.18,2,0,1,0,5,0.0,0,0,1,All Dorian Thompson-Robinson red zone passing plays
Skylar Thompson,MIA,3,8,37.5,15,0,0,1,3,33.33,6,0,0,All Skylar Thompson red zone passing plays
Joe Milton,NWE,2,3,66.67,16,0,0,0,1,0.0,0,0,0,All Joe Milton red zone passing plays
Davis Mills,HOU,1,10,10.0,9,0,0,0,7,0.0,0,0,0,All Davis Mills red zone passing plays
Allen Lazard,NYJ,0,1,0.0,0,0,0,0,0,,0,0,0,All Allen Lazard red zone passing plays
Trey Lance,DAL,0,7,0.0,0,0,0,0,5,0.0,0,0,0,All Trey Lance red zone passing plays
Tommy DeVito,NYG,0,3,0.0,0,0,0,0,0,,0,0,0,All Tommy DeVito red zone passing plays
Tim Boyle,2TM,1,7,14.29,11,0,0,0,5,0.0,0,0,0,All Tim Boyle red zone passing plays
