Quarter,Time,Down,ToGo,Location,LVR,BUF,Detail,EPB,EPA,week,year,game_id
2.0,12:03,2.0,10.0,LVR 25,7.0,14.0,Josh Jacobs left end for -1 yards (tackle by Gregory Rousseau),0.06,-0.76,2.0,2023,19
2.0,11:24,3.0,11.0,LVR 24,7.0,14.0,Jimmy Garoppolo pass complete deep right to Davante Adams for 18 yards (tackle by Christian Benford and Micah Hyde),-0.76,1.73,2.0,2023,19
2.0,10:42,1.0,10.0,LVR 42,7.0,14.0,Jimmy Garoppolo pass complete short middle to Josh Jacobs for 10 yards (tackle by Terrel Bernard and Taron Johnson),1.73,2.39,2.0,2023,19
2.0,9:46,1.0,10.0,BUF 48,7.0,14.0,Josh Jacobs right guard for no gain (tackle by Jordan Poyer),2.39,1.85,2.0,2023,19
2.0,9:03,2.0,10.0,BUF 48,7.0,14.0,Jimmy Garoppolo pass complete deep right to Davante Adams for 21 yards,1.85,3.78,2.0,2023,19
2.0,8:26,1.0,10.0,BUF 27,7.0,14.0,Josh Jacobs up the middle for -3 yards (tackle by DaQuan Jones),3.78,2.83,2.0,2023,19
2.0,7:26,2.0,13.0,BUF 30,7.0,14.0,Jimmy Garoppolo scrambles up the middle for 1 yard (tackle by Gregory Rousseau),2.83,2.28,2.0,2023,19
2.0,6:59,3.0,12.0,BUF 29,7.0,14.0,Jimmy Garoppolo pass incomplete short left intended for DeAndre Carter,2.28,1.5,2.0,2023,19
2.0,6:53,4.0,12.0,BUF 29,10.0,14.0,Daniel Carlson 47 yard field goal good,1.5,3.0,2.0,2023,19
2.0,6:48,,,LVR 35,10.0,14.0,"Daniel Carlson kicks off 59 yards, returned by Damien Harris for 41 yards (tackle by Daniel Carlson)",0.0,2.06,2.0,2023,19
2.0,6:40,1.0,10.0,BUF 47,10.0,14.0,Josh Allen pass complete short left to Dalton Kincaid for 10 yards (tackle by Nate Hobbs),2.06,2.72,2.0,2023,19
2.0,6:10,1.0,10.0,LVR 43,10.0,14.0,James Cook up the middle for 9 yards (tackle by Nate Hobbs),2.72,3.39,2.0,2023,19
2.0,5:34,2.0,1.0,LVR 34,10.0,14.0,Josh Allen pass complete short left to James Cook for 26 yards (tackle by Tre'von Moehrig),3.39,5.37,2.0,2023,19
2.0,4:53,1.0,8.0,LVR 8,10.0,14.0,James Cook up the middle for 4 yards (tackle by John Jenkins and Divine Deablo),5.37,5.34,2.0,2023,19
2.0,4:14,2.0,4.0,LVR 4,10.0,14.0,Josh Allen right guard for 3 yards (tackle by Marcus Epps and Maxx Crosby),5.34,5.17,2.0,2023,19
2.0,3:31,3.0,1.0,LVR 1,10.0,14.0,Latavius Murray for no gain (tackle by Tre'von Moehrig),5.17,3.55,2.0,2023,19
2.0,3:01,,,,,,Timeout #1 by Las Vegas Raiders,,,2.0,2023,19
2.0,3:01,4.0,1.0,LVR 1,10.0,14.0,Josh Allen pass incomplete short left intended for Dawson Knox (defended by Nate Hobbs),3.55,0.38,2.0,2023,19
2.0,2:56,1.0,10.0,LVR 2,10.0,14.0,Jimmy Garoppolo pass complete short right to Davante Adams for 7 yards (tackle by Tre'Davious White),-0.38,-0.2,2.0,2023,19
2.0,2:23,2.0,2.0,LVR 9,10.0,14.0,Josh Jacobs right end for no gain (tackle by Christian Benford and Ed Oliver),-0.2,-0.6,2.0,2023,19
2.0,2:00,3.0,3.0,LVR 9,10.0,14.0,Jimmy Garoppolo pass incomplete short right,-0.6,-2.49,2.0,2023,19
2.0,1:55,4.0,3.0,LVR 9,10.0,14.0,"AJ Cole punts 48 yards, fair catch by Deonte Harty at BUF-43",-2.49,-1.8,2.0,2023,19
2.0,1:47,1.0,10.0,BUF 43,10.0,14.0,Josh Allen pass incomplete short middle intended for Gabriel Davis,1.8,1.25,2.0,2023,19
2.0,1:42,2.0,10.0,BUF 43,10.0,14.0,Josh Allen pass complete short left to James Cook for 2 yards (tackle by Robert Spillane),1.25,0.83,2.0,2023,19
2.0,1:02,3.0,8.0,BUF 45,10.0,14.0,Josh Allen pass complete deep left to Stefon Diggs for 17 yards (tackle by Jakorian Bennett),0.83,3.05,2.0,2023,19
2.0,0:46,,,,,,Timeout #1 by Buffalo Bills,,,2.0,2023,19
2.0,0:46,1.0,10.0,LVR 38,10.0,14.0,"James Cook left end for 10 yards (tackle by Robert Spillane) Replay Assistant challenged the first down ruling, and the original play was overturned. James Cook for 9 yards and Robert Spillane and Marcus Epps)",3.05,3.72,2.0,2023,19
2.0,0:46,2.0,1.0,LVR 29,10.0,14.0,Josh Allen pass complete short left to James Cook for 3 yards (tackle by Divine Deablo),3.72,3.84,2.0,2023,19
2.0,0:41,1.0,10.0,LVR 26,10.0,14.0,"Josh Allen scrambles for no gain. Penalty on O'Cyrus Torrence: Offensive Holding, 10 yards (offset) . Penalty on Tre'von Moehrig: Unnecessary Roughness / Defense, 15 yards (offset) (no play)",3.84,3.84,2.0,2023,19
2.0,0:34,1.0,10.0,LVR 26,10.0,14.0,Josh Allen pass complete short right to Gabriel Davis for 15 yards (tackle by Marcus Peters),3.84,4.84,2.0,2023,19
2.0,0:28,1.0,10.0,LVR 11,10.0,14.0,Josh Allen pass incomplete short middle intended for Dalton Kincaid (defended by Tre'von Moehrig),4.84,4.14,2.0,2023,19
2.0,0:24,2.0,10.0,LVR 11,10.0,20.0,"Josh Allen pass complete short middle to Khalil Shakir for 11 yards, touchdown",4.14,7.0,2.0,2023,19
2.0,0:18,,,LVR 15,10.0,21.0,Tyler Bass kicks extra point good,0.0,0.0,2.0,2023,19
2.0,0:18,,,BUF 35,10.0,21.0,"Tyler Bass kicks off 65 yards, touchback.",0.0,0.61,2.0,2023,19
2.0,0:18,1.0,10.0,LVR 25,10.0,21.0,"Jimmy Garoppolo pass complete short left to Josh Jacobs for 11 yards (tackle by Terrel Bernard and Gregory Rousseau). Penalty on Christian Benford: Illegal Use of Hands / Defense, 5 yards (declined)",0.61,1.33,2.0,2023,19
2.0,0:10,1.0,10.0,LVR 36,10.0,21.0,Jimmy Garoppolo pass complete short left to Michael Mayer for 2 yards (tackle by Matt Milano),1.33,1.06,2.0,2023,19
3.0,15:00,,,LVR 35,10.0,21.0,"Daniel Carlson kicks off 65 yards, touchback.",0.0,0.61,2.0,2023,19
3.0,15:00,1.0,10.0,BUF 25,10.0,21.0,Josh Allen pass complete short left to Deonte Harty for 8 yards (tackle by Jakorian Bennett and Nate Hobbs),0.61,1.14,2.0,2023,19
3.0,14:21,2.0,2.0,BUF 33,10.0,21.0,James Cook left end for 16 yards (tackle by Robert Spillane),1.14,2.19,2.0,2023,19
3.0,13:39,1.0,10.0,BUF 49,10.0,21.0,Josh Allen pass complete short right to Dalton Kincaid for 8 yards (tackle by Nate Hobbs),2.19,2.73,2.0,2023,19
3.0,13:01,2.0,2.0,LVR 43,10.0,21.0,James Cook left end for 4 yards (tackle by Maxx Crosby),2.73,2.98,2.0,2023,19
3.0,12:20,1.0,10.0,LVR 39,10.0,21.0,Josh Allen pass complete short right to James Cook for 5 yards (tackle by Tre'von Moehrig),2.98,3.12,2.0,2023,19
3.0,11:37,2.0,5.0,LVR 34,10.0,21.0,James Cook up the middle for 3 yards (tackle by Jerry Tillery and Bilal Nichols),3.12,2.81,2.0,2023,19
3.0,10:54,3.0,2.0,LVR 31,10.0,21.0,Josh Allen pass complete short right to Stefon Diggs for 10 yards (tackle by Divine Deablo),2.81,4.17,2.0,2023,19
3.0,10:14,1.0,10.0,LVR 21,10.0,21.0,Josh Allen pass incomplete deep right intended for Deonte Harty,4.17,3.63,2.0,2023,19
3.0,10:05,2.0,10.0,LVR 21,10.0,21.0,James Cook right end for 6 yards (tackle by Robert Spillane),3.63,3.81,2.0,2023,19
3.0,9:22,3.0,4.0,LVR 15,10.0,21.0,Josh Allen pass complete short right to Dalton Kincaid for 3 yards (tackle by David Long),3.81,2.78,2.0,2023,19
3.0,8:42,4.0,1.0,LVR 12,10.0,21.0,Josh Allen left guard for 2 yards (tackle by Maxx Crosby),2.78,4.91,2.0,2023,19
3.0,8:03,1.0,10.0,LVR 10,10.0,21.0,Latavius Murray left guard for 2 yards (tackle by Jakorian Bennett and Robert Spillane),4.91,4.7,2.0,2023,19
3.0,7:20,2.0,7.0,LVR 8,10.0,21.0,Latavius Murray left guard for 5 yards (tackle by Jerry Tillery and Divine Deablo),4.7,4.72,2.0,2023,19
3.0,6:35,3.0,3.0,LVR 3,10.0,21.0,Josh Allen pass complete short left to Latavius Murray for 1 yard (tackle by Jakorian Bennett),4.72,3.25,2.0,2023,19
3.0,6:06,,,,,,Timeout #1 by Buffalo Bills,,,2.0,2023,19
3.0,6:06,4.0,2.0,LVR 2,10.0,27.0,"Josh Allen pass complete short right to Gabriel Davis for 2 yards, touchdown",3.25,7.0,2.0,2023,19
3.0,5:59,,,LVR 15,10.0,28.0,Tyler Bass kicks extra point good,0.0,0.0,2.0,2023,19
3.0,5:59,,,BUF 35,10.0,28.0,"Tyler Bass kicks off 65 yards, touchback.",0.0,0.61,2.0,2023,19
3.0,5:59,1.0,10.0,LVR 25,10.0,28.0,Josh Jacobs right guard for 3 yards (tackle by Matt Milano and Jordan Poyer),0.61,0.47,2.0,2023,19
3.0,5:23,2.0,7.0,LVR 28,10.0,28.0,Jimmy Garoppolo pass complete short right to Austin Hooper for 5 yards (tackle by Jordan Poyer),0.47,0.43,2.0,2023,19
3.0,4:42,3.0,2.0,LVR 33,10.0,28.0,Jimmy Garoppolo pass complete short right to Austin Hooper for 15 yards (tackle by Matt Milano),0.43,2.13,2.0,2023,19
3.0,3:59,1.0,10.0,LVR 48,10.0,28.0,Jimmy Garoppolo pass short right intended for Josh Jacobs is intercepted by Matt Milano at BUF-49 and returned for 3 yards (tackle by Josh Jacobs),2.13,-2.39,2.0,2023,19
3.0,3:49,1.0,10.0,LVR 48,10.0,28.0,Josh Allen pass incomplete short left,2.39,1.85,2.0,2023,19
3.0,3:46,2.0,10.0,LVR 48,10.0,28.0,Josh Allen pass complete short right to Dalton Kincaid for 8 yards,1.85,2.21,2.0,2023,19
3.0,3:02,3.0,2.0,LVR 40,10.0,28.0,Josh Allen pass complete short right to Latavius Murray for 8 yards (tackle by Marcus Epps),2.21,3.45,2.0,2023,19
3.0,2:25,1.0,10.0,LVR 32,10.0,28.0,James Cook up the middle for 5 yards (tackle by Bilal Nichols),3.45,3.58,2.0,2023,19
3.0,1:50,2.0,5.0,LVR 27,10.0,28.0,Josh Allen pass complete short middle to Dalton Kincaid for 14 yards (tackle by Robert Spillane and Tre'von Moehrig),3.58,4.71,2.0,2023,19
3.0,1:02,1.0,10.0,LVR 13,10.0,28.0,Josh Allen pass incomplete short left intended for Dawson Knox,4.71,4.05,2.0,2023,19
3.0,0:57,2.0,10.0,LVR 13,10.0,28.0,Josh Allen sacked by Divine Deablo for -7 yards,4.05,2.54,2.0,2023,19
3.0,0:14,,,,,,Timeout #2 by Buffalo Bills,,,2.0,2023,19
3.0,0:14,3.0,17.0,LVR 20,10.0,28.0,"Penalty on Dalton Kincaid: False Start, 5 yards (accepted) (no play)",2.54,1.88,2.0,2023,19
3.0,0:14,3.0,22.0,LVR 25,10.0,28.0,James Cook left end for 14 yards (tackle by Maxx Crosby),1.88,2.7,2.0,2023,19
4.0,15:00,4.0,8.0,LVR 11,10.0,31.0,Tyler Bass 29 yard field goal good,2.7,3.0,2.0,2023,19
4.0,14:56,,,BUF 35,10.0,31.0,"Tyler Bass kicks off 65 yards, touchback.",0.0,0.61,2.0,2023,19
4.0,14:56,1.0,10.0,LVR 25,10.0,31.0,"Penalty on A.J. Epenesa: Neutral Zone Infraction, 5 yards (accepted) (no play)",0.61,1.34,2.0,2023,19
4.0,14:56,1.0,5.0,LVR 30,10.0,31.0,Jimmy Garoppolo pass complete short right to Davante Adams for 5 yards (tackle by Tre'Davious White),1.34,1.27,2.0,2023,19
4.0,14:20,1.0,10.0,LVR 35,10.0,31.0,Josh Jacobs up the middle for 1 yard (tackle by Terrel Bernard),1.27,0.86,2.0,2023,19
4.0,13:33,2.0,9.0,LVR 36,10.0,31.0,Jimmy Garoppolo pass complete short middle to Josh Jacobs for 6 yards (tackle by Micah Hyde and Terrel Bernard),0.86,0.96,2.0,2023,19
4.0,12:58,3.0,3.0,LVR 42,10.0,31.0,Jimmy Garoppolo pass incomplete deep left intended for Davante Adams,0.96,-0.59,2.0,2023,19
4.0,12:53,4.0,3.0,LVR 42,10.0,31.0,AJ Cole punts 53 yards downed by Isaiah Pola-Mao,-0.59,0.38,2.0,2023,19
4.0,12:40,1.0,10.0,BUF 5,10.0,31.0,Damien Harris left guard for 9 yards (tackle by Divine Deablo),-0.38,-0.1,2.0,2023,19
4.0,12:05,2.0,1.0,BUF 14,10.0,31.0,Damien Harris up the middle for 7 yards (tackle by Malcolm Koonce),-0.1,0.34,2.0,2023,19
4.0,11:23,1.0,10.0,BUF 21,10.0,31.0,Damien Harris left end for 2 yards (tackle by Robert Spillane),0.34,0.07,2.0,2023,19
4.0,10:41,2.0,8.0,BUF 23,10.0,31.0,Josh Allen pass complete short right to Gabriel Davis for 9 yards (tackle by Roderic Teamer),0.07,1.07,2.0,2023,19
4.0,9:54,1.0,10.0,BUF 32,10.0,31.0,"James Cook left end for no gain (tackle by Jakorian Bennett). Penalty on Reggie Gilliam: Illegal Motion, 5 yards (accepted) (no play)",1.07,0.74,2.0,2023,19
4.0,9:27,1.0,15.0,BUF 27,10.0,31.0,"Josh Allen pass incomplete. Penalty on Nate Hobbs: Illegal Use of Hands / Defense, 5 yards (accepted) (no play)",0.74,1.07,2.0,2023,19
4.0,9:18,1.0,10.0,BUF 32,10.0,31.0,Josh Allen pass complete short left to Stefon Diggs for 16 yards (tackle by Roderic Teamer),1.07,2.13,2.0,2023,19
4.0,8:33,1.0,10.0,BUF 48,10.0,31.0,James Cook left end for 6 yards (tackle by Jakorian Bennett),2.13,2.39,2.0,2023,19
4.0,8:01,2.0,4.0,LVR 46,10.0,31.0,James Cook left end for -2 yards (tackle by Robert Spillane),2.39,1.42,2.0,2023,19
4.0,7:21,3.0,6.0,LVR 48,10.0,31.0,Josh Allen pass complete deep right to Gabriel Davis for 40 yards (tackle by Jakorian Bennett),1.42,5.37,2.0,2023,19
4.0,6:39,1.0,8.0,LVR 8,10.0,31.0,James Cook left guard for 3 yards (tackle by Bilal Nichols),5.37,5.15,2.0,2023,19
4.0,5:56,2.0,5.0,LVR 5,10.0,31.0,Damien Harris up the middle for 4 yards (tackle by Maxx Crosby and Divine Deablo),5.15,5.17,2.0,2023,19
4.0,5:11,,,,,,Timeout #3 by Buffalo Bills,,,2.0,2023,19
4.0,5:11,3.0,1.0,LVR 1,10.0,37.0,"Damien Harris up the middle for 1 yard, touchdown",5.17,7.0,2.0,2023,19
4.0,5:04,,,LVR 15,10.0,38.0,Tyler Bass kicks extra point good,0.0,0.0,2.0,2023,19
4.0,5:08,,,BUF 35,10.0,38.0,"Tyler Bass kicks off 65 yards, touchback.",0.0,0.61,2.0,2023,19
4.0,5:08,1.0,10.0,LVR 25,10.0,38.0,Zamir White up the middle for 8 yards (tackle by Shaq Lawson),0.61,1.14,2.0,2023,19
4.0,4:31,2.0,2.0,LVR 33,10.0,38.0,Zamir White up the middle for 6 yards (tackle by Dorian Williams),1.14,1.53,2.0,2023,19
4.0,3:49,1.0,10.0,LVR 39,10.0,38.0,Jimmy Garoppolo pass complete deep middle to Hunter Renfrow for 23 yards (tackle by Taylor Rapp),1.53,3.05,2.0,2023,19
4.0,3:10,1.0,10.0,BUF 38,10.0,38.0,"Jimmy Garoppolo pass incomplete deep middle intended for Davante Adams. Penalty on Taylor Rapp: Unnecessary Roughness / Defense, 15 yards (accepted) (no play)",3.05,4.04,2.0,2023,19
4.0,3:02,1.0,10.0,BUF 23,10.0,38.0,Zamir White up the middle for 8 yards (tackle by Dorian Williams),4.04,4.75,2.0,2023,19
4.0,2:26,2.0,2.0,BUF 15,10.0,38.0,"Zamir White for no gain. Zamir White fumbles (forced by Dane Jackson), recovered by Taylor Rapp at BUF-13 and returned for 6 yards (tackle by Tre Tucker). Penalty on Michael Mayer: Offensive Holding, 10 yards (declined)",4.75,-0.15,2.0,2023,19
4.0,2:19,1.0,10.0,BUF 19,10.0,38.0,James Cook up the middle for 3 yards (tackle by Tyree Wilson),0.15,0.07,2.0,2023,19
4.0,2:00,2.0,7.0,BUF 22,10.0,38.0,James Cook up the middle for 36 yards (tackle by Divine Deablo and Tyree Wilson),0.07,2.79,2.0,2023,19
4.0,1:12,1.0,10.0,LVR 42,10.0,38.0,Kyle Allen kneels for -1 yards,2.79,2.11,2.0,2023,19
4.0,0:42,2.0,11.0,LVR 43,10.0,38.0,Kyle Allen kneels for -1 yards,2.11,1.29,2.0,2023,19
