Quarter,Time,Down,ToGo,Location,CHI,TAM,Detail,EPB,EPA,week,year,game_id
2.0,9:19,1.0,10.0,TAM 19,7.0,10.0,"Baker Mayfield pass complete short right to Cade Otton for no gain. Penalty on Luke Goedeke: Offensive Holding, 9 yards (accepted) (no play)",0.15,-0.72,2.0,2023,20
2.0,9:04,1.0,19.0,TAM 10,7.0,10.0,Sean Tucker right guard for 2 yards (tackle by Gervon Dexter),-0.72,-1.29,2.0,2023,20
2.0,8:22,2.0,17.0,TAM 12,7.0,10.0,Rachaad White up the middle for 9 yards (tackle by Tremaine Edmunds),-1.29,-0.81,2.0,2023,20
2.0,7:40,3.0,8.0,TAM 21,7.0,10.0,Baker Mayfield pass complete short middle to Cade Otton for 7 yards (tackle by Jaylon Jones and Tremaine Edmunds),-0.81,-1.5,2.0,2023,20
2.0,6:57,4.0,1.0,TAM 28,7.0,10.0,"Jake Camarda punts 72 yards, touchback.",-1.5,-0.28,2.0,2023,20
2.0,6:49,1.0,10.0,CHI 20,7.0,10.0,Roschon Johnson up the middle for 2 yards (tackle by Joe Tryon-Shoyinka and Greg Gaines),0.28,0.0,2.0,2023,20
2.0,6:12,2.0,8.0,CHI 22,7.0,10.0,Justin Fields pass complete short left to Chase Claypool for 8 yards (tackle by Jamel Dean),0.0,0.94,2.0,2023,20
2.0,5:37,1.0,10.0,CHI 30,7.0,10.0,Roschon Johnson left tackle for 29 yards (tackle by Jamel Dean),0.94,2.85,2.0,2023,20
2.0,4:57,1.0,10.0,TAM 41,7.0,10.0,"Penalty on Darnell Wright: False Start, 5 yards (accepted) (no play)",2.85,2.52,2.0,2023,20
2.0,4:40,1.0,15.0,TAM 46,7.0,10.0,Justin Fields pass incomplete deep right intended for Cole Kmet (defended by Antoine Winfield),2.52,1.63,2.0,2023,20
2.0,4:32,2.0,15.0,TAM 46,7.0,10.0,Justin Fields pass complete short left to Cole Kmet for 11 yards (tackle by Jamel Dean and Devin White),1.63,2.41,2.0,2023,20
2.0,3:50,3.0,4.0,TAM 35,7.0,10.0,Justin Fields pass complete short left to Cole Kmet for 11 yards (tackle by Antoine Winfield),2.41,3.97,2.0,2023,20
2.0,3:12,1.0,10.0,TAM 24,7.0,10.0,Justin Fields sacked by and Vita Vea for -3 yards and Logan Hall for -3 yards,3.97,3.03,2.0,2023,20
2.0,2:24,2.0,13.0,TAM 27,7.0,10.0,Justin Fields pass incomplete short right intended for Khalil Herbert,3.03,2.35,2.0,2023,20
2.0,2:21,3.0,13.0,TAM 27,7.0,10.0,"Justin Fields sacked by Cam Gill for -7 yards. Justin Fields fumbles (forced by Cam Gill), recovered by Lucas Patrick at TB-34 (tackle by Cam Gill)",2.35,1.06,2.0,2023,20
2.0,2:00,4.0,20.0,TAM 34,10.0,10.0,Cairo Santos 52 yard field goal good,1.06,3.0,2.0,2023,20
2.0,1:55,,,CHI 35,10.0,10.0,"Cairo Santos kicks off 65 yards, touchback.",0.0,0.61,2.0,2023,20
2.0,1:55,1.0,10.0,TAM 25,10.0,10.0,Baker Mayfield pass complete short middle to Cade Otton for 8 yards (tackle by Tremaine Edmunds and T.J. Edwards),0.61,1.14,2.0,2023,20
2.0,1:36,2.0,2.0,TAM 33,10.0,10.0,Rachaad White up the middle for 5 yards (tackle by Justin Jones),1.14,1.47,2.0,2023,20
2.0,1:17,1.0,10.0,TAM 38,10.0,10.0,Baker Mayfield pass complete short middle to Rachaad White for 9 yards (tackle by T.J. Edwards and Greg Stroman),1.47,2.14,2.0,2023,20
2.0,0:57,2.0,1.0,TAM 47,10.0,10.0,Rachaad White up the middle for 3 yards (tackle by Tremaine Edmunds),2.14,2.26,2.0,2023,20
2.0,0:53,,,,,,Timeout #1 by Tampa Bay Buccaneers,,,2.0,2023,20
2.0,0:53,1.0,10.0,TAM 50,10.0,10.0,Baker Mayfield pass complete short left to Mike Evans for 7 yards (tackle by T.J. Edwards),2.26,2.66,2.0,2023,20
2.0,0:36,2.0,3.0,CHI 43,10.0,10.0,Baker Mayfield pass incomplete short left intended for Mike Evans,2.66,1.95,2.0,2023,20
2.0,0:31,3.0,3.0,CHI 43,10.0,10.0,Baker Mayfield pass complete deep right to Trey Palmer for 20 yards (tackle by Elijah Hicks),1.95,4.04,2.0,2023,20
2.0,0:26,1.0,10.0,CHI 23,10.0,10.0,Baker Mayfield pass incomplete deep right intended for Chris Godwin,4.04,3.5,2.0,2023,20
2.0,0:22,2.0,10.0,CHI 23,10.0,10.0,"Baker Mayfield scrambles left end for 9 yards (tackle by Greg Stroman). Penalty on Greg Stroman: Unnecessary Roughness / Defense, 7 yards (accepted)",3.5,5.6,2.0,2023,20
2.0,0:14,1.0,7.0,CHI 7,10.0,10.0,Baker Mayfield up the middle for 1 yard (tackle by Zacch Pickens),5.6,4.95,2.0,2023,20
2.0,0:09,,,,,,Timeout #2 by Tampa Bay Buccaneers,,,2.0,2023,20
2.0,0:09,,,,,,Timeout #1 by Chicago Bears,,,2.0,2023,20
2.0,0:09,2.0,6.0,CHI 6,10.0,10.0,Baker Mayfield pass incomplete short left,4.95,4.04,2.0,2023,20
2.0,0:03,3.0,6.0,CHI 6,10.0,13.0,Chase McLaughlin 25 yard field goal good,4.04,3.0,2.0,2023,20
3.0,15:00,,,TAM 35,10.0,13.0,"Jake Camarda kicks off 65 yards, touchback.",0.0,0.61,2.0,2023,20
3.0,15:00,1.0,10.0,CHI 25,10.0,13.0,Khalil Herbert up the middle for 8 yards (tackle by Ryan Neal and Antoine Winfield),0.61,1.14,2.0,2023,20
3.0,14:24,2.0,2.0,CHI 33,10.0,13.0,Justin Fields pass incomplete short right intended for Chase Claypool,1.14,0.43,2.0,2023,20
3.0,14:18,3.0,2.0,CHI 33,10.0,13.0,Khalil Herbert up the middle for 4 yards (tackle by Shaquil Barrett),0.43,1.4,2.0,2023,20
3.0,13:49,1.0,10.0,CHI 37,10.0,13.0,Khalil Herbert right guard for 2 yards (tackle by Vita Vea),1.4,1.13,2.0,2023,20
3.0,13:18,2.0,8.0,CHI 39,10.0,13.0,"Penalty on Braxton Jones: False Start, 5 yards (accepted) (no play)",1.13,0.45,2.0,2023,20
3.0,12:59,2.0,13.0,CHI 34,10.0,13.0,Justin Fields sacked by Joe Tryon-Shoyinka for -10 yards,0.45,-1.55,2.0,2023,20
3.0,12:18,3.0,23.0,CHI 24,10.0,13.0,Justin Fields pass complete short right to Roschon Johnson for 8 yards (tackle by Zyon McCollum and Devin White),-1.55,-1.24,2.0,2023,20
3.0,11:42,4.0,15.0,CHI 32,10.0,13.0,"Trenton Gill punts 47 yards downed by Velus Jones. Penalty on Josh Hayes: Offensive Holding, 10 yards (accepted)",-1.24,0.37,2.0,2023,20
3.0,11:31,1.0,10.0,TAM 11,10.0,13.0,"Sean Tucker right tackle for no gain (tackle by Jack Sanborn). Penalty on Yannick Ngakoue: Defensive Offside, 5 yards (accepted) (no play)",-0.37,0.17,2.0,2023,20
3.0,11:03,1.0,5.0,TAM 16,10.0,13.0,Sean Tucker up the middle for -3 yards (tackle by Andrew Billings and Jack Sanborn),0.17,-0.63,2.0,2023,20
3.0,10:20,2.0,8.0,TAM 13,10.0,13.0,Baker Mayfield pass complete short left to Mike Evans for 36 yards (tackle by Tyrique Stevenson),-0.63,2.19,2.0,2023,20
3.0,9:49,1.0,10.0,TAM 49,10.0,13.0,Sean Tucker up the middle for 7 yards (tackle by Greg Stroman and Elijah Hicks),2.19,2.59,2.0,2023,20
3.0,9:12,2.0,3.0,CHI 44,10.0,13.0,Sean Tucker left guard for 2 yards (tackle by Rasheem Green),2.59,2.15,2.0,2023,20
3.0,8:31,3.0,1.0,CHI 42,10.0,13.0,Baker Mayfield pass complete short middle to David Wells for 1 yard (tackle by Tremaine Edmunds),2.15,2.85,2.0,2023,20
3.0,7:52,1.0,10.0,CHI 41,10.0,13.0,Baker Mayfield pass incomplete short middle intended for Chris Godwin (defended by Dominique Robinson),2.85,2.31,2.0,2023,20
3.0,7:48,2.0,10.0,CHI 41,10.0,13.0,Rachaad White up the middle for 4 yards (tackle by Elijah Hicks and Yannick Ngakoue),2.31,2.08,2.0,2023,20
3.0,7:02,3.0,7.0,CHI 37,10.0,13.0,Baker Mayfield pass complete short middle to Cade Otton for 5 yards (tackle by Tremaine Edmunds and T.J. Edwards),2.08,1.3,2.0,2023,20
3.0,6:18,4.0,2.0,CHI 32,10.0,13.0,Rachaad White right end for 4 yards (tackle by Tyrique Stevenson),1.3,3.71,2.0,2023,20
3.0,5:43,1.0,10.0,CHI 28,10.0,13.0,Baker Mayfield pass complete short left to Rakim Jarrett for 7 yards (tackle by Jaylon Johnson),3.71,4.11,2.0,2023,20
3.0,5:02,2.0,3.0,CHI 21,10.0,13.0,"Baker Mayfield pass complete short right to David Wells for -11 yards. David Wells fumbles (forced by Jaylon Johnson), recovered by Baker Mayfield at CHI-32 (tackle by Jaylon Johnson)",4.11,1.95,2.0,2023,20
3.0,4:14,3.0,14.0,CHI 32,10.0,19.0,"Baker Mayfield pass complete deep left to Mike Evans for 32 yards, touchdown",1.95,7.0,2.0,2023,20
3.0,4:06,,,CHI 15,10.0,20.0,Chase McLaughlin kicks extra point good,0.0,0.0,2.0,2023,20
3.0,4:06,,,TAM 35,10.0,20.0,"Jake Camarda kicks off 65 yards, touchback.",0.0,0.61,2.0,2023,20
3.0,4:06,1.0,10.0,CHI 25,10.0,20.0,Justin Fields left end for -3 yards (tackle by Christian Izien and Jamel Dean),0.61,-0.34,2.0,2023,20
3.0,3:20,2.0,13.0,CHI 22,10.0,20.0,Justin Fields pass complete short right to D.J. Moore for 5 yards (tackle by Zyon McCollum and Christian Izien),-0.34,-0.36,2.0,2023,20
3.0,2:42,3.0,8.0,CHI 27,10.0,20.0,Justin Fields pass complete short middle to Cole Kmet for 9 yards (tackle by Ryan Neal and Zyon McCollum),-0.36,1.33,2.0,2023,20
3.0,2:06,1.0,10.0,CHI 36,10.0,20.0,Justin Fields pass incomplete deep left intended for Robert Tonyan,1.33,0.79,2.0,2023,20
