Quarter,Time,Down,ToGo,Location,MIN,PHI,Detail,EPB,EPA,week,year,game_id
1.0,2:58,1.0,10.0,MIN 35,0.0,3.0,"Alexander Mattison left tackle for 2 yards. Alexander Mattison fumbles (forced by Avonte Maddox) (tackle by Josh Jobe), recovered by Justin Evans at MIN-39 (tackle by Alexander Mattison)",1.27,-2.98,2.0,2023,17
1.0,2:50,1.0,10.0,MIN 39,0.0,3.0,Jalen Hurts left end for no gain (tackle by Jordan Hicks),2.98,2.44,2.0,2023,17
1.0,2:15,2.0,10.0,MIN 39,0.0,3.0,Jalen Hurts pass complete short left to A.J. Brown for 5 yards (tackle by Jordan Hicks),2.44,2.41,2.0,2023,17
1.0,1:31,3.0,5.0,MIN 34,0.0,3.0,Jalen Hurts for -3 yards (tackle by Jordan Hicks and D.J. Wonnum),2.41,0.79,2.0,2023,17
1.0,0:48,4.0,8.0,MIN 37,0.0,3.0,Jake Elliott 55 yard field goal no good,0.79,-1.93,2.0,2023,17
1.0,0:42,1.0,10.0,MIN 45,0.0,3.0,Kirk Cousins sacked by Jordan Davis for -7 yards,1.93,0.44,2.0,2023,17
1.0,0:07,2.0,17.0,MIN 38,0.0,3.0,"Kirk Cousins pass incomplete deep left intended for Justin Jefferson. Penalty on Fletcher Cox: Defensive Offside, 5 yards (accepted) (no play)",0.44,1.11,2.0,2023,17
2.0,15:00,2.0,12.0,MIN 43,0.0,3.0,Kirk Cousins pass complete short right to Jordan Addison for 9 yards (tackle by Josh Jobe),1.11,1.62,2.0,2023,17
2.0,14:27,3.0,3.0,PHI 48,0.0,3.0,Kirk Cousins pass complete short left to K.J. Osborn for 6 yards (tackle by Josh Jobe),1.62,2.79,2.0,2023,17
2.0,13:57,1.0,10.0,PHI 42,0.0,3.0,Alexander Mattison right guard for -2 yards (tackle by Jalen Carter),2.79,1.9,2.0,2023,17
2.0,13:20,2.0,13.0,PHI 44,0.0,3.0,Kirk Cousins pass complete short right to T.J. Hockenson for 3 yards (tackle by Zach Cunningham),1.9,1.68,2.0,2023,17
2.0,12:41,3.0,9.0,PHI 41,0.0,3.0,Kirk Cousins pass complete short middle to T.J. Hockenson for 24 yards (tackle by Justin Evans),1.68,4.44,2.0,2023,17
2.0,12:01,1.0,10.0,PHI 17,0.0,3.0,Alexander Mattison left end for 5 yards (tackle by Avonte Maddox),4.44,4.69,2.0,2023,17
2.0,11:24,2.0,5.0,PHI 12,0.0,3.0,Kirk Cousins pass complete short right to Justin Jefferson for 7 yards (tackle by Josh Jobe),4.69,6.06,2.0,2023,17
2.0,10:45,1.0,5.0,PHI 5,6.0,3.0,"Kirk Cousins pass complete short left to T.J. Hockenson for 5 yards, touchdown",6.06,7.0,2.0,2023,17
2.0,10:39,,,PHI 15,7.0,3.0,Greg Joseph kicks extra point good,0.0,0.0,2.0,2023,17
2.0,10:39,,,MIN 35,7.0,3.0,"Greg Joseph kicks off 65 yards, touchback.",0.0,0.61,2.0,2023,17
2.0,10:39,1.0,10.0,PHI 25,7.0,3.0,D'Andre Swift right guard for 7 yards (tackle by Ivan Pace),0.61,1.01,2.0,2023,17
2.0,10:09,2.0,3.0,PHI 32,7.0,3.0,D'Andre Swift right guard for 3 yards (tackle by Harrison Phillips),1.01,1.27,2.0,2023,17
2.0,9:30,1.0,10.0,PHI 35,7.0,3.0,Jalen Hurts pass complete short left to D'Andre Swift for 1 yard (tackle by Brian Asamoah),1.27,0.86,2.0,2023,17
2.0,8:54,2.0,9.0,PHI 36,7.0,3.0,D'Andre Swift up the middle for 6 yards (tackle by Harrison Smith),0.86,0.96,2.0,2023,17
2.0,8:33,3.0,3.0,PHI 42,7.0,3.0,D'Andre Swift up the middle for 4 yards (tackle by Harrison Phillips),0.96,1.99,2.0,2023,17
2.0,7:59,1.0,10.0,PHI 46,7.0,3.0,D'Andre Swift left guard for 3 yards (tackle by Harrison Phillips and Patrick Jones),1.99,1.79,2.0,2023,17
2.0,7:23,2.0,8.0,PHI 49,7.0,3.0,Boston Scott left guard for 6 yards (tackle by Danielle Hunter and Harrison Smith),1.79,1.95,2.0,2023,17
2.0,6:55,3.0,1.0,MIN 45,7.0,3.0,Boston Scott right guard for 4 yards (tackle by Camryn Bynum),1.95,2.85,2.0,2023,17
2.0,6:20,1.0,10.0,MIN 41,7.0,3.0,Jalen Hurts right end for 8 yards (tackle by Josh Metellus),2.85,3.39,2.0,2023,17
2.0,5:44,2.0,2.0,MIN 33,7.0,3.0,Boston Scott up the middle for 5 yards (tackle by Jordan Hicks and Camryn Bynum),3.39,3.71,2.0,2023,17
2.0,5:00,1.0,10.0,MIN 28,7.0,3.0,Jalen Hurts pass incomplete short right,3.71,3.17,2.0,2023,17
2.0,4:58,2.0,10.0,MIN 28,7.0,3.0,Jalen Hurts pass complete short right to A.J. Brown for 11 yards (tackle by Camryn Bynum and Josh Metellus),3.17,4.44,2.0,2023,17
2.0,4:16,1.0,10.0,MIN 17,7.0,3.0,D'Andre Swift up the middle for 7 yards (tackle by Ivan Pace),4.44,5.1,2.0,2023,17
2.0,3:47,2.0,3.0,MIN 10,7.0,3.0,D'Andre Swift right end for 5 yards (tackle by Jordan Hicks and Harrison Smith),5.1,6.06,2.0,2023,17
2.0,3:15,1.0,5.0,MIN 5,7.0,3.0,D'Andre Swift up the middle for 4 yards (tackle by Josh Metellus),6.06,5.91,2.0,2023,17
2.0,2:46,,,,,,Timeout #1 by Minnesota Vikings,,,2.0,2023,17
2.0,2:46,2.0,1.0,MIN 1,7.0,9.0,"Jalen Hurts for 1 yard, touchdown",5.91,7.0,2.0,2023,17
2.0,2:44,,,MIN 15,7.0,10.0,Jake Elliott kicks extra point good,0.0,0.0,2.0,2023,17
2.0,2:44,,,PHI 35,7.0,10.0,"Jake Elliott kicks off 65 yards, touchback.",0.0,0.61,2.0,2023,17
2.0,2:44,1.0,10.0,MIN 25,7.0,10.0,Kirk Cousins pass complete short right to Josh Oliver for 13 yards (tackle by Terrell Edmunds),0.61,1.47,2.0,2023,17
2.0,2:17,1.0,10.0,MIN 38,7.0,10.0,Alexander Mattison right guard for 4 yards (tackle by Jalen Carter),1.47,1.46,2.0,2023,17
2.0,2:00,2.0,6.0,MIN 42,7.0,10.0,Kirk Cousins pass complete short middle to T.J. Hockenson for 5 yards (tackle by Zach Cunningham and Terrell Edmunds),1.46,1.42,2.0,2023,17
2.0,1:20,3.0,1.0,MIN 47,7.0,10.0,Kirk Cousins pass complete short left to Justin Jefferson for 4 yards (tackle by Darius Slay),1.42,2.32,2.0,2023,17
2.0,0:58,1.0,10.0,PHI 49,7.0,10.0,Kirk Cousins pass incomplete short left intended for Alexander Mattison,2.32,1.78,2.0,2023,17
2.0,0:52,,,,,,Timeout #2 by Minnesota Vikings,,,2.0,2023,17
2.0,0:52,2.0,10.0,PHI 49,7.0,10.0,Kirk Cousins pass complete short right to K.J. Osborn for 18 yards (tackle by Mario Goodrich),1.78,3.51,2.0,2023,17
2.0,0:46,1.0,10.0,PHI 31,7.0,10.0,Kirk Cousins pass incomplete deep left intended for Jordan Addison,3.51,2.97,2.0,2023,17
2.0,0:41,2.0,10.0,PHI 31,7.0,10.0,"Kirk Cousins pass complete deep left to Justin Jefferson for no gain (tackle by Terrell Edmunds) Replay Assistant challenged the runner was in bounds ruling, and the original play was overturned. Kirk Cousins pass complete to Justin Jefferson for 30 yards. Justin Jefferson fumbles, ball out of bounds in end zone (forced by Terrell Edmunds)",2.97,-0.28,2.0,2023,17
2.0,0:34,1.0,10.0,PHI 20,7.0,10.0,Boston Scott left guard for 7 yards (tackle by Ivan Pace),0.28,0.68,2.0,2023,17
2.0,0:29,,,,,,Timeout #1 by Philadelphia Eagles,,,2.0,2023,17
2.0,0:29,2.0,3.0,PHI 27,7.0,10.0,Boston Scott right end for 18 yards (tackle by Josh Metellus and Mekhi Blackmon),0.68,1.93,2.0,2023,17
2.0,0:21,,,,,,Timeout #2 by Philadelphia Eagles,,,2.0,2023,17
2.0,0:21,1.0,10.0,PHI 45,7.0,10.0,Jalen Hurts scrambles left end for 4 yards (tackle by Patrick Jones),1.93,1.92,2.0,2023,17
2.0,0:12,2.0,6.0,PHI 49,7.0,10.0,Jalen Hurts pass complete short left to D'Andre Swift for no gain (tackle by Akayleb Evans),1.92,1.22,2.0,2023,17
2.0,0:07,3.0,6.0,PHI 49,7.0,10.0,Jalen Hurts left guard for 8 yards (tackle by Ivan Pace),1.22,2.72,2.0,2023,17
2.0,0:04,,,,,,Timeout #3 by Philadelphia Eagles,,,2.0,2023,17
2.0,0:04,,,,,,Timeout #3 by Minnesota Vikings,,,2.0,2023,17
2.0,0:04,1.0,10.0,MIN 43,7.0,13.0,Jake Elliott 61 yard field goal good,2.72,3.0,2.0,2023,17
3.0,15:00,,,PHI 35,7.0,13.0,"Jake Elliott kicks off 65 yards, touchback.",0.0,0.61,2.0,2023,17
3.0,15:00,1.0,10.0,MIN 25,7.0,13.0,Alexander Mattison right guard for 1 yard (tackle by Milton Williams and Zach Cunningham),0.61,0.2,2.0,2023,17
3.0,14:35,2.0,9.0,MIN 26,7.0,13.0,"Kirk Cousins sacked by Josh Sweat for -11 yards. Kirk Cousins fumbles (forced by Josh Sweat), recovered by Fletcher Cox at MIN-15 and returned for 8 yards (tackle by Ed Ingram)",0.2,-5.6,2.0,2023,17
3.0,14:26,1.0,7.0,MIN 7,7.0,13.0,D'Andre Swift left tackle for 6 yards (tackle by Akayleb Evans and Camryn Bynum),5.6,5.91,2.0,2023,17
3.0,13:55,2.0,1.0,MIN 1,7.0,19.0,"Jalen Hurts up the middle for 1 yard, touchdown",5.91,7.0,2.0,2023,17
3.0,13:53,,,MIN 15,7.0,20.0,Jake Elliott kicks extra point good,0.0,0.0,2.0,2023,17
3.0,13:53,,,PHI 35,7.0,20.0,"Jake Elliott kicks off 65 yards, touchback.",0.0,0.61,2.0,2023,17
3.0,13:53,1.0,10.0,MIN 25,7.0,20.0,Kirk Cousins pass complete short left to Alexander Mattison for -5 yards (tackle by Zach Cunningham),0.61,-0.61,2.0,2023,17
3.0,13:22,2.0,15.0,MIN 20,7.0,20.0,Kirk Cousins pass complete short right to Alexander Mattison for no gain (tackle by Mario Goodrich),-0.61,-1.29,2.0,2023,17
3.0,12:43,3.0,15.0,MIN 20,7.0,20.0,Kirk Cousins pass incomplete deep right intended for Jordan Addison,-1.29,-2.03,2.0,2023,17
3.0,12:35,4.0,15.0,MIN 20,7.0,20.0,"Ryan Wright punts 49 yards, fair catch by Britain Covey at PHI-31",-2.03,-1.0,2.0,2023,17
3.0,12:29,1.0,10.0,PHI 31,7.0,20.0,Jalen Hurts scrambles left end for 1 yard (tackle by Jordan Hicks),1.0,0.6,2.0,2023,17
3.0,11:48,2.0,9.0,PHI 32,7.0,20.0,D'Andre Swift left guard for 5 yards (tackle by Danielle Hunter and Jordan Hicks),0.6,0.56,2.0,2023,17
3.0,11:02,3.0,4.0,PHI 37,7.0,26.0,"Jalen Hurts pass complete deep left to DeVonta Smith for 63 yards, touchdown",0.56,7.0,2.0,2023,17
3.0,10:54,,,MIN 15,7.0,27.0,Jake Elliott kicks extra point good,0.0,0.0,2.0,2023,17
3.0,10:54,,,PHI 35,7.0,27.0,"Jake Elliott kicks off 65 yards, touchback.",0.0,0.61,2.0,2023,17
3.0,10:54,1.0,10.0,MIN 25,7.0,27.0,Ty Chandler left guard for no gain (tackle by Jordan Davis and Zach Cunningham),0.61,0.06,2.0,2023,17
3.0,10:28,2.0,10.0,MIN 25,7.0,27.0,Kirk Cousins pass complete short left to Justin Jefferson for 13 yards (tackle by Darius Slay),0.06,1.47,2.0,2023,17
3.0,10:01,1.0,10.0,MIN 38,7.0,27.0,Kirk Cousins pass complete short right to Josh Oliver for no gain (tackle by Terrell Edmunds),1.47,0.92,2.0,2023,17
3.0,9:25,2.0,10.0,MIN 38,7.0,27.0,Kirk Cousins pass incomplete short left intended for Justin Jefferson (defended by Darius Slay),0.92,0.23,2.0,2023,17
3.0,9:18,3.0,10.0,MIN 38,13.0,27.0,"Kirk Cousins pass complete deep middle to Jordan Addison for 62 yards, touchdown",0.23,7.0,2.0,2023,17
3.0,9:09,,,PHI 15,14.0,27.0,Greg Joseph kicks extra point good,0.0,0.0,2.0,2023,17
3.0,9:09,,,MIN 35,14.0,27.0,"Greg Joseph kicks off 65 yards, touchback.",0.0,0.61,2.0,2023,17
3.0,9:09,1.0,10.0,PHI 25,14.0,27.0,Jalen Hurts pass complete short right to Dallas Goedert for 9 yards (tackle by Camryn Bynum),0.61,1.28,2.0,2023,17
3.0,8:36,2.0,1.0,PHI 34,14.0,27.0,"D'Andre Swift left end for no gain (tackle by Camryn Bynum). Penalty on Landon Dickerson: Offensive Holding, 10 yards (accepted) (no play)",1.28,-0.07,2.0,2023,17
3.0,8:10,2.0,11.0,PHI 24,14.0,27.0,Jalen Hurts pass complete short right to D'Andre Swift for 5 yards (tackle by Byron Murphy),-0.07,-0.1,2.0,2023,17
3.0,7:32,3.0,6.0,PHI 29,14.0,27.0,"Penalty on D'Andre Swift: False Start, 5 yards (accepted) (no play)",-0.1,-0.76,2.0,2023,17
3.0,7:10,3.0,11.0,PHI 24,14.0,27.0,Jalen Hurts pass complete short left to Dallas Goedert for 2 yards (tackle by Akayleb Evans and Brian Asamoah),-0.76,-1.63,2.0,2023,17
3.0,6:33,4.0,9.0,PHI 26,14.0,27.0,Arryn Siposs punts 44 yards downed by Sydney Brown,-1.63,-0.94,2.0,2023,17
3.0,6:19,1.0,10.0,MIN 30,14.0,27.0,Alexander Mattison left guard for 5 yards (tackle by Mario Goodrich and Fletcher Cox),0.94,1.07,2.0,2023,17
3.0,5:58,2.0,5.0,MIN 35,14.0,27.0,Kirk Cousins pass complete short left to Jordan Addison for 1 yard (tackle by Josh Jobe),1.07,0.5,2.0,2023,17
3.0,5:34,3.0,4.0,MIN 36,14.0,27.0,Kirk Cousins pass incomplete short right intended for Justin Jefferson,0.5,-0.98,2.0,2023,17
3.0,5:33,4.0,4.0,MIN 36,14.0,27.0,Ryan Wright punts 57 yards downed by NaJee Thompson,-0.98,0.38,2.0,2023,17
3.0,5:19,1.0,10.0,PHI 7,14.0,27.0,D'Andre Swift up the middle for 4 yards (tackle by Danielle Hunter and Harrison Phillips),-0.38,-0.49,2.0,2023,17
3.0,4:41,2.0,6.0,PHI 11,14.0,27.0,D'Andre Swift left end for 9 yards (tackle by Camryn Bynum),-0.49,0.28,2.0,2023,17
3.0,4:03,1.0,10.0,PHI 20,14.0,27.0,Jalen Hurts pass complete short left to Dallas Goedert for 5 yards (tackle by Harrison Smith),0.28,0.41,2.0,2023,17
3.0,3:26,2.0,5.0,PHI 25,14.0,27.0,D'Andre Swift left guard for 11 yards (tackle by Josh Metellus and Camryn Bynum),0.41,1.33,2.0,2023,17
3.0,2:45,1.0,10.0,PHI 36,14.0,27.0,D'Andre Swift left guard for 9 yards (tackle by Akayleb Evans and Camryn Bynum),1.33,2.01,2.0,2023,17
3.0,2:04,2.0,1.0,PHI 45,14.0,27.0,Rashaad Penny up the middle for 6 yards (tackle by Ivan Pace),2.01,2.32,2.0,2023,17
3.0,1:20,1.0,10.0,MIN 49,14.0,27.0,Jalen Hurts pass complete short right to Rashaad Penny for 5 yards (tackle by Camryn Bynum),2.32,2.46,2.0,2023,17
3.0,0:40,2.0,5.0,MIN 44,14.0,27.0,Rashaad Penny up the middle for 2 yards (tackle by Harrison Phillips),2.46,2.02,2.0,2023,17
3.0,0:09,3.0,3.0,MIN 42,14.0,27.0,"Penalty on Harrison Phillips: Neutral Zone Infraction, 5 yards (accepted) (no play)",2.02,3.12,2.0,2023,17
4.0,15:00,1.0,10.0,MIN 37,14.0,27.0,Jalen Hurts pass incomplete short right intended for A.J. Brown (defended by Byron Murphy),3.12,2.57,2.0,2023,17
4.0,14:56,2.0,10.0,MIN 37,14.0,27.0,Rashaad Penny left guard for 1 yard (tackle by Josh Metellus),2.57,2.01,2.0,2023,17
4.0,14:15,3.0,9.0,MIN 36,14.0,27.0,Jalen Hurts pass complete short right to DeVonta Smith for 8 yards (tackle by Theo Jackson),2.01,1.72,2.0,2023,17
4.0,13:46,4.0,1.0,MIN 28,14.0,27.0,Jalen Hurts left guard for 3 yards (tackle by Danielle Hunter),1.72,3.91,2.0,2023,17
4.0,13:04,1.0,10.0,MIN 25,14.0,27.0,"Jalen Hurts pass complete deep right to A.J. Brown for no gain, touchdown. Penalty on Rashaad Penny: Offensive Holding, 10 yards (accepted) (no play)",3.91,3.25,2.0,2023,17
4.0,12:57,1.0,20.0,MIN 35,14.0,27.0,Jalen Hurts pass incomplete deep left intended for A.J. Brown (defended by Akayleb Evans),3.25,2.01,2.0,2023,17
4.0,12:51,2.0,20.0,MIN 35,14.0,27.0,Jalen Hurts sacked by Danielle Hunter for -2 yards,2.01,1.09,2.0,2023,17
4.0,12:06,3.0,22.0,MIN 37,14.0,27.0,Jalen Hurts sacked by Danielle Hunter for -12 yards,1.09,0.0,2.0,2023,17
4.0,11:26,4.0,34.0,MIN 49,14.0,27.0,"Arryn Siposs punts 35 yards, fair catch by Brandon Powell at MIN-14",0.0,0.28,2.0,2023,17
4.0,11:19,1.0,10.0,MIN 14,14.0,27.0,Alexander Mattison left end for 7 yards (tackle by Nicholas Morrow),-0.28,0.28,2.0,2023,17
4.0,10:43,2.0,3.0,MIN 21,14.0,27.0,Kirk Cousins pass incomplete deep middle intended for K.J. Osborn,0.28,-0.56,2.0,2023,17
4.0,10:36,3.0,3.0,MIN 21,14.0,27.0,Kirk Cousins pass complete short right to Justin Jefferson for 23 yards (tackle by Terrell Edmunds),-0.56,1.86,2.0,2023,17
4.0,10:17,1.0,10.0,MIN 44,14.0,27.0,Alexander Mattison left end for 6 yards (tackle by Zach Cunningham),1.86,2.13,2.0,2023,17
4.0,9:55,2.0,4.0,MIN 50,14.0,27.0,Kirk Cousins pass complete short middle to Justin Jefferson for 22 yards (tackle by Justin Evans),2.13,3.71,2.0,2023,17
4.0,9:10,1.0,10.0,PHI 28,14.0,27.0,Kirk Cousins pass incomplete short left intended for Josh Oliver,3.71,3.17,2.0,2023,17
4.0,9:07,2.0,10.0,PHI 28,14.0,27.0,Kirk Cousins pass complete short right to Ty Chandler for 4 yards (tackle by Zach Cunningham),3.17,3.01,2.0,2023,17
4.0,8:24,3.0,6.0,PHI 24,14.0,27.0,Kirk Cousins pass complete short left to Justin Jefferson for 14 yards (tackle by Mario Goodrich),3.01,4.91,2.0,2023,17
4.0,7:47,1.0,10.0,PHI 10,20.0,27.0,"Kirk Cousins pass complete short left to K.J. Osborn for 10 yards, touchdown",4.91,7.0,2.0,2023,17
4.0,7:41,,,PHI 15,21.0,27.0,Greg Joseph kicks extra point good,0.0,0.0,2.0,2023,17
4.0,7:41,,,MIN 35,21.0,27.0,"Greg Joseph kicks off 65 yards, touchback.",0.0,0.61,2.0,2023,17
4.0,7:41,1.0,10.0,PHI 25,21.0,27.0,D'Andre Swift left tackle for 7 yards (tackle by Josh Metellus and Akayleb Evans),0.61,1.01,2.0,2023,17
4.0,7:06,2.0,3.0,PHI 32,21.0,27.0,D'Andre Swift right guard for 4 yards (tackle by Harrison Phillips and Jordan Hicks),1.01,1.33,2.0,2023,17
4.0,6:31,1.0,10.0,PHI 36,21.0,27.0,D'Andre Swift right tackle for 3 yards (tackle by Josh Metellus),1.33,1.2,2.0,2023,17
4.0,5:55,2.0,7.0,PHI 39,21.0,27.0,D'Andre Swift left guard for 2 yards (tackle by Ivan Pace and Camryn Bynum),1.2,0.76,2.0,2023,17
4.0,5:17,3.0,5.0,PHI 41,21.0,27.0,Jalen Hurts pass complete short left to A.J. Brown for 12 yards (tackle by Akayleb Evans and D.J. Wonnum),0.76,2.46,2.0,2023,17
4.0,4:38,1.0,10.0,MIN 47,21.0,27.0,D'Andre Swift up the middle for 43 yards (tackle by Josh Metellus),2.46,6.28,2.0,2023,17
4.0,4:25,1.0,4.0,MIN 4,21.0,27.0,D'Andre Swift up the middle for 2 yards (tackle by Harrison Phillips and Danielle Hunter),6.28,5.72,2.0,2023,17
4.0,4:18,,,,,,Timeout #1 by Minnesota Vikings,,,2.0,2023,17
4.0,4:18,2.0,2.0,MIN 2,21.0,33.0,"D'Andre Swift left tackle for 2 yards, touchdown",5.72,7.0,2.0,2023,17
4.0,4:13,,,MIN 15,21.0,34.0,Jake Elliott kicks extra point good,0.0,0.0,2.0,2023,17
4.0,4:13,,,PHI 35,21.0,34.0,"Jake Elliott kicks off 65 yards, touchback.",0.0,0.61,2.0,2023,17
4.0,4:13,1.0,10.0,MIN 25,21.0,34.0,Kirk Cousins pass incomplete short left intended for K.J. Osborn,0.61,0.06,2.0,2023,17
4.0,4:08,2.0,10.0,MIN 25,21.0,34.0,Kirk Cousins pass complete short right to Justin Jefferson for 10 yards (tackle by Darius Slay),0.06,1.27,2.0,2023,17
4.0,3:46,1.0,10.0,MIN 35,21.0,34.0,"Kirk Cousins pass complete short right to Alexander Mattison for no gain. Penalty on Brian O'Neill: Offensive Holding, 10 yards (accepted) (no play)",1.27,0.61,2.0,2023,17
4.0,3:31,1.0,20.0,MIN 25,21.0,34.0,Kirk Cousins pass complete short left to Ty Chandler for 5 yards (tackle by Zach Cunningham),0.61,0.05,2.0,2023,17
4.0,3:00,2.0,15.0,MIN 30,21.0,34.0,Kirk Cousins pass incomplete short left intended for Alexander Mattison,0.05,-0.63,2.0,2023,17
4.0,2:55,3.0,15.0,MIN 30,21.0,34.0,Kirk Cousins pass complete short right to T.J. Hockenson for 12 yards (tackle by Nicholas Morrow and Darius Slay),-0.63,-0.59,2.0,2023,17
4.0,2:26,4.0,3.0,MIN 42,21.0,34.0,Kirk Cousins pass complete short middle to T.J. Hockenson for 12 yards (tackle by Nicholas Morrow),-0.59,2.52,2.0,2023,17
4.0,2:03,1.0,10.0,PHI 46,21.0,34.0,Kirk Cousins pass complete short middle to Alexander Mattison for 16 yards (tackle by Josh Jobe),2.52,3.58,2.0,2023,17
4.0,1:55,1.0,10.0,PHI 30,21.0,34.0,"Kirk Cousins pass complete short middle to Alexander Mattison for no gain. Alexander Mattison fumbles, recovered by Justin Evans at PHI-19. Penalty on Kentavius Street: Defensive Offside, 5 yards (accepted) (no play)",3.58,4.31,2.0,2023,17
4.0,1:46,1.0,5.0,PHI 25,21.0,34.0,Kirk Cousins pass incomplete deep middle intended for T.J. Hockenson (defended by Justin Evans),4.31,3.71,2.0,2023,17
4.0,1:41,2.0,5.0,PHI 25,21.0,34.0,Kirk Cousins pass complete deep right to Justin Jefferson for 20 yards (tackle by Terrell Edmunds),3.71,6.06,2.0,2023,17
4.0,1:14,1.0,5.0,PHI 5,27.0,34.0,"Kirk Cousins pass complete short right to T.J. Hockenson for 5 yards, touchdown",6.06,7.0,2.0,2023,17
