Quarter,Time,Down,ToGo,Location,GNB,ATL,Detail,EPB,EPA,week,year,game_id
1.0,12:30,1.0,10.0,GNB 40,0.0,0.0,AJ Dillon left end for 4 yards (tackle by Zach Harrison and Arnold Ebiketie),1.6,1.59,2.0,2023,18
1.0,11:53,2.0,6.0,GNB 44,0.0,0.0,Emanuel Wilson left end for -5 yards (tackle by Nathan Landman),1.59,0.23,2.0,2023,18
1.0,11:17,3.0,11.0,GNB 39,0.0,0.0,Jordan Love sacked by Kaden Elliss for -11 yards,0.23,-1.5,2.0,2023,18
1.0,10:39,4.0,22.0,GNB 28,0.0,0.0,"Daniel Whelan punts 45 yards, fair catch by Mike Hughes at ATL-27",-1.5,-0.74,2.0,2023,18
1.0,10:33,1.0,10.0,ATL 27,0.0,0.0,Bijan Robinson right end for 3 yards (tackle by Tedarrell Slaton),0.74,0.6,2.0,2023,18
1.0,10:06,2.0,7.0,ATL 30,0.0,0.0,Desmond Ridder pass incomplete short right intended for Bijan Robinson,0.6,-0.1,2.0,2023,18
1.0,10:01,3.0,7.0,ATL 30,0.0,0.0,Desmond Ridder pass complete short middle to Jonnu Smith for 17 yards (tackle by Rudy Ford and De'Vondre Campbell),-0.1,2.06,2.0,2023,18
1.0,9:18,1.0,10.0,ATL 47,0.0,0.0,Tyler Allgeier right tackle for 2 yards (tackle by Quay Walker and Tedarrell Slaton),2.06,1.79,2.0,2023,18
1.0,8:44,2.0,8.0,ATL 49,0.0,0.0,Tyler Allgeier left tackle for 10 yards (tackle by Darnell Savage and De'Vondre Campbell),1.79,2.85,2.0,2023,18
1.0,8:04,1.0,10.0,GNB 41,0.0,0.0,Desmond Ridder pass incomplete short left intended for Kyle Pitts,2.85,2.31,2.0,2023,18
1.0,7:56,2.0,10.0,GNB 41,0.0,0.0,Desmond Ridder pass complete short right to Jonnu Smith for 7 yards (tackle by Quay Walker),2.31,2.54,2.0,2023,18
1.0,7:20,3.0,3.0,GNB 34,0.0,0.0,Desmond Ridder scrambles up the middle for 5 yards (tackle by De'Vondre Campbell),2.54,3.64,2.0,2023,18
1.0,6:38,1.0,10.0,GNB 29,0.0,0.0,Desmond Ridder pass complete short middle to Kyle Pitts for 9 yards (tackle by Darnell Savage),3.64,4.32,2.0,2023,18
1.0,5:57,2.0,1.0,GNB 20,0.0,0.0,Desmond Ridder pass complete short right to Bijan Robinson for 9 yards (tackle by Quay Walker),4.32,4.84,2.0,2023,18
1.0,5:21,1.0,10.0,GNB 11,0.0,0.0,Desmond Ridder left end for 9 yards (tackle by Darnell Savage),4.84,5.85,2.0,2023,18
1.0,4:44,2.0,1.0,GNB 2,0.0,0.0,"Desmond Ridder pass incomplete short left intended for Kyle Pitts. Penalty on Rudy Ford: Defensive Pass Interference, 1 yard (accepted) (no play)",5.85,6.97,2.0,2023,18
1.0,4:41,1.0,1.0,GNB 1,0.0,0.0,Desmond Ridder pass incomplete short middle intended for Kyle Pitts,6.97,5.91,2.0,2023,18
1.0,4:34,2.0,1.0,GNB 1,0.0,0.0,Bijan Robinson right guard for no gain (tackle by Kenny Clark and Tedarrell Slaton),5.91,5.17,2.0,2023,18
1.0,4:00,3.0,1.0,GNB 1,0.0,0.0,Desmond Ridder pass incomplete short middle intended for Jonnu Smith,5.17,3.55,2.0,2023,18
1.0,3:53,4.0,1.0,GNB 1,0.0,0.0,"Penalty on Matthew Bergeron: False Start, 5 yards (accepted) (no play)",3.55,2.99,2.0,2023,18
1.0,3:53,4.0,6.0,GNB 6,0.0,3.0,Younghoe Koo 24 yard field goal good,2.99,3.0,2.0,2023,18
1.0,3:50,,,ATL 35,0.0,3.0,"Bradley Pinion kicks off 74 yards, returned by Keisean Nixon for 25 yards (tackle by Andre Smith and Tae Davis)",0.0,-0.14,2.0,2023,18
1.0,3:46,1.0,10.0,GNB 16,0.0,3.0,Jordan Love pass complete short middle to Romeo Doubs for 15 yards (tackle by Jessie Bates),-0.14,1.0,2.0,2023,18
1.0,3:06,1.0,10.0,GNB 31,0.0,3.0,AJ Dillon right guard for 7 yards (tackle by Kaden Elliss and Richie Grant),1.0,1.41,2.0,2023,18
1.0,2:16,2.0,3.0,GNB 38,0.0,3.0,AJ Dillon left tackle for 2 yards (tackle by Jessie Bates and Zach Harrison),1.41,0.96,2.0,2023,18
1.0,1:28,3.0,1.0,GNB 40,0.0,3.0,Jordan Love pass complete short right to Luke Musgrave for 17 yards (tackle by AJ Terrell),0.96,2.72,2.0,2023,18
1.0,0:51,1.0,10.0,ATL 43,0.0,3.0,Jordan Love pass incomplete short middle intended for Patrick Taylor (defended by David Onyemata),2.72,2.18,2.0,2023,18
1.0,0:50,2.0,10.0,ATL 43,0.0,3.0,Jordan Love pass incomplete short left intended for Jayden Reed,2.18,1.49,2.0,2023,18
1.0,0:47,3.0,10.0,ATL 43,0.0,3.0,Jordan Love scrambles right end for 24 yards (tackle by Richie Grant),1.49,4.31,2.0,2023,18
2.0,15:00,1.0,10.0,ATL 19,0.0,3.0,AJ Dillon right tackle for no gain (tackle by AJ Terrell and Calais Campbell),4.31,3.75,2.0,2023,18
2.0,14:24,2.0,10.0,ATL 19,0.0,3.0,Jordan Love pass complete short middle to Luke Musgrave for 8 yards (tackle by Richie Grant),3.75,4.43,2.0,2023,18
2.0,14:00,3.0,2.0,ATL 11,0.0,3.0,"AJ Dillon left guard for 1 yard (tackle by Bud Dupree) GNB challenged the first down ruling, and the original play was overturned. AJ Dillon for 2 yards (tackle by Bud Dupree)",4.43,5.14,2.0,2023,18
2.0,13:40,,,,,,Timeout #1 by Atlanta Falcons,,,2.0,2023,18
2.0,13:40,1.0,9.0,ATL 9,6.0,3.0,"Jordan Love pass complete short middle to Jayden Reed for 9 yards, touchdown",5.14,7.0,2.0,2023,18
2.0,13:33,,,ATL 15,7.0,3.0,Anders Carlson kicks extra point good,0.0,0.0,2.0,2023,18
2.0,13:33,,,GNB 35,7.0,3.0,"Anders Carlson kicks off 67 yards, returned by Mike Hughes for 19 yards (tackle by Jonathan Owens and Innis Gaines)",0.0,-0.06,2.0,2023,18
2.0,13:28,1.0,10.0,ATL 17,7.0,3.0,"Desmond Ridder pass incomplete short right intended for Bijan Robinson. Penalty on Jake Matthews: Illegal Use of Hands / Offense, 8 yards (accepted) (no play)",-0.06,-0.68,2.0,2023,18
2.0,13:23,1.0,18.0,ATL 9,7.0,3.0,Tyler Allgeier right tackle for -1 yards (tackle by Lukas Van Ness),-0.68,-1.44,2.0,2023,18
2.0,12:38,2.0,19.0,ATL 8,7.0,3.0,Desmond Ridder scrambles right end for 4 yards (tackle by De'Vondre Campbell),-1.44,-2.01,2.0,2023,18
2.0,12:08,3.0,15.0,ATL 12,7.0,3.0,Desmond Ridder pass complete deep middle to Drake London for 22 yards (tackle by Jaire Alexander),-2.01,1.2,2.0,2023,18
2.0,11:32,1.0,10.0,ATL 34,7.0,3.0,Bijan Robinson right tackle for 19 yards (tackle by Rasul Douglas and Quay Walker),1.2,2.46,2.0,2023,18
2.0,10:38,1.0,10.0,GNB 47,7.0,3.0,Desmond Ridder pass complete short right to Bijan Robinson for no gain (tackle by Quay Walker),2.46,1.91,2.0,2023,18
2.0,9:55,2.0,10.0,GNB 47,7.0,3.0,Tyler Allgeier right tackle for 1 yard (tackle by Kingsley Enagbare),1.91,1.35,2.0,2023,18
2.0,9:16,3.0,9.0,GNB 46,7.0,3.0,Desmond Ridder scrambles left end for 5 yards (tackle by Preston Smith),1.35,0.53,2.0,2023,18
2.0,8:54,,,,,,Timeout #1 by Green Bay Packers,,,2.0,2023,18
2.0,8:54,4.0,4.0,GNB 41,7.0,3.0,Desmond Ridder pass incomplete short left intended for Drake London (defended by Jaire Alexander),0.53,-1.66,2.0,2023,18
2.0,8:51,1.0,10.0,GNB 41,7.0,3.0,Jordan Love pass complete short left to AJ Dillon for 8 yards (tackle by Kaden Elliss),1.66,2.2,2.0,2023,18
2.0,8:06,2.0,2.0,GNB 49,7.0,3.0,AJ Dillon left guard for 8 yards (tackle by Kaden Elliss),2.2,2.72,2.0,2023,18
2.0,7:30,1.0,10.0,ATL 43,7.0,3.0,AJ Dillon left tackle for 5 yards (tackle by Nathan Landman and Ta'Quon Graham),2.72,2.85,2.0,2023,18
2.0,6:50,2.0,5.0,ATL 38,7.0,3.0,Jordan Love pass complete short middle to Dontayvion Wicks for 8 yards (tackle by Tre Flowers),2.85,3.58,2.0,2023,18
2.0,6:09,1.0,10.0,ATL 30,7.0,3.0,Emanuel Wilson right tackle for 7 yards (tackle by Kaden Elliss),3.58,3.98,2.0,2023,18
2.0,5:26,2.0,3.0,ATL 23,7.0,3.0,Jordan Love pass complete short left to Josiah Deguara for 4 yards (tackle by Jessie Bates),3.98,4.31,2.0,2023,18
2.0,4:42,1.0,10.0,ATL 19,7.0,3.0,Emanuel Wilson left guard for 3 yards (tackle by Nathan Landman),4.31,4.18,2.0,2023,18
2.0,4:01,2.0,7.0,ATL 16,7.0,3.0,Patrick Taylor left end for 1 yard (tackle by Grady Jarrett),4.18,3.58,2.0,2023,18
2.0,3:18,3.0,6.0,ATL 15,7.0,3.0,Jordan Love pass incomplete short right intended for Dontayvion Wicks (defended by AJ Terrell),3.58,2.47,2.0,2023,18
2.0,3:10,4.0,6.0,ATL 15,10.0,3.0,Anders Carlson 33 yard field goal good,2.47,3.0,2.0,2023,18
2.0,3:06,,,GNB 35,10.0,3.0,"Anders Carlson kicks off 65 yards, touchback.",0.0,0.61,2.0,2023,18
2.0,3:06,1.0,10.0,ATL 25,10.0,3.0,Desmond Ridder pass complete short left to Drake London for 5 yards (tackle by Preston Smith),0.61,0.74,2.0,2023,18
2.0,2:29,2.0,5.0,ATL 30,10.0,3.0,Bijan Robinson left end for 9 yards (tackle by Quay Walker),0.74,1.53,2.0,2023,18
2.0,2:00,1.0,10.0,ATL 39,10.0,3.0,Bijan Robinson left end for 13 yards (tackle by Jaire Alexander),1.53,2.39,2.0,2023,18
2.0,1:36,1.0,10.0,GNB 48,10.0,3.0,Desmond Ridder pass complete short right to Mack Hollins for 8 yards (tackle by Quay Walker),2.39,2.93,2.0,2023,18
2.0,1:16,2.0,2.0,GNB 40,10.0,3.0,Bijan Robinson right tackle for 5 yards (tackle by De'Vondre Campbell),2.93,3.25,2.0,2023,18
2.0,0:55,1.0,10.0,GNB 35,10.0,3.0,Desmond Ridder pass complete short right to Kyle Pitts for 6 yards (tackle by Rasul Douglas),3.25,3.51,2.0,2023,18
2.0,0:49,2.0,4.0,GNB 29,10.0,3.0,Bijan Robinson left end for 3 yards (tackle by Keisean Nixon and Quay Walker),3.51,3.2,2.0,2023,18
2.0,0:33,3.0,1.0,GNB 26,10.0,3.0,Desmond Ridder up the middle for no gain (tackle by Keisean Nixon and De'Vondre Campbell),3.2,1.89,2.0,2023,18
2.0,0:29,,,,,,Timeout #2 by Atlanta Falcons,,,2.0,2023,18
2.0,0:29,4.0,1.0,GNB 26,10.0,3.0,Bijan Robinson right end for 13 yards (tackle by De'Vondre Campbell),1.89,4.71,2.0,2023,18
2.0,0:25,1.0,10.0,GNB 13,10.0,3.0,Desmond Ridder pass complete short middle to Jonnu Smith for 10 yards (tackle by Darnell Savage),4.71,6.51,2.0,2023,18
2.0,0:16,,,,,,Timeout #3 by Atlanta Falcons,,,2.0,2023,18
2.0,0:16,,,,,,Timeout #2 by Green Bay Packers,,,2.0,2023,18
2.0,0:16,1.0,3.0,GNB 3,10.0,9.0,"Desmond Ridder pass complete short left to Drake London for 3 yards, touchdown",6.51,7.0,2.0,2023,18
2.0,0:12,,,GNB 15,10.0,9.0,Younghoe Koo kicks extra point no good,0.0,-1.0,2.0,2023,18
2.0,0:12,,,ATL 35,10.0,9.0,"Bradley Pinion kicks off 65 yards, touchback.",0.0,0.61,2.0,2023,18
2.0,0:12,1.0,10.0,GNB 25,10.0,9.0,Jordan Love kneels for -1 yards,0.61,-0.07,2.0,2023,18
3.0,15:00,,,GNB 35,10.0,9.0,"Anders Carlson kicks off 65 yards, touchback.",0.0,0.61,2.0,2023,18
3.0,15:00,1.0,10.0,ATL 25,10.0,9.0,"Desmond Ridder pass incomplete intended for MyCole Pruitt. Penalty on Matthew Bergeron: Ineligible Downfield Pass, 5 yards (accepted) (no play)",0.61,0.28,2.0,2023,18
3.0,14:53,1.0,15.0,ATL 20,10.0,9.0,Desmond Ridder pass incomplete short right intended for Drake London,0.28,-0.61,2.0,2023,18
3.0,14:47,2.0,15.0,ATL 20,10.0,9.0,Desmond Ridder pass incomplete short left intended for Mack Hollins,-0.61,-1.29,2.0,2023,18
3.0,14:42,3.0,15.0,ATL 20,10.0,9.0,Desmond Ridder pass incomplete short right intended for Kyle Pitts (defended by Quay Walker),-1.29,-2.03,2.0,2023,18
3.0,14:37,4.0,15.0,ATL 20,10.0,9.0,"Bradley Pinion punts 45 yards, fair catch by Jayden Reed at GB-35",-2.03,-1.27,2.0,2023,18
3.0,14:29,1.0,10.0,GNB 35,10.0,9.0,AJ Dillon right tackle for 4 yards (tackle by Calais Campbell and Grady Jarrett),1.27,1.26,2.0,2023,18
3.0,13:52,2.0,6.0,GNB 39,10.0,9.0,Jordan Love pass complete short right to Samori Toure for 6 yards (tackle by Tre Flowers),1.26,1.93,2.0,2023,18
3.0,13:12,1.0,10.0,GNB 45,10.0,9.0,AJ Dillon left guard for 2 yards (tackle by Calais Campbell and David Onyemata),1.93,1.65,2.0,2023,18
3.0,12:30,2.0,8.0,GNB 47,10.0,9.0,Jordan Love pass complete short right to Romeo Doubs for 15 yards,1.65,3.05,2.0,2023,18
3.0,11:47,1.0,10.0,ATL 38,10.0,9.0,Jordan Love pass complete short right to Josiah Deguara for 1 yard (tackle by Arnold Ebiketie),3.05,2.64,2.0,2023,18
3.0,11:05,2.0,9.0,ATL 37,10.0,9.0,"Emanuel Wilson left end for no gain (tackle by DeAundre Alford). Penalty on Ta'Quon Graham: Defensive Holding, 5 yards (accepted) (no play)",2.64,3.45,2.0,2023,18
3.0,10:39,1.0,10.0,ATL 32,16.0,9.0,"Jordan Love pass complete short middle to Dontayvion Wicks for 32 yards, touchdown",3.45,7.0,2.0,2023,18
3.0,10:31,,,ATL 15,17.0,9.0,Anders Carlson kicks extra point good,0.0,0.0,2.0,2023,18
3.0,10:31,,,GNB 35,17.0,9.0,"Anders Carlson kicks off 65 yards, touchback.",0.0,0.61,2.0,2023,18
3.0,10:31,1.0,10.0,ATL 25,17.0,9.0,Bijan Robinson right tackle for 13 yards (tackle by Quay Walker),0.61,1.47,2.0,2023,18
3.0,9:45,1.0,10.0,ATL 38,17.0,9.0,Bijan Robinson right end for 5 yards (tackle by De'Vondre Campbell and Quay Walker),1.47,1.6,2.0,2023,18
3.0,8:54,2.0,5.0,ATL 43,17.0,9.0,Desmond Ridder pass complete short right to Jonnu Smith for 13 yards (tackle by Darnell Savage),1.6,2.65,2.0,2023,18
3.0,8:12,1.0,10.0,GNB 44,17.0,9.0,Tyler Allgeier right guard for 8 yards (tackle by Rudy Ford and De'Vondre Campbell),2.65,3.19,2.0,2023,18
3.0,7:34,2.0,2.0,GNB 36,17.0,9.0,Tyler Allgeier right guard for 4 yards (tackle by Rudy Ford and Lukas Van Ness),3.19,3.45,2.0,2023,18
3.0,6:57,1.0,10.0,GNB 32,17.0,9.0,Tyler Allgeier right tackle for 6 yards (tackle by De'Vondre Campbell and Devonte Wyatt),3.45,3.71,2.0,2023,18
3.0,6:11,2.0,4.0,GNB 26,17.0,9.0,Tyler Allgeier right end for 4 yards (tackle by Preston Smith and Quay Walker),3.71,4.11,2.0,2023,18
3.0,5:28,1.0,10.0,GNB 22,17.0,9.0,Desmond Ridder pass incomplete short right,4.11,3.56,2.0,2023,18
3.0,5:21,2.0,10.0,GNB 22,17.0,9.0,Bijan Robinson left tackle for 10 yards (tackle by Rudy Ford),3.56,4.78,2.0,2023,18
3.0,4:42,1.0,10.0,GNB 12,17.0,9.0,Desmond Ridder pass incomplete short middle intended for Mack Hollins,4.78,4.1,2.0,2023,18
3.0,4:40,2.0,10.0,GNB 12,17.0,9.0,Tyler Allgeier left tackle for -1 yards (tackle by Rashan Gary and Tedarrell Slaton),4.1,3.1,2.0,2023,18
3.0,3:54,3.0,11.0,GNB 13,17.0,9.0,Desmond Ridder sacked by and Kenny Clark for -2 yards and Rashan Gary for -2 yards,3.1,2.44,2.0,2023,18
3.0,3:12,4.0,13.0,GNB 15,17.0,12.0,"Younghoe Koo 33 yard field goal good. Penalty on Kingsley Enagbare: Defensive Offside, 5 yards (declined)",2.44,3.0,2.0,2023,18
3.0,3:07,,,ATL 35,17.0,12.0,"Bradley Pinion kicks off 73 yards, returned by Keisean Nixon for 30 yards (tackle by Keith Smith)",0.0,0.41,2.0,2023,18
3.0,3:02,1.0,10.0,GNB 22,17.0,12.0,"Jordan Love pass incomplete deep left intended for Romeo Doubs. Penalty on Tre Flowers: Defensive Pass Interference, 43 yards (accepted) (no play)",0.41,3.25,2.0,2023,18
3.0,2:55,1.0,10.0,ATL 35,17.0,12.0,Jordan Love pass complete short right to Jayden Reed for 8 yards (tackle by AJ Terrell),3.25,3.78,2.0,2023,18
3.0,2:21,2.0,2.0,ATL 27,17.0,12.0,AJ Dillon left guard for 7 yards (tackle by Richie Grant),3.78,4.24,2.0,2023,18
3.0,1:34,1.0,10.0,ATL 20,17.0,12.0,Jordan Love pass complete short left to Jayden Reed for 10 yards (tackle by Tre Flowers),4.24,4.91,2.0,2023,18
3.0,1:01,,,,,,Timeout #1 by Green Bay Packers,,,2.0,2023,18
3.0,1:01,1.0,10.0,ATL 10,23.0,12.0,"Jordan Love pass complete short right to Jayden Reed for 10 yards, touchdown",4.91,7.0,2.0,2023,18
3.0,0:56,,,ATL 15,24.0,12.0,Anders Carlson kicks extra point good,0.0,0.0,2.0,2023,18
3.0,0:56,,,GNB 35,24.0,12.0,"Anders Carlson kicks off 65 yards, touchback.",0.0,0.61,2.0,2023,18
3.0,0:56,1.0,10.0,ATL 25,24.0,12.0,"Penalty on Karl Brooks: Encroachment, 5 yards (accepted) (no play)",0.61,1.34,2.0,2023,18
3.0,0:56,1.0,5.0,ATL 30,24.0,12.0,Bijan Robinson left end for 1 yard (tackle by Preston Smith and Devonte Wyatt),1.34,0.87,2.0,2023,18
3.0,0:10,2.0,4.0,ATL 31,24.0,12.0,"Desmond Ridder pass incomplete deep right intended for Scott Miller. Penalty on Rasul Douglas: Illegal Use of Hands / Defense, 5 yards (accepted) (no play)",0.87,1.33,2.0,2023,18
3.0,0:06,1.0,10.0,ATL 36,24.0,12.0,Bijan Robinson right tackle for 7 yards (tackle by Darnell Savage),1.33,1.74,2.0,2023,18
4.0,15:00,2.0,3.0,ATL 43,24.0,12.0,Tyler Allgeier right end for no gain (tackle by Jaire Alexander),1.74,1.03,2.0,2023,18
4.0,14:22,3.0,3.0,ATL 43,24.0,12.0,Desmond Ridder pass complete deep right to Mack Hollins for 45 yards (tackle by Darnell Savage),1.03,4.78,2.0,2023,18
4.0,13:51,1.0,10.0,GNB 12,24.0,12.0,Tyler Allgeier right end for 1 yard (tackle by Kenny Clark and Preston Smith),4.78,4.27,2.0,2023,18
4.0,13:17,2.0,9.0,GNB 11,24.0,12.0,Bijan Robinson left tackle for 1 yard (tackle by Quay Walker and De'Vondre Campbell),4.27,3.48,2.0,2023,18
4.0,12:37,3.0,8.0,GNB 10,24.0,12.0,Desmond Ridder pass complete short left to Drake London for 4 yards (tackle by Rasul Douglas),3.48,3.0,2.0,2023,18
4.0,11:54,4.0,4.0,GNB 6,24.0,18.0,"Desmond Ridder left end for 6 yards, touchdown",3.0,7.0,2.0,2023,18
4.0,11:48,,,GNB 15,24.0,19.0,Younghoe Koo kicks extra point good,0.0,0.0,2.0,2023,18
4.0,11:48,,,ATL 35,24.0,19.0,"Bradley Pinion kicks off 65 yards, touchback.",0.0,0.61,2.0,2023,18
4.0,11:48,1.0,10.0,GNB 25,24.0,19.0,Jordan Love pass incomplete deep left intended for Dontayvion Wicks,0.61,0.06,2.0,2023,18
4.0,11:41,2.0,10.0,GNB 25,24.0,19.0,AJ Dillon right tackle for 2 yards (tackle by Lorenzo Carter),0.06,-0.36,2.0,2023,18
4.0,11:07,3.0,8.0,GNB 27,24.0,19.0,Jordan Love pass incomplete short right intended for Malik Heath (defended by AJ Terrell),-0.36,-1.57,2.0,2023,18
4.0,10:51,4.0,8.0,GNB 27,24.0,19.0,"Daniel Whelan punts 57 yards, returned by Mike Hughes for 4 yards (tackle by Jonathan Owens). Penalty on Jonathan Owens: Offensive Facemask, 15 yards (accepted)",-1.57,-1.27,2.0,2023,18
4.0,10:51,1.0,10.0,ATL 35,24.0,19.0,Tyler Allgeier right end for 4 yards (tackle by Devonte Wyatt and De'Vondre Campbell),1.27,1.26,2.0,2023,18
4.0,10:11,2.0,6.0,ATL 39,24.0,19.0,Tyler Allgeier right guard for 4 yards (tackle by Justin Hollins and Kingsley Enagbare),1.26,1.09,2.0,2023,18
4.0,9:33,3.0,2.0,ATL 43,24.0,19.0,Desmond Ridder scrambles right guard for 4 yards (tackle by Justin Hollins),1.09,2.06,2.0,2023,18
4.0,9:03,1.0,10.0,ATL 47,24.0,19.0,Desmond Ridder pass complete short right to Bijan Robinson for 29 yards (tackle by Rudy Ford),2.06,3.64,2.0,2023,18
4.0,8:55,1.0,10.0,GNB 29,24.0,19.0,Bijan Robinson left end for -2 yards (tackle by Karl Brooks and Darnell Savage),3.64,3.16,2.0,2023,18
4.0,8:21,2.0,12.0,GNB 26,24.0,19.0,Desmond Ridder scrambles for 5 yards (tackle by Jaire Alexander),3.16,3.14,2.0,2023,18
4.0,8:16,3.0,7.0,GNB 21,24.0,19.0,Desmond Ridder pass incomplete short right intended for Mack Hollins (defended by Rasul Douglas),3.14,2.06,2.0,2023,18
4.0,8:13,4.0,7.0,GNB 21,24.0,22.0,Younghoe Koo 39 yard field goal good,2.06,3.0,2.0,2023,18
4.0,8:10,,,ATL 35,24.0,22.0,"Bradley Pinion kicks off 65 yards, touchback.",0.0,0.61,2.0,2023,18
4.0,8:10,1.0,10.0,GNB 25,24.0,22.0,AJ Dillon left tackle for 5 yards (tackle by Zach Harrison),0.61,0.74,2.0,2023,18
4.0,7:35,2.0,5.0,GNB 30,24.0,22.0,AJ Dillon left guard for 4 yards (tackle by Kaden Elliss),0.74,0.56,2.0,2023,18
4.0,6:49,3.0,1.0,GNB 34,24.0,22.0,AJ Dillon left guard for no gain (tackle by Nathan Landman),0.56,-1.11,2.0,2023,18
4.0,6:17,4.0,1.0,GNB 34,24.0,22.0,"Penalty on Jordan Love: False Start, 4 yards (accepted) (no play)",-1.11,-1.44,2.0,2023,18
4.0,6:13,4.0,6.0,GNB 29,24.0,22.0,"Daniel Whelan punts 59 yards, returned by Mike Hughes for 16 yards (tackle by Kingsley Enagbare)",-1.44,-0.74,2.0,2023,18
4.0,6:07,1.0,10.0,ATL 27,24.0,22.0,Desmond Ridder pass complete deep left to Drake London for 24 yards (tackle by Jaire Alexander),0.74,2.32,2.0,2023,18
4.0,5:38,1.0,10.0,GNB 49,24.0,22.0,Desmond Ridder pass incomplete short right,2.32,1.78,2.0,2023,18
4.0,5:30,2.0,10.0,GNB 49,24.0,22.0,Desmond Ridder pass complete short left to Mack Hollins for 7 yards (tackle by Rasul Douglas),1.78,2.02,2.0,2023,18
4.0,5:02,3.0,3.0,GNB 42,24.0,22.0,Desmond Ridder pass complete short right to Bijan Robinson for 10 yards (tackle by De'Vondre Campbell),2.02,3.45,2.0,2023,18
4.0,4:21,1.0,10.0,GNB 32,24.0,22.0,Bijan Robinson right tackle for 5 yards (tackle by Quay Walker and Kenny Clark),3.45,3.58,2.0,2023,18
4.0,3:37,2.0,5.0,GNB 27,24.0,22.0,Tyler Allgeier left end for 2 yards (tackle by Justin Hollins),3.58,3.14,2.0,2023,18
4.0,2:48,3.0,3.0,GNB 25,24.0,22.0,"Desmond Ridder for 2 yards (tackle by Kenny Clark) ATL challenged the first down ruling, and the play was upheld.",3.14,2.08,2.0,2023,18
4.0,2:08,4.0,1.0,GNB 23,24.0,22.0,Bijan Robinson right end for 7 yards (tackle by Rudy Ford),2.08,4.51,2.0,2023,18
4.0,2:00,1.0,10.0,GNB 16,24.0,22.0,Tyler Allgeier right tackle for 1 yard (tackle by Kingsley Enagbare),4.51,4.05,2.0,2023,18
4.0,1:55,,,,,,Timeout #2 by Green Bay Packers,,,2.0,2023,18
4.0,1:55,2.0,9.0,GNB 15,24.0,22.0,Tyler Allgeier right end for 3 yards (tackle by Rudy Ford and Quay Walker),4.05,3.73,2.0,2023,18
4.0,1:47,,,,,,Timeout #3 by Green Bay Packers,,,2.0,2023,18
4.0,1:47,3.0,6.0,GNB 12,24.0,22.0,Bijan Robinson left end for 5 yards (tackle by Quay Walker and Preston Smith),3.73,3.01,2.0,2023,18
4.0,1:01,4.0,1.0,GNB 7,24.0,25.0,Younghoe Koo 25 yard field goal good,3.01,3.0,2.0,2023,18
4.0,0:57,,,ATL 35,24.0,25.0,"Bradley Pinion kicks off 65 yards, touchback.",0.0,0.61,2.0,2023,18
4.0,0:57,1.0,10.0,GNB 25,24.0,25.0,Jordan Love pass incomplete short left intended for Jayden Reed,0.61,0.06,2.0,2023,18
4.0,0:54,2.0,10.0,GNB 25,24.0,25.0,Jordan Love pass incomplete deep left intended for Jayden Reed,0.06,-0.62,2.0,2023,18
4.0,0:48,3.0,10.0,GNB 25,24.0,25.0,Jordan Love pass incomplete deep left intended for Romeo Doubs,-0.62,-1.7,2.0,2023,18
