Quarter,Time,Down,ToGo,Location,WAS,DEN,Detail,EPB,EPA,week,year,game_id
2.0,13:16,3.0,4.0,DEN 16,3.0,14.0,Russell Wilson pass complete deep left to Marvin Mims for 53 yards (tackle by Emmanuel Forbes),-0.72,3.51,2.0,2023,29
2.0,12:36,1.0,10.0,WAS 31,3.0,14.0,Javonte Williams right end for 1 yard (tackle by Kendall Fuller and Darrick Forrest),3.51,3.1,2.0,2023,29
2.0,11:52,2.0,9.0,WAS 30,3.0,14.0,Javonte Williams left guard for 1 yard (tackle by Chase Young),3.1,2.54,2.0,2023,29
2.0,11:07,,,,,,Timeout #2 by Denver Broncos,,,2.0,2023,29
2.0,11:07,3.0,8.0,WAS 29,3.0,14.0,Russell Wilson pass complete short left to Jerry Jeudy for 7 yards (tackle by Kendall Fuller),2.54,2.14,2.0,2023,29
2.0,10:25,4.0,1.0,WAS 22,3.0,14.0,Russell Wilson right guard for 2 yards (tackle by Jonathan Allen),2.14,4.24,2.0,2023,29
2.0,9:47,1.0,10.0,WAS 20,3.0,14.0,Javonte Williams left guard for 4 yards (tackle by John Ridgeway and Jonathan Allen),4.24,4.28,2.0,2023,29
2.0,9:07,2.0,6.0,WAS 16,3.0,20.0,"Russell Wilson pass complete short middle to Brandon Johnson for 16 yards, touchdown",4.28,7.0,2.0,2023,29
2.0,9:01,,,WAS 15,3.0,21.0,Wil Lutz kicks extra point good,0.0,0.0,2.0,2023,29
2.0,9:01,,,DEN 35,3.0,21.0,"Wil Lutz kicks off 65 yards, touchback.",0.0,0.61,2.0,2023,29
2.0,9:01,1.0,10.0,WAS 25,3.0,21.0,Sam Howell pass incomplete short left intended for Brian Robinson (defended by Randy Gregory),0.61,0.06,2.0,2023,29
2.0,8:55,2.0,10.0,WAS 25,3.0,21.0,Sam Howell pass complete short right to Curtis Samuel for 1 yard (tackle by Essang Bassey),0.06,-0.49,2.0,2023,29
2.0,8:17,3.0,9.0,WAS 26,3.0,21.0,Sam Howell pass incomplete deep right intended for Terry McLaurin,-0.49,-1.63,2.0,2023,29
2.0,8:13,4.0,9.0,WAS 26,3.0,21.0,"Tress Way punts 59 yards, returned by Marvin Mims for 45 yards (tackle by Casey Toohill)",-1.63,-2.92,2.0,2023,29
2.0,7:57,1.0,10.0,WAS 40,3.0,21.0,Javonte Williams right end for 5 yards (tackle by Benjamin St-Juste and Kamren Curl),2.92,3.05,2.0,2023,29
2.0,7:18,2.0,5.0,WAS 35,3.0,21.0,"Javonte Williams left guard for no gain (tackle by Benjamin St-Juste and Darrick Forrest). Penalty on Ben Powers: Offensive Holding, 10 yards (accepted) (no play)",3.05,1.7,2.0,2023,29
2.0,6:46,,,,,,Timeout #3 by Denver Broncos,,,2.0,2023,29
2.0,6:46,2.0,15.0,WAS 45,3.0,21.0,"Russell Wilson sacked by Jamin Davis for -1 yards. Russell Wilson fumbles (forced by Jamin Davis), recovered by Cody Barton at WAS-46 and returned for 5 yards (tackle by Ben Powers) Replay Assistant challenged the fumble ruling, and the play was upheld.",1.7,-2.32,2.0,2023,29
2.0,6:34,1.0,10.0,DEN 49,3.0,21.0,"Sam Howell pass complete to Jahan Dotson for no gain. Penalty on Samuel Cosmi: Offensive Holding, 10 yards (accepted) (no play)",2.32,1.66,2.0,2023,29
2.0,6:05,1.0,20.0,WAS 41,3.0,21.0,Sam Howell pass complete short middle to Terry McLaurin for 9 yards (tackle by Josey Jewell),1.66,1.65,2.0,2023,29
2.0,5:24,2.0,11.0,DEN 50,3.0,21.0,"Sam Howell sacked by Alex Singleton for no gain. Penalty on Nik Bonitto: Face Mask (15 Yards), 15 yards (accepted) (no play)",1.65,3.25,2.0,2023,29
2.0,5:08,1.0,10.0,DEN 35,3.0,21.0,Sam Howell pass complete short left to Cole Turner for 9 yards (tackle by Josey Jewell),3.25,3.92,2.0,2023,29
2.0,4:26,2.0,1.0,DEN 26,3.0,21.0,Brian Robinson right guard for 2 yards (tackle by Justin Simmons),3.92,3.97,2.0,2023,29
2.0,3:46,1.0,10.0,DEN 24,3.0,21.0,Sam Howell pass complete short left to John Bates for 6 yards (tackle by Patrick Surtain),3.97,4.29,2.0,2023,29
2.0,3:11,2.0,4.0,DEN 18,3.0,21.0,Curtis Samuel left end for 13 yards (tackle by Randy Gregory),4.29,6.06,2.0,2023,29
2.0,2:29,1.0,5.0,DEN 5,3.0,21.0,Brian Robinson right tackle for 1 yard (tackle by Jonathan Harris),6.06,5.34,2.0,2023,29
2.0,2:00,2.0,4.0,DEN 4,3.0,21.0,Sam Howell pass incomplete short middle intended for John Bates (defended by Matt Henningsen),5.34,4.49,2.0,2023,29
2.0,1:56,3.0,4.0,DEN 4,3.0,21.0,Sam Howell pass incomplete short right intended for Logan Thomas,4.49,3.03,2.0,2023,29
2.0,1:52,4.0,4.0,DEN 4,9.0,21.0,"Sam Howell pass complete short middle to Logan Thomas for 4 yards, touchdown. Penalty on Kareem Jackson: Disqualification / Defense, 1 yard (accepted)",3.03,7.0,2.0,2023,29
2.0,1:47,,,DEN 1,11.0,21.0,"Two Point Attempt: Brian Robinson rushes, conversion fails. Replay Assistant challenged the runner broke the plane ruling, and the original play was overturned. Two Point Attempt: Brian Robinson rushes, conversion succeeds.",1.0,1.0,2.0,2023,29
2.0,1:47,,,WAS 35,11.0,21.0,"Joey Slye kicks off 65 yards, touchback.",0.0,0.61,2.0,2023,29
2.0,1:47,1.0,10.0,DEN 25,11.0,21.0,Javonte Williams left end for 1 yard (tackle by Kendall Fuller),0.61,0.2,2.0,2023,29
2.0,1:40,,,,,,Timeout #1 by Washington Commanders,,,2.0,2023,29
2.0,1:40,2.0,9.0,DEN 26,11.0,21.0,Russell Wilson pass incomplete short left,0.2,-0.49,2.0,2023,29
2.0,1:34,3.0,9.0,DEN 26,11.0,21.0,Russell Wilson pass complete short middle to Jerry Jeudy for 7 yards (tackle by Kendall Fuller and Percy Butler),-0.49,-1.18,2.0,2023,29
2.0,1:28,,,,,,Timeout #2 by Washington Commanders,,,2.0,2023,29
2.0,1:28,4.0,2.0,DEN 33,11.0,21.0,"Riley Dixon punts 44 yards, fair catch by Jamison Crowder at WAS-23",-1.18,-0.48,2.0,2023,29
2.0,1:20,1.0,10.0,WAS 23,11.0,21.0,Sam Howell pass incomplete deep left,0.48,-0.07,2.0,2023,29
2.0,1:13,2.0,10.0,WAS 23,11.0,21.0,Sam Howell pass complete short middle to Curtis Samuel for 14 yards (tackle by Josey Jewell and Delarrin Turner-Yell),-0.07,1.4,2.0,2023,29
2.0,0:53,1.0,10.0,WAS 37,11.0,21.0,Sam Howell pass complete short middle to Curtis Samuel for 4 yards (tackle by Alex Singleton),1.4,1.47,2.0,2023,29
2.0,0:34,2.0,5.0,WAS 41,11.0,21.0,"Sam Howell scrambles for no gain. Penalty on Charles Leno: Offensive Holding, 10 yards (accepted) (no play)",1.47,0.12,2.0,2023,29
2.0,0:27,2.0,15.0,WAS 31,11.0,21.0,Sam Howell pass complete short right to Antonio Gibson for 3 yards (tackle by Josey Jewell),0.12,-0.1,2.0,2023,29
2.0,0:20,,,,,,Timeout #3 by Washington Commanders,,,2.0,2023,29
2.0,0:20,3.0,11.0,WAS 34,11.0,21.0,"Sam Howell pass complete deep right to John Bates for 35 yards (tackle by Justin Simmons). Penalty on Thomas Incoom: Defensive Offside, 5 yards (declined)",-0.1,3.51,2.0,2023,29
2.0,0:13,1.0,10.0,DEN 31,11.0,21.0,Sam Howell pass incomplete short right,3.51,2.97,2.0,2023,29
2.0,0:08,2.0,10.0,DEN 31,11.0,21.0,Sam Howell pass incomplete deep right,2.97,2.28,2.0,2023,29
2.0,0:02,3.0,10.0,DEN 31,14.0,21.0,Joey Slye 49 yard field goal good,2.28,3.0,2.0,2023,29
3.0,15:00,,,WAS 35,14.0,21.0,"Joey Slye kicks off 65 yards, touchback.",0.0,0.61,2.0,2023,29
3.0,15:00,1.0,10.0,DEN 25,14.0,21.0,"Russell Wilson sacked by Daron Payne for -9 yards. Penalty on Mike McGlinchey: Offensive Holding, 10 yards (declined)",0.61,-1.29,2.0,2023,29
3.0,14:41,2.0,19.0,DEN 16,14.0,21.0,Javonte Williams right end for -2 yards (tackle by Daron Payne and Montez Sweat),-1.29,-2.55,2.0,2023,29
3.0,14:02,3.0,21.0,DEN 14,14.0,21.0,Russell Wilson pass incomplete short right intended for Samaje Perine (defended by Daron Payne),-2.55,-2.47,2.0,2023,29
3.0,13:58,4.0,21.0,DEN 14,14.0,21.0,"Riley Dixon punts 46 yards, returned by Jamison Crowder for 3 yards (tackle by Alex Singleton and Mitchell Fraboni)",-2.47,-1.8,2.0,2023,29
3.0,13:48,1.0,10.0,WAS 43,14.0,21.0,Brian Robinson right guard for 5 yards (tackle by Justin Simmons),1.8,1.93,2.0,2023,29
3.0,13:11,2.0,5.0,WAS 48,14.0,21.0,"Penalty on Nick Gates: False Start, 5 yards (accepted) (no play)",1.93,1.25,2.0,2023,29
3.0,13:02,2.0,10.0,WAS 43,14.0,21.0,Sam Howell pass incomplete short middle intended for John Bates,1.25,0.56,2.0,2023,29
3.0,12:59,3.0,10.0,WAS 43,14.0,21.0,"Sam Howell scrambles left guard for 11 yards (tackle by Jonathon Cooper). Penalty on Fabian Moreau: Defensive Holding, 5 yards (accepted)",0.56,2.85,2.0,2023,29
3.0,12:34,1.0,10.0,DEN 41,14.0,21.0,Brian Robinson right tackle for 11 yards (tackle by Josey Jewell),2.85,3.58,2.0,2023,29
3.0,11:53,1.0,10.0,DEN 30,20.0,21.0,"Sam Howell pass complete deep middle to Terry McLaurin for 30 yards, touchdown",3.58,7.0,2.0,2023,29
3.0,11:47,,,DEN 15,21.0,21.0,Joey Slye kicks extra point good,0.0,0.0,2.0,2023,29
3.0,11:47,,,WAS 35,21.0,21.0,"Joey Slye kicks off 65 yards, touchback.",0.0,0.61,2.0,2023,29
3.0,11:47,1.0,10.0,DEN 25,21.0,21.0,Javonte Williams right tackle for 2 yards (tackle by Cody Barton),0.61,0.33,2.0,2023,29
3.0,11:12,2.0,8.0,DEN 27,21.0,21.0,Russell Wilson scrambles left end for 9 yards (tackle by Daron Payne),0.33,1.33,2.0,2023,29
3.0,10:43,1.0,10.0,DEN 36,21.0,21.0,Russell Wilson pass incomplete deep left intended for Jerry Jeudy,1.33,0.79,2.0,2023,29
3.0,10:36,2.0,10.0,DEN 36,21.0,21.0,Russell Wilson pass incomplete short left,0.79,0.1,2.0,2023,29
3.0,10:33,3.0,10.0,DEN 36,21.0,21.0,"Russell Wilson pass short left intended for Courtland Sutton is intercepted by Emmanuel Forbes at DEN-47 and returned for 3 yards. Emmanuel Forbes fumbles Replay Assistant challenged the pass interception ruling, and the play was upheld.",0.1,-2.65,2.0,2023,29
3.0,10:25,1.0,10.0,DEN 44,21.0,21.0,Brian Robinson left tackle for 13 yards (tackle by Justin Simmons and Essang Bassey),2.65,3.51,2.0,2023,29
3.0,9:44,1.0,10.0,DEN 31,21.0,21.0,Brian Robinson left end for 2 yards (tackle by Josey Jewell and Jonathon Cooper),3.51,3.24,2.0,2023,29
3.0,9:05,2.0,8.0,DEN 29,21.0,21.0,Sam Howell pass complete short middle to Antonio Gibson for 5 yards (tackle by Alex Singleton),3.24,3.2,2.0,2023,29
3.0,8:19,3.0,3.0,DEN 24,21.0,21.0,"Sam Howell sacked by Jonathon Cooper for -17 yards. Sam Howell fumbles (forced by Jonathon Cooper), recovered by Andrew Wylie at DEN-41 (tackle by Jonathon Cooper)",3.2,0.53,2.0,2023,29
3.0,7:36,4.0,20.0,DEN 41,21.0,21.0,Joey Slye 59 yard field goal no good,0.53,-2.19,2.0,2023,29
3.0,7:32,1.0,10.0,DEN 49,21.0,21.0,Russell Wilson pass complete short left to Samaje Perine for 6 yards (tackle by Kamren Curl and Cody Barton),2.19,2.46,2.0,2023,29
3.0,6:53,2.0,4.0,WAS 45,21.0,21.0,Marvin Mims left end for 2 yards (tackle by Benjamin St-Juste),2.46,2.01,2.0,2023,29
3.0,6:16,3.0,2.0,WAS 43,21.0,21.0,Russell Wilson pass complete short left to Courtland Sutton for 13 yards (tackle by Jamin Davis),2.01,3.58,2.0,2023,29
3.0,5:33,1.0,10.0,WAS 30,21.0,21.0,Russell Wilson pass complete short left to Samaje Perine for 9 yards (tackle by John Ridgeway and Cody Barton),3.58,4.25,2.0,2023,29
3.0,4:55,2.0,1.0,WAS 21,21.0,21.0,Michael Burton left guard for 3 yards (tackle by Jonathan Allen and John Ridgeway),4.25,4.37,2.0,2023,29
3.0,4:17,1.0,10.0,WAS 18,21.0,21.0,Russell Wilson pass complete short middle to Courtland Sutton for 4 yards (tackle by Kamren Curl),4.37,4.43,2.0,2023,29
3.0,3:36,2.0,6.0,WAS 14,21.0,21.0,Samaje Perine left tackle for 4 yards (tackle by Cody Barton),4.43,4.51,2.0,2023,29
3.0,2:56,3.0,2.0,WAS 10,21.0,21.0,Russell Wilson sacked by Chase Young for -3 yards,4.51,2.62,2.0,2023,29
3.0,2:14,4.0,5.0,WAS 13,21.0,24.0,Wil Lutz 31 yard field goal good,2.62,3.0,2.0,2023,29
3.0,2:11,,,DEN 35,21.0,24.0,"Wil Lutz kicks off 65 yards, touchback.",0.0,0.61,2.0,2023,29
3.0,2:06,1.0,10.0,WAS 25,21.0,24.0,"Sam Howell pass incomplete. Penalty on Jahan Dotson: Offensive Pass Interference, 10 yards (accepted) (no play)",0.61,-0.41,2.0,2023,29
3.0,2:06,1.0,20.0,WAS 15,21.0,24.0,Sam Howell pass complete short left to Terry McLaurin for 5 yards (tackle by Damarri Mathis),-0.41,-0.61,2.0,2023,29
3.0,1:26,2.0,15.0,WAS 20,21.0,24.0,"Sam Howell pass incomplete intended for Terry McLaurin. Penalty on Patrick Surtain: Defensive Pass Interference, 7 yards (accepted) (no play)",-0.61,0.74,2.0,2023,29
3.0,1:22,1.0,10.0,WAS 27,21.0,24.0,Brian Robinson left tackle for 27 yards (tackle by Justin Simmons),0.74,2.52,2.0,2023,29
3.0,0:37,1.0,10.0,DEN 46,21.0,24.0,Brian Robinson up the middle for -4 yards (tackle by Nik Bonitto),2.52,1.44,2.0,2023,29
4.0,15:00,2.0,14.0,DEN 50,21.0,24.0,Sam Howell pass complete short left to Antonio Gibson for 36 yards (tackle by Justin Simmons),1.44,4.65,2.0,2023,29
4.0,14:13,1.0,10.0,DEN 14,21.0,24.0,Sam Howell pass complete short middle to Cole Turner for 12 yards (tackle by Damarri Mathis),4.65,6.74,2.0,2023,29
4.0,13:29,1.0,2.0,DEN 2,27.0,24.0,"Brian Robinson up the middle for 2 yards, touchdown",6.74,7.0,2.0,2023,29
4.0,13:25,,,DEN 15,28.0,24.0,Joey Slye kicks extra point good,0.0,0.0,2.0,2023,29
4.0,13:25,,,WAS 35,28.0,24.0,"Joey Slye kicks off 65 yards, touchback.",0.0,0.61,2.0,2023,29
4.0,13:25,1.0,10.0,DEN 25,28.0,24.0,"Russell Wilson pass incomplete intended for Jerry Jeudy. Penalty on Emmanuel Forbes: Illegal Use of Hands / Defense, 5 yards (accepted) (no play)",0.61,0.94,2.0,2023,29
4.0,13:20,1.0,10.0,DEN 30,28.0,24.0,Javonte Williams right tackle for 1 yard (tackle by Daron Payne),0.94,0.53,2.0,2023,29
4.0,12:41,2.0,9.0,DEN 31,28.0,24.0,Russell Wilson pass incomplete short middle intended for Javonte Williams,0.53,-0.16,2.0,2023,29
4.0,12:38,3.0,9.0,DEN 31,28.0,24.0,Russell Wilson pass incomplete short right,-0.16,-1.31,2.0,2023,29
4.0,12:32,4.0,9.0,DEN 31,28.0,24.0,"Riley Dixon punts 44 yards, returned by Jamison Crowder for 6 yards (tackle by Delarrin Turner-Yell). Penalty on Tremon Smith: Player Out of Bounds on Kick, 5 yards (accepted)",-1.31,-1.33,2.0,2023,29
4.0,12:22,1.0,10.0,WAS 36,28.0,24.0,Sam Howell scrambles right end for 2 yards (tackle by Matt Henningsen),1.33,1.06,2.0,2023,29
4.0,11:44,2.0,8.0,WAS 38,28.0,24.0,Brian Robinson left tackle for no gain (tackle by Matt Henningsen and Jonathan Harris),1.06,0.37,2.0,2023,29
4.0,11:18,3.0,8.0,WAS 38,28.0,24.0,"Sam Howell sacked by Drew Sanders for no gain. Penalty on Fabian Moreau: Defensive Holding, 5 yards (accepted) (no play)",0.37,1.8,2.0,2023,29
4.0,10:57,1.0,10.0,WAS 43,28.0,24.0,Brian Robinson right guard for 2 yards (tackle by Alex Singleton),1.8,1.52,2.0,2023,29
4.0,10:15,2.0,8.0,WAS 45,28.0,24.0,Sam Howell pass complete short right to Brian Robinson for 21 yards (tackle by Justin Simmons),1.52,3.31,2.0,2023,29
4.0,9:27,1.0,10.0,DEN 34,28.0,24.0,Sam Howell pass complete short middle to Byron Pringle for 4 yards (tackle by Josey Jewell and Justin Simmons),3.31,3.31,2.0,2023,29
4.0,8:45,2.0,6.0,DEN 30,28.0,24.0,Antonio Gibson right tackle for 7 yards (tackle by Josey Jewell),3.31,4.04,2.0,2023,29
4.0,7:59,1.0,10.0,DEN 23,28.0,24.0,Sam Howell pass complete short middle to Dyami Brown for 8 yards (tackle by Damarri Mathis),4.04,4.85,2.0,2023,29
4.0,7:18,2.0,1.0,DEN 15,34.0,24.0,"Brian Robinson left guard for 15 yards, touchdown",4.85,7.0,2.0,2023,29
4.0,7:11,,,DEN 15,35.0,24.0,Joey Slye kicks extra point good,0.0,0.0,2.0,2023,29
4.0,7:11,,,WAS 35,35.0,24.0,"Joey Slye kicks off 65 yards, touchback.",0.0,0.61,2.0,2023,29
4.0,7:11,1.0,10.0,DEN 25,35.0,24.0,Russell Wilson pass complete short middle to Javonte Williams for 9 yards (tackle by Cody Barton),0.61,1.28,2.0,2023,29
4.0,6:33,2.0,1.0,DEN 34,35.0,24.0,Javonte Williams right end for 1 yard (tackle by Montez Sweat),1.28,1.27,2.0,2023,29
4.0,5:52,1.0,10.0,DEN 35,35.0,24.0,Russell Wilson pass incomplete short right intended for Courtland Sutton (defended by Emmanuel Forbes),1.27,0.72,2.0,2023,29
4.0,5:45,2.0,10.0,DEN 35,35.0,24.0,Russell Wilson pass complete deep middle to Courtland Sutton for 21 yards (tackle by Kamren Curl and Cody Barton),0.72,2.65,2.0,2023,29
4.0,5:17,1.0,10.0,WAS 44,35.0,24.0,Russell Wilson sacked by Casey Toohill for no gain,2.65,2.11,2.0,2023,29
4.0,4:36,2.0,10.0,WAS 44,35.0,24.0,Russell Wilson scrambles right tackle for 15 yards (tackle by Darrick Forrest),2.11,3.64,2.0,2023,29
4.0,3:52,1.0,10.0,WAS 29,35.0,24.0,Russell Wilson pass incomplete short right,3.64,3.1,2.0,2023,29
4.0,3:46,2.0,10.0,WAS 29,35.0,24.0,"Russell Wilson pass complete short left to Javonte Williams for 5 yards (tackle by Benjamin St-Juste and Cody Barton). Penalty on Chase Young: Roughing the Passer, 12 yards (accepted)",3.1,4.78,2.0,2023,29
4.0,3:37,1.0,10.0,WAS 12,35.0,24.0,Russell Wilson pass complete short left to Lil'Jordan Humphrey for 4 yards (tackle by Benjamin St-Juste and Cody Barton),4.78,4.83,2.0,2023,29
4.0,3:03,2.0,6.0,WAS 8,35.0,24.0,Russell Wilson pass complete short left to Samaje Perine for 5 yards (tackle by Cody Barton and Kamren Curl),4.83,5.06,2.0,2023,29
4.0,2:34,3.0,1.0,WAS 3,35.0,24.0,Russell Wilson right guard for 2 yards (tackle by Jamin Davis and Cody Barton),5.06,6.97,2.0,2023,29
4.0,2:07,1.0,1.0,WAS 1,35.0,24.0,Russell Wilson sacked by Montez Sweat for -7 yards,6.97,4.57,2.0,2023,29
4.0,2:00,2.0,8.0,WAS 8,35.0,24.0,"Penalty on Chase Young: Neutral Zone Infraction, 4 yards (accepted) (no play)",4.57,5.34,2.0,2023,29
4.0,2:00,2.0,4.0,WAS 4,35.0,24.0,Russell Wilson pass incomplete short right intended for Adam Trautman,5.34,4.49,2.0,2023,29
4.0,1:57,3.0,4.0,WAS 4,35.0,24.0,Russell Wilson sacked by and Montez Sweat for -10 yards and Chase Young for -10 yards,4.49,2.51,2.0,2023,29
4.0,1:53,,,,,,Timeout #1 by Denver Broncos,,,2.0,2023,29
4.0,1:53,4.0,14.0,WAS 14,35.0,27.0,Wil Lutz 32 yard field goal good,2.51,3.0,2.0,2023,29
4.0,1:50,,,DEN 35,35.0,27.0,"Wil Lutz kicks onside 22 yards, returned by Chris Rodriguez for no gain",0.0,1.8,2.0,2023,29
4.0,1:49,1.0,10.0,WAS 43,35.0,27.0,Brian Robinson right guard for 2 yards (tackle by Justin Simmons and Jonathon Cooper),1.8,1.52,2.0,2023,29
4.0,1:44,,,,,,Timeout #2 by Denver Broncos,,,2.0,2023,29
4.0,1:44,2.0,8.0,WAS 45,35.0,27.0,Brian Robinson up the middle for -3 yards (tackle by Randy Gregory and Zach Allen),1.52,0.43,2.0,2023,29
4.0,1:41,,,,,,Timeout #3 by Denver Broncos,,,2.0,2023,29
